Hybridization REF	TCGA-B6-A0RG-01A-11R-A056-07
C20orf32	-1.735
CCDC95	-0.3185
HIGD1B	4.027
USP6NL	-1.3665
ABCD4	0.474333333333333
DIMT1L	-1.23541666666667
TEK	0.918625
SLC25A46	-0.70075
LARP7	-1.3958
CD160	0.076
MT1JP	-2.08666666666667
PHF20	-0.05425
CPNE4	-1.59333333333333
GTPBP1	-0.558642857142857
RAB33B	0.726166666666667
ALDOC	-2.76825
ZNF212	-0.27375
NUDT1	-1.201
RFPL2	-1.4165
ZNF83	-0.0395
GDPD5	-0.643875
PDCD4	0.1156
CEP350	0.299
OR10A2	-0.0085
CST7	-1.32575
CIAO1	-0.49275
SELL	0.066625
OR8J3	-1.1245
LTBP4	-0.09
SIRT6	0.45725
CCL19	3.1935
PPIL1	-0.823
GBP7	0.5215
STK17A	-1.3631
ABR	0.08075
OR9G1	-0.0455
FOXE1	-0.932375
CNGA3	-0.087
GML	0.8495
CD38	-3.90275
ZDHHC6	0.212
NEFH	-1.64775
CTDSP2	0.408833333333333
PGBD5	-0.552666666666667
CCNY	0.234785714285714
RMND5B	0.731416666666667
ZNF257	-0.85325
FLJ22167	-1.89975
EXOSC7	-0.178166666666667
ROR2	0.7515
MAOA	2.16675
TNNT3	-0.0426666666666667
GYPC	-1.855
C7orf33	1.208
PLIN	1.15316666666667
LOC90826	-0.08475
RNF4	-0.1191
F8A1	1.358
PLEKHG4	-2.19075
GRB2	0.6658
HIST1H2AD	1.7485
DUS3L	-0.821666666666667
EIF1	-0.235833333333333
RP5-1077B9.4	-1.19583333333333
FPGT	2.1335
GDF10	-0.800333333333333
COQ9	-0.53825
GCC2	-0.583642857142857
RARRES3	1.284125
PLXNA1	-1.0457
KIAA0100	0.1982
PMF1	0.45075
FNDC1	4.81025
HS2ST1	0.20225
CRELD2	-0.00275
C8G	-1.7115
CD82	-0.36625
LIM2	-0.976
UNQ6490	0.1925
MMP16	1.24575
DRD3	0.04775
C5orf26	-1.558
C11orf73	-1.689125
PTP4A2	2.7045
OR4M2	1.313
HPCA	0.455
SEC14L1	-0.370666666666667
CHFR	0.20725
EMILIN1	0.58325
NDUFS4	-0.26125
COL18A1	-0.089625
PDZD3	-0.3856
C9orf16	0.567333333333333
ERBB2IP	0.463666666666667
EMX2	3.15525
FUS	-0.47425
TF	-3.9698
CLCN4	-0.5195
CXorf56	0.8205
C11orf72	-0.153
ELAC2	-0.57525
NPR1	-1.186
ASS1	-3.8485
USP42	-0.224625
POLR2J	0.102
SEC23IP	0.614
UQCRC1	0.54475
LOC729603	-0.585
C1orf71	-0.206875
POLG	-1.771
ADAM23	-3.4775
TFR2	-1.708
RICTOR	-0.6621
MGC39606	0.053
C19orf55	0.03975
SNAPC1	-1.752
GNA11	1.142375
CCDC52	0.527
FSIP1	6.6935
UPF3A	-0.10925
IGSF11	-3.24583333333333
LAGE3	0.16975
CHST6	-2.716
UNC13B	-0.881375
TTLL4	-1.35175
ZNF687	0.782125
SDC2	-0.7867
COX7A2	0.1805
LAMB4	-0.914
FAM24A	0.5605
LRRTM3	-0.018
GPHB5	-0.16325
OR4C13	-0.1115
EIF3EIP	-0.608714285714286
HABP4	-1.7395
TMEM125	3.7025
CNTN2	0.00387500000000002
ASNSD1	-0.7305
FUT4	-1.05425
ACF	-3.93275
LOC158381	0.5335
CDH8	-0.5235
AGPS	-2.60316666666667
C4orf18	2.5595
PECI	0.0649166666666667
UNG	-0.92525
GSTP1	-3.14475
DCUN1D5	-2.79566666666667
DKFZP564J0863	-0.68725
SLC9A3R1	3.37175
BCDO2	-1.88475
CHMP7	-0.135625
REM2	1.046
DNHD1	-0.986125
FKBP4	1.515375
ZNF350	1.21975
MGC11102	0.094875
BST1	0.09475
KISS1R	1.367
NCR2	0.1555
DEFB125	0.357
UBE2W	1.455
KRT15	0.982375
C10orf99	0.5515
SCN11A	-0.0352857142857143
GFI1	-3.328
RDHE2	2.9135
FHL1	-2.03033333333333
OSGEP	-0.5035
GATA1	-3.42266666666667
SMC6	-1.28925
TTTY14	-1.71275
LPIN3	0.25125
RPL4	-0.8447
RBPMS	0.4239
PRPF3	-0.154166666666667
EMR1	-2.5465
SPATA19	-0.01325
XCR1	2.1575
IRX3	1.8336
RBM6	-0.59825
KLF4	-1.6771
UNC5CL	-0.67975
SEBOX	0.2795
BTK	-1.7585
KRCC1	0.87375
C6orf27	0.5605
SYTL5	1.648
PRND	1.277625
LOC653319	-1.717
PIGL	-1.32125
HUS1	-0.482833333333333
SFRS6	0.1805
C17orf77	-0.29
UIMC1	-0.654
FXYD2	-1.8259
LOC283152	0.01275
ZNF667	-1.70475
ZCCHC12	-1.475
TFEC	1.1388
ATP7B	-0.527833333333333
POLD2	-1.05833333333333
RG9MTD1	-0.58325
ACOT2	1.70416666666667
HIST1H4I	0.566375
PPARGC1A	-2.6357
ETFA	-0.9143
POLRMT	-0.758
ZNF146	-0.1825
MIA2	-2.188
KLHL6	-2.33133333333333
HOXB5	-1.06625
NENF	0.900666666666667
CUGBP1	0.29975
PRSS22	2.30516666666667
CASC4	1.5549
CUL4B	0.627
CENPJ	-1.5577
PITX1	-0.7045
FLJ31033	1.1275
CELSR3	-1.85883333333333
ZNF568	-0.125
ITSN1	-0.41825
EHBP1L1	-1.2635
C19orf2	-0.66725
DCTN1	1.156
LIN28B	-4.27683333333333
TNKS2	0.0445
C1QBP	-1.290375
CADPS2	2.0425
SRMS	0.3355
GJA9	-0.4985
MGC24975	-0.563
TRIM45	0.657333333333333
TSP50	-0.18325
TCP1	-1.11675
TMED7	0.4818
CMA1	0.8325
CENPL	-0.818666666666667
PTCRA	-0.2585
FST	-3.0695
VWCE	-4.4275
PAWR	-0.04075
ABCC12	0.181
LDLR	1.1387
ASTN2	2.006
LOC441212	-1.478625
GPATCH8	0.169
TANC2	0.124583333333333
KIF4A	-1.26125
C18orf18	-1.332
PGM1	-1.55375
KIAA0258	0.4765
CPD	0.772375
SNCAIP	-0.738333333333333
DCT	-4.49866666666667
HLA-DOA	1.69413636363636
OR11L1	0.7965
UPK1B	-0.980833333333333
DNAJB4	-0.4055
UGT1A8	-0.548
HIST1H4L	-0.456
PECR	-1.31283333333333
HSPA2	1.71125
WFIKKN1	-2.0185
SERP1	0.5765
SYDE2	2.7395
TACR2	0.9285
NUP85	0.0915
CD177	-1.59833333333333
LGR5	-2.7072
PIGG	0.1755
PTHR1	-1.4175
RAB5A	0.0318
FLJ13224	-0.2405
USP9Y	-1.02966666666667
C7orf53	-1.2095
LRP1B	-1.13975
XAF1	1.3612
ABCG8	-0.6525
ANKDD1A	-0.677
DAND5	-1.2965
SPAG6	0.200833333333333
LINCR	-0.21225
ZDHHC22	-1.617
CCDC60	0.587
THOC7	-1.7815
TCTA	1.3797
OR8K3	0.55525
NY-REN-7	-1.1655
B2M	0.308666666666667
C6orf141	0.38225
LPPR4	-0.00825000000000001
SQLE	-0.091375
SEPHS1	-0.78625
BTBD14B	0.809714285714286
PLRG1	-0.505
SPG7	-0.3604375
ZNF614	-0.0673333333333333
PARD6G	0.6665
INPP5B	-0.973
GRPEL2	-0.557
PPID	-0.5228
TRIM56	-0.7355
UBE2J1	-0.632875
IL20RA	4.79025
LOC387856	0.43825
C1orf107	0.480166666666667
UTS2R	1.331
C19orf22	0.98775
SAFB2	0.25
KIAA0652	0.336125
KLRG1	-1.5225
MS4A8B	3.75316666666667
FRAG1	0.21275
KIAA1546	0.72125
E2F4	-1.6174
CLEC4M	0.6055
BTBD14A	-0.694
KIAA0999	1.0517
GYPA	-4.63583333333333
TAC1	2.2633
TRAIP	-1.032
KIAA0232	1.4716
ERCC8	-1.530875
GPX4	1.006375
KIAA0368	-0.0645
GPR157	-0.545166666666667
CTAGE4	1.914
C9orf30	-1.186
OR52A1	-0.266
HSP90B3P	-0.3145
ALG9	-0.7639
BTBD10	0.061
SDK2	1.63775
BAIAP3	2.1945
RABGGTB	-1.44825
ANKRD40	0.997666666666667
KRT74	-0.147
CALCOCO2	0.911857142857143
SNCA	-4.3685
TMSL8	-4.048125
C2orf53	0.277
ESRRB	-0.3285
ARHGAP26	-1.6315
TDRD9	-2.7915
HRAS	0.0425
KLRC4	-2.0285
JAGN1	-0.228
BSDC1	0.714
RNF43	-0.1232
NDUFAF1	0.79875
PHF12	0.19025
OR1L3	0.03275
FOLR2	0.855833333333333
LYZL6	0.453666666666667
tcag7.1260	-2.3495
WSB1	-2.2645
PROS1	-1.9199
OSTN	0.8455
PSMB8	-1.443
SOCS4	-0.36325
DDIT4L	0.321
MAS1	-0.314
MGC34796	2.81225
CSHL1	-0.360833333333333
TBCCD1	1.003
ZBTB7C	0.192
AP2S1	-0.380125
P15RS	0.4906
VAT1	0.6635
SHANK3	0.922
TUFM	-0.3265
THEG	1.701
KRT34	-2.8275
SGSM3	0.341875
TOMM22	-0.784625
SOCS3	2.3055
CPO	1.1135
POP4	-0.14725
BHLHB3	0.55125
MALL	0.48625
OR1B1	-0.353
PARK2	0.273833333333333
GPR124	0.6225
LCE1E	0.6315
RUVBL2	-0.363
CGRRF1	-0.1711
ACPL2	0.743
WNT10B	-1.61775
BAIAP2L2	-2.298375
ISCA1	0.4245
C1orf125	0.042
RPAP1	-0.41
RAI16	-0.7025
RPL27	-0.685625
NLRP9	0.085
EPN1	0.8125
LOC388610	-2.837875
SLC35A1	0.1918
GAL	-4.739
SLC14A2	0.38225
RDH11	0.217666666666667
FAM138F	-0.263
AUH	0.26125
FLJ40243	-0.4525
C14orf129	0.878
MBD2	0.249666666666667
ABHD14B	0.842125
PIGT	0.524
ALS2CR4	-0.918875
ALAS1	-0.1013
FOXO1	0.843833333333333
CRLF3	-0.491125
C20orf107	-1.3455
FARS2	1.58525
CCDC28A	-0.139
NPHP3	-1.41575
OR13F1	0.2285
TSEN54	0.1945
DEFB106B	0.169
OR8B4	0.167
STH	2.12375
ZC3H14	0.011375
CBX2	0.441
TMEM49	-0.8935
C6orf21	0.8015
FLJ20920	0.7195
CRTAP	-0.573714285714286
DDX50	-0.68875
STYXL1	0.20975
BLVRB	0.741666666666667
LOC147650	-0.780833333333333
MMP24	0.36175
GRID1	0.9534
BANF1	0.165333333333333
CTAGEP	0.90325
HMBS	-2.66725
SLC25A24	1.03433333333333
C14orf50	1.59525
MRO	0.637666666666667
SLC25A15	-0.999
FAM84B	1.0396
TDP1	-1.2755
C16orf78	0.253333333333333
C11orf57	-0.594625
RFK	-0.3905
ZFYVE9	-0.46475
STCH	-1.2321
WIBG	0.7115
LOC283871	0.641666666666667
GBA2	-0.8708
NDUFB3	-0.30075
HSD17B13	-0.233
GRIN3A	0.337833333333333
FMNL1	-1.642
SEPT7	-0.9629
GNLY	2.494
GRAMD1C	1.3195
ZNF165	0.1795
USP38	2.0555
FAM83A	-2.64833333333333
C14orf24	0.712
ARMCX3	1.814625
ARHGDIB	-0.970166666666667
AK1	0.59225
KIAA1045	0.51225
DNAJB13	-0.2696
NEU2	0.623
HIST1H4B	-0.440833333333333
FAM20B	0.1067
HES2	0.2035
FAM73B	-0.4856
LOC388381	0.589
INTS7	0.368818181818182
AMPH	3.8055
ZNF775	0.165
UCKL1	-0.2885
C10orf97	-0.15575
C1orf161	-0.1275
ALDH1L1	-2.04675
FLJ39378	0.115625
SLC23A1	-1.4345
RBM4B	-0.01175
THAP4	0.457
OGFRL1	-0.331
KIAA0831	-0.0105
PPP1R15A	0.801333333333333
C1orf96	-0.182428571428571
C12orf11	-2.75275
BMF	0.74175
MAN1A1	-0.974375
KIAA1600	0.6025
NLGN4X	-1.067
ALOX12	-1.51616666666667
RB1CC1	0.6173
NEIL2	-0.3101
EIF4E	0.293714285714286
ABHD5	0.42375
EXOC4	0.2365
CIP29	-0.116
BATF2	-1.2955
SLC29A4	-0.680625
HTR4	0.68425
EMB	-3.6155
TRAF6	0.36775
LMNB1	-2.661
FAM19A5	-0.625125
SHE	1.405
PIK3C2B	1.09625
C15orf15	-0.9022
USP15	-0.1623
TCEAL2	0.44825
C5orf39	-2.116
PTGER2	-1.25575
SLC31A1	-0.269
IFT172	0.13675
ADAM29	0.459
GFOD1	-0.182
ST7L	0.595833333333333
C15orf26	-3.528
PKN3	-1.29325
CNTD1	2.12333333333333
COMMD1	-0.053875
NTRK2	2.28975
FOXN3	-0.74625
MFGE8	-0.0359
PFKFB2	0.758333333333333
TAS2R4	-0.470333333333333
ENTHD1	1.86383333333333
PRMT5	-0.602375
MGC16384	-1.022375
LOC442229	-0.95675
TSKU	1.029125
KRTCAP3	2.38025
PDLIM1	-0.104888888888889
KCNS2	0.2085
RNF126	-1.25283333333333
CEP63	0.575375
CLIC4	-0.44475
hCG_1990170	-1.51
ACR	0.2197
KLK7	0.5415
ALOX5AP	1.453
RIPK3	4.39775
TAS2R9	0.079
C19orf18	1.015
BIRC6	0.216785714285714
ZNF16	1.141
RFT1	-0.65875
SLC8A2	-0.546
TACC1	-0.60925
ITGAD	0.6975
SAMHD1	0.50675
SH3PXD2B	1.6637
EPC2	0.69175
C20orf85	0.510125
ATP13A2	0.4495
KRT4	0.3685
CAPNS1	0.92975
MDM2	1.43091666666667
PCDH20	-0.24125
KCNK9	1.2125
OR2C1	-0.9125
KLHDC3	-0.328166666666667
IPPK	1.335
EFHD2	-1.15525
GALR3	1.31
NBEA	0.584833333333333
ABCA6	1.9547
CLDN3	3.25533333333333
AKT2	-0.259571428571429
EGFR	-2.6867
RBM16	0.388125
ZDHHC3	0.4724
SLC25A4	-1.0545
CYB5B	-1.56983333333333
CPXM1	-0.3595
NDRG1	-1.42653846153846
FLJ43826	1.69775
OR5L2	0.373
FARP2	0.4294
MRPL46	-0.775083333333333
LDHAL6B	-0.0363333333333333
MAPKAPK3	0.351666666666667
NCAM2	-1.89425
PRKD2	0.5625
ZFP36L1	1.1404
CYSLTR1	-1.769
OR4C3	0.19875
HIST1H2AJ	3.516
CCNB2	-1.65
ZNF10	-1.131125
TMEM175	0.965
FAM134A	1.433
TIGD4	0.061
PCNP	-0.756
MGC39715	-1.03
LQK1	-1.894
CREB1	0.6157
TMPRSS3	-2.52625
C4orf32	1.70825
LAT	-2.76183333333333
KCNA3	-1.01
SKIV2L2	-0.792
ROPN1B	-3.737
tcag7.23	-0.94
CDT1	-3.53975
ZHX2	1.330625
CD28	-5.65175
ZNF624	0.982
SEPT2	-0.128666666666667
SOHLH2	-2.5025
MCOLN3	-0.75225
UNQ1945	0.3695
MASP2	-0.9835
ZNRF3	-0.2234
GPATCH3	0.0165
AGL	1.741375
QRICH2	-0.089
PSD4	0.910333333333333
CCNB1IP1	-2.011
ENPP7	0.28125
OBFC1	-0.14025
KCNG3	-3.01875
C14orf79	2.00408333333333
ENPEP	2.08566666666667
SCT	1.2425
SKI	0.64575
SEC61G	-2.026
CAPN11	0.12475
ATXN7L3	0.7275
DBNDD1	0.588166666666667
FAIM	0.2775
ANKRD36	-0.633
GABRP	1.417
TACSTD2	2.78483333333333
EIF3J	-0.653
PPP2R2A	-0.88425
TEKT4	-1.08883333333333
PVALB	-3.24083333333333
F10	-2.68983333333333
FAM134C	1.4867
COMP	4.379625
EFCBP1	-0.2635
SCLT1	0.429625
TAL1	-1.3374
ACSL1	-1.45325
ABCC5	1.185
ABL1	-0.0585555555555556
RBBP7	-0.00058333333333332
PTPRG	-1.69
NCOR1	0.0511
SPINK4	-1.578
TXNRD1	-2.1799
TNRC15	0.842125
C9orf138	1.447125
UBE2H	1.67616666666667
BRDT	0.590166666666667
C8orf31	-0.7105
CCNE2	-1.32936363636364
SLC6A8	-2.5745
CALCR	-3.20625
PPP1CB	0.483416666666667
ABHD8	0.699
ARF5	0.9881
SLC24A4	0.3595
CCT3	0.63275
ZNF121	0.40525
SLC3A2	-0.8085
OR13A1	1.1975
SLC5A10	0.642
RAD50	-0.4395
IER5	1.291875
MTHFD1L	-3.333375
MBTPS2	-0.00650000000000001
MVK	0.1135
NCL	-0.2145
PSMD10	-0.6035
MOBP	0.246375
FLJ32894	-0.0245
HRH1	-1.2485
C5orf30	1.44525
NUDT16L1	1.2561
RASGRP3	2.83633333333333
PRKRIP1	-0.4561
CCDC75	-0.3605
LOC253970	0.3375
KIAA1239	-0.11725
MED21	-0.4885
SYT11	-0.161833333333333
NTSR2	-0.49
EGFL11	1.3025
CXorf59	1.333
OR2A25	-0.11325
SPTBN2	0.56475
LRMP	-2.17783333333333
RNF111	0.217
PTH	0.59
LOC619208	-0.534166666666667
KIAA0895	0.54725
RANBP5	-0.771
P2RY10	-1.214
NME5	2.9105
DDX21	-1.0695
LRSAM1	1.1185
HDAC11	2.19183333333333
VMO1	1.03375
NOLA2	-0.108333333333333
ADAR	1.35858333333333
MTO1	-1.39466666666667
SF4	0.3165
P2RX1	-0.971166666666667
HBM	0.2845
EN2	1.666
C14orf172	-0.03175
TM9SF2	0.6753
INHBE	-1.362
TCTE3	-0.64175
TOX2	-3.02
CTAGE3	1.01075
HBB	3.9558
MED15	-0.7145
CASR	-0.33
C6orf66	-1.63633333333333
MTPN	-0.11325
UNC50	-0.32225
C21orf33	0.05275
IRF2	0.938
PGR	2.63766666666667
GPR84	1.53625
CROCCL1	-3.543
SRPX	-1.915
BRE	0.428333333333333
FGF10	0.23225
SDC3	-0.2575
ZRSR1	0.1825
DKFZP434P211	-0.358875
SOX6	0.214
RPUSD2	-0.20625
C14orf173	-0.117333333333333
MAPK11	-0.640833333333333
TBC1D22A	0.422
FAM123A	2.478
COL4A6	-2.82633333333333
TOMM70A	0.38375
NAB1	-0.409875
MGC16385	-0.571125
TSPAN18	-0.267166666666667
MED31	-0.35075
PLG	-0.81275
CAPSL	-0.038
ZNF532	0.5422
ASB14	0.48275
CA8	-0.82125
NUDT16P	2.4145
SLFN11	-1.9375
LRRIQ2	0.426
NOL7	0.0938333333333334
BRMS1L	-1.1225
JARID1A	0.042
PANK2	-0.57175
ICAM3	-0.26975
MDS1	-1.15025
TAF8	-0.0645
RNF139	2.7705
ZNF594	-0.917166666666667
ADAM8	0.469125
SFTPC	-0.056375
MAN2B2	1.816375
RGS12	1.106
EIF1AY	-4.80408333333333
LRRIQ1	0.1565
GPR150	1.39525
CCDC21	-0.768
PRRG3	0.093
SAA4	-3.8245
RAPGEF5	1.2395
ZCCHC2	0.53575
MGC39372	1.902
PPP4R2	0.810833333333333
CDCA2	-2.3945
OR4D5	0.245
PTGFRN	0.8367
SIGLEC5	1.08383333333333
C19orf61	-0.357333333333333
NMUR2	0.153
KIAA1586	-1.24783333333333
DAGLA	1.27
CHCHD6	-0.016
GPR32	0.879
NEUROD6	0.308666666666667
SLC2A4RG	0.4500625
CA5B	-0.15575
FBXL3	0.8015
MPHOSPH9	-1.45425
HMG2L1	0.46125
HCN4	1.09033333333333
CEACAM19	1.11225
SH2D4B	0.102666666666667
HFE2	-0.7505
TGM4	0.641
LYPD2	0.14025
TBC1D15	-0.05325
MRPS21	-1.5841
NONO	-0.6853
CLEC5A	1.697375
ITCH	0.00149999999999998
MGAT3	-1.56366666666667
MBP	-1.058625
RPP25	-1.311
SOSTDC1	-1.8375
HRC	-2.0285
TRIM48	-0.3185
TMEM133	-1.424
ECEL1P2	-1.37
HOXC11	-0.6745
DOK5	-1.91575
HELZ	0.314
LOC348180	-0.8205
MGC33894	-0.0415
ADRB3	0.35
DMD	-0.84575
PTRH2	-0.45175
MPEG1	2.19483333333333
NDUFA12	0.136
KRTAP2-4	-0.0354166666666666
STAMBPL1	-2.0495
ADCY2	-0.4648
UNQ6125	0.461
KLHL20	0.446333333333333
SRM	-1.96075
OTC	-0.3555
TMIE	0.286166666666667
SNX8	-0.17275
LIPK	-0.385
CHURC1	-0.190416666666667
KLC2	0.763666666666667
HDAC1	-0.0268333333333333
FAM128A	1.0105
FNDC3B	-1.3119
MTCP1	0.0445
WFDC10B	4.2045
PCDHGB3	0.0275
ATRNL1	-1.8482
CAV2	-1.6155
MED26	0.5285
DUS1L	0.938
CHRM3	-1.23725
NEK9	0.918
WARS2	-0.78375
TBX22	-0.9075
TOMM40	-0.50675
RP6-213H19.1	0.5435
TUBGCP5	-0.82525
IGSF6	3.672
TPPP	1.2655
UNQ6190	-0.868
GSTM5	2.68275
BTD	1.56866666666667
PDCD1LG2	-0.385166666666667
SNRPB2	-0.429166666666667
ERICH1	-0.913125
APOA4	-1.515125
HOXA11	-1.88
NARG1	-0.27825
MKX	-1.6635
RAB28	-0.799928571428571
PKP3	0.36725
SH3GL2	-3.6495
CTSO	4.05175
RPN2	0.5539375
IL28RA	-0.5335
SFMBT1	0.35175
WDR57	-0.7475
FER1L3	1.08125
HSF5	0.182333333333333
TTC9B	0.3775
C4BPA	-3.80883333333333
ALB	-4.111
SORBS3	-0.157125
UPF2	-0.712
JPH1	-0.000999999999999997
AGBL2	0.455
DOPEY1	-0.077
TERF1	0.313916666666667
KIF22	-0.4515
NINJ1	1.28
SEC61A2	-0.574833333333333
HIST1H1D	1.64683333333333
SFXN4	-0.364
UCP3	0.0450999999999999
ZNF703	2.4975
MYL6B	-0.57
TREM1	1.486
OR52E6	-0.1085
CKMT2	1.26975
HLA-C	0.862625
SLC13A3	-2.30633333333333
TIMP4	-2.31375
SLIT2	1.543
RSF1	0.151
LONRF1	-1.37035714285714
MON1A	0.2995
CACNG6	-1.81783333333333
DPPA4	-5.12833333333333
ZSWIM3	-0.8465
ZNF804A	-0.1695
CCIN	1.091
SLC25A31	0.680333333333333
KCNMB4	-1.832
RABL5	0.581
GALNS	0.1152
STX6	1.12125
HIST1H1C	1.4845
CIDEB	-1.580375
CASP4	-0.857666666666667
PDK3	-0.1665
KCNJ11	3.1995
TPR	-0.04225
ZSCAN20	-0.646
MTX2	-0.14325
HIST1H2BH	1.38075
LOC283767	0.04425
LYRM7	-1.18177777777778
BRD3	1.16133333333333
HIST1H2BO	1.043
MAGEB10	0.2995
SLC45A1	1.02525
SERPINA3	3.32525
KIAA0143	1.981
KCNJ16	0.954833333333333
KRT79	1.42275
FABP2	-1.77633333333333
NUT	0.05925
ZNF57	0.282
FBXL4	-0.278375
CLEC9A	-1.0825
UGT8	-1.51616666666667
BMP2K	-0.34675
MAPK4	-4.10075
SLC25A23	0.4679
HINT1	-0.7115
KRTAP13-1	-0.025
SFXN5	1.3209
CHCHD2	-0.277666666666667
FAM3D	0.453
NDP	-3.182
RHOBTB1	-0.038
SLC4A4	-2.1825
RPL38	-0.115
HTF9C	-0.4915
AP2A2	0.0805
ZBTB46	-0.7815
MAP7D1	0.48375
AOX1	1.52866666666667
CYR61	1.35516666666667
DTNA	2.20235714285714
JRKL	-0.347
TMOD3	0.6365
EEA1	-0.1312
ADCK5	-0.22975
IL1R1	-0.461
KLK3	0.718428571428571
HRSP12	-0.338
KTN1	0.349
LOH11CR2A	-0.094
RELL2	-1.77725
MAB21L1	1.34275
C20orf59	-0.382166666666667
PHKB	-0.87225
ADAM2	-0.847333333333333
TBC1D8B	0.293166666666667
FAM13A1	-2.18733333333333
LAPTM4B	-1.16683333333333
LCN8	0.2515
TMEM147	0.8755
SYT4	0.2402
XPO7	-0.96
C9orf62	1.698
GPR75	-0.302
TRIM5	0.621875
APOC1	-1.858
RNASE4	-2.2565
PARD6B	-0.500375
ARID1A	1.20316666666667
TPD52L3	0.041
RRAGB	1.39466666666667
RCN2	-0.705333333333333
HIST2H2BE	2.1816875
STARD7	-0.409
SHMT2	-1.57275
KIAA1751	-0.160333333333333
MLYCD	-0.05725
LOC162632	0.7459
UQCRH	-1.33875
RP11-217H1.1	0.4764375
SDHA	-0.905333333333333
NCLN	-0.2983
ZNF17	0.406833333333333
RCBTB2	-2.704
VEGFB	0.1121
RP4-747L4.3	0.14325
COLQ	0.8808
MPN2	-0.715166666666667
DRG2	0.757
KLRB1	2.94225
ALPK2	-2.52775
DNASE2B	1.91975
FLJ23834	2.58216666666667
AXUD1	2.07283333333333
SAFB	0.3655
NSUN4	-0.179
RFX2	-0.178833333333333
MAPK8IP1	-0.935166666666667
FANCD2	-0.840071428571428
ANKZF1	-1.4885
C19orf50	-0.6175
DUSP8	0.364375
SENP5	0.617375
NFKBIL2	-0.17875
LBR	-1.9925
IGFL1	1.242
LZTS2	0.297625
IL2RG	-1.6105
CCDC51	0.096
KLF3	-0.16625
ANKRD37	-1.74625
KCTD14	-1.53983333333333
FZR1	0.916416666666667
SLC44A4	3.3327
ESPL1	-0.725375
GMPR2	-0.4436
TBC1D19	0.1115
ERGIC1	0.461296296296296
ERBB4	2.2645
TSPAN32	-0.4655
MAP4	0.694375
GPHN	0.90975
SLC6A2	-0.245
HIVEP1	0.7415
DFFB	-1.0271
EIF4EBP2	0.063375
DMRT1	-0.76575
HSPB6	-0.15075
IER2	1.35366666666667
AIFM1	0.92625
WWC2	1.42283333333333
MRPL4	-0.46575
FLJ21062	1.23333333333333
EPB41L4A	1.09525
SH2D6	-0.944
TAF4B	-0.7905
GAL3ST3	-0.19
MALT1	-1.636
RTDR1	-0.27425
ARVCF	0.26275
MEX3B	-1.80516666666667
FBXO16	0.0035
KIF7	-1.3025
C1QC	3.59983333333333
ZNF783	-0.951333333333333
ZNF85	0.35075
MMP13	2.49
KIAA0329	0.509375
RTP3	-1.742
ZBED3	-0.99975
CLGN	-4.229
SLC25A37	-2.2945
hCG_18290	-0.68475
OR5AS1	-0.28
SMARCC2	0.949083333333333
FAM109A	0.976166666666667
CCDC12	0.296
USF2	0.8713
DEPDC7	-3.28075
C20orf24	-0.440333333333333
JMJD3	1.4755
DSP	1.93157142857143
SLIC1	0.093
FAM20A	-0.621875
IRF2BP2	2.0785
ZNF230	-0.7405
MSN	-0.615642857142857
SLC9A5	-2.3215
EPDR1	-0.4737
MUSK	0.5525
ZNF434	-0.388166666666667
SMARCD1	-0.5855
ZFP106	-0.68075
