Hybridization REF	TCGA-AO-A0JE-01A-11R-A056-07
TMED7	0.8986
CMA1	-0.304
CENPL	-0.249833333333333
PTCRA	0.7505
FST	-2.076
VWCE	-3.68975
PAWR	-0.627
ABCC12	4.69116666666667
LDLR	-0.6565
ASTN2	1.2308
LOC441212	-1.166875
GPATCH8	-0.0685
TANC2	-0.174583333333333
KIF4A	-1.73025
C18orf18	-0.933
PGM1	-0.343
KIAA0258	0.33425
CPD	1.727875
SNCAIP	-1.1625
DCT	-4.02083333333333
HLA-DOA	3.50572727272727
OR11L1	0.9965
UPK1B	-0.4735
DNAJB4	0.6085
UGT1A8	0.2085
HIST1H4L	-2.4845
PECR	-0.858333333333333
HSPA2	2.0975
WFIKKN1	-3.4025
SERP1	-0.14925
SYDE2	0.889
TACR2	0.787
NUP85	-0.60725
CD177	0.433166666666667
LGR5	-1.511
PIGG	0.681333333333333
PTHR1	-0.915166666666667
RAB5A	0.3904
FLJ13224	0.1775
USP9Y	-1.614
C7orf53	-0.3295
LRP1B	-1.12325
XAF1	3.34
ABCG8	-0.1555
ANKDD1A	-0.5815
DAND5	-2.083
SPAG6	0.387833333333333
LINCR	2.2505
ZDHHC22	-1.473
CCDC60	0.5785
THOC7	-1.63783333333333
TCTA	0.9393
OR8K3	0.56625
NY-REN-7	-1.0545
B2M	2.24316666666667
C6orf141	-2.44925
LPPR4	3.793
SQLE	1.348
SEPHS1	0.32475
BTBD14B	0.614285714285714
PLRG1	-0.1505
SPG7	-0.438125
ZNF614	0.746666666666667
PARD6G	0.489666666666667
INPP5B	-0.7346
GRPEL2	0.361375
PPID	-0.4327
TRIM56	-0.8475
UBE2J1	0.43925
IL20RA	2.87975
LOC387856	0.6665
C1orf107	0.626583333333333
UTS2R	0.90875
C19orf22	0.0265
SAFB2	-0.178
KIAA0652	-0.11675
KLRG1	0.0445
MS4A8B	-0.235166666666667
FRAG1	1.08325
KIAA1546	-0.77225
E2F4	-0.9837
CLEC4M	0.345166666666667
BTBD14A	0.99275
KIAA0999	0.916
GYPA	-2.99533333333333
TAC1	0.7313
TRAIP	-1.6065
KIAA0232	-0.3047
ERCC8	-0.8125
GPX4	0.30425
KIAA0368	-1.030125
GPR157	-1.29016666666667
CTAGE4	0.188
C9orf30	-0.959166666666667
OR52A1	0.1975
HSP90B3P	0.0515
ALG9	-0.7959
BTBD10	0.8955
SDK2	0.07475
BAIAP3	-0.04875
RABGGTB	-0.794875
ANKRD40	0.307166666666667
KRT74	-0.325
CALCOCO2	1.11671428571429
SNCA	-3.017
TMSL8	-4.2055
C2orf53	-0.599
ESRRB	-0.14875
ARHGAP26	-0.124625
TDRD9	-1.85325
HRAS	-0.461166666666667
KLRC4	-2.3005
JAGN1	-0.241
BSDC1	1.267
RNF43	-0.847
NDUFAF1	1.0175
PHF12	0.684
OR1L3	0.13925
FOLR2	1.951
LYZL6	0.697166666666667
tcag7.1260	-0.5075
WSB1	-1.87083333333333
PROS1	-1.0842
OSTN	0.883
PSMB8	1.71675
SOCS4	-0.054625
DDIT4L	0.874
MAS1	0.6705
MGC34796	2.12525
CSHL1	0.444666666666667
TBCCD1	0.451166666666667
ZBTB7C	0.2335
AP2S1	-0.867
P15RS	0.3648
VAT1	-0.5959
SHANK3	1.03666666666667
TUFM	1.051
THEG	-0.31575
KRT34	-1.87175
SGSM3	0.367625
TOMM22	-0.109
SOCS3	0.605833333333333
CPO	2.109
POP4	1.00075
BHLHB3	1.22875
MALL	1.272
OR1B1	0.5545
PARK2	-0.470833333333333
GPR124	1.30875
LCE1E	0.109
RUVBL2	-0.53575
CGRRF1	0.9755
ACPL2	0.032
WNT10B	-1.315875
BAIAP2L2	-1.8975
ISCA1	0.1785
C1orf125	0.34675
RPAP1	0.033
RAI16	-0.324666666666667
RPL27	-0.256125
NLRP9	0.62
EPN1	0.4375
LOC388610	-2.239375
SLC35A1	0.6002
GAL	-3.5765
SLC14A2	0.511
RDH11	0.760166666666667
FAM138F	0.8165
AUH	-0.34625
FLJ40243	0.2905
C14orf129	0.329166666666667
MBD2	-0.212333333333333
ABHD14B	0.101875
PIGT	0.4485
ALS2CR4	-0.552875
ALAS1	-0.3917
FOXO1	0.701833333333333
CRLF3	0.7005
C20orf107	0.2795
FARS2	0.978
CCDC28A	0.012
NPHP3	-1.053
OR13F1	0.3845
TSEN54	-1.0635
DEFB106B	0.3488
OR8B4	0.177
STH	0.00725000000000002
ZC3H14	-0.135875
CBX2	-0.1425
TMEM49	-0.03075
C6orf21	0.7855
FLJ20920	0.340625
CRTAP	-0.586571428571429
DDX50	-0.128
STYXL1	-0.85975
BLVRB	0.482
LOC147650	0.120166666666667
MMP24	-0.02125
GRID1	1.9775
BANF1	-0.482833333333333
CTAGEP	0.424
HMBS	-1.97525
SLC25A24	0.364833333333333
C14orf50	2.00425
MRO	1.88883333333333
SLC25A15	-2.04225
FAM84B	2.5655
TDP1	0.064
C16orf78	0.1635
C11orf57	-0.5225
RFK	-0.86925
ZFYVE9	-0.737375
STCH	-1.0437
WIBG	0.7175
LOC283871	0.743666666666667
GBA2	-1.4405
NDUFB3	0.028
HSD17B13	-0.998
GRIN3A	2.47016666666667
FMNL1	0.0795
SEPT7	-0.3812
GNLY	3.9625
GRAMD1C	0.663333333333333
ZNF165	-0.02475
USP38	0.6645
FAM83A	-1.4205
C14orf24	0.528666666666667
ARMCX3	0.711125
ARHGDIB	0.990666666666667
AK1	0.33175
KIAA1045	-0.21725
DNAJB13	0.0248333333333333
NEU2	0.67
HIST1H4B	-0.8725
FAM20B	0.6361
HES2	0.0432142857142857
FAM73B	-0.4503
LOC388381	1.647
INTS7	0.196727272727273
AMPH	1.6035
ZNF775	-0.257625
UCKL1	-0.818666666666667
C10orf97	0.22225
C1orf161	-0.073
ALDH1L1	-1.7555
FLJ39378	-0.204625
SLC23A1	-2.189
RBM4B	0.341
THAP4	-0.407
OGFRL1	0.8815
KIAA0831	0.206375
PPP1R15A	-0.398
C1orf96	-0.179357142857143
C12orf11	-0.482
BMF	0.482875
MAN1A1	-0.150625
KIAA1600	0.6425
NLGN4X	-1.27175
ALOX12	-1.2745
RB1CC1	-0.8125
NEIL2	0.072
EIF4E	0.0723181818181818
ABHD5	0.33925
EXOC4	-1.46783333333333
CIP29	0.361
BATF2	2.61525
SLC29A4	-0.875375
HTR4	0.25725
EMB	0.371
TRAF6	1.0425
LMNB1	-2.033
FAM19A5	-0.68075
SHE	1.81225
PIK3C2B	1.292
C15orf15	-0.3629
USP15	0.1537
TCEAL2	0.37575
C5orf39	0.2015
PTGER2	-0.34025
SLC31A1	-0.1605
IFT172	0.759
ADAM29	0.53125
GFOD1	0.384
ST7L	1.07283333333333
C15orf26	-2.69675
PKN3	-1.57975
CNTD1	3.52066666666667
COMMD1	0.494125
NTRK2	2.1802
FOXN3	0.039875
MFGE8	0.0928
PFKFB2	0.424166666666667
TAS2R4	-0.76475
ENTHD1	0.643166666666667
PRMT5	-0.359875
MGC16384	-1.70575
LOC442229	-0.1865
TSKU	0.913125
KRTCAP3	2.562375
PDLIM1	1.6665
KCNS2	0.30325
RNF126	-0.553666666666667
CEP63	-0.509875
CLIC4	-0.468
hCG_1990170	-1.48975
ACR	1.0165
KLK7	-0.231
ALOX5AP	4.001
RIPK3	2.99675
TAS2R9	0.4745
C19orf18	3.8185
BIRC6	0.371857142857143
ZNF16	1.104
RFT1	-0.672
SLC8A2	-0.76475
TACC1	-0.22325
ITGAD	0.3895
SAMHD1	2.325
SH3PXD2B	1.2534
EPC2	0.17675
C20orf85	0.06475
ATP13A2	-0.203166666666667
KRT4	2.428
CAPNS1	-0.69825
MDM2	-0.910166666666667
PCDH20	1.9955
KCNK9	0.713
OR2C1	0.209
KLHDC3	-1.13183333333333
IPPK	0.5215
EFHD2	0.166375
GALR3	0.89925
NBEA	-0.583166666666667
ABCA6	2.4781
CLDN3	2.02566666666667
AKT2	-0.861071428571429
EGFR	-2.1152
RBM16	0.30425
ZDHHC3	0.1475
SLC25A4	-0.194
CYB5B	-0.346
CPXM1	0.3355
NDRG1	-0.894076923076923
FLJ43826	2.6585
OR5L2	-0.17
FARP2	0.0781
MRPL46	-0.2915
LDHAL6B	-0.027
MAPKAPK3	-0.8555
NCAM2	-2.03225
PRKD2	-0.107333333333333
ZFP36L1	1.4547
CYSLTR1	-0.49675
OR4C3	-0.21075
HIST1H2AJ	2.4335
CCNB2	-1.90788888888889
ZNF10	0.219625
TMEM175	0.4285
FAM134A	0.675833333333333
TIGD4	-0.444
PCNP	-0.773
MGC39715	0.18825
LQK1	-1.74625
CREB1	0.5227
TMPRSS3	-1.45625
C4orf32	1.374625
LAT	-0.515166666666667
KCNA3	0.4665
SKIV2L2	-0.696
ROPN1B	-3.17425
tcag7.23	-0.899
CDT1	-2.486
ZHX2	1.8045
CD28	-1.50675
ZNF624	0.334
SEPT2	0.283833333333333
SOHLH2	-1.374875
MCOLN3	-1.39271428571429
UNQ1945	0.836
MASP2	-0.9525
ZNRF3	-0.3238
GPATCH3	-0.558
AGL	1.595375
QRICH2	0.35
PSD4	0.959666666666667
CCNB1IP1	-1.3755
ENPP7	0.01775
OBFC1	0.96375
KCNG3	-2.61325
C14orf79	0.439166666666667
ENPEP	2.07366666666667
SCT	3.185
SKI	0.48275
SEC61G	-0.8155
CAPN11	0.01475
ATXN7L3	-0.2365
DBNDD1	-0.535333333333333
FAIM	0.1155
ANKRD36	-0.7135
GABRP	0.727833333333333
TACSTD2	-0.747166666666667
EIF3J	-0.38975
PPP2R2A	-0.91475
TEKT4	-0.320333333333333
PVALB	-3.6
F10	-2.50666666666667
FAM134C	0.8398
COMP	4.497375
EFCBP1	-2.674125
SCLT1	0.48175
TAL1	-0.8417
ACSL1	1.5385
ABCC5	-0.306
ABL1	-0.460833333333333
RBBP7	-0.456833333333333
PTPRG	-0.9585
NCOR1	-0.6257
SPINK4	-1.96166666666667
TXNRD1	-0.6428
TNRC15	-0.937375
C9orf138	0.16775
UBE2H	0.5245
BRDT	0.7378
C8orf31	0.20975
CCNE2	-0.964545454545454
SLC6A8	-1.56975
CALCR	-2.49525
PPP1CB	1.06275
ABHD8	0.156
ARF5	-0.5729
SLC24A4	1.17525
CCT3	0.2955
ZNF121	0.409375
SLC3A2	-0.6899
OR13A1	0.5745
SLC5A10	0.55475
RAD50	-0.511125
IER5	0.7775
MTHFD1L	-1.879
MBTPS2	0.7445
MVK	0.257125
NCL	0.3238
PSMD10	-0.048
MOBP	0.685875
FLJ32894	-0.2185
HRH1	0.834666666666667
C5orf30	-0.25425
NUDT16L1	1.2336
RASGRP3	4.47283333333333
PRKRIP1	-0.8904
CCDC75	-0.5235
LOC253970	0.2585
KIAA1239	-0.01525
MED21	-0.39425
SYT11	0.844583333333333
NTSR2	-0.2125
EGFL11	0.8585
CXorf59	0.6395
OR2A25	0.123
SPTBN2	-0.02875
LRMP	-0.748833333333333
RNF111	-0.282
PTH	0.0935
LOC619208	1.59116666666667
KIAA0895	0.9105
RANBP5	-1.64425
P2RY10	1.896
NME5	4.31816666666667
DDX21	-0.699
LRSAM1	-0.153
HDAC11	0.339666666666667
VMO1	1.656
NOLA2	-0.545666666666667
ADAR	0.806083333333333
MTO1	-1.56133333333333
SF4	0.0675
P2RX1	0.368333333333333
HBM	0.71025
EN2	1.259
C14orf172	0.739
TM9SF2	0.4619
INHBE	-1.85016666666667
TCTE3	0.1175
TOX2	-2.24075
CTAGE3	0.193125
HBB	3.622
MED15	-0.804333333333333
CASR	0.19825
C6orf66	-1.20433333333333
MTPN	-1.608875
UNC50	0.04875
C21orf33	0.070875
IRF2	1.255625
PGR	-1.9815
GPR84	3.81425
CROCCL1	-1.64925
SRPX	-0.81775
BRE	0.499166666666667
FGF10	1.192
SDC3	0.640166666666667
ZRSR1	0.0893333333333333
DKFZP434P211	0.0479999999999999
SOX6	0.2325
RPUSD2	0.40225
C14orf173	-0.249833333333333
MAPK11	-0.0468333333333333
TBC1D22A	0.658
FAM123A	-1.185
COL4A6	-1.592
TOMM70A	-0.387
NAB1	-0.183375
MGC16385	-0.256625
TSPAN18	-0.4865
MED31	-0.46175
PLG	-0.3245
CAPSL	1.648
ZNF532	2.1716
ASB14	-0.30125
CA8	0.84625
NUDT16P	1.679
SLFN11	-0.1545
LRRIQ2	-0.121
NOL7	-0.342166666666667
BRMS1L	0.48725
JARID1A	-0.0955
PANK2	0.77725
ICAM3	0.296
MDS1	-1.3615
TAF8	-0.72675
RNF139	1.8935
ZNF594	-0.9505
ADAM8	3.02225
SFTPC	1.60625
MAN2B2	1.018375
RGS12	-0.194625
EIF1AY	-4.79275
LRRIQ1	-0.969333333333333
GPR150	0.95275
CCDC21	-1.92766666666667
PRRG3	0.5755
SAA4	-1.70825
RAPGEF5	1.599875
ZCCHC2	1.3715
MGC39372	1.351
PPP4R2	0.147666666666667
CDCA2	-2.43916666666667
OR4D5	0.377
PTGFRN	1.4851
SIGLEC5	2.71583333333333
C19orf61	-0.402666666666667
NMUR2	-0.469
KIAA1586	-0.708
DAGLA	-0.782
CHCHD6	-0.60425
GPR32	1.072
NEUROD6	0.167666666666667
SLC2A4RG	0.2979375
CA5B	0.74225
FBXL3	0.611
MPHOSPH9	-0.937
HMG2L1	-0.303
HCN4	0.423
CEACAM19	1.38775
SH2D4B	0.956166666666667
HFE2	-0.765
TGM4	0.522
LYPD2	-0.32275
TBC1D15	0.16025
MRPS21	-0.3492
NONO	-0.6662
CLEC5A	2.607875
ITCH	0.461
MGAT3	-0.851333333333333
MBP	-0.670875
RPP25	1.15775
SOSTDC1	-2.3635
HRC	-1.291
TRIM48	0.684
TMEM133	0.30975
ECEL1P2	-1.658
HOXC11	-0.6465
DOK5	-0.00950000000000001
HELZ	0.322833333333333
LOC348180	-0.65525
MGC33894	0.3935
ADRB3	0.303
DMD	-0.2555
PTRH2	0.1575
MPEG1	3.63
NDUFA12	-0.269666666666667
KRTAP2-4	0.294916666666667
STAMBPL1	-0.5885
ADCY2	0.913833333333333
UNQ6125	0.809
KLHL20	-0.0781666666666667
SRM	-1.484
OTC	-0.2265
TMIE	-0.3235
SNX8	0.10325
LIPK	0.5105
CHURC1	-0.865833333333334
KLC2	0.456166666666667
HDAC1	0.00183333333333334
FAM128A	-0.416833333333333
FNDC3B	0.7437
MTCP1	-0.018
WFDC10B	0.2947
PCDHGB3	0.5625
ATRNL1	-2.3516
CAV2	-0.202
MED26	-0.117
DUS1L	-0.18225
CHRM3	-2.048375
NEK9	0.7585
WARS2	0.194
TBX22	0.683
TOMM40	-1.27775
RP6-213H19.1	-1.29116666666667
TUBGCP5	-0.427
IGSF6	5.54725
TPPP	2.22583333333333
UNQ6190	-0.168
GSTM5	2.67925
BTD	1.26
PDCD1LG2	1.57583333333333
SNRPB2	0.4085
ERICH1	-0.31925
APOA4	-1.50525
HOXA11	-1.71575
NARG1	-0.254875
MKX	-0.2145
RAB28	-0.133071428571429
PKP3	1.4435
SH3GL2	-2.86775
CTSO	3.81725
RPN2	1.0838125
IL28RA	-0.291333333333333
SFMBT1	0.4005
WDR57	0.955125
FER1L3	0.35075
HSF5	-0.0693333333333333
TTC9B	0.13625
C4BPA	0.961333333333333
ALB	-3.56638461538462
SORBS3	0.1345
UPF2	0.1745
JPH1	-0.4605
AGBL2	-0.1755
DOPEY1	1.187
TERF1	-0.282833333333333
KIF22	-0.594666666666667
NINJ1	0.21975
SEC61A2	0.159666666666667
HIST1H1D	-0.35
SFXN4	0.206625
UCP3	0.7355
ZNF703	1.27833333333333
MYL6B	-0.56475
TREM1	2.75
OR52E6	1.6125
CKMT2	0.75725
HLA-C	2.89275
SLC13A3	-1.499
TIMP4	-0.497
SLIT2	2.48775
RSF1	0.253444444444444
LONRF1	-1.63964285714286
MON1A	0.0555
CACNG6	-1.2335
DPPA4	-4.9465
ZSWIM3	0.41275
ZNF804A	0.811333333333333
CCIN	2.02225
SLC25A31	0.93
KCNMB4	1.19625
RABL5	-0.255875
GALNS	0.1433
STX6	0.7195
HIST1H1C	-0.0595
CIDEB	0.059875
CASP4	1.281
PDK3	0.2903
KCNJ11	0.617
TPR	-0.652375
ZSCAN20	0.3085
MTX2	-0.728
HIST1H2BH	1.7105
LOC283767	1.98775
LYRM7	-1.72122222222222
BRD3	-0.316666666666667
HIST1H2BO	1.261
MAGEB10	-0.0215
SLC45A1	0.40175
SERPINA3	1.54315
KIAA0143	2.834
KCNJ16	-0.316166666666667
KRT79	0.52625
FABP2	-0.752
NUT	0.106
ZNF57	-0.116
FBXL4	-0.416625
CLEC9A	0.8335
UGT8	-1.21233333333333
BMP2K	0.177
MAPK4	-3.577
SLC25A23	-0.3265
HINT1	-0.254
KRTAP13-1	0.7075
SFXN5	0.101
CHCHD2	0.235
FAM3D	2.3335
NDP	-1.929125
RHOBTB1	-0.421166666666667
SLC4A4	-0.87425
RPL38	-0.46175
HTF9C	-0.468833333333333
AP2A2	0.342875
ZBTB46	-1.047
MAP7D1	0.551375
AOX1	-1.5395
CYR61	0.569583333333333
DTNA	-0.798571428571429
JRKL	0.846
TMOD3	0.6505
EEA1	0.5536
ADCK5	0.49
IL1R1	1.903
KLK3	0.471071428571428
HRSP12	-0.365
KTN1	0.72075
LOH11CR2A	1.3937
RELL2	-0.68125
MAB21L1	1.4595
C20orf59	-1.071
PHKB	0.76375
ADAM2	-2.15233333333333
TBC1D8B	1.56266666666667
FAM13A1	-1.108375
LAPTM4B	-0.31975
LCN8	0.2135
TMEM147	-0.096
SYT4	0.299833333333333
XPO7	-0.8825
C9orf62	1.25225
GPR75	-0.5585
TRIM5	1.662
APOC1	0.312666666666667
RNASE4	1.87766666666667
PARD6B	-3.4855
ARID1A	-0.676166666666667
TPD52L3	0.338333333333333
RRAGB	0.0633333333333333
RCN2	-0.305666666666667
HIST2H2BE	0.80975
STARD7	-0.32325
SHMT2	-1.0075
KIAA1751	0.58
MLYCD	-0.048
LOC162632	-0.4413
UQCRH	-1.13975
RP11-217H1.1	0.8559375
SDHA	-0.505833333333333
NCLN	0.4525
ZNF17	0.9335
RCBTB2	-1.062
VEGFB	-0.4219
RP4-747L4.3	0.49725
COLQ	0.1726
MPN2	-1.00883333333333
DRG2	-0.51525
KLRB1	4.958
ALPK2	0.09125
DNASE2B	3.3725
FLJ23834	-0.076
AXUD1	0.191166666666667
SAFB	-0.4024
NSUN4	0.508
RFX2	0.221833333333333
MAPK8IP1	-0.845666666666667
FANCD2	-0.456571428571429
ANKZF1	-1.24933333333333
C19orf50	-0.460125
DUSP8	0.517
SENP5	1.00575
NFKBIL2	-0.61
LBR	-1.281
IGFL1	0.265
LZTS2	-0.267125
IL2RG	0.67425
CCDC51	-0.764
KLF3	0.1475
ANKRD37	-1.42625
KCTD14	0.726333333333333
FZR1	0.171666666666667
SLC44A4	-0.1797
ESPL1	-1.132
GMPR2	0.4049
TBC1D19	-0.6475
ERGIC1	0.701
ERBB4	2.7837
TSPAN32	0.772166666666667
MAP4	-0.0335
GPHN	-0.1795
SLC6A2	-0.167125
HIVEP1	0.86125
DFFB	-0.8652
EIF4EBP2	0.77975
DMRT1	-0.28975
HSPB6	0.036
IER2	0.1825
AIFM1	0.165
WWC2	0.266583333333333
MRPL4	-0.52575
FLJ21062	-1.4265
EPB41L4A	0.234
SH2D6	0.4435
TAF4B	-0.39925
GAL3ST3	0.1185
MALT1	-0.191333333333333
RTDR1	0.61475
ARVCF	-0.067875
MEX3B	-0.608666666666667
FBXO16	1.45725
KIF7	-1.10575
C1QC	4.16116666666667
ZNF783	-1.00433333333333
ZNF85	-0.38725
MMP13	6.4475
KIAA0329	0.45175
RTP3	0.082
ZBED3	-0.00775
CLGN	0.0895
SLC25A37	-1.28870833333333
hCG_18290	-0.42725
OR5AS1	0.4025
SMARCC2	0.235083333333333
FAM109A	0.191333333333333
CCDC12	-0.45775
USF2	-0.2867
DEPDC7	-0.75275
C20orf24	-0.632
JMJD3	-0.1105
DSP	0.230714285714286
SLIC1	1.021875
FAM20A	2.478625
IRF2BP2	0.567375
ZNF230	-0.4115
MSN	0.477428571428571
SLC9A5	1.048
EPDR1	-1.4623
MUSK	-0.0611666666666667
ZNF434	0.705166666666667
SMARCD1	-0.535666666666667
ZFP106	-0.72675
ZNF347	0.0614
GTF2E1	0.399
