Hybridization REF	TCGA-A2-A0EU-01A-22R-A056-07
ASNSD1	-0.0705
FUT4	-0.525
ACF	-4.24725
LOC158381	1.2945
CDH8	-0.268
AGPS	-1.91366666666667
C4orf18	3.72075
PECI	0.0995
UNG	0.708375
GSTP1	-2.924625
DCUN1D5	-1.16516666666667
DKFZP564J0863	-1.332
SLC9A3R1	1.263
BCDO2	0.688
CHMP7	-1.192625
REM2	0.1595
DNHD1	-0.784375
FKBP4	-0.19275
ZNF350	2.66475
MGC11102	0.436125
BST1	0.7945
KISS1R	0.0675
NCR2	-0.3345
DEFB125	1.785
UBE2W	1.889375
KRT15	2.2145
C10orf99	0.2615
SCN11A	0.0835
GFI1	-2.527
RDHE2	5.10916666666667
FHL1	-0.702666666666667
OSGEP	-0.675
GATA1	-3.46533333333333
SMC6	-1.3235
TTTY14	-1.838
LPIN3	-0.2305
RPL4	-1.0901
RBPMS	-1.0181
PRPF3	-0.418166666666667
EMR1	-2.3735
SPATA19	0.496
XCR1	2.578
IRX3	1.5066
RBM6	-0.84075
KLF4	-0.3176
UNC5CL	2.3255
SEBOX	-0.4865
BTK	-0.652
KRCC1	0.54325
C6orf27	0.2585
SYTL5	0.613
PRND	1.30675
LOC653319	-1.9875
PIGL	0.593125
HUS1	-0.916833333333333
SFRS6	-0.216666666666667
C17orf77	1.335
UIMC1	-0.3175
FXYD2	-2.2355
LOC283152	0.023
ZNF667	-1.636
ZCCHC12	-0.637
TFEC	2.7103
ATP7B	0.271666666666667
POLD2	-1.4865
RG9MTD1	-0.14575
ACOT2	0.351666666666667
HIST1H4I	-0.4795
PPARGC1A	-3.6609
ETFA	-0.9939
POLRMT	0.04475
ZNF146	0.821125
MIA2	-0.856
KLHL6	-1.56683333333333
HOXB5	-0.831
NENF	0.246666666666667
CUGBP1	-0.066
PRSS22	1.1125
CASC4	1.9032
CUL4B	0.1438
CENPJ	-1.5337
PITX1	-0.9795
FLJ31033	1.4925
CELSR3	-2.18916666666667
ZNF568	1.08075
ITSN1	-0.0948333333333334
EHBP1L1	-1.54416666666667
C19orf2	-0.07575
DCTN1	-0.52975
LIN28B	-5.096
TNKS2	0.408
C1QBP	0.29225
CADPS2	0.58575
SRMS	0.66875
GJA9	-0.539666666666667
MGC24975	-0.465833333333333
TRIM45	0.00899999999999999
TSP50	-0.03925
TCP1	-0.98275
TMED7	0.293
CMA1	1.596
CENPL	-1.017
PTCRA	-0.708
FST	-3.285
VWCE	-3.74025
PAWR	0.70625
ABCC12	-0.278333333333333
LDLR	-1.7149
ASTN2	-0.1044
LOC441212	-0.76425
GPATCH8	0.09
TANC2	-0.841083333333333
KIF4A	-1.78925
C18orf18	-0.96375
PGM1	-1.4355
KIAA0258	0.80425
CPD	1.33225
SNCAIP	-0.6995
DCT	-4.51333333333333
HLA-DOA	2.59077272727273
OR11L1	0.5775
UPK1B	-0.509
DNAJB4	0.061875
UGT1A8	-1.2645
HIST1H4L	0.095
PECR	-0.756833333333333
HSPA2	2.25275
WFIKKN1	-3.204
SERP1	1.439875
SYDE2	1.98475
TACR2	0.327
NUP85	-0.55625
CD177	-0.353166666666667
LGR5	-2.50616666666667
PIGG	-0.3255
PTHR1	-1.9305
RAB5A	0.5898
FLJ13224	-1.0795
USP9Y	-2.5616
C7orf53	-0.723
LRP1B	-1.2455
XAF1	2.328
ABCG8	-0.018
ANKDD1A	-0.290833333333333
DAND5	-2.725
SPAG6	0.489333333333333
LINCR	0.9175
ZDHHC22	-1.51625
CCDC60	1.507
THOC7	-1.39833333333333
TCTA	1.2045
OR8K3	-0.37375
NY-REN-7	-1.362
B2M	1.18483333333333
C6orf141	-0.616625
LPPR4	2.3
SQLE	-0.542125
SEPHS1	-0.439
BTBD14B	0.476785714285714
PLRG1	-0.5725
SPG7	-0.532125
ZNF614	0.234
PARD6G	0.4235
INPP5B	-1.8703
GRPEL2	0.28425
PPID	-0.8003
TRIM56	-0.69225
UBE2J1	-0.31775
IL20RA	1.09725
LOC387856	-0.77675
C1orf107	0.410916666666667
UTS2R	-0.06025
C19orf22	0.6255
SAFB2	0.49475
KIAA0652	0.0345
KLRG1	-0.833333333333333
MS4A8B	4.6755
FRAG1	0.525
KIAA1546	0.0635
E2F4	-1.331
CLEC4M	0.217
BTBD14A	-1.1525
KIAA0999	2.1125
GYPA	-4.183
TAC1	0.7609
TRAIP	-1.534
KIAA0232	1.1925
ERCC8	-1.068625
GPX4	1.1605
KIAA0368	0.188875
GPR157	-1.16833333333333
CTAGE4	0.375
C9orf30	-1.77983333333333
OR52A1	0.332
HSP90B3P	0.242
ALG9	-0.1797
BTBD10	1.625
SDK2	-0.6605
BAIAP3	1.60675
RABGGTB	0.261875
ANKRD40	0.0343333333333333
KRT74	0.7925
CALCOCO2	0.459428571428571
SNCA	-3.4975
TMSL8	-4.422625
C2orf53	-0.243
ESRRB	-0.269
ARHGAP26	-2.308625
TDRD9	-2.9015
HRAS	0.119333333333333
KLRC4	-0.9985
JAGN1	-0.6185
BSDC1	0.8275
RNF43	0.8856
NDUFAF1	1.14925
PHF12	0.388666666666667
OR1L3	0.39125
FOLR2	1.311
LYZL6	-0.291666666666667
tcag7.1260	-2.8035
WSB1	-1.27533333333333
PROS1	-1.3601
OSTN	0.227
PSMB8	0.101
SOCS4	-0.403625
DDIT4L	0.299
MAS1	-1.435
MGC34796	1.356
CSHL1	-0.208833333333333
TBCCD1	-0.0318333333333333
ZBTB7C	0.285
AP2S1	-0.4675
P15RS	-0.0314
VAT1	-0.247
SHANK3	0.230666666666667
TUFM	0.0443333333333333
THEG	-0.63975
KRT34	0.17175
SGSM3	-0.4595
TOMM22	-0.689125
SOCS3	1.66833333333333
CPO	2.5135
POP4	0.66675
BHLHB3	0.33425
MALL	1.6925
OR1B1	0.0885
PARK2	0.0545
GPR124	0.635375
LCE1E	-0.356
RUVBL2	-0.63825
CGRRF1	-0.0132
ACPL2	0.797
WNT10B	-2.8405
BAIAP2L2	-2.3995
ISCA1	0.376
C1orf125	0.1285
RPAP1	-1.01525
RAI16	-1.04866666666667
RPL27	-0.47325
NLRP9	-0.0545
EPN1	-0.0555
LOC388610	-0.558375
SLC35A1	0.3208
GAL	-4.794
SLC14A2	0.09825
RDH11	-0.7455
FAM138F	-0.6745
AUH	0.82175
FLJ40243	0.3515
C14orf129	0.2365
MBD2	-0.245666666666667
ABHD14B	0.16725
PIGT	1.01775
ALS2CR4	-0.694
ALAS1	0.0105
FOXO1	1.50033333333333
CRLF3	-0.321375
C20orf107	2.6005
FARS2	0.433
CCDC28A	0.6925
NPHP3	-1.28125
OR13F1	-0.117
TSEN54	-0.4645
DEFB106B	-0.104666666666667
OR8B4	-0.075
STH	2.233
ZC3H14	-0.63725
CBX2	-0.538
TMEM49	-0.23
C6orf21	0.2715
FLJ20920	1.38225
CRTAP	-0.402428571428571
DDX50	-0.011
STYXL1	-0.49225
BLVRB	0.954
LOC147650	1.58983333333333
MMP24	0.331
GRID1	1.39
BANF1	-0.452166666666667
CTAGEP	-0.0565
HMBS	-2.01275
SLC25A24	0.768333333333333
C14orf50	1.545
MRO	0.397833333333333
SLC25A15	-0.17975
FAM84B	2.3274
TDP1	-1.684
C16orf78	-0.285666666666667
C11orf57	0.489375
RFK	-0.185875
ZFYVE9	0.33975
STCH	-1.3022
WIBG	1.12925
LOC283871	0.637666666666667
GBA2	-0.8021
NDUFB3	-0.0695
HSD17B13	-1.0915
GRIN3A	0.537666666666667
FMNL1	-1.58266666666667
SEPT7	-0.0578
GNLY	3.382
GRAMD1C	2.088
ZNF165	1.17125
USP38	1.8235
FAM83A	-3.597
C14orf24	1.16833333333333
ARMCX3	0.461625
ARHGDIB	0.801
AK1	0.250125
KIAA1045	0.589
DNAJB13	-0.533333333333333
NEU2	0.165
HIST1H4B	-0.802333333333333
FAM20B	-0.4944
HES2	0.462071428571429
FAM73B	-0.7667
LOC388381	1.225
INTS7	-0.810636363636364
AMPH	1.0785
ZNF775	-0.383
UCKL1	-0.726166666666667
C10orf97	-0.00674999999999998
C1orf161	-0.7705
ALDH1L1	-1.82725
FLJ39378	0.255875
SLC23A1	-3.0915
RBM4B	0.2675
THAP4	-0.208666666666667
OGFRL1	0.691
KIAA0831	0.33075
PPP1R15A	-0.0166666666666667
C1orf96	0.258928571428571
C12orf11	-1.33775
BMF	0.276
MAN1A1	-0.144625
KIAA1600	0.649666666666667
NLGN4X	-1.2785
ALOX12	-0.808333333333333
RB1CC1	1.0093
NEIL2	-0.3693
EIF4E	0.244136363636364
ABHD5	-0.1565
EXOC4	-0.6215
CIP29	0.582
BATF2	1.09075
SLC29A4	-1.392625
HTR4	0.2975
EMB	-2.33025
TRAF6	0.71675
LMNB1	-0.748
FAM19A5	-1.27
SHE	1.0405
PIK3C2B	0.8025
C15orf15	-0.372
USP15	0.7311
TCEAL2	0.83825
C5orf39	-1.27666666666667
PTGER2	-1.52575
SLC31A1	-0.441625
IFT172	-0.5715
ADAM29	0.512
GFOD1	-0.34225
ST7L	0.393666666666667
C15orf26	-3.38325
PKN3	-2.12725
CNTD1	3.41716666666667
COMMD1	-0.467625
NTRK2	2.29466666666667
FOXN3	0.03175
MFGE8	-1.5284
PFKFB2	0.762833333333333
TAS2R4	0.4055
ENTHD1	0.811
PRMT5	-1.29125
MGC16384	-1.101875
LOC442229	-1.136
TSKU	0.3035
KRTCAP3	2.22175
PDLIM1	-0.0272
KCNS2	0.6275
RNF126	-0.172333333333333
CEP63	0.44625
CLIC4	0.557375
hCG_1990170	-1.39425
ACR	0.4043
KLK7	-0.54875
ALOX5AP	2.494
RIPK3	4.04325
TAS2R9	0.1225
C19orf18	2.5075
BIRC6	0.284928571428571
ZNF16	1.398
RFT1	-0.76225
SLC8A2	-1.59425
TACC1	-0.5295
ITGAD	0.410333333333333
SAMHD1	0.73625
SH3PXD2B	1.0986
EPC2	0.71925
C20orf85	3.197875
ATP13A2	-0.0593333333333333
KRT4	0.299375
CAPNS1	0.1475
MDM2	0.57925
PCDH20	2.9365
KCNK9	0.516
OR2C1	0.1595
KLHDC3	-1.23633333333333
IPPK	1.5225
EFHD2	-0.59525
GALR3	0.0845
NBEA	1.112
ABCA6	2.1484
CLDN3	2.181
AKT2	-0.330357142857143
EGFR	-2.7778
RBM16	0.965
ZDHHC3	-0.5
SLC25A4	0.199666666666667
CYB5B	-0.91
CPXM1	-0.40725
NDRG1	-0.499384615384615
FLJ43826	-0.36875
OR5L2	0.6964
FARP2	0.3347
MRPL46	-0.646
LDHAL6B	0.397166666666667
MAPKAPK3	-0.529833333333333
NCAM2	-3.4875
PRKD2	0.385666666666667
ZFP36L1	0.3682
CYSLTR1	2.0675
OR4C3	-0.60575
HIST1H2AJ	4.0465
CCNB2	-3.01844444444444
ZNF10	0.292875
TMEM175	0.2165
FAM134A	0.5705
TIGD4	0.1915
PCNP	-0.30575
MGC39715	0.53575
LQK1	-0.86075
CREB1	0.6724
TMPRSS3	-1.77625
C4orf32	2.032125
LAT	-1.85616666666667
KCNA3	0.19
SKIV2L2	-0.47225
ROPN1B	-4.951
tcag7.23	-0.3065
CDT1	-3.16675
ZHX2	1.2435
CD28	-3.604
ZNF624	2.177
SEPT2	-0.00400000000000001
SOHLH2	-2.29871428571429
MCOLN3	2.118125
UNQ1945	-0.148
MASP2	-1.5385
ZNRF3	0.9341
GPATCH3	-0.31575
AGL	1.139625
QRICH2	-0.738
PSD4	0.8175
CCNB1IP1	-2.318
ENPP7	0.47575
OBFC1	-0.08625
KCNG3	-1.68833333333333
C14orf79	0.156166666666667
ENPEP	1.81583333333333
SCT	1.199
SKI	0.355625
SEC61G	-1.5325
CAPN11	-0.453
ATXN7L3	-0.1145
DBNDD1	-0.339
FAIM	0.45425
ANKRD36	-0.2815
GABRP	-0.0648333333333333
TACSTD2	1.31533333333333
EIF3J	-0.28475
PPP2R2A	-1.979
TEKT4	-0.665166666666667
PVALB	-3.6795
F10	-3.005
FAM134C	0.9413
COMP	4.274625
EFCBP1	-3.17813333333333
SCLT1	0.1015
TAL1	-1.3628
ACSL1	1.6515
ABCC5	-0.525416666666667
ABL1	-1.15744444444444
RBBP7	0.965083333333333
PTPRG	-0.490875
NCOR1	0.5475
SPINK4	-1.46466666666667
TXNRD1	-1.2211
TNRC15	1.05075
C9orf138	1.141125
UBE2H	1.815
BRDT	4.46216666666667
C8orf31	-0.34775
CCNE2	-0.550636363636364
SLC6A8	-1.098125
CALCR	-4.5855
PPP1CB	0.153416666666667
ABHD8	0.00725
ARF5	0.4445
SLC24A4	0.5445
CCT3	-0.665
ZNF121	0.61875
SLC3A2	-0.1051
OR13A1	0.6825
SLC5A10	1.57175
RAD50	0.67975
IER5	0.055
MTHFD1L	-2.399
MBTPS2	0.231
MVK	-0.073125
NCL	-0.4411
PSMD10	0.4705
MOBP	0.4595
FLJ32894	-0.939
HRH1	-0.550333333333333
C5orf30	3.1835
NUDT16L1	1.4743
RASGRP3	3.536
PRKRIP1	-0.8776
CCDC75	0.344
LOC253970	0.925
KIAA1239	-0.22125
MED21	-0.36575
SYT11	-0.312583333333333
NTSR2	-0.1375
EGFL11	0.684
CXorf59	1.399
OR2A25	0.4095
SPTBN2	-2.50025
LRMP	-2.1835
RNF111	0.25375
PTH	1.1105
LOC619208	0.756833333333333
KIAA0895	2.0605
RANBP5	-1.190875
P2RY10	0.637
NME5	4.09216666666667
DDX21	-0.34325
LRSAM1	-0.8105
HDAC11	1.4195
VMO1	0.60575
NOLA2	0.0523333333333333
ADAR	0.146666666666667
MTO1	-1.44033333333333
SF4	-0.0216666666666667
P2RX1	0.0375
HBM	0.13
EN2	0.4045
C14orf172	-0.19575
TM9SF2	0.4147
INHBE	-1.47666666666667
TCTE3	-0.578833333333333
TOX2	-3.72325
CTAGE3	0.5945
HBB	3.8668
MED15	-1.2815
CASR	-0.61325
C6orf66	-1.06866666666667
MTPN	0.0955
UNC50	0.04875
C21orf33	-0.32475
IRF2	1.057625
PGR	3.12533333333333
GPR84	2.79275
CROCCL1	-0.9095
SRPX	-2.11625
BRE	0.0233333333333333
FGF10	0.8305
SDC3	-0.448666666666667
ZRSR1	0.702333333333333
DKFZP434P211	-0.448625
SOX6	2.554
RPUSD2	-0.45875
C14orf173	-0.295083333333333
MAPK11	-0.229
TBC1D22A	-0.209
FAM123A	-1.1165
COL4A6	-4.3405
TOMM70A	0.295
NAB1	-0.76175
MGC16385	-0.198125
TSPAN18	-0.067
MED31	0.3435
PLG	-0.54525
CAPSL	4.161
ZNF532	0.5927
ASB14	-0.1575
CA8	-2.556
NUDT16P	3.36633333333333
SLFN11	-1.142
LRRIQ2	0.182625
NOL7	-0.06
BRMS1L	-0.44125
JARID1A	0.602166666666667
PANK2	-0.1485
ICAM3	-0.33175
MDS1	-0.54375
TAF8	-0.647
RNF139	1.574
ZNF594	0.619666666666667
ADAM8	0.98425
SFTPC	-0.632625
MAN2B2	0.9605
RGS12	0.560625
EIF1AY	-4.79716666666667
LRRIQ1	-1.22433333333333
GPR150	0.05
CCDC21	-0.518333333333333
PRRG3	0.178
SAA4	-3.96125
RAPGEF5	1.3535
ZCCHC2	0.1625
MGC39372	-0.0265
PPP4R2	0.9575
CDCA2	-2.67716666666667
OR4D5	-0.0770000000000001
PTGFRN	0.2422
SIGLEC5	-0.544
C19orf61	-0.429
NMUR2	-0.5005
KIAA1586	-0.995333333333333
DAGLA	0.965333333333333
CHCHD6	-0.09775
GPR32	0.6875
NEUROD6	-0.300166666666667
SLC2A4RG	0.484125
CA5B	0.32775
FBXL3	1.4515
MPHOSPH9	-2.0005
HMG2L1	0.681
HCN4	-0.4455
CEACAM19	-0.43075
SH2D4B	0.347
HFE2	-0.8065
TGM4	0.4334
LYPD2	0.8255
TBC1D15	0.23225
MRPS21	-0.4127
NONO	-0.5168
CLEC5A	0.88475
ITCH	0.5625
MGAT3	-1.19
MBP	-0.349833333333333
RPP25	-1.50775
SOSTDC1	-1.7105
HRC	-1.83025
TRIM48	0.0515
TMEM133	0.06825
ECEL1P2	-1.8325
HOXC11	-1.5825
DOK5	0.14625
HELZ	0.205
LOC348180	-1.03025
MGC33894	-0.13
ADRB3	0.1795
DMD	-0.599916666666667
PTRH2	-0.52475
MPEG1	3.03816666666667
NDUFA12	0.312166666666667
KRTAP2-4	-0.554666666666667
STAMBPL1	-1.38333333333333
ADCY2	-0.130833333333333
UNQ6125	-0.77
KLHL20	0.4685
SRM	-1.91
OTC	-0.29325
TMIE	-0.3695
SNX8	-0.04025
LIPK	0.669
CHURC1	-0.0820833333333333
KLC2	0.3615
HDAC1	0.1105
FAM128A	0.0671666666666667
FNDC3B	-0.9891
MTCP1	-0.273333333333333
WFDC10B	0.8883
PCDHGB3	-1.055
ATRNL1	-2.1672
CAV2	-0.77125
MED26	0.432333333333333
DUS1L	-0.263
CHRM3	-2.148
NEK9	0.23625
WARS2	-0.76675
TBX22	-1.937
TOMM40	-0.6945
RP6-213H19.1	-2.1425
TUBGCP5	-0.197
IGSF6	5.34925
TPPP	2.7725
UNQ6190	0.4435
GSTM5	2.32825
BTD	-0.1825
PDCD1LG2	-0.415166666666667
SNRPB2	0.2695
ERICH1	-1.776625
APOA4	-1.981125
HOXA11	-2.6585
NARG1	-0.142125
MKX	-0.6725
RAB28	0.153785714285714
PKP3	1.25475
SH3GL2	-2.745
CTSO	3.769
RPN2	0.6986875
IL28RA	0.0568333333333333
SFMBT1	-0.177
WDR57	-0.39
FER1L3	2.2725
HSF5	0.56775
TTC9B	-0.232
C4BPA	-4.40466666666667
ALB	-4.53185714285714
SORBS3	-0.93
UPF2	-0.084
JPH1	0.7755
AGBL2	1.39075
DOPEY1	2.1965
TERF1	0.491416666666667
KIF22	0.16
NINJ1	0.527
SEC61A2	0.29225
HIST1H1D	-0.0991666666666667
SFXN4	-0.141875
UCP3	-0.1037
ZNF703	2.04316666666667
MYL6B	-0.0375
TREM1	1.36525
OR52E6	0.152
CKMT2	1.418
HLA-C	0.981625
SLC13A3	-1.3425
TIMP4	-1.29525
SLIT2	2.04175
RSF1	0.680611111111111
LONRF1	-1.38557142857143
MON1A	-0.782166666666667
CACNG6	-1.75333333333333
DPPA4	-5.77716666666667
ZSWIM3	0.57775
ZNF804A	0.2685
CCIN	1.81675
SLC25A31	0.8105
KCNMB4	2.74825
RABL5	0.582125
GALNS	-0.5958
STX6	0.606
HIST1H1C	-1.86966666666667
CIDEB	-0.19125
CASP4	-1.307
PDK3	0.0449
KCNJ11	1.9895
TPR	-0.505
ZSCAN20	-1.357
MTX2	0.4495
HIST1H2BH	-0.71375
LOC283767	0.9065
LYRM7	-1.70405555555556
BRD3	0.5025
HIST1H2BO	-0.96575
MAGEB10	-0.408
SLC45A1	0.9415
SERPINA3	0.43875
KIAA0143	1.61725
KCNJ16	-0.209833333333333
KRT79	0.57675
FABP2	-2.50266666666667
NUT	-0.89425
ZNF57	0.06125
FBXL4	0.61475
CLEC9A	0.392
UGT8	-1.79083333333333
BMP2K	0.48225
MAPK4	-4.22875
SLC25A23	-0.2224
HINT1	0.2908
KRTAP13-1	-0.292
SFXN5	1.0571
CHCHD2	0.559416666666667
FAM3D	0.4075
NDP	0.92125
RHOBTB1	1.07366666666667
SLC4A4	-1.986875
RPL38	-0.136
HTF9C	-0.579333333333333
AP2A2	0.14475
ZBTB46	-0.493
MAP7D1	0.114
AOX1	-1.48316666666667
CYR61	1.04608333333333
DTNA	1.11985714285714
JRKL	-1.34225
TMOD3	-0.075
EEA1	0.9035
ADCK5	-0.14975
IL1R1	1.25883333333333
KLK3	0.377214285714286
HRSP12	-0.05925
KTN1	0.32525
LOH11CR2A	1.4325
RELL2	-0.88125
MAB21L1	0.75075
C20orf59	-1.00283333333333
PHKB	1.05975
ADAM2	-2.02116666666667
TBC1D8B	1.52116666666667
FAM13A1	-1.7573125
LAPTM4B	-1.35291666666667
LCN8	-0.451
TMEM147	0.802
SYT4	0.2254
XPO7	-1.9445
C9orf62	0.3845
GPR75	0.304
TRIM5	0.044875
APOC1	-2.04366666666667
RNASE4	-0.174333333333333
PARD6B	1.026875
ARID1A	0.1345
TPD52L3	0.436444444444444
RRAGB	2.309
RCN2	-0.125833333333333
HIST2H2BE	-0.6694375
STARD7	0.07525
SHMT2	-1.97075
KIAA1751	0.318
MLYCD	0.01275
LOC162632	-0.1931
UQCRH	-1.2795
RP11-217H1.1	1.1188125
SDHA	-0.9485
NCLN	-0.5405
ZNF17	1.0635
RCBTB2	-2.01025
VEGFB	-1.2872
RP4-747L4.3	-0.785
COLQ	-0.035
MPN2	-0.787666666666667
DRG2	0.0755
KLRB1	4.016
ALPK2	-2.51
DNASE2B	0.31625
FLJ23834	-0.225333333333333
AXUD1	1.1665
SAFB	0.1585
NSUN4	-0.65475
RFX2	0.244833333333333
MAPK8IP1	-0.135166666666667
FANCD2	-1.08185714285714
ANKZF1	-2.14183333333333
C19orf50	-0.54475
DUSP8	0.704875
SENP5	-0.043875
NFKBIL2	-0.529
LBR	-2.700875
IGFL1	2.85
LZTS2	0.392375
IL2RG	-1.179625
CCDC51	0.07675
KLF3	-0.25675
ANKRD37	-0.569
KCTD14	0.830333333333333
FZR1	0.523333333333333
SLC44A4	3.4038
ESPL1	-1.259625
GMPR2	-1.1542
TBC1D19	-1.029
ERGIC1	0.0908518518518519
ERBB4	3.6613
TSPAN32	-0.208083333333333
MAP4	-0.123125
GPHN	0.43025
SLC6A2	-0.380571428571429
HIVEP1	0.595
DFFB	-0.2132
EIF4EBP2	-0.2395
DMRT1	-0.767666666666667
HSPB6	-0.286
IER2	1.11633333333333
AIFM1	0.648
WWC2	-1.0229
MRPL4	-0.713
FLJ21062	0.7045
EPB41L4A	1.85458333333333
SH2D6	0.25875
TAF4B	-1.7205
GAL3ST3	0.088
MALT1	-1.398
RTDR1	0.029
ARVCF	0.199
MEX3B	-1.78816666666667
FBXO16	-0.633
KIF7	0.41025
C1QC	3.78433333333333
ZNF783	-0.9275
ZNF85	0.95025
MMP13	5.555
KIAA0329	0.515625
RTP3	-0.285
ZBED3	-0.1505
CLGN	-5.182
SLC25A37	-2.91325
hCG_18290	-0.81175
OR5AS1	0.6765
SMARCC2	0.151666666666667
FAM109A	0.263166666666667
CCDC12	0.15175
USF2	0.5023
DEPDC7	-2.5135
C20orf24	0.172
JMJD3	1.048
DSP	2.6815
SLIC1	0.299875
FAM20A	0.309375
IRF2BP2	-0.038375
ZNF230	0.8865
MSN	-1.09421428571429
SLC9A5	-2.6145
EPDR1	-2.0808
MUSK	0.1142
ZNF434	0.7915
SMARCD1	-0.846
