Hybridization REF	TCGA-AO-A0JI-01A-21R-A056-07
FNDC1	4.72275
HS2ST1	-1.05108333333333
CRELD2	-0.10875
C8G	-1.4815
CD82	0.29125
LIM2	-1.021
UNQ6490	-1.461
MMP16	-0.5655
DRD3	0.117
C5orf26	0.189
C11orf73	0.610375
PTP4A2	-0.100125
OR4M2	-0.525
HPCA	-2.12266666666667
SEC14L1	-0.486833333333333
CHFR	-1.42775
EMILIN1	0.0821249999999999
NDUFS4	0.5825
COL18A1	-1.851125
PDZD3	0.0894444444444445
C9orf16	-0.834666666666667
ERBB2IP	0.390333333333333
EMX2	2.464
FUS	-1.25175
TF	-4.022
CLCN4	-0.4655
CXorf56	1.7745
C11orf72	-0.551333333333333
ELAC2	-0.768666666666666
NPR1	-1.84525
ASS1	-3.37816666666667
USP42	0.034875
POLR2J	-0.6115
SEC23IP	0.7
UQCRC1	-0.69425
LOC729603	-1.38725
C1orf71	0.62125
POLG	-1.594
ADAM23	-2.49375
TFR2	-1.799
RICTOR	-0.6237
MGC39606	-0.813
C19orf55	-0.861142857142857
SNAPC1	-0.851
GNA11	-0.7195
CCDC52	0.5245
FSIP1	7.417
UPF3A	-0.617125
IGSF11	-1.19933333333333
LAGE3	-0.85775
CHST6	-2.445
UNC13B	-0.095625
TTLL4	-2.16875
ZNF687	-0.613125
SDC2	-1.914
COX7A2	0.41375
LAMB4	0.58175
FAM24A	1.196
LRRTM3	-0.0468
GPHB5	-0.424
OR4C13	1.9
EIF3EIP	0.839142857142857
HABP4	-1.261
TMEM125	2.8065
CNTN2	-1.28357142857143
ASNSD1	-0.04175
FUT4	-0.645714285714286
ACF	-4.7655
LOC158381	1.536
CDH8	-0.208
AGPS	-0.704666666666667
C4orf18	3.815125
PECI	1.20841666666667
UNG	0.11825
GSTP1	-3.4255
DCUN1D5	-0.911166666666667
DKFZP564J0863	-0.61225
SLC9A3R1	1.559
BCDO2	-1.59125
CHMP7	-0.248875
REM2	-1.2855
DNHD1	-0.36
FKBP4	-0.40425
ZNF350	1.44075
MGC11102	-0.60225
BST1	0.83825
KISS1R	0.5125
NCR2	0.5535
DEFB125	1.0165
UBE2W	1.847625
KRT15	0.159875
C10orf99	0.0355
SCN11A	0.414125
GFI1	-1.526
RDHE2	0.3665
FHL1	-1.30516666666667
OSGEP	0.202
GATA1	-2.54066666666667
SMC6	-1.20925
TTTY14	-1.16775
LPIN3	-0.25
RPL4	-0.4172
RBPMS	-1.5383
PRPF3	-0.980166666666667
EMR1	-2.618
SPATA19	-0.17375
XCR1	0.2195
IRX3	1.9327
RBM6	-0.84275
KLF4	-1.19211111111111
UNC5CL	-0.72775
SEBOX	null
BTK	1.4575
KRCC1	3.08325
C6orf27	0.039
SYTL5	-1.496
PRND	0.325285714285714
LOC653319	-1.3175
PIGL	-0.2585
HUS1	-0.223166666666667
SFRS6	0.794083333333333
C17orf77	0.291
UIMC1	-0.0466666666666667
FXYD2	-2.0335
LOC283152	-0.63975
ZNF667	-1.9825
ZCCHC12	-0.087
TFEC	0.2984
ATP7B	0.424333333333333
POLD2	-1.66
RG9MTD1	0.74975
ACOT2	1.56216666666667
HIST1H4I	-0.276625
PPARGC1A	-2.3597
ETFA	-0.5218
POLRMT	-1.087
ZNF146	0.54975
MIA2	-1.932
KLHL6	-0.453166666666667
HOXB5	-1.374375
NENF	0.538333333333333
CUGBP1	0.82425
PRSS22	-0.0531666666666667
CASC4	1.7325
CUL4B	-0.1469
CENPJ	-1.46366666666667
PITX1	-2.42616666666667
FLJ31033	0.353333333333333
CELSR3	-0.0686666666666667
ZNF568	1.6735
ITSN1	-0.614583333333333
EHBP1L1	-2.24366666666667
C19orf2	0.414
DCTN1	-0.65625
LIN28B	-2.0764
TNKS2	-0.116
C1QBP	0.896375
CADPS2	0.5635
SRMS	0.72475
GJA9	0.138833333333333
MGC24975	-0.608833333333333
TRIM45	-0.7445
TSP50	-0.972
TCP1	-1.45175
TMED7	1.0365
CMA1	2.143
CENPL	-0.575333333333333
PTCRA	-0.668
FST	-4.52075
VWCE	-4.24225
PAWR	-0.18125
ABCC12	-0.178
LDLR	-2.4912
ASTN2	2.4075
LOC441212	-0.13925
GPATCH8	-0.39525
TANC2	-1.55836363636364
KIF4A	-2.43325
C18orf18	0.22025
PGM1	-1.3485
KIAA0258	1.785
CPD	1.72175
SNCAIP	-1.507
DCT	-4.066
HLA-DOA	2.332
OR11L1	0.7345
UPK1B	-0.2194
DNAJB4	-0.83275
UGT1A8	-0.357
HIST1H4L	-1.935
PECR	-0.0375
HSPA2	-0.5865
WFIKKN1	-1.9475
SERP1	2.194
SYDE2	0.4015
TACR2	1.287
NUP85	-1.1495
CD177	-0.6644
LGR5	-2.2402
PIGG	0.2535
PTHR1	-2.643
RAB5A	0.9515
FLJ13224	-1.4445
USP9Y	-1.811
C7orf53	-2.158
LRP1B	-1.3505
XAF1	1.7094
ABCG8	-0.8335
ANKDD1A	-0.837833333333333
DAND5	-1.743
SPAG6	1.0964
LINCR	-0.2475
ZDHHC22	0.512125
CCDC60	-0.5435
THOC7	-0.4075
TCTA	1.1539
OR8K3	0.15975
NY-REN-7	0.236
B2M	1.79483333333333
C6orf141	-0.257375
LPPR4	1.92475
SQLE	-0.163125
SEPHS1	0.097
BTBD14B	-0.0198571428571428
PLRG1	-0.18775
SPG7	-1.659875
ZNF614	0.316333333333333
PARD6G	0.535833333333333
INPP5B	-1.3416
GRPEL2	0.2785
PPID	0.0142
TRIM56	-0.702
UBE2J1	-0.799875
IL20RA	6.08125
LOC387856	-0.16075
C1orf107	0.5355
UTS2R	-0.25475
C19orf22	-1.3805
SAFB2	-0.286375
KIAA0652	-0.88725
KLRG1	0.8755
MS4A8B	6.276
FRAG1	0.2115
KIAA1546	-0.49275
E2F4	-1.8475
CLEC4M	-0.0541666666666667
BTBD14A	-0.805
KIAA0999	2.2893
GYPA	-2.7438
TAC1	0.1124
TRAIP	-1.4035
KIAA0232	0.8969
ERCC8	-0.461714285714286
GPX4	0.523125
KIAA0368	0.308875
GPR157	-1.75066666666667
CTAGE4	-0.173
C9orf30	-0.652333333333333
OR52A1	0.11
HSP90B3P	0.269
ALG9	0.6513
BTBD10	1.29
SDK2	-0.205666666666667
BAIAP3	1.2475
RABGGTB	-0.552
ANKRD40	-0.224833333333333
KRT74	0.3855
CALCOCO2	1.61757142857143
SNCA	-3.00625
TMSL8	-0.8035
C2orf53	0.786
ESRRB	-0.4455
ARHGAP26	-1.79125
TDRD9	-2.699
HRAS	-0.650166666666667
KLRC4	-5.3095
JAGN1	0.411166666666667
BSDC1	-0.4
RNF43	0.2941
NDUFAF1	1.80525
PHF12	-0.01025
OR1L3	0.4055
FOLR2	2.03108333333333
LYZL6	1.13033333333333
tcag7.1260	-2.7695
WSB1	-1.88083333333333
PROS1	-0.777333333333333
OSTN	-0.016
PSMB8	0.34825
SOCS4	-0.730625
DDIT4L	-0.394
MAS1	0.157
MGC34796	1.68225
CSHL1	-0.442166666666667
TBCCD1	-0.270166666666667
ZBTB7C	-0.5765
AP2S1	-0.672875
P15RS	1.2088
VAT1	-0.7674
SHANK3	-0.746666666666667
TUFM	-1.141
THEG	-1.13825
KRT34	-2.54975
SGSM3	-0.129375
TOMM22	-0.237375
SOCS3	-0.119833333333333
CPO	0.578
POP4	0.69075
BHLHB3	-0.0815
MALL	0.344
OR1B1	-0.5615
PARK2	0.0626
GPR124	-0.15975
LCE1E	0.3105
RUVBL2	-1.59075
CGRRF1	1.3246
ACPL2	1.6875
WNT10B	-0.8315
BAIAP2L2	-1.92275
ISCA1	1.1145
C1orf125	0.113714285714286
RPAP1	0.04575
RAI16	-0.8905
RPL27	0.30025
NLRP9	2.1
EPN1	0.0555
LOC388610	-0.974875
SLC35A1	1.4221
GAL	-4.305
SLC14A2	-0.0595
RDH11	-0.0883333333333333
FAM138F	-0.521
AUH	2.02275
FLJ40243	0.45025
C14orf129	0.656666666666667
MBD2	0.189833333333333
ABHD14B	-0.717625
PIGT	0.18325
ALS2CR4	-0.547375
ALAS1	-0.2179
FOXO1	0.689166666666667
CRLF3	-0.11275
C20orf107	-1.3445
FARS2	1.36725
CCDC28A	0.6815
NPHP3	-0.85425
OR13F1	0.238
TSEN54	-1.20925
DEFB106B	0.245285714285714
OR8B4	0.6955
STH	-0.0646666666666667
ZC3H14	-0.19625
CBX2	-0.699
TMEM49	-0.465
C6orf21	-0.5405
FLJ20920	-1.598125
CRTAP	-0.0301428571428571
DDX50	0.4095
STYXL1	0.79125
BLVRB	1.02183333333333
LOC147650	-0.585833333333333
MMP24	1.267
GRID1	1.548
BANF1	-1.097
CTAGEP	0.34525
HMBS	-1.61425
SLC25A24	0.569333333333333
C14orf50	2.806
MRO	-0.584
SLC25A15	0.64125
FAM84B	0.6012
TDP1	-0.3045
C16orf78	-0.206
C11orf57	0.658875
RFK	0.754125
ZFYVE9	0.500375
STCH	-0.1845
WIBG	-0.2785
LOC283871	-1.8075
GBA2	-0.7137
NDUFB3	0.45925
HSD17B13	-0.048
GRIN3A	1.29883333333333
FMNL1	-2.267
SEPT7	0.0914
GNLY	0.567
GRAMD1C	1.45416666666667
ZNF165	1.19275
USP38	0.926
FAM83A	-3.7915
C14orf24	1.86241666666667
ARMCX3	1.2835
ARHGDIB	-0.0973333333333333
AK1	0.2845
KIAA1045	2.12325
DNAJB13	-0.6838
NEU2	0.4515
HIST1H4B	-1.14366666666667
FAM20B	-0.5883
HES2	-0.314846153846154
FAM73B	-1.5676
LOC388381	0.227
INTS7	-0.836727272727273
AMPH	-0.046
ZNF775	-0.618125
UCKL1	-0.993
C10orf97	1.46575
C1orf161	-0.64875
ALDH1L1	-2.00925
FLJ39378	0.0155
SLC23A1	2.0535
RBM4B	-0.562
THAP4	-0.898333333333333
OGFRL1	2.74
KIAA0831	0.31325
PPP1R15A	-1.71116666666667
C1orf96	1.02285714285714
C12orf11	-1.26625
BMF	0.514625
MAN1A1	0.54925
KIAA1600	0.300166666666667
NLGN4X	-3.292
ALOX12	-0.799166666666666
RB1CC1	0.7104
NEIL2	1.0054
EIF4E	0.846047619047619
ABHD5	0.4125
EXOC4	-0.75
CIP29	0.830833333333333
BATF2	0.1025
SLC29A4	-0.823
HTR4	0.376
EMB	1.08975
TRAF6	0.664
LMNB1	-0.92875
FAM19A5	1.54725
SHE	1.57333333333333
PIK3C2B	0.979
C15orf15	0.6049
USP15	0.2775
TCEAL2	2.851
C5orf39	-0.863333333333333
PTGER2	-1.96675
SLC31A1	-0.4678125
IFT172	0.345
ADAM29	-0.0775
GFOD1	-0.721
ST7L	0.138166666666667
C15orf26	-1.81275
PKN3	-2.04175
CNTD1	4.99016666666667
COMMD1	0.676625
NTRK2	2.06483333333333
FOXN3	-0.256875
MFGE8	-2.015
PFKFB2	-0.8545
TAS2R4	-0.625333333333333
ENTHD1	-0.201166666666667
PRMT5	-1.482625
MGC16384	-1.27357142857143
LOC442229	-0.3305
TSKU	0.911125
KRTCAP3	4.39825
PDLIM1	0.9548
KCNS2	0.4255
RNF126	-0.529333333333333
CEP63	1.135
CLIC4	-1.729875
hCG_1990170	-1.918
ACR	0.1102
KLK7	0.6135
ALOX5AP	3.51325
RIPK3	0.76775
TAS2R9	-0.084
C19orf18	2.743
BIRC6	0.3545
ZNF16	1.117
RFT1	-0.67925
SLC8A2	-1.40766666666667
TACC1	-1.181875
ITGAD	0.40775
SAMHD1	0.85125
SH3PXD2B	-0.1464
EPC2	0.28375
C20orf85	-0.369375
ATP13A2	-0.829166666666667
KRT4	-0.508714285714286
CAPNS1	-0.94525
MDM2	-0.506083333333333
PCDH20	3.4815
KCNK9	-0.1035
OR2C1	-0.0225
KLHDC3	-1.66466666666667
IPPK	0.559
EFHD2	-1.0725
GALR3	-0.3945
NBEA	1.62233333333333
ABCA6	2.7614
CLDN3	0.944833333333333
AKT2	-0.792571428571429
EGFR	-1.3584
RBM16	0.207
ZDHHC3	-0.1982
SLC25A4	0.952333333333333
CYB5B	-0.7265
CPXM1	-2.25675
NDRG1	-0.584230769230769
FLJ43826	0.17075
OR5L2	0.0393333333333334
FARP2	-0.5506
MRPL46	0.155
LDHAL6B	0.3236
MAPKAPK3	-0.773
NCAM2	3.426
PRKD2	-1.15866666666667
ZFP36L1	0.7499
CYSLTR1	-0.9655
OR4C3	1.16966666666667
HIST1H2AJ	4.6715
CCNB2	-2.28233333333333
ZNF10	0.338375
TMEM175	-0.1555
FAM134A	0.135666666666667
TIGD4	0.357
PCNP	0.39875
MGC39715	0.2005
LQK1	-2.5245
CREB1	0.2149
TMPRSS3	-2.608
C4orf32	2.10125
LAT	-0.996416666666667
KCNA3	2.119
SKIV2L2	-0.23325
ROPN1B	-2.1425
tcag7.23	-0.1475
CDT1	-3.447625
ZHX2	0.9615
CD28	-2.0175
ZNF624	2.0445
SEPT2	-0.0979166666666667
SOHLH2	-1.49366666666667
MCOLN3	0.91425
UNQ1945	-3.417
MASP2	-1.992
ZNRF3	0.5207
GPATCH3	-1.624
AGL	-0.891125
QRICH2	-1.1355
PSD4	1.28783333333333
CCNB1IP1	-1.4315
ENPP7	-0.31975
OBFC1	1.028
KCNG3	-0.9555
C14orf79	-0.183333333333333
ENPEP	0.948166666666667
SCT	0.6205
SKI	-0.346142857142857
SEC61G	0.89775
CAPN11	0.36575
ATXN7L3	-1.748
DBNDD1	-0.8465
FAIM	0.87175
ANKRD36	-0.4545
GABRP	-0.3615
TACSTD2	0.339333333333333
EIF3J	-0.33075
PPP2R2A	-0.36225
TEKT4	-0.563166666666667
PVALB	1.90033333333333
F10	-2.19583333333333
FAM134C	0.6196
COMP	4.026375
EFCBP1	-2.501
SCLT1	-0.094375
TAL1	-0.2446
ACSL1	2.11675
ABCC5	0.503333333333333
ABL1	-0.900277777777778
RBBP7	4.14033333333333
PTPRG	-1.1845
NCOR1	0.4851
SPINK4	-0.817
TXNRD1	-1.5737
TNRC15	0.233625
C9orf138	2.816875
UBE2H	1.48933333333333
BRDT	5.506
C8orf31	-0.864
CCNE2	-0.327090909090909
SLC6A8	-2.192875
CALCR	-3.23325
PPP1CB	1.16133333333333
ABHD8	-0.96375
ARF5	0.2206
SLC24A4	-0.75525
CCT3	-0.98425
ZNF121	0.127375
SLC3A2	-1.508
OR13A1	0.27
SLC5A10	2.1275
RAD50	1.115875
IER5	-1.745125
MTHFD1L	-2.382375
MBTPS2	0.9705
MVK	-0.98625
NCL	-0.00419999999999998
PSMD10	0.561
MOBP	0.174
FLJ32894	0.328
HRH1	-1.77633333333333
C5orf30	1.91025
NUDT16L1	0.4337
RASGRP3	2.31383333333333
PRKRIP1	-0.1203
CCDC75	-0.14025
LOC253970	0.6485
KIAA1239	0.369
MED21	0.02425
SYT11	-0.5876
NTSR2	-1.6405
EGFL11	1.417
CXorf59	0.8525
OR2A25	0.204
SPTBN2	-3.0635
LRMP	-0.713
RNF111	0.38175
PTH	-0.7495
LOC619208	0.5248
KIAA0895	0.88325
RANBP5	-1.5225
P2RY10	0.0656
NME5	6.09783333333333
DDX21	-0.41675
LRSAM1	-0.1795
HDAC11	1.82383333333333
VMO1	3.60675
NOLA2	-0.0713333333333333
ADAR	0.268
MTO1	-1.523
SF4	-0.5935
P2RX1	0.523333333333333
HBM	-0.17175
EN2	-0.0435
C14orf172	-1.025
TM9SF2	0.5606
INHBE	-2.08216666666667
TCTE3	-0.304333333333333
TOX2	-3.08025
CTAGE3	0.368875
HBB	4.5359
MED15	-1.90733333333333
CASR	0.13525
C6orf66	-0.8625
MTPN	-0.615625
UNC50	1.0615
C21orf33	1.5275
IRF2	1.7695
PGR	-1.2748
GPR84	-0.24675
CROCCL1	-3.34925
SRPX	-2.5815
BRE	-0.129833333333333
FGF10	0.819
SDC3	-1.5535
ZRSR1	0.162333333333333
DKFZP434P211	-1.584125
SOX6	0.905
RPUSD2	0.10325
C14orf173	-1.59383333333333
MAPK11	0.125
TBC1D22A	0.017
FAM123A	-1.1275
COL4A6	-3.24916666666667
TOMM70A	1.38325
NAB1	-2.611625
MGC16385	-0.46775
TSPAN18	-1.16333333333333
MED31	0.7425
PLG	-0.48425
CAPSL	3.081
ZNF532	0.0464
ASB14	0.1305
CA8	0.546
NUDT16P	3.39783333333333
SLFN11	-2.0445
LRRIQ2	0.122
NOL7	0.532333333333333
BRMS1L	0.15875
JARID1A	-0.254
PANK2	0.5355
ICAM3	0.127
MDS1	-1.31475
TAF8	-1.065
RNF139	1.3
ZNF594	0.943666666666667
ADAM8	-0.597
SFTPC	-0.135142857142857
MAN2B2	0.752
RGS12	0.3819375
EIF1AY	-3.33225
LRRIQ1	-1.1132
GPR150	-1.4695
CCDC21	-2.0305
PRRG3	0.443
SAA4	-3.8775
RAPGEF5	-0.40625
ZCCHC2	0.0434545454545454
MGC39372	0.394
PPP4R2	0.3635
CDCA2	-1.636
OR4D5	0.913
PTGFRN	-0.1227
SIGLEC5	0.308166666666667
C19orf61	-1.39683333333333
NMUR2	null
KIAA1586	-0.0711666666666667
DAGLA	0.196666666666667
CHCHD6	0.914
GPR32	-0.111
NEUROD6	0.215
SLC2A4RG	0.1626875
CA5B	0.53275
FBXL3	1.0835
MPHOSPH9	-1.07025
HMG2L1	0.79025
HCN4	-0.846
CEACAM19	0.57275
SH2D4B	0.7935
HFE2	-4.4
TGM4	0.18325
LYPD2	-0.16725
TBC1D15	0.43275
MRPS21	0.459
NONO	-0.6031
CLEC5A	0.31575
ITCH	1.0705
MGAT3	-1.2384
MBP	-0.457375
RPP25	-3.79775
SOSTDC1	-1.79225
HRC	-1.38925
TRIM48	0.2635
TMEM133	0.49575
ECEL1P2	-0.81525
HOXC11	-2.1755
DOK5	-2.09725
HELZ	-0.443666666666667
LOC348180	-2.14075
MGC33894	-0.8145
ADRB3	-0.3955
DMD	-0.38
PTRH2	0.74325
MPEG1	2.15183333333333
NDUFA12	0.761166666666667
KRTAP2-4	-0.713083333333333
STAMBPL1	-2.09333333333333
ADCY2	0.339166666666667
UNQ6125	0.0854999999999999
KLHL20	0.423666666666667
SRM	-2.63625
OTC	0.0109999999999999
TMIE	-0.531833333333333
SNX8	-0.57
LIPK	-0.558
CHURC1	1.3175
KLC2	0.409166666666667
HDAC1	-1.448
FAM128A	-0.110666666666667
FNDC3B	-0.6932
MTCP1	-0.628
WFDC10B	1.2026
PCDHGB3	0.577
ATRNL1	3.0937
CAV2	-1.223125
MED26	-0.895
DUS1L	-1.53025
CHRM3	-2.9365
NEK9	0.29
WARS2	-0.0925
TBX22	0.739
TOMM40	-1.7885
RP6-213H19.1	-0.113666666666667
TUBGCP5	-0.272
IGSF6	3.5535
TPPP	1.21666666666667
UNQ6190	0.489
GSTM5	0.106125
BTD	1.26783333333333
PDCD1LG2	-0.338333333333333
SNRPB2	0.88
ERICH1	0.062125
APOA4	-1.33025
HOXA11	-1.524
NARG1	1.108125
MKX	-0.156333333333333
RAB28	0.490230769230769
PKP3	1.10425
SH3GL2	2.532
CTSO	4.48875
RPN2	1.5191875
IL28RA	0.596
SFMBT1	0.86275
WDR57	-0.335
FER1L3	1.7175
HSF5	0.4685
TTC9B	1.277
C4BPA	-1.37966666666667
ALB	-2.03371428571429
SORBS3	0.272875
UPF2	0.367
JPH1	1.674
AGBL2	3.06375
DOPEY1	1.7235
TERF1	1.192
KIF22	-1.83466666666667
NINJ1	0.378
SEC61A2	0.0306666666666667
HIST1H1D	-1.22633333333333
SFXN4	0.859125
UCP3	-1.0127
ZNF703	4.86783333333333
MYL6B	0.3105
TREM1	-0.0195
OR52E6	0.769
CKMT2	0.884
HLA-C	2.3125
SLC13A3	0.107
TIMP4	-0.46775
SLIT2	2.239
RSF1	0.347833333333333
LONRF1	-0.0982142857142858
MON1A	-0.681
CACNG6	1.699
DPPA4	-4.9765
ZSWIM3	-0.27675
ZNF804A	0.00616666666666669
CCIN	0.30525
SLC25A31	0.4345
KCNMB4	-1.48575
RABL5	1.145625
GALNS	-1.6752
STX6	-0.0535
HIST1H1C	0.391666666666667
CIDEB	-0.8745
CASP4	-0.820166666666667
PDK3	0.6645
KCNJ11	-0.5915
TPR	-0.71175
ZSCAN20	-1.3135
MTX2	0.19325
HIST1H2BH	2.0955
LOC283767	3.73125
LYRM7	-0.755055555555555
BRD3	-1.02166666666667
HIST1H2BO	1.72575
MAGEB10	1.5115
SLC45A1	0.061
SERPINA3	0.8916
KIAA0143	0.75175
KCNJ16	0.386166666666667
KRT79	-0.397
FABP2	-0.522333333333333
NUT	0.350666666666667
ZNF57	0.52375
FBXL4	0.725
CLEC9A	0.359
UGT8	-2.20866666666667
BMP2K	0.10425
MAPK4	-2.345
SLC25A23	-0.4174
HINT1	0.8859
KRTAP13-1	0.687
SFXN5	-0.5233
CHCHD2	0.388916666666667
FAM3D	0.609
NDP	5.159875
RHOBTB1	0.482333333333333
SLC4A4	-1.43425
RPL38	0.4445
HTF9C	-1.54466666666667
AP2A2	-0.590875
ZBTB46	-1.3165
MAP7D1	-1.798
AOX1	-1.903
CYR61	0.5725
DTNA	-1.0932
JRKL	0.334
TMOD3	-1.06525
EEA1	0.7767
ADCK5	-1.00125
IL1R1	5.06266666666667
KLK3	0.660214285714286
HRSP12	1.052
KTN1	0.47025
LOH11CR2A	1.8601
RELL2	-1.601
MAB21L1	0.431
C20orf59	-1.438
PHKB	-0.386
ADAM2	-1.6938
TBC1D8B	1.12216666666667
FAM13A1	-0.936428571428571
LAPTM4B	-0.296
LCN8	-0.0245
TMEM147	0.715
SYT4	0.97775
XPO7	-0.497
C9orf62	-1.49675
GPR75	-0.522
TRIM5	-1.5045
APOC1	-2.64633333333333
RNASE4	2.8145
PARD6B	1.460375
ARID1A	-0.353333333333333
TPD52L3	0.912625
RRAGB	1.3395
RCN2	0.0745
HIST2H2BE	2.558875
STARD7	-0.54625
SHMT2	-2.25725
KIAA1751	0.348666666666667
MLYCD	-0.366125
LOC162632	0.2073
UQCRH	-1.585
RP11-217H1.1	0.417875
SDHA	-1.808
NCLN	-0.95
ZNF17	0.4985
RCBTB2	-1.8255
VEGFB	-1.2075
RP4-747L4.3	-0.91525
COLQ	-0.253444444444444
MPN2	-0.7328
DRG2	-1.10525
KLRB1	5.4525
ALPK2	-3.56225
DNASE2B	2.05875
FLJ23834	0.246166666666667
AXUD1	0.516
SAFB	-0.8771
NSUN4	-1.09775
RFX2	0.173666666666667
MAPK8IP1	-0.776
FANCD2	-1.38014285714286
ANKZF1	-2.39083333333333
C19orf50	-1.3365
DUSP8	-0.180125
SENP5	-0.14325
NFKBIL2	-0.858
LBR	-1.43625
IGFL1	0.3905
LZTS2	0.082625
IL2RG	-1.208125
CCDC51	0.05625
KLF3	-0.237125
ANKRD37	-1.74425
KCTD14	-1.62466666666667
FZR1	-0.0468333333333333
SLC44A4	0.9373
ESPL1	-1.09375
GMPR2	0.1338
TBC1D19	0.6005
ERGIC1	0.160384615384615
ERBB4	5.0429
TSPAN32	0.596333333333333
MAP4	-1.2455
GPHN	1.27475
SLC6A2	-0.3865
HIVEP1	0.53375
DFFB	-0.7405
EIF4EBP2	0.41475
DMRT1	0.396666666666667
HSPB6	0.08625
IER2	-0.0806666666666666
AIFM1	0.1765
WWC2	-0.429545454545455
MRPL4	-1.12725
FLJ21062	0.890833333333333
EPB41L4A	0.300833333333333
SH2D6	-0.48425
TAF4B	-1.16625
GAL3ST3	-0.413
MALT1	-0.534833333333333
RTDR1	1.4865
ARVCF	-0.30325
MEX3B	-1.7115
FBXO16	1.56175
KIF7	-1.40075
C1QC	3.85616666666667
ZNF783	-0.747666666666667
ZNF85	0.41725
MMP13	-0.019
KIAA0329	0.76025
RTP3	-0.618
ZBED3	0.16125
CLGN	-0.42025
SLC25A37	-2.334
hCG_18290	0.09225
OR5AS1	0.3515
SMARCC2	-0.0575
FAM109A	-0.193166666666667
CCDC12	-0.14475
USF2	0.6204
DEPDC7	-3.34425
C20orf24	0.112166666666667
JMJD3	-0.043
DSP	2.38564285714286
SLIC1	0.316857142857143
FAM20A	-0.022875
