Hybridization REF	TCGA-BH-A0HB-01A-11R-A056-07
HPCA	-1.27933333333333
SEC14L1	-0.755833333333333
CHFR	-0.17125
EMILIN1	1.168875
NDUFS4	-0.358
COL18A1	-0.40475
PDZD3	-0.2876
C9orf16	0.274666666666667
ERBB2IP	0.7795
EMX2	1.76425
FUS	-1.12
TF	-3.7796
CLCN4	-1.87516666666667
CXorf56	-0.137
C11orf72	0.56725
ELAC2	-0.676333333333333
NPR1	-1.47625
ASS1	-3.16383333333333
USP42	0.324375
POLR2J	-1.2215
SEC23IP	0.870333333333333
UQCRC1	0.1635
LOC729603	-0.85425
C1orf71	-1.14275
POLG	-1.61
ADAM23	-2.85475
TFR2	-1.66525
RICTOR	-0.7204
MGC39606	0.21
C19orf55	-0.459125
SNAPC1	-0.666333333333333
GNA11	1.037875
CCDC52	0.619166666666667
FSIP1	5.2355
UPF3A	-1.4635
IGSF11	-2.9124
LAGE3	0.3145
CHST6	-2.72
UNC13B	0.57675
TTLL4	-1.364
ZNF687	0.793125
SDC2	-0.0725
COX7A2	-0.45725
LAMB4	-0.41625
FAM24A	-0.1255
LRRTM3	-1.405
GPHB5	0.128
OR4C13	-0.4685
EIF3EIP	-0.515285714285714
HABP4	-0.9335
TMEM125	3.365
CNTN2	-0.264625
ASNSD1	-0.34625
FUT4	-0.540125
ACF	-3.02875
LOC158381	0.214
CDH8	-0.37625
AGPS	-1.8915
C4orf18	2.45425
PECI	1.94558333333333
UNG	-0.1605
GSTP1	-2.61275
DCUN1D5	-1.80433333333333
DKFZP564J0863	0.065
SLC9A3R1	1.71225
BCDO2	-1.787
CHMP7	-0.291125
REM2	0.193
DNHD1	-1.01825
FKBP4	-0.092375
ZNF350	1.91275
MGC11102	1.525125
BST1	1.326
KISS1R	2.0465
NCR2	0.1065
DEFB125	0.032
UBE2W	2.206125
KRT15	-0.267125
C10orf99	0.3315
SCN11A	0.25275
GFI1	-1.79775
RDHE2	3.89483333333333
FHL1	-1.49583333333333
OSGEP	0.519
GATA1	-2.949
SMC6	-1.446
TTTY14	-0.98775
LPIN3	-0.15025
RPL4	-0.962
RBPMS	-0.3987
PRPF3	-1.37733333333333
EMR1	-2.1895
SPATA19	-0.1725
XCR1	0.667
IRX3	2.3796
RBM6	-1.36525
KLF4	-1.3379
UNC5CL	-1.681
SEBOX	0.3865
BTK	-0.685
KRCC1	1.199
C6orf27	0.4975
SYTL5	-0.465
PRND	2.012375
LOC653319	-1.787
PIGL	-0.455875
HUS1	-0.740333333333333
SFRS6	1.21858333333333
C17orf77	0.843
UIMC1	-0.646166666666667
FXYD2	-1.4474
LOC283152	-0.036
ZNF667	-0.39275
ZCCHC12	-1.37925
TFEC	2.9186
ATP7B	0.6615
POLD2	-1.1175
RG9MTD1	0.90125
ACOT2	1.2925
HIST1H4I	0.8865
PPARGC1A	-2.00788888888889
ETFA	-1.6521
POLRMT	-0.109
ZNF146	0.24525
MIA2	-1.8645
KLHL6	-0.572666666666667
HOXB5	-0.678125
NENF	1.075
CUGBP1	0.4435
PRSS22	1.837
CASC4	1.7853
CUL4B	0.0322
CENPJ	-1.701
PITX1	0.466
FLJ31033	1.47466666666667
CELSR3	-0.683333333333333
ZNF568	0.1315
ITSN1	-0.464727272727273
EHBP1L1	-1.8375
C19orf2	-0.732
DCTN1	0.0125
LIN28B	-3.0985
TNKS2	-0.2265
C1QBP	-0.87325
CADPS2	1.255
SRMS	0.53475
GJA9	0.00150000000000001
MGC24975	0.286833333333333
TRIM45	0.497833333333333
TSP50	-0.692
TCP1	-0.38475
TMED7	0.5309
CMA1	0.5795
CENPL	-0.773166666666667
PTCRA	0.494
FST	-4.21025
VWCE	-3.789
PAWR	0.7535
ABCC12	0.2694
LDLR	-0.3552
ASTN2	0.7375
LOC441212	-1.363625
GPATCH8	-0.17625
TANC2	-0.955083333333333
KIF4A	-1.45725
C18orf18	-1.613
PGM1	-1.788
KIAA0258	0.5345
CPD	1.59625
SNCAIP	-1.3925
DCT	-3.96066666666667
HLA-DOA	2.93013636363636
OR11L1	1.1395
UPK1B	-0.188
DNAJB4	-0.401625
UGT1A8	-1.06
HIST1H4L	-2.752
PECR	-1.28316666666667
HSPA2	2.479
WFIKKN1	0.8555
SERP1	0.996625
SYDE2	2.88925
TACR2	0.667
NUP85	-1.06675
CD177	0.245
LGR5	-2.088
PIGG	-0.889833333333333
PTHR1	-2.03233333333333
RAB5A	-0.1164
FLJ13224	-1.1485
USP9Y	-1.7004
C7orf53	-1.2155
LRP1B	-1.59975
XAF1	1.9664
ABCG8	0.67
ANKDD1A	-0.541166666666667
DAND5	-2.241
SPAG6	0.5388
LINCR	0.04575
ZDHHC22	-1.541375
CCDC60	-1.447
THOC7	-2.15933333333333
TCTA	0.3354
OR8K3	-0.334
NY-REN-7	-0.74225
B2M	1.82
C6orf141	-1.225375
LPPR4	1.9035
SQLE	0.9585
SEPHS1	0.407
BTBD14B	1.14971428571429
PLRG1	-0.47925
SPG7	-0.5534375
ZNF614	0.4085
PARD6G	1.51483333333333
INPP5B	-1.5467
GRPEL2	0.1635
PPID	-0.5524
TRIM56	-0.61975
UBE2J1	-1.138625
IL20RA	5.40725
LOC387856	0.01225
C1orf107	0.978083333333333
UTS2R	1.95775
C19orf22	0.376
SAFB2	0.239625
KIAA0652	-0.81425
KLRG1	0.0728333333333333
MS4A8B	1.80066666666667
FRAG1	-0.23
KIAA1546	-0.1
E2F4	-1.3129
CLEC4M	1.014
BTBD14A	-0.43
KIAA0999	-0.3338
GYPA	-2.7194
TAC1	-0.2095
TRAIP	-0.824
KIAA0232	1.1665
ERCC8	-0.7185
GPX4	0.22875
KIAA0368	-0.2865
GPR157	-0.4565
CTAGE4	0.471
C9orf30	-1.66383333333333
OR52A1	0.2785
HSP90B3P	-0.8165
ALG9	-0.7729
BTBD10	0.435
SDK2	0.3185
BAIAP3	-0.2585
RABGGTB	-0.85625
ANKRD40	1.08333333333333
KRT74	0.32
CALCOCO2	1.63785714285714
SNCA	-3.221
TMSL8	-2.9535
C2orf53	0.8065
ESRRB	-0.284
ARHGAP26	-1.1065
TDRD9	-2.458
HRAS	0.1935
KLRC4	-2.5015
JAGN1	-0.0433333333333333
BSDC1	1.09875
RNF43	1.5516
NDUFAF1	0.28125
PHF12	0.014
OR1L3	-0.22625
FOLR2	2.85333333333333
LYZL6	0.587333333333333
tcag7.1260	-2.449
WSB1	0.353666666666667
PROS1	-1.4038
OSTN	0.6755
PSMB8	0.0265
SOCS4	-0.96225
DDIT4L	3.46125
MAS1	0.9445
MGC34796	1.005
CSHL1	0.288166666666667
TBCCD1	0.084
ZBTB7C	0.406
AP2S1	-0.053125
P15RS	-0.7767
VAT1	-1.0124
SHANK3	0.507166666666667
TUFM	-0.5545
THEG	-0.24675
KRT34	-1.618
SGSM3	-0.621125
TOMM22	-0.825375
SOCS3	1.45866666666667
CPO	0.501
POP4	0.0435
BHLHB3	0.407
MALL	0.48175
OR1B1	0.082
PARK2	0.4045
GPR124	0.035375
LCE1E	0.5895
RUVBL2	-0.348
CGRRF1	0.4721
ACPL2	-0.47275
WNT10B	-2.038625
BAIAP2L2	-1.915
ISCA1	0.513
C1orf125	-0.675875
RPAP1	-0.986
RAI16	0.0548333333333333
RPL27	-1.085
NLRP9	0.0055
EPN1	0.3055
LOC388610	-0.9345
SLC35A1	-0.1971
GAL	-3.12125
SLC14A2	0.5
RDH11	-0.719666666666667
FAM138F	-0.253
AUH	0.1585
FLJ40243	-0.16975
C14orf129	-0.000999999999999964
MBD2	1.11766666666667
ABHD14B	-0.4605
PIGT	0.47975
ALS2CR4	-0.8325
ALAS1	-1.0425
FOXO1	0.8355
CRLF3	0.06825
C20orf107	-0.217
FARS2	-0.5195
CCDC28A	0.08575
NPHP3	-1.342
OR13F1	0.2025
TSEN54	-0.493
DEFB106B	0.215888888888889
OR8B4	0.5405
STH	0.8545
ZC3H14	-0.768625
CBX2	0.235
TMEM49	0.20375
C6orf21	0.6245
FLJ20920	1.5815
CRTAP	-0.461142857142857
DDX50	-0.36075
STYXL1	0.21825
BLVRB	-0.085
LOC147650	-1.35666666666667
MMP24	0.371
GRID1	0.910333333333333
BANF1	-0.181
CTAGEP	0.15875
HMBS	-3.01225
SLC25A24	0.714166666666667
C14orf50	1.11125
MRO	-0.270833333333333
SLC25A15	-0.82
FAM84B	2.685
TDP1	-1.2545
C16orf78	0.2965
C11orf57	0.35475
RFK	1.12575
ZFYVE9	-1.033
STCH	-0.3109
WIBG	0.38425
LOC283871	-0.673333333333333
GBA2	-1.0553
NDUFB3	0.132
HSD17B13	-0.561666666666667
GRIN3A	0.574
FMNL1	-0.928666666666667
SEPT7	-0.5352
GNLY	4.615
GRAMD1C	1.5975
ZNF165	-0.093
USP38	1.703
FAM83A	-3.4325
C14orf24	1.1
ARMCX3	0.44375
ARHGDIB	-0.587666666666667
AK1	-0.14625
KIAA1045	-0.597
DNAJB13	-1.14716666666667
NEU2	-0.4755
HIST1H4B	-0.752666666666667
FAM20B	-0.2405
HES2	0.958384615384615
FAM73B	-0.5612
LOC388381	-0.60175
INTS7	0.178272727272727
AMPH	0.05025
ZNF775	0.3895
UCKL1	-0.508333333333333
C10orf97	0.17575
C1orf161	0.299
ALDH1L1	-0.53375
FLJ39378	-0.183875
SLC23A1	-2.208
RBM4B	-0.87025
THAP4	0.174
OGFRL1	0.78675
KIAA0831	0.313
PPP1R15A	-0.316
C1orf96	0.5575
C12orf11	-1.77425
BMF	0.70275
MAN1A1	0.21675
KIAA1600	0.89
NLGN4X	-1.14675
ALOX12	-1.7585
RB1CC1	0.7538
NEIL2	0.8657
EIF4E	0.446272727272727
ABHD5	0.0385
EXOC4	-0.237166666666667
CIP29	0.320333333333333
BATF2	1.2705
SLC29A4	-0.610375
HTR4	0.317333333333333
EMB	-0.443
TRAF6	1.0735
LMNB1	-0.42025
FAM19A5	-1.072125
SHE	0.97825
PIK3C2B	1.85525
C15orf15	-0.9834
USP15	0.3115
TCEAL2	0.74725
C5orf39	1.97216666666667
PTGER2	3.246
SLC31A1	-0.8785
IFT172	-0.25675
ADAM29	0.3645
GFOD1	-0.14725
ST7L	0.244833333333333
C15orf26	-1.6075
PKN3	-1.45525
CNTD1	0.091
COMMD1	0.413
NTRK2	2.09475
FOXN3	0.673375
MFGE8	-1.0902
PFKFB2	0.774666666666667
TAS2R4	-0.9475
ENTHD1	1.20366666666667
PRMT5	-0.7555
MGC16384	-1.25225
LOC442229	0.07
TSKU	-0.672625
KRTCAP3	2.134125
PDLIM1	0.00859999999999999
KCNS2	-0.02375
RNF126	0.0856666666666667
CEP63	0.1685
CLIC4	-0.326375
hCG_1990170	-0.19325
ACR	0.00449999999999997
KLK7	2.07
ALOX5AP	2.242625
RIPK3	3.29525
TAS2R9	-0.383
C19orf18	0.4385
BIRC6	0.0377142857142857
ZNF16	1.8055
RFT1	-1.01625
SLC8A2	-0.107333333333333
TACC1	0.06325
ITGAD	0.307
SAMHD1	0.64425
SH3PXD2B	0.9206
EPC2	0.91775
C20orf85	0.150375
ATP13A2	0.502
KRT4	0.49425
CAPNS1	0.30125
MDM2	0.6045
PCDH20	0.639
KCNK9	0.44
OR2C1	-0.768
KLHDC3	-1.63666666666667
IPPK	0.75
EFHD2	0.31075
GALR3	1.84875
NBEA	0.488833333333333
ABCA6	2.6137
CLDN3	1.88733333333333
AKT2	-0.401461538461539
EGFR	-2.2255
RBM16	1.248375
ZDHHC3	0.2058
SLC25A4	0.221166666666667
CYB5B	-1.25366666666667
CPXM1	-0.05775
NDRG1	-0.169076923076923
FLJ43826	-0.11825
OR5L2	-0.2152
FARP2	0.3422
MRPL46	-0.595333333333333
LDHAL6B	0.800833333333333
MAPKAPK3	-0.439833333333333
NCAM2	-0.719
PRKD2	0.129
ZFP36L1	0.6759
CYSLTR1	-0.384
OR4C3	-0.75725
HIST1H2AJ	2.18
CCNB2	-1.62888888888889
ZNF10	-0.27175
TMEM175	0.8865
FAM134A	0.8265
TIGD4	-1.285
PCNP	-0.43875
MGC39715	0.23675
LQK1	-0.50325
CREB1	0.5258
TMPRSS3	-1.33925
C4orf32	2.133375
LAT	-1.20758333333333
KCNA3	0.0855
SKIV2L2	-0.81125
ROPN1B	-2.67
tcag7.23	-0.769
CDT1	-2.433
ZHX2	1.954
CD28	-1.555
ZNF624	0.8215
SEPT2	0.365916666666667
SOHLH2	-1.81528571428571
MCOLN3	0.089
UNQ1945	0.7765
MASP2	-1.1625
ZNRF3	-0.236111111111111
GPATCH3	0.09775
AGL	3.196125
QRICH2	-0.005
PSD4	1.2
CCNB1IP1	-1.954
ENPP7	-0.206
OBFC1	0.574
KCNG3	-1.4605
C14orf79	0.2435
ENPEP	-0.171666666666667
SCT	1.71
SKI	1.009375
SEC61G	-0.673
CAPN11	-0.601333333333333
ATXN7L3	-0.561
DBNDD1	0.494166666666667
FAIM	0.05675
ANKRD36	-0.1125
GABRP	0.975
TACSTD2	2.32366666666667
EIF3J	-0.26875
PPP2R2A	-0.87775
TEKT4	-0.338333333333333
PVALB	-0.257833333333333
F10	-2.406
FAM134C	0.3627
COMP	5.26275
EFCBP1	-3.073375
SCLT1	0.91625
TAL1	-1.0665
ACSL1	0.495
ABCC5	0.837416666666667
ABL1	-0.737722222222222
RBBP7	-0.231
PTPRG	0.09175
NCOR1	-0.7011
SPINK4	0.198
TXNRD1	-1.2498
TNRC15	1.101125
C9orf138	0.554
UBE2H	1.79366666666667
BRDT	0.0203333333333332
C8orf31	-0.25125
CCNE2	0.181
SLC6A8	-2.412625
CALCR	-2.324
PPP1CB	0.7805
ABHD8	0.5825
ARF5	0.5579
SLC24A4	0.56575
CCT3	0.31025
ZNF121	0.22225
SLC3A2	-0.892
OR13A1	0.367
SLC5A10	-0.00949999999999999
RAD50	0.241
IER5	0.892
MTHFD1L	-2.025875
MBTPS2	0.1845
MVK	0.5845
NCL	0.3231
PSMD10	-0.48175
MOBP	0.4505
FLJ32894	0.3105
HRH1	-0.610666666666667
C5orf30	1.04975
NUDT16L1	0.6896
RASGRP3	2.88
PRKRIP1	-0.3025
CCDC75	1.11675
LOC253970	-0.0735
KIAA1239	0.6265
MED21	-0.158
SYT11	0.1565
NTSR2	-0.2195
EGFL11	0.7645
CXorf59	-1.174
OR2A25	0.117
SPTBN2	-1.36025
LRMP	-1.88825
RNF111	-0.1135
PTH	-1.132
LOC619208	0.342
KIAA0895	0.06225
RANBP5	-1.37825
P2RY10	1.83966666666667
NME5	2.865
DDX21	-0.01575
LRSAM1	0.3015
HDAC11	1.5715
VMO1	1.87225
NOLA2	-0.116833333333333
ADAR	0.33175
MTO1	-1.74216666666667
SF4	-0.1495
P2RX1	-0.316666666666667
HBM	0.44075
EN2	1.9105
C14orf172	0.52875
TM9SF2	-0.435
INHBE	-2.63
TCTE3	0.86075
TOX2	-2.6215
CTAGE3	0.87675
HBB	3.1862
MED15	-1.213
CASR	-0.47175
C6orf66	-1.43316666666667
MTPN	-0.194
UNC50	-0.82075
C21orf33	-0.026375
IRF2	0.830125
PGR	2.643
GPR84	2.40925
CROCCL1	-2.95525
SRPX	-2.059
BRE	0.122333333333333
FGF10	1.20775
SDC3	0.2455
ZRSR1	-0.158
DKFZP434P211	-0.59375
SOX6	1.0365
RPUSD2	0.36125
C14orf173	-0.05
MAPK11	-0.417
TBC1D22A	-0.382
FAM123A	-2.3775
COL4A6	-3.5
TOMM70A	0.16825
NAB1	-0.008625
MGC16385	-0.248
TSPAN18	-0.277833333333333
MED31	-0.52
PLG	0.163
CAPSL	0.2905
ZNF532	0.5484
ASB14	-0.04875
CA8	0.8605
NUDT16P	1.6125
SLFN11	-0.6605
LRRIQ2	0.762125
NOL7	-0.271
BRMS1L	-0.672625
JARID1A	-0.0271666666666667
PANK2	-1.07825
ICAM3	-0.26975
MDS1	-0.0725
TAF8	-0.9125
RNF139	2.4935
ZNF594	-0.478333333333333
ADAM8	1.676
SFTPC	-0.329625
MAN2B2	0.51675
RGS12	0.3315625
EIF1AY	-4.02827272727273
LRRIQ1	0.00250000000000002
GPR150	2.013
CCDC21	-1.55333333333333
PRRG3	0.07
SAA4	-3.0255
RAPGEF5	2.2285
ZCCHC2	1.12491666666667
MGC39372	-2.5265
PPP4R2	0.7955
CDCA2	-1.87616666666667
OR4D5	-0.00699999999999997
PTGFRN	0.6948
SIGLEC5	1.594
C19orf61	-0.466666666666667
NMUR2	-0.14
KIAA1586	-1.2305
DAGLA	0.582666666666667
CHCHD6	-0.217
GPR32	0.1805
NEUROD6	0.01
SLC2A4RG	0.124875
CA5B	-0.08725
FBXL3	0.4735
MPHOSPH9	-1.5855
HMG2L1	0.1485
HCN4	1.25733333333333
CEACAM19	0.027
SH2D4B	0.3025
HFE2	-1.3925
TGM4	2.03925
LYPD2	-0.13025
TBC1D15	-0.11575
MRPS21	0.1717
NONO	-0.8889
CLEC5A	2.02775
ITCH	0.4429
MGAT3	-1.2455
MBP	-0.480875
RPP25	-0.30275
SOSTDC1	-0.06975
HRC	-1.43275
TRIM48	-0.2015
TMEM133	-1.158
ECEL1P2	-1.65925
HOXC11	0.7165
DOK5	-0.7885
HELZ	0.535833333333333
LOC348180	-0.31825
MGC33894	0.27675
ADRB3	0.386
DMD	-0.952083333333333
PTRH2	1.63975
MPEG1	3.52833333333333
NDUFA12	0.2455
KRTAP2-4	0.221166666666667
STAMBPL1	-1.29533333333333
ADCY2	-1.0655
UNQ6125	0.1015
KLHL20	0.3495
SRM	-1.3005
OTC	0.273666666666667
TMIE	-0.0275
SNX8	0.92325
LIPK	0.226
CHURC1	1.00933333333333
KLC2	0.535166666666667
HDAC1	0.0796666666666667
FAM128A	0.686666666666667
FNDC3B	-1.3414
MTCP1	-0.653666666666667
WFDC10B	-0.3492
PCDHGB3	0.403
ATRNL1	1.592
CAV2	-1.450875
MED26	0.229666666666667
DUS1L	0.14775
CHRM3	-2.547125
NEK9	0.2035
WARS2	-0.18875
TBX22	-0.112
TOMM40	-0.6265
RP6-213H19.1	-2.14783333333333
TUBGCP5	-0.696
IGSF6	5.8455
TPPP	0.396
UNQ6190	-0.616
GSTM5	-0.045875
BTD	0.0521666666666667
PDCD1LG2	-0.00783333333333334
SNRPB2	0.4285
ERICH1	-0.644
APOA4	-1.614625
HOXA11	-2.48525
NARG1	0.1465
MKX	2.96175
RAB28	-1.27721428571429
PKP3	-0.0025
SH3GL2	-4.34375
CTSO	3.31875
RPN2	0.5933125
IL28RA	0.3755
SFMBT1	0.44475
WDR57	-0.45625
FER1L3	0.567583333333333
HSF5	0.757666666666667
TTC9B	0.606
C4BPA	-4.32
ALB	-3.82469230769231
SORBS3	0.01275
UPF2	0.1675
JPH1	-0.1305
AGBL2	-2.55425
DOPEY1	0.985
TERF1	0.7065
KIF22	-0.292333333333333
NINJ1	1.9225
SEC61A2	0.6575
HIST1H1D	1.9645
SFXN4	0.266625
UCP3	0.1402
ZNF703	2.165
MYL6B	-0.36825
TREM1	3.0905
OR52E6	-0.416
CKMT2	1.49675
HLA-C	2.142
SLC13A3	-1.745
TIMP4	-0.28
SLIT2	2.51625
RSF1	-0.3495
LONRF1	-0.783142857142857
MON1A	-0.374
CACNG6	-1.30066666666667
DPPA4	-4.57083333333333
ZSWIM3	0.507
ZNF804A	-0.778
CCIN	0.91525
SLC25A31	0.678
KCNMB4	-1.12525
RABL5	0.267625
GALNS	-0.4928
STX6	0.841125
HIST1H1C	2.57966666666667
CIDEB	-0.133625
CASP4	-0.726833333333333
PDK3	0.1557
KCNJ11	1.538
TPR	-0.4965
ZSCAN20	0.191
MTX2	0.42925
HIST1H2BH	1.894
LOC283767	1.18625
LYRM7	-1.54644444444444
BRD3	0.314
HIST1H2BO	1.41475
MAGEB10	-0.1225
SLC45A1	0.67025
SERPINA3	1.9891
KIAA0143	1.67925
KCNJ16	0.284666666666667
KRT79	-1.15675
FABP2	-1.0575
NUT	-0.11975
ZNF57	0.07625
FBXL4	-0.79925
CLEC9A	0.672
UGT8	-2.08166666666667
BMP2K	1.09225
MAPK4	-3.46775
SLC25A23	-0.8024
HINT1	-0.2105
KRTAP13-1	-0.6845
SFXN5	-0.695
CHCHD2	0.31425
FAM3D	0.892
NDP	-2.5335
RHOBTB1	0.414833333333333
SLC4A4	-1.814125
RPL38	-0.22175
HTF9C	-0.836
AP2A2	-0.4435
ZBTB46	-0.678
MAP7D1	0.5825
AOX1	-1.42066666666667
CYR61	0.2225
DTNA	1.644
JRKL	-1.047
TMOD3	0.111
EEA1	0.0044
ADCK5	0.67925
IL1R1	1.53283333333333
KLK3	0.513785714285714
HRSP12	-0.4635
KTN1	0.14475
LOH11CR2A	-0.5752
RELL2	-1.37225
MAB21L1	0.7625
C20orf59	-1.03116666666667
PHKB	-0.5705
ADAM2	-1.998
TBC1D8B	0.298833333333333
FAM13A1	-1.5966
LAPTM4B	0.521166666666667
LCN8	-0.631
TMEM147	0.891
SYT4	0.467
XPO7	-0.9345
C9orf62	2.04475
GPR75	0.5095
TRIM5	-0.633
APOC1	1.4385
RNASE4	0.496166666666667
PARD6B	0.03375
ARID1A	0.821
TPD52L3	-0.1331
RRAGB	1.10016666666667
RCN2	-0.336833333333333
HIST2H2BE	2.246375
STARD7	0.0225
SHMT2	-1.2585
KIAA1751	0.2192
MLYCD	-0.197625
LOC162632	-1.0247
UQCRH	-1.44025
RP11-217H1.1	0.0465625
SDHA	-1.67116666666667
NCLN	0.4015
ZNF17	0.832
RCBTB2	-2.08525
VEGFB	-0.9477
RP4-747L4.3	-0.15925
COLQ	-0.315111111111111
MPN2	-0.729833333333333
DRG2	-0.6945
KLRB1	6.18475
ALPK2	-2.02775
DNASE2B	1.05975
FLJ23834	-0.265666666666667
AXUD1	0.983333333333333
SAFB	0.3923
NSUN4	0.39125
RFX2	0.991666666666667
MAPK8IP1	-1.21383333333333
FANCD2	-0.9415
ANKZF1	-1.94383333333333
C19orf50	-0.98025
DUSP8	0.764875
SENP5	1.028625
NFKBIL2	-0.02275
LBR	-0.92075
IGFL1	1.905
LZTS2	0.240125
IL2RG	0.161375
CCDC51	-0.161
KLF3	0.088375
ANKRD37	-0.85275
KCTD14	-2.301
FZR1	0.403666666666667
SLC44A4	0.1358
ESPL1	-0.638125
GMPR2	-1.1458
TBC1D19	-1.08666666666667
ERGIC1	1.39425925925926
ERBB4	3.9019
TSPAN32	0.233416666666667
MAP4	-0.418125
GPHN	0.2325
SLC6A2	0.16325
HIVEP1	0.4465
DFFB	-0.3083
EIF4EBP2	0.795
DMRT1	0.02025
HSPB6	-0.188
IER2	0.1345
AIFM1	0.1895
WWC2	0.484272727272727
MRPL4	-0.39425
FLJ21062	-0.460333333333333
EPB41L4A	1.53341666666667
SH2D6	-0.205
TAF4B	-0.4175
GAL3ST3	0.0275
MALT1	-0.757166666666667
RTDR1	0.5695
ARVCF	-0.232375
MEX3B	-1.15316666666667
FBXO16	0.55925
KIF7	-1.69275
C1QC	4.6725
ZNF783	-0.68
ZNF85	-0.55525
MMP13	2.5305
KIAA0329	0.708625
RTP3	-0.771
ZBED3	0.0095
CLGN	2.02325
SLC25A37	-1.89870833333333
hCG_18290	-0.4035
OR5AS1	-0.8025
SMARCC2	0.472083333333333
FAM109A	0.272666666666667
CCDC12	0.17875
USF2	0.937
DEPDC7	-2.178
C20orf24	-0.6065
JMJD3	0.389
DSP	1.5155
SLIC1	0.349625
FAM20A	1.53725
IRF2BP2	1.468375
ZNF230	-0.1125
MSN	-0.955928571428571
SLC9A5	-1.458
EPDR1	-2.4095
MUSK	0.537166666666667
ZNF434	-0.462166666666667
SMARCD1	-0.72
ZFP106	-0.486
ZNF347	0.4135
GTF2E1	0.72425
RY1	0.031
ATAD2B	0.882625
ARHGAP17	-0.7912
KCNIP3	-0.9045
