Hybridization REF	TCGA-AO-A03L-01A-41R-A056-07
C8G	-1.1635
CD82	0.671
LIM2	-0.865
UNQ6490	0.2785
MMP16	0.12725
DRD3	-0.27025
C5orf26	-0.2035
C11orf73	-0.98825
PTP4A2	0.50475
OR4M2	0.4275
HPCA	-0.824833333333333
SEC14L1	-0.778
CHFR	-0.207
EMILIN1	1.0445
NDUFS4	0.235
COL18A1	0.347
PDZD3	0.3766
C9orf16	-0.291666666666667
ERBB2IP	0.404833333333333
EMX2	1.83275
FUS	0.0165
TF	-3.6839
CLCN4	-0.3895
CXorf56	0.602
C11orf72	0.4505
ELAC2	-0.0551666666666667
NPR1	-1.00225
ASS1	-2.3805
USP42	-0.28125
POLR2J	-1.3815
SEC23IP	0.976
UQCRC1	-0.11475
LOC729603	-0.7885
C1orf71	-0.353
POLG	-0.5315
ADAM23	-2.6975
TFR2	-1.763
RICTOR	-0.7823
MGC39606	0.284
C19orf55	-0.209
SNAPC1	-1.5765
GNA11	0.894375
CCDC52	0.233166666666667
FSIP1	5.0485
UPF3A	-0.921625
IGSF11	-2.543
LAGE3	0.62875
CHST6	-2.4385
UNC13B	0.323375
TTLL4	-1.033875
ZNF687	0.061375
SDC2	-1.1597
COX7A2	-0.858
LAMB4	-0.042
FAM24A	0.115
LRRTM3	-1.10866666666667
GPHB5	0.097
OR4C13	-0.215
EIF3EIP	-0.103
HABP4	-0.6915
TMEM125	3.18
CNTN2	0.732125
ASNSD1	-0.01575
FUT4	-0.115375
ACF	-3.7295
LOC158381	1.1735
CDH8	-0.259
AGPS	0.0535
C4orf18	3.591625
PECI	0.159416666666667
UNG	-0.31375
GSTP1	-1.282875
DCUN1D5	-1.19083333333333
DKFZP564J0863	-0.47575
SLC9A3R1	2.302375
BCDO2	-1.114125
CHMP7	0.3015
REM2	1.1015
DNHD1	-0.67075
FKBP4	-0.00437500000000002
ZNF350	2.27725
MGC11102	0.24275
BST1	1.06825
KISS1R	1.0875
NCR2	0.252
DEFB125	0.7585
UBE2W	0.826875
KRT15	0.79325
C10orf99	0.5345
SCN11A	0.15675
GFI1	-1.84825
RDHE2	4.9645
FHL1	-1.268
OSGEP	0.294666666666667
GATA1	-3.28366666666667
SMC6	-0.7785
TTTY14	-1.28325
LPIN3	-0.54025
RPL4	0.1036
RBPMS	0.4508
PRPF3	-0.182
EMR1	-1.891
SPATA19	-0.02625
XCR1	0.5405
IRX3	1.5903
RBM6	-0.99075
KLF4	-0.7607
UNC5CL	-1.423
SEBOX	-0.3235
BTK	-0.1145
KRCC1	0.1285
C6orf27	0.6715
SYTL5	-0.241
PRND	1.67275
LOC653319	-1.3925
PIGL	-0.724375
HUS1	-0.565166666666667
SFRS6	0.540833333333333
C17orf77	1.0095
UIMC1	-0.482666666666667
FXYD2	-1.7069
LOC283152	0.64
ZNF667	-1.461
ZCCHC12	-0.43175
TFEC	3.3433
ATP7B	2.16116666666667
POLD2	-0.632666666666667
RG9MTD1	0.88725
ACOT2	0.424333333333333
HIST1H4I	-0.65525
PPARGC1A	-2.6283
ETFA	0.7967
POLRMT	-0.039
ZNF146	-0.21325
MIA2	-0.8845
KLHL6	-0.767166666666667
HOXB5	-1.235
NENF	0.269833333333333
CUGBP1	0.351
PRSS22	1.19583333333333
CASC4	1.0006
CUL4B	0.0954
CENPJ	-1.1476
PITX1	0.5265
FLJ31033	1.61183333333333
CELSR3	-0.2775
ZNF568	-0.7515
ITSN1	-0.278916666666667
EHBP1L1	-0.699333333333333
C19orf2	-0.90625
DCTN1	0.34475
LIN28B	-4.20683333333333
TNKS2	0.62225
C1QBP	-0.578375
CADPS2	1.1655
SRMS	0.46625
GJA9	0.0733333333333333
MGC24975	0.247166666666667
TRIM45	-1.2605
TSP50	-0.23525
TCP1	-1.31575
TMED7	0.5502
CMA1	0.4515
CENPL	-0.397
PTCRA	-0.2605
FST	-3.40575
VWCE	-3.56425
PAWR	0.717
ABCC12	2.07183333333333
LDLR	0.4882
ASTN2	1.4283
LOC441212	-1.28575
GPATCH8	-0.18475
TANC2	0.757583333333333
KIF4A	0.1635
C18orf18	-1.39525
PGM1	-2.04775
KIAA0258	0.79675
CPD	1.08575
SNCAIP	-0.496
DCT	-4.25633333333333
HLA-DOA	2.34518181818182
OR11L1	0.7335
UPK1B	-0.1665
DNAJB4	-1.04575
UGT1A8	-0.0943333333333333
HIST1H4L	-0.556
PECR	-0.8645
HSPA2	2.06975
WFIKKN1	-1.059
SERP1	1.541375
SYDE2	0.928
TACR2	0.82
NUP85	0.087
CD177	-0.318833333333333
LGR5	-2.29266666666667
PIGG	0.273083333333333
PTHR1	-1.41216666666667
RAB5A	-0.3529
FLJ13224	0.139
USP9Y	-2.9275
C7orf53	-1.7455
LRP1B	0.66625
XAF1	3.4474
ABCG8	-0.4735
ANKDD1A	-0.656
DAND5	-3.7285
SPAG6	0.9645
LINCR	2.35325
ZDHHC22	-0.44975
CCDC60	0.449
THOC7	-1.63966666666667
TCTA	1.3548
OR8K3	0.2825
NY-REN-7	-0.72625
B2M	1.51533333333333
C6orf141	1.296875
LPPR4	0.9
SQLE	-1.5085
SEPHS1	-0.2425
BTBD14B	0.945214285714286
PLRG1	-0.3775
SPG7	-0.717
ZNF614	-0.344
PARD6G	0.905833333333333
INPP5B	-0.5778
GRPEL2	-0.05075
PPID	-0.7068
TRIM56	-0.2945
UBE2J1	-0.347
IL20RA	1.89025
LOC387856	0.548
C1orf107	0.526
UTS2R	0.99525
C19orf22	0.21425
SAFB2	-0.070625
KIAA0652	0.40975
KLRG1	-0.549333333333333
MS4A8B	2.47816666666667
FRAG1	0.25775
KIAA1546	0.491
E2F4	-0.9963
CLEC4M	0.164
BTBD14A	-0.51225
KIAA0999	1.0503
GYPA	-3.17316666666667
TAC1	3.2874
TRAIP	-0.697666666666667
KIAA0232	0.933
ERCC8	-0.468875
GPX4	0.942375
KIAA0368	-0.170375
GPR157	-0.452333333333333
CTAGE4	0.37
C9orf30	-1.56533333333333
OR52A1	-0.036
HSP90B3P	-0.479
ALG9	-0.9509
BTBD10	0.97675
SDK2	-0.2645
BAIAP3	-0.831
RABGGTB	-0.549
ANKRD40	0.5755
KRT74	0.104
CALCOCO2	0.715785714285714
SNCA	-3.3285
TMSL8	-2.834
C2orf53	0.7105
ESRRB	-0.23625
ARHGAP26	-1.13425
TDRD9	-2.7405
HRAS	1.36366666666667
KLRC4	-1.9435
JAGN1	-0.384666666666667
BSDC1	-0.194
RNF43	0.5767
NDUFAF1	-0.08525
PHF12	0.52175
OR1L3	0.40875
FOLR2	1.27616666666667
LYZL6	0.4002
tcag7.1260	-2.121
WSB1	-2.216
PROS1	-0.9994
OSTN	0.506
PSMB8	1.52225
SOCS4	-0.100875
DDIT4L	0.34375
MAS1	0.2745
MGC34796	1.79025
CSHL1	0.458833333333333
TBCCD1	0.6315
ZBTB7C	0.268
AP2S1	-0.6195
P15RS	-0.204
VAT1	-1.4063
SHANK3	0.820666666666667
TUFM	-0.158833333333333
THEG	-0.60225
KRT34	-2.02175
SGSM3	0.540625
TOMM22	-0.369
SOCS3	0.8835
CPO	1.158
POP4	0.03475
BHLHB3	1.84425
MALL	0.88475
OR1B1	0.284
PARK2	0.427666666666667
GPR124	1.0005
LCE1E	0.9475
RUVBL2	0.2315
CGRRF1	0.3771
ACPL2	1.156
WNT10B	-1.963375
BAIAP2L2	-2.10175
ISCA1	-0.09
C1orf125	-0.836875
RPAP1	-0.65125
RAI16	-0.455333333333333
RPL27	-0.96375
NLRP9	0.4755
EPN1	0.607
LOC388610	-2.669125
SLC35A1	0.8288
GAL	-4.2855
SLC14A2	0.0915
RDH11	-0.390166666666667
FAM138F	0.3265
AUH	-0.36325
FLJ40243	0.42775
C14orf129	0.763
MBD2	0.478166666666667
ABHD14B	-0.338375
PIGT	-0.323875
ALS2CR4	-0.402125
ALAS1	-0.0978
FOXO1	1.37866666666667
CRLF3	-1.088125
C20orf107	0.724
FARS2	1.144
CCDC28A	-0.51925
NPHP3	-0.799
OR13F1	0.276
TSEN54	0.5395
DEFB106B	0.175888888888889
OR8B4	0.2115
STH	-1.557
ZC3H14	-0.429625
CBX2	-0.2915
TMEM49	-1.03425
C6orf21	0.3615
FLJ20920	0.217
CRTAP	-0.0415714285714286
DDX50	-0.254
STYXL1	0.2705
BLVRB	-0.0531666666666667
LOC147650	-0.825166666666667
MMP24	0.8895
GRID1	2.01666666666667
BANF1	0.032
CTAGEP	0.674
HMBS	-1.73425
SLC25A24	-0.206333333333333
C14orf50	1.33475
MRO	1.72516666666667
SLC25A15	-1.50025
FAM84B	1.2425
TDP1	-0.281
C16orf78	0.2664
C11orf57	-0.301375
RFK	-0.38725
ZFYVE9	0.068125
STCH	-0.4972
WIBG	0.97625
LOC283871	0.259666666666667
GBA2	-0.5007
NDUFB3	-0.186
HSD17B13	-1.12
GRIN3A	1.30116666666667
FMNL1	-0.653
SEPT7	-0.9276
GNLY	3.6595
GRAMD1C	-0.146333333333333
ZNF165	-0.05275
USP38	0.759
FAM83A	-1.23416666666667
C14orf24	0.498583333333333
ARMCX3	1.31775
ARHGDIB	-0.2615
AK1	0.1905
KIAA1045	-1.114
DNAJB13	-0.4495
NEU2	-0.1805
HIST1H4B	-0.607
FAM20B	-0.1737
HES2	1.57321428571429
FAM73B	-0.4682
LOC388381	0.59125
INTS7	-0.229636363636364
AMPH	2.126
ZNF775	-0.07725
UCKL1	0.4955
C10orf97	-0.0835
C1orf161	-0.07225
ALDH1L1	-1.54775
FLJ39378	-0.257
SLC23A1	-0.8345
RBM4B	0.17675
THAP4	0.2865
OGFRL1	-0.508
KIAA0831	0.342875
PPP1R15A	0.0278333333333333
C1orf96	-0.193928571428571
C12orf11	-1.07425
BMF	1.0235
MAN1A1	-0.31275
KIAA1600	0.597166666666667
NLGN4X	-1.7805
ALOX12	-1.28716666666667
RB1CC1	-0.086
NEIL2	0.0813
EIF4E	0.294
ABHD5	-0.6715
EXOC4	-0.6635
CIP29	0.285333333333333
BATF2	1.74125
SLC29A4	-1.017
HTR4	0.175
EMB	-1.2265
TRAF6	0.6275
LMNB1	0.1865
FAM19A5	-1.148875
SHE	1.754
PIK3C2B	1.09025
C15orf15	0.0469
USP15	0.2633
TCEAL2	0.89675
C5orf39	0.549333333333333
PTGER2	2.089
SLC31A1	-0.62125
IFT172	0.22425
ADAM29	0.521
GFOD1	0.1695
ST7L	0.441333333333333
C15orf26	-1.4595
PKN3	-1.75975
CNTD1	-0.126333333333333
COMMD1	0.295125
NTRK2	2.53675
FOXN3	-0.080875
MFGE8	0.3483
PFKFB2	-0.0235
TAS2R4	-0.335
ENTHD1	1.2805
PRMT5	-0.137
MGC16384	-1.565
LOC442229	-0.27875
TSKU	0.606625
KRTCAP3	2.215
PDLIM1	0.4868
KCNS2	0.225
RNF126	-0.113833333333333
CEP63	0.273
CLIC4	-0.3335
hCG_1990170	-1.60525
ACR	0.6713
KLK7	1.84025
ALOX5AP	3.197125
RIPK3	4.38275
TAS2R9	0.6405
C19orf18	3.3445
BIRC6	-0.0292142857142857
ZNF16	1.058
RFT1	-0.88975
SLC8A2	-0.38875
TACC1	0.647375
ITGAD	0.8775
SAMHD1	1.678
SH3PXD2B	1.3968
EPC2	0.272
C20orf85	4.903125
ATP13A2	0.230166666666667
KRT4	0.428125
CAPNS1	-0.000250000000000004
MDM2	-0.586166666666667
PCDH20	1.26625
KCNK9	0.2515
OR2C1	0.729
KLHDC3	-0.4205
IPPK	0.513
EFHD2	0.083875
GALR3	1.00575
NBEA	0.454333333333333
ABCA6	3.2807
CLDN3	2.497
AKT2	-0.487857142857143
EGFR	-1.9065
RBM16	0.1015
ZDHHC3	0.1532
SLC25A4	0.729
CYB5B	-1.1565
CPXM1	0.96625
NDRG1	-1.352
FLJ43826	1.028
OR5L2	0.103
FARP2	0.9443
MRPL46	0.715083333333333
LDHAL6B	0.3408
MAPKAPK3	-0.8095
NCAM2	-1.6215
PRKD2	0.1505
ZFP36L1	0.9867
CYSLTR1	-0.959
OR4C3	-0.48075
HIST1H2AJ	1.171
CCNB2	-0.734333333333333
ZNF10	-1.83175
TMEM175	0.583
FAM134A	0.936
TIGD4	-1.5735
PCNP	0.03925
MGC39715	0.44225
LQK1	-0.07
CREB1	0.4643
TMPRSS3	-0.9965
C4orf32	2.097875
LAT	-1.18708333333333
KCNA3	0.1695
SKIV2L2	-0.299
ROPN1B	-1.544
tcag7.23	0.121
CDT1	-1.586125
ZHX2	0.91025
CD28	-3.2485
ZNF624	0.89375
SEPT2	0.10125
SOHLH2	-3.291
MCOLN3	-0.0922500000000001
UNQ1945	0.416
MASP2	-0.8415
ZNRF3	-0.1015
GPATCH3	-0.129
AGL	1.9935
QRICH2	0.1595
PSD4	0.368333333333333
CCNB1IP1	-1.76625
ENPP7	-0.148
OBFC1	0.0275
KCNG3	-1.299
C14orf79	1.43083333333333
ENPEP	1.217
SCT	1.238
SKI	0.724125
SEC61G	-0.91525
CAPN11	-0.159
ATXN7L3	0.13825
DBNDD1	0.634333333333333
FAIM	1.05825
ANKRD36	-1.0215
GABRP	3.14033333333333
TACSTD2	2.354
EIF3J	-0.363
PPP2R2A	-0.61425
TEKT4	0.0398333333333334
PVALB	1.3575
F10	-1.9495
FAM134C	0.7816
COMP	4.41625
EFCBP1	-2.4213125
SCLT1	0.4355
TAL1	-1.1287
ACSL1	0.69475
ABCC5	0.915416666666667
ABL1	-0.409555555555556
RBBP7	0.9355
PTPRG	-1.62625
NCOR1	0.1131
SPINK4	0.233
TXNRD1	-0.7984
TNRC15	0.552625
C9orf138	0.516571428571429
UBE2H	0.482333333333333
BRDT	0.158666666666667
C8orf31	0.228
CCNE2	-0.670272727272727
SLC6A8	-1.795
CALCR	-4.288
PPP1CB	0.34775
ABHD8	-0.15875
ARF5	0.0624
SLC24A4	0.446
CCT3	-0.033
ZNF121	0.277375
SLC3A2	-0.0879
OR13A1	0.4715
SLC5A10	0.07125
RAD50	0.217125
IER5	0.432625
MTHFD1L	-1.93725
MBTPS2	0.937
MVK	0.209375
NCL	-0.00089999999999999
PSMD10	-0.0415
MOBP	0.385125
FLJ32894	-1.057
HRH1	-0.720166666666667
C5orf30	1.33875
NUDT16L1	1.0594
RASGRP3	3.50233333333333
PRKRIP1	-0.7304
CCDC75	-0.11775
LOC253970	-0.2055
KIAA1239	-0.3
MED21	-0.18275
SYT11	0.242166666666667
NTSR2	-0.3345
EGFL11	-0.32
CXorf59	1.133
OR2A25	0.0695
SPTBN2	-0.1015
LRMP	-1.184
RNF111	0.43875
PTH	null
LOC619208	0.000166666666666676
KIAA0895	0.106
RANBP5	-1.2305
P2RY10	1.0485
NME5	2.76333333333333
DDX21	-1.27575
LRSAM1	0.2835
HDAC11	1.4025
VMO1	2.433
NOLA2	0.208833333333333
ADAR	1.17316666666667
MTO1	-1.03616666666667
SF4	0.6
P2RX1	0.2905
HBM	0.45825
EN2	1.42
C14orf172	0.91
TM9SF2	0.0684
INHBE	-1.60866666666667
TCTE3	-0.533833333333333
TOX2	-2.7895
CTAGE3	0.8645
HBB	2.8658
MED15	-0.983166666666667
CASR	0.78775
C6orf66	-0.858333333333333
MTPN	-1.0755
UNC50	-0.4715
C21orf33	-0.52925
IRF2	1.067
PGR	-0.265833333333333
GPR84	2.88525
CROCCL1	-2.696
SRPX	-1.10925
BRE	-0.276833333333333
FGF10	0.8565
SDC3	-1.11433333333333
ZRSR1	0.940333333333333
DKFZP434P211	-0.468875
SOX6	1.717
RPUSD2	-0.10775
C14orf173	0.630583333333333
MAPK11	-0.464666666666667
TBC1D22A	0.559
FAM123A	0.0735
COL4A6	-2.00566666666667
TOMM70A	-0.43825
NAB1	-0.300375
MGC16385	-0.75075
TSPAN18	-0.240166666666667
MED31	-0.3685
PLG	-0.21275
CAPSL	3.7215
ZNF532	0.1036
ASB14	-0.67825
CA8	0.2075
NUDT16P	0.0258333333333333
SLFN11	-1.533
LRRIQ2	0.748125
NOL7	0.0883333333333333
BRMS1L	-0.497875
JARID1A	0.248666666666667
PANK2	-0.16075
ICAM3	0.383
MDS1	-0.639
TAF8	-0.22675
RNF139	0.729
ZNF594	-0.217166666666667
ADAM8	3.446375
SFTPC	-0.315125
MAN2B2	1.282
RGS12	0.818625
EIF1AY	-4.43975
LRRIQ1	-1.0975
GPR150	1.104
CCDC21	-1.15916666666667
PRRG3	0.1495
SAA4	-3.26375
RAPGEF5	0.56575
ZCCHC2	0.646583333333333
MGC39372	-0.2605
PPP4R2	-0.387333333333333
CDCA2	-1.08316666666667
OR4D5	0.395166666666667
PTGFRN	1.0433
SIGLEC5	1.18116666666667
C19orf61	-0.178166666666667
NMUR2	0.129
KIAA1586	-1.10583333333333
DAGLA	0.7645
CHCHD6	-0.202
GPR32	0.432
NEUROD6	-0.161833333333333
SLC2A4RG	0.3569375
CA5B	-0.22775
FBXL3	0.8555
MPHOSPH9	-0.559
HMG2L1	0.35575
HCN4	0.572
CEACAM19	-0.13125
SH2D4B	0.3895
HFE2	-0.8655
TGM4	0.0488333333333333
LYPD2	0.36425
TBC1D15	-0.159
MRPS21	-0.6099
NONO	-0.096
CLEC5A	1.865875
ITCH	-0.1608
MGAT3	-1.83316666666667
MBP	-0.782625
RPP25	-1.212
SOSTDC1	0.4745
HRC	-0.86525
TRIM48	0.6315
TMEM133	0.07575
ECEL1P2	-1.719
HOXC11	-0.6395
DOK5	-1.37575
HELZ	1.21216666666667
LOC348180	-0.57975
MGC33894	0.1305
ADRB3	0.483
DMD	-0.521636363636364
PTRH2	-0.29
MPEG1	2.973
NDUFA12	0.539833333333333
KRTAP2-4	0.321181818181818
STAMBPL1	-1.19033333333333
ADCY2	0.9485
UNQ6125	1.1505
KLHL20	0.1035
SRM	-0.91875
OTC	-0.15725
TMIE	0.0186666666666666
SNX8	-0.1305
LIPK	-0.0205
CHURC1	0.199166666666667
KLC2	0.566333333333333
HDAC1	-0.703833333333333
FAM128A	-0.280833333333333
FNDC3B	0.3839
MTCP1	-0.6695
WFDC10B	0.0265
PCDHGB3	0.8375
ATRNL1	-2.2033
CAV2	-0.907125
MED26	0.3945
DUS1L	1.1375
CHRM3	-2.24525
NEK9	0.37075
WARS2	0.70525
TBX22	0.6325
TOMM40	-0.91625
RP6-213H19.1	2.08116666666667
TUBGCP5	-0.881
IGSF6	5.094
TPPP	-0.259333333333333
UNQ6190	-1.602
GSTM5	2.113625
BTD	0.0985
PDCD1LG2	0.218666666666667
SNRPB2	0.26
ERICH1	-0.55175
APOA4	-1.617625
HOXA11	-2.4745
NARG1	-0.025625
MKX	-1.49566666666667
RAB28	-0.565
PKP3	1.379
SH3GL2	-2.76866666666667
CTSO	3.39375
RPN2	1.3600625
IL28RA	-0.3485
SFMBT1	-0.1735
WDR57	-0.46575
FER1L3	1.31933333333333
HSF5	0.352166666666667
TTC9B	0.29775
C4BPA	-3.87583333333333
ALB	-3.83035714285714
SORBS3	0.535875
UPF2	0.174
JPH1	-0.0265
AGBL2	1.992
DOPEY1	1.231
TERF1	-1.31066666666667
KIF22	0.331333333333333
NINJ1	1.2655
SEC61A2	-0.0660833333333334
HIST1H1D	0.4615
SFXN4	-0.1375
UCP3	0.0463
ZNF703	1.56683333333333
MYL6B	-1.99925
TREM1	1.8015
OR52E6	-0.2845
CKMT2	1.3665
HLA-C	2.017625
SLC13A3	0.416666666666667
TIMP4	-2.17425
SLIT2	2.214
RSF1	-0.381111111111111
LONRF1	-1.40985714285714
MON1A	-0.3785
CACNG6	0.0798333333333333
DPPA4	-5.123
ZSWIM3	-0.07
ZNF804A	0.159333333333333
CCIN	1.6565
SLC25A31	1.0745
KCNMB4	-0.61575
RABL5	0.412125
GALNS	-0.1974
STX6	0.48025
HIST1H1C	-0.735666666666667
CIDEB	-0.327
CASP4	0.439
PDK3	0.0164
KCNJ11	1.926
TPR	-0.406375
ZSCAN20	-1.031
MTX2	-0.389
HIST1H2BH	0.43825
LOC283767	-0.20125
LYRM7	-1.08688888888889
BRD3	0.842833333333333
HIST1H2BO	0.2785
MAGEB10	0.318
SLC45A1	0.393
SERPINA3	1.1569
KIAA0143	1.219
KCNJ16	0.69
KRT79	0.81775
FABP2	-0.4215
NUT	-0.22425
ZNF57	0.091
FBXL4	-0.312
CLEC9A	1.5855
UGT8	-1.38516666666667
BMP2K	0.28
MAPK4	-3.8455
SLC25A23	-0.2817
HINT1	0.253
KRTAP13-1	0.547
SFXN5	1.155
CHCHD2	-0.0875
FAM3D	1.0045
NDP	-2.856375
RHOBTB1	-0.286666666666667
SLC4A4	-1.750375
RPL38	0.364
HTF9C	-0.395166666666667
AP2A2	0.48275
ZBTB46	-0.7175
MAP7D1	-0.167625
AOX1	-1.38883333333333
CYR61	0.83925
DTNA	-0.842928571428571
JRKL	-1.09275
TMOD3	-0.0425
EEA1	0.3212
ADCK5	-0.102
IL1R1	0.651166666666667
KLK3	0.952642857142857
HRSP12	-0.97925
KTN1	0.50625
LOH11CR2A	3.3034
RELL2	-2.04575
MAB21L1	2.191
C20orf59	-0.822166666666667
PHKB	-0.492
ADAM2	3.31366666666667
TBC1D8B	0.984833333333333
FAM13A1	-1.3085625
LAPTM4B	0.024
LCN8	0.357
TMEM147	-0.2235
SYT4	0.328333333333333
XPO7	-0.5575
C9orf62	1.52375
GPR75	0.00799999999999995
TRIM5	1.39875
APOC1	0.0535
RNASE4	-0.215666666666667
PARD6B	-1.543875
ARID1A	0.216833333333333
TPD52L3	0.347111111111111
RRAGB	0.658
RCN2	-0.145333333333333
HIST2H2BE	0.4861875
STARD7	-0.601
SHMT2	-0.839
KIAA1751	0.5416
MLYCD	0.2715
LOC162632	-0.9624
UQCRH	-1.87675
RP11-217H1.1	0.570375
SDHA	-0.665166666666667
NCLN	-0.1533
ZNF17	2.02816666666667
RCBTB2	-1.52875
VEGFB	0.0977
RP4-747L4.3	0.23025
COLQ	0.609
MPN2	-0.9456
DRG2	0.052
KLRB1	5.74275
ALPK2	-3.14325
DNASE2B	1.7795
FLJ23834	-0.2745
AXUD1	0.574333333333333
SAFB	0.0354
NSUN4	-0.3295
RFX2	-0.0275
MAPK8IP1	-0.138333333333333
FANCD2	-1.49092857142857
ANKZF1	-1.02816666666667
C19orf50	-0.067625
DUSP8	1.469875
SENP5	1.027875
NFKBIL2	-0.153
LBR	-1.6165
IGFL1	0.65
LZTS2	0.049125
IL2RG	-0.213625
CCDC51	-0.4425
KLF3	0.724125
ANKRD37	-1.356
KCTD14	-1.16616666666667
FZR1	0.63825
SLC44A4	4.1271
ESPL1	-0.379625
GMPR2	-0.1691
TBC1D19	-0.349666666666667
ERGIC1	1.0437037037037
ERBB4	2.5725
TSPAN32	0.554083333333333
MAP4	-0.254125
GPHN	-0.59825
SLC6A2	-0.1985
HIVEP1	0.699
DFFB	-0.3766
EIF4EBP2	0.523375
DMRT1	-0.729
HSPB6	-0.24
IER2	0.566833333333333
AIFM1	0.142
WWC2	0.941454545454546
MRPL4	0.1955
FLJ21062	-0.419
EPB41L4A	1.52325
SH2D6	0.24175
TAF4B	-0.95325
GAL3ST3	-0.481
MALT1	-1.47433333333333
RTDR1	0.68025
ARVCF	0.230625
MEX3B	0.759166666666667
FBXO16	1.2885
KIF7	-1.1955
C1QC	3.7705
ZNF783	-1.349
ZNF85	0.487
MMP13	4.801
KIAA0329	0.1185
RTP3	-1.078
ZBED3	-0.6165
CLGN	0.56475
SLC25A37	-1.49241666666667
hCG_18290	-0.86575
OR5AS1	0.3765
SMARCC2	0.481166666666667
FAM109A	0.1055
CCDC12	-0.4625
USF2	0.4138
DEPDC7	-2.16225
C20orf24	0.358333333333333
JMJD3	0.9645
DSP	1.38528571428571
SLIC1	0.59375
FAM20A	1.181
IRF2BP2	0.114625
ZNF230	-0.48
MSN	-0.770785714285714
SLC9A5	-1.798
EPDR1	-2.2427
MUSK	-0.21575
ZNF434	0.413833333333333
SMARCD1	-0.310333333333333
ZFP106	-0.89125
ZNF347	0.5304
