Hybridization REF	TCGA-BH-A0BM-01A-11R-A056-07
TF	-2.2053
CLCN4	-0.447666666666667
CXorf56	-0.4405
C11orf72	0.50875
ELAC2	-0.894333333333333
NPR1	0.677
ASS1	-1.248
USP42	-0.0127500000000001
POLR2J	-0.8335
SEC23IP	0.467333333333333
UQCRC1	-0.35
LOC729603	-0.4345
C1orf71	-0.3585
POLG	-3.0775
ADAM23	-3.45275
TFR2	-1.73625
RICTOR	-0.6908
MGC39606	1.5175
C19orf55	-0.319625
SNAPC1	-1.15333333333333
GNA11	1.07675
CCDC52	0.445
FSIP1	3.3185
UPF3A	-0.494625
IGSF11	-2.32883333333333
LAGE3	-0.45625
CHST6	-0.91
UNC13B	-0.216
TTLL4	-0.92925
ZNF687	1.00275
SDC2	-0.7953
COX7A2	-0.7605
LAMB4	-0.22
FAM24A	0.2535
LRRTM3	-1.41466666666667
GPHB5	0.5955
OR4C13	-0.0365
EIF3EIP	1.04864285714286
HABP4	-0.7305
TMEM125	3.73275
CNTN2	0.3975
ASNSD1	-0.303
FUT4	-0.587375
ACF	-3.442
LOC158381	0.218
CDH8	0.10775
AGPS	-1.67066666666667
C4orf18	3.224625
PECI	-0.0671666666666667
UNG	-0.91375
GSTP1	0.476875
DCUN1D5	-1.55183333333333
DKFZP564J0863	-0.54325
SLC9A3R1	-0.19025
BCDO2	1.09475
CHMP7	-0.639375
REM2	0.00499999999999998
DNHD1	-0.48425
FKBP4	-0.7995
ZNF350	1.87725
MGC11102	0.1985
BST1	0.83575
KISS1R	2.062
NCR2	-0.1575
DEFB125	0.7435
UBE2W	0.5855
KRT15	4.150375
C10orf99	0.214
SCN11A	-0.55525
GFI1	-2.68225
RDHE2	1.565
FHL1	1.01466666666667
OSGEP	0.191
GATA1	-2.80716666666667
SMC6	-1.46975
TTTY14	-0.87475
LPIN3	-0.3115
RPL4	-0.1209
RBPMS	0.7479
PRPF3	-0.834
EMR1	-1.9005
SPATA19	-0.21075
XCR1	0.1875
IRX3	2.7835
RBM6	-0.5605
KLF4	1.0498
UNC5CL	-2.06825
SEBOX	0.0585
BTK	-1.383
KRCC1	1.57825
C6orf27	0.473
SYTL5	-0.8905
PRND	2.737
LOC653319	-1.3475
PIGL	-1.705375
HUS1	-0.682333333333333
SFRS6	0.718916666666667
C17orf77	0.4725
UIMC1	-0.356833333333333
FXYD2	-1.7716
LOC283152	1.63775
ZNF667	0.21
ZCCHC12	-1.43125
TFEC	0.936
ATP7B	2.12483333333333
POLD2	-1.77033333333333
RG9MTD1	-0.54825
ACOT2	0.1785
HIST1H4I	-0.76875
PPARGC1A	-1.6924
ETFA	-2.1485
POLRMT	-0.1625
ZNF146	-0.168875
MIA2	-1.4445
KLHL6	-1.39666666666667
HOXB5	-0.942125
NENF	1.14083333333333
CUGBP1	0.3765
PRSS22	1.66233333333333
CASC4	1.6052
CUL4B	0.0188
CENPJ	-2.2202
PITX1	0.717166666666667
FLJ31033	0.391333333333333
CELSR3	-0.9445
ZNF568	0.88025
ITSN1	0.0299166666666667
EHBP1L1	-1.14916666666667
C19orf2	-0.64225
DCTN1	-0.08425
LIN28B	-3.588
TNKS2	-1.1835
C1QBP	-1.239625
CADPS2	2.19225
SRMS	0.373
GJA9	-0.0285
MGC24975	-0.2895
TRIM45	0.0513333333333333
TSP50	-0.1585
TCP1	-1.93775
TMED7	0.523
CMA1	0.2135
CENPL	-1.76833333333333
PTCRA	-0.075
FST	-1.915
VWCE	-3.59725
PAWR	0.63975
ABCC12	2.12416666666667
LDLR	-1.6893
ASTN2	1.7824
LOC441212	-0.874125
GPATCH8	0.02625
TANC2	-0.936166666666667
KIF4A	-3.7995
C18orf18	-0.92075
PGM1	-1.22475
KIAA0258	0.273
CPD	1.3275
SNCAIP	-0.326
DCT	-4.0395
HLA-DOA	2.40277272727273
OR11L1	0.6995
UPK1B	-0.304333333333333
DNAJB4	-0.713125
UGT1A8	-0.165
HIST1H4L	-1.657
PECR	-0.771166666666667
HSPA2	3.0885
WFIKKN1	-2.238
SERP1	0.449125
SYDE2	1.08375
TACR2	0.569
NUP85	-1.481
CD177	0.593
LGR5	-2.3805
PIGG	-0.00341666666666666
PTHR1	-0.551
RAB5A	0.1184
FLJ13224	0.095
USP9Y	-1.59666666666667
C7orf53	-0.4515
LRP1B	-0.49475
XAF1	0.1472
ABCG8	-0.069
ANKDD1A	-0.5355
DAND5	-2.476
SPAG6	5.18266666666667
LINCR	2.67725
ZDHHC22	-1.385
CCDC60	0.808
THOC7	-1.3835
TCTA	1.4242
OR8K3	0.267
NY-REN-7	-0.608333333333333
B2M	0.752666666666667
C6orf141	-2.882625
LPPR4	1.8195
SQLE	-1.724125
SEPHS1	-0.767
BTBD14B	0.762214285714286
PLRG1	-0.4585
SPG7	-0.9409375
ZNF614	-0.2345
PARD6G	1.74316666666667
INPP5B	-1.0639
GRPEL2	-0.271625
PPID	-0.6808
TRIM56	0.4275
UBE2J1	-1.007125
IL20RA	5.20525
LOC387856	0.00699999999999998
C1orf107	0.843083333333333
UTS2R	2.315
C19orf22	0.05475
SAFB2	0.23125
KIAA0652	-0.676375
KLRG1	-0.283
MS4A8B	0.313
FRAG1	0.5485
KIAA1546	0.2505
E2F4	-1.5881
CLEC4M	0.683
BTBD14A	-1.19575
KIAA0999	2.2932
GYPA	-4.02266666666667
TAC1	2.0003
TRAIP	-2.2885
KIAA0232	0.8638
ERCC8	-2.19775
GPX4	1.169
KIAA0368	0.081875
GPR157	0.2035
CTAGE4	-0.1495
C9orf30	-1.773
OR52A1	0.315
HSP90B3P	-0.938
ALG9	-0.2417
BTBD10	0.56925
SDK2	0.06725
BAIAP3	-0.653
RABGGTB	-0.9965
ANKRD40	-0.5965
KRT74	-0.222
CALCOCO2	0.318928571428571
SNCA	-3.1865
TMSL8	-4.701625
C2orf53	-0.3145
ESRRB	-0.79825
ARHGAP26	0.12875
TDRD9	-2.7375
HRAS	0.235833333333333
KLRC4	-2.7225
JAGN1	0.227166666666667
BSDC1	0.93175
RNF43	0.1034
NDUFAF1	0.6225
PHF12	0.14925
OR1L3	0.012
FOLR2	1.52758333333333
LYZL6	0.152
tcag7.1260	-1.4205
WSB1	-1.067
PROS1	-0.2006
OSTN	0.592
PSMB8	0.66125
SOCS4	-0.95875
DDIT4L	1.87175
MAS1	0.1405
MGC34796	1.8865
CSHL1	0.0116666666666667
TBCCD1	0.227333333333333
ZBTB7C	-0.0105
AP2S1	-0.9585
P15RS	-0.4234
VAT1	-0.777
SHANK3	1.55633333333333
TUFM	-0.230166666666667
THEG	-0.65125
KRT34	-1.506
SGSM3	0.2705
TOMM22	-0.184625
SOCS3	1.82083333333333
CPO	0.844
POP4	-0.05025
BHLHB3	3.29925
MALL	1.30225
OR1B1	0.362
PARK2	0.199833333333333
GPR124	1.232125
LCE1E	0.673
RUVBL2	-0.784
CGRRF1	0.1743
ACPL2	0.9925
WNT10B	-1.72075
BAIAP2L2	-1.75475
ISCA1	0.1375
C1orf125	-0.480428571428571
RPAP1	-0.55725
RAI16	0.634333333333333
RPL27	-0.379375
NLRP9	-0.0915
EPN1	-0.068
LOC388610	-0.16825
SLC35A1	0.6785
GAL	-3.83225
SLC14A2	0.434
RDH11	-0.494333333333333
FAM138F	-0.365
AUH	0.0845
FLJ40243	-0.14525
C14orf129	-0.670333333333333
MBD2	-0.226166666666667
ABHD14B	0.7805
PIGT	0.257
ALS2CR4	-0.251375
ALAS1	-0.3226
FOXO1	1.782
CRLF3	-0.492125
C20orf107	-0.508
FARS2	0.10325
CCDC28A	0.26125
NPHP3	-0.3745
OR13F1	0.426
TSEN54	-0.53325
DEFB106B	0.252
OR8B4	0.4855
STH	1.309
ZC3H14	-0.701875
CBX2	0.2585
TMEM49	-1.3165
C6orf21	0.756
FLJ20920	0.9275
CRTAP	-0.00521428571428571
DDX50	-0.16625
STYXL1	0.0795
BLVRB	0.233166666666667
LOC147650	-0.589333333333333
MMP24	0.5645
GRID1	1.54616666666667
BANF1	-0.431
CTAGEP	-0.127
HMBS	-2.23925
SLC25A24	-0.554833333333333
C14orf50	2.244
MRO	0.1375
SLC25A15	-1.435
FAM84B	0.881
TDP1	-1.79
C16orf78	0.009
C11orf57	0.593875
RFK	-0.623375
ZFYVE9	-0.77825
STCH	-1.9267
WIBG	0.385
LOC283871	-1.317
GBA2	-0.6234
NDUFB3	-0.1285
HSD17B13	0.5215
GRIN3A	0.5086
FMNL1	-1.44316666666667
SEPT7	-0.5787
GNLY	2.32
GRAMD1C	1.58183333333333
ZNF165	-0.13625
USP38	0.79525
FAM83A	-3.17533333333333
C14orf24	0.738333333333333
ARMCX3	0.9925
ARHGDIB	1.27566666666667
AK1	0.189
KIAA1045	0.20875
DNAJB13	-0.396166666666667
NEU2	0.379
HIST1H4B	-1.01016666666667
FAM20B	-0.6593
HES2	-0.161928571428571
FAM73B	-0.3197
LOC388381	-0.21925
INTS7	-0.925545454545454
AMPH	0.294
ZNF775	0.280875
UCKL1	-1.38083333333333
C10orf97	-0.4745
C1orf161	0.1465
ALDH1L1	1.353
FLJ39378	-0.112625
SLC23A1	-1.393
RBM4B	0.02175
THAP4	0.330666666666667
OGFRL1	0.518
KIAA0831	0.65
PPP1R15A	0.0615
C1orf96	-0.415714285714286
C12orf11	-1.66175
BMF	0.13525
MAN1A1	-0.593875
KIAA1600	0.215833333333333
NLGN4X	0.508
ALOX12	-1.72066666666667
RB1CC1	-0.0865
NEIL2	0.5876
EIF4E	-0.375181818181818
ABHD5	-0.48875
EXOC4	-0.455166666666667
CIP29	-0.2725
BATF2	0.3
SLC29A4	0.051625
HTR4	-0.34125
EMB	-1.699
TRAF6	0.72275
LMNB1	-3.4005
FAM19A5	-0.52875
SHE	2.08525
PIK3C2B	2.04525
C15orf15	-0.2205
USP15	0.1727
TCEAL2	2.06825
C5orf39	-0.602833333333333
PTGER2	-1.32975
SLC31A1	-1.3114375
IFT172	1.07275
ADAM29	0.40075
GFOD1	1.17825
ST7L	-0.0928333333333333
C15orf26	-3.11275
PKN3	-0.509
CNTD1	2.392
COMMD1	0.321875
NTRK2	4.03366666666667
FOXN3	0.530375
MFGE8	-0.1852
PFKFB2	1.62233333333333
TAS2R4	-0.29025
ENTHD1	-0.0586666666666667
PRMT5	-1.680125
MGC16384	-1.21575
LOC442229	-0.6945
TSKU	-0.566625
KRTCAP3	3.4495
PDLIM1	0.8151
KCNS2	0.358
RNF126	-0.441666666666667
CEP63	0.335125
CLIC4	-1.044125
hCG_1990170	2.8865
ACR	0.6614
KLK7	2.22975
ALOX5AP	1.717
RIPK3	4.175
TAS2R9	0.2745
C19orf18	1.2465
BIRC6	0.127071428571429
ZNF16	0.9795
RFT1	-0.4185
SLC8A2	-1.073
TACC1	0.574
ITGAD	0.424
SAMHD1	-0.27975
SH3PXD2B	0.9988
EPC2	0.99575
C20orf85	0.07025
ATP13A2	-0.1605
KRT4	0.248625
CAPNS1	-0.0355
MDM2	-0.481916666666667
PCDH20	1.2565
KCNK9	0.525
OR2C1	-0.364
KLHDC3	-1.00983333333333
IPPK	-0.0255
EFHD2	0.273625
GALR3	2.18825
NBEA	1.957
ABCA6	3.6002
CLDN3	1.963
AKT2	-0.355428571428571
EGFR	-0.5348
RBM16	0.68925
ZDHHC3	0.0764
SLC25A4	-0.353333333333333
CYB5B	-1.3605
CPXM1	0.01875
NDRG1	-1.02092307692308
FLJ43826	0.1725
OR5L2	0.0163333333333333
FARP2	0.6995
MRPL46	-1.10908333333333
LDHAL6B	-0.2425
MAPKAPK3	-0.687166666666667
NCAM2	-1.52025
PRKD2	0.232666666666667
ZFP36L1	1.7488
CYSLTR1	-0.321
OR4C3	-0.19575
HIST1H2AJ	1.5925
CCNB2	-4.10333333333333
ZNF10	0.086875
TMEM175	0.9175
FAM134A	0.885666666666667
TIGD4	-0.3745
PCNP	-0.402
MGC39715	-0.1685
LQK1	-2.71725
CREB1	0.4795
TMPRSS3	1.18675
C4orf32	2.160125
LAT	-1.80716666666667
KCNA3	-0.8205
SKIV2L2	-0.5715
ROPN1B	1.4675
tcag7.23	-0.1835
CDT1	-3.74
ZHX2	1.473125
CD28	-3.15075
ZNF624	0.95025
SEPT2	0.0598333333333333
SOHLH2	-0.99
MCOLN3	-1.038125
UNQ1945	0.7195
MASP2	-1.1
ZNRF3	-0.8387
GPATCH3	-0.23225
AGL	0.300375
QRICH2	-0.5845
PSD4	1.15216666666667
CCNB1IP1	-1.593
ENPP7	-0.3235
OBFC1	-0.1435
KCNG3	-2.94275
C14orf79	0.451333333333333
ENPEP	1.25083333333333
SCT	1.4625
SKI	1.311875
SEC61G	-1.929
CAPN11	1.11525
ATXN7L3	-0.0675
DBNDD1	-1.20966666666667
FAIM	-0.4835
ANKRD36	-0.5885
GABRP	4.52816666666667
TACSTD2	3.31433333333333
EIF3J	-0.5485
PPP2R2A	-1.1945
TEKT4	0.0375
PVALB	-3.64033333333333
F10	-1.55933333333333
FAM134C	0.6817
COMP	5.71075
EFCBP1	-1.425875
SCLT1	0.738125
TAL1	-0.6026
ACSL1	2.1945
ABCC5	-0.536
ABL1	-0.382277777777778
RBBP7	-0.909916666666667
PTPRG	-0.592125
NCOR1	-0.4888
SPINK4	-1.68966666666667
TXNRD1	-2.0207
TNRC15	1.128375
C9orf138	0.066625
UBE2H	0.880166666666667
BRDT	0.467833333333333
C8orf31	-0.29325
CCNE2	-2.264
SLC6A8	-1.821625
CALCR	-3.181
PPP1CB	1.74658333333333
ABHD8	0.32975
ARF5	0.2287
SLC24A4	-0.0890000000000001
CCT3	-0.15825
ZNF121	-0.089375
SLC3A2	-1.554
OR13A1	0.452
SLC5A10	-0.39825
RAD50	-0.53075
IER5	0.9515
MTHFD1L	-2.647875
MBTPS2	-0.31175
MVK	-0.92425
NCL	0.0188
PSMD10	-1.06975
MOBP	0.139857142857143
FLJ32894	-1.205
HRH1	-0.454333333333333
C5orf30	1.61275
NUDT16L1	0.5677
RASGRP3	3.262
PRKRIP1	-0.4746
CCDC75	0.85175
LOC253970	0.847
KIAA1239	2.3125
MED21	-0.68425
SYT11	-0.116166666666667
NTSR2	0.055
EGFL11	1.2695
CXorf59	1.703
OR2A25	0.41875
SPTBN2	-0.5375
LRMP	-1.42483333333333
RNF111	-0.01475
PTH	-0.4535
LOC619208	0.295
KIAA0895	0.48
RANBP5	-0.757375
P2RY10	0.591833333333333
NME5	3.0255
DDX21	-0.34525
LRSAM1	-0.4845
HDAC11	0.811333333333333
VMO1	1.54475
NOLA2	-0.512166666666667
ADAR	-0.209416666666667
MTO1	-1.58516666666667
SF4	0.433833333333333
P2RX1	-0.227333333333333
HBM	0.12525
EN2	2.3825
C14orf172	0.53825
TM9SF2	-0.0688
INHBE	-1.4776
TCTE3	-0.3845
TOX2	-2.542
CTAGE3	0.760625
HBB	4.9069
MED15	-0.8155
CASR	0.30375
C6orf66	-1.94966666666667
MTPN	-0.6195
UNC50	-0.64575
C21orf33	0.597625
IRF2	1.302375
PGR	-1.20183333333333
GPR84	0.81425
CROCCL1	-2.49325
SRPX	0.1005
BRE	-0.1425
FGF10	1.74125
SDC3	0.714
ZRSR1	0.4465
DKFZP434P211	-0.399
SOX6	-0.072
RPUSD2	0.1095
C14orf173	-0.419166666666667
MAPK11	0.486833333333333
TBC1D22A	-0.1015
FAM123A	-0.8825
COL4A6	-1.8665
TOMM70A	-0.4425
NAB1	0.13425
MGC16385	-1.004
TSPAN18	-0.2155
MED31	-0.83
PLG	-0.88175
CAPSL	0.1415
ZNF532	0.7381
ASB14	-0.0515
CA8	-0.2295
NUDT16P	0.940166666666667
SLFN11	-0.8965
LRRIQ2	-0.14825
NOL7	-0.34
BRMS1L	-1.253
JARID1A	0.394
PANK2	-0.6345
ICAM3	-0.1965
MDS1	-0.48275
TAF8	-0.1945
RNF139	0.4105
ZNF594	-0.0506666666666666
ADAM8	1.726375
SFTPC	0.019875
MAN2B2	1.375375
RGS12	0.4513125
EIF1AY	-4.3955
LRRIQ1	-0.949666666666667
GPR150	2.491
CCDC21	-1.98983333333333
PRRG3	0.1125
SAA4	-0.43775
RAPGEF5	1.812125
ZCCHC2	0.49775
MGC39372	-0.4905
PPP4R2	0.0478333333333333
CDCA2	-3.56933333333333
OR4D5	0.204
PTGFRN	0.9704
SIGLEC5	1.089
C19orf61	-0.339666666666667
NMUR2	-0.176
KIAA1586	-0.611166666666667
DAGLA	0.269166666666667
CHCHD6	-0.37975
GPR32	-0.2685
NEUROD6	0.543
SLC2A4RG	0.60425
CA5B	0.16725
FBXL3	1.523
MPHOSPH9	-2.273
HMG2L1	0.4545
HCN4	1.504
CEACAM19	0.26025
SH2D4B	-0.0641666666666667
HFE2	-0.611
TGM4	0.755333333333333
LYPD2	-0.40025
TBC1D15	-0.3655
MRPS21	0.1235
NONO	-1.0839
CLEC5A	1.114
ITCH	0.1366
MGAT3	0.0241666666666667
MBP	-0.20675
RPP25	-1.10925
SOSTDC1	1.65
HRC	-0.63125
TRIM48	0.0645
TMEM133	-0.036
ECEL1P2	-1.5
HOXC11	-0.8565
DOK5	-0.41725
HELZ	0.690333333333333
LOC348180	-1.12925
MGC33894	0.08825
ADRB3	0.5415
DMD	0.858083333333333
PTRH2	-0.57875
MPEG1	2.41683333333333
NDUFA12	-0.1015
KRTAP2-4	0.301416666666667
STAMBPL1	-1.8345
ADCY2	2.16883333333333
UNQ6125	-0.6495
KLHL20	0.5765
SRM	-1.4075
OTC	-1.05
TMIE	0.263
SNX8	0.09775
LIPK	0.3875
CHURC1	-0.182333333333333
KLC2	0.394333333333333
HDAC1	-0.443333333333333
FAM128A	0.0976666666666667
FNDC3B	0.2672
MTCP1	-0.3215
WFDC10B	-0.0958
PCDHGB3	0.44
ATRNL1	-1.6224
CAV2	0.2425
MED26	0.261333333333333
DUS1L	0.73025
CHRM3	-1.43
NEK9	-0.25875
WARS2	0.6795
TBX22	0.811
TOMM40	-1.04375
RP6-213H19.1	-2.24733333333333
TUBGCP5	-1.5495
IGSF6	4.60725
TPPP	-0.245333333333333
UNQ6190	0.065
GSTM5	1.169875
BTD	0.532
PDCD1LG2	-0.158666666666667
SNRPB2	-0.5665
ERICH1	-0.42775
APOA4	-1.80975
HOXA11	-2.79875
NARG1	-0.365625
MKX	-0.41025
RAB28	-1.12221428571429
PKP3	1.1945
SH3GL2	-2.38533333333333
CTSO	2.82225
RPN2	0.2159375
IL28RA	-0.108166666666667
SFMBT1	1.1175
WDR57	-0.639
FER1L3	0.633416666666667
HSF5	0.4076
TTC9B	0.76225
C4BPA	-1.122
ALB	-3.73685714285714
SORBS3	0.801
UPF2	-0.662
JPH1	-0.33
AGBL2	0.60825
DOPEY1	1.168
TERF1	-0.285333333333333
KIF22	-1.105
NINJ1	1.664
SEC61A2	-1.18783333333333
HIST1H1D	0.0621666666666667
SFXN4	0.27
UCP3	0.6371
ZNF703	1.64533333333333
MYL6B	-0.39
TREM1	0.552
OR52E6	-0.8
CKMT2	3.393
HLA-C	2.23925
SLC13A3	-1.3895
TIMP4	2.21975
SLIT2	3.927
RSF1	0.192388888888889
LONRF1	-0.917571428571429
MON1A	0.125166666666667
CACNG6	-1.01683333333333
DPPA4	-4.65916666666667
ZSWIM3	-0.08625
ZNF804A	-0.375833333333333
CCIN	1.90925
SLC25A31	0.545333333333333
KCNMB4	0.1275
RABL5	0.436875
GALNS	-0.6853
STX6	0.6485
HIST1H1C	0.343333333333333
CIDEB	-0.05825
CASP4	0.5205
PDK3	-0.8726
KCNJ11	1.466
TPR	-0.15425
ZSCAN20	-0.364
MTX2	-0.416
HIST1H2BH	1.114
LOC283767	1.4765
LYRM7	-1.09316666666667
BRD3	-0.0271666666666667
HIST1H2BO	0.67975
MAGEB10	0.919
SLC45A1	0.023
SERPINA3	0.3182
KIAA0143	0.581
KCNJ16	3.58416666666667
KRT79	-0.1885
FABP2	-0.75325
NUT	-0.16025
ZNF57	-0.56875
FBXL4	-0.528875
CLEC9A	1.7615
UGT8	-0.349
BMP2K	-0.03625
MAPK4	-2.055
SLC25A23	-0.1814
HINT1	-0.2681
KRTAP13-1	0.2425
SFXN5	0.4439
CHCHD2	-0.228416666666667
FAM3D	4.5925
NDP	0.248
RHOBTB1	-0.768166666666667
SLC4A4	5.268625
RPL38	0.46125
HTF9C	-0.0811666666666667
AP2A2	0.2335
ZBTB46	-1.113
MAP7D1	-0.11175
AOX1	-0.808666666666667
CYR61	1.42675
DTNA	-1.4465
JRKL	0.47225
TMOD3	-0.04375
EEA1	-0.1046
ADCK5	-0.3685
IL1R1	1.49316666666667
KLK3	0.887571428571429
HRSP12	-0.52525
KTN1	0.74175
LOH11CR2A	0.032
RELL2	-1.74975
MAB21L1	2.154
C20orf59	-1.19083333333333
PHKB	-0.69575
ADAM2	-1.8275
TBC1D8B	1.30533333333333
FAM13A1	-0.2189375
LAPTM4B	-3.1065
LCN8	-0.558
TMEM147	0.2175
SYT4	0.267666666666667
XPO7	-0.9395
C9orf62	2.57325
GPR75	0.301
TRIM5	0.204625
APOC1	-1.18233333333333
RNASE4	0.8275
PARD6B	-1.899375
ARID1A	0.2675
TPD52L3	-0.119125
RRAGB	-0.01
RCN2	-0.872666666666667
HIST2H2BE	0.581875
STARD7	-0.7605
SHMT2	-1.80425
KIAA1751	0.216666666666667
MLYCD	-0.430625
LOC162632	-0.5569
UQCRH	-1.319
RP11-217H1.1	-0.017875
SDHA	-1.72683333333333
NCLN	-0.4063
ZNF17	0.374166666666667
RCBTB2	-0.5555
VEGFB	0.57
RP4-747L4.3	0.081
COLQ	-0.1629
MPN2	-0.26
DRG2	-0.61
KLRB1	4.45875
ALPK2	-2.608
DNASE2B	5.881
FLJ23834	0.0568333333333333
AXUD1	1.08916666666667
SAFB	0.1917
NSUN4	0.072
RFX2	0.1015
MAPK8IP1	-0.287166666666667
FANCD2	-1.66071428571429
ANKZF1	-1.59516666666667
C19orf50	-0.695375
DUSP8	0.244375
SENP5	-0.46925
NFKBIL2	-0.88525
LBR	-1.495125
IGFL1	0.712
LZTS2	0.4255
IL2RG	-0.8685
CCDC51	-0.18975
KLF3	0.599875
ANKRD37	-1.48875
KCTD14	0.619666666666667
FZR1	0.106833333333333
SLC44A4	4.5757
ESPL1	-1.5305
GMPR2	-0.3752
TBC1D19	-0.930166666666667
ERGIC1	0.656407407407408
ERBB4	4.6325
TSPAN32	-0.445833333333333
MAP4	-0.3725
GPHN	-0.85575
SLC6A2	0.30625
HIVEP1	0.50425
DFFB	-0.3672
EIF4EBP2	0.853
DMRT1	-0.66225
HSPB6	0.77275
IER2	1.8685
AIFM1	-0.3515
WWC2	1.02575
MRPL4	-0.6545
FLJ21062	2.14166666666667
EPB41L4A	2.35441666666667
SH2D6	0.041
TAF4B	-1.149
GAL3ST3	-0.6445
MALT1	-1.27816666666667
RTDR1	0.14275
ARVCF	0.21575
MEX3B	-0.791666666666667
FBXO16	1.12825
KIF7	-0.68575
C1QC	4.2795
ZNF783	-0.457333333333333
ZNF85	-0.0445
MMP13	3.6875
KIAA0329	1.07842857142857
RTP3	-1.484
ZBED3	-0.077
CLGN	-1.6275
SLC25A37	-0.47525
hCG_18290	0.6105
OR5AS1	-0.0435
SMARCC2	1.212
FAM109A	-0.0756666666666667
CCDC12	0.12225
USF2	0.2384
DEPDC7	-2.2425
C20orf24	-1.27116666666667
JMJD3	-0.275
DSP	1.33964285714286
SLIC1	-0.0195
FAM20A	0.60875
IRF2BP2	1.014875
ZNF230	-0.0425
MSN	-0.488357142857143
