Hybridization REF	TCGA-BH-A0HF-01A-11R-A056-07
FUS	-1.7705
TF	-3.2589
CLCN4	-0.159833333333333
CXorf56	-0.4395
C11orf72	0.46325
ELAC2	-0.0883333333333333
NPR1	0.488
ASS1	-2.11966666666667
USP42	-0.133375
POLR2J	-1.7855
SEC23IP	0.6885
UQCRC1	0.33175
LOC729603	-0.60875
C1orf71	-0.75675
POLG	-2.352
ADAM23	-2.497
TFR2	-1.45875
RICTOR	-0.9871
MGC39606	0.37625
C19orf55	-0.13125
SNAPC1	-1.64033333333333
GNA11	0.641
CCDC52	-0.3
FSIP1	4.7455
UPF3A	-1.19025
IGSF11	-2.2565
LAGE3	-0.31025
CHST6	-0.5835
UNC13B	0.1155
TTLL4	-1.61025
ZNF687	0.645125
SDC2	0.0212
COX7A2	0.03825
LAMB4	-0.03675
FAM24A	0.241
LRRTM3	-1.1445
GPHB5	0.172
OR4C13	-0.112
EIF3EIP	0.4105
HABP4	-0.576
TMEM125	3.87725
CNTN2	-0.116
ASNSD1	-0.246
FUT4	0.02125
ACF	-3.67975
LOC158381	0.662
CDH8	0.05675
AGPS	-0.335833333333333
C4orf18	3.648375
PECI	0.12525
UNG	-0.449875
GSTP1	-0.441
DCUN1D5	-1.711
DKFZP564J0863	0.20625
SLC9A3R1	0.924625
BCDO2	-1.525375
CHMP7	-0.439375
REM2	0.082
DNHD1	-0.823375
FKBP4	-0.078125
ZNF350	1.733
MGC11102	0.122
BST1	1.814
KISS1R	2.1645
NCR2	-0.3185
DEFB125	0.3985
UBE2W	1.10975
KRT15	1.616
C10orf99	0.3115
SCN11A	0.1135
GFI1	-2.353
RDHE2	3.8835
FHL1	-0.0571666666666667
OSGEP	-0.0361666666666667
GATA1	-2.968
SMC6	-1.6175
TTTY14	-0.98325
LPIN3	-0.433
RPL4	-0.4564
RBPMS	-0.153
PRPF3	-1.30416666666667
EMR1	-1.252
SPATA19	-0.21575
XCR1	0.8975
IRX3	2.4897
RBM6	-0.8
KLF4	-0.299
UNC5CL	-0.37125
SEBOX	-0.314
BTK	0.13225
KRCC1	1.22425
C6orf27	0.5005
SYTL5	-1.173
PRND	3.164875
LOC653319	-1.1045
PIGL	-1.5995
HUS1	-0.568666666666667
SFRS6	0.306666666666667
C17orf77	0.356
UIMC1	-0.584
FXYD2	-1.8461
LOC283152	-0.25825
ZNF667	-0.76875
ZCCHC12	-0.83125
TFEC	2.7625
ATP7B	-0.652
POLD2	-1.04766666666667
RG9MTD1	-0.03575
ACOT2	0.958166666666667
HIST1H4I	-0.545875
PPARGC1A	-1.6712
ETFA	-1.1054
POLRMT	-0.85225
ZNF146	-0.91075
MIA2	-2.151
KLHL6	-0.635333333333333
HOXB5	-0.494875
NENF	0.409
CUGBP1	0.568
PRSS22	1.59
CASC4	1.9007
CUL4B	0.0101
CENPJ	-2.2342
PITX1	-1.16966666666667
FLJ31033	0.539166666666667
CELSR3	-1.94016666666667
ZNF568	0.75075
ITSN1	-0.544
EHBP1L1	-0.537333333333333
C19orf2	-1.24825
DCTN1	0.3365
LIN28B	-3.84916666666667
TNKS2	-0.99775
C1QBP	-0.16075
CADPS2	2.32575
SRMS	0.29925
GJA9	-0.024
MGC24975	-1.3315
TRIM45	0.1105
TSP50	-0.1505
TCP1	-1.4035
TMED7	0.889
CMA1	0.186
CENPL	-1.44483333333333
PTCRA	1.2155
FST	-2.22125
VWCE	-2.70975
PAWR	0.46925
ABCC12	0.221166666666667
LDLR	-0.389
ASTN2	2.1115
LOC441212	-1.384625
GPATCH8	-0.8185
TANC2	-0.0653333333333334
KIF4A	-2.261
C18orf18	-0.40025
PGM1	-0.608
KIAA0258	0.75375
CPD	0.866
SNCAIP	-0.643
DCT	-4.29916666666667
HLA-DOA	2.78618181818182
OR11L1	0.537
UPK1B	-0.472333333333333
DNAJB4	-0.516375
UGT1A8	-0.2685
HIST1H4L	-0.515
PECR	-1.71016666666667
HSPA2	2.705
WFIKKN1	-2.9605
SERP1	0.84075
SYDE2	1.6515
TACR2	1.274
NUP85	-0.868
CD177	1.35433333333333
LGR5	-1.67733333333333
PIGG	-0.04675
PTHR1	-0.148666666666667
RAB5A	-0.0419
FLJ13224	0.221
USP9Y	-1.6555
C7orf53	-1.557
LRP1B	-1.16025
XAF1	1.0983
ABCG8	0.219
ANKDD1A	-0.600833333333333
DAND5	-1.527
SPAG6	0.854166666666667
LINCR	0.71725
ZDHHC22	-1.738125
CCDC60	0.7095
THOC7	-1.27833333333333
TCTA	1.1455
OR8K3	-0.054
NY-REN-7	-0.6145
B2M	1.7035
C6orf141	-2.235375
LPPR4	2.7505
SQLE	-1.553875
SEPHS1	-0.01475
BTBD14B	0.606857142857143
PLRG1	-0.431
SPG7	-0.254375
ZNF614	0.028
PARD6G	1.3535
INPP5B	-0.9784
GRPEL2	-0.08825
PPID	-0.8262
TRIM56	-0.32425
UBE2J1	0.075375
IL20RA	6.9415
LOC387856	0.32025
C1orf107	-0.337583333333333
UTS2R	2.2545
C19orf22	-0.54
SAFB2	-0.233
KIAA0652	0.40775
KLRG1	-0.5205
MS4A8B	0.820666666666667
FRAG1	-0.1365
KIAA1546	-0.01775
E2F4	-1.0281
CLEC4M	1.05566666666667
BTBD14A	-0.74775
KIAA0999	0.9325
GYPA	-2.68916666666667
TAC1	0.8719
TRAIP	-1.653
KIAA0232	0.3038
ERCC8	-1.22175
GPX4	0.163875
KIAA0368	-0.421625
GPR157	-0.245166666666667
CTAGE4	-0.582
C9orf30	-1.34666666666667
OR52A1	-0.146
HSP90B3P	-0.4105
ALG9	-0.888
BTBD10	0.388
SDK2	-0.391
BAIAP3	0.593
RABGGTB	-1.56825
ANKRD40	-0.309333333333333
KRT74	0.4315
CALCOCO2	-0.0322142857142857
SNCA	-2.73525
TMSL8	-2.992625
C2orf53	-1.0455
ESRRB	-0.8425
ARHGAP26	-1.027375
TDRD9	-1.6115
HRAS	0.135666666666667
KLRC4	-2.973
JAGN1	-0.257833333333333
BSDC1	0.4335
RNF43	-0.0464
NDUFAF1	0.397
PHF12	0.2085
OR1L3	-0.13425
FOLR2	2.42275
LYZL6	0.2505
tcag7.1260	-1.5865
WSB1	-1.64366666666667
PROS1	-0.3589
OSTN	0.6795
PSMB8	1.083
SOCS4	-0.3565
DDIT4L	2.46675
MAS1	-0.129
MGC34796	1.38375
CSHL1	0.069
TBCCD1	0.213666666666667
ZBTB7C	0.038
AP2S1	0.04325
P15RS	-0.4886
VAT1	-0.6586
SHANK3	1.48683333333333
TUFM	0.139166666666667
THEG	-0.5505
KRT34	-2.12975
SGSM3	0.77725
TOMM22	0.419375
SOCS3	1.97916666666667
CPO	-0.5725
POP4	-0.22525
BHLHB3	1.581
MALL	1.18325
OR1B1	-0.4415
PARK2	0.4375
GPR124	1.107875
LCE1E	0.397
RUVBL2	-0.3685
CGRRF1	0.466
ACPL2	-0.03925
WNT10B	-2.005875
BAIAP2L2	-2.02025
ISCA1	0.3555
C1orf125	0.06625
RPAP1	-1.08325
RAI16	0.164166666666667
RPL27	-0.5215
NLRP9	0.388
EPN1	0.1285
LOC388610	-1.47
SLC35A1	0.4907
GAL	-3.56375
SLC14A2	0.21075
RDH11	-0.6875
FAM138F	-0.4145
AUH	0.088
FLJ40243	-0.1095
C14orf129	0.344833333333333
MBD2	-0.350833333333333
ABHD14B	0.22325
PIGT	0.373125
ALS2CR4	-0.56675
ALAS1	0.2693
FOXO1	1.34166666666667
CRLF3	-0.568625
C20orf107	0.029
FARS2	0.77525
CCDC28A	0.368
NPHP3	-0.834
OR13F1	0.642
TSEN54	-0.6665
DEFB106B	0.0895
OR8B4	0.3595
STH	1.17975
ZC3H14	-0.404875
CBX2	-0.126
TMEM49	-1.1305
C6orf21	0.415
FLJ20920	0.991625
CRTAP	0.171714285714286
DDX50	-0.443
STYXL1	0.08075
BLVRB	0.404333333333333
LOC147650	-0.0153333333333333
MMP24	0.25775
GRID1	2.1405
BANF1	-0.484
CTAGEP	-0.3015
HMBS	-2.4005
SLC25A24	0.35
C14orf50	2.864
MRO	0.840333333333333
SLC25A15	-1.64
FAM84B	1.3886
TDP1	-1.0815
C16orf78	0.343333333333333
C11orf57	-0.34875
RFK	-0.393625
ZFYVE9	-1.391125
STCH	-0.4426
WIBG	0.27775
LOC283871	-0.518833333333333
GBA2	-0.7007
NDUFB3	-0.15775
HSD17B13	-0.27025
GRIN3A	1.3355
FMNL1	-0.903166666666667
SEPT7	-0.2639
GNLY	2.966
GRAMD1C	0.8165
ZNF165	0.2015
USP38	0.362
FAM83A	-3.31366666666667
C14orf24	0.533666666666667
ARMCX3	0.745125
ARHGDIB	1.35816666666667
AK1	0.6415
KIAA1045	0.61375
DNAJB13	-1.05183333333333
NEU2	0.6975
HIST1H4B	-0.7445
FAM20B	-0.6344
HES2	-0.291214285714286
FAM73B	-0.3038
LOC388381	-0.861
INTS7	-0.57
AMPH	1.67075
ZNF775	0.6085
UCKL1	-0.899666666666667
C10orf97	0.08675
C1orf161	-0.112
ALDH1L1	0.04825
FLJ39378	-0.120125
SLC23A1	-1.1615
RBM4B	-0.1495
THAP4	0.0975
OGFRL1	0.81925
KIAA0831	-0.248
PPP1R15A	-0.0411666666666667
C1orf96	-0.505857142857143
C12orf11	-1.983
BMF	0.999625
MAN1A1	0.500625
KIAA1600	0.860833333333333
NLGN4X	0.17575
ALOX12	-1.56733333333333
RB1CC1	0.3526
NEIL2	0.5544
EIF4E	0.289
ABHD5	0.055
EXOC4	-0.164333333333333
CIP29	-0.707
BATF2	-0.006
SLC29A4	-0.579625
HTR4	0.373
EMB	-0.91375
TRAF6	0.6715
LMNB1	-2.97825
FAM19A5	-0.13525
SHE	1.857
PIK3C2B	0.6555
C15orf15	-0.2515
USP15	-0.0832
TCEAL2	1.7055
C5orf39	-0.517166666666667
PTGER2	-0.649
SLC31A1	-0.2428125
IFT172	0.047
ADAM29	0.3435
GFOD1	0.34
ST7L	0.728333333333333
C15orf26	-2.645
PKN3	-0.9195
CNTD1	3.52
COMMD1	0.602375
NTRK2	2.71525
FOXN3	0.318375
MFGE8	-0.7227
PFKFB2	-0.147
TAS2R4	-0.735
ENTHD1	1.3855
PRMT5	-0.93725
MGC16384	-1.09825
LOC442229	-0.8045
TSKU	0.633125
KRTCAP3	2.15
PDLIM1	1.4069
KCNS2	0.673
RNF126	-0.769
CEP63	-0.076
CLIC4	-0.079
hCG_1990170	0.88925
ACR	0.2961
KLK7	1.83825
ALOX5AP	3.2275
RIPK3	3.69375
TAS2R9	0.3165
C19orf18	1.874
BIRC6	-0.202428571428571
ZNF16	1.0165
RFT1	-0.33075
SLC8A2	-0.69775
TACC1	0.582625
ITGAD	1.52775
SAMHD1	1.408
SH3PXD2B	1.5645
EPC2	0.864
C20orf85	-0.0835
ATP13A2	0.784333333333333
KRT4	0.090625
CAPNS1	0.2715
MDM2	0.140166666666667
PCDH20	3.10875
KCNK9	0.418
OR2C1	-0.042
KLHDC3	-0.524166666666667
IPPK	0.5725
EFHD2	0.23075
GALR3	2.18475
NBEA	1.084
ABCA6	2.9512
CLDN3	0.608333333333333
AKT2	-0.409
EGFR	-1.4902
RBM16	0.363
ZDHHC3	0.3951
SLC25A4	-0.1285
CYB5B	-0.905
CPXM1	1.66675
NDRG1	-1.16969230769231
FLJ43826	0.4595
OR5L2	-0.5785
FARP2	0.8464
MRPL46	-0.72525
LDHAL6B	-0.146166666666667
MAPKAPK3	-0.148666666666667
NCAM2	2.03825
PRKD2	0.307166666666667
ZFP36L1	1.1935
CYSLTR1	0.1935
OR4C3	-0.36825
HIST1H2AJ	2.822
CCNB2	-2.652
ZNF10	-0.117125
TMEM175	1.1275
FAM134A	1.1185
TIGD4	-0.1185
PCNP	-0.31425
MGC39715	0.499
LQK1	-0.55525
CREB1	0.9249
TMPRSS3	-0.3565
C4orf32	2.749375
LAT	-1.39741666666667
KCNA3	0.201
SKIV2L2	-0.96525
ROPN1B	-1.38125
tcag7.23	-0.713
CDT1	-2.72
ZHX2	1.551125
CD28	-2.658
ZNF624	0.8545
SEPT2	0.7335
SOHLH2	-1.827
MCOLN3	-0.7545
UNQ1945	0.9735
MASP2	-1.1795
ZNRF3	0.096
GPATCH3	-0.0835
AGL	0.93825
QRICH2	-0.209
PSD4	1.1615
CCNB1IP1	-2.48025
ENPP7	-0.00624999999999999
OBFC1	0.428
KCNG3	-2.28625
C14orf79	0.95025
ENPEP	1.92733333333333
SCT	2.0815
SKI	1.18775
SEC61G	-1.26325
CAPN11	-0.1065
ATXN7L3	-0.48925
DBNDD1	-0.604166666666667
FAIM	0.27925
ANKRD36	-0.961
GABRP	2.60933333333333
TACSTD2	2.55766666666667
EIF3J	-0.54075
PPP2R2A	-0.66575
TEKT4	-0.276166666666667
PVALB	-2.28016666666667
F10	-1.61683333333333
FAM134C	0.6343
COMP	4.9265
EFCBP1	-1.849875
SCLT1	0.643875
TAL1	-1.013
ACSL1	0.98825
ABCC5	0.34475
ABL1	-0.0233333333333333
RBBP7	-0.348
PTPRG	-0.383375
NCOR1	-0.3009
SPINK4	-0.8795
TXNRD1	-1.2203
TNRC15	0.394
C9orf138	0.5745
UBE2H	0.9175
BRDT	0.7905
C8orf31	-0.095
CCNE2	-1.65427272727273
SLC6A8	-1.72925
CALCR	-3.641
PPP1CB	1.24641666666667
ABHD8	0.35475
ARF5	0.3743
SLC24A4	0.7265
CCT3	-0.35925
ZNF121	-0.499625
SLC3A2	-0.4274
OR13A1	0.2385
SLC5A10	-0.22625
RAD50	-0.67625
IER5	1.114875
MTHFD1L	-2.0685
MBTPS2	0.365
MVK	-0.571
NCL	-0.0868
PSMD10	-0.5195
MOBP	0.63825
FLJ32894	-0.5885
HRH1	0.044
C5orf30	1.57825
NUDT16L1	0.658
RASGRP3	3.86183333333333
PRKRIP1	-0.6108
CCDC75	0.50825
LOC253970	-0.10075
KIAA1239	1.06125
MED21	-0.80975
SYT11	0.865
NTSR2	-0.6465
EGFL11	0.948
CXorf59	0.898
OR2A25	0.027
SPTBN2	0.28025
LRMP	-1.2295
RNF111	0.05775
PTH	-0.3765
LOC619208	0.752
KIAA0895	0.44525
RANBP5	-1.41475
P2RY10	3.56716666666667
NME5	3.80066666666667
DDX21	-0.90475
LRSAM1	0.406
HDAC11	1.52716666666667
VMO1	2.181
NOLA2	-0.5165
ADAR	0.398333333333333
MTO1	-1.37016666666667
SF4	0.1895
P2RX1	0.0671666666666667
HBM	1.91825
EN2	2.412
C14orf172	0.30625
TM9SF2	0.00490000000000001
INHBE	-1.6925
TCTE3	0.226833333333333
TOX2	-2.64375
CTAGE3	0.033
HBB	4.731
MED15	-0.602333333333333
CASR	0.43275
C6orf66	-1.4815
MTPN	-0.2935
UNC50	-0.3095
C21orf33	0.524625
IRF2	0.812375
PGR	0.270166666666667
GPR84	2.4705
CROCCL1	-3.21625
SRPX	-0.48425
BRE	0.5565
FGF10	1.2325
SDC3	0.7315
ZRSR1	0.118166666666667
DKFZP434P211	-0.301125
SOX6	-0.1435
RPUSD2	-0.18525
C14orf173	-0.265333333333333
MAPK11	0.364
TBC1D22A	0.8515
FAM123A	-1.908
COL4A6	-2.35516666666667
TOMM70A	-0.48725
NAB1	0.231
MGC16385	0.096125
TSPAN18	0.8535
MED31	0.026
PLG	-0.478
CAPSL	1.0405
ZNF532	0.5742
ASB14	0.093
CA8	0.21925
NUDT16P	2.34916666666667
SLFN11	-0.6245
LRRIQ2	0.02025
NOL7	-0.249833333333333
BRMS1L	-1.114625
JARID1A	0.465833333333333
PANK2	-0.2345
ICAM3	-0.58
MDS1	-0.73525
TAF8	-0.758
RNF139	0.749
ZNF594	0.243833333333333
ADAM8	1.207375
SFTPC	0.00249999999999999
MAN2B2	1.128
RGS12	0.867
EIF1AY	-4.74233333333333
LRRIQ1	-1.75633333333333
GPR150	2.489
CCDC21	-1.4205
PRRG3	0.4285
SAA4	-3.19775
RAPGEF5	2.8885
ZCCHC2	0.01375
MGC39372	0.4615
PPP4R2	0.549166666666667
CDCA2	-2.721
OR4D5	0.216666666666667
PTGFRN	1.2641
SIGLEC5	1.83983333333333
C19orf61	-0.0991666666666667
NMUR2	0.0885
KIAA1586	-0.7295
DAGLA	0.360666666666667
CHCHD6	-0.34875
GPR32	0.636
NEUROD6	0.129666666666667
SLC2A4RG	0.2254375
CA5B	0.0265
FBXL3	1.17025
MPHOSPH9	-1.44875
HMG2L1	0.195
HCN4	1.22016666666667
CEACAM19	-0.01175
SH2D4B	0.0715
HFE2	-0.6495
TGM4	0.384166666666667
LYPD2	-0.21025
TBC1D15	0.29025
MRPS21	-0.7664
NONO	-0.6818
CLEC5A	1.628375
ITCH	0.3539
MGAT3	-0.387666666666667
MBP	-0.2725
RPP25	-0.45525
SOSTDC1	-0.18575
HRC	-1.06725
TRIM48	0.408
TMEM133	-0.21625
ECEL1P2	-1.4745
HOXC11	-1.0235
DOK5	-0.3435
HELZ	0.395833333333333
LOC348180	-0.3295
MGC33894	-0.15775
ADRB3	0.101
DMD	0.188083333333333
PTRH2	-0.5895
MPEG1	3.45933333333333
NDUFA12	0.0163333333333333
KRTAP2-4	0.26
STAMBPL1	-1.26266666666667
ADCY2	-0.257
UNQ6125	0.2885
KLHL20	0.295666666666667
SRM	-1.3145
OTC	-0.63675
TMIE	-0.342
SNX8	0.28075
LIPK	0.9345
CHURC1	-0.176666666666667
KLC2	0.2285
HDAC1	-0.304
FAM128A	0.535666666666667
FNDC3B	0.00949999999999999
MTCP1	-0.504333333333333
WFDC10B	0.3249
PCDHGB3	0.2975
ATRNL1	1.4735
CAV2	-0.507375
MED26	0.1475
DUS1L	0.3215
CHRM3	-1.78775
NEK9	0.4265
WARS2	0.393
TBX22	-2.0135
TOMM40	-0.9595
RP6-213H19.1	-0.6105
TUBGCP5	-0.6395
IGSF6	5.91375
TPPP	0.7065
UNQ6190	1.1425
GSTM5	0.586125
BTD	1.492
PDCD1LG2	-0.059
SNRPB2	-0.686166666666667
ERICH1	-0.497625
APOA4	-1.396375
HOXA11	-2.59025
NARG1	-0.559375
MKX	-0.314
RAB28	-0.730214285714286
PKP3	0.5465
SH3GL2	-1.2595
CTSO	3.4635
RPN2	0.752
IL28RA	0.459833333333333
SFMBT1	1.2605
WDR57	-0.30575
FER1L3	1.25616666666667
HSF5	0.261166666666667
TTC9B	0.5865
C4BPA	-3.51016666666667
ALB	-3.91585714285714
SORBS3	0.11725
UPF2	-0.6075
JPH1	-1.365
AGBL2	0.0725
DOPEY1	1.219
TERF1	-0.608583333333333
KIF22	-0.7325
NINJ1	1.41825
SEC61A2	-0.832666666666667
HIST1H1D	-1.24283333333333
SFXN4	-0.215375
UCP3	0.7558
ZNF703	1.372
MYL6B	-0.47075
TREM1	1.53925
OR52E6	0.24
CKMT2	1.358
HLA-C	2.496
SLC13A3	-1.96616666666667
TIMP4	0.9635
SLIT2	3.259
RSF1	-0.124055555555556
LONRF1	-1.087
MON1A	-0.444666666666667
CACNG6	-1.3095
DPPA4	-4.7315
ZSWIM3	0.25
ZNF804A	0.629
CCIN	1.92875
SLC25A31	0.13775
KCNMB4	0.34625
RABL5	0.5615
GALNS	0.2574
STX6	0.64725
HIST1H1C	-2.36983333333333
CIDEB	-0.258875
CASP4	-0.105166666666667
PDK3	0.3733
KCNJ11	1.9905
TPR	-0.517375
ZSCAN20	-0.8085
MTX2	-0.271
HIST1H2BH	0.05225
LOC283767	0.90175
LYRM7	-1.49
BRD3	-0.132666666666667
HIST1H2BO	-0.48575
MAGEB10	0.102
SLC45A1	0.94425
SERPINA3	3.58655
KIAA0143	1.386
KCNJ16	-0.00349999999999998
KRT79	-0.32225
FABP2	-1.521
NUT	-0.54025
ZNF57	-1.1995
FBXL4	-0.1465
CLEC9A	1.389
UGT8	-1.01733333333333
BMP2K	1.5225
MAPK4	-1.75775
SLC25A23	-1.5451
HINT1	-0.8006
KRTAP13-1	-0.6065
SFXN5	0.1674
CHCHD2	-0.190666666666667
FAM3D	2.508
NDP	0.2965
RHOBTB1	0.904166666666667
SLC4A4	1.697375
RPL38	-0.11625
HTF9C	-0.386833333333333
AP2A2	0.574625
ZBTB46	-0.6895
MAP7D1	0.48025
AOX1	-1.45266666666667
CYR61	0.511333333333333
DTNA	-0.328071428571429
JRKL	-0.00675000000000001
TMOD3	0.032
EEA1	-0.1771
ADCK5	-0.2545
IL1R1	2.158
KLK3	0.776642857142857
HRSP12	-1.285
KTN1	0.739
LOH11CR2A	1.0081
RELL2	-1.73075
MAB21L1	1.32275
C20orf59	-1.32316666666667
PHKB	-0.156
ADAM2	-2.12533333333333
TBC1D8B	1.20316666666667
FAM13A1	-0.782625
LAPTM4B	-1.92716666666667
LCN8	-0.081
TMEM147	0.255
SYT4	-0.6055
XPO7	-1.796
C9orf62	2.374
GPR75	-0.485
TRIM5	0.9565
APOC1	0.969833333333333
RNASE4	0.769833333333333
PARD6B	-0.527625
ARID1A	0.425083333333333
TPD52L3	-0.2566
RRAGB	0.26
RCN2	-0.302
HIST2H2BE	0.4689375
STARD7	0.17325
SHMT2	-1.27775
KIAA1751	0.00700000000000001
MLYCD	0.822125
LOC162632	-1.2074
UQCRH	-1.39575
RP11-217H1.1	0.6853125
SDHA	-1.30733333333333
NCLN	-0.3126
ZNF17	0.473333333333333
RCBTB2	-1.20375
VEGFB	-0.2675
RP4-747L4.3	0.105
COLQ	-0.1827
MPN2	-1.11433333333333
DRG2	-0.2725
KLRB1	5.883
ALPK2	-1.44075
DNASE2B	3.3345
FLJ23834	0.938666666666667
AXUD1	1.3975
SAFB	-0.1721
NSUN4	0.38275
RFX2	0.464333333333333
MAPK8IP1	-0.399166666666667
FANCD2	-1.13164285714286
ANKZF1	-1.75016666666667
C19orf50	-0.538
DUSP8	1.49025
SENP5	-0.33375
NFKBIL2	-0.551
LBR	-1.111375
IGFL1	-0.073
LZTS2	0.46625
IL2RG	-0.78525
CCDC51	-0.0735
KLF3	0.320625
ANKRD37	-0.62875
KCTD14	-0.696
FZR1	-0.014
SLC44A4	3.8643
ESPL1	-0.7685
GMPR2	-0.4398
TBC1D19	-0.276666666666667
ERGIC1	0.790296296296296
ERBB4	3.3875
TSPAN32	-0.00116666666666668
MAP4	0.029
GPHN	-1.37975
SLC6A2	-0.10825
HIVEP1	0.031
DFFB	-0.9643
EIF4EBP2	0.488875
DMRT1	0.00733333333333332
HSPB6	0.0295
IER2	0.5665
AIFM1	-0.07775
WWC2	-0.03575
MRPL4	-0.879
FLJ21062	1.57533333333333
EPB41L4A	1.78275
SH2D6	0.237
TAF4B	-1.5055
GAL3ST3	-0.4335
MALT1	-1.06116666666667
RTDR1	-0.19775
ARVCF	0.538125
MEX3B	-0.851833333333333
FBXO16	0.674
KIF7	-1.128
C1QC	4.2665
ZNF783	-0.644833333333333
ZNF85	-0.4595
MMP13	5.268
KIAA0329	0.501875
RTP3	-1.8315
ZBED3	-0.01
CLGN	-1.26675
SLC25A37	-1.56029166666667
hCG_18290	-0.13675
OR5AS1	-0.4375
SMARCC2	0.925666666666667
FAM109A	0.221166666666667
CCDC12	-0.1855
USF2	0.5177
DEPDC7	-1.692
C20orf24	-0.740166666666667
JMJD3	0.449
DSP	-0.00571428571428573
SLIC1	0.6785
FAM20A	2.12025
IRF2BP2	0.782125
ZNF230	-0.2485
MSN	-0.0846428571428571
SLC9A5	-1.2595
EPDR1	-1.5202
MUSK	0.4335
ZNF434	-0.0851666666666667
SMARCD1	-0.480833333333333
ZFP106	-0.368
ZNF347	0.0938
GTF2E1	0.34225
