Hybridization REF	TCGA-AO-A0JD-01A-11R-A056-07
ABR	-0.95375
OR9G1	-0.798
FOXE1	-0.887
CNGA3	0.13
GML	0.47
CD38	-1.54175
ZDHHC6	0.402666666666667
NEFH	-2.983
CTDSP2	0.517583333333333
PGBD5	-2.0075
CCNY	0.734071428571428
RMND5B	0.967666666666667
ZNF257	0.8615
FLJ22167	-0.2015
EXOSC7	0.460666666666667
ROR2	0.990125
MAOA	0.13875
TNNT3	-0.0805
GYPC	-2.14625
C7orf33	0.9245
PLIN	3.135
LOC90826	-0.25925
RNF4	0.3217
F8A1	-0.201166666666667
PLEKHG4	-3.33325
GRB2	0.7573
HIST1H2AD	-0.11525
DUS3L	-0.0206666666666667
EIF1	-1.05583333333333
RP5-1077B9.4	-1.48516666666667
FPGT	1.67325
GDF10	-2.96866666666667
COQ9	0.0745
GCC2	-0.330642857142857
RARRES3	2.601625
PLXNA1	-1.0514
KIAA0100	0.4132
PMF1	-0.06875
FNDC1	3.9245
HS2ST1	-0.254666666666667
CRELD2	0.02225
C8G	-1.7135
CD82	-0.4185
LIM2	-1.739
UNQ6490	-0.3875
MMP16	-0.04525
DRD3	0.11625
C5orf26	-1.15925
C11orf73	-0.2715
PTP4A2	0.615625
OR4M2	0.5955
HPCA	-1.48016666666667
SEC14L1	-0.565333333333333
CHFR	-0.2195
EMILIN1	-0.34025
NDUFS4	0.30075
COL18A1	-1.540125
PDZD3	-0.1978
C9orf16	-0.391666666666667
ERBB2IP	0.371
EMX2	0.6075
FUS	-0.509
TF	-3.8425
CLCN4	-0.8455
CXorf56	0.84175
C11orf72	0.82575
ELAC2	-0.54725
NPR1	-1.2715
ASS1	-2.69833333333333
USP42	0.2335
POLR2J	0.4865
SEC23IP	0.8035
UQCRC1	0.90225
LOC729603	0.1585
C1orf71	0.72325
POLG	-0.639
ADAM23	-3.75325
TFR2	-0.12225
RICTOR	-1.085
MGC39606	-0.00400000000000002
C19orf55	-0.247375
SNAPC1	-0.397666666666667
GNA11	0.928875
CCDC52	0.411166666666667
FSIP1	2.053
UPF3A	-0.829125
IGSF11	-2.59483333333333
LAGE3	1.828
CHST6	-3.8435
UNC13B	1.091625
TTLL4	-0.6955
ZNF687	0.21125
SDC2	-0.4013
COX7A2	0.6375
LAMB4	-0.29025
FAM24A	-0.0675
LRRTM3	-1.04883333333333
GPHB5	0.21525
OR4C13	-1.314
EIF3EIP	-0.445285714285714
HABP4	-1.702
TMEM125	2.854
CNTN2	-0.337125
ASNSD1	-0.51825
FUT4	1.266
ACF	-4.13825
LOC158381	1.3585
CDH8	-0.12675
AGPS	-0.563166666666667
C4orf18	3.274125
PECI	-0.67925
UNG	-0.43225
GSTP1	-3.4295
DCUN1D5	1.51866666666667
DKFZP564J0863	-0.236
SLC9A3R1	2.021875
BCDO2	-0.197375
CHMP7	0.695125
REM2	2.425
DNHD1	-1.1115
FKBP4	0.963125
ZNF350	0.4525
MGC11102	-0.427
BST1	0.77825
KISS1R	0.8675
NCR2	0.2955
DEFB125	-0.8825
UBE2W	0.98825
KRT15	1.7615
C10orf99	0.2245
SCN11A	-0.190571428571429
GFI1	-2.0115
RDHE2	-0.268333333333333
FHL1	-1.57
OSGEP	-0.2365
GATA1	-3.31183333333333
SMC6	-1.4895
TTTY14	-1.72675
LPIN3	-0.515
RPL4	0.6516
RBPMS	0.7064
PRPF3	-0.0583333333333333
EMR1	-2.5175
SPATA19	-0.0215
XCR1	0.726
IRX3	1.7492
RBM6	-0.6205
KLF4	-1.7901
UNC5CL	0.692
SEBOX	0.0495
BTK	-0.50825
KRCC1	0.75975
C6orf27	0.024
SYTL5	0.002
PRND	0.620428571428571
LOC653319	-1.975
PIGL	-3.550875
HUS1	1.3565
SFRS6	0.973833333333333
C17orf77	0.51
UIMC1	-0.597333333333333
FXYD2	-1.8974
LOC283152	-0.114
ZNF667	-1.468
ZCCHC12	-1.83
TFEC	3.1695
ATP7B	1.07483333333333
POLD2	0.128666666666667
RG9MTD1	0.5065
ACOT2	1.08666666666667
HIST1H4I	-0.490625
PPARGC1A	-2.7491
ETFA	-0.0064
POLRMT	-0.22
ZNF146	0.1455
MIA2	-0.306
KLHL6	-1.01483333333333
HOXB5	2.486
NENF	0.324
CUGBP1	1.5245
PRSS22	1.25116666666667
CASC4	1.5777
CUL4B	0.1905
CENPJ	-0.9637
PITX1	1.76283333333333
FLJ31033	1.49033333333333
CELSR3	-0.202
ZNF568	0.1175
ITSN1	0.314166666666667
EHBP1L1	-2.13183333333333
C19orf2	-0.16875
DCTN1	0.8545
LIN28B	-3.1658
TNKS2	-0.305
C1QBP	0.314875
CADPS2	1.233
SRMS	0.3435
GJA9	-0.2075
MGC24975	-0.1005
TRIM45	-0.963333333333333
TSP50	-0.37675
TCP1	0.12
TMED7	0.6427
CMA1	0.762
CENPL	0.0636666666666667
PTCRA	0.058
FST	-4.90525
VWCE	-3.621
PAWR	0.32775
ABCC12	0.654333333333333
LDLR	-0.1531
ASTN2	0.4123
LOC441212	-1.177625
GPATCH8	-0.1325
TANC2	0.9165
KIF4A	-0.111
C18orf18	-1.1445
PGM1	-1.85675
KIAA0258	1.51575
CPD	0.397375
SNCAIP	-1.665
DCT	-4.57016666666667
HLA-DOA	2.96190909090909
OR11L1	0.444
UPK1B	-0.421
DNAJB4	0.0265
UGT1A8	-0.49975
HIST1H4L	0.331
PECR	-0.9905
HSPA2	0.506
WFIKKN1	-1.7375
SERP1	1.526875
SYDE2	2.43225
TACR2	0.219
NUP85	0.06325
CD177	-1.134
LGR5	-2.61
PIGG	1.13941666666667
PTHR1	-2.747
RAB5A	0.2922
FLJ13224	0.075
USP9Y	-1.316
C7orf53	-0.757
LRP1B	-0.486
XAF1	1.478
ABCG8	-0.471
ANKDD1A	-0.914833333333333
DAND5	-2.385
SPAG6	0.4425
LINCR	0.799
ZDHHC22	-1.66875
CCDC60	2.146
THOC7	-0.402833333333333
TCTA	1.075
OR8K3	0.152
NY-REN-7	-1.04425
B2M	1.41366666666667
C6orf141	0.172
LPPR4	0.05225
SQLE	-2.279
SEPHS1	0.08775
BTBD14B	0.658714285714286
PLRG1	-0.101
SPG7	-0.7388125
ZNF614	-0.0295
PARD6G	-0.517166666666667
INPP5B	-0.3562
GRPEL2	0.431875
PPID	-0.7191
TRIM56	-0.56675
UBE2J1	0.351875
IL20RA	5.23075
LOC387856	-0.06075
C1orf107	1.69608333333333
UTS2R	0.7575
C19orf22	0.49575
SAFB2	0.308875
KIAA0652	0.258125
KLRG1	-0.6855
MS4A8B	2.08983333333333
FRAG1	-0.35
KIAA1546	0.478
E2F4	-1.0405
CLEC4M	0.561
BTBD14A	-0.51475
KIAA0999	0.6338
GYPA	-3.85683333333333
TAC1	-0.0771
TRAIP	-0.1945
KIAA0232	0.9167
ERCC8	0.352625
GPX4	0.962125
KIAA0368	-0.649
GPR157	-0.8405
CTAGE4	1.881
C9orf30	-1.6735
OR52A1	0.3765
HSP90B3P	0.28
ALG9	-0.6127
BTBD10	0.41425
SDK2	-0.41325
BAIAP3	-0.545
RABGGTB	-0.444875
ANKRD40	-0.306666666666667
KRT74	-0.0045
CALCOCO2	-0.547714285714286
SNCA	-3.7955
TMSL8	-5.6915
C2orf53	0.2485
ESRRB	-0.7135
ARHGAP26	-1.240625
TDRD9	-3.13925
HRAS	0.9145
KLRC4	-2.901
JAGN1	-0.2855
BSDC1	-0.934
RNF43	-0.7258
NDUFAF1	0.07675
PHF12	-0.3205
OR1L3	-0.17575
FOLR2	1.48375
LYZL6	0.171
tcag7.1260	-2.553
WSB1	-2.20283333333333
PROS1	-1.9285
OSTN	-0.016
PSMB8	1.70175
SOCS4	0.56225
DDIT4L	0.0645
MAS1	-0.229
MGC34796	2.26625
CSHL1	-0.374333333333333
TBCCD1	0.295333333333333
ZBTB7C	-0.361
AP2S1	0.223375
P15RS	1.0574
VAT1	-1.8243
SHANK3	0.520833333333333
TUFM	-0.0631666666666666
THEG	-0.49
KRT34	-2.30425
SGSM3	-0.443875
TOMM22	-0.087625
SOCS3	0.574
CPO	1.3195
POP4	0.40475
BHLHB3	0.736
MALL	0.1185
OR1B1	-0.147
PARK2	0.590166666666667
GPR124	-0.709625
LCE1E	-0.1205
RUVBL2	-0.2675
CGRRF1	0.287
ACPL2	0.3825
WNT10B	-2.3415
BAIAP2L2	-2.394
ISCA1	-0.0975
C1orf125	0.346
RPAP1	-1.4255
RAI16	-0.4235
RPL27	-0.870125
NLRP9	0.0185
EPN1	-0.1915
LOC388610	-2.07575
SLC35A1	1.0673
GAL	-2.54375
SLC14A2	0.31825
RDH11	-0.072
FAM138F	-0.1155
AUH	0.38075
FLJ40243	-0.542
C14orf129	0.983
MBD2	0.658833333333333
ABHD14B	0.98425
PIGT	0.85525
ALS2CR4	-0.157
ALAS1	0.7739
FOXO1	0.7205
CRLF3	-1.008125
C20orf107	-0.167
FARS2	0.03375
CCDC28A	1.01475
NPHP3	-1.7575
OR13F1	0.385
TSEN54	-0.10675
DEFB106B	0.338222222222222
OR8B4	0.294
STH	0.6685
ZC3H14	0.3735
CBX2	-0.095
TMEM49	-1.74575
C6orf21	0.6175
FLJ20920	-0.605875
CRTAP	-0.268
DDX50	-0.88575
STYXL1	2.21225
BLVRB	-1.06783333333333
LOC147650	1.161
MMP24	-0.62275
GRID1	0.663333333333333
BANF1	-0.1945
CTAGEP	1.43325
HMBS	-1.9735
SLC25A24	1.10266666666667
C14orf50	1.30575
MRO	0.710333333333333
SLC25A15	-0.22425
FAM84B	1.0299
TDP1	-0.2175
C16orf78	0.738333333333333
C11orf57	-0.31675
RFK	-0.700375
ZFYVE9	-1.151125
STCH	-0.8321
WIBG	0.87425
LOC283871	0.483
GBA2	0.7508
NDUFB3	-0.324
HSD17B13	-0.61525
GRIN3A	1.4205
FMNL1	-1.106
SEPT7	0.053
GNLY	3.9945
GRAMD1C	1.28916666666667
ZNF165	1.15775
USP38	1.25625
FAM83A	-4.08616666666667
C14orf24	0.484666666666667
ARMCX3	0.862875
ARHGDIB	0.829
AK1	-0.3535
KIAA1045	0.0865
DNAJB13	-0.669333333333333
NEU2	0.2745
HIST1H4B	-0.000666666666666658
FAM20B	0.4099
HES2	0.590857142857143
FAM73B	-0.5158
LOC388381	-0.544
INTS7	0.292090909090909
AMPH	0.55175
ZNF775	-0.78475
UCKL1	-0.6265
C10orf97	0.406
C1orf161	-0.39825
ALDH1L1	-1.1415
FLJ39378	-0.93275
SLC23A1	-2.698
RBM4B	-0.496
THAP4	-0.11
OGFRL1	1.4805
KIAA0831	-0.07975
PPP1R15A	-1.45766666666667
C1orf96	1.31642857142857
C12orf11	-1.295
BMF	0.456125
MAN1A1	-0.2685
KIAA1600	0.2105
NLGN4X	2.9345
ALOX12	-1.64766666666667
RB1CC1	0.4462
NEIL2	0.9803
EIF4E	0.401681818181818
ABHD5	0.387
EXOC4	-0.327333333333333
CIP29	0.568833333333333
BATF2	1.19325
SLC29A4	-1.089375
HTR4	0.5715
EMB	0.14225
TRAF6	0.7085
LMNB1	-1.2215
FAM19A5	-2.2475
SHE	0.58975
PIK3C2B	0.6925
C15orf15	-0.2196
USP15	0.5851
TCEAL2	0.92775
C5orf39	-1.5525
PTGER2	-1.35775
SLC31A1	-0.4441875
IFT172	-0.562
ADAM29	0.11625
GFOD1	-1.71675
ST7L	-0.210166666666667
C15orf26	-1.289
PKN3	-1.87825
CNTD1	1.91716666666667
COMMD1	0.57225
NTRK2	2.61791666666667
FOXN3	-0.37275
MFGE8	-1.3972
PFKFB2	1.65216666666667
TAS2R4	-0.7235
ENTHD1	0.909166666666667
PRMT5	0.103125
MGC16384	-1.957375
LOC442229	-0.3755
TSKU	0.429
KRTCAP3	1.106625
PDLIM1	0.0597
KCNS2	0.0365
RNF126	0.0268333333333333
CEP63	-0.08425
CLIC4	-1.813625
hCG_1990170	0.15575
ACR	0.3129
KLK7	1.678
ALOX5AP	2.826375
RIPK3	4.04625
TAS2R9	0.719
C19orf18	0.0575
BIRC6	0.101714285714286
ZNF16	0.2525
RFT1	0.1065
SLC8A2	-0.700666666666667
TACC1	-1.04925
ITGAD	0.1695
SAMHD1	2.19375
SH3PXD2B	0.0418
EPC2	0.08525
C20orf85	2.301875
ATP13A2	0.269833333333333
KRT4	0.277125
CAPNS1	0.30625
MDM2	-0.06825
PCDH20	5.9685
KCNK9	0.5935
OR2C1	-0.179
KLHDC3	0.2785
IPPK	1.3645
EFHD2	0.04375
GALR3	0.9055
NBEA	0.3025
ABCA6	1.2643
CLDN3	0.911833333333333
AKT2	-0.545214285714286
EGFR	-2.5906
RBM16	1.172625
ZDHHC3	1.0591
SLC25A4	0.633333333333333
CYB5B	-1.05883333333333
CPXM1	-0.787
NDRG1	-2.14376923076923
FLJ43826	-0.71575
OR5L2	0.621666666666667
FARP2	0.3792
MRPL46	0.609416666666667
LDHAL6B	0.131833333333333
MAPKAPK3	0.0636666666666667
NCAM2	-3.246
PRKD2	-0.236833333333333
ZFP36L1	0.8478
CYSLTR1	1.165
OR4C3	0.133
HIST1H2AJ	1.531
CCNB2	-0.759222222222222
ZNF10	-0.95325
TMEM175	0.2485
FAM134A	0.146166666666667
TIGD4	-0.1605
PCNP	-0.0955
MGC39715	0.19525
LQK1	-0.70375
CREB1	0.4625
TMPRSS3	0.164
C4orf32	0.994625
LAT	-1.87025
KCNA3	-0.7095
SKIV2L2	0.21
ROPN1B	-1.06675
tcag7.23	-0.418
CDT1	-2.422875
ZHX2	0.23175
CD28	-3.09025
ZNF624	0.31675
SEPT2	0.347083333333333
SOHLH2	-0.131625
MCOLN3	0.55425
UNQ1945	0.3115
MASP2	-1.0065
ZNRF3	0.5791
GPATCH3	-0.95325
AGL	-2.124125
QRICH2	-0.635
PSD4	1.12833333333333
CCNB1IP1	-0.85075
ENPP7	0.00850000000000001
OBFC1	-0.44875
KCNG3	-2.13525
C14orf79	2.11791666666667
ENPEP	2.2675
SCT	0.8345
SKI	1.04225
SEC61G	0.0125
CAPN11	0.257
ATXN7L3	-0.19825
DBNDD1	0.0696666666666667
FAIM	0.975
ANKRD36	-0.8575
GABRP	3.30616666666667
TACSTD2	2.1775
EIF3J	-0.33475
PPP2R2A	0.72675
TEKT4	-0.224166666666667
PVALB	-3.63416666666667
F10	-3.533
FAM134C	0.4023
COMP	3.533
EFCBP1	-2.9074375
SCLT1	1.089375
TAL1	-1.4179
ACSL1	2.049
ABCC5	0.416166666666667
ABL1	-0.503444444444444
RBBP7	0.694666666666667
PTPRG	-0.910625
NCOR1	-2.3662
SPINK4	1.82283333333333
TXNRD1	-0.7438
TNRC15	0.364625
C9orf138	0.77775
UBE2H	0.3335
BRDT	1.225
C8orf31	-0.58225
CCNE2	-0.0327272727272727
SLC6A8	-0.806875
CALCR	-4.3655
PPP1CB	-0.0140833333333333
ABHD8	0.69225
ARF5	-0.1864
SLC24A4	0.147
CCT3	0.51675
ZNF121	1.299875
SLC3A2	-0.5137
OR13A1	0.14
SLC5A10	-0.44025
RAD50	0.444375
IER5	-0.185125
MTHFD1L	-2.123375
MBTPS2	0.4235
MVK	0.758625
NCL	-0.1224
PSMD10	0.21075
MOBP	0.3435
FLJ32894	-0.431
HRH1	-1.44483333333333
C5orf30	1.02175
NUDT16L1	0.9005
RASGRP3	3.23633333333333
PRKRIP1	-0.217
CCDC75	-0.22125
LOC253970	-0.014
KIAA1239	-0.03325
MED21	0.58175
SYT11	0.296833333333333
NTSR2	0.287
EGFL11	1.0625
CXorf59	0.352
OR2A25	-0.1125
SPTBN2	1.785
LRMP	-1.3545
RNF111	0.22725
PTH	0.814
LOC619208	0.489833333333333
KIAA0895	1.356
RANBP5	-0.6005
P2RY10	1.3835
NME5	1.55033333333333
DDX21	-0.606
LRSAM1	-0.3165
HDAC11	1.18066666666667
VMO1	0.96425
NOLA2	0.4835
ADAR	0.744166666666667
MTO1	-0.574
SF4	-0.232
P2RX1	-0.365333333333333
HBM	0.15125
EN2	1.206
C14orf172	1.331
TM9SF2	1.767
INHBE	-1.19366666666667
TCTE3	0.836916666666667
TOX2	-3.1955
CTAGE3	1.637625
HBB	3.0553
MED15	-0.959166666666667
CASR	0.84925
C6orf66	-0.455833333333333
MTPN	-0.77525
UNC50	0.07925
C21orf33	-0.662875
IRF2	0.672
PGR	2.189
GPR84	1.8135
CROCCL1	-3.526
SRPX	-3.167
BRE	0.2705
FGF10	0.50125
SDC3	-0.4835
ZRSR1	0.665333333333333
DKFZP434P211	-0.45425
SOX6	0.715
RPUSD2	-0.273
C14orf173	0.314833333333333
MAPK11	-0.818833333333333
TBC1D22A	-0.112
FAM123A	-0.922
COL4A6	-2.9495
TOMM70A	0.70725
NAB1	-0.268
MGC16385	-0.720625
TSPAN18	-1.37966666666667
MED31	-0.91675
PLG	-0.08725
CAPSL	4.2485
ZNF532	0.7678
ASB14	0.00525
CA8	1.51375
NUDT16P	1.30766666666667
SLFN11	-1.5795
LRRIQ2	1.03275
NOL7	-0.106666666666667
BRMS1L	-0.454375
JARID1A	-0.0393333333333333
PANK2	-0.27825
ICAM3	-0.3525
MDS1	0.67925
TAF8	-0.428
RNF139	-0.15425
ZNF594	-0.805
ADAM8	0.081875
SFTPC	-0.42975
MAN2B2	1.242125
RGS12	0.19725
EIF1AY	-4.79616666666667
LRRIQ1	-1.31383333333333
GPR150	0.8885
CCDC21	-1.23066666666667
PRRG3	-0.04075
SAA4	-3.23625
RAPGEF5	1.7505
ZCCHC2	1.31958333333333
MGC39372	-0.423
PPP4R2	0.510166666666667
CDCA2	0.0648333333333333
OR4D5	0.474833333333333
PTGFRN	2.1854
SIGLEC5	1.07933333333333
C19orf61	-0.312833333333333
NMUR2	-0.471
KIAA1586	-0.4225
DAGLA	0.8715
CHCHD6	0.57025
GPR32	0.029
NEUROD6	0.574333333333333
SLC2A4RG	0.286375
CA5B	0.29675
FBXL3	1.24975
MPHOSPH9	-1.3715
HMG2L1	0.52575
HCN4	0.3215
CEACAM19	0.36525
SH2D4B	-0.0426666666666667
HFE2	-0.351
TGM4	0.390333333333333
LYPD2	0.15675
TBC1D15	0.45625
MRPS21	-0.7855
NONO	-0.2754
CLEC5A	1.747875
ITCH	-0.3235
MGAT3	-1.34633333333333
MBP	-1.2895
RPP25	0.7825
SOSTDC1	-0.07
HRC	-2.06
TRIM48	0.434
TMEM133	-0.182
ECEL1P2	-1.588
HOXC11	0.541
DOK5	-1.55075
HELZ	0.214
LOC348180	-0.70175
MGC33894	-0.224
ADRB3	0.269
DMD	-0.4565
PTRH2	-1.06775
MPEG1	3.097
NDUFA12	0.539166666666667
KRTAP2-4	-0.0845833333333333
STAMBPL1	-1.1675
ADCY2	0.0128333333333333
UNQ6125	0.6455
KLHL20	-0.368666666666667
SRM	-0.5055
OTC	-0.67675
TMIE	0.161666666666667
SNX8	-0.279
LIPK	0.6415
CHURC1	-0.324
KLC2	0.227833333333333
HDAC1	-1.10183333333333
FAM128A	0.161333333333333
FNDC3B	-0.7228
MTCP1	0.042
WFDC10B	-0.0399
PCDHGB3	0.535
ATRNL1	-1.3126
CAV2	-1.554875
MED26	0.234166666666667
DUS1L	1.64525
CHRM3	-1.892875
NEK9	1.78575
WARS2	1.39325
TBX22	-0.3195
TOMM40	-0.0575
RP6-213H19.1	-0.329833333333333
TUBGCP5	-1.23075
IGSF6	5.54725
TPPP	0.361333333333333
UNQ6190	0.942
GSTM5	0.793
BTD	1.00016666666667
PDCD1LG2	0.520666666666667
SNRPB2	0.0918333333333333
ERICH1	-0.687625
APOA4	-1.687125
HOXA11	-2.17425
NARG1	-0.270375
MKX	-0.918
RAB28	0.314714285714286
PKP3	0.82025
SH3GL2	-2.617
CTSO	4.08425
RPN2	1.08525
IL28RA	-0.140833333333333
SFMBT1	0.34675
WDR57	-0.736625
FER1L3	-0.00925
HSF5	0.238166666666667
TTC9B	0.32125
C4BPA	-1.30283333333333
ALB	-4.04171428571429
SORBS3	-0.78325
UPF2	-0.4855
JPH1	-0.6875
AGBL2	-2.273
DOPEY1	1.4525
TERF1	-1.07166666666667
KIF22	-0.195333333333333
NINJ1	0.66475
SEC61A2	-0.17125
HIST1H1D	0.0195
SFXN4	-0.54425
UCP3	0.2616
ZNF703	0.982666666666667
MYL6B	-0.7095
TREM1	1.1545
OR52E6	0.048
CKMT2	-0.061
HLA-C	1.60475
SLC13A3	-2.59033333333333
TIMP4	-1.91425
SLIT2	0.84375
RSF1	-0.236222222222222
LONRF1	-0.397928571428572
MON1A	0.0516666666666667
CACNG6	-2.2115
DPPA4	-5.345
ZSWIM3	0.42925
ZNF804A	0.239833333333333
CCIN	0.86925
SLC25A31	0.5195
KCNMB4	-0.03125
RABL5	0.407625
GALNS	-1.149
STX6	1.540625
HIST1H1C	-0.752333333333333
CIDEB	0.815
CASP4	-0.923333333333333
PDK3	0.7796
KCNJ11	3.27
TPR	-0.416
ZSCAN20	-0.4255
MTX2	0.0275
HIST1H2BH	0.303
LOC283767	-0.67125
LYRM7	-1.03
BRD3	0.358166666666667
HIST1H2BO	-0.1115
MAGEB10	0.5385
SLC45A1	0.605
SERPINA3	3.24055
KIAA0143	0.8405
KCNJ16	0.894833333333333
KRT79	-0.51875
FABP2	-0.312
NUT	-0.71675
ZNF57	0.27575
FBXL4	0.935375
CLEC9A	0.528
UGT8	-1.16216666666667
BMP2K	0.2995
MAPK4	-3.70175
SLC25A23	0.2219
HINT1	0.1319
KRTAP13-1	-0.2145
SFXN5	0.8509
CHCHD2	1.61416666666667
FAM3D	2.88
NDP	-3.62925
RHOBTB1	0.0878333333333334
SLC4A4	-1.69725
RPL38	0.0865
HTF9C	-0.917
AP2A2	-0.25225
ZBTB46	-0.323
MAP7D1	-0.351375
AOX1	-1.5635
CYR61	-0.708916666666667
DTNA	0.689785714285714
JRKL	-0.85075
TMOD3	0.56925
EEA1	1.1329
ADCK5	-1.5545
IL1R1	1.39216666666667
KLK3	0.2485
HRSP12	-0.41075
KTN1	0.342
LOH11CR2A	-0.0939
RELL2	-1.63875
MAB21L1	0.70525
C20orf59	-1.1215
PHKB	0.0945
ADAM2	-2.0785
TBC1D8B	1.43083333333333
FAM13A1	-1.3354375
LAPTM4B	-0.104333333333333
LCN8	-0.147
TMEM147	0.6045
SYT4	0.347166666666667
XPO7	0.348
C9orf62	0.97075
GPR75	0.311
TRIM5	0.170875
APOC1	0.227166666666667
RNASE4	0.587
PARD6B	-0.39925
ARID1A	0.3715
TPD52L3	0.1905
RRAGB	1.8465
RCN2	0.0801666666666667
HIST2H2BE	-0.238
STARD7	0.7045
SHMT2	0.104
KIAA1751	-0.294833333333333
MLYCD	0.4045
LOC162632	-1.3052
UQCRH	-1.30025
RP11-217H1.1	1.069625
SDHA	-0.4755
NCLN	0.00909999999999995
ZNF17	0.3
RCBTB2	-0.7985
VEGFB	-1.1825
RP4-747L4.3	0.289
COLQ	0.2485
MPN2	-1.2845
DRG2	-0.65775
KLRB1	4.952
ALPK2	-4.00075
DNASE2B	1.43075
FLJ23834	0.2785
AXUD1	1.07583333333333
SAFB	0.1818
NSUN4	-0.2165
RFX2	0.288
MAPK8IP1	-0.135333333333333
FANCD2	-0.546571428571429
ANKZF1	-2.3045
C19orf50	-0.720625
DUSP8	0.488125
SENP5	0.669125
NFKBIL2	-0.7565
LBR	0.219625
IGFL1	0.027
LZTS2	-0.587625
IL2RG	-0.19125
CCDC51	0.22325
KLF3	0.8685
ANKRD37	-1.9255
KCTD14	-0.816166666666667
FZR1	0.530666666666667
SLC44A4	4.1549
ESPL1	-0.140375
GMPR2	0.1918
TBC1D19	0.0525
ERGIC1	0.908888888888889
ERBB4	2.7073
TSPAN32	0.282583333333333
MAP4	0.116
GPHN	1.20825
SLC6A2	-0.1935
HIVEP1	0.0765
DFFB	0.39
EIF4EBP2	0.435125
DMRT1	-1.40425
HSPB6	-0.31075
IER2	-0.514333333333333
AIFM1	0.54825
WWC2	-0.452333333333333
MRPL4	0.411
FLJ21062	0.390666666666667
EPB41L4A	0.824333333333333
SH2D6	0.55475
TAF4B	-0.4645
GAL3ST3	-0.5105
MALT1	0.119833333333333
RTDR1	-0.8125
ARVCF	-0.015
MEX3B	-2.74566666666667
FBXO16	1.45375
KIF7	-1.03
C1QC	3.60116666666667
ZNF783	-0.7365
ZNF85	0.04675
MMP13	5.3195
KIAA0329	0.887875
RTP3	-3.0435
ZBED3	-0.822
CLGN	0.205
SLC25A37	-1.01783333333333
hCG_18290	-0.26975
OR5AS1	0.2295
SMARCC2	0.253583333333333
FAM109A	-0.611
CCDC12	-0.2735
USF2	0.5526
DEPDC7	-3.15625
C20orf24	0.656833333333333
JMJD3	1.085
DSP	-0.0536428571428571
SLIC1	0.397
FAM20A	0.560125
IRF2BP2	0.603625
ZNF230	-0.2385
MSN	-1.19071428571429
SLC9A5	-2.0965
EPDR1	-0.2826
MUSK	0.210666666666667
ZNF434	0.105833333333333
SMARCD1	-0.355666666666667
ZFP106	-0.04125
ZNF347	-0.4565
GTF2E1	0.63275
