Hybridization REF	TCGA-A8-A0A2-01A-11R-A034-07
KISS1R	0.7155
NCR2	0.2605
DEFB125	0.3615
UBE2W	1.38875
KRT15	0.291
C10orf99	0.199
SCN11A	-0.07175
GFI1	-1.99475
RDHE2	0.0631666666666667
FHL1	-1.53266666666667
OSGEP	-0.0908333333333333
GATA1	-3.19383333333333
SMC6	-1.17325
TTTY14	-1.082
LPIN3	0.00275
RPL4	-0.2537
RBPMS	1.3216
PRPF3	-0.2705
EMR1	-1.736
SPATA19	0.11475
XCR1	0.1605
IRX3	2.0184
RBM6	0.09475
KLF4	0.4478
UNC5CL	-0.51625
SEBOX	0.182
BTK	-0.1865
KRCC1	1.7215
C6orf27	0.261
SYTL5	-0.7655
PRND	0.638625
LOC653319	-1.679
PIGL	-0.7305
HUS1	-0.34
SFRS6	0.866916666666667
C17orf77	0.2395
UIMC1	-0.134666666666667
FXYD2	-1.929
LOC283152	1.13775
ZNF667	0.88575
ZCCHC12	-0.5865
TFEC	2.761
ATP7B	0.313666666666667
POLD2	-0.837333333333333
RG9MTD1	-0.00675
ACOT2	0.370666666666667
HIST1H4I	-0.89025
PPARGC1A	-2.4331
ETFA	-1.991
POLRMT	-0.2505
ZNF146	0.15875
MIA2	-1.6285
KLHL6	-0.4515
HOXB5	-0.55825
NENF	1.12966666666667
CUGBP1	1.21
PRSS22	1.48366666666667
CASC4	1.7167
CUL4B	-0.0027
CENPJ	-1.7068
PITX1	-0.690833333333333
FLJ31033	-0.063
CELSR3	0.630166666666667
ZNF568	1.3105
ITSN1	-0.546833333333333
EHBP1L1	-1.02116666666667
C19orf2	-0.5295
DCTN1	0.123
LIN28B	-2.92183333333333
TNKS2	-0.236
C1QBP	-0.827
CADPS2	0.877
SRMS	0.104
GJA9	0.2215
MGC24975	-0.8425
TRIM45	0.3985
TSP50	0.47775
TCP1	-0.89775
TMED7	0.5853
CMA1	0.1645
CENPL	-0.953833333333333
PTCRA	-0.0805
FST	-1.46225
VWCE	-3.7585
PAWR	0.367
ABCC12	0.0675
LDLR	0.1116
ASTN2	1.742
LOC441212	-0.623375
GPATCH8	-0.22625
TANC2	0.193
KIF4A	-2.3505
C18orf18	-0.433
PGM1	-1.9585
KIAA0258	-0.50575
CPD	0.12375
SNCAIP	-1.0645
DCT	-4.06983333333333
HLA-DOA	2.75513636363636
OR11L1	0.202
UPK1B	-0.3985
DNAJB4	-0.79325
UGT1A8	-0.3865
HIST1H4L	-1.1555
PECR	-1.57666666666667
HSPA2	1.89075
WFIKKN1	0.4445
SERP1	0.8365
SYDE2	2.47225
TACR2	0.5685
NUP85	-0.5305
CD177	-0.604333333333334
LGR5	-1.72483333333333
PIGG	0.3495
PTHR1	-1.24916666666667
RAB5A	0.0352
FLJ13224	-0.319
USP9Y	-1.23716666666667
C7orf53	-0.0915
LRP1B	-1.07525
XAF1	1.321
ABCG8	-0.406
ANKDD1A	-0.680666666666667
DAND5	-0.8455
SPAG6	5.08766666666667
LINCR	0.34175
ZDHHC22	-1.615
CCDC60	0.165
THOC7	-1.01583333333333
TCTA	1.252
OR8K3	-0.017
NY-REN-7	-0.46025
B2M	1.04083333333333
C6orf141	-1.1285
LPPR4	0.26
SQLE	-1.77725
SEPHS1	-0.23325
BTBD14B	0.337071428571429
PLRG1	-0.11775
SPG7	-0.5115625
ZNF614	0.206
PARD6G	0.678
INPP5B	-0.7555
GRPEL2	-0.303875
PPID	-0.6282
TRIM56	0.0225
UBE2J1	-0.466125
IL20RA	0.65425
LOC387856	-0.00475
C1orf107	0.866
UTS2R	0.794
C19orf22	0.1155
SAFB2	0.250125
KIAA0652	-0.117
KLRG1	-0.267666666666667
MS4A8B	0.480166666666667
FRAG1	0.01975
KIAA1546	1.24575
E2F4	-1.4749
CLEC4M	-0.074
BTBD14A	-1.64675
KIAA0999	0.2049
GYPA	-2.99833333333333
TAC1	0.6724
TRAIP	-1.54933333333333
KIAA0232	1.5575
ERCC8	-0.84075
GPX4	0.4485
KIAA0368	-0.036875
GPR157	-1.30933333333333
CTAGE4	0.2085
C9orf30	-2.01433333333333
OR52A1	0.039
HSP90B3P	-0.332
ALG9	-0.4117
BTBD10	0.315
SDK2	-0.175
BAIAP3	-0.596
RABGGTB	-0.855
ANKRD40	0.381
KRT74	0.064
CALCOCO2	0.399642857142857
SNCA	-2.809
TMSL8	-3.986
C2orf53	0.211
ESRRB	-0.402
ARHGAP26	-0.98525
TDRD9	-2.84375
HRAS	-0.721166666666667
KLRC4	-2.7135
JAGN1	-0.0105
BSDC1	0.89625
RNF43	0.9423
NDUFAF1	0.41575
PHF12	0.24575
OR1L3	0.08525
FOLR2	1.24591666666667
LYZL6	0.209
tcag7.1260	-1.8
WSB1	-0.987666666666667
PROS1	-1.3587
OSTN	0.1985
PSMB8	-0.83325
SOCS4	-0.105375
DDIT4L	0.6545
MAS1	0.0765
MGC34796	1.29825
CSHL1	0.0403333333333333
TBCCD1	0.088
ZBTB7C	-0.0935
AP2S1	-1.107
P15RS	-0.1917
VAT1	-0.5102
SHANK3	0.585666666666667
TUFM	-0.00316666666666667
THEG	-0.4175
KRT34	-2.0495
SGSM3	0.38025
TOMM22	-0.08475
SOCS3	0.4995
CPO	0.3445
POP4	0.441
BHLHB3	1.09975
MALL	0.67
OR1B1	0.406
PARK2	1.19366666666667
GPR124	0.48425
LCE1E	0.0755
RUVBL2	-0.69125
CGRRF1	0.767
ACPL2	0.27025
WNT10B	-1.954
BAIAP2L2	-2.286375
ISCA1	0.2975
C1orf125	0.315
RPAP1	-0.48575
RAI16	0.319
RPL27	-0.673
NLRP9	-0.108
EPN1	0.2405
LOC388610	-0.8955
SLC35A1	1.5184
GAL	-4.37275
SLC14A2	0.05775
RDH11	-0.1515
FAM138F	-0.87
AUH	0.50925
FLJ40243	0.2515
C14orf129	0.0186666666666667
MBD2	-0.470333333333333
ABHD14B	0.449625
PIGT	0.987375
ALS2CR4	-0.855375
ALAS1	0.0534
FOXO1	1.06883333333333
CRLF3	-0.8035
C20orf107	-0.664
FARS2	1.01975
CCDC28A	1.47675
NPHP3	-0.27325
OR13F1	0.0625
TSEN54	-0.63375
DEFB106B	0.1775
OR8B4	0.117
STH	3.49925
ZC3H14	-0.034
CBX2	-0.2925
TMEM49	0.09125
C6orf21	0.132
FLJ20920	1.64225
CRTAP	0.163785714285714
DDX50	-0.05625
STYXL1	0.60475
BLVRB	0.528666666666667
LOC147650	0.1795
MMP24	0.7085
GRID1	1.15916666666667
BANF1	-0.830666666666667
CTAGEP	0.3625
HMBS	-2.3595
SLC25A24	0.679333333333333
C14orf50	0.622
MRO	0.832833333333333
SLC25A15	-1.22375
FAM84B	2.1316
TDP1	-0.841
C16orf78	-0.124
C11orf57	0.18675
RFK	-0.358875
ZFYVE9	-0.553125
STCH	-1.2692
WIBG	0.253
LOC283871	-0.592833333333333
GBA2	-0.1086
NDUFB3	-0.2865
HSD17B13	-0.749
GRIN3A	0.849333333333333
FMNL1	-0.853666666666667
SEPT7	-0.1291
GNLY	3.4285
GRAMD1C	0.595666666666667
ZNF165	1.86575
USP38	0.84175
FAM83A	-3.45433333333333
C14orf24	1.12233333333333
ARMCX3	0.9145
ARHGDIB	1.79333333333333
AK1	-0.446
KIAA1045	-0.07
DNAJB13	-0.3505
NEU2	0.0325
HIST1H4B	-1.4785
FAM20B	-0.0483
HES2	-0.735357142857143
FAM73B	-0.4277
LOC388381	-0.2515
INTS7	-0.460454545454546
AMPH	1.30525
ZNF775	-0.317625
UCKL1	-0.700833333333333
C10orf97	0.23475
C1orf161	0.0985
ALDH1L1	-2.05125
FLJ39378	-0.19975
SLC23A1	-2.381
RBM4B	-0.26275
THAP4	-0.166666666666667
OGFRL1	0.56325
KIAA0831	0.9135
PPP1R15A	-1.23016666666667
C1orf96	-0.577642857142857
C12orf11	-2.27725
BMF	1.310125
MAN1A1	0.5155
KIAA1600	1.25666666666667
NLGN4X	-0.5975
ALOX12	-1.02866666666667
RB1CC1	1.0916
NEIL2	0.7917
EIF4E	0.123863636363636
ABHD5	-0.0915
EXOC4	-0.6665
CIP29	0.4
BATF2	-0.2315
SLC29A4	-1.31875
HTR4	0.41775
EMB	-1.1235
TRAF6	0.641
LMNB1	-1.6985
FAM19A5	-1.09325
SHE	1.4435
PIK3C2B	0.812
C15orf15	-0.4504
USP15	0.2761
TCEAL2	0.7935
C5orf39	-0.5985
PTGER2	2.64625
SLC31A1	-1.2324375
IFT172	0.11075
ADAM29	0.2435
GFOD1	-0.2795
ST7L	0.518666666666667
C15orf26	-2.78075
PKN3	-1.28575
CNTD1	3.5105
COMMD1	-0.0025
NTRK2	1.87425
FOXN3	0.60825
MFGE8	-1.2559
PFKFB2	0.416333333333333
TAS2R4	-0.1755
ENTHD1	-0.228166666666667
PRMT5	-0.48825
MGC16384	-0.4575
LOC442229	-0.8025
TSKU	-0.484625
KRTCAP3	1.736875
PDLIM1	0.5928
KCNS2	0.1775
RNF126	-0.656666666666667
CEP63	0.403375
CLIC4	-0.548375
hCG_1990170	-0.37025
ACR	0.1356
KLK7	0.24275
ALOX5AP	3.488625
RIPK3	4.06475
TAS2R9	-0.001
C19orf18	2.0105
BIRC6	0.252357142857143
ZNF16	1.61
RFT1	-0.617
SLC8A2	-0.41
TACC1	-0.07625
ITGAD	0.37975
SAMHD1	0.70325
SH3PXD2B	0.7734
EPC2	0.8505
C20orf85	0.174375
ATP13A2	-0.00166666666666667
KRT4	0.337125
CAPNS1	-0.09625
MDM2	-0.0195
PCDH20	1.99925
KCNK9	0.445
OR2C1	0.042
KLHDC3	-0.774
IPPK	0.68
EFHD2	-0.87725
GALR3	0.75675
NBEA	0.872666666666667
ABCA6	2.3988
CLDN3	1.61733333333333
AKT2	-0.189
EGFR	-2.5923
RBM16	0.4765
ZDHHC3	0.437
SLC25A4	0.615
CYB5B	-1.7295
CPXM1	-0.215
NDRG1	-0.460153846153846
FLJ43826	0.06675
OR5L2	0.285
FARP2	0.3372
MRPL46	-0.34575
LDHAL6B	0.2095
MAPKAPK3	-0.268166666666667
NCAM2	-1.38325
PRKD2	0.0413333333333333
ZFP36L1	1.2771
CYSLTR1	1.16
OR4C3	0.233
HIST1H2AJ	1.441
CCNB2	-2.97377777777778
ZNF10	-0.08025
TMEM175	0.552
FAM134A	1.0385
TIGD4	0.047
PCNP	-0.082
MGC39715	-0.247
LQK1	-2.61175
CREB1	0.3616
TMPRSS3	1.38525
C4orf32	1.6755
LAT	-1.44325
KCNA3	0.409
SKIV2L2	-0.51375
ROPN1B	-3.406
tcag7.23	-0.926
CDT1	-3.5085
ZHX2	1.620625
CD28	-3.26275
ZNF624	0.79925
SEPT2	0.41575
SOHLH2	-2.237875
MCOLN3	-0.7055
UNQ1945	0.2545
MASP2	-1.1265
ZNRF3	0.6804
GPATCH3	-0.27725
AGL	0.105125
QRICH2	-0.1345
PSD4	1.382
CCNB1IP1	-1.72675
ENPP7	-0.10925
OBFC1	0.23625
KCNG3	-2.14175
C14orf79	1.30158333333333
ENPEP	0.499833333333333
SCT	1.3445
SKI	0.55825
SEC61G	-0.9435
CAPN11	0.19275
ATXN7L3	-0.116
DBNDD1	-0.819666666666667
FAIM	0.1215
ANKRD36	-0.253
GABRP	1.31433333333333
TACSTD2	1.91316666666667
EIF3J	-0.2635
PPP2R2A	0.7545
TEKT4	-0.277833333333333
PVALB	0.8865
F10	-3.00233333333333
FAM134C	0.8998
COMP	4.54425
EFCBP1	-2.4095625
SCLT1	0.4785
TAL1	-1.1703
ACSL1	-0.143
ABCC5	1.31966666666667
ABL1	-0.498388888888889
RBBP7	0.180083333333333
PTPRG	1.900375
NCOR1	-0.9298
SPINK4	-1.73783333333333
TXNRD1	-0.8933
TNRC15	1.506625
C9orf138	1.297375
UBE2H	0.464833333333333
BRDT	0.817833333333333
C8orf31	-0.4525
CCNE2	-1.71818181818182
SLC6A8	-1.7515
CALCR	-2.338
PPP1CB	0.313916666666667
ABHD8	0.22125
ARF5	0.5111
SLC24A4	0.1295
CCT3	-0.06875
ZNF121	0.491375
SLC3A2	-0.7066
OR13A1	0.0745
SLC5A10	0.30525
RAD50	0.375
IER5	0.00200000000000002
MTHFD1L	-2.55025
MBTPS2	0.33575
MVK	-0.737875
NCL	-0.3697
PSMD10	-0.78475
MOBP	0.30025
FLJ32894	0.0985
HRH1	-1.40033333333333
C5orf30	1.991
NUDT16L1	0.5064
RASGRP3	3.10883333333333
PRKRIP1	0.039
CCDC75	0.06875
LOC253970	0.16475
KIAA1239	0.01125
MED21	-0.44525
SYT11	0.580416666666667
NTSR2	-0.8115
EGFL11	-0.191
CXorf59	-0.179
OR2A25	0.46175
SPTBN2	-1.44875
LRMP	-0.872666666666667
RNF111	0.55675
PTH	0.0255
LOC619208	0.324666666666667
KIAA0895	1.142
RANBP5	-1.204875
P2RY10	0.7665
NME5	3.707
DDX21	-1.10675
LRSAM1	-0.2085
HDAC11	1.4945
VMO1	2.18475
NOLA2	0.1415
ADAR	0.649
MTO1	-0.450333333333333
SF4	0.3065
P2RX1	0.496333333333333
HBM	-0.193
EN2	0.915
C14orf172	-0.12975
TM9SF2	0.2299
INHBE	-1.46683333333333
TCTE3	-0.186666666666667
TOX2	-3.0725
CTAGE3	0.64125
HBB	3.0876
MED15	-0.714666666666667
CASR	0.05025
C6orf66	-1.3725
MTPN	-0.915625
UNC50	-0.17625
C21orf33	-0.529375
IRF2	0.914
PGR	2.91866666666667
GPR84	1.93175
CROCCL1	-1.2355
SRPX	-1.92225
BRE	0.155
FGF10	0.7675
SDC3	1.0645
ZRSR1	0.339166666666667
DKFZP434P211	0.359125
SOX6	-0.568
RPUSD2	0.1
C14orf173	-0.233833333333333
MAPK11	-0.766166666666667
TBC1D22A	-0.6165
FAM123A	-0.768
COL4A6	-2.85183333333333
TOMM70A	0.24375
NAB1	-0.992875
MGC16385	-0.718375
TSPAN18	0.142833333333333
MED31	-0.25275
PLG	-0.322
CAPSL	1.347
ZNF532	0.745
ASB14	0.0365
CA8	-0.45225
NUDT16P	0.0466666666666667
SLFN11	-0.9675
LRRIQ2	0.135875
NOL7	-0.299
BRMS1L	-0.726375
JARID1A	0.5505
PANK2	-0.77175
ICAM3	-0.3465
MDS1	-0.69125
TAF8	-0.51275
RNF139	0.77125
ZNF594	0.3645
ADAM8	0.412125
SFTPC	-0.483
MAN2B2	1.09625
RGS12	0.652875
EIF1AY	-4.90275
LRRIQ1	-1.04583333333333
GPR150	1.01375
CCDC21	-1.4625
PRRG3	0.17825
SAA4	-4.059
RAPGEF5	1.97775
ZCCHC2	0.10975
MGC39372	0.199
PPP4R2	0.0621666666666666
CDCA2	-1.91583333333333
OR4D5	0.279166666666667
PTGFRN	0.7877
SIGLEC5	1.79716666666667
C19orf61	-0.599833333333333
NMUR2	-0.15
KIAA1586	-1.10433333333333
DAGLA	-0.330333333333333
CHCHD6	-0.8795
GPR32	0.3145
NEUROD6	-0.0831666666666667
SLC2A4RG	-0.133
CA5B	0.05525
FBXL3	1.5555
MPHOSPH9	-1.38
HMG2L1	0.638
HCN4	0.592
CEACAM19	-0.14875
SH2D4B	0.238333333333333
HFE2	-0.6445
TGM4	-0.142833333333333
LYPD2	0.62525
TBC1D15	0.409
MRPS21	-0.8147
NONO	-0.9893
CLEC5A	2.217875
ITCH	0.0937
MGAT3	-1.08066666666667
MBP	-0.380375
RPP25	0.3795
SOSTDC1	-0.9985
HRC	-1.5445
TRIM48	0.379
TMEM133	0.2305
ECEL1P2	-1.00875
HOXC11	1.174
DOK5	-0.49775
HELZ	0.843166666666667
LOC348180	-0.97825
MGC33894	-0.064
ADRB3	-0.022
DMD	-0.273083333333333
PTRH2	-0.6875
MPEG1	2.7845
NDUFA12	0.100833333333333
KRTAP2-4	-0.0316666666666667
STAMBPL1	-1.5575
ADCY2	0.670166666666667
UNQ6125	0.4785
KLHL20	0.794333333333333
SRM	-1.45925
OTC	-0.27725
TMIE	0.024
SNX8	-0.28025
LIPK	0.4335
CHURC1	0.891
KLC2	0.054
HDAC1	-0.184833333333333
FAM128A	0.870166666666667
FNDC3B	-0.8381
MTCP1	-0.503
WFDC10B	0.00529999999999998
PCDHGB3	0.0005
ATRNL1	0.7438
CAV2	-1.239875
MED26	0.214
DUS1L	0.0295
CHRM3	-1.056375
NEK9	1.119
WARS2	0.5025
TBX22	-0.402
TOMM40	-1.30525
RP6-213H19.1	-0.8535
TUBGCP5	-0.13425
IGSF6	4.8725
TPPP	0.374
UNQ6190	0.4445
GSTM5	1.03325
BTD	1.26666666666667
PDCD1LG2	0.430333333333333
SNRPB2	-0.703166666666667
ERICH1	0.0695
APOA4	-1.558375
HOXA11	-1.37025
NARG1	-0.04675
MKX	2.06625
RAB28	-0.120642857142857
PKP3	0.4695
SH3GL2	-2.848
CTSO	2.395
RPN2	-0.091625
IL28RA	0.0213333333333333
SFMBT1	0.5
WDR57	-1.268
FER1L3	1.43533333333333
HSF5	0.128166666666667
TTC9B	0.286
C4BPA	-3.83166666666667
ALB	-3.56178571428571
SORBS3	0.434
UPF2	-0.1045
JPH1	0.524
AGBL2	-0.000750000000000001
DOPEY1	1.778
TERF1	0.0504166666666667
KIF22	-0.989166666666667
NINJ1	1.519
SEC61A2	-0.6145
HIST1H1D	-3.02383333333333
SFXN4	-0.1875
UCP3	0.3823
ZNF703	1.45966666666667
MYL6B	-0.44125
TREM1	1.75975
OR52E6	0.1885
CKMT2	0.42925
HLA-C	1.57975
SLC13A3	-2.30183333333333
TIMP4	-2.57075
SLIT2	1.75
RSF1	0.0147777777777778
LONRF1	-0.631285714285714
MON1A	-0.247833333333333
CACNG6	-1.4885
DPPA4	-5.06366666666667
ZSWIM3	-0.277
ZNF804A	0.508333333333333
CCIN	1.045
SLC25A31	0.1275
KCNMB4	-0.23825
RABL5	0.817375
GALNS	-0.5099
STX6	1.458625
HIST1H1C	-3.64966666666667
CIDEB	-0.328375
CASP4	-0.175166666666667
PDK3	-0.1018
KCNJ11	1.9025
TPR	0.3115
ZSCAN20	0.107
MTX2	-0.0435
HIST1H2BH	-0.78975
LOC283767	-0.08875
LYRM7	-1.03822222222222
BRD3	0.629333333333333
HIST1H2BO	-0.74
MAGEB10	0.495
SLC45A1	0.1875
SERPINA3	3.16945
KIAA0143	1.26075
KCNJ16	0.756666666666667
KRT79	-0.25125
FABP2	-0.84125
NUT	-0.143
ZNF57	-0.02475
FBXL4	0.912
CLEC9A	2.67
UGT8	-1.2565
BMP2K	0.267
MAPK4	-3.66775
SLC25A23	-0.0412
HINT1	-0.2644
KRTAP13-1	0.4175
SFXN5	0.0468
CHCHD2	0.1545
FAM3D	0.6365
NDP	-3.511
RHOBTB1	0.8355
SLC4A4	-1.438375
RPL38	-0.341
HTF9C	-0.0703333333333333
AP2A2	0.597125
ZBTB46	-0.285
MAP7D1	0.275625
AOX1	-2.074
CYR61	0.238833333333333
DTNA	-0.907071428571429
JRKL	-1.017
TMOD3	-0.218
EEA1	0.2349
ADCK5	-0.06525
IL1R1	3.19166666666667
KLK3	0.497785714285714
HRSP12	0.227
KTN1	0.9355
LOH11CR2A	0.854
RELL2	-1.85625
MAB21L1	2.342
C20orf59	-1.472
PHKB	-0.08825
ADAM2	-1.656
TBC1D8B	0.826
FAM13A1	-1.1184375
LAPTM4B	-1.75325
LCN8	0.016
TMEM147	0.3865
SYT4	0.0436666666666667
XPO7	-0.2805
C9orf62	0.9535
GPR75	-0.236
TRIM5	-0.225
APOC1	0.0686666666666667
RNASE4	2.03766666666667
PARD6B	-0.3295
ARID1A	0.663916666666667
TPD52L3	0.1372
RRAGB	1.488
RCN2	-0.660333333333333
HIST2H2BE	0.2895
STARD7	0.19575
SHMT2	-1.99775
KIAA1751	0.928
MLYCD	0.11425
LOC162632	-0.4577
UQCRH	-1.79875
RP11-217H1.1	0.4046875
SDHA	-0.969
NCLN	-0.2531
ZNF17	1.484
RCBTB2	-1.55025
VEGFB	-0.7918
RP4-747L4.3	0.0935
COLQ	0.5549
MPN2	-0.5735
DRG2	-0.86225
KLRB1	3.7705
ALPK2	-1.869
DNASE2B	0.54975
FLJ23834	0.0461666666666667
AXUD1	1.05016666666667
SAFB	0.0129
NSUN4	-0.225
RFX2	0.346833333333333
MAPK8IP1	0.120333333333333
FANCD2	-1.52078571428571
ANKZF1	-0.975
C19orf50	-0.74125
DUSP8	1.82225
SENP5	-0.111375
NFKBIL2	-0.7025
LBR	-1.9125
IGFL1	-0.2625
LZTS2	0.197375
IL2RG	-0.630875
CCDC51	-0.1225
KLF3	0.5145
ANKRD37	-1.6
KCTD14	-2.101
FZR1	0.223666666666667
SLC44A4	4.018
ESPL1	-1.285375
GMPR2	0.4291
TBC1D19	-0.1525
ERGIC1	0.953
ERBB4	5.199
TSPAN32	0.302833333333333
MAP4	0.121125
GPHN	-1.069
SLC6A2	-0.2345
HIVEP1	-0.34925
DFFB	-0.1446
EIF4EBP2	0.368625
DMRT1	-0.458
HSPB6	-0.32825
IER2	0.0288333333333333
AIFM1	-0.2165
WWC2	-0.7085
MRPL4	-0.7645
FLJ21062	1.66966666666667
EPB41L4A	1.92608333333333
SH2D6	0.1125
TAF4B	-1.0705
GAL3ST3	-0.638
MALT1	-1.1185
RTDR1	-0.3745
ARVCF	0.02025
MEX3B	-1.129
FBXO16	0.78425
KIF7	-1.705
C1QC	3.85616666666667
ZNF783	-0.876666666666667
ZNF85	0.1995
MMP13	3.311
KIAA0329	0.842375
RTP3	-0.899
ZBED3	0.447
CLGN	2.0495
SLC25A37	-1.17954166666667
hCG_18290	0.0165
OR5AS1	-0.0415
SMARCC2	0.653166666666667
FAM109A	-0.205333333333333
CCDC12	0.1095
USF2	0.4829
DEPDC7	-1.87875
C20orf24	-0.694
JMJD3	0.3785
DSP	1.08814285714286
SLIC1	0.2255
FAM20A	0.4465
IRF2BP2	1.247125
ZNF230	0.25
MSN	-0.862571428571429
SLC9A5	-1.9745
EPDR1	-2.2034
MUSK	0.179333333333333
ZNF434	-0.0991666666666666
SMARCD1	-0.6405
ZFP106	0.36525
ZNF347	0.5641
GTF2E1	0.8675
