Hybridization REF	TCGA-BH-A0HY-01A-11R-A056-07
GPHB5	0.84425
OR4C13	0.182
EIF3EIP	0.913571428571429
HABP4	-0.728
TMEM125	4.3595
CNTN2	0.8245
ASNSD1	-0.9365
FUT4	-0.38175
ACF	-3.3925
LOC158381	-0.711
CDH8	-0.397
AGPS	-0.210833333333333
C4orf18	2.920875
PECI	0.0704166666666667
UNG	-0.797375
GSTP1	-2.412625
DCUN1D5	-1.3505
DKFZP564J0863	1.2595
SLC9A3R1	2.5525
BCDO2	-0.698375
CHMP7	-0.389875
REM2	1.364
DNHD1	0.25725
FKBP4	-0.363375
ZNF350	3.49975
MGC11102	0.378375
BST1	0.89575
KISS1R	1.347
NCR2	-0.0015
DEFB125	0.058
UBE2W	0.789375
KRT15	0.573875
C10orf99	0.6545
SCN11A	-0.298
GFI1	-3.12175
RDHE2	5.26233333333333
FHL1	-0.747166666666667
OSGEP	-0.3535
GATA1	-3.166
SMC6	-1.47975
TTTY14	-0.697
LPIN3	-0.357
RPL4	-0.7098
RBPMS	0.3804
PRPF3	-0.0886666666666667
EMR1	-1.953
SPATA19	-0.0425
XCR1	0.2605
IRX3	2.3854
RBM6	-1.06825
KLF4	-0.2742
UNC5CL	-1.183
SEBOX	0.36
BTK	-1.11275
KRCC1	-0.613
C6orf27	1.276
SYTL5	-0.7935
PRND	2.92875
LOC653319	-1.1875
PIGL	-1.331625
HUS1	-0.565166666666667
SFRS6	-0.11525
C17orf77	-0.0215
UIMC1	-0.342166666666667
FXYD2	-1.6361
LOC283152	-0.7245
ZNF667	-0.93625
ZCCHC12	-0.928
TFEC	1.1123
ATP7B	1.71383333333333
POLD2	-0.375666666666667
RG9MTD1	0.12075
ACOT2	0.190833333333333
HIST1H4I	-0.378
PPARGC1A	-1.3528
ETFA	-0.9175
POLRMT	-0.11225
ZNF146	0.279125
MIA2	-1.2245
KLHL6	-1.65483333333333
HOXB5	-0.50475
NENF	0.837333333333333
CUGBP1	0.49275
PRSS22	2.02183333333333
CASC4	0.4014
CUL4B	-0.9144
CENPJ	-1.1997
PITX1	1.49716666666667
FLJ31033	0.237833333333333
CELSR3	0.590833333333333
ZNF568	0.0475
ITSN1	-0.607416666666667
EHBP1L1	0.146833333333333
C19orf2	-0.9425
DCTN1	0.4135
LIN28B	-3.81866666666667
TNKS2	-0.51875
C1QBP	-1.364125
CADPS2	2.53475
SRMS	0.6985
GJA9	0.702666666666667
MGC24975	-0.88
TRIM45	-0.804833333333333
TSP50	-0.24425
TCP1	-1.81075
TMED7	0.1083
CMA1	0.0495
CENPL	0.354666666666667
PTCRA	0.0345
FST	-2.8125
VWCE	-3.401
PAWR	0.44375
ABCC12	3.4
LDLR	-1.5227
ASTN2	2.544
LOC441212	-1.198875
GPATCH8	-0.42975
TANC2	1.2545
KIF4A	-1.4365
C18orf18	-2.369
PGM1	-0.8185
KIAA0258	2.2095
CPD	-1.5135
SNCAIP	-1.61125
DCT	-3.83716666666667
HLA-DOA	2.632
OR11L1	1.23
UPK1B	-0.742333333333333
DNAJB4	-0.7725
UGT1A8	-0.81825
HIST1H4L	-1.24
PECR	-2.32366666666667
HSPA2	1.46675
WFIKKN1	-0.5835
SERP1	1.67825
SYDE2	3.1095
TACR2	1.5295
NUP85	0.04525
CD177	-0.8595
LGR5	-1.9365
PIGG	0.0988333333333333
PTHR1	-0.793
RAB5A	1.0302
FLJ13224	-0.736
USP9Y	-1.66333333333333
C7orf53	-0.8155
LRP1B	3.41075
XAF1	1.4089
ABCG8	-0.581
ANKDD1A	-0.932833333333333
DAND5	-2.165
SPAG6	-0.252166666666667
LINCR	-0.655
ZDHHC22	-1.818125
CCDC60	-0.135
THOC7	-1.8685
TCTA	0.9278
OR8K3	0.5135
NY-REN-7	-1.32475
B2M	0.835
C6orf141	-2.846125
LPPR4	1.55475
SQLE	0.72975
SEPHS1	0.4885
BTBD14B	1.03514285714286
PLRG1	-0.9945
SPG7	-0.0993125
ZNF614	1.16116666666667
PARD6G	1.64533333333333
INPP5B	-0.8135
GRPEL2	-0.902625
PPID	-0.8514
TRIM56	-0.04975
UBE2J1	-0.214125
IL20RA	1.23775
LOC387856	0.0915
C1orf107	0.2925
UTS2R	1.48275
C19orf22	0.3635
SAFB2	0.10775
KIAA0652	0.147
KLRG1	-0.780833333333333
MS4A8B	0.0186666666666667
FRAG1	-0.09075
KIAA1546	0.6595
E2F4	-0.9376
CLEC4M	-0.0486666666666667
BTBD14A	-0.2085
KIAA0999	0.4801
GYPA	-4.30933333333333
TAC1	0.909
TRAIP	-0.979666666666667
KIAA0232	0.5074
ERCC8	-1.42475
GPX4	0.46675
KIAA0368	0.592125
GPR157	0.537666666666667
CTAGE4	1.8365
C9orf30	-0.850333333333333
OR52A1	-0.00749999999999998
HSP90B3P	-0.5175
ALG9	-0.9857
BTBD10	0.2655
SDK2	0.3505
BAIAP3	-1.381
RABGGTB	-2.1505
ANKRD40	0.72
KRT74	0.381
CALCOCO2	0.429357142857143
SNCA	-3.189
TMSL8	-1.699125
C2orf53	0.312
ESRRB	-0.171
ARHGAP26	-1.9465
TDRD9	-2.5745
HRAS	0.4825
KLRC4	-3.112
JAGN1	-0.0333333333333333
BSDC1	0.368
RNF43	0.9493
NDUFAF1	-0.68575
PHF12	1.13375
OR1L3	-0.56325
FOLR2	1.77266666666667
LYZL6	0.253833333333333
tcag7.1260	-2.1275
WSB1	-1.6885
PROS1	-1.1719
OSTN	0.81
PSMB8	-0.19225
SOCS4	-0.3475
DDIT4L	0.53375
MAS1	0.397
MGC34796	0.6985
CSHL1	0.148
TBCCD1	0.225666666666667
ZBTB7C	0.9535
AP2S1	-0.102375
P15RS	-0.1333
VAT1	-0.0853
SHANK3	1.2665
TUFM	-0.138666666666667
THEG	-0.6175
KRT34	-2.10225
SGSM3	1.0485
TOMM22	0.3235
SOCS3	1.316
CPO	-0.3155
POP4	0.32125
BHLHB3	0.16175
MALL	0.39075
OR1B1	0.73
PARK2	0.179166666666667
GPR124	0.912625
LCE1E	0.0475
RUVBL2	-0.225
CGRRF1	-0.4535
ACPL2	0.54225
WNT10B	0.626625
BAIAP2L2	-1.697375
ISCA1	1.026
C1orf125	0.718875
RPAP1	-0.8825
RAI16	-0.6195
RPL27	-0.904
NLRP9	-0.909
EPN1	1.0825
LOC388610	-2.64775
SLC35A1	1.0412
GAL	-3.6425
SLC14A2	0.643
RDH11	-1.13033333333333
FAM138F	0.367
AUH	-0.02075
FLJ40243	0.162
C14orf129	0.8975
MBD2	-0.212333333333333
ABHD14B	-0.079
PIGT	0.867125
ALS2CR4	-0.326125
ALAS1	0.234
FOXO1	0.402166666666667
CRLF3	-0.34975
C20orf107	-0.1665
FARS2	0.5265
CCDC28A	-1.10525
NPHP3	-1.1565
OR13F1	0.677
TSEN54	0.64975
DEFB106B	0.4677
OR8B4	0.3085
STH	-2.548
ZC3H14	-0.331125
CBX2	0.1935
TMEM49	-0.2155
C6orf21	0.534
FLJ20920	0.76575
CRTAP	-0.839142857142857
DDX50	-0.39725
STYXL1	0.335
BLVRB	0.609333333333333
LOC147650	0.3175
MMP24	0.31225
GRID1	0.9245
BANF1	-0.129833333333333
CTAGEP	0.4635
HMBS	-2.0805
SLC25A24	-0.0783333333333334
C14orf50	-0.6105
MRO	1.15716666666667
SLC25A15	-0.19
FAM84B	2.0167
TDP1	-1.0665
C16orf78	-0.358333333333333
C11orf57	-0.555875
RFK	-0.69975
ZFYVE9	-2.538625
STCH	-1.546
WIBG	0.1795
LOC283871	0.032
GBA2	0.3239
NDUFB3	-0.53125
HSD17B13	-0.793
GRIN3A	0.0946666666666667
FMNL1	-1.57933333333333
SEPT7	-0.4389
GNLY	2.6915
GRAMD1C	1.07383333333333
ZNF165	-0.384
USP38	-0.13875
FAM83A	-1.8445
C14orf24	0.839
ARMCX3	0.7065
ARHGDIB	0.263833333333333
AK1	1.05625
KIAA1045	0.21475
DNAJB13	0.0143333333333333
NEU2	1.0875
HIST1H4B	-1.431
FAM20B	0.2292
HES2	2.07835714285714
FAM73B	0.6255
LOC388381	0.044
INTS7	-0.112363636363636
AMPH	2.194
ZNF775	0.571875
UCKL1	-0.0516666666666667
C10orf97	0.47025
C1orf161	-0.6535
ALDH1L1	-0.46275
FLJ39378	-0.51025
SLC23A1	-2.1435
RBM4B	0.18025
THAP4	0.471666666666667
OGFRL1	-0.3435
KIAA0831	-0.57825
PPP1R15A	0.335833333333333
C1orf96	-0.2745
C12orf11	-1.834
BMF	1.3445
MAN1A1	-1.192
KIAA1600	-0.2555
NLGN4X	-0.0615
ALOX12	-1.42133333333333
RB1CC1	-0.1661
NEIL2	0.0744
EIF4E	0.329818181818182
ABHD5	-0.51525
EXOC4	-0.351166666666667
CIP29	0.441333333333333
BATF2	-0.507
SLC29A4	1.1595
HTR4	0.48825
EMB	-1.18725
TRAF6	0.31225
LMNB1	-1.55225
FAM19A5	-0.040875
SHE	1.23
PIK3C2B	1.7905
C15orf15	-1.3983
USP15	0.3596
TCEAL2	0.68225
C5orf39	-1.334
PTGER2	-0.93925
SLC31A1	0.2336875
IFT172	0.4615
ADAM29	0.394
GFOD1	-0.50875
ST7L	0.087
C15orf26	-2.92475
PKN3	-0.18875
CNTD1	1.36816666666667
COMMD1	0.25225
NTRK2	2.24191666666667
FOXN3	0.07575
MFGE8	-0.7183
PFKFB2	0.351
TAS2R4	-0.208
ENTHD1	0.249166666666667
PRMT5	-0.7655
MGC16384	-1.57075
LOC442229	0.20275
TSKU	0.778375
KRTCAP3	2.792125
PDLIM1	-0.0773
KCNS2	0.5155
RNF126	-0.374333333333333
CEP63	0.794375
CLIC4	-0.611625
hCG_1990170	-1.14225
ACR	0.7242
KLK7	0.28025
ALOX5AP	2.262125
RIPK3	4.00175
TAS2R9	0.3985
C19orf18	3.4125
BIRC6	-0.0535714285714286
ZNF16	0.952
RFT1	-0.41375
SLC8A2	-0.49175
TACC1	1.231125
ITGAD	-0.0795000000000001
SAMHD1	-0.311
SH3PXD2B	1.7054
EPC2	0.773
C20orf85	0.174125
ATP13A2	0.636166666666667
KRT4	0.714375
CAPNS1	0.19075
MDM2	-0.710833333333333
PCDH20	4.0585
KCNK9	0.8305
OR2C1	0.1235
KLHDC3	0.679166666666667
IPPK	0.9185
EFHD2	-0.00987500000000001
GALR3	1.145
NBEA	1.30483333333333
ABCA6	1.7684
CLDN3	0.9775
AKT2	-0.295357142857143
EGFR	-2.0739
RBM16	-0.06075
ZDHHC3	0.6764
SLC25A4	-0.904
CYB5B	-0.643666666666667
CPXM1	0.7515
NDRG1	-1.46038461538462
FLJ43826	1.15725
OR5L2	-0.273166666666667
FARP2	0.7689
MRPL46	-0.771166666666667
LDHAL6B	0.498666666666667
MAPKAPK3	-0.338
NCAM2	1.35875
PRKD2	0.745166666666667
ZFP36L1	2.4338
CYSLTR1	-1.996
OR4C3	0.1835
HIST1H2AJ	0.616
CCNB2	-1.86488888888889
ZNF10	-0.40925
TMEM175	0.636
FAM134A	0.967
TIGD4	-0.466
PCNP	-0.2265
MGC39715	0.15925
LQK1	-0.58975
CREB1	0.6984
TMPRSS3	-2.48175
C4orf32	1.448625
LAT	-2.15616666666667
KCNA3	0.609
SKIV2L2	-1.53525
ROPN1B	-1.26925
tcag7.23	-0.4415
CDT1	-1.989375
ZHX2	1.50825
CD28	-4.588
ZNF624	1.3105
SEPT2	0.263666666666667
SOHLH2	-1.025625
MCOLN3	-1.28925
UNQ1945	1.0275
MASP2	-0.8015
ZNRF3	-0.925
GPATCH3	-0.02725
AGL	1.221125
QRICH2	-1.4265
PSD4	1.18816666666667
CCNB1IP1	-1.53175
ENPP7	-0.29575
OBFC1	-0.754
KCNG3	-2.5355
C14orf79	1.50275
ENPEP	1.71
SCT	3.288
SKI	0.88275
SEC61G	-0.73475
CAPN11	-0.2955
ATXN7L3	-0.14925
DBNDD1	1.04116666666667
FAIM	0.261
ANKRD36	-1.499
GABRP	-0.866833333333333
TACSTD2	1.28416666666667
EIF3J	-1.383
PPP2R2A	-0.64975
TEKT4	-0.226666666666667
PVALB	-3.42466666666667
F10	-2.464
FAM134C	0.8194
COMP	5.12375
EFCBP1	-2.832
SCLT1	-0.603
TAL1	-0.8303
ACSL1	1.35875
ABCC5	0.477166666666667
ABL1	0.3735
RBBP7	-0.436083333333333
PTPRG	-1.405875
NCOR1	0.2314
SPINK4	-1.89816666666667
TXNRD1	-1.1255
TNRC15	0.146875
C9orf138	0.3825
UBE2H	0.1875
BRDT	0.437333333333333
C8orf31	0.66525
CCNE2	0.601909090909091
SLC6A8	-1.46975
CALCR	-3.67175
PPP1CB	0.710333333333333
ABHD8	0.2935
ARF5	0.7343
SLC24A4	0.62775
CCT3	0.2185
ZNF121	-0.390875
SLC3A2	-0.5494
OR13A1	0.695
SLC5A10	-0.106
RAD50	-0.534875
IER5	0.394125
MTHFD1L	-2.259375
MBTPS2	-0.39225
MVK	-0.159625
NCL	-0.7752
PSMD10	-0.8845
MOBP	1.202375
FLJ32894	0.797
HRH1	-1.50833333333333
C5orf30	-0.44675
NUDT16L1	1.1669
RASGRP3	3.45733333333333
PRKRIP1	-0.2955
CCDC75	-0.688
LOC253970	0.20925
KIAA1239	1.1595
MED21	-0.992
SYT11	-0.321083333333333
NTSR2	-1.2255
EGFL11	1.068
CXorf59	-0.1635
OR2A25	-0.4515
SPTBN2	1.1605
LRMP	-2.13033333333333
RNF111	-0.88425
PTH	0.103
LOC619208	0.99
KIAA0895	0.14175
RANBP5	-1.044375
P2RY10	-0.702
NME5	1.138
DDX21	-1.401
LRSAM1	1.0495
HDAC11	1.21333333333333
VMO1	1.341
NOLA2	-0.42
ADAR	1.01733333333333
MTO1	-1.12816666666667
SF4	0.681166666666667
P2RX1	-0.460166666666667
HBM	0.14425
EN2	1.4945
C14orf172	1.1985
TM9SF2	0.3382
INHBE	-1.98583333333333
TCTE3	-0.498333333333333
TOX2	-2.88075
CTAGE3	-0.471625
HBB	3.6001
MED15	0.139
CASR	0.27025
C6orf66	-2.47316666666667
MTPN	-1.104
UNC50	-0.57625
C21orf33	-0.30475
IRF2	0.499625
PGR	-2.25833333333333
GPR84	1.75025
CROCCL1	-2.59775
SRPX	-1.54425
BRE	-0.184166666666667
FGF10	1.0715
SDC3	1.38433333333333
ZRSR1	0.0535
DKFZP434P211	0.309
SOX6	0.3995
RPUSD2	-0.38925
C14orf173	0.68925
MAPK11	0.42
TBC1D22A	0.758
FAM123A	-2.5535
COL4A6	-1.78716666666667
TOMM70A	0.8555
NAB1	-2.02125
MGC16385	0.156125
TSPAN18	-0.189166666666667
MED31	-1.33775
PLG	-0.2215
CAPSL	0.042
ZNF532	1.2174
ASB14	-0.6105
CA8	1.101
NUDT16P	-0.645833333333333
SLFN11	-0.4825
LRRIQ2	-0.558125
NOL7	-0.3975
BRMS1L	-1.399125
JARID1A	0.431
PANK2	-0.03425
ICAM3	0.08375
MDS1	1.577
TAF8	-0.479
RNF139	1.0405
ZNF594	-0.658333333333333
ADAM8	0.97425
SFTPC	-0.219875
MAN2B2	1.659375
RGS12	0.4886875
EIF1AY	-4.74791666666667
LRRIQ1	-1.097
GPR150	1.6315
CCDC21	-1.00116666666667
PRRG3	0.369
SAA4	-3.75575
RAPGEF5	1.512
ZCCHC2	0.31975
MGC39372	0.489
PPP4R2	0.303833333333333
CDCA2	-1.55033333333333
OR4D5	0.673
PTGFRN	1.5429
SIGLEC5	0.104166666666667
C19orf61	-0.333
NMUR2	0.4
KIAA1586	-1.23716666666667
DAGLA	0.607
CHCHD6	0.1365
GPR32	1.04
NEUROD6	0.1915
SLC2A4RG	1.0578125
CA5B	-0.0465
FBXL3	0.998
MPHOSPH9	-1.671
HMG2L1	0.10275
HCN4	0.519
CEACAM19	0.522
SH2D4B	0.681333333333333
HFE2	-0.7555
TGM4	0.751
LYPD2	-0.52975
TBC1D15	-0.03625
MRPS21	-1.2005
NONO	-0.8042
CLEC5A	1.76925
ITCH	0.4148
MGAT3	-1.01383333333333
MBP	-0.531125
RPP25	-2.566
SOSTDC1	-2.5025
HRC	-1.3845
TRIM48	0.212
TMEM133	-0.60275
ECEL1P2	-0.9435
HOXC11	2.2645
DOK5	-1.1115
HELZ	1.4
LOC348180	-0.7215
MGC33894	0.634
ADRB3	0.844
DMD	-0.128166666666667
PTRH2	-0.422
MPEG1	2.2875
NDUFA12	0.473833333333333
KRTAP2-4	0.638583333333333
STAMBPL1	-1.65433333333333
ADCY2	2.3885
UNQ6125	0.3925
KLHL20	0.5665
SRM	-0.79975
OTC	-0.4835
TMIE	-0.535666666666667
SNX8	0.56725
LIPK	0.209
CHURC1	-1.109
KLC2	0.589333333333333
HDAC1	-0.647166666666667
FAM128A	-0.285833333333333
FNDC3B	-0.2054
MTCP1	-0.901833333333333
WFDC10B	-0.247888888888889
PCDHGB3	0.144
ATRNL1	-2.4759
CAV2	-0.6095
MED26	0.0698333333333333
DUS1L	1.51925
CHRM3	-1.448
NEK9	0.45075
WARS2	0.72825
TBX22	-0.879
TOMM40	-0.39025
RP6-213H19.1	0.527333333333333
TUBGCP5	-0.91725
IGSF6	5.23925
TPPP	-0.174166666666667
UNQ6190	-0.1155
GSTM5	-0.737
BTD	1.4655
PDCD1LG2	-0.4045
SNRPB2	-0.245333333333333
ERICH1	-0.691875
APOA4	-1.97475
HOXA11	-1.62075
NARG1	-1.255
MKX	-0.58
RAB28	-0.500785714285714
PKP3	1.0245
SH3GL2	-2.676
CTSO	2.54925
RPN2	1.2583125
IL28RA	-1.19083333333333
SFMBT1	-0.255
WDR57	0.3845
FER1L3	-0.62075
HSF5	0.1615
TTC9B	0.18575
C4BPA	-3.32766666666667
ALB	-3.80507142857143
SORBS3	-0.51125
UPF2	0.8915
JPH1	-0.3445
AGBL2	-0.46875
DOPEY1	0.5525
TERF1	-0.735916666666667
KIF22	-0.125
NINJ1	2.46575
SEC61A2	-0.725583333333333
HIST1H1D	-2.21666666666667
SFXN4	-1.3525
UCP3	1.8133
ZNF703	2.713
MYL6B	-0.72725
TREM1	2.153
OR52E6	0.3605
CKMT2	0.884
HLA-C	1.938125
SLC13A3	-2.21783333333333
TIMP4	-0.09
SLIT2	2.61325
RSF1	1.76427777777778
LONRF1	-1.94514285714286
MON1A	-0.5395
CACNG6	-1.41983333333333
DPPA4	-4.6135
ZSWIM3	-0.17425
ZNF804A	0.289166666666667
CCIN	2.40625
SLC25A31	0.574333333333333
KCNMB4	-0.7515
RABL5	0.41625
GALNS	0.129
STX6	0.851375
HIST1H1C	-1.07516666666667
CIDEB	-0.0745
CASP4	-0.113166666666667
PDK3	-0.9026
KCNJ11	1.346
TPR	-0.208875
ZSCAN20	-0.2095
MTX2	-0.6795
HIST1H2BH	1.0585
LOC283767	0.741
LYRM7	-2.12755555555556
BRD3	1.1445
HIST1H2BO	1.1025
MAGEB10	-0.103
SLC45A1	0.65325
SERPINA3	0.88625
KIAA0143	0.0755
KCNJ16	-0.629333333333333
KRT79	0.88175
FABP2	-0.7505
NUT	-0.3085
ZNF57	-0.291
FBXL4	-0.303375
CLEC9A	0.5935
UGT8	-0.680833333333333
BMP2K	-0.33175
MAPK4	-3.3715
SLC25A23	-0.5928
HINT1	-0.8818
KRTAP13-1	0.297
SFXN5	-0.1083
CHCHD2	0.699666666666667
FAM3D	1.0075
NDP	-3.798
RHOBTB1	-0.110833333333333
SLC4A4	-1.9655
RPL38	0.5185
HTF9C	0.141333333333333
AP2A2	0.036375
ZBTB46	-0.4635
MAP7D1	0.881625
AOX1	-2.012
CYR61	1.00425
DTNA	0.397214285714286
JRKL	0.236
TMOD3	-0.079
EEA1	0.4246
ADCK5	0.40625
IL1R1	2.16366666666667
KLK3	0.843923076923077
HRSP12	-1.66025
KTN1	-0.44125
LOH11CR2A	0.8595
RELL2	-0.4885
MAB21L1	0.9345
C20orf59	-0.905333333333333
PHKB	-0.228
ADAM2	-2.629
TBC1D8B	0.817166666666667
FAM13A1	-0.720125
LAPTM4B	-0.0254166666666667
LCN8	0.216
TMEM147	0.633
SYT4	-0.139666666666667
XPO7	-1.4415
C9orf62	1.91475
GPR75	0.852
TRIM5	0.47425
APOC1	-1.89633333333333
RNASE4	-0.06
PARD6B	-2.536625
ARID1A	0.501166666666667
TPD52L3	0.2105
RRAGB	0.639
RCN2	-0.917333333333333
HIST2H2BE	1.445125
STARD7	-0.4085
SHMT2	-0.96125
KIAA1751	0.242333333333333
MLYCD	0.114625
LOC162632	-0.6626
UQCRH	-1.1615
RP11-217H1.1	0.82075
SDHA	-1.71616666666667
NCLN	0.08
ZNF17	0.875833333333333
RCBTB2	-1.886
VEGFB	-0.0244
RP4-747L4.3	0.87675
COLQ	0.4536
MPN2	-0.514833333333333
DRG2	-0.3245
KLRB1	3.12775
ALPK2	-2.04275
DNASE2B	0.8725
FLJ23834	-0.682833333333333
AXUD1	1.06833333333333
SAFB	-0.3935
NSUN4	0.08475
RFX2	-0.491333333333333
MAPK8IP1	-1.3425
FANCD2	0.331357142857143
ANKZF1	-1.34783333333333
C19orf50	-0.47375
DUSP8	1.59
SENP5	-0.39475
NFKBIL2	-0.0580000000000001
LBR	-0.460375
IGFL1	0.376
LZTS2	0.427875
IL2RG	-1.344625
CCDC51	-0.0855
KLF3	0.816875
ANKRD37	-2.583
KCTD14	-1.85883333333333
FZR1	0.423166666666667
SLC44A4	4.1493
ESPL1	-0.55425
GMPR2	-0.6378
TBC1D19	-1.218
ERGIC1	1.48214814814815
ERBB4	2.8292
TSPAN32	-0.261583333333333
MAP4	0.04275
GPHN	-2.15125
SLC6A2	-0.274875
HIVEP1	0.6245
DFFB	-0.9687
EIF4EBP2	0.647125
DMRT1	-0.62175
HSPB6	0.07475
IER2	-0.036
AIFM1	-0.62875
WWC2	0.0854166666666667
MRPL4	-0.42575
FLJ21062	-1.332
EPB41L4A	1.55175
SH2D6	0.441
TAF4B	-1.68725
GAL3ST3	-0.654
MALT1	-0.505833333333333
RTDR1	0.22
ARVCF	1.455375
MEX3B	-0.0418333333333333
FBXO16	-2.957
KIF7	-0.503
C1QC	4.03316666666667
ZNF783	-0.383166666666667
ZNF85	-0.334
MMP13	5.5235
KIAA0329	0.71725
RTP3	-1.437
ZBED3	-0.84075
CLGN	-0.441
SLC25A37	-2.05375
hCG_18290	0.324
OR5AS1	0.372
SMARCC2	0.433333333333333
FAM109A	0.380333333333333
CCDC12	-0.373
USF2	0.3607
DEPDC7	-2.3965
C20orf24	-0.463666666666667
JMJD3	0.009
DSP	1.20878571428571
SLIC1	-0.096375
FAM20A	1.123125
IRF2BP2	0.981625
ZNF230	0.813
MSN	-0.742071428571429
SLC9A5	-1.4905
EPDR1	-1.526
MUSK	0.3645
ZNF434	0.0641666666666666
