Hybridization REF	TCGA-BH-A0HK-01A-11R-A056-07
SNAPC1	-1.548
GNA11	1.061
CCDC52	-0.142333333333333
FSIP1	0.41
UPF3A	-0.654625
IGSF11	-2.61533333333333
LAGE3	-0.191
CHST6	-3.6265
UNC13B	0.701625
TTLL4	-1.035875
ZNF687	1.6535
SDC2	-1.1968
COX7A2	-0.27125
LAMB4	-0.25025
FAM24A	0.694
LRRTM3	-0.5512
GPHB5	1.197
OR4C13	0.0145
EIF3EIP	1.56142857142857
HABP4	-0.878
TMEM125	3.83825
CNTN2	1.803375
ASNSD1	-0.50375
FUT4	-0.740875
ACF	-4.00575
LOC158381	0.1515
CDH8	-1.15666666666667
AGPS	-0.435166666666667
C4orf18	2.865125
PECI	-0.41625
UNG	-0.79175
GSTP1	1.132875
DCUN1D5	-1.9835
DKFZP564J0863	-0.68825
SLC9A3R1	0.41375
BCDO2	2.748625
CHMP7	-0.846
REM2	0.7295
DNHD1	-0.6605
FKBP4	0.00937499999999999
ZNF350	0.87525
MGC11102	0.1735
BST1	3.025
KISS1R	2.2545
NCR2	-0.491
DEFB125	0.372
UBE2W	0.770875
KRT15	-0.99
C10orf99	0.574
SCN11A	0.256375
GFI1	-2.0515
RDHE2	3.23483333333333
FHL1	0.7505
OSGEP	-0.173833333333333
GATA1	-3.2225
SMC6	-1.37175
TTTY14	-1.09725
LPIN3	0.00475
RPL4	0.1396
RBPMS	-0.4264
PRPF3	-0.503833333333333
EMR1	-2.0485
SPATA19	0.19375
XCR1	0.6205
IRX3	2.6748
RBM6	-0.69975
KLF4	0.6759
UNC5CL	-2.18125
SEBOX	-0.2
BTK	-0.92575
KRCC1	1.26425
C6orf27	0.609
SYTL5	-0.7565
PRND	2.18314285714286
LOC653319	-1.493
PIGL	-1.43775
HUS1	-0.822166666666667
SFRS6	0.871
C17orf77	-0.085
UIMC1	-0.743333333333333
FXYD2	-1.5407
LOC283152	1.7735
ZNF667	0.27025
ZCCHC12	-1.87375
TFEC	1.677
ATP7B	2.431
POLD2	-0.628
RG9MTD1	-0.61
ACOT2	0.195166666666667
HIST1H4I	-1.072875
PPARGC1A	-1.8816
ETFA	-1.7659
POLRMT	0.2065
ZNF146	-0.480875
MIA2	-1.455
KLHL6	-1.3685
HOXB5	4.0055
NENF	1.6
CUGBP1	0.24975
PRSS22	1.61116666666667
CASC4	1.5129
CUL4B	-0.1894
CENPJ	-2.0601
PITX1	0.552166666666667
FLJ31033	0.511833333333333
CELSR3	0.0661666666666667
ZNF568	0.64275
ITSN1	-0.1245
EHBP1L1	-0.7555
C19orf2	-0.3675
DCTN1	0.277
LIN28B	-4.96783333333333
TNKS2	-0.95475
C1QBP	-0.74325
CADPS2	2.142
SRMS	0.74225
GJA9	0.178833333333333
MGC24975	-0.152666666666667
TRIM45	-0.270666666666667
TSP50	0.1685
TCP1	-1.61925
TMED7	0.6081
CMA1	0.4515
CENPL	-1.04933333333333
PTCRA	-0.1575
FST	-4.53875
VWCE	-3.611
PAWR	0.54375
ABCC12	0.5434
LDLR	-1.4833
ASTN2	0.1385
LOC441212	-1.13125
GPATCH8	-0.292
TANC2	-2.17891666666667
KIF4A	-2.70225
C18orf18	-1.767
PGM1	-0.894
KIAA0258	0.49875
CPD	1.986625
SNCAIP	-0.9765
DCT	-4.12833333333333
HLA-DOA	2.63245454545455
OR11L1	0.7555
UPK1B	-0.420166666666667
DNAJB4	-0.271875
UGT1A8	0.168
HIST1H4L	-1.532
PECR	-1.77533333333333
HSPA2	2.974
WFIKKN1	-2.488
SERP1	1.190875
SYDE2	1.84725
TACR2	1.822
NUP85	-1.34425
CD177	-0.382833333333333
LGR5	-1.5385
PIGG	0.250166666666667
PTHR1	-0.877666666666667
RAB5A	0.2078
FLJ13224	-0.5845
USP9Y	-2.47666666666667
C7orf53	-1.1785
LRP1B	0.147
XAF1	0.5453
ABCG8	-0.3275
ANKDD1A	-0.183166666666667
DAND5	-2.5185
SPAG6	5.84566666666667
LINCR	2.75375
ZDHHC22	-1.46325
CCDC60	0.4205
THOC7	-1.4405
TCTA	1.4325
OR8K3	0.82225
NY-REN-7	-0.953
B2M	1.21916666666667
C6orf141	-2.839375
LPPR4	2.90525
SQLE	-2.033625
SEPHS1	-0.48775
BTBD14B	0.776357142857143
PLRG1	-0.685
SPG7	-0.6556875
ZNF614	-0.387333333333333
PARD6G	1.12833333333333
INPP5B	-1.4511
GRPEL2	-0.060875
PPID	-0.7247
TRIM56	0.1055
UBE2J1	-0.02825
IL20RA	6.97375
LOC387856	-0.24425
C1orf107	1.90866666666667
UTS2R	2.13975
C19orf22	0.22675
SAFB2	0.32125
KIAA0652	-0.173625
KLRG1	0.0835
MS4A8B	5.2455
FRAG1	1.196
KIAA1546	0.4585
E2F4	-1.0986
CLEC4M	0.647833333333333
BTBD14A	-1.27425
KIAA0999	0.7785
GYPA	-3.72516666666667
TAC1	1.9988
TRAIP	-2.1695
KIAA0232	0.9485
ERCC8	-1.083375
GPX4	0.291625
KIAA0368	-0.14225
GPR157	-0.125666666666667
CTAGE4	-0.7875
C9orf30	-1.36016666666667
OR52A1	0.199
HSP90B3P	-0.467
ALG9	-0.9389
BTBD10	0.49375
SDK2	-0.326
BAIAP3	-0.995
RABGGTB	-0.860625
ANKRD40	0.049
KRT74	0.649
CALCOCO2	0.5905
SNCA	-3.2575
TMSL8	-4.7175
C2orf53	-0.205
ESRRB	-0.3705
ARHGAP26	-0.6675
TDRD9	-2.869
HRAS	-0.235833333333333
KLRC4	-2.7795
JAGN1	0.0471666666666667
BSDC1	0.44325
RNF43	0.7457
NDUFAF1	0.17775
PHF12	0.29625
OR1L3	0.17
FOLR2	2.69541666666667
LYZL6	0.0868333333333334
tcag7.1260	-1.659
WSB1	-1.4495
PROS1	-0.6052
OSTN	0.664
PSMB8	0.55725
SOCS4	-0.370142857142857
DDIT4L	1.13425
MAS1	0.0135
MGC34796	2.09
CSHL1	0.084
TBCCD1	-0.147166666666667
ZBTB7C	0.8695
AP2S1	-1.27075
P15RS	0.1375
VAT1	-0.6588
SHANK3	1.96783333333333
TUFM	0.127166666666667
THEG	-0.295
KRT34	-2.4165
SGSM3	0.701875
TOMM22	0.395875
SOCS3	2.55883333333333
CPO	1.234
POP4	-0.07975
BHLHB3	0.506
MALL	1.29725
OR1B1	0.269
PARK2	0.497
GPR124	0.628
LCE1E	1.3065
RUVBL2	-0.53925
CGRRF1	0.106
ACPL2	0.82025
WNT10B	-0.58125
BAIAP2L2	-0.278375
ISCA1	0.453
C1orf125	5.139375
RPAP1	-0.45625
RAI16	0.0935
RPL27	0.391
NLRP9	-0.3815
EPN1	0.69
LOC388610	-2.436625
SLC35A1	0.642
GAL	-3.6585
SLC14A2	0.71675
RDH11	-1.0355
FAM138F	1.033
AUH	0.79325
FLJ40243	0.1155
C14orf129	0.273
MBD2	-0.896833333333333
ABHD14B	1.09675
PIGT	0.67825
ALS2CR4	-0.4245
ALAS1	0.2943
FOXO1	0.815833333333333
CRLF3	-0.53225
C20orf107	-0.562
FARS2	0.7465
CCDC28A	1.2485
NPHP3	-1.2205
OR13F1	0.402
TSEN54	0.13225
DEFB106B	0.51875
OR8B4	0.3385
STH	0.97425
ZC3H14	-0.781375
CBX2	-0.204
TMEM49	-1.4205
C6orf21	0.669
FLJ20920	1.658375
CRTAP	0.505
DDX50	-0.178
STYXL1	0.1405
BLVRB	-0.373666666666667
LOC147650	-0.851333333333333
MMP24	0.379
GRID1	1.34925
BANF1	-0.545666666666667
CTAGEP	-0.5925
HMBS	-2.65725
SLC25A24	0.0206666666666667
C14orf50	2.6955
MRO	0.994
SLC25A15	-1.71175
FAM84B	1.3459
TDP1	-1.328
C16orf78	0.412166666666667
C11orf57	-0.87
RFK	-0.398375
ZFYVE9	-1.27275
STCH	-1.0507
WIBG	0.40075
LOC283871	-0.759666666666667
GBA2	0.1336
NDUFB3	-0.3025
HSD17B13	0.875
GRIN3A	0.562833333333333
FMNL1	-0.707
SEPT7	-0.843
GNLY	2.8825
GRAMD1C	1.00533333333333
ZNF165	0.119
USP38	0.8175
FAM83A	-3.4415
C14orf24	1.12758333333333
ARMCX3	1.4905
ARHGDIB	1.27083333333333
AK1	-0.0705
KIAA1045	0.766
DNAJB13	-0.649666666666667
NEU2	0.1945
HIST1H4B	-1.58066666666667
FAM20B	0.9178
HES2	0.489285714285714
FAM73B	-0.3223
LOC388381	-0.229
INTS7	0.0452727272727273
AMPH	-0.047
ZNF775	0.493
UCKL1	-0.621166666666667
C10orf97	-0.20575
C1orf161	0.2365
ALDH1L1	2.145
FLJ39378	-0.0475
SLC23A1	-1.574
RBM4B	-0.10725
THAP4	0.381166666666667
OGFRL1	-0.01825
KIAA0831	-0.254375
PPP1R15A	0.970833333333333
C1orf96	0.713785714285714
C12orf11	-1.7695
BMF	0.2375
MAN1A1	-0.96175
KIAA1600	0.355
NLGN4X	-0.95525
ALOX12	-2.2502
RB1CC1	-0.4656
NEIL2	0.0778
EIF4E	0.306714285714286
ABHD5	-0.4525
EXOC4	-0.0526666666666667
CIP29	-0.476
BATF2	0.109
SLC29A4	0.141375
HTR4	0.498
EMB	-2.1645
TRAF6	0.392
LMNB1	-3.36925
FAM19A5	-1.428
SHE	2.50575
PIK3C2B	2.94475
C15orf15	-0.3339
USP15	-0.0257
TCEAL2	0.57275
C5orf39	-0.934666666666667
PTGER2	-1.44
SLC31A1	-0.876375
IFT172	1.6395
ADAM29	0.06125
GFOD1	0.6455
ST7L	0.955333333333333
C15orf26	-3.1735
PKN3	-0.6315
CNTD1	2.688
COMMD1	0.004125
NTRK2	2.84983333333333
FOXN3	0.642875
MFGE8	-0.9766
PFKFB2	1.54466666666667
TAS2R4	-1.5055
ENTHD1	-0.482666666666667
PRMT5	-0.76375
MGC16384	-1.695
LOC442229	-0.67925
TSKU	2.247
KRTCAP3	3.8315
PDLIM1	1.576
KCNS2	0.3585
RNF126	0.257166666666667
CEP63	-0.482
CLIC4	-1.57425
hCG_1990170	-0.62075
ACR	0.7721
KLK7	-0.21125
ALOX5AP	1.987625
RIPK3	4.441
TAS2R9	1.475
C19orf18	-1.1075
BIRC6	-0.0287142857142857
ZNF16	1.021
RFT1	-0.3475
SLC8A2	-0.57125
TACC1	0.589375
ITGAD	0.51
SAMHD1	0.1985
SH3PXD2B	0.779
EPC2	0.872
C20orf85	0.300375
ATP13A2	0.220166666666667
KRT4	0.390375
CAPNS1	0.00625
MDM2	-0.427416666666667
PCDH20	2.8125
KCNK9	0.472
OR2C1	0.0335
KLHDC3	-0.767333333333333
IPPK	-0.2175
EFHD2	1.166375
GALR3	2.2025
NBEA	1.709
ABCA6	3.382
CLDN3	2.43
AKT2	-0.497214285714286
EGFR	-1.7832
RBM16	0.569375
ZDHHC3	0.842
SLC25A4	-2.29
CYB5B	-0.755333333333333
CPXM1	0.17075
NDRG1	0.0755384615384615
FLJ43826	-0.10075
OR5L2	0.440666666666667
FARP2	1.493
MRPL46	-0.635666666666667
LDHAL6B	-0.182
MAPKAPK3	-0.111833333333333
NCAM2	-3.12475
PRKD2	0.666166666666667
ZFP36L1	1.2499
CYSLTR1	1.366
OR4C3	-0.033
HIST1H2AJ	1.4445
CCNB2	-3.38888888888889
ZNF10	-0.44
TMEM175	0.8025
FAM134A	1.45716666666667
TIGD4	-0.2585
PCNP	-0.38575
MGC39715	-0.13
LQK1	-0.3555
CREB1	0.8455
TMPRSS3	1.73175
C4orf32	2.90575
LAT	-1.95116666666667
KCNA3	-0.623
SKIV2L2	-0.6615
ROPN1B	-3.90625
tcag7.23	0.2825
CDT1	-2.832375
ZHX2	1.487125
CD28	-3.495
ZNF624	-0.48425
SEPT2	-0.3725
SOHLH2	-2.554375
MCOLN3	-0.758714285714286
UNQ1945	1.234
MASP2	-1.327
ZNRF3	0.4437
GPATCH3	-0.13
AGL	0.951875
QRICH2	-0.4075
PSD4	1.1685
CCNB1IP1	-1.79475
ENPP7	-0.099
OBFC1	0.07825
KCNG3	-1.61133333333333
C14orf79	1.02333333333333
ENPEP	1.724
SCT	0.843
SKI	1.0315
SEC61G	-1.90825
CAPN11	0.57175
ATXN7L3	-0.0905
DBNDD1	-1.07016666666667
FAIM	0.88925
ANKRD36	-0.4045
GABRP	0.644333333333333
TACSTD2	1.9072
EIF3J	-0.5435
PPP2R2A	-0.96225
TEKT4	-0.312333333333333
PVALB	-3.7755
F10	-1.4665
FAM134C	0.8323
COMP	5.32725
EFCBP1	-2.2203125
SCLT1	0.191375
TAL1	-0.588
ACSL1	1.348
ABCC5	-0.7015
ABL1	-0.560777777777778
RBBP7	-0.091
PTPRG	-2.032625
NCOR1	-0.1807
SPINK4	-1.75533333333333
TXNRD1	-1.3796
TNRC15	0.558125
C9orf138	0.379625
UBE2H	1.31816666666667
BRDT	3.45616666666667
C8orf31	-0.4045
CCNE2	-2.92272727272727
SLC6A8	-2.096
CALCR	-3.60825
PPP1CB	1.262
ABHD8	0.2225
ARF5	-0.2506
SLC24A4	0.64925
CCT3	0.79675
ZNF121	0.187375
SLC3A2	-1.1938
OR13A1	0.7895
SLC5A10	0.56375
RAD50	-0.659125
IER5	0.898125
MTHFD1L	-2.67425
MBTPS2	0.085
MVK	-0.936125
NCL	-0.1006
PSMD10	-0.775
MOBP	0.7315
FLJ32894	-0.5595
HRH1	-0.341833333333333
C5orf30	-0.0955
NUDT16L1	0.5662
RASGRP3	3.70566666666667
PRKRIP1	-0.7751
CCDC75	-0.4055
LOC253970	0.39175
KIAA1239	0.79325
MED21	-0.8135
SYT11	0.278333333333333
NTSR2	-1.113
EGFL11	0.68
CXorf59	1.052
OR2A25	-0.175
SPTBN2	-0.743
LRMP	-1.15983333333333
RNF111	-0.17025
PTH	0.276
LOC619208	0.391333333333333
KIAA0895	0.457
RANBP5	-0.201
P2RY10	0.0325
NME5	2.81116666666667
DDX21	-0.91525
LRSAM1	0.2875
HDAC11	0.562333333333333
VMO1	1.9315
NOLA2	-0.031
ADAR	0.81975
MTO1	-0.896
SF4	0.522333333333333
P2RX1	0.071
HBM	0.44275
EN2	2.1845
C14orf172	0.2645
TM9SF2	0.1172
INHBE	-1.30433333333333
TCTE3	-0.0740833333333333
TOX2	-2.3755
CTAGE3	-0.07625
HBB	4.9637
MED15	-0.601333333333333
CASR	0.87675
C6orf66	-0.881833333333333
MTPN	-0.8385
UNC50	-0.2125
C21orf33	0.334625
IRF2	1.403125
PGR	-2.3404
GPR84	0.6945
CROCCL1	-2.735
SRPX	-0.35625
BRE	-0.276166666666667
FGF10	0.6335
SDC3	-0.618833333333333
ZRSR1	0.194833333333333
DKFZP434P211	-0.42275
SOX6	0.4355
RPUSD2	-0.68475
C14orf173	0.298833333333333
MAPK11	0.157833333333333
TBC1D22A	0.5865
FAM123A	-0.486
COL4A6	-3.82
TOMM70A	0.2185
NAB1	-0.759625
MGC16385	-1.139375
TSPAN18	-0.306833333333333
MED31	-0.90225
PLG	-0.170333333333333
CAPSL	0.6655
ZNF532	-0.1579
ASB14	0.1575
CA8	2.7865
NUDT16P	2.52883333333333
SLFN11	-0.9115
LRRIQ2	-0.673875
NOL7	-0.511
BRMS1L	-0.70025
JARID1A	0.1605
PANK2	-0.93925
ICAM3	0.1975
MDS1	-0.29925
TAF8	-1.2115
RNF139	0.974
ZNF594	-1.0276
ADAM8	4.0275
SFTPC	0.192375
MAN2B2	0.9915
RGS12	0.245625
EIF1AY	-4.04533333333333
LRRIQ1	-2.04933333333333
GPR150	2.049
CCDC21	-1.49866666666667
PRRG3	1.21175
SAA4	-0.95875
RAPGEF5	2.401375
ZCCHC2	0.0908333333333333
MGC39372	0.142
PPP4R2	0.421
CDCA2	-3.259
OR4D5	0.961666666666667
PTGFRN	0.3245
SIGLEC5	0.546
C19orf61	-0.341833333333333
NMUR2	0.753
KIAA1586	-2.68183333333333
DAGLA	-0.1765
CHCHD6	-0.1225
GPR32	0.3275
NEUROD6	-0.169
SLC2A4RG	0.7129375
CA5B	-0.00325000000000003
FBXL3	0.64525
MPHOSPH9	-2.11425
HMG2L1	0.07175
HCN4	0.786333333333333
CEACAM19	-0.50575
SH2D4B	-0.0882
HFE2	-0.8755
TGM4	0.5166
LYPD2	0.333666666666667
TBC1D15	-0.34175
MRPS21	-0.9167
NONO	-0.6419
CLEC5A	0.758125
ITCH	0.47
MGAT3	-0.441333333333333
MBP	-0.226375
RPP25	-0.19825
SOSTDC1	-0.63375
HRC	-0.10625
TRIM48	0.6275
TMEM133	-0.56575
ECEL1P2	-1.666
HOXC11	0.835
DOK5	-0.87575
HELZ	0.5855
LOC348180	-1.04725
MGC33894	0.2075
ADRB3	0.783
DMD	0.624363636363636
PTRH2	-0.76625
MPEG1	3.0305
NDUFA12	-0.506166666666667
KRTAP2-4	0.470166666666667
STAMBPL1	-0.812166666666667
ADCY2	0.1135
UNQ6125	0.198
KLHL20	0.863833333333333
SRM	-1.0275
OTC	-0.6275
TMIE	0.388
SNX8	-0.05525
LIPK	-0.045
CHURC1	0.277666666666667
KLC2	0.8205
HDAC1	0.0533333333333333
FAM128A	0.613666666666667
FNDC3B	-1.0426
MTCP1	-0.787
WFDC10B	-0.173
PCDHGB3	-0.4485
ATRNL1	-2.79111111111111
CAV2	0.307875
MED26	-0.1245
DUS1L	0.65225
CHRM3	-1.352125
NEK9	0.27525
WARS2	0.68175
TBX22	0.499
TOMM40	-0.7745
RP6-213H19.1	-1.32666666666667
TUBGCP5	-0.87125
IGSF6	4.61875
TPPP	0.437
UNQ6190	-0.0135
GSTM5	2.316125
BTD	0.955666666666667
PDCD1LG2	-0.332833333333333
SNRPB2	-0.9485
ERICH1	-0.744875
APOA4	-1.18975
HOXA11	-2.346
NARG1	0.176625
MKX	-0.986
RAB28	0.0575384615384616
PKP3	1.0185
SH3GL2	-1.595
CTSO	3.783
RPN2	0.1265625
IL28RA	-0.109
SFMBT1	-0.4285
WDR57	0.39625
FER1L3	1.247
HSF5	-0.608833333333333
TTC9B	0.44175
C4BPA	-4.071
ALB	-3.97846153846154
SORBS3	0.406
UPF2	-0.27
JPH1	-0.6105
AGBL2	-0.862
DOPEY1	1.416
TERF1	-0.621666666666667
KIF22	-1.00066666666667
NINJ1	0.5815
SEC61A2	-1.02216666666667
HIST1H1D	-1.25716666666667
SFXN4	0.483125
UCP3	0.4188
ZNF703	1.92466666666667
MYL6B	-0.03875
TREM1	1.225
OR52E6	-0.071
CKMT2	2.61875
HLA-C	1.403
SLC13A3	0.546333333333333
TIMP4	4.3785
SLIT2	3.0985
RSF1	0.153666666666667
LONRF1	-1.38957142857143
MON1A	-0.051
CACNG6	-1.37233333333333
DPPA4	-4.52916666666667
ZSWIM3	-0.57925
ZNF804A	0.213666666666667
CCIN	1.61375
SLC25A31	-0.6505
KCNMB4	-1.22325
RABL5	0.11825
GALNS	-1.0986
STX6	1.192625
HIST1H1C	-2.40933333333333
CIDEB	0.446875
CASP4	-0.0625
PDK3	-0.8334
KCNJ11	0.7
TPR	0.079375
ZSCAN20	-0.744
MTX2	-0.30075
HIST1H2BH	-1.14075
LOC283767	0.5735
LYRM7	-0.732055555555556
BRD3	-0.135666666666667
HIST1H2BO	-1.23075
MAGEB10	0.4835
SLC45A1	1.28775
SERPINA3	-2.40610526315789
KIAA0143	0.08375
KCNJ16	0.0748333333333333
KRT79	-0.392
FABP2	-1.21225
NUT	-0.17675
ZNF57	-0.859
FBXL4	0.259875
CLEC9A	0.7985
UGT8	-1.607
BMP2K	-1.47825
MAPK4	-3.693
SLC25A23	-0.2899
HINT1	-0.0856
KRTAP13-1	0.1675
SFXN5	0.4083
CHCHD2	-0.436583333333333
FAM3D	1.2045
NDP	-3.408375
RHOBTB1	-0.318166666666667
SLC4A4	-0.783
RPL38	0.23875
HTF9C	0.0321666666666667
AP2A2	0.5725
ZBTB46	-1.071
MAP7D1	-0.039125
AOX1	-0.831333333333333
CYR61	1.38858333333333
DTNA	-1.73692857142857
JRKL	0.13675
TMOD3	-0.38325
EEA1	-0.0421
ADCK5	-0.05275
IL1R1	1.7805
KLK3	0.815692307692308
HRSP12	-0.571
KTN1	-0.2835
LOH11CR2A	-0.3148
RELL2	-1.86975
MAB21L1	1.12375
C20orf59	-1.234
PHKB	-0.7955
ADAM2	-2.09783333333333
TBC1D8B	1.201
FAM13A1	-0.8161875
LAPTM4B	-1.4135
LCN8	0.283
TMEM147	0.8705
SYT4	-0.4978
XPO7	-1.6325
C9orf62	2.224
GPR75	-0.771
TRIM5	0.257375
APOC1	-1.49283333333333
RNASE4	1.14666666666667
PARD6B	-0.360375
ARID1A	0.567666666666667
TPD52L3	0.5908
RRAGB	0.539
RCN2	-0.856166666666667
HIST2H2BE	-1.416375
STARD7	-0.2925
SHMT2	-0.6415
KIAA1751	0.0094
MLYCD	-0.405375
LOC162632	-1.014
UQCRH	-0.9275
RP11-217H1.1	0.274125
SDHA	-1.32116666666667
NCLN	-0.0947
ZNF17	0.153166666666667
RCBTB2	-0.70925
VEGFB	0.3868
RP4-747L4.3	1.29775
COLQ	0.3788
MPN2	-0.217
DRG2	-0.375
KLRB1	5.00275
ALPK2	-2.7375
DNASE2B	1.357
FLJ23834	-0.449
AXUD1	2.25533333333333
SAFB	-0.1103
NSUN4	0.3635
RFX2	-0.368166666666667
MAPK8IP1	-0.0668333333333333
FANCD2	-1.53492857142857
ANKZF1	-1.01266666666667
C19orf50	-0.619
DUSP8	1.168125
SENP5	-0.49725
NFKBIL2	-0.494
LBR	-1.611625
IGFL1	-0.159
LZTS2	0.0105
IL2RG	-0.68925
CCDC51	-0.04975
KLF3	0.216625
ANKRD37	-1.15625
KCTD14	-2.235
FZR1	0.249083333333333
SLC44A4	4.7798
ESPL1	-1.085375
GMPR2	0.0192
TBC1D19	-1.0215
ERGIC1	1.1292962962963
ERBB4	2.8453
TSPAN32	-0.372666666666667
MAP4	-0.081
GPHN	-1.227
SLC6A2	0.047875
HIVEP1	-0.436
DFFB	0.2353
EIF4EBP2	1.333375
DMRT1	-0.09575
HSPB6	1.2005
IER2	1.42766666666667
AIFM1	-0.611
WWC2	-1.19518181818182
MRPL4	-0.14125
FLJ21062	-0.1675
EPB41L4A	1.61233333333333
SH2D6	-0.27425
TAF4B	-0.81425
GAL3ST3	0.1135
MALT1	-1.18583333333333
RTDR1	-0.10025
ARVCF	-0.0925
MEX3B	-2.065
FBXO16	-2.57625
KIF7	-0.167
C1QC	4.50116666666667
ZNF783	-0.9155
ZNF85	-0.00775
MMP13	-1.0765
KIAA0329	0.2475
RTP3	-0.4895
ZBED3	0.507
CLGN	-0.61175
SLC25A37	-1.902125
hCG_18290	0.45425
OR5AS1	-0.092
SMARCC2	1.08283333333333
FAM109A	-0.0035
CCDC12	-0.337
USF2	0.726
DEPDC7	-3.26775
C20orf24	-1.22366666666667
JMJD3	0.4155
DSP	1.19614285714286
SLIC1	0.238375
FAM20A	1.2905
IRF2BP2	1.6015
ZNF230	-0.8895
MSN	-0.814785714285714
SLC9A5	-1.3315
EPDR1	-1.7448
MUSK	-0.0536666666666667
ZNF434	-0.719833333333333
SMARCD1	-0.546833333333333
ZFP106	-0.2305
ZNF347	0.0481
