Hybridization REF	TCGA-BH-A0BJ-01A-11R-A056-07
ZNF687	1.063875
SDC2	-0.7492
COX7A2	-0.63825
LAMB4	0.15525
FAM24A	-2.5605
LRRTM3	-0.996833333333333
GPHB5	-0.20225
OR4C13	0.27
EIF3EIP	-0.0297142857142857
HABP4	0.059
TMEM125	3.635
CNTN2	0.31175
ASNSD1	0.08875
FUT4	0.3565
ACF	-4.35275
LOC158381	0.721
CDH8	0.84975
AGPS	-1.4965
C4orf18	3.979625
PECI	0.155833333333333
UNG	-0.456375
GSTP1	-0.677125
DCUN1D5	-0.297833333333333
DKFZP564J0863	-0.25775
SLC9A3R1	0.555875
BCDO2	-1.301125
CHMP7	0.280375
REM2	-0.2885
DNHD1	-0.748
FKBP4	-0.375375
ZNF350	1.8205
MGC11102	0.27425
BST1	1.613
KISS1R	1.1355
NCR2	-1.116
DEFB125	-0.0945
UBE2W	0.97975
KRT15	1.14375
C10orf99	-0.333
SCN11A	-0.605
GFI1	-2.288
RDHE2	4.81583333333333
FHL1	-0.215333333333333
OSGEP	-0.283333333333333
GATA1	-3.38483333333333
SMC6	-1.2605
TTTY14	-1.271
LPIN3	-0.235333333333333
RPL4	-0.2422
RBPMS	0.7397
PRPF3	-0.914166666666667
EMR1	-1.6055
SPATA19	0.193
XCR1	1.168
IRX3	2.2125
RBM6	-0.9805
KLF4	-1.4374
UNC5CL	-2.303
SEBOX	0.2445
BTK	-0.14375
KRCC1	1.416
C6orf27	0.415
SYTL5	-1.1595
PRND	5.375125
LOC653319	-1.515
PIGL	-0.853
HUS1	0.00983333333333334
SFRS6	0.336166666666667
C17orf77	0.9375
UIMC1	-0.277666666666667
FXYD2	-2.0762
LOC283152	1.58075
ZNF667	0.24425
ZCCHC12	-0.85375
TFEC	3.4414
ATP7B	0.418
POLD2	-0.658166666666667
RG9MTD1	-0.359
ACOT2	0.116666666666667
HIST1H4I	-1.683375
PPARGC1A	-1.2732
ETFA	-0.7456
POLRMT	-0.03175
ZNF146	0.186375
MIA2	-2.608
KLHL6	-0.596166666666667
HOXB5	3.02775
NENF	0.901666666666667
CUGBP1	0.8485
PRSS22	1.43166666666667
CASC4	1.4326
CUL4B	0.5457
CENPJ	-2.0789
PITX1	-0.885666666666667
FLJ31033	0.5375
CELSR3	-1.79133333333333
ZNF568	1.25175
ITSN1	-0.57175
EHBP1L1	-0.7755
C19orf2	-0.193
DCTN1	0.4
LIN28B	-4.19366666666667
TNKS2	-1.0845
C1QBP	-0.272
CADPS2	1.9315
SRMS	-0.0855
GJA9	-0.4144
MGC24975	-1.19866666666667
TRIM45	1.91266666666667
TSP50	-0.49175
TCP1	-1.60075
TMED7	0.5628
CMA1	1.305
CENPL	-0.533
PTCRA	-0.091
FST	-3.57725
VWCE	-3.942
PAWR	-0.07
ABCC12	2.0084
LDLR	-1.9843
ASTN2	1.5375
LOC441212	-1.070125
GPATCH8	-0.30975
TANC2	0.266416666666667
KIF4A	-2.3965
C18orf18	-0.81475
PGM1	-0.87275
KIAA0258	0.16175
CPD	1.301375
SNCAIP	0.15575
DCT	-4.5385
HLA-DOA	3.41009090909091
OR11L1	0.6755
UPK1B	-1.0792
DNAJB4	0.1605
UGT1A8	-0.593333333333333
HIST1H4L	-1.464
PECR	-0.678166666666667
HSPA2	1.19475
WFIKKN1	-2.239
SERP1	1.010875
SYDE2	1.2165
TACR2	0.903
NUP85	-0.77475
CD177	-1.47516666666667
LGR5	-2.07
PIGG	-0.143166666666667
PTHR1	-1.177
RAB5A	-0.2583
FLJ13224	0.2655
USP9Y	-1.61116666666667
C7orf53	-1.8575
LRP1B	2.68675
XAF1	0.3947
ABCG8	-1.128
ANKDD1A	-0.908833333333333
DAND5	-1.198
SPAG6	1.24
LINCR	1.38575
ZDHHC22	-1.709375
CCDC60	-0.381
THOC7	-1.77716666666667
TCTA	1.377
OR8K3	-0.20175
NY-REN-7	-2.802
B2M	1.469
C6orf141	0.0830000000000001
LPPR4	2.51175
SQLE	-1.528375
SEPHS1	-0.195
BTBD14B	0.594285714285714
PLRG1	-0.6295
SPG7	0.0620625
ZNF614	-0.0353333333333333
PARD6G	1.16133333333333
INPP5B	-0.2786
GRPEL2	0.002
PPID	-0.9209
TRIM56	0.003
UBE2J1	-0.13
IL20RA	5.704
LOC387856	1.14575
C1orf107	0.977666666666667
UTS2R	1.14775
C19orf22	0.18025
SAFB2	-0.343625
KIAA0652	0.596375
KLRG1	-0.934
MS4A8B	3.01266666666667
FRAG1	1.127
KIAA1546	-0.1305
E2F4	-0.8664
CLEC4M	-0.899833333333333
BTBD14A	-1.15875
KIAA0999	2.0451
GYPA	-5.16616666666667
TAC1	3.3779
TRAIP	-1.92333333333333
KIAA0232	0.1818
ERCC8	-1.314375
GPX4	0.638875
KIAA0368	-0.306375
GPR157	-1.17316666666667
CTAGE4	1.854
C9orf30	-1.28966666666667
OR52A1	0.7535
HSP90B3P	-0.0335
ALG9	0.0342
BTBD10	1.29575
SDK2	0.075
BAIAP3	-0.47525
RABGGTB	-1.335875
ANKRD40	-0.38
KRT74	0.588
CALCOCO2	0.549
SNCA	-2.57725
TMSL8	-3.8625
C2orf53	-0.2635
ESRRB	-0.5075
ARHGAP26	-1.58625
TDRD9	-2.4935
HRAS	0.3365
KLRC4	-2.5455
JAGN1	-0.704333333333333
BSDC1	0.43975
RNF43	0.282
NDUFAF1	0.29175
PHF12	0.288333333333333
OR1L3	0.502
FOLR2	2.48658333333333
LYZL6	1.42416666666667
tcag7.1260	-1.603
WSB1	-1.622
PROS1	-0.2593
OSTN	0.3055
PSMB8	0.7445
SOCS4	-0.317875
DDIT4L	1.34025
MAS1	3.005
MGC34796	1.74925
CSHL1	-0.119666666666667
TBCCD1	0.439833333333333
ZBTB7C	0.241
AP2S1	-0.598
P15RS	-0.1491
VAT1	-0.5952
SHANK3	1.05733333333333
TUFM	0.0591666666666667
THEG	-0.61725
KRT34	-2.42633333333333
SGSM3	0.0625
TOMM22	-0.32
SOCS3	1.93016666666667
CPO	0.535
POP4	0.65775
BHLHB3	1.96975
MALL	1.76075
OR1B1	0.8375
PARK2	1.1295
GPR124	1.013625
LCE1E	-1.923
RUVBL2	-0.2095
CGRRF1	0.1001
ACPL2	0.76225
WNT10B	-2.03375
BAIAP2L2	-1.903125
ISCA1	0.647
C1orf125	-0.702375
RPAP1	-0.81
RAI16	-0.4955
RPL27	-0.386
NLRP9	-0.382
EPN1	0.466
LOC388610	-1.244875
SLC35A1	0.4012
GAL	-4.2805
SLC14A2	0.47625
RDH11	-1.9345
FAM138F	-0.6755
AUH	-0.07875
FLJ40243	-0.14125
C14orf129	0.051
MBD2	-0.179833333333333
ABHD14B	0.22975
PIGT	0.957875
ALS2CR4	-0.067125
ALAS1	-0.0945
FOXO1	1.44316666666667
CRLF3	-0.207
C20orf107	-0.361
FARS2	1.0205
CCDC28A	0.3885
NPHP3	-1.49875
OR13F1	-0.327
TSEN54	-0.6815
DEFB106B	0.0496
OR8B4	-0.1165
STH	0.9115
ZC3H14	-0.451
CBX2	0.285
TMEM49	-0.952
C6orf21	0.0925
FLJ20920	1.1895
CRTAP	0.371642857142857
DDX50	-0.52425
STYXL1	0.3335
BLVRB	-0.179
LOC147650	0.424
MMP24	0.1095
GRID1	2.025
BANF1	-0.395166666666667
CTAGEP	0.366
HMBS	-1.994
SLC25A24	0.387666666666667
C14orf50	1.113
MRO	1.12716666666667
SLC25A15	-1.6045
FAM84B	1.0408
TDP1	-1.48
C16orf78	-0.0355
C11orf57	0.270625
RFK	-0.36775
ZFYVE9	-0.087125
STCH	-0.0572999999999999
WIBG	0.42525
LOC283871	-1.07016666666667
GBA2	-0.6668
NDUFB3	-0.3465
HSD17B13	-0.5875
GRIN3A	1.56633333333333
FMNL1	-0.500166666666667
SEPT7	-0.1457
GNLY	3.6455
GRAMD1C	0.0975
ZNF165	-0.63875
USP38	0.409
FAM83A	-3.74516666666667
C14orf24	0.486666666666667
ARMCX3	1.787125
ARHGDIB	1.2685
AK1	0.362375
KIAA1045	0.0325
DNAJB13	-0.834333333333333
NEU2	1.525
HIST1H4B	-1.214
FAM20B	-0.0359
HES2	0.00950000000000002
FAM73B	-0.0855
LOC388381	-0.59325
INTS7	0.203545454545455
AMPH	4.7385
ZNF775	-0.134
UCKL1	-0.854333333333333
C10orf97	-0.189
C1orf161	-0.6165
ALDH1L1	-0.1215
FLJ39378	-0.16875
SLC23A1	-2.0895
RBM4B	0.7495
THAP4	0.4325
OGFRL1	0.267
KIAA0831	-0.227125
PPP1R15A	-0.319666666666667
C1orf96	0.458642857142857
C12orf11	-2.1795
BMF	1.2705
MAN1A1	0.01375
KIAA1600	0.7035
NLGN4X	0.1525
ALOX12	-2.2035
RB1CC1	0.1233
NEIL2	0.9687
EIF4E	-0.132409090909091
ABHD5	-0.04325
EXOC4	0.138
CIP29	0.0293333333333333
BATF2	0.718
SLC29A4	-0.86275
HTR4	-0.366
EMB	1.01975
TRAF6	1.1285
LMNB1	-2.6885
FAM19A5	-1.560125
SHE	2.79975
PIK3C2B	1.2045
C15orf15	-0.4872
USP15	0.108
TCEAL2	2.60125
C5orf39	-0.916
PTGER2	1.8305
SLC31A1	-0.6336875
IFT172	0.83
ADAM29	0.26125
GFOD1	0.2995
ST7L	-0.104333333333333
C15orf26	-3.11675
PKN3	-0.89775
CNTD1	1.87483333333333
COMMD1	0.55275
NTRK2	3.48490909090909
FOXN3	0.26675
MFGE8	-0.4866
PFKFB2	0.0763333333333333
TAS2R4	-0.13625
ENTHD1	1.6995
PRMT5	-0.9965
MGC16384	-1.836
LOC442229	-0.31675
TSKU	-0.489125
KRTCAP3	3.198625
PDLIM1	0.4916
KCNS2	1.29575
RNF126	-0.685333333333333
CEP63	-0.4445
CLIC4	-0.477
hCG_1990170	1.74975
ACR	-0.0423
KLK7	2.7485
ALOX5AP	3.516625
RIPK3	4.24125
TAS2R9	-0.2455
C19orf18	2.1075
BIRC6	-0.0129285714285714
ZNF16	1.4345
RFT1	-0.884
SLC8A2	-0.466
TACC1	0.649125
ITGAD	0.859
SAMHD1	1.0235
SH3PXD2B	1.7089
EPC2	1.069
C20orf85	-0.2755
ATP13A2	1.23066666666667
KRT4	0.253125
CAPNS1	0.456
MDM2	-0.649
PCDH20	2.52575
KCNK9	0.0945
OR2C1	0.743
KLHDC3	-0.378166666666667
IPPK	0.9015
EFHD2	0.13625
GALR3	1.1645
NBEA	1.17616666666667
ABCA6	3.9045
CLDN3	2.013
AKT2	-0.667857142857143
EGFR	-1.1923
RBM16	0.154125
ZDHHC3	-0.0405
SLC25A4	-0.0103333333333333
CYB5B	-0.249333333333333
CPXM1	1.4835
NDRG1	-1.40838461538462
FLJ43826	0.3655
OR5L2	-0.417
FARP2	0.8284
MRPL46	-0.607416666666667
LDHAL6B	-0.971666666666667
MAPKAPK3	-0.455333333333333
NCAM2	2.398
PRKD2	0.805333333333333
ZFP36L1	1.1296
CYSLTR1	0.1355
OR4C3	0.42525
HIST1H2AJ	1.503
CCNB2	-2.79588888888889
ZNF10	-0.26825
TMEM175	0.5575
FAM134A	1.00633333333333
TIGD4	-1.0015
PCNP	-0.43
MGC39715	1.111
LQK1	-0.74325
CREB1	0.7767
TMPRSS3	1.91125
C4orf32	0.92725
LAT	-1.0425
KCNA3	-0.822
SKIV2L2	-0.3675
ROPN1B	-0.33
tcag7.23	-0.678
CDT1	-3.040875
ZHX2	0.8675
CD28	-2.6965
ZNF624	1.19075
SEPT2	0.255916666666667
SOHLH2	-0.303375
MCOLN3	-0.39675
UNQ1945	0.348
MASP2	-1.4955
ZNRF3	-0.4897
GPATCH3	-0.0575
AGL	1.707875
QRICH2	-2.0475
PSD4	0.937833333333333
CCNB1IP1	-1.98925
ENPP7	-0.167
OBFC1	-0.04625
KCNG3	-2.87075
C14orf79	0.223416666666667
ENPEP	1.76533333333333
SCT	1.3025
SKI	0.745
SEC61G	-1.106
CAPN11	0.39175
ATXN7L3	-0.00325
DBNDD1	-0.327166666666667
FAIM	0.39975
ANKRD36	-1.0245
GABRP	4.05466666666667
TACSTD2	3.12066666666667
EIF3J	-0.54
PPP2R2A	-0.2805
TEKT4	-0.0355
PVALB	-3.29216666666667
F10	-2.05866666666667
FAM134C	1.316
COMP	4.657375
EFCBP1	-1.893125
SCLT1	0.08575
TAL1	-1.2146
ACSL1	0.04975
ABCC5	0.412583333333333
ABL1	-0.423722222222222
RBBP7	0.318333333333333
PTPRG	-1.112125
NCOR1	0.0311
SPINK4	0.782833333333333
TXNRD1	-1.6989
TNRC15	0.195625
C9orf138	0.423
UBE2H	1.2285
BRDT	0.904166666666667
C8orf31	-0.52775
CCNE2	-1.88809090909091
SLC6A8	-1.611375
CALCR	-3.14225
PPP1CB	1.2065
ABHD8	0.386
ARF5	0.6409
SLC24A4	0.53125
CCT3	-0.2855
ZNF121	0.0355
SLC3A2	-1.0976
OR13A1	0.3215
SLC5A10	-0.66775
RAD50	0.563875
IER5	0.456375
MTHFD1L	-2.46225
MBTPS2	0.518
MVK	-0.524
NCL	-0.1719
PSMD10	-0.1255
MOBP	-0.00675000000000003
FLJ32894	-1.8565
HRH1	0.123166666666667
C5orf30	1.39575
NUDT16L1	0.9557
RASGRP3	4.17983333333333
PRKRIP1	-0.4462
CCDC75	-0.43775
LOC253970	0.797
KIAA1239	-0.946333333333333
MED21	-0.60125
SYT11	0.6465
NTSR2	-0.417
EGFL11	-0.338
CXorf59	-0.2375
OR2A25	-0.107
SPTBN2	-1.8885
LRMP	-1.84083333333333
RNF111	0.1325
PTH	-1.4125
LOC619208	0.315
KIAA0895	0.73
RANBP5	-1.097125
P2RY10	1.49316666666667
NME5	4.94833333333333
DDX21	-1.38
LRSAM1	0.22
HDAC11	1.063
VMO1	1.5625
NOLA2	-0.0635
ADAR	1.139
MTO1	-1.379
SF4	0.4
P2RX1	-0.232
HBM	-0.00449999999999999
EN2	1.3695
C14orf172	-0.2835
TM9SF2	0.4375
INHBE	-1.293
TCTE3	-0.294333333333333
TOX2	-2.8285
CTAGE3	-0.190625
HBB	4.078
MED15	-0.98
CASR	-0.1915
C6orf66	-1.52916666666667
MTPN	-0.584125
UNC50	-0.01025
C21orf33	0.36625
IRF2	0.854125
PGR	2.70333333333333
GPR84	2.62475
CROCCL1	-2.7935
SRPX	-1.203
BRE	0.273333333333333
FGF10	1.776
SDC3	1.6775
ZRSR1	0.895166666666667
DKFZP434P211	-0.432375
SOX6	-1.718
RPUSD2	-0.005
C14orf173	-0.448916666666667
MAPK11	-0.0166666666666667
TBC1D22A	0.304
FAM123A	-1.381
COL4A6	0.916833333333333
TOMM70A	-0.475
NAB1	-0.162
MGC16385	-0.07875
TSPAN18	-0.200666666666667
MED31	-0.53775
PLG	-3.149
CAPSL	1.249
ZNF532	1.0602
ASB14	-0.510666666666667
CA8	0.117
NUDT16P	2.26383333333333
SLFN11	-0.967
LRRIQ2	-0.48375
NOL7	-0.373333333333333
BRMS1L	-1.047375
JARID1A	0.171666666666667
PANK2	-0.2615
ICAM3	0.0305
MDS1	-0.2325
TAF8	-0.71925
RNF139	0.77725
ZNF594	0.1985
ADAM8	2.15975
SFTPC	0.289875
MAN2B2	1.200375
RGS12	0.4735
EIF1AY	-4.38241666666667
LRRIQ1	0.615166666666667
GPR150	1.3435
CCDC21	-0.9735
PRRG3	0.802
SAA4	-2.965
RAPGEF5	2.344375
ZCCHC2	-0.614083333333333
MGC39372	-0.5375
PPP4R2	0.0433333333333333
CDCA2	-2.1525
OR4D5	0.351166666666667
PTGFRN	2.2939
SIGLEC5	1.724
C19orf61	0.0691666666666667
NMUR2	0.4035
KIAA1586	-0.587666666666667
DAGLA	0.8225
CHCHD6	-0.06125
GPR32	1.1455
NEUROD6	0.0266
SLC2A4RG	0.0294375
CA5B	-0.46775
FBXL3	1.185
MPHOSPH9	-1.642
HMG2L1	0.1675
HCN4	1.04333333333333
CEACAM19	-0.436
SH2D4B	-0.1328
HFE2	-1.203
TGM4	1.42025
LYPD2	0.599666666666667
TBC1D15	0.159
MRPS21	0.3537
NONO	-0.3382
CLEC5A	1.911375
ITCH	-0.0602
MGAT3	-0.963166666666667
MBP	-0.7655
RPP25	-1.06725
SOSTDC1	-0.05075
HRC	-1.16675
TRIM48	-0.2005
TMEM133	0.09775
ECEL1P2	-1.424
HOXC11	-1.9235
DOK5	-0.079
HELZ	0.455166666666667
LOC348180	-0.4845
MGC33894	0.04925
ADRB3	0.0375
DMD	0.192636363636364
PTRH2	-1.0225
MPEG1	3.56383333333333
NDUFA12	-0.0756666666666667
KRTAP2-4	-0.02075
STAMBPL1	-1.13333333333333
ADCY2	-1.076
UNQ6125	0.4025
KLHL20	0.646666666666667
SRM	-1.584
OTC	-0.40525
TMIE	-0.133166666666667
SNX8	0.00775
LIPK	0.646
CHURC1	-0.68825
KLC2	0.280166666666667
HDAC1	-0.241333333333333
FAM128A	0.491833333333333
FNDC3B	0.5077
MTCP1	-0.479166666666667
WFDC10B	0.1163
PCDHGB3	0.7975
ATRNL1	-0.8284
CAV2	-0.288125
MED26	0.269833333333333
DUS1L	0.12975
CHRM3	-1.79975
NEK9	0.639
WARS2	0.9085
TBX22	1.4565
TOMM40	-0.972
RP6-213H19.1	-1.33716666666667
TUBGCP5	-0.60525
IGSF6	5.67025
TPPP	1.96466666666667
UNQ6190	-1.1025
GSTM5	1.738125
BTD	0.921833333333333
PDCD1LG2	0.560833333333333
SNRPB2	-0.538666666666667
ERICH1	-0.627375
APOA4	-1.56328571428571
HOXA11	-2.2405
NARG1	-0.899875
MKX	-0.856333333333333
RAB28	-0.133857142857143
PKP3	1.2865
SH3GL2	0.78975
CTSO	4.00125
RPN2	0.138125
IL28RA	0.466333333333333
SFMBT1	0.0255
WDR57	0.329875
FER1L3	1.03466666666667
HSF5	-1.08025
TTC9B	0.843
C4BPA	-3.82166666666667
ALB	-4.02842857142857
SORBS3	0.05675
UPF2	-0.1765
JPH1	-0.5345
AGBL2	-0.51375
DOPEY1	0.7345
TERF1	-0.169416666666667
KIF22	-1.14516666666667
NINJ1	1.34225
SEC61A2	-1.03433333333333
HIST1H1D	-1.94416666666667
SFXN4	-0.219875
UCP3	0.1063
ZNF703	0.883666666666667
MYL6B	-0.8945
TREM1	1.754
OR52E6	-0.3755
CKMT2	1.6885
HLA-C	2.40725
SLC13A3	-2.15766666666667
TIMP4	-0.995
SLIT2	2.90425
RSF1	0.209777777777778
LONRF1	-0.620142857142857
MON1A	-0.588666666666667
CACNG6	-1.56583333333333
DPPA4	-5.20966666666667
ZSWIM3	0.30625
ZNF804A	1.03033333333333
CCIN	1.69125
SLC25A31	-1.526
KCNMB4	-0.39525
RABL5	0.85875
GALNS	-0.4338
STX6	0.731
HIST1H1C	-3.01133333333333
CIDEB	0.027125
CASP4	0.2915
PDK3	0.3365
KCNJ11	2.9585
TPR	-0.09375
ZSCAN20	-0.7
MTX2	-0.29375
HIST1H2BH	-1.1455
LOC283767	-0.24825
LYRM7	-0.856555555555556
BRD3	0.6345
HIST1H2BO	-1.3655
MAGEB10	1.7485
SLC45A1	2.835
SERPINA3	2.486
KIAA0143	1.2845
KCNJ16	1.40983333333333
KRT79	0.059
FABP2	-0.744666666666667
NUT	-0.358
ZNF57	-0.06025
FBXL4	-0.000874999999999987
CLEC9A	2.755
UGT8	-0.944833333333333
BMP2K	0.00725
MAPK4	-3.47575
SLC25A23	-0.9714
HINT1	-0.1688
KRTAP13-1	0.048
SFXN5	0.9753
CHCHD2	0.085
FAM3D	2.7375
NDP	-1.91225
RHOBTB1	-0.188833333333333
SLC4A4	-2.46928571428571
RPL38	-0.27875
HTF9C	-0.9775
AP2A2	0.9
ZBTB46	0.03
MAP7D1	0.313375
AOX1	-1.43983333333333
CYR61	0.98725
DTNA	0.712769230769231
JRKL	0.3605
TMOD3	-0.091
EEA1	0.1001
ADCK5	-0.62875
IL1R1	1.29733333333333
KLK3	1.31614285714286
HRSP12	-1.40425
KTN1	-0.53775
LOH11CR2A	1.3234
RELL2	-1.22475
MAB21L1	2.36175
C20orf59	-1.55783333333333
PHKB	-0.02625
ADAM2	0.151333333333333
TBC1D8B	1.85033333333333
FAM13A1	-0.8074375
LAPTM4B	-1.19033333333333
LCN8	0.159
TMEM147	0.772
SYT4	0.2395
XPO7	-0.666
C9orf62	1.224
GPR75	0.252
TRIM5	0.41575
APOC1	0.633666666666667
RNASE4	0.546666666666667
PARD6B	-1.858125
ARID1A	0.554666666666667
TPD52L3	-0.469857142857143
RRAGB	1.79083333333333
RCN2	-0.703333333333333
HIST2H2BE	-0.5299375
STARD7	-0.0815
SHMT2	-1.22675
KIAA1751	-0.722666666666667
MLYCD	1.39
LOC162632	-0.9294
UQCRH	-1.1685
RP11-217H1.1	0.7279375
SDHA	-0.448
NCLN	-0.122
ZNF17	0.930333333333333
RCBTB2	-1.1445
VEGFB	-0.2147
RP4-747L4.3	1.2895
COLQ	-0.7459
MPN2	-1.51066666666667
DRG2	0.07975
KLRB1	6.614
ALPK2	-3.9965
DNASE2B	4.17425
FLJ23834	-0.0105
AXUD1	1.09833333333333
SAFB	-0.2169
NSUN4	0.0495
RFX2	-0.0503333333333333
MAPK8IP1	-0.3425
FANCD2	-1.73878571428571
ANKZF1	-1.44066666666667
C19orf50	-0.040875
DUSP8	1.183625
SENP5	-0.474625
NFKBIL2	-0.85525
LBR	-1.085875
IGFL1	-0.749
LZTS2	-0.270375
IL2RG	-0.47675
CCDC51	-0.61975
KLF3	-0.2755
ANKRD37	-1.77925
KCTD14	-0.4605
FZR1	0.59375
SLC44A4	3.6118
ESPL1	-1.81675
GMPR2	-0.6776
TBC1D19	-0.369833333333333
ERGIC1	0.379925925925926
ERBB4	3.0417
TSPAN32	0.843666666666667
MAP4	0.064875
GPHN	-1.1585
SLC6A2	-0.513125
HIVEP1	0.42875
DFFB	-0.4535
EIF4EBP2	0.21275
DMRT1	-0.463666666666667
HSPB6	0.00225
IER2	0.840666666666667
AIFM1	0.023
WWC2	0.4125
MRPL4	-0.3005
FLJ21062	1.835
EPB41L4A	1.95608333333333
SH2D6	-2.01275
TAF4B	-1.1425
GAL3ST3	0.0915
MALT1	-0.936
RTDR1	-0.29725
ARVCF	-0.37775
MEX3B	-0.566
FBXO16	1.2765
KIF7	-0.5095
C1QC	4.02683333333333
ZNF783	-0.798833333333333
ZNF85	0.0205
MMP13	3.4305
KIAA0329	0.21225
RTP3	-4.3775
ZBED3	-0.43025
CLGN	-1.60525
SLC25A37	-1.326625
hCG_18290	-0.59225
OR5AS1	0.334
SMARCC2	0.663916666666667
FAM109A	0.4135
CCDC12	-0.8975
USF2	0.9624
DEPDC7	-2.15475
C20orf24	-0.831333333333333
JMJD3	0.342
DSP	1.7235
SLIC1	0.53825
FAM20A	1.155
