Hybridization REF	TCGA-BH-A0HX-01A-21R-A056-07
CPNE4	-1.5245
GTPBP1	-0.5525
RAB33B	0.669166666666667
ALDOC	-0.852125
ZNF212	-0.7245
NUDT1	-0.816333333333333
RFPL2	0.0875
ZNF83	-0.327333333333333
GDPD5	-0.838625
PDCD4	0.4864
CEP350	0.07325
OR10A2	0.23725
CST7	1.338
CIAO1	-0.823
SELL	0.74925
OR8J3	0.224
LTBP4	0.102833333333333
SIRT6	-0.2795
CCL19	4.26225
PPIL1	-0.837833333333333
GBP7	-0.5195
STK17A	-0.5806
ABR	0.366
OR9G1	0.1895
FOXE1	-0.8485
CNGA3	-0.1735
GML	0.4945
CD38	-3.07275
ZDHHC6	-0.1325
NEFH	-2.77675
CTDSP2	0.623333333333333
PGBD5	-0.610833333333333
CCNY	0.204714285714286
RMND5B	0.678333333333333
ZNF257	-2.3885
FLJ22167	0.590125
EXOSC7	-0.314
ROR2	0.561375
MAOA	0.19625
TNNT3	1.40683333333333
GYPC	-1.10525
C7orf33	0.6185
PLIN	3.8525
LOC90826	-0.498
RNF4	-0.0752
F8A1	0.583833333333333
PLEKHG4	-0.897
GRB2	0.9985
HIST1H2AD	0.98875
DUS3L	-0.647
EIF1	-0.398833333333333
RP5-1077B9.4	-1.14333333333333
FPGT	1.895
GDF10	0.929666666666667
COQ9	0.02725
GCC2	-0.031
RARRES3	1.855625
PLXNA1	-0.4698
KIAA0100	0.4303
PMF1	-0.25975
FNDC1	5.39875
HS2ST1	0.1115
CRELD2	1.02675
C8G	-2.491
CD82	0.429
LIM2	-1.786
UNQ6490	-0.599
MMP16	-0.33875
DRD3	-0.26875
C5orf26	-0.26275
C11orf73	-0.84975
PTP4A2	-0.072375
OR4M2	0.593
HPCA	-0.993
SEC14L1	-0.6375
CHFR	-0.232375
EMILIN1	1.065625
NDUFS4	0.153
COL18A1	0.23225
PDZD3	0.0672
C9orf16	0.158333333333333
ERBB2IP	0.157
EMX2	3.98175
FUS	-0.8745
TF	-4.3466
CLCN4	-0.697833333333333
CXorf56	-0.23275
C11orf72	0.05875
ELAC2	-0.128
NPR1	-0.40675
ASS1	-2.22933333333333
USP42	0.099875
POLR2J	-0.6285
SEC23IP	0.559
UQCRC1	0.3705
LOC729603	-1.504
C1orf71	-0.2035
POLG	-2.0355
ADAM23	-3.695
TFR2	-1.611
RICTOR	-0.7028
MGC39606	0.455
C19orf55	-0.3205
SNAPC1	-1.79833333333333
GNA11	0.64775
CCDC52	-0.095
FSIP1	6.5615
UPF3A	-1.45
IGSF11	-1.55866666666667
LAGE3	0.1185
CHST6	-1.1465
UNC13B	1.2735
TTLL4	-1.504625
ZNF687	0.56075
SDC2	0.1033
COX7A2	-0.12225
LAMB4	0.02625
FAM24A	0.238
LRRTM3	-1.32833333333333
GPHB5	0.2855
OR4C13	0.3685
EIF3EIP	0.0530714285714286
HABP4	-0.179
TMEM125	3.38525
CNTN2	-0.291125
ASNSD1	-0.4315
FUT4	-0.543125
ACF	-4.442
LOC158381	0.243
CDH8	-0.162
AGPS	-1.31116666666667
C4orf18	5.145
PECI	-0.337666666666667
UNG	-0.190625
GSTP1	-2.47275
DCUN1D5	-1.9185
DKFZP564J0863	-1.79675
SLC9A3R1	2.32
BCDO2	-0.997875
CHMP7	-0.09725
REM2	0.8375
DNHD1	-0.722857142857143
FKBP4	0.2375
ZNF350	1.49775
MGC11102	0.39825
BST1	0.91075
KISS1R	1.108
NCR2	0.605
DEFB125	0.391
UBE2W	1.961375
KRT15	2.652625
C10orf99	0.1895
SCN11A	0.445857142857143
GFI1	-2.27175
RDHE2	2.89883333333333
FHL1	0.0683333333333333
OSGEP	-1.09866666666667
GATA1	-3.898
SMC6	-1.49975
TTTY14	-1.41425
LPIN3	0.3795
RPL4	-0.7725
RBPMS	0.0275
PRPF3	-0.557166666666667
EMR1	-2.462
SPATA19	0.1835
XCR1	0.6975
IRX3	0.7568
RBM6	-0.72425
KLF4	-0.2665
UNC5CL	-1.60175
SEBOX	0.041
BTK	-0.95825
KRCC1	1.34175
C6orf27	0.394
SYTL5	-2.8805
PRND	3.917
LOC653319	-1.5685
PIGL	-0.386125
HUS1	-0.492833333333333
SFRS6	-1.26733333333333
C17orf77	0.796
UIMC1	-0.301
FXYD2	-1.9408
LOC283152	0.0555
ZNF667	-1.1635
ZCCHC12	0.147
TFEC	2.8685
ATP7B	1.0005
POLD2	-0.276833333333333
RG9MTD1	-0.23625
ACOT2	0.285
HIST1H4I	-0.506
PPARGC1A	-2.3436
ETFA	-1.5181
POLRMT	-0.54175
ZNF146	-0.17625
MIA2	-0.9175
KLHL6	-1.19266666666667
HOXB5	-0.556
NENF	0.165666666666667
CUGBP1	0.031
PRSS22	0.731666666666667
CASC4	1.552
CUL4B	0.0213
CENPJ	-1.8323
PITX1	-0.7315
FLJ31033	0.8625
CELSR3	-1.26833333333333
ZNF568	-0.3175
ITSN1	-0.541666666666667
EHBP1L1	-0.601
C19orf2	-0.75325
DCTN1	0.40525
LIN28B	-3.6815
TNKS2	-0.136
C1QBP	-0.47275
CADPS2	1.82775
SRMS	0.63675
GJA9	0.346333333333333
MGC24975	-1.67466666666667
TRIM45	-0.637
TSP50	0.27025
TCP1	-2.18475
TMED7	0.5552
CMA1	0.959
CENPL	-1.2315
PTCRA	-0.1195
FST	-2.90925
VWCE	-4.4275
PAWR	-0.21475
ABCC12	1.5925
LDLR	-1.1933
ASTN2	1.9757
LOC441212	-0.267625
GPATCH8	-0.188
TANC2	0.922
KIF4A	-1.714
C18orf18	-1.50875
PGM1	-1.3305
KIAA0258	0.96675
CPD	1.166
SNCAIP	0.013
DCT	-4.71866666666667
HLA-DOA	2.67263636363636
OR11L1	0.471
UPK1B	-1.2508
DNAJB4	-0.416875
UGT1A8	-0.95725
HIST1H4L	-0.902
PECR	-1.813
HSPA2	2.456
WFIKKN1	-2.37
SERP1	0.4835
SYDE2	2.345
TACR2	0.6665
NUP85	0.1275
CD177	-0.726833333333333
LGR5	-2.7495
PIGG	0.0923333333333333
PTHR1	-1.7475
RAB5A	-0.1552
FLJ13224	-0.3055
USP9Y	-2.435
C7orf53	-2.034
LRP1B	3.98975
XAF1	1.1367
ABCG8	-0.303
ANKDD1A	-0.543166666666667
DAND5	-2.719
SPAG6	0.0891666666666667
LINCR	-0.22225
ZDHHC22	-1.675625
CCDC60	-0.994
THOC7	-1.52183333333333
TCTA	1.6679
OR8K3	-0.15075
NY-REN-7	-0.79325
B2M	1.00933333333333
C6orf141	-0.94725
LPPR4	2.77875
SQLE	0.718125
SEPHS1	-1.12875
BTBD14B	0.338857142857143
PLRG1	-0.28425
SPG7	-0.46525
ZNF614	-0.588666666666667
PARD6G	0.601
INPP5B	-1.0879
GRPEL2	0.046875
PPID	-0.7043
TRIM56	-0.70325
UBE2J1	-0.995625
IL20RA	3.579
LOC387856	1.259
C1orf107	1.06791666666667
UTS2R	1.09025
C19orf22	-0.6025
SAFB2	-0.01825
KIAA0652	-0.039125
KLRG1	0.156
MS4A8B	4.16733333333333
FRAG1	-0.631
KIAA1546	0.16525
E2F4	-1.3938
CLEC4M	0.524833333333333
BTBD14A	-1.3305
KIAA0999	-0.0048
GYPA	-3.40633333333333
TAC1	3.9661
TRAIP	-0.9695
KIAA0232	0.4877
ERCC8	-1.451625
GPX4	0.18575
KIAA0368	0.388125
GPR157	-0.689666666666667
CTAGE4	0.408
C9orf30	-1.71133333333333
OR52A1	0.1505
HSP90B3P	0.5495
ALG9	-0.7856
BTBD10	0.3875
SDK2	-0.48025
BAIAP3	1.697
RABGGTB	-0.091125
ANKRD40	0.542166666666667
KRT74	0.385
CALCOCO2	1.02385714285714
SNCA	-3.411
TMSL8	-3.372375
C2orf53	0.024
ESRRB	-0.758
ARHGAP26	-1.313125
TDRD9	-3.26525
HRAS	0.507333333333333
KLRC4	-2.7885
JAGN1	0.161666666666667
BSDC1	0.478
RNF43	1.5785
NDUFAF1	-0.6965
PHF12	0.55775
OR1L3	-0.38125
FOLR2	2.06391666666667
LYZL6	-0.180166666666667
tcag7.1260	-2.0605
WSB1	-1.33383333333333
PROS1	-0.7774
OSTN	0.405
PSMB8	0.05875
SOCS4	-0.970125
DDIT4L	5.42275
MAS1	-0.3285
MGC34796	2.04575
CSHL1	0.282166666666667
TBCCD1	0.2425
ZBTB7C	0.0515
AP2S1	-0.672375
P15RS	-0.4356
VAT1	-0.3459
SHANK3	1.25683333333333
TUFM	0.249
THEG	-0.88325
KRT34	-2.76
SGSM3	0.791875
TOMM22	-0.43525
SOCS3	0.968166666666667
CPO	0.753
POP4	0.33175
BHLHB3	0.90325
MALL	1.3815
OR1B1	0.0535
PARK2	0.5705
GPR124	0.479625
LCE1E	0.291
RUVBL2	-0.28725
CGRRF1	0.1681
ACPL2	0.3525
WNT10B	-1.986375
BAIAP2L2	-2.15
ISCA1	0.3015
C1orf125	0.297375
RPAP1	-1.84425
RAI16	0.129833333333333
RPL27	-0.51825
NLRP9	-1.0095
EPN1	0.1455
LOC388610	-1.758625
SLC35A1	0.1182
GAL	-3.555
SLC14A2	-0.02575
RDH11	-1.16266666666667
FAM138F	-0.4425
AUH	-0.20275
FLJ40243	0.426
C14orf129	-0.259833333333333
MBD2	-0.711166666666667
ABHD14B	0.486875
PIGT	0.56125
ALS2CR4	-0.92225
ALAS1	0.2939
FOXO1	1.10416666666667
CRLF3	-0.140625
C20orf107	0.9925
FARS2	1.183
CCDC28A	-0.8315
NPHP3	-1.40975
OR13F1	0.4145
TSEN54	0.751
DEFB106B	0.2075
OR8B4	0.788
STH	0.5195
ZC3H14	-0.92475
CBX2	0.2925
TMEM49	-0.416
C6orf21	0.531
FLJ20920	0.91
CRTAP	-0.0528571428571429
DDX50	-0.2435
STYXL1	0.22325
BLVRB	0.514166666666667
LOC147650	-0.529666666666667
MMP24	0.33975
GRID1	1.69916666666667
BANF1	-0.168666666666667
CTAGEP	0.635
HMBS	-2.27425
SLC25A24	0.171666666666667
C14orf50	0.57825
MRO	0.802333333333333
SLC25A15	-1.41475
FAM84B	2.6791
TDP1	-1.7645
C16orf78	0.251333333333333
C11orf57	-0.359375
RFK	-0.257
ZFYVE9	-0.31275
STCH	-2.3464
WIBG	0.316
LOC283871	0.3945
GBA2	-0.2339
NDUFB3	-0.575
HSD17B13	-0.68225
GRIN3A	1.04166666666667
FMNL1	-0.844333333333333
SEPT7	-0.23
GNLY	2.5515
GRAMD1C	1.4235
ZNF165	-0.739
USP38	0.75775
FAM83A	-3.00166666666667
C14orf24	2.21775
ARMCX3	1.032625
ARHGDIB	-0.627333333333333
AK1	0.219
KIAA1045	-0.55
DNAJB13	-0.773666666666667
NEU2	-0.5785
HIST1H4B	-0.667333333333333
FAM20B	-0.4784
HES2	0.143714285714286
FAM73B	-0.14
LOC388381	-0.7595
INTS7	-0.889818181818182
AMPH	2.1035
ZNF775	0.16375
UCKL1	0.017
C10orf97	-0.22675
C1orf161	-0.5905
ALDH1L1	-1.36075
FLJ39378	-0.129375
SLC23A1	-2.405
RBM4B	-0.16875
THAP4	0.289166666666667
OGFRL1	0.09475
KIAA0831	-0.433
PPP1R15A	0.239833333333333
C1orf96	-0.387714285714286
C12orf11	-2.28625
BMF	-0.1555
MAN1A1	-1.277
KIAA1600	0.401833333333333
NLGN4X	-0.47075
ALOX12	-2.17716666666667
RB1CC1	0.8036
NEIL2	0.4415
EIF4E	0.112636363636364
ABHD5	-0.675
EXOC4	0.158666666666667
CIP29	-0.112166666666667
BATF2	-0.762
SLC29A4	-0.655
HTR4	0.15325
EMB	-1.692
TRAF6	-0.1595
LMNB1	-1.32925
FAM19A5	-0.958625
SHE	2.28925
PIK3C2B	0.72875
C15orf15	-0.6993
USP15	-0.1381
TCEAL2	1.283
C5orf39	-0.849666666666667
PTGER2	4.27425
SLC31A1	-0.51425
IFT172	0.2925
ADAM29	0.2365
GFOD1	-0.092
ST7L	0.827166666666667
C15orf26	-2.85675
PKN3	-1.4415
CNTD1	3.65333333333333
COMMD1	-0.185375
NTRK2	2.93566666666667
FOXN3	-0.250125
MFGE8	0.3715
PFKFB2	1.04966666666667
TAS2R4	-0.3915
ENTHD1	0.173166666666667
PRMT5	-0.842875
MGC16384	-1.4145
LOC442229	-0.07
TSKU	1.203625
KRTCAP3	3.03775
PDLIM1	0.1729
KCNS2	0.37575
RNF126	-0.8185
CEP63	0.298375
CLIC4	0.10475
hCG_1990170	-1.35375
ACR	0.5198
KLK7	-0.2755
ALOX5AP	2.949125
RIPK3	3.16225
TAS2R9	0.016
C19orf18	-0.1595
BIRC6	-0.477571428571429
ZNF16	1.2595
RFT1	-0.06825
SLC8A2	-0.4065
TACC1	1.93725
ITGAD	1.58466666666667
SAMHD1	0.9655
SH3PXD2B	0.926
EPC2	0.3935
C20orf85	2.732625
ATP13A2	0.944333333333333
KRT4	0.195125
CAPNS1	0.404
MDM2	-0.271583333333333
PCDH20	2.101
KCNK9	1.003
OR2C1	-0.543
KLHDC3	-1.06116666666667
IPPK	1.0455
EFHD2	-0.316
GALR3	1.15175
NBEA	1.08766666666667
ABCA6	2.4842
CLDN3	2.5215
AKT2	0.1035
EGFR	-2.8254
RBM16	-0.558625
ZDHHC3	0.3842
SLC25A4	0.972666666666667
CYB5B	-1.67333333333333
CPXM1	-1.34325
NDRG1	-1.00176923076923
FLJ43826	0.30525
OR5L2	-0.0756666666666667
FARP2	0.3337
MRPL46	-0.545166666666667
LDHAL6B	0.237666666666667
MAPKAPK3	0.237833333333333
NCAM2	-3.40325
PRKD2	0.3735
ZFP36L1	0.3223
CYSLTR1	-0.785
OR4C3	0.04275
HIST1H2AJ	2.892
CCNB2	-2.379
ZNF10	-0.554
TMEM175	0.584
FAM134A	0.907666666666667
TIGD4	0.823
PCNP	-0.5595
MGC39715	0.16875
LQK1	-0.205
CREB1	0.4399
TMPRSS3	-1.97925
C4orf32	0.70675
LAT	-2.03725
KCNA3	-0.1545
SKIV2L2	-0.73925
ROPN1B	-2.98975
tcag7.23	-0.575
CDT1	-3.329875
ZHX2	1.239375
CD28	-2.86825
ZNF624	1.22975
SEPT2	-0.398166666666667
SOHLH2	-1.808875
MCOLN3	-0.10725
UNQ1945	0.5125
MASP2	-1.643
ZNRF3	0.1208
GPATCH3	-0.0695
AGL	3.35575
QRICH2	-0.321
PSD4	1.315
CCNB1IP1	-1.9115
ENPP7	0.2
OBFC1	0.04
KCNG3	-0.79325
C14orf79	0.980083333333333
ENPEP	2.02066666666667
SCT	1.7915
SKI	0.818
SEC61G	-0.70075
CAPN11	0.543
ATXN7L3	-0.31025
DBNDD1	-0.113666666666667
FAIM	0.10025
ANKRD36	-0.605
GABRP	0.5915
TACSTD2	1.90666666666667
EIF3J	-0.76575
PPP2R2A	-0.8765
TEKT4	-0.119666666666667
PVALB	0.381166666666667
F10	-2.93533333333333
FAM134C	0.7879
COMP	4.45675
EFCBP1	-2.771375
SCLT1	0.866
TAL1	-1.0577
ACSL1	1.485
ABCC5	1.57883333333333
ABL1	-0.390888888888889
RBBP7	0.244083333333333
PTPRG	-0.737625
NCOR1	0.0392
SPINK4	-1.85783333333333
TXNRD1	-0.7705
TNRC15	0.719875
C9orf138	1.381375
UBE2H	0.5195
BRDT	1.24583333333333
C8orf31	-0.14325
CCNE2	-0.583363636363636
SLC6A8	-1.5305
CALCR	-3.7915
PPP1CB	0.341916666666667
ABHD8	-0.56275
ARF5	0.2071
SLC24A4	0.5945
CCT3	0.05025
ZNF121	-0.200375
SLC3A2	0.0997
OR13A1	0.6735
SLC5A10	0.84425
RAD50	0.639
IER5	-0.0138749999999999
MTHFD1L	-2.1995
MBTPS2	0.20225
MVK	0.07325
NCL	-0.4113
PSMD10	-0.31275
MOBP	0.596375
FLJ32894	-0.726
HRH1	-0.5005
C5orf30	2.066
NUDT16L1	0.8502
RASGRP3	3.70066666666667
PRKRIP1	-0.861
CCDC75	0.6425
LOC253970	0.675
KIAA1239	0.301
MED21	-1.0745
SYT11	1.03791666666667
NTSR2	0.086
EGFL11	1.491
CXorf59	0.687
OR2A25	0.044
SPTBN2	0.3815
LRMP	-1.99683333333333
RNF111	0.369
PTH	0.2325
LOC619208	0.364166666666667
KIAA0895	1.21025
RANBP5	-1.228875
P2RY10	0.654833333333333
NME5	4.34566666666667
DDX21	-0.705
LRSAM1	1.407
HDAC11	1.65583333333333
VMO1	1.62925
NOLA2	0.409
ADAR	0.448666666666667
MTO1	-1.473
SF4	-0.0248333333333333
P2RX1	-0.157
HBM	-0.189
EN2	1.303
C14orf172	-0.0845
TM9SF2	0.2706
INHBE	-1.78633333333333
TCTE3	-0.634166666666667
TOX2	-2.24875
CTAGE3	1.466625
HBB	4.041
MED15	-0.720666666666667
CASR	0.40775
C6orf66	-2.14466666666667
MTPN	0.402
UNC50	-0.20275
C21orf33	-0.14425
IRF2	0.8675
PGR	-0.682833333333333
GPR84	2.65175
CROCCL1	-2.29925
SRPX	-1.56225
BRE	0.535833333333333
FGF10	0.5995
SDC3	-1.61816666666667
ZRSR1	0.623666666666667
DKFZP434P211	-0.345625
SOX6	0.0955
RPUSD2	-1.29975
C14orf173	-0.366666666666667
MAPK11	-0.0308333333333333
TBC1D22A	0.8675
FAM123A	-1.339
COL4A6	-3.9155
TOMM70A	0.32725
NAB1	-0.738625
MGC16385	-0.106375
TSPAN18	0.394166666666667
MED31	0.0155
PLG	-0.60375
CAPSL	3.203
ZNF532	0.233
ASB14	-0.426
CA8	0.15325
NUDT16P	1.04616666666667
SLFN11	-1.142
LRRIQ2	0.275
NOL7	-0.457833333333333
BRMS1L	-0.560125
JARID1A	0.518166666666667
PANK2	0.06625
ICAM3	-0.74925
MDS1	-0.25675
TAF8	-0.6495
RNF139	0.956
ZNF594	-0.195333333333333
ADAM8	1.2035
SFTPC	-0.686375
MAN2B2	1.539625
RGS12	0.7120625
EIF1AY	-5.08025
LRRIQ1	0.688166666666667
GPR150	1.33875
CCDC21	-1.03766666666667
PRRG3	0.66425
SAA4	-4.1615
RAPGEF5	1.937625
ZCCHC2	-0.156416666666667
MGC39372	0.3415
PPP4R2	-0.113666666666667
CDCA2	-2.56
OR4D5	0.094
PTGFRN	0.5428
SIGLEC5	2.17133333333333
C19orf61	0.099
NMUR2	0.1825
KIAA1586	-1.75983333333333
DAGLA	-0.377333333333333
CHCHD6	0.54175
GPR32	0.184
NEUROD6	0.357
SLC2A4RG	0.228
CA5B	0.911
FBXL3	1.263
MPHOSPH9	-1.5515
HMG2L1	-0.134
HCN4	0.631333333333333
CEACAM19	0.0815
SH2D4B	0.599666666666667
HFE2	-1.242
TGM4	0.674
LYPD2	0.17725
TBC1D15	0.018
MRPS21	-0.5078
NONO	-0.8212
CLEC5A	2.480875
ITCH	0.0408
MGAT3	-1.0905
MBP	-0.71325
RPP25	0.41025
SOSTDC1	-2.64275
HRC	-0.8355
TRIM48	-0.414
TMEM133	-0.2725
ECEL1P2	-1.94
HOXC11	0.3005
DOK5	0.03975
HELZ	0.811666666666667
LOC348180	-0.28175
MGC33894	0.287
ADRB3	0.379
DMD	-0.4585
PTRH2	0.00824999999999999
MPEG1	3.1335
NDUFA12	0.136166666666667
KRTAP2-4	-0.05325
STAMBPL1	-1.49083333333333
ADCY2	-0.0666666666666667
UNQ6125	0.309
KLHL20	0.000833333333333334
SRM	-1.143
OTC	0.07175
TMIE	0.122833333333333
SNX8	0.4685
LIPK	0.6395
CHURC1	0.011
KLC2	0.440833333333333
HDAC1	-0.431666666666667
FAM128A	-0.375833333333333
FNDC3B	-0.756
MTCP1	-0.673
WFDC10B	0.1292
PCDHGB3	0.421
ATRNL1	0.5067
CAV2	-0.312625
MED26	-0.567333333333333
DUS1L	0.875
CHRM3	-0.943625
NEK9	0.05425
WARS2	-0.399
TBX22	0.122
TOMM40	-0.40225
RP6-213H19.1	-0.568833333333333
TUBGCP5	-1.00966666666667
IGSF6	4.6615
TPPP	2.37633333333333
UNQ6190	0.7485
GSTM5	1.32225
BTD	1.03116666666667
PDCD1LG2	0.182333333333333
SNRPB2	0.1505
ERICH1	-0.294375
APOA4	-1.80775
HOXA11	-2.2685
NARG1	0.048125
MKX	2.10925
RAB28	-0.437142857142857
PKP3	0.29125
SH3GL2	-2.91375
CTSO	3.635
RPN2	0.9906875
IL28RA	-0.231666666666667
SFMBT1	0.08375
WDR57	-0.95475
FER1L3	1.47616666666667
HSF5	0.2615
TTC9B	0.6675
C4BPA	-4.484
ALB	-4.53714285714286
SORBS3	-0.149
UPF2	-0.126
JPH1	1.494
AGBL2	1.019
DOPEY1	0.7435
TERF1	0.498083333333333
KIF22	-0.657333333333333
NINJ1	0.8775
SEC61A2	-0.586166666666667
HIST1H1D	0.723666666666667
SFXN4	0.22475
UCP3	0.1194
ZNF703	1.95583333333333
MYL6B	-0.741
TREM1	2.40475
OR52E6	0.5645
CKMT2	2.7695
HLA-C	1.468375
SLC13A3	-0.4565
TIMP4	0.01025
SLIT2	2.52025
RSF1	-0.421555555555556
LONRF1	-0.929142857142857
MON1A	-0.124
CACNG6	-2.00566666666667
DPPA4	-5.65066666666667
ZSWIM3	0.6865
ZNF804A	0.221666666666667
CCIN	1.31975
SLC25A31	0.816
KCNMB4	-0.80875
RABL5	0.637625
GALNS	-0.3437
STX6	0.637
HIST1H1C	-0.1885
CIDEB	-0.14925
CASP4	-1.01583333333333
PDK3	-0.2796
KCNJ11	1.468
TPR	-0.34625
ZSCAN20	-1.043
MTX2	-0.58775
HIST1H2BH	-0.30275
LOC283767	0.43675
LYRM7	-1.31383333333333
BRD3	0.390666666666667
HIST1H2BO	-0.41275
MAGEB10	1.2845
SLC45A1	2.095
SERPINA3	2.3069
KIAA0143	1.762
KCNJ16	0.3485
KRT79	0.33425
FABP2	-0.96525
NUT	-0.211
ZNF57	-0.94825
FBXL4	0.052375
CLEC9A	1.283
UGT8	-1.92216666666667
BMP2K	0.143
MAPK4	-4.225
SLC25A23	-0.6418
HINT1	0.1602
KRTAP13-1	0.7225
SFXN5	0.3659
CHCHD2	0.3315
FAM3D	1.22
NDP	-1.98075
RHOBTB1	-0.442666666666667
SLC4A4	0.0185
RPL38	0.90375
HTF9C	0.00783333333333335
AP2A2	-0.08725
ZBTB46	-0.8095
MAP7D1	0.135
AOX1	-1.69516666666667
CYR61	1.66133333333333
DTNA	0.331857142857143
JRKL	-0.83925
TMOD3	-0.75725
EEA1	0.0031
ADCK5	-0.319
IL1R1	0.770333333333333
KLK3	0.537615384615385
HRSP12	0.90225
KTN1	-0.42125
LOH11CR2A	0.261
RELL2	0.38875
MAB21L1	1.24025
C20orf59	-0.867333333333333
PHKB	-0.44675
ADAM2	0.817833333333333
TBC1D8B	1.86
FAM13A1	-1.14675
LAPTM4B	1.12741666666667
LCN8	0.041
TMEM147	0.544
SYT4	0.276166666666667
XPO7	-0.9445
C9orf62	1.21775
GPR75	-0.3935
TRIM5	-0.28675
APOC1	-0.633666666666667
RNASE4	0.166166666666667
PARD6B	-0.1385
ARID1A	0.27275
TPD52L3	0.1415
RRAGB	0.867666666666667
RCN2	-0.676166666666667
HIST2H2BE	0.9439375
STARD7	-0.3305
SHMT2	-0.458
KIAA1751	0.2265
MLYCD	0.275
LOC162632	0.0537
UQCRH	-1.51225
RP11-217H1.1	0.6535
SDHA	-0.573333333333333
NCLN	-0.342
ZNF17	0.576166666666667
RCBTB2	-1.78525
VEGFB	-0.2843
RP4-747L4.3	0.207
COLQ	0.5199
MPN2	-1.7092
DRG2	0.2865
KLRB1	6.1885
ALPK2	-2.48375
DNASE2B	2.08025
FLJ23834	2.65516666666667
AXUD1	1.58516666666667
SAFB	-0.1303
NSUN4	-0.33525
RFX2	1.472
MAPK8IP1	0.835833333333333
FANCD2	-1.90335714285714
ANKZF1	-1.958
C19orf50	-0.634
DUSP8	0.552375
SENP5	-0.575
NFKBIL2	-0.4945
LBR	-1.154375
IGFL1	0.195
LZTS2	-0.047875
IL2RG	-0.835375
CCDC51	0.67475
KLF3	-0.34975
ANKRD37	-0.87625
KCTD14	-2.09316666666667
FZR1	0.211083333333333
SLC44A4	3.1017
ESPL1	-0.658
GMPR2	-0.8733
TBC1D19	-0.719833333333333
ERGIC1	0.479481481481481
ERBB4	3.7431
TSPAN32	-0.211083333333333
MAP4	0.219375
GPHN	-0.2975
SLC6A2	-0.208625
HIVEP1	0.592
DFFB	-0.7159
EIF4EBP2	-0.0685
DMRT1	0.5065
HSPB6	0.0985
IER2	-0.3835
AIFM1	0.08625
WWC2	0.355583333333333
MRPL4	-0.4495
FLJ21062	0.2635
EPB41L4A	1.33433333333333
SH2D6	0.26425
TAF4B	-0.906
GAL3ST3	-0.112
MALT1	-1.58766666666667
RTDR1	1.9875
ARVCF	0.22625
MEX3B	-2.13866666666667
FBXO16	0.74325
KIF7	-0.91325
C1QC	3.5215
ZNF783	-0.171166666666667
ZNF85	-1.25075
MMP13	5.0835
KIAA0329	0.090875
RTP3	-1.129
ZBED3	-1.26875
CLGN	0.66075
SLC25A37	-1.92804166666667
hCG_18290	-0.15925
OR5AS1	-0.0505
SMARCC2	0.768666666666667
FAM109A	0.00833333333333333
CCDC12	-0.34525
USF2	0.4274
DEPDC7	-2.54975
C20orf24	-0.0953333333333333
JMJD3	0.93
DSP	1.00735714285714
SLIC1	0.530125
FAM20A	0.7795
IRF2BP2	0.533375
ZNF230	-0.272
MSN	-0.488142857142857
SLC9A5	-2.424
EPDR1	-0.9226
MUSK	-0.1126
ZNF434	0.291833333333333
SMARCD1	-0.7935
