Hybridization REF	TCGA-A7-A0D9-01A-31R-A056-07
HABP4	-0.2615
TMEM125	3.241
CNTN2	-0.28275
ASNSD1	-0.04175
FUT4	-0.609
ACF	-3.90575
LOC158381	0.5435
CDH8	0.42775
AGPS	-0.699
C4orf18	2.235875
PECI	-0.875583333333333
UNG	-0.3355
GSTP1	-2.824875
DCUN1D5	-1.53766666666667
DKFZP564J0863	-0.865
SLC9A3R1	0.914375
BCDO2	0.15075
CHMP7	-0.564625
REM2	0.013
DNHD1	-0.894
FKBP4	0.362
ZNF350	2.1705
MGC11102	-0.355125
BST1	1.40825
KISS1R	-0.2045
NCR2	-0.0925
DEFB125	-0.0865
UBE2W	2.1205
KRT15	-1.112875
C10orf99	0.0565
SCN11A	0.364
GFI1	-3.02275
RDHE2	5.01866666666667
FHL1	-0.0301666666666667
OSGEP	-0.422833333333333
GATA1	-3.935
SMC6	-0.5075
TTTY14	-1.37075
LPIN3	0.1355
RPL4	1.4498
RBPMS	-0.8525
PRPF3	-0.4375
EMR1	-3.2215
SPATA19	0.496
XCR1	0.89
IRX3	0.4073
RBM6	-0.07175
KLF4	-1.3779
UNC5CL	0.72925
SEBOX	-0.437
BTK	-2.0145
KRCC1	1.90275
C6orf27	0.0935
SYTL5	-0.4325
PRND	1.48142857142857
LOC653319	-0.9345
PIGL	-0.918875
HUS1	0.632333333333333
SFRS6	-0.465666666666667
C17orf77	0.5345
UIMC1	-1.10883333333333
FXYD2	-2.0795
LOC283152	-1.46
ZNF667	1.257
ZCCHC12	-0.06225
TFEC	1.5241
ATP7B	0.123833333333333
POLD2	-0.613
RG9MTD1	-0.3005
ACOT2	0.243166666666667
HIST1H4I	-1.003
PPARGC1A	-2.5912
ETFA	2.3555
POLRMT	-0.0345
ZNF146	-0.1655
MIA2	-0.752
KLHL6	-2.28983333333333
HOXB5	-1.025125
NENF	0.0343333333333333
CUGBP1	-0.81425
PRSS22	1.75533333333333
CASC4	0.8274
CUL4B	0.0073
CENPJ	-1.6973
PITX1	-0.948166666666666
FLJ31033	0.766833333333333
CELSR3	-2.65633333333333
ZNF568	0.48525
ITSN1	0.116333333333333
EHBP1L1	-1.6065
C19orf2	-0.122
DCTN1	-0.1305
LIN28B	-4.29733333333333
TNKS2	0.7505
C1QBP	-1.442
CADPS2	0.2675
SRMS	0.82475
GJA9	0.1845
MGC24975	-0.2405
TRIM45	-0.6045
TSP50	2.949
TCP1	-0.65525
TMED7	0.1148
CMA1	1.199
CENPL	-1.90933333333333
PTCRA	-0.552
FST	-4.80925
VWCE	-4.33875
PAWR	0.37775
ABCC12	-0.111
LDLR	-1.4526
ASTN2	0.4874
LOC441212	-0.515375
GPATCH8	0.26675
TANC2	-0.211
KIF4A	-3.20175
C18orf18	-1.387
PGM1	-0.7745
KIAA0258	1.418
CPD	0.73225
SNCAIP	-1.41625
DCT	-4.759
HLA-DOA	1.66286363636364
OR11L1	0.343
UPK1B	-0.883
DNAJB4	-0.974
UGT1A8	-0.849
HIST1H4L	-1.083
PECR	-1.294
HSPA2	1.2755
WFIKKN1	-2.2155
SERP1	0.450125
SYDE2	1.22425
TACR2	0.4725
NUP85	-1.35675
CD177	-0.647833333333333
LGR5	-2.391
PIGG	-0.60975
PTHR1	-0.822666666666667
RAB5A	0.0571
FLJ13224	-0.366
USP9Y	-1.62783333333333
C7orf53	0.2095
LRP1B	6.10025
XAF1	0.3393
ABCG8	-0.937
ANKDD1A	0.0876666666666667
DAND5	-2.181
SPAG6	0.367
LINCR	-2.19075
ZDHHC22	-1.733125
CCDC60	-0.609
THOC7	-1.1355
TCTA	1.6268
OR8K3	0.094
NY-REN-7	-0.7055
B2M	-0.179
C6orf141	2.516125
LPPR4	2.426
SQLE	0.943375
SEPHS1	-0.48625
BTBD14B	0.362857142857143
PLRG1	-0.59975
SPG7	0.4391875
ZNF614	0.473333333333333
PARD6G	0.890333333333333
INPP5B	-0.5515
GRPEL2	-0.853375
PPID	-0.4825
TRIM56	0.38625
UBE2J1	-0.199875
IL20RA	4.38925
LOC387856	0.498
C1orf107	-0.0831666666666667
UTS2R	0.10875
C19orf22	0.2765
SAFB2	0.19575
KIAA0652	0.22225
KLRG1	-1.24233333333333
MS4A8B	1.53683333333333
FRAG1	0.35425
KIAA1546	0.3155
E2F4	-0.8921
CLEC4M	0.0756666666666667
BTBD14A	-2.3945
KIAA0999	0.099
GYPA	-3.89966666666667
TAC1	0.9588
TRAIP	-1.9805
KIAA0232	1.0937
ERCC8	-0.699
GPX4	1.362625
KIAA0368	-0.399875
GPR157	-0.149833333333333
CTAGE4	1.4815
C9orf30	-2.2345
OR52A1	-0.8835
HSP90B3P	-0.1615
ALG9	-0.1349
BTBD10	1.0505
SDK2	-0.0055
BAIAP3	1.93675
RABGGTB	-0.3465
ANKRD40	-1.1555
KRT74	0.1245
CALCOCO2	0.915285714285714
SNCA	-4.236
TMSL8	-4.925375
C2orf53	0.718
ESRRB	-0.3925
ARHGAP26	-2.02125
TDRD9	-3.35475
HRAS	0.175166666666667
KLRC4	-3.093
JAGN1	-1.16883333333333
BSDC1	0.67075
RNF43	-1.147
NDUFAF1	0.005
PHF12	0.71825
OR1L3	0.0875
FOLR2	1.6615
LYZL6	-0.1668
tcag7.1260	-1.814
WSB1	-0.897833333333333
PROS1	-1.2408
OSTN	0.22
PSMB8	-1.26825
SOCS4	-0.0115
DDIT4L	-0.1415
MAS1	0.094
MGC34796	1.47175
CSHL1	0.0931666666666667
TBCCD1	0.135166666666667
ZBTB7C	-0.2015
AP2S1	-0.964625
P15RS	-0.1948
VAT1	-1.1749
SHANK3	1.183
TUFM	-0.407166666666667
THEG	-0.54775
KRT34	-2.18125
SGSM3	0.637625
TOMM22	-0.332625
SOCS3	-0.557166666666667
CPO	1.693
POP4	0.2745
BHLHB3	1.66025
MALL	0.50825
OR1B1	-0.105
PARK2	1.327
GPR124	0.791375
LCE1E	0.2495
RUVBL2	-0.751
CGRRF1	0.2847
ACPL2	-0.012
WNT10B	-3.0885
BAIAP2L2	-1.741125
ISCA1	-0.177
C1orf125	-0.0755714285714286
RPAP1	-1.31475
RAI16	-0.000166666666666664
RPL27	-0.793625
NLRP9	-0.149
EPN1	-0.2265
LOC388610	-0.46825
SLC35A1	0.7078
GAL	-3.3605
SLC14A2	-0.091
RDH11	-1.15633333333333
FAM138F	-0.9225
AUH	0.5255
FLJ40243	-0.88725
C14orf129	0.0463333333333333
MBD2	0.241833333333333
ABHD14B	0.474375
PIGT	0.7865
ALS2CR4	-0.956125
ALAS1	0.4218
FOXO1	1.4075
CRLF3	-1.129125
C20orf107	2.984
FARS2	0.5665
CCDC28A	-0.30025
NPHP3	-0.93475
OR13F1	0.3245
TSEN54	-1.23025
DEFB106B	-0.557888888888889
OR8B4	-0.2155
STH	0.135
ZC3H14	-0.057
CBX2	-0.398
TMEM49	-1.959
C6orf21	0.1415
FLJ20920	-0.319
CRTAP	-0.527
DDX50	-0.16775
STYXL1	0.8015
BLVRB	-0.727333333333333
LOC147650	0.745166666666667
MMP24	-0.1045
GRID1	1.74183333333333
BANF1	0.141833333333333
CTAGEP	0.6315
HMBS	-1.97675
SLC25A24	-0.0331666666666667
C14orf50	0.751
MRO	0.700166666666667
SLC25A15	-0.43175
FAM84B	2.5306
TDP1	-1.302
C16orf78	0.101666666666667
C11orf57	0.184875
RFK	-0.850125
ZFYVE9	1.387625
STCH	-0.9067
WIBG	0.052
LOC283871	-0.581833333333333
GBA2	-0.1993
NDUFB3	-0.0015
HSD17B13	-0.2115
GRIN3A	-0.00633333333333333
FMNL1	-1.7825
SEPT7	0.0991
GNLY	1.087
GRAMD1C	0.748
ZNF165	-0.6005
USP38	0.87225
FAM83A	-1.117
C14orf24	0.620833333333333
ARMCX3	0.190875
ARHGDIB	-0.973
AK1	-0.38
KIAA1045	0.79875
DNAJB13	0.483166666666667
NEU2	-0.0215
HIST1H4B	-1.567
FAM20B	-0.9354
HES2	0.251214285714286
FAM73B	-0.4708
LOC388381	-0.734333333333333
INTS7	-1.34163636363636
AMPH	2.06175
ZNF775	-0.66075
UCKL1	2.15283333333333
C10orf97	0.2555
C1orf161	-0.80125
ALDH1L1	-0.79225
FLJ39378	0.166125
SLC23A1	-1.465
RBM4B	0.6595
THAP4	0.0785
OGFRL1	-1.05625
KIAA0831	0.993875
PPP1R15A	-0.545333333333333
C1orf96	-0.714857142857143
C12orf11	-2.01475
BMF	0.075375
MAN1A1	-0.312
KIAA1600	0.732333333333333
NLGN4X	-1.513
ALOX12	-1.76425
RB1CC1	2.1214
NEIL2	-0.0163
EIF4E	-0.173818181818182
ABHD5	-0.181
EXOC4	0.693666666666667
CIP29	-0.909
BATF2	-0.02625
SLC29A4	-0.509875
HTR4	0.10125
EMB	-0.16
TRAF6	0.61625
LMNB1	-2.27075
FAM19A5	1.19375
SHE	1.5185
PIK3C2B	1.21175
C15orf15	-1.2795
USP15	-0.0702
TCEAL2	-0.30475
C5orf39	-1.97
PTGER2	-0.701
SLC31A1	-1.283375
IFT172	0.22475
ADAM29	0.0475
GFOD1	0.74475
ST7L	0.105666666666667
C15orf26	-3.159
PKN3	-2.145
CNTD1	0.306666666666667
COMMD1	0.324875
NTRK2	1.86758333333333
FOXN3	0.178125
MFGE8	-0.1911
PFKFB2	0.201333333333333
TAS2R4	-0.25825
ENTHD1	0.874666666666667
PRMT5	-0.87475
MGC16384	-0.08575
LOC442229	-1.0915
TSKU	0.115625
KRTCAP3	2.8125
PDLIM1	0.0699
KCNS2	0.265
RNF126	-0.368666666666667
CEP63	0.4115
CLIC4	0.234
hCG_1990170	-0.90725
ACR	0.574
KLK7	3.9005
ALOX5AP	1.519875
RIPK3	3.31225
TAS2R9	0.454
C19orf18	2.226
BIRC6	0.476214285714286
ZNF16	2.26
RFT1	-0.7725
SLC8A2	-0.58575
TACC1	3.839625
ITGAD	1.051
SAMHD1	0.49775
SH3PXD2B	0.8168
EPC2	1.4815
C20orf85	0.693
ATP13A2	1.60283333333333
KRT4	0.19225
CAPNS1	0.229
MDM2	-0.425916666666667
PCDH20	0.01875
KCNK9	0.473
OR2C1	0.216
KLHDC3	-0.692
IPPK	0.068
EFHD2	-0.45725
GALR3	0.163
NBEA	2.7145
ABCA6	2.7384
CLDN3	2.223
AKT2	-0.179142857142857
EGFR	-2.0346
RBM16	0.714375
ZDHHC3	0.0306
SLC25A4	0.056
CYB5B	-1.6305
CPXM1	0.314
NDRG1	-1.56261538461538
FLJ43826	0.1255
OR5L2	0.128666666666667
FARP2	1.3234
MRPL46	-0.00391666666666664
LDHAL6B	0.017
MAPKAPK3	-0.497666666666667
NCAM2	1.24075
PRKD2	0.315166666666667
ZFP36L1	0.3599
CYSLTR1	-1.03475
OR4C3	-0.12575
HIST1H2AJ	0.926
CCNB2	-3.611
ZNF10	0.139
TMEM175	0.3545
FAM134A	0.5825
TIGD4	-0.499
PCNP	-0.4715
MGC39715	0.483
LQK1	-1.45325
CREB1	0.4396
TMPRSS3	-1.27275
C4orf32	0.83475
LAT	-2.31775
KCNA3	-0.35
SKIV2L2	-0.301
ROPN1B	-4.63125
tcag7.23	-0.951
CDT1	-3.851875
ZHX2	0.925125
CD28	-3.86925
ZNF624	2.24025
SEPT2	-0.03725
SOHLH2	-1.71275
MCOLN3	0.669285714285714
UNQ1945	-0.4895
MASP2	-0.97
ZNRF3	0.6144
GPATCH3	-0.1815
AGL	2.406375
QRICH2	-0.071
PSD4	0.837333333333333
CCNB1IP1	-1.84875
ENPP7	-0.208
OBFC1	0.035
KCNG3	-1.55925
C14orf79	1.24341666666667
ENPEP	1.6165
SCT	0.747
SKI	0.748875
SEC61G	0.22125
CAPN11	0.61975
ATXN7L3	-0.107
DBNDD1	0.754166666666667
FAIM	0.73675
ANKRD36	-0.931
GABRP	-0.601
TACSTD2	1.57883333333333
EIF3J	-1.084
PPP2R2A	-1.077
TEKT4	0.297833333333333
PVALB	3.205
F10	-3.60833333333333
FAM134C	1.1956
COMP	3.919
EFCBP1	0.5551875
SCLT1	-0.22525
TAL1	-1.3916
ACSL1	1.3655
ABCC5	0.66425
ABL1	-0.934888888888889
RBBP7	-0.5225
PTPRG	-0.848375
NCOR1	0.2952
SPINK4	0.6875
TXNRD1	-1.9418
TNRC15	1.305375
C9orf138	1.11725
UBE2H	1.409
BRDT	-0.0213333333333334
C8orf31	-0.22275
CCNE2	-2.28954545454545
SLC6A8	-1.2715
CALCR	-2.882
PPP1CB	0.440083333333333
ABHD8	0.42075
ARF5	0.8416
SLC24A4	0.2225
CCT3	-0.2355
ZNF121	0.66875
SLC3A2	-0.8657
OR13A1	0.4435
SLC5A10	0.01175
RAD50	0.39075
IER5	-0.109625
MTHFD1L	-2.0285
MBTPS2	-0.09525
MVK	0.267875
NCL	-0.1658
PSMD10	-0.3455
MOBP	0.095
FLJ32894	-0.481
HRH1	-0.843333333333333
C5orf30	2.1935
NUDT16L1	1.2314
RASGRP3	3.152
PRKRIP1	-0.00880000000000001
CCDC75	0.47975
LOC253970	0.264
KIAA1239	0.222
MED21	-0.65675
SYT11	-0.344333333333333
NTSR2	-0.299
EGFL11	0.925
CXorf59	0.392
OR2A25	0.08775
SPTBN2	-0.93525
LRMP	-1.67916666666667
RNF111	1.0065
PTH	0.498
LOC619208	-0.0616666666666666
KIAA0895	1.237
RANBP5	-0.445375
P2RY10	-0.2975
NME5	3.56983333333333
DDX21	-0.235
LRSAM1	-0.4195
HDAC11	1.839
VMO1	-0.153
NOLA2	-0.0356666666666667
ADAR	0.0184166666666667
MTO1	-0.670333333333333
SF4	0.117666666666667
P2RX1	-0.261166666666667
HBM	0.293
EN2	0.548
C14orf172	0.3265
TM9SF2	1.0286
INHBE	-2.11716666666667
TCTE3	-0.402583333333333
TOX2	-3.70475
CTAGE3	0.763875
HBB	3.1346
MED15	-0.363
CASR	0.1675
C6orf66	-0.572666666666667
MTPN	1.604625
UNC50	-0.23275
C21orf33	-0.379625
IRF2	0.57875
PGR	-1.54366666666667
GPR84	0.875
CROCCL1	-1.79775
SRPX	-1.4285
BRE	-0.1655
FGF10	1.03275
SDC3	-1.14983333333333
ZRSR1	0.503166666666667
DKFZP434P211	-0.275125
SOX6	-1.8375
RPUSD2	-1.03775
C14orf173	0.548916666666667
MAPK11	-0.530333333333333
TBC1D22A	0.481
FAM123A	4.5185
COL4A6	-3.99883333333333
TOMM70A	0.143
NAB1	-0.44475
MGC16385	-0.073625
TSPAN18	-0.0511666666666667
MED31	-0.41475
PLG	-0.125
CAPSL	-0.3575
ZNF532	0.536
ASB14	-0.20025
CA8	-0.064
NUDT16P	2.79133333333333
SLFN11	-1.723
LRRIQ2	0.022375
NOL7	-0.5815
BRMS1L	-0.344875
JARID1A	0.145666666666667
PANK2	-1.044
ICAM3	-1.301
MDS1	-0.41825
TAF8	-0.40875
RNF139	1.7525
ZNF594	-0.843333333333333
ADAM8	0.27275
SFTPC	-0.383375
MAN2B2	1.404125
RGS12	0.306625
EIF1AY	-4.67991666666667
LRRIQ1	-1.879
GPR150	0.20375
CCDC21	-0.523
PRRG3	0.182
SAA4	-3.871
RAPGEF5	0.96075
ZCCHC2	0.359833333333333
MGC39372	-0.7725
PPP4R2	-0.00349999999999999
CDCA2	-3.25766666666667
OR4D5	0.152166666666667
PTGFRN	0.2114
SIGLEC5	-0.495833333333333
C19orf61	-0.205
NMUR2	0.134
KIAA1586	-0.616
DAGLA	1.047
CHCHD6	0.0695
GPR32	0.2425
NEUROD6	0.2615
SLC2A4RG	1.541
CA5B	0.7425
FBXL3	1.236
MPHOSPH9	-1.7195
HMG2L1	0.682
HCN4	1.108
CEACAM19	-0.39525
SH2D4B	0.655333333333333
HFE2	-0.946
TGM4	0.5704
LYPD2	0.19625
TBC1D15	0.197
MRPS21	-0.5354
NONO	-1.1841
CLEC5A	0.739375
ITCH	-0.0424
MGAT3	-1.33866666666667
MBP	-0.17
RPP25	-1.70225
SOSTDC1	-2.12575
HRC	-1.898
TRIM48	0.1195
TMEM133	0.5415
ECEL1P2	-1.669
HOXC11	-1.231
DOK5	-1.028
HELZ	-0.540333333333333
LOC348180	-0.77775
MGC33894	0.463
ADRB3	1.6135
DMD	-0.333416666666667
PTRH2	-1.0775
MPEG1	2.132
NDUFA12	0.260666666666667
KRTAP2-4	-0.13625
STAMBPL1	-2.05683333333333
ADCY2	-1.01
UNQ6125	-0.9535
KLHL20	0.200666666666667
SRM	-1.20925
OTC	-0.252
TMIE	0.528
SNX8	-0.27475
LIPK	-0.458
CHURC1	0.834916666666667
KLC2	0.426166666666667
HDAC1	0.3555
FAM128A	0.318666666666667
FNDC3B	-0.7059
MTCP1	-0.729666666666667
WFDC10B	-0.0758
PCDHGB3	0.14
ATRNL1	-2.4981
CAV2	-0.310875
MED26	0.4
DUS1L	-0.59675
CHRM3	-1.466625
NEK9	0.702
WARS2	-0.3035
TBX22	0.5685
TOMM40	-0.71725
RP6-213H19.1	-0.949833333333333
TUBGCP5	-0.7765
IGSF6	4.55775
TPPP	1.853
UNQ6190	-0.476
GSTM5	1.77225
BTD	-0.495166666666667
PDCD1LG2	-0.555833333333333
SNRPB2	-0.283666666666667
ERICH1	-1.27525
APOA4	-2.733625
HOXA11	-1.743
NARG1	-0.13375
MKX	-1.04925
RAB28	-0.235857142857143
PKP3	1.54225
SH3GL2	-2.91825
CTSO	2.37225
RPN2	0.046
IL28RA	0.0916666666666667
SFMBT1	0.33675
WDR57	-1.673875
FER1L3	2.15283333333333
HSF5	0.5264
TTC9B	0.1235
C4BPA	-3.72283333333333
ALB	-4.778
SORBS3	-0.282625
UPF2	-0.228
JPH1	0.324
AGBL2	-0.08625
DOPEY1	1.796
TERF1	0.569666666666667
KIF22	-0.832666666666667
NINJ1	0.66875
SEC61A2	-0.200583333333333
HIST1H1D	-1.33133333333333
SFXN4	-0.436375
UCP3	-0.3521
ZNF703	2.123
MYL6B	-1.716
TREM1	1.3305
OR52E6	-0.1085
CKMT2	1.92475
HLA-C	0.327125
SLC13A3	-2.2945
TIMP4	0.24275
SLIT2	2.0395
RSF1	0.107944444444444
LONRF1	-1.10385714285714
MON1A	-0.165833333333333
CACNG6	-0.638833333333333
DPPA4	-6.00566666666667
ZSWIM3	-0.62
ZNF804A	-0.1205
CCIN	1.10725
SLC25A31	0.472
KCNMB4	-0.235
RABL5	0.721875
GALNS	0.239
STX6	0.46675
HIST1H1C	-2.02183333333333
CIDEB	0.810375
CASP4	-0.987
PDK3	-0.9387
KCNJ11	1.8355
TPR	-0.23875
ZSCAN20	-1.6485
MTX2	0.54225
HIST1H2BH	-1.0015
LOC283767	-0.27275
LYRM7	-0.335833333333333
BRD3	0.484666666666667
HIST1H2BO	-0.93325
MAGEB10	-0.251
SLC45A1	1.3615
SERPINA3	-3.1845
KIAA0143	2.87125
KCNJ16	-0.217166666666667
KRT79	0.843
FABP2	-0.58375
NUT	0.029
ZNF57	0.22325
FBXL4	-0.844375
CLEC9A	-0.2525
UGT8	-1.47083333333333
BMP2K	0.06625
MAPK4	-2.915
SLC25A23	-0.0715
HINT1	-1.0963
KRTAP13-1	0.039
SFXN5	0.6513
CHCHD2	0.322666666666667
FAM3D	-0.4485
NDP	-2.406
RHOBTB1	0.154833333333333
SLC4A4	-1.5305
RPL38	-1.173
HTF9C	-0.257333333333333
AP2A2	0.661875
ZBTB46	3.4795
MAP7D1	-0.387875
AOX1	-1.46616666666667
CYR61	0.421166666666667
DTNA	0.232928571428571
JRKL	-0.3005
TMOD3	-0.8895
EEA1	0.3012
ADCK5	1.52225
IL1R1	1.6235
KLK3	0.0174285714285714
HRSP12	-0.49375
KTN1	0.40125
LOH11CR2A	-0.2322
RELL2	-0.1505
MAB21L1	1.4785
C20orf59	0.266833333333333
PHKB	0.677
ADAM2	0.605
TBC1D8B	0.0335
FAM13A1	-1.051625
LAPTM4B	0.447416666666667
LCN8	-0.33
TMEM147	0.4145
SYT4	-0.071
XPO7	-0.892
C9orf62	0.319
GPR75	0.7855
TRIM5	-0.755875
APOC1	-1.23633333333333
RNASE4	-1.89966666666667
PARD6B	0.322875
ARID1A	0.86625
TPD52L3	0.226888888888889
RRAGB	1.4545
RCN2	2.71433333333333
HIST2H2BE	-0.4383125
STARD7	-0.27
SHMT2	-1.58825
KIAA1751	0.994833333333333
MLYCD	0.577
LOC162632	0.5173
UQCRH	-1.298
RP11-217H1.1	0.854375
SDHA	-0.867833333333333
NCLN	-0.2392
ZNF17	0.530833333333333
RCBTB2	-1.162
VEGFB	-0.1059
RP4-747L4.3	-0.15275
COLQ	0.8411
MPN2	-0.719
DRG2	0.6675
KLRB1	4.19875
ALPK2	-3.203
DNASE2B	0.737
FLJ23834	-0.1575
AXUD1	0.935333333333333
SAFB	0.0154
NSUN4	-0.2515
RFX2	0.716
MAPK8IP1	0.257333333333333
FANCD2	-2.30614285714286
ANKZF1	-1.89433333333333
C19orf50	-0.62125
DUSP8	2.086625
SENP5	-0.21325
NFKBIL2	-0.3885
LBR	-2.527375
IGFL1	0.475
LZTS2	0.22475
IL2RG	-1.468125
CCDC51	-0.4545
KLF3	0.586125
ANKRD37	-1.92625
KCTD14	-1.67583333333333
FZR1	-0.18375
SLC44A4	3.2154
ESPL1	-1.490625
GMPR2	-0.5706
TBC1D19	-0.691166666666667
ERGIC1	0.72462962962963
ERBB4	4.6336
TSPAN32	-0.0608333333333334
MAP4	0.052
GPHN	0.22
SLC6A2	-0.1175
HIVEP1	0.5095
DFFB	-0.4251
EIF4EBP2	0.31475
DMRT1	-0.94675
HSPB6	0.28625
IER2	0.196333333333333
AIFM1	0.18
WWC2	0.347416666666667
MRPL4	-0.52225
FLJ21062	1.33816666666667
EPB41L4A	-0.23125
SH2D6	-0.09525
TAF4B	-0.33375
GAL3ST3	-0.566
MALT1	0.276666666666667
RTDR1	0.9475
ARVCF	0.229
MEX3B	0.0685
FBXO16	-0.573
KIF7	0.24575
C1QC	3.13666666666667
ZNF783	0.531166666666667
ZNF85	0.68925
MMP13	3.997
KIAA0329	0.86075
RTP3	-0.577
ZBED3	-0.976
CLGN	-3.001
SLC25A37	-1.75841666666667
hCG_18290	-0.552
OR5AS1	0.338
SMARCC2	0.4955
FAM109A	0.573666666666667
CCDC12	0.04175
USF2	1.0108
DEPDC7	-2.75925
C20orf24	-0.567833333333333
JMJD3	0.35
DSP	2.17792857142857
SLIC1	0.16075
FAM20A	-0.08875
IRF2BP2	0.38875
ZNF230	-0.0905
MSN	-1.03421428571429
SLC9A5	-2.128
EPDR1	-0.6072
MUSK	-0.0605
ZNF434	-0.126666666666667
SMARCD1	-0.951
ZFP106	-0.668
ZNF347	0.6034
GTF2E1	0.62925
RY1	-0.2595
