Hybridization REF	TCGA-AO-A0JC-01A-11R-A056-07
ZNF146	-0.109125
MIA2	-1.402
KLHL6	2.46966666666667
HOXB5	1.13575
NENF	-0.096
CUGBP1	-0.7005
PRSS22	0.505333333333333
CASC4	0.909
CUL4B	0.1764
CENPJ	-1.2839
PITX1	-0.4175
FLJ31033	1.61483333333333
CELSR3	-1.705
ZNF568	0.76075
ITSN1	-0.797833333333333
EHBP1L1	0.0656666666666667
C19orf2	-0.55025
DCTN1	-0.1745
LIN28B	-3.5254
TNKS2	0.5645
C1QBP	-1.123
CADPS2	0.3395
SRMS	-0.10475
GJA9	-0.0665
MGC24975	-0.6155
TRIM45	0.013
TSP50	-0.3965
TCP1	-1.88625
TMED7	-0.3588
CMA1	2.013
CENPL	-1.03383333333333
PTCRA	2.413
FST	-3.83625
VWCE	-2.833
PAWR	-0.73075
ABCC12	1.61166666666667
LDLR	-2.568
ASTN2	0.2039
LOC441212	-0.68075
GPATCH8	0.35825
TANC2	-2.41841666666667
KIF4A	-2.77575
C18orf18	-0.674
PGM1	-2.01525
KIAA0258	-0.1565
CPD	-0.739375
SNCAIP	-0.66725
DCT	-4.167
HLA-DOA	3.71963636363636
OR11L1	0.619
UPK1B	-0.521
DNAJB4	-1.147625
UGT1A8	-0.195333333333333
HIST1H4L	0.2975
PECR	-1.1335
HSPA2	0.1085
WFIKKN1	-2.9655
SERP1	-0.286375
SYDE2	-0.24825
TACR2	0.5725
NUP85	-0.497
CD177	-0.1915
LGR5	-2.26966666666667
PIGG	-0.254416666666667
PTHR1	-1.42233333333333
RAB5A	-0.3133
FLJ13224	0.1315
USP9Y	-1.39233333333333
C7orf53	-0.706
LRP1B	-1.00425
XAF1	3.6661
ABCG8	-1.825
ANKDD1A	0.689166666666667
DAND5	-2.2185
SPAG6	0.1855
LINCR	-0.152
ZDHHC22	-1.459625
CCDC60	0.3485
THOC7	-1.364
TCTA	0.5087
OR8K3	0.179
NY-REN-7	1.15675
B2M	2.06983333333333
C6orf141	-1.024625
LPPR4	1.91775
SQLE	-2.757625
SEPHS1	-1.152
BTBD14B	0.776785714285714
PLRG1	0.0315
SPG7	-0.1733125
ZNF614	0.000666666666666672
PARD6G	0.3205
INPP5B	0.0229
GRPEL2	-0.871125
PPID	-0.5797
TRIM56	0.31175
UBE2J1	0.607875
IL20RA	-0.6515
LOC387856	0.015
C1orf107	-0.0468333333333334
UTS2R	1.54575
C19orf22	0.59925
SAFB2	0.9995
KIAA0652	-0.4075
KLRG1	2.27883333333333
MS4A8B	0.824666666666667
FRAG1	0.29775
KIAA1546	0.29325
E2F4	-0.2777
CLEC4M	1.1325
BTBD14A	-1.104
KIAA0999	1.3709
GYPA	-3.632
TAC1	-0.6307
TRAIP	-1.843
KIAA0232	0.1912
ERCC8	-1.316125
GPX4	0.447375
KIAA0368	-0.2365
GPR157	-0.133333333333333
CTAGE4	0.1325
C9orf30	-2.03166666666667
OR52A1	-0.367
HSP90B3P	-0.5835
ALG9	-1.0286
BTBD10	0.30575
SDK2	0.12975
BAIAP3	-1.15175
RABGGTB	-0.819125
ANKRD40	-0.704
KRT74	1.16
CALCOCO2	-0.0357142857142857
SNCA	-3.9915
TMSL8	-3.189375
C2orf53	-0.6865
ESRRB	-0.47925
ARHGAP26	-0.046
TDRD9	-2.319
HRAS	-0.420333333333333
KLRC4	-1.1755
JAGN1	-0.2565
BSDC1	0.88325
RNF43	0.4402
NDUFAF1	-0.11575
PHF12	0.30275
OR1L3	-0.14775
FOLR2	3.08908333333333
LYZL6	0.403166666666667
tcag7.1260	-1.119
WSB1	0.016
PROS1	-1.3034
OSTN	0.19
PSMB8	1.656
SOCS4	-0.887625
DDIT4L	0.33725
MAS1	-0.2665
MGC34796	-0.779
CSHL1	0.511833333333333
TBCCD1	-0.118166666666667
ZBTB7C	-0.309
AP2S1	-1.046
P15RS	-1.188
VAT1	-1.2456
SHANK3	1.2345
TUFM	-0.848
THEG	0.98825
KRT34	-2.406
SGSM3	0.676625
TOMM22	-0.46325
SOCS3	1.9105
CPO	0.6175
POP4	0.11625
BHLHB3	0.63375
MALL	1.03225
OR1B1	0.196
PARK2	0.517333333333333
GPR124	0.635375
LCE1E	0.3205
RUVBL2	-1.17025
CGRRF1	0.2442
ACPL2	-1.0175
WNT10B	0.16
BAIAP2L2	-1.686375
ISCA1	-0.273
C1orf125	1.04725
RPAP1	-0.62375
RAI16	0.2855
RPL27	-0.173625
NLRP9	0.3045
EPN1	-0.385
LOC388610	-2.74075
SLC35A1	0.3012
GAL	-4.2135
SLC14A2	0.527
RDH11	-0.879833333333333
FAM138F	-0.601
AUH	-0.32475
FLJ40243	0.00849999999999998
C14orf129	-0.4895
MBD2	-0.138666666666667
ABHD14B	0.415
PIGT	-0.53975
ALS2CR4	-1.452
ALAS1	-0.2852
FOXO1	3.06783333333333
CRLF3	1.364625
C20orf107	0.874
FARS2	0.332
CCDC28A	1.24125
NPHP3	0.339
OR13F1	0.193
TSEN54	-0.04225
DEFB106B	0.093
OR8B4	0.777
STH	1.59725
ZC3H14	-0.58825
CBX2	0.0615
TMEM49	-0.95975
C6orf21	0.362
FLJ20920	0.373625
CRTAP	-0.726071428571429
DDX50	0.211
STYXL1	-0.647
BLVRB	-0.5535
LOC147650	-0.339833333333333
MMP24	-0.037
GRID1	1.30666666666667
BANF1	-0.496166666666667
CTAGEP	-0.04325
HMBS	-2.00825
SLC25A24	-0.902
C14orf50	-0.631
MRO	-0.609166666666667
SLC25A15	-1.0105
FAM84B	-0.1807
TDP1	-0.615
C16orf78	0.420666666666667
C11orf57	0.632625
RFK	-1.29425
ZFYVE9	-1.29085714285714
STCH	-1.5393
WIBG	0.75525
LOC283871	-0.897833333333333
GBA2	-0.4613
NDUFB3	-0.5095
HSD17B13	-0.15225
GRIN3A	1.70183333333333
FMNL1	2.06933333333333
SEPT7	0.4499
GNLY	5.3765
GRAMD1C	1.02266666666667
ZNF165	-0.553
USP38	1.0275
FAM83A	-3.53883333333333
C14orf24	-0.199
ARMCX3	0.011625
ARHGDIB	2.45833333333333
AK1	-0.526125
KIAA1045	1.345
DNAJB13	-0.284833333333333
NEU2	0.4585
HIST1H4B	-0.133166666666667
FAM20B	-0.8901
HES2	-0.151571428571429
FAM73B	0.187
LOC388381	-0.0655
INTS7	-1.02090909090909
AMPH	-0.73425
ZNF775	0.134875
UCKL1	-0.553833333333333
C10orf97	-0.4155
C1orf161	-0.31075
ALDH1L1	-1.16725
FLJ39378	-0.668625
SLC23A1	-2.684
RBM4B	-0.00974999999999999
THAP4	-0.196
OGFRL1	0.67725
KIAA0831	0.27
PPP1R15A	0.563166666666667
C1orf96	-0.0324285714285714
C12orf11	-2.14225
BMF	1.40225
MAN1A1	-0.436625
KIAA1600	0.808166666666667
NLGN4X	-0.16725
ALOX12	-1.29016666666667
RB1CC1	-0.1198
NEIL2	-0.0307
EIF4E	-0.603181818181818
ABHD5	-1.48375
EXOC4	-0.116
CIP29	-0.2775
BATF2	1.38025
SLC29A4	-1.245625
HTR4	0.2485
EMB	1.91675
TRAF6	0.68175
LMNB1	-0.813
FAM19A5	-1.684125
SHE	2.228
PIK3C2B	2.576
C15orf15	-0.8537
USP15	1.0699
TCEAL2	1.406
C5orf39	2.69583333333333
PTGER2	1.9195
SLC31A1	-2.15825
IFT172	-0.03775
ADAM29	0.364
GFOD1	0.8605
ST7L	0.220833333333333
C15orf26	-3.2645
PKN3	-1.77025
CNTD1	1.0545
COMMD1	0.182
NTRK2	3.328
FOXN3	1.471
MFGE8	-0.3488
PFKFB2	0.332833333333333
TAS2R4	0.004
ENTHD1	3.36116666666667
PRMT5	-1.963875
MGC16384	0.145625
LOC442229	-0.95625
TSKU	-1.77975
KRTCAP3	0.435125
PDLIM1	0.5209
KCNS2	0.1095
RNF126	-0.0125
CEP63	0.096
CLIC4	-1.105125
hCG_1990170	0.90425
ACR	0.2002
KLK7	0.0655
ALOX5AP	4.239625
RIPK3	4.23475
TAS2R9	0.368
C19orf18	1.8615
BIRC6	0.547428571428571
ZNF16	0.3
RFT1	-0.548
SLC8A2	-0.25575
TACC1	1.581625
ITGAD	2.634
SAMHD1	2.5305
SH3PXD2B	-0.1942
EPC2	1.088
C20orf85	0.239375
ATP13A2	0.324333333333333
KRT4	0.5515
CAPNS1	-0.1275
MDM2	0.000916666666666677
PCDH20	0.2585
KCNK9	0.00800000000000001
OR2C1	0.0855
KLHDC3	-0.907166666666667
IPPK	-0.2145
EFHD2	0.83825
GALR3	1.57975
NBEA	0.455
ABCA6	4.4075
CLDN3	0.0738333333333333
AKT2	-0.197285714285714
EGFR	-2.346
RBM16	0.890125
ZDHHC3	-0.4449
SLC25A4	-1.67266666666667
CYB5B	-1.52266666666667
CPXM1	-0.00775
NDRG1	-1.26030769230769
FLJ43826	0.32825
OR5L2	-0.4975
FARP2	0.3417
MRPL46	-0.924833333333333
LDHAL6B	-0.0336666666666667
MAPKAPK3	-0.375666666666667
NCAM2	-0.471
PRKD2	1.257
ZFP36L1	1.7713
CYSLTR1	2.265
OR4C3	0.3625
HIST1H2AJ	0.5945
CCNB2	-2.48022222222222
ZNF10	0.18275
TMEM175	0.9245
FAM134A	0.168833333333333
TIGD4	-0.4675
PCNP	-0.3595
MGC39715	0.48175
LQK1	0.343
CREB1	0.6378
TMPRSS3	0.65375
C4orf32	1.06625
LAT	2.41475
KCNA3	1.8035
SKIV2L2	-0.39025
ROPN1B	-3.77225
tcag7.23	-0.036
CDT1	-2.84675
ZHX2	1.88725
CD28	1.53475
ZNF624	1.37125
SEPT2	-0.551416666666667
SOHLH2	-1.959
MCOLN3	-0.59525
UNQ1945	0.8755
MASP2	-0.438
ZNRF3	-1.9554
GPATCH3	-0.06425
AGL	0.110375
QRICH2	-0.342
PSD4	2.017
CCNB1IP1	-1.23375
ENPP7	0.08825
OBFC1	0.0435
KCNG3	-2.7225
C14orf79	-0.588333333333333
ENPEP	1.1705
SCT	2.081
SKI	1.014
SEC61G	-1.54425
CAPN11	0.2865
ATXN7L3	0.34275
DBNDD1	-0.8615
FAIM	-1.2515
ANKRD36	1.046
GABRP	0.126
TACSTD2	0.256166666666667
EIF3J	-1.25075
PPP2R2A	-0.66225
TEKT4	-1.53133333333333
PVALB	-3.03016666666667
F10	-1.254
FAM134C	0.5979
COMP	2.04125
EFCBP1	-2.08775
SCLT1	1.988125
TAL1	-0.6616
ACSL1	0.029
ABCC5	-0.43775
ABL1	-0.289444444444444
RBBP7	-0.721583333333333
PTPRG	-1.2905
NCOR1	0.4478
SPINK4	-2.234
TXNRD1	-1.6399
TNRC15	1.521375
C9orf138	0.458875
UBE2H	0.421666666666667
BRDT	-0.629
C8orf31	0.0695
CCNE2	-2.07163636363636
SLC6A8	-2.866875
CALCR	-3.68275
PPP1CB	-0.135916666666667
ABHD8	-0.10225
ARF5	-0.0952
SLC24A4	1.81525
CCT3	-0.891
ZNF121	-0.055125
SLC3A2	-1.698
OR13A1	0.218
SLC5A10	0.0885
RAD50	-0.562875
IER5	1.13275
MTHFD1L	-2.166125
MBTPS2	-0.36975
MVK	-1.418375
NCL	-0.3949
PSMD10	-1.0745
MOBP	0.573125
FLJ32894	-0.6345
HRH1	-0.316166666666667
C5orf30	-0.49275
NUDT16L1	0.3291
RASGRP3	5.14833333333333
PRKRIP1	-0.1152
CCDC75	1.18875
LOC253970	-0.1165
KIAA1239	0.45025
MED21	-1.3015
SYT11	1.59841666666667
NTSR2	-0.398
EGFL11	1.1575
CXorf59	0.055
OR2A25	0.53175
SPTBN2	-2.84525
LRMP	2.53133333333333
RNF111	0.173
PTH	0.8385
LOC619208	-0.574333333333333
KIAA0895	-1.21675
RANBP5	-1.360125
P2RY10	4.944
NME5	0.367
DDX21	-0.63725
LRSAM1	0.355
HDAC11	-0.0738333333333333
VMO1	0.452
NOLA2	-0.753166666666667
ADAR	0.487416666666667
MTO1	-0.0513333333333333
SF4	0.399
P2RX1	2.29933333333333
HBM	-0.0495
EN2	2.0795
C14orf172	-0.2005
TM9SF2	-0.5423
INHBE	-1.4885
TCTE3	0.235416666666667
TOX2	0.662
CTAGE3	-0.067
HBB	3.0663
MED15	0.148166666666667
CASR	0.18025
C6orf66	-1.39366666666667
MTPN	0.59875
UNC50	-0.86975
C21orf33	-0.11775
IRF2	1.955125
PGR	-0.0256666666666667
GPR84	1.7425
CROCCL1	-0.9525
SRPX	-0.6225
BRE	-0.0761666666666667
FGF10	0.55925
SDC3	1.00016666666667
ZRSR1	1.20116666666667
DKFZP434P211	0.134625
SOX6	-0.2805
RPUSD2	0.222
C14orf173	-0.245916666666667
MAPK11	0.362
TBC1D22A	0.9275
FAM123A	-0.0485
COL4A6	-3.043
TOMM70A	-0.9495
NAB1	0.312125
MGC16385	-0.940875
TSPAN18	0.458666666666667
MED31	-0.3885
PLG	-0.14125
CAPSL	-0.2395
ZNF532	0.2146
ASB14	-0.16425
CA8	0.98075
NUDT16P	0.928
SLFN11	0.58
LRRIQ2	0.171625
NOL7	-0.3005
BRMS1L	-1.489
JARID1A	1.2695
PANK2	0.028
ICAM3	1.91775
MDS1	-0.03025
TAF8	-0.332
RNF139	0.2885
ZNF594	0.276833333333333
ADAM8	3.402625
SFTPC	-0.309125
MAN2B2	1.05625
RGS12	0.127625
EIF1AY	-4.44716666666667
LRRIQ1	-1.9825
GPR150	1.8045
CCDC21	-1.7025
PRRG3	0.5045
SAA4	-3.76825
RAPGEF5	0.86025
ZCCHC2	0.841916666666667
MGC39372	1.634
PPP4R2	0.0388333333333334
CDCA2	-1.90383333333333
OR4D5	-0.0558333333333333
PTGFRN	-1.398
SIGLEC5	2.54533333333333
C19orf61	-0.379333333333333
NMUR2	0.155
KIAA1586	-0.881833333333333
DAGLA	-1.13866666666667
CHCHD6	-1.27325
GPR32	0.326
NEUROD6	0.225166666666667
SLC2A4RG	-0.049125
CA5B	0.429
FBXL3	1.1415
MPHOSPH9	-0.94975
HMG2L1	0.052
HCN4	1.06883333333333
CEACAM19	-0.44325
SH2D4B	0.445333333333333
HFE2	-0.5785
TGM4	0.693
LYPD2	-0.997
TBC1D15	0.17175
MRPS21	-0.2761
NONO	-1.1928
CLEC5A	0.308625
ITCH	0.2326
MGAT3	0.894
MBP	0.575375
RPP25	-1.229
SOSTDC1	-2.65325
HRC	-1.546
TRIM48	0.632
TMEM133	0.6365
ECEL1P2	-1.42025
HOXC11	-1.406
DOK5	-0.6765
HELZ	0.764166666666667
LOC348180	-0.849
MGC33894	0.021
ADRB3	-0.052
DMD	-0.071
PTRH2	-1.095
MPEG1	4.26933333333333
NDUFA12	0.0373333333333333
KRTAP2-4	-0.0671666666666667
STAMBPL1	0.219333333333333
ADCY2	-0.929166666666667
UNQ6125	0.251
KLHL20	1.07916666666667
SRM	-1.453
OTC	-0.09075
TMIE	1.15333333333333
SNX8	0.45025
LIPK	0.9435
CHURC1	0.186833333333333
KLC2	0.257166666666667
HDAC1	0.2775
FAM128A	-0.322166666666667
FNDC3B	-1.1747
MTCP1	-0.4325
WFDC10B	0.2534
PCDHGB3	0.5835
ATRNL1	-1.757
CAV2	-1.196875
MED26	0.2795
DUS1L	0.253
CHRM3	-1.1085
NEK9	0.39325
WARS2	-0.5755
TBX22	-1.288
TOMM40	-1.10075
RP6-213H19.1	-0.0763333333333333
TUBGCP5	-0.6355
IGSF6	5.86475
TPPP	-0.473
UNQ6190	-0.091
GSTM5	0.09525
BTD	-0.840833333333333
PDCD1LG2	0.885833333333333
SNRPB2	-0.449166666666667
ERICH1	0.896
APOA4	-1.80925
HOXA11	-1.9135
NARG1	-0.628875
MKX	0.20475
RAB28	-0.671714285714286
PKP3	-1.1405
SH3GL2	-2.834
CTSO	2.75725
RPN2	-0.3125625
IL28RA	1.30883333333333
SFMBT1	1.117
WDR57	-0.869625
FER1L3	-0.2675
HSF5	1.01133333333333
TTC9B	0.36175
C4BPA	-2.22
ALB	-4.479
SORBS3	0.037625
UPF2	0.6165
JPH1	-1.318
AGBL2	1.78425
DOPEY1	1.948
TERF1	-0.285666666666667
KIF22	-0.614833333333333
NINJ1	0.8015
SEC61A2	-0.270333333333333
HIST1H1D	1.0135
SFXN4	-0.70975
UCP3	1.3091
ZNF703	0.902166666666667
MYL6B	-0.5645
TREM1	1.0075
OR52E6	0.195
CKMT2	1.50225
HLA-C	2.977375
SLC13A3	-2.09283333333333
TIMP4	-1.63625
SLIT2	2.79575
RSF1	0.401611111111111
LONRF1	-0.824642857142857
MON1A	-0.4105
CACNG6	-1.08666666666667
DPPA4	-4.20766666666667
ZSWIM3	0.18925
ZNF804A	0.225833333333333
CCIN	1.0165
SLC25A31	-0.36025
KCNMB4	-1.38175
RABL5	-0.657125
GALNS	-0.8625
STX6	0.642625
HIST1H1C	-1.63266666666667
CIDEB	0.423
CASP4	1.99183333333333
PDK3	-0.5334
KCNJ11	-0.8925
TPR	0.592125
ZSCAN20	-1.316
MTX2	-0.55825
HIST1H2BH	-0.26625
LOC283767	1.69125
LYRM7	-0.723111111111111
BRD3	0.679666666666667
HIST1H2BO	-0.6835
MAGEB10	-0.496
SLC45A1	0.238
SERPINA3	-2.29745
KIAA0143	0.6835
KCNJ16	0.201333333333333
KRT79	-0.14725
FABP2	-0.4595
NUT	0.32025
ZNF57	-1.224
FBXL4	-0.521125
CLEC9A	3.4245
UGT8	0.7945
BMP2K	1.3185
MAPK4	-3.984
SLC25A23	-0.6957
HINT1	-0.7744
KRTAP13-1	-0.5755
SFXN5	-0.264
CHCHD2	-0.740583333333333
FAM3D	1.663
NDP	-3.232875
RHOBTB1	0.481666666666667
SLC4A4	-0.611125
RPL38	0.31925
HTF9C	0.191333333333333
AP2A2	0.259
ZBTB46	-0.135
MAP7D1	0.542625
AOX1	0.000666666666666663
CYR61	1.16333333333333
DTNA	-2.103
JRKL	0.1555
TMOD3	-0.239
EEA1	-0.2439
ADCK5	0.2175
IL1R1	1.60866666666667
KLK3	0.510142857142857
HRSP12	-1.42425
KTN1	0.02825
LOH11CR2A	0.5275
RELL2	-0.203
MAB21L1	2.12775
C20orf59	-0.608166666666667
PHKB	-0.407
ADAM2	-1.854
TBC1D8B	0.285666666666667
FAM13A1	-0.3893125
LAPTM4B	-3.43341666666667
LCN8	1.591
TMEM147	-0.44
SYT4	0.0348333333333333
XPO7	-0.833
C9orf62	2.0525
GPR75	0.35
TRIM5	0.624875
APOC1	0.321833333333333
RNASE4	-1.40266666666667
PARD6B	-1.359625
ARID1A	0.637833333333333
TPD52L3	0.1386
RRAGB	0.355
RCN2	-1.228
HIST2H2BE	-0.703125
STARD7	-0.1495
SHMT2	-1.21475
KIAA1751	0.5495
MLYCD	-0.39575
LOC162632	0.1968
UQCRH	-1.8155
RP11-217H1.1	-0.06125
SDHA	-1.23233333333333
NCLN	-0.5744
ZNF17	0.5215
RCBTB2	-0.165
VEGFB	-0.191
RP4-747L4.3	0.59325
COLQ	1.2412
MPN2	-0.907833333333333
DRG2	0.0915
KLRB1	7.8685
ALPK2	0.89
DNASE2B	0.273
FLJ23834	0.1785
AXUD1	1.149
SAFB	0.5005
NSUN4	-0.4645
RFX2	-0.276833333333333
MAPK8IP1	-1.41466666666667
FANCD2	-1.21178571428571
ANKZF1	-0.608833333333333
C19orf50	-0.475125
DUSP8	0.3235
SENP5	-0.494
NFKBIL2	-0.8975
LBR	0.097125
IGFL1	-0.356
LZTS2	0.0505
IL2RG	3.086875
CCDC51	-0.86175
KLF3	-0.232625
ANKRD37	-1.518
KCTD14	-2.48783333333333
FZR1	0.11975
SLC44A4	0.5772
ESPL1	-0.726375
GMPR2	-0.5163
TBC1D19	-1.1355
ERGIC1	0.0497037037037037
ERBB4	2.5118
TSPAN32	2.29966666666667
MAP4	-0.364125
GPHN	-1.2745
SLC6A2	-0.19825
HIVEP1	0.87375
DFFB	0.1573
EIF4EBP2	0.372125
DMRT1	-0.50925
HSPB6	-0.131
IER2	0.642333333333333
AIFM1	-0.38275
WWC2	-0.766583333333334
MRPL4	-1.02225
FLJ21062	0.878
EPB41L4A	1.21875
SH2D6	0.01775
TAF4B	0.4065
GAL3ST3	-0.0975
MALT1	0.8585
RTDR1	-0.3405
ARVCF	-0.90925
MEX3B	-1.499
FBXO16	-0.586
KIF7	-1.08575
C1QC	4.05533333333333
ZNF783	0.0916666666666667
ZNF85	0.07725
MMP13	-2.4275
KIAA0329	0.323
RTP3	-0.594
ZBED3	-0.25075
CLGN	-2.906
SLC25A37	-1.36241666666667
hCG_18290	0.48075
OR5AS1	-0.1975
SMARCC2	1.00633333333333
FAM109A	-0.369166666666667
CCDC12	0.58925
USF2	0.8253
DEPDC7	-3.13525
C20orf24	-1.169
JMJD3	1.0555
DSP	-0.397142857142857
SLIC1	1.742625
FAM20A	2.396625
IRF2BP2	1.244
ZNF230	0.458
MSN	0.968571428571429
SLC9A5	-1.5635
EPDR1	-1.8622
MUSK	0.497333333333333
ZNF434	0.378166666666667
SMARCD1	-0.43
