Hybridization REF	TCGA-BH-A0BA-01A-11R-A056-07
OR52A1	0.1145
HSP90B3P	-1.195
ALG9	-0.7421
BTBD10	-0.139
SDK2	-0.541
BAIAP3	1.73025
RABGGTB	-0.735875
ANKRD40	-0.1745
KRT74	1.5905
CALCOCO2	0.527285714285714
SNCA	-2.63
TMSL8	-3.601125
C2orf53	0.6325
ESRRB	-0.6605
ARHGAP26	-0.244625
TDRD9	0.5335
HRAS	0.202333333333333
KLRC4	-3.4125
JAGN1	-0.0156666666666667
BSDC1	0.7555
RNF43	-1.4496
NDUFAF1	0.09025
PHF12	0.43375
OR1L3	0.54625
FOLR2	2.25225
LYZL6	-0.0568333333333333
tcag7.1260	-1.644
WSB1	-0.990166666666667
PROS1	-0.9329
OSTN	0.7035
PSMB8	0.23325
SOCS4	-0.824
DDIT4L	1.40025
MAS1	0.886
MGC34796	1.511
CSHL1	-0.3746
TBCCD1	0.130666666666667
ZBTB7C	0.6845
AP2S1	-0.5615
P15RS	-0.3267
VAT1	-0.1794
SHANK3	1.53266666666667
TUFM	0.159333333333333
THEG	-0.11525
KRT34	-2.27275
SGSM3	0.34725
TOMM22	-0.08575
SOCS3	1.528
CPO	0.356
POP4	0.0155
BHLHB3	0.94925
MALL	0.6575
OR1B1	0.301
PARK2	0.453833333333333
GPR124	1.257375
LCE1E	0.27
RUVBL2	-0.7985
CGRRF1	0.3339
ACPL2	0.06125
WNT10B	-2.0885
BAIAP2L2	-1.817125
ISCA1	0.1965
C1orf125	-0.0745714285714286
RPAP1	-0.17875
RAI16	0.551333333333333
RPL27	-0.30175
NLRP9	0.7005
EPN1	0.157
LOC388610	-0.3155
SLC35A1	0.1308
GAL	-3.5275
SLC14A2	0.14925
RDH11	-0.4355
FAM138F	-0.3195
AUH	-0.0065
FLJ40243	0.00349999999999999
C14orf129	-0.0236666666666666
MBD2	-0.374
ABHD14B	0.494375
PIGT	-0.402625
ALS2CR4	-1.405125
ALAS1	0.00400000000000001
FOXO1	1.018
CRLF3	-0.48825
C20orf107	-0.3205
FARS2	0.8945
CCDC28A	0.815
NPHP3	-0.8285
OR13F1	0.492
TSEN54	-0.78875
DEFB106B	0.0984
OR8B4	0.8095
STH	0.77275
ZC3H14	-0.51275
CBX2	0.192
TMEM49	-1.61325
C6orf21	0.31
FLJ20920	1.49
CRTAP	0.236571428571429
DDX50	0.015
STYXL1	0.56325
BLVRB	0.178166666666667
LOC147650	-0.279166666666667
MMP24	0.1755
GRID1	1.78566666666667
BANF1	-0.597166666666667
CTAGEP	0.26775
HMBS	-2.07525
SLC25A24	0.664833333333333
C14orf50	0.26125
MRO	1.69483333333333
SLC25A15	-1.5945
FAM84B	2.3447
TDP1	-0.4985
C16orf78	0.0481666666666667
C11orf57	0.521625
RFK	-0.676
ZFYVE9	-1.12028571428571
STCH	-1.2407
WIBG	0.67475
LOC283871	-1.07933333333333
GBA2	-0.8408
NDUFB3	-0.52025
HSD17B13	-0.75
GRIN3A	1.5235
FMNL1	-0.711333333333333
SEPT7	-0.2726
GNLY	3.3855
GRAMD1C	0.463333333333333
ZNF165	-0.5015
USP38	0.23575
FAM83A	-2.931
C14orf24	0.5495
ARMCX3	0.37025
ARHGDIB	0.379166666666667
AK1	0.601
KIAA1045	-0.9695
DNAJB13	-0.3005
NEU2	0.907
HIST1H4B	-0.5215
FAM20B	-0.356
HES2	0.441307692307692
FAM73B	-0.6529
LOC388381	-0.272666666666667
INTS7	-0.170454545454545
AMPH	0.99825
ZNF775	0.551875
UCKL1	-0.885833333333333
C10orf97	0.427
C1orf161	-0.714
ALDH1L1	-0.93825
FLJ39378	-0.23025
SLC23A1	-0.3405
RBM4B	-0.47875
THAP4	0.392333333333333
OGFRL1	0.9945
KIAA0831	0.63175
PPP1R15A	-0.144666666666667
C1orf96	-0.119357142857143
C12orf11	-2.42
BMF	1.213125
MAN1A1	-1.241125
KIAA1600	1.07483333333333
NLGN4X	-0.42625
ALOX12	-1.2602
RB1CC1	0.8219
NEIL2	1.5047
EIF4E	-0.281772727272727
ABHD5	0.45025
EXOC4	0.299833333333333
CIP29	-0.508333333333333
BATF2	0.09175
SLC29A4	-0.8395
HTR4	0.24625
EMB	-1.50675
TRAF6	0.594
LMNB1	-2.43475
FAM19A5	0.116125
SHE	2.549
PIK3C2B	1.55125
C15orf15	-0.4532
USP15	-0.3996
TCEAL2	0.00825000000000001
C5orf39	-0.0973333333333333
PTGER2	-0.74175
SLC31A1	-0.7753125
IFT172	0.66075
ADAM29	0.14975
GFOD1	-0.2795
ST7L	0.0065
C15orf26	-2.46875
PKN3	-1.55375
CNTD1	3.47716666666667
COMMD1	-0.0665
NTRK2	3.29158333333333
FOXN3	-0.035875
MFGE8	-0.7919
PFKFB2	-0.0831666666666667
TAS2R4	-0.4975
ENTHD1	2.24683333333333
PRMT5	-1.072875
MGC16384	-1.111
LOC442229	-0.79
TSKU	0.02775
KRTCAP3	3.61525
PDLIM1	0.7079
KCNS2	0.14
RNF126	-0.525333333333333
CEP63	-0.05975
CLIC4	-0.591375
hCG_1990170	-0.39475
ACR	0.4821
KLK7	-0.73825
ALOX5AP	3.878875
RIPK3	4.7765
TAS2R9	-0.6595
C19orf18	-1.9465
BIRC6	-0.270785714285714
ZNF16	1.875
RFT1	-0.41725
SLC8A2	0.1515
TACC1	0.189625
ITGAD	1.08825
SAMHD1	1.3175
SH3PXD2B	1.2025
EPC2	1.128
C20orf85	5.283
ATP13A2	-0.131166666666667
KRT4	0.507625
CAPNS1	-0.37375
MDM2	-0.234833333333333
PCDH20	3.135
KCNK9	0.723
OR2C1	-1.6585
KLHDC3	-0.7425
IPPK	0.8365
EFHD2	0.0855
GALR3	1.71875
NBEA	1.26616666666667
ABCA6	3.5144
CLDN3	2.56633333333333
AKT2	-0.638071428571429
EGFR	-1.9791
RBM16	0.278
ZDHHC3	0.6453
SLC25A4	-2.44916666666667
CYB5B	-2.05533333333333
CPXM1	0.35575
NDRG1	-0.409769230769231
FLJ43826	-0.35175
OR5L2	-0.182166666666667
FARP2	0.5255
MRPL46	-0.672083333333333
LDHAL6B	-2.1335
MAPKAPK3	-0.0145
NCAM2	0.27875
PRKD2	0.346833333333333
ZFP36L1	1.6023
CYSLTR1	0.8985
OR4C3	-1.26825
HIST1H2AJ	0.7425
CCNB2	-3.20566666666667
ZNF10	-0.332875
TMEM175	0.877
FAM134A	0.833666666666667
TIGD4	0.384
PCNP	-0.53375
MGC39715	-0.47575
LQK1	-1.17975
CREB1	0.3461
TMPRSS3	2.4715
C4orf32	1.143625
LAT	-1.33316666666667
KCNA3	0.8785
SKIV2L2	-1.00375
ROPN1B	-1.318
tcag7.23	-0.6975
CDT1	-2.7545
ZHX2	2.209375
CD28	-1.843
ZNF624	1.18125
SEPT2	0.250166666666667
SOHLH2	-1.831
MCOLN3	-1.58942857142857
UNQ1945	1.1485
MASP2	-1.4875
ZNRF3	-0.3447
GPATCH3	-0.31525
AGL	-1.368375
QRICH2	-1.1595
PSD4	1.01583333333333
CCNB1IP1	-1.91175
ENPP7	-0.76475
OBFC1	0.89075
KCNG3	-1.41575
C14orf79	1.51391666666667
ENPEP	1.13366666666667
SCT	2.533
SKI	1.182375
SEC61G	-0.7205
CAPN11	-0.148
ATXN7L3	-0.42075
DBNDD1	-0.377666666666667
FAIM	0.119
ANKRD36	-1.3325
GABRP	-0.204166666666667
TACSTD2	1.30133333333333
EIF3J	-0.6005
PPP2R2A	-0.628
TEKT4	0.574
PVALB	-3.749
F10	-1.87883333333333
FAM134C	0.5078
COMP	4.977625
EFCBP1	-2.32126666666667
SCLT1	-0.063
TAL1	-0.9366
ACSL1	0.76925
ABCC5	1.42958333333333
ABL1	-0.673555555555555
RBBP7	-0.0494166666666667
PTPRG	-0.70025
NCOR1	-0.0222
SPINK4	-1.24733333333333
TXNRD1	-1.7059
TNRC15	0.794875
C9orf138	1.768
UBE2H	1.092
BRDT	1.4875
C8orf31	-0.237
CCNE2	-0.803545454545455
SLC6A8	-1.216625
CALCR	-3.34075
PPP1CB	0.725833333333333
ABHD8	0.13
ARF5	0.7124
SLC24A4	0.69225
CCT3	0.462
ZNF121	-0.7315
SLC3A2	-0.7459
OR13A1	0.6075
SLC5A10	0.47475
RAD50	-0.1095
IER5	1.171
MTHFD1L	-2.036125
MBTPS2	0.35925
MVK	-0.99975
NCL	-0.1537
PSMD10	-1.38625
MOBP	0.40975
FLJ32894	1.204
HRH1	-0.0758333333333333
C5orf30	0.286
NUDT16L1	1.5412
RASGRP3	4.3105
PRKRIP1	-0.146
CCDC75	0.04525
LOC253970	1.57875
KIAA1239	1.022
MED21	-0.4885
SYT11	0.483583333333333
NTSR2	-1.1545
EGFL11	0.099
CXorf59	1.1995
OR2A25	-0.4675
SPTBN2	-0.7265
LRMP	-1.40166666666667
RNF111	-0.10475
PTH	0.038
LOC619208	1.05933333333333
KIAA0895	0.6625
RANBP5	-1.25925
P2RY10	0.600666666666667
NME5	4.93583333333333
DDX21	-0.85775
LRSAM1	0.9005
HDAC11	2.01833333333333
VMO1	1.903
NOLA2	-0.335166666666667
ADAR	0.704833333333333
MTO1	-1.41466666666667
SF4	-0.0543333333333333
P2RX1	-0.525333333333333
HBM	0.3435
EN2	2.12
C14orf172	-0.04475
TM9SF2	0.0624
INHBE	-2.21416666666667
TCTE3	-0.228666666666667
TOX2	-2.6075
CTAGE3	0.076875
HBB	4.7373
MED15	-0.7595
CASR	0.8905
C6orf66	-1.85233333333333
MTPN	-0.3525
UNC50	-0.70225
C21orf33	0.39775
IRF2	1.04325
PGR	2.78083333333333
GPR84	3.08025
CROCCL1	-2.588
SRPX	-0.597
BRE	0.2155
FGF10	3.90925
SDC3	0.933
ZRSR1	0.413
DKFZP434P211	0.453125
SOX6	2.8125
RPUSD2	0.59575
C14orf173	0.129916666666667
MAPK11	0.266333333333333
TBC1D22A	0.4585
FAM123A	-2.177
COL4A6	-3.30666666666667
TOMM70A	-0.219
NAB1	0.091125
MGC16385	-0.5885
TSPAN18	-0.00483333333333334
MED31	-0.282
PLG	0.02775
CAPSL	2.758
ZNF532	0.3602
ASB14	0.1455
CA8	1.339
NUDT16P	-0.258166666666667
SLFN11	-0.887
LRRIQ2	0.08075
NOL7	-0.339666666666667
BRMS1L	-1.206
JARID1A	0.091
PANK2	-0.84225
ICAM3	-0.62975
MDS1	-1.17125
TAF8	-1.009
RNF139	1.7345
ZNF594	-0.0478333333333333
ADAM8	2.587125
SFTPC	-0.2475
MAN2B2	0.740875
RGS12	0.142375
EIF1AY	-4.74654545454546
LRRIQ1	-0.0291666666666666
GPR150	2.1
CCDC21	-2.09533333333333
PRRG3	0.337
SAA4	-3.0545
RAPGEF5	2.171375
ZCCHC2	0.228416666666667
MGC39372	1.234
PPP4R2	0.1735
CDCA2	-2.48883333333333
OR4D5	0.0205000000000001
PTGFRN	0.7378
SIGLEC5	2.4625
C19orf61	-0.4055
NMUR2	-0.488
KIAA1586	-1.6775
DAGLA	0.187
CHCHD6	-0.29075
GPR32	-0.0685
NEUROD6	-0.177
SLC2A4RG	0.2013125
CA5B	0.61975
FBXL3	1.81575
MPHOSPH9	-1.78675
HMG2L1	-0.23925
HCN4	1.61316666666667
CEACAM19	0.63275
SH2D4B	0.667
HFE2	-1.3155
TGM4	-0.827
LYPD2	-0.1915
TBC1D15	0.462
MRPS21	0.3661
NONO	-1.1642
CLEC5A	2.753125
ITCH	0.2004
MGAT3	-0.177833333333333
MBP	-0.3275
RPP25	0.07425
SOSTDC1	-3.14733333333333
HRC	-1.27375
TRIM48	0.2215
TMEM133	-0.903
ECEL1P2	-2.499
HOXC11	1.3235
DOK5	0.042
HELZ	0.1775
LOC348180	-1.076
MGC33894	-0.0925
ADRB3	0.4445
DMD	-0.173
PTRH2	-0.7935
MPEG1	3.65883333333333
NDUFA12	-0.612333333333333
KRTAP2-4	0.292272727272727
STAMBPL1	-1.56366666666667
ADCY2	0.262333333333333
UNQ6125	1.455
KLHL20	0.604333333333333
SRM	-0.8265
OTC	-0.28125
TMIE	0.140666666666667
SNX8	0.6295
LIPK	-0.033
CHURC1	-0.160166666666667
KLC2	0.457333333333333
HDAC1	-0.194
FAM128A	-0.22
FNDC3B	-0.5548
MTCP1	-1.01416666666667
WFDC10B	0.117
PCDHGB3	-0.5545
ATRNL1	-2.0558
CAV2	-1.041
MED26	-0.248833333333333
DUS1L	0.36725
CHRM3	-1.8055
NEK9	0.70625
WARS2	0.22625
TBX22	0.7375
TOMM40	-0.97925
RP6-213H19.1	-3.13466666666667
TUBGCP5	-1.0575
IGSF6	6.15525
TPPP	0.0115
UNQ6190	-0.5445
GSTM5	1.502375
BTD	0.866666666666667
PDCD1LG2	-0.559
SNRPB2	-0.58
ERICH1	-0.333625
APOA4	-1.47725
HOXA11	-2.22625
NARG1	-0.403
MKX	-0.73725
RAB28	-0.687357142857143
PKP3	1.13875
SH3GL2	0.97175
CTSO	1.70125
RPN2	-0.2974375
IL28RA	0.858166666666667
SFMBT1	0.7905
WDR57	-0.707125
FER1L3	1.437
HSF5	-1.03433333333333
TTC9B	0.83425
C4BPA	-3.48266666666667
ALB	-4.15807142857143
SORBS3	0.434375
UPF2	-0.0225
JPH1	-0.157
AGBL2	0.086
DOPEY1	1.5035
TERF1	0.64125
KIF22	-0.8675
NINJ1	1.02275
SEC61A2	-1.36358333333333
HIST1H1D	1.04433333333333
SFXN4	-0.207125
UCP3	0.3061
ZNF703	1.67966666666667
MYL6B	-0.25475
TREM1	2.95425
OR52E6	0.08
CKMT2	1.50075
HLA-C	2.123625
SLC13A3	-1.63616666666667
TIMP4	0.53575
SLIT2	2.4645
RSF1	-0.307222222222222
LONRF1	-0.164071428571429
MON1A	-0.534166666666667
CACNG6	-0.382
DPPA4	-4.7265
ZSWIM3	-0.19675
ZNF804A	0.3905
CCIN	1.49775
SLC25A31	0.392333333333333
KCNMB4	-0.343
RABL5	0.790375
GALNS	-0.8525
STX6	1.46175
HIST1H1C	1.6835
CIDEB	-0.4295
CASP4	0.269666666666667
PDK3	-0.2375
KCNJ11	1.998
TPR	-0.013375
ZSCAN20	0.075
MTX2	-0.523
HIST1H2BH	1.18175
LOC283767	0.38175
LYRM7	-1.57305555555556
BRD3	0.5015
HIST1H2BO	0.7715
MAGEB10	-0.1785
SLC45A1	1.133
SERPINA3	1.71245
KIAA0143	1.4865
KCNJ16	0.375
KRT79	-0.183
FABP2	0.09
NUT	0.1365
ZNF57	-0.60425
FBXL4	-0.561
CLEC9A	1.1815
UGT8	-1.43666666666667
BMP2K	-0.191
MAPK4	-3.70675
SLC25A23	-0.5386
HINT1	-0.3956
KRTAP13-1	0.307
SFXN5	-0.4671
CHCHD2	0.323166666666667
FAM3D	0.7965
NDP	-3.14325
RHOBTB1	0.8145
SLC4A4	-1.14775
RPL38	-0.39325
HTF9C	-0.670333333333333
AP2A2	0.490375
ZBTB46	-1.064
MAP7D1	0.528
AOX1	-0.5005
CYR61	1.48525
DTNA	-0.376857142857143
JRKL	-0.65
TMOD3	-0.7365
EEA1	-0.2099
ADCK5	0.57625
IL1R1	0.934333333333333
KLK3	0.677923076923077
HRSP12	0.48475
KTN1	0.3275
LOH11CR2A	1.1358
RELL2	-1.021
MAB21L1	0.88325
C20orf59	-1.059
PHKB	-0.66675
ADAM2	-1.8415
TBC1D8B	1.36116666666667
FAM13A1	-1.89686666666667
LAPTM4B	-0.8695
LCN8	-0.355
TMEM147	0.106
SYT4	-0.333166666666667
XPO7	-0.475
C9orf62	2.58575
GPR75	-0.0955
TRIM5	-0.454375
APOC1	2.04283333333333
RNASE4	1.79333333333333
PARD6B	-1.391125
ARID1A	0.196
TPD52L3	0.221777777777778
RRAGB	0.0275
RCN2	-1.24916666666667
HIST2H2BE	1.1748125
STARD7	-0.215
SHMT2	-1.3195
KIAA1751	-0.72
MLYCD	-0.2775
LOC162632	-1.2775
UQCRH	-1.726
RP11-217H1.1	-0.103625
SDHA	-1.53483333333333
NCLN	0.0328
ZNF17	0.328
RCBTB2	-1.423
VEGFB	-0.0307
RP4-747L4.3	-0.08125
COLQ	-0.0276666666666667
MPN2	-1.3084
DRG2	0.0952500000000001
KLRB1	5.60875
ALPK2	-2.2245
DNASE2B	1.66475
FLJ23834	2.00666666666667
AXUD1	0.9945
SAFB	-0.1168
NSUN4	-0.129
RFX2	0.9525
MAPK8IP1	-0.6465
FANCD2	-0.514714285714286
ANKZF1	-1.21466666666667
C19orf50	-0.67575
DUSP8	1.438
SENP5	-0.176125
NFKBIL2	-0.72725
LBR	-1.704375
IGFL1	1.2645
LZTS2	0.891625
IL2RG	-0.499875
CCDC51	0.283
KLF3	0.415
ANKRD37	-0.8855
KCTD14	-1.519
FZR1	0.298583333333333
SLC44A4	4.2666
ESPL1	-1.66825
GMPR2	0.176
TBC1D19	-0.651833333333333
ERGIC1	0.699222222222222
ERBB4	3.6717
TSPAN32	0.0721666666666667
MAP4	-0.15175
GPHN	-0.67025
SLC6A2	-0.38875
HIVEP1	0.75625
DFFB	-0.3986
EIF4EBP2	1.014
DMRT1	-2.0355
HSPB6	0.1385
IER2	0.335
AIFM1	-0.03525
WWC2	-0.996272727272727
MRPL4	-0.7235
FLJ21062	1.91216666666667
EPB41L4A	0.129833333333333
SH2D6	0.30225
TAF4B	-1.7815
GAL3ST3	-0.272
MALT1	-1.409
RTDR1	1.4335
ARVCF	0.44925
MEX3B	-1.3635
FBXO16	2.327
KIF7	-1.4375
C1QC	4.79366666666667
ZNF783	-0.255166666666667
ZNF85	-1.2525
MMP13	3.7855
KIAA0329	1.21475
RTP3	-1.7
ZBED3	0.28575
CLGN	-0.06475
SLC25A37	-1.067875
hCG_18290	0.02975
OR5AS1	-0.081
SMARCC2	0.784333333333333
FAM109A	0.114
CCDC12	0.015
USF2	0.5058
DEPDC7	-1.72825
C20orf24	-1.13866666666667
JMJD3	0.5875
DSP	2.43321428571429
SLIC1	0.661125
FAM20A	1.869125
IRF2BP2	1.434125
ZNF230	-0.139
MSN	-0.423071428571428
SLC9A5	-0.926
EPDR1	-1.1019
MUSK	-0.675833333333333
ZNF434	1.26333333333333
