Hybridization REF	TCGA-A8-A0AD-01A-11R-A056-07
USP6NL	-1.42425
ABCD4	-0.9715
DIMT1L	-0.98025
TEK	0.73775
SLC25A46	-0.00475
LARP7	-1.7405
CD160	-0.554333333333333
MT1JP	-1.378
PHF20	0.1369375
CPNE4	-2.91275
GTPBP1	-0.491214285714286
RAB33B	1.20633333333333
ALDOC	-3.010625
ZNF212	-0.5815
NUDT1	-1.2415
RFPL2	-0.36575
ZNF83	0.165833333333333
GDPD5	0.03475
PDCD4	0.83015
CEP350	0.309
OR10A2	0.6535
CST7	1.04
CIAO1	-0.8415
SELL	0.600125
OR8J3	-0.7885
LTBP4	-0.190833333333333
SIRT6	-0.11625
CCL19	2.00275
PPIL1	-0.253166666666667
GBP7	0.592833333333333
STK17A	-0.5433
ABR	0.015
OR9G1	-0.5875
FOXE1	-1.158125
CNGA3	1.747
GML	0.3985
CD38	-4.56475
ZDHHC6	-0.634166666666667
NEFH	-2.19025
CTDSP2	0.62625
PGBD5	-1.0635
CCNY	0.219214285714286
RMND5B	0.55225
ZNF257	-0.6485
FLJ22167	-1.062375
EXOSC7	-0.261666666666667
ROR2	1.362625
MAOA	0.114125
TNNT3	0.993
GYPC	-0.84075
C7orf33	0.7105
PLIN	3.49316666666667
LOC90826	-0.09925
RNF4	-0.0765
F8A1	0.544833333333333
PLEKHG4	-2.32725
GRB2	0.6198
HIST1H2AD	-0.58575
DUS3L	-0.790166666666667
EIF1	0.0688333333333333
RP5-1077B9.4	-0.995666666666667
FPGT	1.417
GDF10	-0.9875
COQ9	-0.5915
GCC2	0.864142857142857
RARRES3	2.95425
PLXNA1	-0.873
KIAA0100	-0.3891
PMF1	-0.179
FNDC1	5.28325
HS2ST1	-0.209416666666667
CRELD2	1.14925
C8G	-1.989
CD82	0.54825
LIM2	-1.4015
UNQ6490	0.5095
MMP16	-0.01175
DRD3	0.0535
C5orf26	-1.50975
C11orf73	-0.224
PTP4A2	1.712125
OR4M2	1.0085
HPCA	-0.5535
SEC14L1	-1.043
CHFR	-0.156875
EMILIN1	0.8605
NDUFS4	-0.519
COL18A1	0.2935
PDZD3	-0.301
C9orf16	0.0218333333333333
ERBB2IP	0.322
EMX2	4.858
FUS	-0.46675
TF	-4.0118
CLCN4	-0.845
CXorf56	0.4375
C11orf72	0.20225
ELAC2	-1.08116666666667
NPR1	-0.89225
ASS1	-3.75483333333333
USP42	0.0465
POLR2J	-1.095
SEC23IP	0.7975
UQCRC1	0.16125
LOC729603	-0.33875
C1orf71	0.29475
POLG	-1.9095
ADAM23	-2.724
TFR2	-1.40925
RICTOR	-0.7461
MGC39606	0.3135
C19orf55	-0.254625
SNAPC1	-2.01066666666667
GNA11	1.079
CCDC52	-0.124
FSIP1	5.017
UPF3A	-0.8325
IGSF11	-2.24483333333333
LAGE3	-0.04525
CHST6	-0.527
UNC13B	0.123125
TTLL4	-0.8165
ZNF687	-0.177625
SDC2	0.0137
COX7A2	-0.845
LAMB4	0.1805
FAM24A	0.0235
LRRTM3	-0.95
GPHB5	-0.192
OR4C13	0.0965
EIF3EIP	-0.0322857142857143
HABP4	-0.8435
TMEM125	3.22825
CNTN2	-0.097625
ASNSD1	-0.31575
FUT4	-0.2425
ACF	-4.029
LOC158381	1.1795
CDH8	-0.67675
AGPS	0.185333333333333
C4orf18	4.903625
PECI	-1.73175
UNG	-0.850375
GSTP1	-2.1475
DCUN1D5	-0.177666666666667
DKFZP564J0863	0.01
SLC9A3R1	1.702
BCDO2	-0.49275
CHMP7	0.840125
REM2	0.05
DNHD1	-0.315625
FKBP4	0.36125
ZNF350	2.00575
MGC11102	-0.112625
BST1	1.553
KISS1R	1.0225
NCR2	-0.0005
DEFB125	-0.612
UBE2W	1.383
KRT15	0.87525
C10orf99	0.1525
SCN11A	-0.848142857142857
GFI1	-3.571
RDHE2	4.66916666666667
FHL1	-0.956833333333333
OSGEP	-0.459166666666667
GATA1	-3.63833333333333
SMC6	-0.396
TTTY14	-1.3425
LPIN3	-0.00425000000000001
RPL4	-0.7965
RBPMS	0.7705
PRPF3	-0.484333333333333
EMR1	-1.0745
SPATA19	-0.96425
XCR1	0.7455
IRX3	1.8702
RBM6	-0.81725
KLF4	-0.303
UNC5CL	0.6655
SEBOX	-0.725
BTK	0.32975
KRCC1	0.80375
C6orf27	0.7185
SYTL5	-0.0365
PRND	3.837625
LOC653319	-1.3125
PIGL	-1.5985
HUS1	0.0878333333333333
SFRS6	-0.19625
C17orf77	0.4335
UIMC1	-0.672166666666667
FXYD2	-1.8012
LOC283152	-0.79775
ZNF667	0.59175
ZCCHC12	-0.95875
TFEC	3.7685
ATP7B	1.0105
POLD2	-0.911166666666667
RG9MTD1	-0.4645
ACOT2	0.7905
HIST1H4I	-1.631875
PPARGC1A	-3.09811111111111
ETFA	-1.493
POLRMT	-0.17925
ZNF146	0.44725
MIA2	-1.89
KLHL6	-0.765333333333333
HOXB5	-0.251125
NENF	0.7485
CUGBP1	0.1425
PRSS22	2.03633333333333
CASC4	1.551
CUL4B	0.1156
CENPJ	-2.1961
PITX1	0.502833333333333
FLJ31033	1.23066666666667
CELSR3	-0.828833333333333
ZNF568	0.9855
ITSN1	0.221333333333333
EHBP1L1	-0.8415
C19orf2	-1.12875
DCTN1	0.77925
LIN28B	-4.44483333333333
TNKS2	-0.6665
C1QBP	-1.43475
CADPS2	1.2215
SRMS	0.49875
GJA9	0.0258333333333333
MGC24975	-1.27633333333333
TRIM45	0.0173333333333333
TSP50	-0.1545
TCP1	-1.08275
TMED7	0.7622
CMA1	-0.6235
CENPL	-1.04516666666667
PTCRA	0.655
FST	-2.00625
VWCE	-3.99075
PAWR	1.45575
ABCC12	0.785666666666667
LDLR	1.2148
ASTN2	1.196
LOC441212	-0.913125
GPATCH8	-0.15
TANC2	0.473916666666667
KIF4A	-1.3475
C18orf18	-0.14225
PGM1	-0.13725
KIAA0258	1.6595
CPD	0.00825000000000001
SNCAIP	-1.801
DCT	-4.63633333333333
HLA-DOA	3.40159090909091
OR11L1	0.401
UPK1B	-0.790166666666667
DNAJB4	-0.286375
UGT1A8	-0.4935
HIST1H4L	-1.0255
PECR	-0.923333333333333
HSPA2	1.92275
WFIKKN1	-2.789
SERP1	1.346625
SYDE2	1.462
TACR2	1.113
NUP85	-0.8445
CD177	-0.340666666666667
LGR5	-2.34583333333333
PIGG	0.0104166666666666
PTHR1	-1.03483333333333
RAB5A	0.3906
FLJ13224	-0.314
USP9Y	-1.6224
C7orf53	-1.646
LRP1B	6.99525
XAF1	1.6196
ABCG8	-0.819
ANKDD1A	-0.377333333333333
DAND5	-2.456
SPAG6	4.88133333333333
LINCR	-0.18775
ZDHHC22	-2.252375
CCDC60	0.963
THOC7	-1.41233333333333
TCTA	1.8316
OR8K3	-0.16375
NY-REN-7	-0.3245
B2M	1.37266666666667
C6orf141	0.523125
LPPR4	1.15925
SQLE	-0.57225
SEPHS1	-1.60125
BTBD14B	0.619428571428572
PLRG1	-0.492
SPG7	-0.6410625
ZNF614	0.1935
PARD6G	1.03166666666667
INPP5B	-0.4888
GRPEL2	0.050125
PPID	-1.3072
TRIM56	-0.80775
UBE2J1	-0.83675
IL20RA	2.387
LOC387856	0.2265
C1orf107	-0.458083333333333
UTS2R	1.05275
C19orf22	0.12225
SAFB2	0.2075
KIAA0652	0.302125
KLRG1	-1.68883333333333
MS4A8B	0.826166666666667
FRAG1	0.45
KIAA1546	0.97925
E2F4	-1.0227
CLEC4M	0.3672
BTBD14A	-1.2155
KIAA0999	1.9551
GYPA	-3.9528
TAC1	-0.166555555555556
TRAIP	-1.76416666666667
KIAA0232	1.1095
ERCC8	-0.983375
GPX4	0.411375
KIAA0368	-0.027125
GPR157	-0.785166666666667
CTAGE4	1.193
C9orf30	-2.48333333333333
OR52A1	-0.0315
HSP90B3P	-0.5235
ALG9	-0.5041
BTBD10	0.60775
SDK2	0.1335
BAIAP3	-1.097
RABGGTB	-1.123375
ANKRD40	0.170166666666667
KRT74	0.501
CALCOCO2	0.834071428571429
SNCA	-2.0315
TMSL8	-5.29975
C2orf53	-1.22
ESRRB	-1.392
ARHGAP26	-0.59
TDRD9	-2.891
HRAS	0.1565
KLRC4	-2.7435
JAGN1	-0.209166666666667
BSDC1	0.7235
RNF43	0.5789
NDUFAF1	0.265
PHF12	0.53125
OR1L3	-0.18475
FOLR2	1.32325
LYZL6	-0.163
tcag7.1260	-1.1735
WSB1	-1.86733333333333
PROS1	-1.1134
OSTN	0.2765
PSMB8	0.38975
SOCS4	-0.382875
DDIT4L	1.77225
MAS1	-0.192
MGC34796	2.24825
CSHL1	0.333166666666667
TBCCD1	-0.4135
ZBTB7C	-0.1675
AP2S1	-0.124875
P15RS	0.4608
VAT1	-0.9191
SHANK3	0.794166666666667
TUFM	0.0173333333333333
THEG	-0.26425
KRT34	-2.35025
SGSM3	0.37525
TOMM22	-0.039125
SOCS3	0.414666666666667
CPO	0.6175
POP4	0.10425
BHLHB3	1.7715
MALL	0.84075
OR1B1	0.61
PARK2	0.5485
GPR124	0.712125
LCE1E	0.0895
RUVBL2	-0.57975
CGRRF1	0.0761
ACPL2	0.022
WNT10B	-3.00975
BAIAP2L2	-2.510875
ISCA1	0.221
C1orf125	-0.502625
RPAP1	-1.13725
RAI16	0.268333333333333
RPL27	-0.66225
NLRP9	-0.4145
EPN1	0.293
LOC388610	0.426875
SLC35A1	0.2971
GAL	-5.00125
SLC14A2	0.57725
RDH11	-0.184833333333333
FAM138F	-0.4975
AUH	-0.467
FLJ40243	-0.331
C14orf129	0.717666666666667
MBD2	-0.296
ABHD14B	0.02725
PIGT	0.68225
ALS2CR4	-0.935875
ALAS1	0.3974
FOXO1	0.594333333333333
CRLF3	-0.95225
C20orf107	-0.1305
FARS2	0.7555
CCDC28A	0.8155
NPHP3	-0.979
OR13F1	0.181
TSEN54	-0.6305
DEFB106B	0.4092
OR8B4	0.43
STH	2.164
ZC3H14	-0.378875
CBX2	0.067
TMEM49	-0.39425
C6orf21	0.558
FLJ20920	1.2125
CRTAP	-0.0277142857142857
DDX50	-1.004
STYXL1	0.2505
BLVRB	0.798833333333333
LOC147650	-1.117
MMP24	0.06325
GRID1	1.50966666666667
BANF1	-0.236166666666667
CTAGEP	0.57775
HMBS	-2.089
SLC25A24	0.2235
C14orf50	2.16875
MRO	0.7275
SLC25A15	-0.813
FAM84B	1.5729
TDP1	-1.598
C16orf78	0.635333333333333
C11orf57	0.10475
RFK	-0.311375
ZFYVE9	1.329
STCH	-0.734
WIBG	0.08275
LOC283871	-0.0746666666666667
GBA2	0.1154
NDUFB3	-0.12425
HSD17B13	-0.49
GRIN3A	0.2395
FMNL1	0.523833333333333
SEPT7	-0.1245
GNLY	0.6255
GRAMD1C	0.375833333333333
ZNF165	0.61075
USP38	1.07175
FAM83A	-3.89833333333333
C14orf24	0.427833333333333
ARMCX3	0.859375
ARHGDIB	1.0235
AK1	0.6835
KIAA1045	-1.138
DNAJB13	-0.584833333333333
NEU2	0.565
HIST1H4B	-1.32883333333333
FAM20B	-0.1958
HES2	1.05183333333333
FAM73B	-0.083
LOC388381	-0.46825
INTS7	-0.547909090909091
AMPH	2.05625
ZNF775	0.071375
UCKL1	-0.905333333333333
C10orf97	-0.59375
C1orf161	-0.35275
ALDH1L1	-0.972
FLJ39378	-0.230375
SLC23A1	-1.1205
RBM4B	-0.135
THAP4	0.216
OGFRL1	1.50125
KIAA0831	0.459375
PPP1R15A	-0.2455
C1orf96	-0.109
C12orf11	-2.20175
BMF	0.451
MAN1A1	-0.191375
KIAA1600	0.568
NLGN4X	-1.892
ALOX12	-1.86233333333333
RB1CC1	-0.1458
NEIL2	0.5201
EIF4E	0.0417727272727273
ABHD5	-0.072
EXOC4	-0.2715
CIP29	-0.264166666666667
BATF2	-0.85825
SLC29A4	-1.223625
HTR4	0.3145
EMB	-0.8895
TRAF6	0.68375
LMNB1	-1.84875
FAM19A5	-0.011375
SHE	1.5185
PIK3C2B	0.5335
C15orf15	-0.8147
USP15	0.276
TCEAL2	-0.53925
C5orf39	-1.23716666666667
PTGER2	-1.18425
SLC31A1	0.20475
IFT172	-0.027
ADAM29	0.2265
GFOD1	-0.34275
ST7L	0.119833333333333
C15orf26	-4.041
PKN3	-1.9755
CNTD1	3.25266666666667
COMMD1	0.629875
NTRK2	5.8785
FOXN3	0.626875
MFGE8	-0.4124
PFKFB2	0.445333333333333
TAS2R4	0.17275
ENTHD1	0.0256666666666667
PRMT5	-0.6595
MGC16384	-1.139625
LOC442229	-0.1755
TSKU	2.255875
KRTCAP3	2.370375
PDLIM1	-1.68
KCNS2	0.0555
RNF126	-0.5645
CEP63	0.22375
CLIC4	-0.437125
hCG_1990170	-1.32133333333333
ACR	0.0672
KLK7	-0.6265
ALOX5AP	4.459
RIPK3	3.8265
TAS2R9	0.4555
C19orf18	1.261
BIRC6	-0.132285714285714
ZNF16	0.9765
RFT1	-0.644
SLC8A2	-0.788
TACC1	0.200875
ITGAD	1.21775
SAMHD1	1.25025
SH3PXD2B	1.7642
EPC2	1.10925
C20orf85	0.49775
ATP13A2	0.8635
KRT4	0.522625
CAPNS1	0.48275
MDM2	-0.0548333333333333
PCDH20	3.4225
KCNK9	0.2465
OR2C1	-0.4595
KLHDC3	-1.07466666666667
IPPK	0.751
EFHD2	-0.28275
GALR3	1.13525
NBEA	0.345
ABCA6	2.166
CLDN3	0.688833333333333
AKT2	0.0974285714285714
EGFR	-2.8446
RBM16	0.601
ZDHHC3	0.4114
SLC25A4	-2.69566666666667
CYB5B	-0.855333333333333
CPXM1	1.42775
NDRG1	-1.16084615384615
FLJ43826	0.139
OR5L2	-0.0185
FARP2	0.4267
MRPL46	-0.5225
LDHAL6B	0.141833333333333
MAPKAPK3	1.22966666666667
NCAM2	-0.3555
PRKD2	-0.102
ZFP36L1	1.527
CYSLTR1	0.14925
OR4C3	0.5835
HIST1H2AJ	2.595
CCNB2	-2.61866666666667
ZNF10	0.19575
TMEM175	0.7415
FAM134A	1.03216666666667
TIGD4	0.188
PCNP	-0.233
MGC39715	-0.128333333333333
LQK1	-1.189
CREB1	0.6048
TMPRSS3	2.7385
C4orf32	2.3515
LAT	-2.106
KCNA3	-1.7835
SKIV2L2	-0.8395
ROPN1B	-4.775
tcag7.23	-0.5065
CDT1	-3.05025
ZHX2	0.8015
CD28	-3.6545
ZNF624	0.1305
SEPT2	0.562916666666667
SOHLH2	0.271625
MCOLN3	1.012625
UNQ1945	1.0425
MASP2	-1.027
ZNRF3	2.0095
GPATCH3	-0.1265
AGL	2.175375
QRICH2	-0.4285
PSD4	1.62116666666667
CCNB1IP1	-2.664
ENPP7	0.12825
OBFC1	0.1805
KCNG3	-1.78
C14orf79	1.34266666666667
ENPEP	1.08516666666667
SCT	1.5675
SKI	1.12525
SEC61G	-1.2115
CAPN11	0.43075
ATXN7L3	-0.0285
DBNDD1	-0.862
FAIM	0.20925
ANKRD36	-0.44
GABRP	-0.903
TACSTD2	2.0255
EIF3J	-0.371
PPP2R2A	-0.10125
TEKT4	-0.168166666666667
PVALB	-3.8065
F10	-3.1705
FAM134C	1.0807
COMP	4.445375
EFCBP1	-3.197875
SCLT1	0.4535
TAL1	-1.2078
ACSL1	0.77575
ABCC5	0.541583333333333
ABL1	-0.213333333333333
RBBP7	0.610833333333333
PTPRG	0.37525
NCOR1	-0.197
SPINK4	2.0335
TXNRD1	-1.878
TNRC15	1.303
C9orf138	0.88575
UBE2H	0.921166666666667
BRDT	-0.757166666666667
C8orf31	-0.24425
CCNE2	-1.01454545454545
SLC6A8	-1.16075
CALCR	-3.8105
PPP1CB	0.6695
ABHD8	0.656
ARF5	0.1891
SLC24A4	0.91225
CCT3	-0.61925
ZNF121	0.87325
SLC3A2	-0.4311
OR13A1	0.2245
SLC5A10	-1.17625
RAD50	0.310125
IER5	0.069375
MTHFD1L	-1.79275
MBTPS2	0.47725
MVK	0.361875
NCL	-0.0209
PSMD10	-0.3325
MOBP	0.286375
FLJ32894	-0.5025
HRH1	-0.839
C5orf30	2.275
NUDT16L1	1.2636
RASGRP3	3.82133333333333
PRKRIP1	-0.2002
CCDC75	0.11325
LOC253970	0.107333333333333
KIAA1239	0.8285
MED21	-0.3075
SYT11	1.1615
NTSR2	-0.5505
EGFL11	3.1405
CXorf59	2.163
OR2A25	-0.1165
SPTBN2	0.246
LRMP	-0.742
RNF111	0.49725
PTH	0.671
LOC619208	0.215666666666667
KIAA0895	1.51975
RANBP5	-1.54825
P2RY10	-0.549166666666667
NME5	2.59516666666667
DDX21	-1.402
LRSAM1	-0.0045
HDAC11	1.68833333333333
VMO1	2.6665
NOLA2	-0.407333333333333
ADAR	0.733583333333333
MTO1	-1.319
SF4	0.072
P2RX1	-0.1775
HBM	0.093
EN2	1.399
C14orf172	0.2285
TM9SF2	-0.265
INHBE	-1.69
TCTE3	-0.126666666666667
TOX2	-3.23775
CTAGE3	0.790875
HBB	3.4734
MED15	-0.736166666666667
CASR	0.848
C6orf66	-1.94633333333333
MTPN	0.117
UNC50	0.06675
C21orf33	0.00175
IRF2	0.442375
PGR	3.07733333333333
GPR84	3.36675
CROCCL1	-1.99075
SRPX	-0.97575
BRE	0.446
FGF10	4.403
SDC3	1.21166666666667
ZRSR1	0.886666666666667
DKFZP434P211	-0.124375
SOX6	-1.875
RPUSD2	-0.545
C14orf173	-0.26425
MAPK11	0.315166666666667
TBC1D22A	0.6575
FAM123A	-0.1555
COL4A6	-1.13
TOMM70A	-0.16175
NAB1	-0.043875
MGC16385	-0.840125
TSPAN18	0.910833333333333
MED31	-1.03775
PLG	0.325
CAPSL	1.256
ZNF532	0.9203
ASB14	-0.38775
CA8	-4.438
NUDT16P	2.00333333333333
SLFN11	-1.113
LRRIQ2	0.016
NOL7	-0.0265
BRMS1L	-0.854
JARID1A	0.258333333333333
PANK2	-0.2625
ICAM3	-0.2975
MDS1	-0.5095
TAF8	-1.0935
RNF139	0.97625
ZNF594	0.200333333333333
ADAM8	2.232875
SFTPC	0.171857142857143
MAN2B2	1.122125
RGS12	1.0191875
EIF1AY	-4.64925
LRRIQ1	-1.7045
GPR150	1.288
CCDC21	-1.23483333333333
PRRG3	0.8175
SAA4	-4.1665
RAPGEF5	1.190875
ZCCHC2	0.153666666666667
MGC39372	-0.5165
PPP4R2	0.7525
CDCA2	-1.65616666666667
OR4D5	0.00849999999999998
PTGFRN	1.1718
SIGLEC5	2.9005
C19orf61	0.0788333333333333
NMUR2	0.3455
KIAA1586	-2.1245
DAGLA	1.21816666666667
CHCHD6	-1.1215
GPR32	1.479
NEUROD6	0.493
SLC2A4RG	0.129
CA5B	0.59675
FBXL3	1.05675
MPHOSPH9	-1.0925
HMG2L1	0.46025
HCN4	0.5635
CEACAM19	0.063
SH2D4B	-0.107166666666667
HFE2	-1.0595
TGM4	-0.0388
LYPD2	-0.1615
TBC1D15	0.14425
MRPS21	-0.7665
NONO	-0.876
CLEC5A	3.952625
ITCH	0.0823
MGAT3	-1.42283333333333
MBP	-0.434
RPP25	-2.1565
SOSTDC1	-3.5915
HRC	-2.10025
TRIM48	-0.1595
TMEM133	2.7905
ECEL1P2	-1.02175
HOXC11	-1.2125
DOK5	0.456
HELZ	0.160833333333333
LOC348180	-0.895
MGC33894	0.0845
ADRB3	0.239
DMD	-0.25125
PTRH2	-0.32775
MPEG1	3.5565
NDUFA12	0.238333333333333
KRTAP2-4	-0.100083333333333
STAMBPL1	-1.3635
ADCY2	-0.0168333333333333
UNQ6125	0.0035
KLHL20	0.717833333333333
SRM	-0.995
OTC	-0.4345
TMIE	-0.332166666666667
SNX8	0.154
LIPK	0.3415
CHURC1	1.39608333333333
KLC2	0.308833333333333
HDAC1	-0.746833333333333
FAM128A	0.396
FNDC3B	-0.0718
MTCP1	-0.229833333333333
WFDC10B	-0.656
PCDHGB3	0.3075
ATRNL1	0.8018
CAV2	-0.96575
MED26	-0.100333333333333
DUS1L	-0.07375
CHRM3	-1.85575
NEK9	1.373
WARS2	-0.201
TBX22	-0.1605
TOMM40	-0.84775
RP6-213H19.1	-0.2045
TUBGCP5	0.01875
IGSF6	5.7905
TPPP	2.14533333333333
UNQ6190	1.313
GSTM5	0.265125
BTD	0.459
PDCD1LG2	0.252333333333333
SNRPB2	-0.799166666666667
ERICH1	-0.793625
APOA4	-1.825125
HOXA11	-1.28975
NARG1	-0.228125
MKX	-1.419
RAB28	-0.0163571428571429
PKP3	1.11925
SH3GL2	-2.34575
CTSO	3.8395
RPN2	0.00381249999999999
IL28RA	0.412666666666667
SFMBT1	0.7265
WDR57	-0.06
FER1L3	1.09783333333333
HSF5	0.3125
TTC9B	0.2585
C4BPA	-3.96433333333333
ALB	-5.10375
SORBS3	0.09725
UPF2	-0.866
JPH1	-0.554
AGBL2	0.9775
DOPEY1	1.165
TERF1	-0.192583333333333
KIF22	-0.6705
NINJ1	1.60375
SEC61A2	-1.27958333333333
HIST1H1D	-1.7215
SFXN4	-0.77125
UCP3	0.3125
ZNF703	0.7275
MYL6B	-0.7855
TREM1	2.92325
OR52E6	-0.0285
CKMT2	0.85175
HLA-C	1.68475
SLC13A3	-2.33583333333333
TIMP4	-1.559
SLIT2	1.7425
RSF1	0.405333333333333
LONRF1	-1.08128571428571
MON1A	-0.00833333333333333
CACNG6	-2.03033333333333
DPPA4	-5.594
ZSWIM3	-0.6475
ZNF804A	1.19116666666667
CCIN	1.88425
SLC25A31	0.172333333333333
KCNMB4	0.598
RABL5	0.341125
GALNS	-0.5332
STX6	1.082875
HIST1H1C	-1.24683333333333
CIDEB	0.055
CASP4	-0.409
PDK3	0.2571
KCNJ11	2.254
TPR	-0.27975
ZSCAN20	-0.002
MTX2	-0.13975
HIST1H2BH	-0.09
LOC283767	0.29175
LYRM7	-1.45561111111111
BRD3	0.796833333333333
HIST1H2BO	0.3345
MAGEB10	0.254
SLC45A1	2.396
SERPINA3	2.9139
KIAA0143	1.16975
KCNJ16	-0.6218
KRT79	-0.05
FABP2	-0.957
NUT	-1.09325
ZNF57	-0.411
FBXL4	-0.67775
CLEC9A	3.0005
UGT8	-1.07816666666667
BMP2K	0.60125
MAPK4	-1.8655
SLC25A23	-0.5348
HINT1	-0.3278
KRTAP13-1	0.161
SFXN5	1.8696
CHCHD2	-0.403916666666667
FAM3D	0.9675
NDP	-1.702125
RHOBTB1	0.4325
SLC4A4	4.902625
RPL38	-0.35775
HTF9C	-0.351833333333333
AP2A2	0.63175
ZBTB46	-0.626
MAP7D1	0.678875
AOX1	-0.492666666666667
CYR61	0.782
DTNA	-0.756071428571429
JRKL	-1.01075
TMOD3	-0.18075
EEA1	0.0055
ADCK5	-0.58325
IL1R1	0.443166666666667
KLK3	0.4945
HRSP12	-2.0365
KTN1	0.54
LOH11CR2A	0.9763
RELL2	-0.8605
MAB21L1	1.8415
C20orf59	-1.29216666666667
PHKB	-0.3895
ADAM2	-2.4335
TBC1D8B	2.23466666666667
FAM13A1	-1.6700625
LAPTM4B	-0.271333333333333
LCN8	-0.0885
TMEM147	0.314
SYT4	0.3296
XPO7	-0.7965
C9orf62	1.371
GPR75	1.5565
TRIM5	-0.413125
APOC1	0.473
RNASE4	0.738
PARD6B	-2.15375
ARID1A	0.447666666666667
TPD52L3	0.1938
RRAGB	1.64983333333333
RCN2	-1.13283333333333
HIST2H2BE	0.4765
STARD7	0.121
SHMT2	-1.79225
KIAA1751	-0.146
MLYCD	-0.071625
LOC162632	-1.1443
UQCRH	-1.49375
RP11-217H1.1	0.95025
SDHA	-0.857333333333333
NCLN	-0.1228
ZNF17	0.883333333333333
RCBTB2	-1.135
VEGFB	-0.2393
RP4-747L4.3	-0.17975
COLQ	0.2644
MPN2	-0.915666666666667
DRG2	-0.67725
KLRB1	2.6465
ALPK2	-0.33725
DNASE2B	-0.68625
FLJ23834	4.0715
AXUD1	0.962
SAFB	-0.2857
NSUN4	0.01375
RFX2	1.00216666666667
MAPK8IP1	0.231333333333333
FANCD2	-1.59321428571429
ANKZF1	-1.76833333333333
C19orf50	-0.542
DUSP8	1.373
SENP5	0.19075
NFKBIL2	-0.84975
LBR	-2.16575
IGFL1	-1.3515
LZTS2	0.158625
IL2RG	-1.19475
CCDC51	-0.316
KLF3	0.692
ANKRD37	-0.14975
KCTD14	-0.503833333333333
FZR1	0.801333333333333
SLC44A4	3.2742
ESPL1	-0.995625
GMPR2	0.0272
TBC1D19	-0.3225
ERGIC1	1.38240740740741
ERBB4	2.8203
TSPAN32	-0.265916666666667
MAP4	0.419625
GPHN	-1.211
SLC6A2	-0.4525
HIVEP1	-0.114
DFFB	-0.4173
EIF4EBP2	-0.156875
DMRT1	-0.890333333333333
HSPB6	-0.2525
IER2	0.217833333333333
AIFM1	-0.2475
WWC2	-1.37981818181818
MRPL4	-0.51275
FLJ21062	-0.542333333333333
EPB41L4A	1.57125
SH2D6	0.1195
TAF4B	-0.779
GAL3ST3	-0.1315
MALT1	-0.419
RTDR1	-0.5735
ARVCF	0.814
MEX3B	-1.28033333333333
FBXO16	0.9445
KIF7	-0.0205
C1QC	3.70283333333333
ZNF783	-0.0675
ZNF85	-0.14875
MMP13	3.874
KIAA0329	0.560625
RTP3	-1.807
ZBED3	-0.41025
CLGN	1.37125
SLC25A37	-1.13520833333333
hCG_18290	-0.53375
OR5AS1	0.045
SMARCC2	0.618
FAM109A	-0.092
CCDC12	-0.2575
USF2	1.1204
DEPDC7	-1.0835
C20orf24	-0.762833333333333
JMJD3	0.7235
DSP	0.397
SLIC1	0.529375
FAM20A	1.347875
IRF2BP2	0.770125
ZNF230	0.2835
MSN	-0.170357142857143
SLC9A5	-2.047
EPDR1	-1.6004
MUSK	0.494833333333333
