Hybridization REF	TCGA-B6-A0RI-01A-11R-A056-07
STCH	0.7965
WIBG	0.65125
LOC283871	0.0826666666666667
GBA2	-0.2527
NDUFB3	-0.38975
HSD17B13	-1.2195
GRIN3A	0.788833333333333
FMNL1	-0.3215
SEPT7	-0.4089
GNLY	2.407
GRAMD1C	1.32566666666667
ZNF165	0.76425
USP38	0.826
FAM83A	-3.747
C14orf24	0.423833333333333
ARMCX3	1.369
ARHGDIB	0.230833333333333
AK1	0.040875
KIAA1045	0.16875
DNAJB13	-0.455666666666667
NEU2	0.9395
HIST1H4B	-1.5085
FAM20B	-0.2002
HES2	2.02535714285714
FAM73B	-0.3025
LOC388381	-0.7925
INTS7	0.482909090909091
AMPH	2.47875
ZNF775	-0.047125
UCKL1	-0.532333333333333
C10orf97	0.05325
C1orf161	0.23425
ALDH1L1	-2.32275
FLJ39378	-0.211875
SLC23A1	-2.558
RBM4B	0.11625
THAP4	0.173833333333333
OGFRL1	1.76475
KIAA0831	0.41925
PPP1R15A	0.167333333333333
C1orf96	-0.696357142857143
C12orf11	-1.55575
BMF	0.6835
MAN1A1	-0.29225
KIAA1600	0.92
NLGN4X	-1.34525
ALOX12	-1.81766666666667
RB1CC1	-0.1145
NEIL2	0.5371
EIF4E	0.372454545454545
ABHD5	0.10175
EXOC4	0.180833333333333
CIP29	0.350833333333333
BATF2	-1.16675
SLC29A4	-1.117625
HTR4	0.05225
EMB	-1.57375
TRAF6	0.9865
LMNB1	-2.37825
FAM19A5	-0.4455
SHE	0.819
PIK3C2B	1.2725
C15orf15	-0.9575
USP15	-0.00449999999999998
TCEAL2	0.29775
C5orf39	-2.08916666666667
PTGER2	1.09175
SLC31A1	-0.6304375
IFT172	0.11575
ADAM29	0.58125
GFOD1	0.38975
ST7L	1.26516666666667
C15orf26	-3.53075
PKN3	-1.8795
CNTD1	1.3115
COMMD1	0.477375
NTRK2	2.02341666666667
FOXN3	-0.268125
MFGE8	0.4146
PFKFB2	0.872333333333333
TAS2R4	-0.488
ENTHD1	1.825
PRMT5	-0.40225
MGC16384	-1.39025
LOC442229	-0.34125
TSKU	-0.26775
KRTCAP3	2.717375
PDLIM1	0.8315
KCNS2	0.106
RNF126	-0.4485
CEP63	-0.210125
CLIC4	-0.168375
hCG_1990170	1.5845
ACR	0.2709
KLK7	1.127
ALOX5AP	3.800125
RIPK3	4.4255
TAS2R9	0.0675
C19orf18	1.517
BIRC6	0.179071428571429
ZNF16	0.9055
RFT1	-0.666
SLC8A2	-1.2665
TACC1	0.654375
ITGAD	0.9275
SAMHD1	0.648
SH3PXD2B	1.3733
EPC2	0.87875
C20orf85	2.964
ATP13A2	1.11816666666667
KRT4	0.222
CAPNS1	0.65075
MDM2	-0.523333333333333
PCDH20	2.17375
KCNK9	0.846
OR2C1	-0.1635
KLHDC3	-0.71
IPPK	1.515
EFHD2	-0.553375
GALR3	0.91875
NBEA	1.0625
ABCA6	2.3551
CLDN3	1.4095
AKT2	-0.137928571428571
EGFR	-2.4365
RBM16	0.54325
ZDHHC3	0.1466
SLC25A4	-1.72666666666667
CYB5B	-1.0255
CPXM1	0.44775
NDRG1	-1.09230769230769
FLJ43826	0.571
OR5L2	-0.2078
FARP2	0.3168
MRPL46	-0.712833333333333
LDHAL6B	0.107833333333333
MAPKAPK3	0.489
NCAM2	0.66525
PRKD2	0.25
ZFP36L1	1.994
CYSLTR1	1.0035
OR4C3	0.15775
HIST1H2AJ	1.331
CCNB2	-1.59544444444444
ZNF10	-0.276
TMEM175	0.551
FAM134A	0.773666666666667
TIGD4	0.7135
PCNP	-0.146
MGC39715	-0.45675
LQK1	-2.74925
CREB1	0.6253
TMPRSS3	0.596
C4orf32	0.83025
LAT	-2.24725
KCNA3	0.697
SKIV2L2	-0.50525
ROPN1B	-3.984
tcag7.23	-0.6115
CDT1	-2.905125
ZHX2	0.4525
CD28	-3.28275
ZNF624	0.52575
SEPT2	0.60825
SOHLH2	0.002125
MCOLN3	0.33
UNQ1945	0.5465
MASP2	-1.4305
ZNRF3	0.9739
GPATCH3	-0.3345
AGL	3.5465
QRICH2	0.0555
PSD4	1.1695
CCNB1IP1	-1.972
ENPP7	0.097
OBFC1	0.34
KCNG3	-2.59333333333333
C14orf79	1.48208333333333
ENPEP	1.3785
SCT	2.882
SKI	0.583125
SEC61G	-0.601
CAPN11	0.278
ATXN7L3	0.38925
DBNDD1	0.291833333333333
FAIM	-0.22225
ANKRD36	-1.2565
GABRP	-0.2335
TACSTD2	2.5595
EIF3J	-0.34925
PPP2R2A	0.21175
TEKT4	-0.424333333333333
PVALB	-1.46916666666667
F10	-2.68366666666667
FAM134C	1.0073
COMP	4.358875
EFCBP1	-2.3185
SCLT1	0.012875
TAL1	-1.5396
ACSL1	1.18125
ABCC5	0.634083333333333
ABL1	-0.491222222222222
RBBP7	0.498916666666667
PTPRG	-0.927125
NCOR1	-0.4195
SPINK4	-1.17266666666667
TXNRD1	-2.2051
TNRC15	0.446625
C9orf138	0.987875
UBE2H	0.807666666666667
BRDT	1.13016666666667
C8orf31	-0.23625
CCNE2	-1.012
SLC6A8	-1.420875
CALCR	-3.4655
PPP1CB	1.03816666666667
ABHD8	0.392
ARF5	0.3477
SLC24A4	1.09575
CCT3	0.22575
ZNF121	0.188
SLC3A2	-0.8632
OR13A1	0.319
SLC5A10	-0.67025
RAD50	-0.3255
IER5	0.563125
MTHFD1L	-2.497625
MBTPS2	0.572
MVK	0.127875
NCL	-0.1063
PSMD10	-0.0375
MOBP	0.38825
FLJ32894	0.0255
HRH1	0.111333333333333
C5orf30	1.798
NUDT16L1	0.8862
RASGRP3	3.33766666666667
PRKRIP1	-0.4063
CCDC75	-0.69375
LOC253970	-0.304
KIAA1239	0.11
MED21	-0.25975
SYT11	0.468
NTSR2	-0.1805
EGFL11	0.5975
CXorf59	1.228
OR2A25	0.0455
SPTBN2	-0.3855
LRMP	-2.191
RNF111	0.39875
PTH	-0.0915
LOC619208	0.509666666666667
KIAA0895	1.4495
RANBP5	-0.699125
P2RY10	-0.756
NME5	3.88816666666667
DDX21	-1.014
LRSAM1	0.4425
HDAC11	1.01083333333333
VMO1	1.9545
NOLA2	-0.342
ADAR	0.957333333333333
MTO1	-1.1965
SF4	0.386166666666667
P2RX1	-0.233666666666667
HBM	-0.155
EN2	1.1925
C14orf172	-0.08425
TM9SF2	0.5508
INHBE	-1.48283333333333
TCTE3	-0.340583333333333
TOX2	-3.827
CTAGE3	0.36
HBB	3.2184
MED15	-0.811666666666667
CASR	0.81925
C6orf66	-1.675
MTPN	-0.578625
UNC50	0.01625
C21orf33	-0.3965
IRF2	1.1485
PGR	4.017
GPR84	3.62825
CROCCL1	-1.78725
SRPX	-0.566
BRE	0.157833333333333
FGF10	3.796
SDC3	0.6845
ZRSR1	0.641166666666667
DKFZP434P211	-0.43525
SOX6	0.445
RPUSD2	-0.5545
C14orf173	-0.271
MAPK11	0.0723333333333333
TBC1D22A	0.636
FAM123A	-1.736
COL4A6	-0.477833333333333
TOMM70A	0.136
NAB1	0.1445
MGC16385	-0.409375
TSPAN18	-0.646
MED31	-1.124
PLG	-0.3985
CAPSL	2.5155
ZNF532	1.1292
ASB14	-0.11775
CA8	-1.6715
NUDT16P	1.7645
SLFN11	-1.063
LRRIQ2	-0.122125
NOL7	-0.5015
BRMS1L	-0.68175
JARID1A	-0.641333333333333
PANK2	-0.4905
ICAM3	-0.8515
MDS1	-0.97675
TAF8	-0.65775
RNF139	1.17375
ZNF594	-0.213166666666667
ADAM8	3.617875
SFTPC	-0.307875
MAN2B2	1.45975
RGS12	0.8025
EIF1AY	-5.18427272727273
LRRIQ1	0.148166666666667
GPR150	1.09525
CCDC21	-0.772
PRRG3	0.60025
SAA4	-4.4085
RAPGEF5	0.4095
ZCCHC2	0.278
MGC39372	-1.244
PPP4R2	0.698833333333333
CDCA2	-1.69966666666667
OR4D5	0.00133333333333335
PTGFRN	1.6224
SIGLEC5	2.542
C19orf61	0.435
NMUR2	0.655
KIAA1586	-1.16166666666667
DAGLA	0.335
CHCHD6	-0.74875
GPR32	1.07
NEUROD6	0.0365
SLC2A4RG	0.2124375
CA5B	-0.14875
FBXL3	1.788
MPHOSPH9	-1.01075
HMG2L1	-0.11425
HCN4	0.5705
CEACAM19	0.50475
SH2D4B	0.2544
HFE2	-1.3065
TGM4	0.2156
LYPD2	0.16325
TBC1D15	0.06225
MRPS21	0.0983
NONO	-0.5632
CLEC5A	3.56675
ITCH	-0.0752
MGAT3	-1.59633333333333
MBP	-0.9445
RPP25	-1.3835
SOSTDC1	-0.18825
HRC	-2.20525
TRIM48	0.1255
TMEM133	1.2485
ECEL1P2	-1.97933333333333
HOXC11	-1.638
DOK5	0.72175
HELZ	0.2795
LOC348180	-1.1125
MGC33894	0.176
ADRB3	0.4175
DMD	-0.316583333333333
PTRH2	-0.63775
MPEG1	2.73
NDUFA12	-0.307666666666667
KRTAP2-4	0.07975
STAMBPL1	-1.26166666666667
ADCY2	0.270833333333333
UNQ6125	0.2745
KLHL20	0.0771666666666667
SRM	-1.0205
OTC	-0.501
TMIE	-0.400166666666667
SNX8	-0.33925
LIPK	0.6955
CHURC1	-0.328916666666667
KLC2	0.31
HDAC1	-0.549333333333333
FAM128A	0.862666666666667
FNDC3B	0.5601
MTCP1	-0.449166666666667
WFDC10B	0.1833
PCDHGB3	0.1495
ATRNL1	0.2208
CAV2	-0.17775
MED26	0.425166666666667
DUS1L	0.617
CHRM3	-2.195625
NEK9	0.80775
WARS2	1.2855
TBX22	-0.015
TOMM40	-0.95025
RP6-213H19.1	0.172166666666667
TUBGCP5	-0.34175
IGSF6	4.8255
TPPP	0.573333333333333
UNQ6190	-0.284
GSTM5	2.432875
BTD	1.4515
PDCD1LG2	0.335
SNRPB2	-0.5925
ERICH1	-0.765
APOA4	-1.861375
HOXA11	-1.4615
NARG1	-0.16625
MKX	3.861
RAB28	-0.2145
PKP3	1.51475
SH3GL2	-3.57775
CTSO	3.525
RPN2	0.273875
IL28RA	-0.434
SFMBT1	0.3905
WDR57	-0.049625
FER1L3	1.28008333333333
HSF5	0.496333333333333
TTC9B	-0.592
C4BPA	-4.221
ALB	-4.64307142857143
SORBS3	0.3155
UPF2	-0.3105
JPH1	-1.2755
AGBL2	1.21975
DOPEY1	1.3865
TERF1	-0.597416666666667
KIF22	-0.288166666666667
NINJ1	1.52775
SEC61A2	-0.5005
HIST1H1D	-1.29216666666667
SFXN4	-0.742
UCP3	0.2892
ZNF703	1.44466666666667
MYL6B	-0.74225
TREM1	2.875
OR52E6	0.6575
CKMT2	1.59175
HLA-C	1.916375
SLC13A3	-1.3375
TIMP4	-0.95575
SLIT2	1.46025
RSF1	-0.24
LONRF1	-0.989357142857143
MON1A	-0.0453333333333333
CACNG6	-2.18933333333333
DPPA4	-5.68266666666667
ZSWIM3	-0.09325
ZNF804A	0.285
CCIN	1.906
SLC25A31	0.2775
KCNMB4	-0.26175
RABL5	0.48625
GALNS	-0.3567
STX6	0.576875
HIST1H1C	-2.68433333333333
CIDEB	0.22775
CASP4	0.362333333333333
PDK3	0.0298
KCNJ11	1.874
TPR	0.12075
ZSCAN20	-0.118
MTX2	-0.06425
HIST1H2BH	-0.87325
LOC283767	1.4205
LYRM7	-1.16033333333333
BRD3	0.0675
HIST1H2BO	-1.3855
MAGEB10	0.14
SLC45A1	1.942
SERPINA3	3.55215
KIAA0143	1.58725
KCNJ16	-0.4534
KRT79	0.48575
FABP2	-0.72625
NUT	0.12475
ZNF57	-0.37475
FBXL4	0.703125
CLEC9A	-1.0065
UGT8	-1.75216666666667
BMP2K	0.633
MAPK4	-4.17075
SLC25A23	-0.5372
HINT1	-0.5112
KRTAP13-1	0.083
SFXN5	1.6259
CHCHD2	0.104583333333333
FAM3D	0.5435
NDP	-2.520375
RHOBTB1	0.576
SLC4A4	-1.089
RPL38	-0.02825
HTF9C	-0.224833333333333
AP2A2	0.42675
ZBTB46	-0.9565
MAP7D1	0.86675
AOX1	-0.732333333333333
CYR61	1.38341666666667
DTNA	0.703571428571429
JRKL	-0.8025
TMOD3	-0.075
EEA1	0.2534
ADCK5	-0.15975
IL1R1	0.876
KLK3	0.492214285714286
HRSP12	-1.466
KTN1	0.5815
LOH11CR2A	1.138
RELL2	-1.43575
MAB21L1	3.806
C20orf59	-1.10733333333333
PHKB	-0.476
ADAM2	-2.82966666666667
TBC1D8B	1.87233333333333
FAM13A1	-0.982625
LAPTM4B	-1.02341666666667
LCN8	-0.0705
TMEM147	0.263
SYT4	-0.0998333333333333
XPO7	-0.3785
C9orf62	1.2415
GPR75	0.076
TRIM5	0.73375
APOC1	0.238
RNASE4	0.4765
PARD6B	0.11325
ARID1A	0.788083333333333
TPD52L3	0.162
RRAGB	1.25433333333333
RCN2	-1.2295
HIST2H2BE	-0.3225625
STARD7	0.1135
SHMT2	-1.31925
KIAA1751	0.079
MLYCD	-0.11225
LOC162632	-0.9178
UQCRH	-1.456
RP11-217H1.1	0.7205625
SDHA	-1.007
NCLN	-0.4434
ZNF17	0.972666666666667
RCBTB2	-1.59025
VEGFB	0.1539
RP4-747L4.3	0.5935
COLQ	0.8726
MPN2	-0.61
DRG2	-0.4565
KLRB1	3.34975
ALPK2	-0.90275
DNASE2B	0.4275
FLJ23834	0.337166666666667
AXUD1	0.810666666666667
SAFB	-0.2302
NSUN4	-0.0695
RFX2	0.382
MAPK8IP1	-0.0903333333333333
FANCD2	-1.11185714285714
ANKZF1	-1.52583333333333
C19orf50	-0.30325
DUSP8	1.17125
SENP5	-0.342125
NFKBIL2	-0.6145
LBR	-1.02125
IGFL1	3.779
LZTS2	0.556875
IL2RG	-1.21275
CCDC51	-0.328
KLF3	0.615875
ANKRD37	-1.1845
KCTD14	-0.923833333333333
FZR1	0.610583333333333
SLC44A4	3.5044
ESPL1	-0.775875
GMPR2	-0.3111
TBC1D19	-0.268333333333333
ERGIC1	0.309259259259259
ERBB4	3.8285
TSPAN32	-0.104083333333333
MAP4	0.58725
GPHN	0.23025
SLC6A2	-0.321125
HIVEP1	0.578
DFFB	-0.5127
EIF4EBP2	0.34025
DMRT1	-1.09375
HSPB6	-0.2855
IER2	0.317166666666667
AIFM1	-0.48225
WWC2	0.956166666666667
MRPL4	-0.50075
FLJ21062	1.08266666666667
EPB41L4A	0.799916666666667
SH2D6	0.1845
TAF4B	-1.62975
GAL3ST3	0.08
MALT1	-0.696333333333333
RTDR1	-0.4685
ARVCF	0.924375
MEX3B	-0.787833333333333
FBXO16	1.85575
KIF7	-0.75075
C1QC	3.63433333333333
ZNF783	-0.116
ZNF85	0.01325
MMP13	4.526
KIAA0329	0.3515
RTP3	-0.86
ZBED3	-0.86175
CLGN	-0.5335
SLC25A37	-1.3775
hCG_18290	-0.42225
OR5AS1	0.194
SMARCC2	0.364083333333333
FAM109A	0.542166666666667
CCDC12	-0.11775
USF2	0.6869
DEPDC7	-1.2715
C20orf24	-0.812833333333333
JMJD3	0.423
DSP	1.8605
SLIC1	0.284625
FAM20A	1.089875
IRF2BP2	0.669375
ZNF230	-0.1555
MSN	-0.375
SLC9A5	-1.9725
EPDR1	-1.5235
MUSK	0.336666666666667
ZNF434	0.123
SMARCD1	-0.3555
ZFP106	-0.30425
ZNF347	0.1413
GTF2E1	0.45
RY1	-0.271
ATAD2B	0.6465
ARHGAP17	-0.1787
