Hybridization REF	TCGA-AO-A0JF-01A-11R-A056-07
BCDO2	-0.165875
CHMP7	0.079
REM2	1.136
DNHD1	-0.983125
FKBP4	-1.090125
ZNF350	1.79275
MGC11102	-0.279
BST1	2.37425
KISS1R	0.727
NCR2	-0.1095
DEFB125	0.1205
UBE2W	1.2455
KRT15	-1.470375
C10orf99	0.2975
SCN11A	0.331428571428571
GFI1	-1.776
RDHE2	4.455
FHL1	2.09933333333333
OSGEP	0.185666666666667
GATA1	-3.658
SMC6	-1.2075
TTTY14	-1.68475
LPIN3	-0.621
RPL4	-0.3492
RBPMS	0.3044
PRPF3	-0.93
EMR1	-1.893
SPATA19	0.351
XCR1	1.115
IRX3	0.6559
RBM6	-0.864
KLF4	0.6888
UNC5CL	-2.8745
SEBOX	-0.3075
BTK	0.333
KRCC1	1.4055
C6orf27	0.0285
SYTL5	-0.76
PRND	3.643375
LOC653319	-1.8935
PIGL	-1.548125
HUS1	-0.15
SFRS6	-0.25625
C17orf77	-0.0265
UIMC1	-0.757
FXYD2	-2.0071
LOC283152	1.486
ZNF667	0.7045
ZCCHC12	-0.58125
TFEC	3.6738
ATP7B	1.41483333333333
POLD2	-1.52033333333333
RG9MTD1	-0.10225
ACOT2	1.363
HIST1H4I	-0.869875
PPARGC1A	-2.5215
ETFA	-0.9238
POLRMT	-0.7935
ZNF146	0.05225
MIA2	-1.438
KLHL6	-0.499166666666667
HOXB5	2.6585
NENF	0.624333333333333
CUGBP1	0.1635
PRSS22	1.01583333333333
CASC4	1.5127
CUL4B	0.3547
CENPJ	-2.1374
PITX1	-0.905666666666667
FLJ31033	0.777166666666667
CELSR3	-2.70016666666667
ZNF568	1.4565
ITSN1	0.170666666666667
EHBP1L1	-0.942666666666667
C19orf2	-0.477
DCTN1	0.13775
LIN28B	-3.97466666666667
TNKS2	-0.618
C1QBP	-0.118875
CADPS2	1.696
SRMS	-0.2805
GJA9	0.388833333333333
MGC24975	-1.64883333333333
TRIM45	-0.6425
TSP50	-0.256666666666667
TCP1	-1.369
TMED7	0.6346
CMA1	2.8545
CENPL	-0.858333333333333
PTCRA	-0.111
FST	-3.015
VWCE	-3.19475
PAWR	-0.98075
ABCC12	0.768166666666667
LDLR	-1.7133
ASTN2	1.6939
LOC441212	-1.443625
GPATCH8	-0.30775
TANC2	-0.897666666666667
KIF4A	-2.97075
C18orf18	-0.6015
PGM1	-0.50975
KIAA0258	-0.03025
CPD	0.8645
SNCAIP	0.376
DCT	-4.5065
HLA-DOA	3.24054545454545
OR11L1	0.553
UPK1B	-1.02933333333333
DNAJB4	0.850125
UGT1A8	0.19575
HIST1H4L	-0.979
PECR	-0.843666666666667
HSPA2	1.6585
WFIKKN1	-3.3405
SERP1	1.682875
SYDE2	1.15325
TACR2	0.7235
NUP85	-0.963
CD177	1.56916666666667
LGR5	-2.5895
PIGG	0.125166666666667
PTHR1	-0.692
RAB5A	0.3505
FLJ13224	-0.0755
USP9Y	-2.44716666666667
C7orf53	-1.629
LRP1B	0.31925
XAF1	0.8191
ABCG8	-1.5055
ANKDD1A	-0.139
DAND5	-1.9175
SPAG6	0.00833333333333332
LINCR	-0.50075
ZDHHC22	-1.7965
CCDC60	-0.1695
THOC7	-1.03583333333333
TCTA	1.1548
OR8K3	0.43225
NY-REN-7	-0.75675
B2M	1.76583333333333
C6orf141	-2.79925
LPPR4	4.73175
SQLE	-2.196125
SEPHS1	-0.431
BTBD14B	0.2535
PLRG1	-0.11825
SPG7	-0.730875
ZNF614	0.208833333333333
PARD6G	0.860333333333333
INPP5B	-0.617
GRPEL2	-0.434
PPID	-0.8529
TRIM56	-0.52425
UBE2J1	0.019
IL20RA	5.756
LOC387856	0.133
C1orf107	0.249
UTS2R	0.8305
C19orf22	-0.3445
SAFB2	-0.250875
KIAA0652	0.16225
KLRG1	0.746833333333333
MS4A8B	0.3135
FRAG1	0.0215
KIAA1546	0.548
E2F4	-1.1805
CLEC4M	0.2675
BTBD14A	-1.33925
KIAA0999	0.9512
GYPA	-4.1062
TAC1	0.8907
TRAIP	-2.18733333333333
KIAA0232	0.8498
ERCC8	-0.9945
GPX4	0.668125
KIAA0368	-0.183125
GPR157	-1.29783333333333
CTAGE4	0.4905
C9orf30	-1.37666666666667
OR52A1	-0.252
HSP90B3P	-0.241
ALG9	-0.8157
BTBD10	0.9045
SDK2	-0.2785
BAIAP3	-1.657
RABGGTB	-1.173125
ANKRD40	-0.134333333333333
KRT74	-0.285
CALCOCO2	0.517285714285714
SNCA	-2.11325
TMSL8	-4.35675
C2orf53	0.464
ESRRB	-0.7715
ARHGAP26	-1.48125
TDRD9	-3.24625
HRAS	0.0145
KLRC4	-2.4835
JAGN1	-0.2835
BSDC1	0.01425
RNF43	-1.001
NDUFAF1	0.78025
PHF12	0.37575
OR1L3	-0.268
FOLR2	3.00341666666667
LYZL6	0.4912
tcag7.1260	-0.871
WSB1	-1.43833333333333
PROS1	0.453
OSTN	0.84
PSMB8	1.07975
SOCS4	0.173375
DDIT4L	3.50325
MAS1	0.428
MGC34796	1.6715
CSHL1	0.204666666666667
TBCCD1	0.2715
ZBTB7C	0.092
AP2S1	-0.434375
P15RS	0.1848
VAT1	-0.4582
SHANK3	1.27933333333333
TUFM	-0.444333333333333
THEG	-0.9155
KRT34	-2.09575
SGSM3	0.099375
TOMM22	-0.210875
SOCS3	1.9205
CPO	-0.163
POP4	0.40475
BHLHB3	1.77925
MALL	2.50575
OR1B1	0.0845
PARK2	0.706833333333333
GPR124	1.413
LCE1E	0.1285
RUVBL2	-0.94525
CGRRF1	0.9366
ACPL2	0.65525
WNT10B	-0.75525
BAIAP2L2	-2.4065
ISCA1	0.664
C1orf125	0.0721428571428571
RPAP1	-1.0395
RAI16	-0.164333333333333
RPL27	-0.26725
NLRP9	-0.9075
EPN1	0.0895
LOC388610	-1.767875
SLC35A1	1.0199
GAL	-4.59925
SLC14A2	0.177
RDH11	-1.0005
FAM138F	-0.958
AUH	0.51725
FLJ40243	0.812
C14orf129	0.903166666666667
MBD2	-0.5145
ABHD14B	0.15275
PIGT	0.485875
ALS2CR4	-0.466375
ALAS1	0.0822
FOXO1	1.80816666666667
CRLF3	-0.1295
C20orf107	-0.3375
FARS2	0.92
CCDC28A	0.98575
NPHP3	-1.10725
OR13F1	0.882
TSEN54	-0.99425
DEFB106B	-0.4511
OR8B4	0.2855
STH	0.88775
ZC3H14	-0.35975
CBX2	-0.2275
TMEM49	-0.7765
C6orf21	0.141
FLJ20920	0.7335
CRTAP	0.749785714285714
DDX50	-0.1745
STYXL1	0.2325
BLVRB	0.0351666666666667
LOC147650	0.385666666666667
MMP24	-0.08225
GRID1	1.917
BANF1	-0.640333333333333
CTAGEP	0.1975
HMBS	-2.4855
SLC25A24	1.045
C14orf50	2.44
MRO	1.88633333333333
SLC25A15	-1.49
FAM84B	1.6055
TDP1	-1.41
C16orf78	-0.1474
C11orf57	-0.235375
RFK	-0.134625
ZFYVE9	-0.20625
STCH	0.0372
WIBG	0.21375
LOC283871	-0.875833333333333
GBA2	-0.618
NDUFB3	0.07025
HSD17B13	1.02225
GRIN3A	1.429
FMNL1	-0.44
SEPT7	0.1885
GNLY	2.9745
GRAMD1C	0.515833333333333
ZNF165	-0.84575
USP38	0.57825
FAM83A	-3.89883333333333
C14orf24	0.886083333333333
ARMCX3	1.174625
ARHGDIB	1.50216666666667
AK1	0.31975
KIAA1045	0.43975
DNAJB13	-0.562166666666667
NEU2	0.681
HIST1H4B	-1.31066666666667
FAM20B	-0.3155
HES2	0.889
FAM73B	-0.7547
LOC388381	0.289
INTS7	-0.311090909090909
AMPH	1.84675
ZNF775	-0.356625
UCKL1	-1.05233333333333
C10orf97	0.6505
C1orf161	-0.14325
ALDH1L1	0.44875
FLJ39378	-0.41175
SLC23A1	-2.3005
RBM4B	0.35175
THAP4	0.212333333333333
OGFRL1	0.651
KIAA0831	0.41
PPP1R15A	-0.66
C1orf96	-0.701214285714286
C12orf11	-2.1035
BMF	0.6415
MAN1A1	0.985375
KIAA1600	1.16833333333333
NLGN4X	-0.57775
ALOX12	-1.87
RB1CC1	-0.0114
NEIL2	0.6647
EIF4E	0.272909090909091
ABHD5	-0.05325
EXOC4	-0.0631666666666667
CIP29	-0.1505
BATF2	-0.34825
SLC29A4	-0.303375
HTR4	0.018
EMB	-0.2335
TRAF6	1.075
LMNB1	-2.125
FAM19A5	-0.68975
SHE	3.12225
PIK3C2B	1.36325
C15orf15	0.0237
USP15	0.1414
TCEAL2	0.138
C5orf39	-0.135333333333333
PTGER2	-0.2635
SLC31A1	-0.2635625
IFT172	0.231
ADAM29	0.283
GFOD1	1.1055
ST7L	0.2125
C15orf26	-2.87475
PKN3	-0.9985
CNTD1	3.03666666666667
COMMD1	-0.284625
NTRK2	3.88066666666667
FOXN3	0.804125
MFGE8	-0.4873
PFKFB2	0.549666666666667
TAS2R4	-0.6365
ENTHD1	0.646333333333333
PRMT5	-0.74225
MGC16384	-1.648
LOC442229	-0.6665
TSKU	-0.095625
KRTCAP3	2.581125
PDLIM1	0.8775
KCNS2	0.8505
RNF126	-0.965333333333333
CEP63	0.19725
CLIC4	0.50775
hCG_1990170	-0.07125
ACR	0.5222
KLK7	-0.19125
ALOX5AP	3.951625
RIPK3	4.4085
TAS2R9	0.2035
C19orf18	1.612
BIRC6	-0.0746428571428572
ZNF16	0.8605
RFT1	-0.66125
SLC8A2	-1.044
TACC1	0.52425
ITGAD	1.29375
SAMHD1	1.71975
SH3PXD2B	1.3149
EPC2	0.86825
C20orf85	-0.167375
ATP13A2	0.179333333333333
KRT4	0.374125
CAPNS1	0.31175
MDM2	-0.590833333333333
PCDH20	2.27125
KCNK9	0.41
OR2C1	-0.0685
KLHDC3	-0.537666666666667
IPPK	0.9045
EFHD2	0.2155
GALR3	0.8065
NBEA	0.615833333333333
ABCA6	4.7091
CLDN3	0.579666666666667
AKT2	-0.585
EGFR	-1.2547
RBM16	0.403875
ZDHHC3	0.5644
SLC25A4	-0.423666666666667
CYB5B	-0.559
CPXM1	1.536
NDRG1	-0.840538461538462
FLJ43826	0.87575
OR5L2	-0.504
FARP2	0.4007
MRPL46	-0.516833333333333
LDHAL6B	0.212333333333333
MAPKAPK3	-0.350833333333333
NCAM2	0.58475
PRKD2	0.2515
ZFP36L1	1.165
CYSLTR1	0.551
OR4C3	0.16725
HIST1H2AJ	1.359
CCNB2	-3.49844444444444
ZNF10	0.067375
TMEM175	0.344
FAM134A	0.587333333333333
TIGD4	-0.131
PCNP	-0.0145
MGC39715	-0.2515
LQK1	-1.17975
CREB1	1.0546
TMPRSS3	0.8075
C4orf32	2.163875
LAT	-1.42866666666667
KCNA3	0.1335
SKIV2L2	-0.55025
ROPN1B	-4.33725
tcag7.23	-0.6795
CDT1	-3.913
ZHX2	1.105875
CD28	-1.87925
ZNF624	1.63675
SEPT2	0.568166666666667
SOHLH2	-0.64775
MCOLN3	-0.93025
UNQ1945	0.3655
MASP2	-1.368
ZNRF3	0.093
GPATCH3	-0.22875
AGL	0.586625
QRICH2	-0.79
PSD4	0.609166666666667
CCNB1IP1	-2.02575
ENPP7	0.13975
OBFC1	0.40725
KCNG3	-2.14875
C14orf79	0.662833333333333
ENPEP	3.12283333333333
SCT	1.324
SKI	0.674
SEC61G	-1.377
CAPN11	0.3745
ATXN7L3	-0.33
DBNDD1	-1.11833333333333
FAIM	0.33675
ANKRD36	-1.1345
GABRP	-0.515333333333333
TACSTD2	2.64616666666667
EIF3J	-0.62
PPP2R2A	-0.23225
TEKT4	-0.191
PVALB	-4.09266666666667
F10	-1.96483333333333
FAM134C	1.0335
COMP	4.60675
EFCBP1	-1.9945
SCLT1	0.740875
TAL1	-0.7101
ACSL1	1.46375
ABCC5	0.265416666666667
ABL1	-0.469555555555556
RBBP7	-0.0830833333333333
PTPRG	0.00574999999999996
NCOR1	0.0306
SPINK4	-2.367
TXNRD1	-0.9343
TNRC15	0.54075
C9orf138	0.69425
UBE2H	0.999333333333333
BRDT	0.843333333333333
C8orf31	-0.30375
CCNE2	-1.89672727272727
SLC6A8	-2.304875
CALCR	-3.2065
PPP1CB	1.20483333333333
ABHD8	0.0975
ARF5	0.3287
SLC24A4	1.4125
CCT3	-0.6995
ZNF121	0.14675
SLC3A2	-1.0577
OR13A1	0.122
SLC5A10	-0.9335
RAD50	0.245375
IER5	0.367625
MTHFD1L	-2.1705
MBTPS2	0.848
MVK	-0.882625
NCL	-0.4662
PSMD10	-0.00475
MOBP	0.249
FLJ32894	0.466
HRH1	0.689166666666667
C5orf30	1.076
NUDT16L1	0.6879
RASGRP3	4.21933333333333
PRKRIP1	-0.6805
CCDC75	0.06725
LOC253970	0.307333333333333
KIAA1239	1.32
MED21	-0.10675
SYT11	1.23441666666667
NTSR2	-0.283
EGFL11	0.832
CXorf59	0.438
OR2A25	0.1625
SPTBN2	-0.63225
LRMP	-0.516166666666667
RNF111	0.36575
PTH	0.706
LOC619208	1.26216666666667
KIAA0895	0.69225
RANBP5	-0.9175
P2RY10	1.839
NME5	4.32783333333333
DDX21	-1.17075
LRSAM1	-0.359
HDAC11	1.36566666666667
VMO1	1.61725
NOLA2	-0.444
ADAR	0.565833333333333
MTO1	-0.876666666666667
SF4	-0.2655
P2RX1	0.251666666666667
HBM	0.17725
EN2	0.97
C14orf172	-0.409
TM9SF2	1.1134
INHBE	-1.86616666666667
TCTE3	-0.135666666666667
TOX2	-2.27125
CTAGE3	0.424625
HBB	4.1675
MED15	-0.738666666666667
CASR	0.1305
C6orf66	-1.46183333333333
MTPN	-0.287875
UNC50	0.3145
C21orf33	0.236625
IRF2	1.209375
PGR	1.621
GPR84	2.6685
CROCCL1	-2.438
SRPX	-0.3715
BRE	0.324
FGF10	1.8425
SDC3	-1.19066666666667
ZRSR1	0.382166666666667
DKFZP434P211	-0.50225
SOX6	0.026
RPUSD2	-0.3785
C14orf173	-0.111666666666667
MAPK11	0.4245
TBC1D22A	0.472
FAM123A	0.066
COL4A6	-3.04083333333333
TOMM70A	-0.19825
NAB1	0.059875
MGC16385	-0.67725
TSPAN18	0.847666666666667
MED31	0.279
PLG	-0.22575
CAPSL	2.3305
ZNF532	0.7992
ASB14	-0.892
CA8	-0.25475
NUDT16P	1.9495
SLFN11	0.1145
LRRIQ2	0.118125
NOL7	-0.5245
BRMS1L	-0.104375
JARID1A	-0.0923333333333333
PANK2	-0.4595
ICAM3	-0.2865
MDS1	0.3635
TAF8	-0.5095
RNF139	0.95875
ZNF594	-0.144166666666667
ADAM8	2.056875
SFTPC	-0.345125
MAN2B2	1.38025
RGS12	0.497625
EIF1AY	-5.04616666666667
LRRIQ1	-2.67933333333333
GPR150	0.93075
CCDC21	-1.65566666666667
PRRG3	1.57375
SAA4	-3.9265
RAPGEF5	2.025125
ZCCHC2	-0.377416666666667
MGC39372	-0.792
PPP4R2	0.461666666666667
CDCA2	-2.58433333333333
OR4D5	-0.0923333333333333
PTGFRN	1.4647
SIGLEC5	2.24933333333333
C19orf61	-0.364666666666667
NMUR2	0.218
KIAA1586	-0.516333333333333
DAGLA	-0.0793333333333333
CHCHD6	-0.39075
GPR32	0.9425
NEUROD6	-0.271166666666667
SLC2A4RG	0.2316875
CA5B	0.19325
FBXL3	1.948
MPHOSPH9	-1.4625
HMG2L1	0.8085
HCN4	0.064
CEACAM19	0.14625
SH2D4B	0.0412
HFE2	-2.6675
TGM4	-0.144
LYPD2	-0.13875
TBC1D15	0.15525
MRPS21	-0.0258
NONO	-0.8247
CLEC5A	2.705875
ITCH	-0.2269
MGAT3	-0.1475
MBP	0.08625
RPP25	-1.439
SOSTDC1	-3.06275
HRC	-0.8465
TRIM48	0.089
TMEM133	0.8905
ECEL1P2	-1.6995
HOXC11	0.7385
DOK5	0.895
HELZ	0.134333333333333
LOC348180	-1.009
MGC33894	-0.02475
ADRB3	0.234
DMD	0.266
PTRH2	-0.84225
MPEG1	3.6585
NDUFA12	0.0968333333333333
KRTAP2-4	-0.267666666666667
STAMBPL1	-0.982833333333333
ADCY2	0.784333333333333
UNQ6125	0.4115
KLHL20	0.467
SRM	-1.7225
OTC	-0.21225
TMIE	0.129
SNX8	-0.377
LIPK	-0.2495
CHURC1	1.13775
KLC2	0.0265
HDAC1	-0.855833333333333
FAM128A	0.007
FNDC3B	-0.1528
MTCP1	-0.430166666666667
WFDC10B	-0.3774
PCDHGB3	0.131
ATRNL1	-1.6598
CAV2	1.251625
MED26	-0.2545
DUS1L	-0.17125
CHRM3	-1.937375
NEK9	0.77475
WARS2	0.4095
TBX22	-1.257
TOMM40	-1.5995
RP6-213H19.1	-1.775
TUBGCP5	-0.42
IGSF6	5.4715
TPPP	0.723166666666667
UNQ6190	0.221
GSTM5	1.333125
BTD	1.68116666666667
PDCD1LG2	0.840666666666667
SNRPB2	-0.535833333333333
ERICH1	-0.742
APOA4	-2.25175
HOXA11	-1.31125
NARG1	-0.739375
MKX	1.149
RAB28	0.0568571428571428
PKP3	0.087
SH3GL2	-2.33225
CTSO	4.39475
RPN2	0.1481875
IL28RA	0.0443333333333333
SFMBT1	0.33375
WDR57	-0.171625
FER1L3	1.3455
HSF5	0.789333333333333
TTC9B	0.2085
C4BPA	-4.23266666666667
ALB	-4.68438461538461
SORBS3	-0.07175
UPF2	-0.426
JPH1	-0.406
AGBL2	0.3155
DOPEY1	1.702
TERF1	-0.288
KIF22	-1.19783333333333
NINJ1	1.293
SEC61A2	-1.14883333333333
HIST1H1D	-1.2985
SFXN4	-0.420125
UCP3	-0.296
ZNF703	0.465
MYL6B	-0.63075
TREM1	2.17175
OR52E6	-1.0485
CKMT2	2.76325
HLA-C	2.0785
SLC13A3	-1.98516666666667
TIMP4	1.941
SLIT2	3.48
RSF1	-0.0822777777777778
LONRF1	-0.724571428571429
MON1A	-0.301
CACNG6	-2.13366666666667
DPPA4	-5.51966666666667
ZSWIM3	0.27825
ZNF804A	1.1185
CCIN	1.642
SLC25A31	0.0725
KCNMB4	0.16125
RABL5	0.2625
GALNS	-1.0245
STX6	0.564625
HIST1H1C	-1.97916666666667
CIDEB	0.031625
CASP4	0.0615
PDK3	0.1053
KCNJ11	1.786
TPR	-0.525375
ZSCAN20	-0.9185
MTX2	0.0315
HIST1H2BH	0.13725
LOC283767	0.257
LYRM7	-1.03394444444444
BRD3	0.6475
HIST1H2BO	-0.322
MAGEB10	0.02
SLC45A1	1.16775
SERPINA3	2.26755
KIAA0143	1.8435
KCNJ16	0.894666666666667
KRT79	-0.384
FABP2	-1.28525
NUT	0.34275
ZNF57	-0.54375
FBXL4	0.6385
CLEC9A	1.9875
UGT8	-2.06533333333333
BMP2K	0.7845
MAPK4	-4.0585
SLC25A23	-1.02
HINT1	-0.2735
KRTAP13-1	-0.277
SFXN5	1.1632
CHCHD2	-0.1145
FAM3D	1.036
NDP	1.05175
RHOBTB1	0.0973333333333333
SLC4A4	1.248875
RPL38	-0.2435
HTF9C	-1.04566666666667
AP2A2	0.391125
ZBTB46	-0.5485
MAP7D1	0.26875
AOX1	-0.410833333333333
CYR61	0.568333333333333
DTNA	-1.25807142857143
JRKL	0.313
TMOD3	-0.17525
EEA1	0.2065
ADCK5	-0.78575
IL1R1	2.4915
KLK3	0.2375
HRSP12	-0.7705
KTN1	-0.34
LOH11CR2A	1.6155
RELL2	-2.1445
MAB21L1	2.1855
C20orf59	-1.51433333333333
PHKB	-0.06025
ADAM2	-1.34983333333333
TBC1D8B	1.895
FAM13A1	-0.6238125
LAPTM4B	-1.47775
LCN8	-0.2015
TMEM147	0.0825
SYT4	0.0233333333333334
XPO7	-0.757
C9orf62	0.81925
GPR75	0.401
TRIM5	0.55525
APOC1	0.1705
RNASE4	1.4655
PARD6B	-0.6255
ARID1A	0.259
TPD52L3	0.0355
RRAGB	1.1815
RCN2	-0.6845
HIST2H2BE	0.5
STARD7	-0.21325
SHMT2	-1.42925
KIAA1751	-0.2766
MLYCD	0.47375
LOC162632	-1.2229
UQCRH	-1.44775
RP11-217H1.1	0.545625
SDHA	-0.932833333333333
NCLN	-0.4914
ZNF17	0.974166666666667
RCBTB2	-0.35675
VEGFB	0.0832
RP4-747L4.3	0.5575
COLQ	0.0173
MPN2	-0.703833333333333
DRG2	-0.31775
KLRB1	6.911
ALPK2	-1.2535
DNASE2B	1.61175
FLJ23834	0.0968333333333333
AXUD1	0.885
SAFB	-0.5773
NSUN4	-0.0565
RFX2	0.287833333333333
MAPK8IP1	-1.17116666666667
FANCD2	-1.85757142857143
ANKZF1	-2.12333333333333
C19orf50	-0.373625
DUSP8	0.332375
SENP5	-0.552625
NFKBIL2	-1.282
LBR	-1.051
IGFL1	4.042
LZTS2	0.117375
IL2RG	-0.260375
CCDC51	-0.149
KLF3	0.338
ANKRD37	-1.22225
KCTD14	-1.768
FZR1	0.103833333333333
SLC44A4	4.0687
ESPL1	-1.961625
GMPR2	0.0615
TBC1D19	9.25185853854297e-18
ERGIC1	0.655666666666667
ERBB4	2.636
TSPAN32	0.674666666666667
MAP4	0.03925
GPHN	-0.71075
SLC6A2	0.036125
HIVEP1	0.09
DFFB	-0.4568
EIF4EBP2	0.522125
DMRT1	-0.624
HSPB6	0.53875
IER2	0.607333333333333
AIFM1	-0.379
WWC2	0.037
MRPL4	-0.72425
FLJ21062	1.27633333333333
EPB41L4A	1.45033333333333
SH2D6	0.36975
TAF4B	-1.181
GAL3ST3	-0.3055
MALT1	-0.976833333333333
RTDR1	-0.3295
ARVCF	-0.0495
MEX3B	-0.423833333333333
FBXO16	1.106
KIF7	-0.89025
C1QC	3.896
ZNF783	-1.2075
ZNF85	0.1505
MMP13	5.2075
KIAA0329	0.425125
RTP3	-0.788
ZBED3	-0.1115
CLGN	-0.99525
SLC25A37	-1.69991666666667
hCG_18290	-0.356
OR5AS1	0.502
SMARCC2	0.42275
FAM109A	-0.0606666666666667
CCDC12	-0.40675
USF2	0.1561
DEPDC7	-1.89
C20orf24	-0.840166666666667
JMJD3	0.3785
DSP	0.442142857142857
SLIC1	0.68325
FAM20A	1.40425
IRF2BP2	0.048
ZNF230	0.4655
MSN	0.0783571428571429
SLC9A5	-2.1845
EPDR1	0.0632
MUSK	0.472666666666667
ZNF434	0.19
SMARCD1	-0.524666666666667
ZFP106	0.15525
ZNF347	0.2452
