Hybridization REF	TCGA-A8-A08O-01A-21R-A056-07
BLVRB	0.491666666666667
LOC147650	1.245
MMP24	-0.05825
GRID1	1.794
BANF1	0.177
CTAGEP	1.01375
HMBS	-2.35675
SLC25A24	1.7725
C14orf50	2.14275
MRO	0.484833333333333
SLC25A15	-0.09325
FAM84B	1.5599
TDP1	-0.816
C16orf78	-0.00066666666666667
C11orf57	-0.214875
RFK	-0.203
ZFYVE9	-0.026375
STCH	-0.3317
WIBG	0.25775
LOC283871	0.2025
GBA2	-0.4288
NDUFB3	-0.8865
HSD17B13	-0.15125
GRIN3A	-0.041
FMNL1	-1.4785
SEPT7	-0.4614
GNLY	2.047
GRAMD1C	1.29183333333333
ZNF165	0.03575
USP38	0.88275
FAM83A	-3.4445
C14orf24	0.762333333333333
ARMCX3	1.21325
ARHGDIB	0.695
AK1	0.042125
KIAA1045	-0.11425
DNAJB13	-0.294833333333333
NEU2	0.1125
HIST1H4B	-1.93783333333333
FAM20B	-0.2925
HES2	0.668
FAM73B	0.1372
LOC388381	-0.19575
INTS7	-0.775909090909091
AMPH	2.344
ZNF775	0.031625
UCKL1	-0.464833333333333
C10orf97	0.7055
C1orf161	-0.142
ALDH1L1	0.24075
FLJ39378	0.168125
SLC23A1	-1.7925
RBM4B	0.07875
THAP4	0.437833333333333
OGFRL1	-0.489
KIAA0831	0.224875
PPP1R15A	0.275333333333333
C1orf96	-1.23592857142857
C12orf11	-1.416
BMF	1.168625
MAN1A1	-0.5275
KIAA1600	0.435666666666667
NLGN4X	-1.885
ALOX12	-1.29433333333333
RB1CC1	0.0967
NEIL2	1.1012
EIF4E	0.345227272727273
ABHD5	0.26925
EXOC4	0.170833333333333
CIP29	0.371666666666667
BATF2	-0.96925
SLC29A4	-1.022125
HTR4	0.34925
EMB	-2.0495
TRAF6	0.5115
LMNB1	-1.9225
FAM19A5	-1.0385
SHE	1.78175
PIK3C2B	1.342
C15orf15	-0.6576
USP15	0.0391
TCEAL2	1.5985
C5orf39	-1.21183333333333
PTGER2	1.30425
SLC31A1	-0.978875
IFT172	0.57425
ADAM29	0.722
GFOD1	-0.36125
ST7L	0.927
C15orf26	-2.99875
PKN3	-0.761
CNTD1	2.20533333333333
COMMD1	0.000749999999999998
NTRK2	2.32366666666667
FOXN3	0.05775
MFGE8	0.0117
PFKFB2	0.0623333333333334
TAS2R4	0.0365
ENTHD1	0.612166666666667
PRMT5	-0.903125
MGC16384	-0.750125
LOC442229	-0.534
TSKU	-0.465125
KRTCAP3	2.041
PDLIM1	-0.0444
KCNS2	0.08925
RNF126	-0.8975
CEP63	-0.233125
CLIC4	-0.307875
hCG_1990170	1.13875
ACR	0.118
KLK7	2.807
ALOX5AP	3.024
RIPK3	3.9065
TAS2R9	-0.2015
C19orf18	1.825
BIRC6	0.273714285714286
ZNF16	0.897
RFT1	-0.4505
SLC8A2	0.62125
TACC1	-0.1325
ITGAD	0.58975
SAMHD1	0.107
SH3PXD2B	1.4059
EPC2	0.65425
C20orf85	0.585125
ATP13A2	1.69666666666667
KRT4	0.49075
CAPNS1	0.8515
MDM2	-0.60175
PCDH20	1.93125
KCNK9	0.845
OR2C1	0.163
KLHDC3	-0.559666666666667
IPPK	0.9755
EFHD2	-0.78
GALR3	0.527
NBEA	1.514
ABCA6	3.2659
CLDN3	1.19466666666667
AKT2	0.548714285714286
EGFR	-1.0963
RBM16	0.056875
ZDHHC3	0.2192
SLC25A4	0.350666666666667
CYB5B	-0.614833333333333
CPXM1	0.8635
NDRG1	-1.46069230769231
FLJ43826	0.47125
OR5L2	0.0735
FARP2	0.6308
MRPL46	-0.49675
LDHAL6B	0.631166666666667
MAPKAPK3	-0.531666666666667
NCAM2	-0.8335
PRKD2	0.763
ZFP36L1	0.8055
CYSLTR1	-1.77375
OR4C3	-0.02025
HIST1H2AJ	2.6525
CCNB2	-2.19811111111111
ZNF10	0.1055
TMEM175	0.4285
FAM134A	0.5955
TIGD4	0.365
PCNP	-0.22425
MGC39715	-0.75725
LQK1	-0.8505
CREB1	0.1419
TMPRSS3	1.81825
C4orf32	1.514
LAT	-2.26325
KCNA3	0.413
SKIV2L2	-0.4935
ROPN1B	-0.9905
tcag7.23	0.013
CDT1	-3.176375
ZHX2	1.263
CD28	-3.13975
ZNF624	0.3645
SEPT2	0.481916666666667
SOHLH2	-1.6545
MCOLN3	0.241625
UNQ1945	0.194
MASP2	-0.9025
ZNRF3	-0.4199
GPATCH3	-0.09975
AGL	1.58625
QRICH2	0.115
PSD4	1.27033333333333
CCNB1IP1	-2.3845
ENPP7	-0.09375
OBFC1	0.3455
KCNG3	-2.47325
C14orf79	0.562833333333333
ENPEP	1.79183333333333
SCT	1.4745
SKI	0.499875
SEC61G	-0.747
CAPN11	0.39075
ATXN7L3	0.37
DBNDD1	-0.0415
FAIM	-0.09475
ANKRD36	-1.231
GABRP	4.00183333333333
TACSTD2	2.4565
EIF3J	-0.40825
PPP2R2A	0.26825
TEKT4	-0.301166666666667
PVALB	-3.25216666666667
F10	-2.15283333333333
FAM134C	1.2888
COMP	4.175625
EFCBP1	-2.0595625
SCLT1	-0.591125
TAL1	-1.329
ACSL1	0.74975
ABCC5	0.689416666666667
ABL1	-0.534055555555556
RBBP7	0.492
PTPRG	-0.430375
NCOR1	-0.00779999999999998
SPINK4	-2.01533333333333
TXNRD1	-1.6562
TNRC15	-0.174375
C9orf138	0.306125
UBE2H	1.11233333333333
BRDT	0.228333333333333
C8orf31	-0.1865
CCNE2	-1.77490909090909
SLC6A8	-2.018875
CALCR	-4.39125
PPP1CB	0.807833333333333
ABHD8	0.1345
ARF5	0.0512
SLC24A4	0.106
CCT3	0.2515
ZNF121	-0.72775
SLC3A2	-0.572
OR13A1	0.103
SLC5A10	0.3295
RAD50	-0.114875
IER5	0.051875
MTHFD1L	-2.546625
MBTPS2	0.205
MVK	-0.15225
NCL	-0.5144
PSMD10	0.202
MOBP	0.159
FLJ32894	-0.5585
HRH1	-0.9335
C5orf30	1.24125
NUDT16L1	1.1634
RASGRP3	3.226
PRKRIP1	-0.0955
CCDC75	-0.97975
LOC253970	0.71125
KIAA1239	1.28025
MED21	-0.55575
SYT11	0.0221666666666667
NTSR2	-0.169
EGFL11	-0.263
CXorf59	-0.096
OR2A25	-0.07325
SPTBN2	0.3275
LRMP	-1.79916666666667
RNF111	0.0605
PTH	-0.2235
LOC619208	0.522833333333333
KIAA0895	0.67275
RANBP5	-1.347375
P2RY10	-0.3865
NME5	4.18116666666667
DDX21	-0.60975
LRSAM1	0.307
HDAC11	1.284
VMO1	0.82225
NOLA2	0.267
ADAR	0.717166666666667
MTO1	-1.66716666666667
SF4	-0.0338333333333333
P2RX1	0.197
HBM	0.038
EN2	0.927
C14orf172	-0.09475
TM9SF2	0.2169
INHBE	-1.41933333333333
TCTE3	-0.131416666666667
TOX2	-3.07125
CTAGE3	0.588875
HBB	3.4993
MED15	-0.978833333333333
CASR	-0.0125
C6orf66	-1.5495
MTPN	-0.740125
UNC50	0.25375
C21orf33	0.261125
IRF2	1.278625
PGR	1.7105
GPR84	1.633
CROCCL1	-1.08325
SRPX	-0.4955
BRE	0.399166666666667
FGF10	1.01625
SDC3	-0.0148333333333333
ZRSR1	1.01633333333333
DKFZP434P211	-0.0765
SOX6	0.528
RPUSD2	-0.12875
C14orf173	-0.162416666666667
MAPK11	-0.4575
TBC1D22A	0.1285
FAM123A	-0.756
COL4A6	-1.76833333333333
TOMM70A	-0.0015
NAB1	-1.045875
MGC16385	-0.39725
TSPAN18	-0.391666666666667
MED31	-0.4835
PLG	-0.79125
CAPSL	-0.1385
ZNF532	1.5933
ASB14	0.46425
CA8	0.0135
NUDT16P	1.2615
SLFN11	-1.1885
LRRIQ2	-0.424125
NOL7	-0.276166666666667
BRMS1L	-0.296375
JARID1A	0.250166666666667
PANK2	-0.89125
ICAM3	-0.63
MDS1	-0.698
TAF8	-0.56125
RNF139	0.86225
ZNF594	0.169
ADAM8	1.38925
SFTPC	-0.275875
MAN2B2	1.956125
RGS12	0.767
EIF1AY	-4.75166666666667
LRRIQ1	1.11016666666667
GPR150	0.643
CCDC21	-1.1785
PRRG3	0.39825
SAA4	-3.29125
RAPGEF5	0.87175
ZCCHC2	0.268666666666667
MGC39372	1.2545
PPP4R2	0.269666666666667
CDCA2	-2.42283333333333
OR4D5	0.265
PTGFRN	1.3172
SIGLEC5	0.458166666666667
C19orf61	0.5115
NMUR2	0.0975
KIAA1586	-1.4375
DAGLA	0.640666666666667
CHCHD6	-0.7805
GPR32	0.931
NEUROD6	0.0968333333333333
SLC2A4RG	0.379125
CA5B	0.316
FBXL3	0.61375
MPHOSPH9	-0.9165
HMG2L1	-0.26575
HCN4	0.3705
CEACAM19	0.384
SH2D4B	0.0451666666666667
HFE2	-0.8515
TGM4	-0.765666666666667
LYPD2	-1.029
TBC1D15	-0.0005
MRPS21	-1.1542
NONO	-0.241
CLEC5A	1.10575
ITCH	-0.0493
MGAT3	-0.853666666666667
MBP	-0.35775
RPP25	-0.90675
SOSTDC1	1.8725
HRC	-1.00475
TRIM48	-0.0875
TMEM133	-0.564
ECEL1P2	-1.82333333333333
HOXC11	1.661
DOK5	-1.1625
HELZ	1.00716666666667
LOC348180	-0.9245
MGC33894	0.2955
ADRB3	0.157
DMD	-0.0391666666666667
PTRH2	-0.4665
MPEG1	2.60966666666667
NDUFA12	0.0691666666666667
KRTAP2-4	0.199
STAMBPL1	-0.545833333333333
ADCY2	0.891833333333333
UNQ6125	-0.3815
KLHL20	-0.114166666666667
SRM	-1.44125
OTC	-0.175
TMIE	-0.192
SNX8	-0.37125
LIPK	0.025
CHURC1	-0.92025
KLC2	0.252
HDAC1	0.692333333333333
FAM128A	-0.4435
FNDC3B	-0.9574
MTCP1	-0.394333333333333
WFDC10B	0.2185
PCDHGB3	0.169
ATRNL1	-1.3128
CAV2	0.089875
MED26	-0.2515
DUS1L	0.35925
CHRM3	-1.6745
NEK9	0.528
WARS2	0.12825
TBX22	4.494
TOMM40	-0.4175
RP6-213H19.1	-1.4945
TUBGCP5	-0.6995
IGSF6	4.05775
TPPP	-0.166333333333333
UNQ6190	-0.169
GSTM5	2.3135
BTD	0.7345
PDCD1LG2	-0.0128333333333333
SNRPB2	-0.871
ERICH1	-0.328125
APOA4	-1.536
HOXA11	-2.20775
NARG1	0.079625
MKX	0.1595
RAB28	0.183571428571429
PKP3	1.27725
SH3GL2	-0.91475
CTSO	3.2835
RPN2	0.1129375
IL28RA	0.587333333333333
SFMBT1	0.05825
WDR57	0.45175
FER1L3	1.41883333333333
HSF5	0.0996666666666667
TTC9B	0.191
C4BPA	-3.98466666666667
ALB	-4.42042857142857
SORBS3	0.56075
UPF2	0.425
JPH1	-0.436
AGBL2	1.9875
DOPEY1	0.685
TERF1	-0.146083333333333
KIF22	-0.592333333333333
NINJ1	1.93475
SEC61A2	-0.06125
HIST1H1D	-1.53766666666667
SFXN4	-0.773375
UCP3	0.291
ZNF703	1.66916666666667
MYL6B	-0.4265
TREM1	1.1295
OR52E6	0.513
CKMT2	2.0705
HLA-C	1.248
SLC13A3	-0.893166666666667
TIMP4	-0.15925
SLIT2	2.405
RSF1	0.0658333333333333
LONRF1	-0.340428571428571
MON1A	-0.0858333333333333
CACNG6	-1.815
DPPA4	-5.46633333333333
ZSWIM3	-0.34325
ZNF804A	-0.185166666666667
CCIN	1.49925
SLC25A31	-0.32475
KCNMB4	0.2355
RABL5	0.624125
GALNS	-0.3815
STX6	-0.077375
HIST1H1C	-1.00016666666667
CIDEB	-0.86775
CASP4	-0.2065
PDK3	-0.4859
KCNJ11	1.6795
TPR	-0.2935
ZSCAN20	-0.103
MTX2	-0.37775
HIST1H2BH	0.1035
LOC283767	1.731
LYRM7	-0.890055555555556
BRD3	0.917166666666667
HIST1H2BO	0.144
MAGEB10	0.15
SLC45A1	1.4235
SERPINA3	3.32545
KIAA0143	1.6315
KCNJ16	0.0503333333333333
KRT79	0.214
FABP2	-0.3595
NUT	-0.546
ZNF57	-0.7455
FBXL4	0.062
CLEC9A	0.442
UGT8	-0.9185
BMP2K	-0.2575
MAPK4	-3.309
SLC25A23	-1.1422
HINT1	-0.5463
KRTAP13-1	0.402
SFXN5	0.3074
CHCHD2	-0.00624999999999998
FAM3D	2.137
NDP	-2.94475
RHOBTB1	0.7375
SLC4A4	-1.315625
RPL38	-1.2485
HTF9C	-0.745166666666667
AP2A2	0.9135
ZBTB46	-0.5905
MAP7D1	0.693625
AOX1	-1.59833333333333
CYR61	0.151083333333333
DTNA	-0.085
JRKL	-0.12525
TMOD3	-0.5445
EEA1	0.0951
ADCK5	-0.324
IL1R1	1.17833333333333
KLK3	0.638642857142857
HRSP12	-0.6035
KTN1	0.4165
LOH11CR2A	0.7058
RELL2	-1.49225
MAB21L1	2.74175
C20orf59	-1.27416666666667
PHKB	-0.3905
ADAM2	-1.7525
TBC1D8B	1.15283333333333
FAM13A1	-0.684
LAPTM4B	-1.0355
LCN8	-0.2315
TMEM147	0.908
SYT4	-0.457833333333333
XPO7	-0.7365
C9orf62	1.02075
GPR75	0.1895
TRIM5	0.0265
APOC1	-1.223
RNASE4	0.813333333333333
PARD6B	0.757625
ARID1A	0.55075
TPD52L3	0.133222222222222
RRAGB	0.927333333333333
RCN2	-0.845333333333333
HIST2H2BE	0.0885625
STARD7	0.01075
SHMT2	-1.0175
KIAA1751	0.494666666666667
MLYCD	0.398875
LOC162632	0.3366
UQCRH	-1.3695
RP11-217H1.1	0.413375
SDHA	-0.912166666666666
NCLN	-0.7896
ZNF17	1.10783333333333
RCBTB2	-1.6255
VEGFB	0.4106
RP4-747L4.3	0.9405
COLQ	0.721
MPN2	-0.809166666666667
DRG2	0.10375
KLRB1	3.7065
ALPK2	-2.368
DNASE2B	0.86625
FLJ23834	0.351333333333333
AXUD1	0.344
SAFB	-0.5531
NSUN4	0.00775
RFX2	-0.022
MAPK8IP1	-1.20233333333333
FANCD2	-0.986142857142857
ANKZF1	-1.57883333333333
C19orf50	-0.7545
DUSP8	-0.206375
SENP5	-0.540875
NFKBIL2	-0.64725
LBR	-1.98725
IGFL1	1.1785
LZTS2	0.18325
IL2RG	-1.11825
CCDC51	0.03625
KLF3	0.25025
ANKRD37	-1.127
KCTD14	-0.807833333333333
FZR1	-0.0534166666666667
SLC44A4	3.1976
ESPL1	-1.00275
GMPR2	-0.6478
TBC1D19	0.138166666666667
ERGIC1	0.965296296296296
ERBB4	2.3153
TSPAN32	0.0853333333333333
MAP4	0.440875
GPHN	-0.36775
SLC6A2	0.16825
HIVEP1	0.65875
DFFB	-0.5096
EIF4EBP2	0.58275
DMRT1	-0.851
HSPB6	0.086
IER2	1.406
AIFM1	0.14475
WWC2	0.732333333333333
MRPL4	-1.03375
FLJ21062	1.0035
EPB41L4A	1.35766666666667
SH2D6	0.11325
TAF4B	-0.1525
GAL3ST3	-0.4985
MALT1	-1.4415
RTDR1	-0.54175
ARVCF	0.047125
MEX3B	-0.234666666666667
FBXO16	1.54825
KIF7	-0.74825
C1QC	3.65116666666667
ZNF783	0.0711666666666667
ZNF85	-0.39575
MMP13	3.1375
KIAA0329	0.36625
RTP3	-0.902
ZBED3	0.008
CLGN	1.15775
SLC25A37	-1.45391666666667
hCG_18290	-0.5775
OR5AS1	0.185
SMARCC2	0.567833333333333
FAM109A	0.397
CCDC12	-0.295
USF2	1.0771
DEPDC7	-1.71675
C20orf24	-0.450666666666667
JMJD3	0.3485
DSP	1.82514285714286
SLIC1	0.057125
FAM20A	1.008125
IRF2BP2	0.353625
ZNF230	0.6055
MSN	-0.578857142857143
SLC9A5	-1.983
EPDR1	-1.2225
MUSK	0.280833333333333
