Hybridization REF	TCGA-AO-A0JJ-01A-11R-A056-07
PPIL1	-1.63083333333333
GBP7	0.601
STK17A	-0.4081
ABR	0.3955
OR9G1	0.03
FOXE1	-0.82075
CNGA3	0.049
GML	0.188
CD38	0.57025
ZDHHC6	0.0075
NEFH	0.023
CTDSP2	0.706833333333333
PGBD5	-1.51183333333333
CCNY	-0.0291428571428572
RMND5B	0.677333333333333
ZNF257	-0.2765
FLJ22167	-0.930625
EXOSC7	-0.383666666666667
ROR2	2.1325
MAOA	2.257
TNNT3	2.47266666666667
GYPC	-0.02025
C7orf33	1.1945
PLIN	4.48316666666667
LOC90826	-0.18275
RNF4	-0.3561
F8A1	0.589166666666667
PLEKHG4	-1.497
GRB2	0.2559
HIST1H2AD	1.118
DUS3L	-0.773833333333333
EIF1	-0.253
RP5-1077B9.4	-0.902333333333333
FPGT	1.63925
GDF10	2.7855
COQ9	-0.525
GCC2	0.175357142857143
RARRES3	3.18125
PLXNA1	-0.8269
KIAA0100	-1.0067
PMF1	0.299
FNDC1	5.27475
HS2ST1	0.115083333333333
CRELD2	1.23675
C8G	-2.0155
CD82	1.34175
LIM2	-1.3675
UNQ6490	-0.811
MMP16	0.02325
DRD3	0.056
C5orf26	0.05225
C11orf73	-0.347
PTP4A2	1.022125
OR4M2	-0.046
HPCA	-1.08166666666667
SEC14L1	-0.600166666666667
CHFR	-0.764375
EMILIN1	1.1755
NDUFS4	-0.54075
COL18A1	-0.02275
PDZD3	-0.0911
C9orf16	0.418833333333333
ERBB2IP	0.469
EMX2	3.3285
FUS	-0.8315
TF	-2.7512
CLCN4	-0.108833333333333
CXorf56	-0.2085
C11orf72	0.41675
ELAC2	-0.688583333333333
NPR1	0.585
ASS1	-1.57083333333333
USP42	-0.1545
POLR2J	-0.8545
SEC23IP	0.581
UQCRC1	0.094
LOC729603	-0.84375
C1orf71	0.2715
POLG	-2.401
ADAM23	-3.035
TFR2	-1.39625
RICTOR	-1.0002
MGC39606	1.07075
C19orf55	-0.388
SNAPC1	-1.80633333333333
GNA11	0.853375
CCDC52	0.142166666666667
FSIP1	3.157
UPF3A	-0.880375
IGSF11	-2.56816666666667
LAGE3	-0.4275
CHST6	-2.3165
UNC13B	0.0405
TTLL4	-0.8545
ZNF687	0.7985
SDC2	-1.0623
COX7A2	-0.78175
LAMB4	-0.7135
FAM24A	0.001
LRRTM3	-1.55166666666667
GPHB5	0.34325
OR4C13	-0.7865
EIF3EIP	0.448428571428571
HABP4	-0.3605
TMEM125	4.04675
CNTN2	1.07725
ASNSD1	-0.15975
FUT4	-0.177625
ACF	-3.183
LOC158381	0.561
CDH8	-0.8455
AGPS	-0.123166666666667
C4orf18	4.5055
PECI	-0.445416666666667
UNG	-0.48125
GSTP1	-0.395125
DCUN1D5	-1.48566666666667
DKFZP564J0863	-0.999
SLC9A3R1	0.950375
BCDO2	-0.183875
CHMP7	-0.034875
REM2	-0.982
DNHD1	-1.108
FKBP4	-0.746375
ZNF350	1.11325
MGC11102	0.18
BST1	1.481
KISS1R	1.3815
NCR2	-0.0265
DEFB125	0.078
UBE2W	0.7585
KRT15	2.63425
C10orf99	0.1445
SCN11A	0.337125
GFI1	-1.096
RDHE2	3.14483333333333
FHL1	0.655833333333333
OSGEP	-0.0783333333333333
GATA1	-2.951
SMC6	-1.2385
TTTY14	-1.499
LPIN3	-0.5105
RPL4	-0.2105
RBPMS	0.0125
PRPF3	-0.594333333333333
EMR1	-1.444
SPATA19	-0.8615
XCR1	0.3465
IRX3	1.9801
RBM6	-0.94475
KLF4	1.6249
UNC5CL	-2.08025
SEBOX	0.2605
BTK	0.929
KRCC1	1.232
C6orf27	0.4185
SYTL5	-0.7875
PRND	2.987875
LOC653319	-1.5055
PIGL	-1.371125
HUS1	-0.611666666666667
SFRS6	0.63825
C17orf77	0.4315
UIMC1	-0.724666666666667
FXYD2	-1.528
LOC283152	2.48025
ZNF667	-0.703
ZCCHC12	-1.14475
TFEC	3.809
ATP7B	-0.308333333333333
POLD2	-0.916333333333333
RG9MTD1	-0.3085
ACOT2	-0.000333333333333371
HIST1H4I	-1.022125
PPARGC1A	-0.6195
ETFA	-1.7061
POLRMT	-0.1985
ZNF146	0.022
MIA2	-2.1895
KLHL6	-0.105
HOXB5	3.00325
NENF	1.03266666666667
CUGBP1	-0.1315
PRSS22	1.02666666666667
CASC4	1.2834
CUL4B	-0.1013
CENPJ	-2.1462
PITX1	-1.87016666666667
FLJ31033	1.038
CELSR3	-1.21266666666667
ZNF568	0.91725
ITSN1	-0.468166666666667
EHBP1L1	-0.445666666666667
C19orf2	-1.15175
DCTN1	0.22425
LIN28B	-3.98083333333333
TNKS2	-0.8695
C1QBP	-0.62925
CADPS2	2.262
SRMS	0.405
GJA9	0.0875
MGC24975	-0.475666666666667
TRIM45	-0.850333333333333
TSP50	0.314
TCP1	-1.5595
TMED7	0.4619
CMA1	2.2525
CENPL	-0.922
PTCRA	0.296
FST	-2.98775
VWCE	-3.6105
PAWR	-0.27275
ABCC12	0.3335
LDLR	-1.8162
ASTN2	2.0261
LOC441212	-0.87375
GPATCH8	-0.045
TANC2	-0.967833333333333
KIF4A	-1.84425
C18orf18	-0.477
PGM1	-0.75025
KIAA0258	0.36125
CPD	0.563375
SNCAIP	-0.213
DCT	-3.9925
HLA-DOA	3.59395454545455
OR11L1	0.687
UPK1B	-1.0805
DNAJB4	-0.2755
UGT1A8	-0.249
HIST1H4L	-1.035
PECR	-0.691333333333333
HSPA2	3.12375
WFIKKN1	-3.281
SERP1	0.98925
SYDE2	0.40825
TACR2	1.156
NUP85	-0.58275
CD177	-0.282333333333333
LGR5	-2.0955
PIGG	0.371
PTHR1	-0.590833333333333
RAB5A	0.2588
FLJ13224	-0.863
USP9Y	-1.14516666666667
C7orf53	-1.73
LRP1B	-0.0605
XAF1	2.0058
ABCG8	-1.959
ANKDD1A	-0.3635
DAND5	-1.762
SPAG6	6.07083333333333
LINCR	3.36525
ZDHHC22	-1.78775
CCDC60	0.763
THOC7	-1.5415
TCTA	1.3267
OR8K3	0.56375
NY-REN-7	-1.6935
B2M	2.20516666666667
C6orf141	-1.573875
LPPR4	2.2465
SQLE	-2.351
SEPHS1	-0.653
BTBD14B	0.457
PLRG1	-0.4625
SPG7	-0.5685625
ZNF614	-0.396
PARD6G	1.1645
INPP5B	-0.6146
GRPEL2	-0.099625
PPID	-0.7837
TRIM56	-0.07525
UBE2J1	-0.062625
IL20RA	5.06775
LOC387856	0.20175
C1orf107	0.253833333333333
UTS2R	1.626
C19orf22	-0.19125
SAFB2	-0.141375
KIAA0652	0.110625
KLRG1	0.429833333333333
MS4A8B	1.93466666666667
FRAG1	0.47075
KIAA1546	0.03625
E2F4	-1.2689
CLEC4M	0.584666666666667
BTBD14A	-1.39475
KIAA0999	2.0306
GYPA	-3.581
TAC1	2.1539
TRAIP	-1.377
KIAA0232	0.0386
ERCC8	-1.671125
GPX4	0.6605
KIAA0368	-0.532875
GPR157	-1.15633333333333
CTAGE4	0.827
C9orf30	-1.778
OR52A1	0.2965
HSP90B3P	-0.253
ALG9	-0.1843
BTBD10	0.73175
SDK2	-0.023
BAIAP3	-0.798
RABGGTB	-1.145875
ANKRD40	-0.255666666666667
KRT74	0.00899999999999999
CALCOCO2	0.3765
SNCA	-2.217
TMSL8	-4.799875
C2orf53	0.2985
ESRRB	-0.2165
ARHGAP26	-0.255125
TDRD9	-2.73825
HRAS	-0.173833333333333
KLRC4	-2.2975
JAGN1	0.092
BSDC1	0.43725
RNF43	0.6592
NDUFAF1	0.41275
PHF12	-0.072
OR1L3	-0.038
FOLR2	2.31008333333333
LYZL6	-0.2755
tcag7.1260	-1.0465
WSB1	-1.805
PROS1	0.0364
OSTN	0.186
PSMB8	0.81075
SOCS4	-0.53675
DDIT4L	1.92875
MAS1	-0.9545
MGC34796	1.27375
CSHL1	0.480166666666667
TBCCD1	0.303666666666667
ZBTB7C	0.617
AP2S1	-0.60175
P15RS	-0.2239
VAT1	0.0668
SHANK3	1.174
TUFM	-0.298666666666667
THEG	-0.813
KRT34	-2.08875
SGSM3	0.178125
TOMM22	-0.2095
SOCS3	1.75033333333333
CPO	0.1695
POP4	0.249
BHLHB3	2.6635
MALL	2.068
OR1B1	0.34
PARK2	0.715666666666667
GPR124	1.468
LCE1E	0.3445
RUVBL2	-0.53025
CGRRF1	0.5924
ACPL2	0.984
WNT10B	-2.708125
BAIAP2L2	-2.08675
ISCA1	0.469
C1orf125	0.090375
RPAP1	-0.608
RAI16	0.290333333333333
RPL27	-0.16975
NLRP9	1.764
EPN1	0.304
LOC388610	-1.790125
SLC35A1	0.0871
GAL	-4.23
SLC14A2	0.31175
RDH11	-1.0045
FAM138F	-0.2455
AUH	0.3695
FLJ40243	-0.14775
C14orf129	0.140666666666667
MBD2	-0.759666666666667
ABHD14B	0.705125
PIGT	0.40075
ALS2CR4	-0.33125
ALAS1	0.1216
FOXO1	1.50316666666667
CRLF3	-0.06925
C20orf107	-0.451
FARS2	0.42825
CCDC28A	0.68
NPHP3	-0.92475
OR13F1	0.3065
TSEN54	-0.0095
DEFB106B	0.2595
OR8B4	0.3655
STH	-0.151
ZC3H14	-0.456
CBX2	-1.349
TMEM49	-1.02875
C6orf21	0.5095
FLJ20920	1.151375
CRTAP	0.259357142857143
DDX50	-0.31925
STYXL1	0.1125
BLVRB	0.473666666666667
LOC147650	-0.819333333333333
MMP24	0.328
GRID1	2.1382
BANF1	-0.8165
CTAGEP	0.21525
HMBS	-1.7525
SLC25A24	-0.2495
C14orf50	2.27625
MRO	1.35216666666667
SLC25A15	-1.762
FAM84B	0.5423
TDP1	-1.162
C16orf78	0.2298
C11orf57	-0.126
RFK	-0.415625
ZFYVE9	0.14525
STCH	-0.8432
WIBG	0.51
LOC283871	-0.605166666666667
GBA2	-0.3123
NDUFB3	-0.237
HSD17B13	0.6495
GRIN3A	1.90833333333333
FMNL1	0.1815
SEPT7	-0.6716
GNLY	3.5605
GRAMD1C	0.783333333333333
ZNF165	-0.76475
USP38	0.597
FAM83A	-3.26883333333333
C14orf24	0.544833333333333
ARMCX3	0.787
ARHGDIB	1.13383333333333
AK1	0.4535
KIAA1045	0.3715
DNAJB13	-0.487
NEU2	0.923
HIST1H4B	-0.5865
FAM20B	0.2483
HES2	-0.819928571428571
FAM73B	-0.5399
LOC388381	0.08075
INTS7	-0.265272727272727
AMPH	2.71425
ZNF775	0.55725
UCKL1	-0.8075
C10orf97	-0.1805
C1orf161	0.02725
ALDH1L1	0.91725
FLJ39378	-0.240375
SLC23A1	-2.7945
RBM4B	0.3235
THAP4	0.495166666666667
OGFRL1	0.454
KIAA0831	-0.2765
PPP1R15A	-0.003
C1orf96	0.180285714285714
C12orf11	-1.52575
BMF	0.791375
MAN1A1	-0.64475
KIAA1600	0.640166666666667
NLGN4X	1.14025
ALOX12	-1.31083333333333
RB1CC1	-0.3012
NEIL2	0.6542
EIF4E	-0.0909545454545454
ABHD5	-0.687
EXOC4	-0.426
CIP29	-0.0358333333333333
BATF2	1.01475
SLC29A4	-0.224
HTR4	0.02175
EMB	-0.52
TRAF6	0.6135
LMNB1	-1.50025
FAM19A5	-1.411875
SHE	2.72475
PIK3C2B	1.05075
C15orf15	-0.2569
USP15	-0.0686
TCEAL2	1.3225
C5orf39	-0.225833333333333
PTGER2	-0.688
SLC31A1	-1.0015
IFT172	0.11125
ADAM29	0.56275
GFOD1	-0.771
ST7L	0.700833333333333
C15orf26	-2.836
PKN3	-0.49475
CNTD1	3.24783333333333
COMMD1	0.14225
NTRK2	3.45725
FOXN3	0.55775
MFGE8	-0.7091
PFKFB2	0.557
TAS2R4	-0.796
ENTHD1	1.30566666666667
PRMT5	-0.857125
MGC16384	-2.061875
LOC442229	-0.72225
TSKU	1.064625
KRTCAP3	3.42725
PDLIM1	0.3702
KCNS2	0.42175
RNF126	-0.476166666666667
CEP63	-0.127625
CLIC4	-0.507125
hCG_1990170	1.94925
ACR	0.5034
KLK7	0.53075
ALOX5AP	3.8015
RIPK3	3.895
TAS2R9	0.3645
C19orf18	-0.163
BIRC6	-0.188928571428571
ZNF16	1.0415
RFT1	-0.191
SLC8A2	-1.1135
TACC1	0.16225
ITGAD	1.7455
SAMHD1	1.71425
SH3PXD2B	1.2861
EPC2	0.97675
C20orf85	-0.18175
ATP13A2	0.510666666666667
KRT4	0.1725
CAPNS1	0.06225
MDM2	-0.7145
PCDH20	4.605
KCNK9	0.838
OR2C1	-0.525
KLHDC3	-0.884166666666667
IPPK	0.1615
EFHD2	0.771375
GALR3	1.595
NBEA	1.77083333333333
ABCA6	3.9609
CLDN3	0.774833333333333
AKT2	-0.375571428571429
EGFR	-0.3662
RBM16	0.435125
ZDHHC3	0.1715
SLC25A4	-2.093
CYB5B	-1.13716666666667
CPXM1	1.154
NDRG1	-0.291384615384615
FLJ43826	0.83725
OR5L2	0.626333333333334
FARP2	0.7956
MRPL46	-0.557833333333333
LDHAL6B	0.0161666666666667
MAPKAPK3	-0.330333333333333
NCAM2	-0.7635
PRKD2	0.720666666666667
ZFP36L1	1.7217
CYSLTR1	0.9815
OR4C3	0.581
HIST1H2AJ	1.6845
CCNB2	-2.31511111111111
ZNF10	-0.215
TMEM175	0.5915
FAM134A	1.0895
TIGD4	-0.6965
PCNP	-0.2045
MGC39715	-0.05825
LQK1	-0.95375
CREB1	0.5181
TMPRSS3	-0.949
C4orf32	3.108375
LAT	-0.358333333333333
KCNA3	0.256
SKIV2L2	-0.72225
ROPN1B	0.74
tcag7.23	-0.148
CDT1	-2.375
ZHX2	1.465125
CD28	-1.7015
ZNF624	0.8835
SEPT2	0.192416666666667
SOHLH2	-2.7365
MCOLN3	-1.13471428571429
UNQ1945	0.768
MASP2	-1.113
ZNRF3	0.9612
GPATCH3	-0.127
AGL	-0.5215
QRICH2	0.0005
PSD4	1.2215
CCNB1IP1	-2.10575
ENPP7	-0.153
OBFC1	0.5685
KCNG3	-0.88425
C14orf79	0.783416666666667
ENPEP	1.801
SCT	0.6595
SKI	0.818875
SEC61G	-1.39425
CAPN11	1.06225
ATXN7L3	-0.21675
DBNDD1	-1.48233333333333
FAIM	-0.25325
ANKRD36	-0.971
GABRP	4.22816666666667
TACSTD2	2.28666666666667
EIF3J	-0.6585
PPP2R2A	-0.296
TEKT4	-0.445333333333333
PVALB	-4.1825
F10	-0.748
FAM134C	1.2921
COMP	4.8315
EFCBP1	-1.66825
SCLT1	0.31275
TAL1	-0.9785
ACSL1	1.4265
ABCC5	0.111083333333333
ABL1	-0.436333333333333
RBBP7	-0.208083333333333
PTPRG	-1.215625
NCOR1	0.0571
SPINK4	-1.3575
TXNRD1	-1.3847
TNRC15	0.366375
C9orf138	0.813
UBE2H	0.624
BRDT	0.444
C8orf31	-0.276
CCNE2	-1.67290909090909
SLC6A8	-2.004375
CALCR	-2.095
PPP1CB	1.40925
ABHD8	0.78625
ARF5	0.4262
SLC24A4	0.815
CCT3	-0.6635
ZNF121	-0.439625
SLC3A2	-0.2573
OR13A1	0.451
SLC5A10	0.16575
RAD50	-0.04025
IER5	0.5985
MTHFD1L	-2.18175
MBTPS2	0.36475
MVK	-0.874125
NCL	-0.0896
PSMD10	-0.7375
MOBP	0.132875
FLJ32894	-3.132
HRH1	-0.393666666666667
C5orf30	0.88425
NUDT16L1	0.7917
RASGRP3	4.2165
PRKRIP1	-0.5262
CCDC75	-0.25025
LOC253970	0.00766666666666667
KIAA1239	0.49675
MED21	-0.6405
SYT11	0.86525
NTSR2	0.0575
EGFL11	0.929
CXorf59	-0.7735
OR2A25	0.59725
SPTBN2	-1.04725
LRMP	-0.149666666666667
RNF111	0.372
PTH	0.9285
LOC619208	0.587333333333333
KIAA0895	0.875
RANBP5	-1.3835
P2RY10	2.134
NME5	3.1815
DDX21	-1.15925
LRSAM1	0.217
HDAC11	1.552
VMO1	2.7175
NOLA2	-0.351833333333333
ADAR	0.7195
MTO1	-1.46433333333333
SF4	0.543666666666667
P2RX1	0.491666666666667
HBM	0.29025
EN2	1.881
C14orf172	0.0235
TM9SF2	0.1735
INHBE	-1.83183333333333
TCTE3	-0.350666666666667
TOX2	-1.9755
CTAGE3	-0.113125
HBB	4.51
MED15	-0.610166666666667
CASR	0.56975
C6orf66	-1.9445
MTPN	-0.8915
UNC50	0.0515
C21orf33	0.53325
IRF2	1.085375
PGR	2.38
GPR84	3.01475
CROCCL1	-2.45275
SRPX	0.08075
BRE	0.410166666666667
FGF10	5.87725
SDC3	0.315166666666667
ZRSR1	0.552166666666667
DKFZP434P211	-0.367
SOX6	0.5825
RPUSD2	-0.325
C14orf173	0.015
MAPK11	-0.217666666666667
TBC1D22A	0.646
FAM123A	-0.6265
COL4A6	-1.14766666666667
TOMM70A	-0.0175
NAB1	0.0335
MGC16385	-0.738
TSPAN18	-0.0816666666666667
MED31	-0.36375
PLG	-0.51125
CAPSL	1.5395
ZNF532	0.3163
ASB14	0.2825
CA8	1.74225
NUDT16P	2.34316666666667
SLFN11	-0.267
LRRIQ2	0.10525
NOL7	-0.6375
BRMS1L	-0.87725
JARID1A	0.074
PANK2	-0.2375
ICAM3	0.547
MDS1	-0.8275
TAF8	-1.18325
RNF139	0.613
ZNF594	-0.329333333333333
ADAM8	2.271625
SFTPC	-0.64725
MAN2B2	1.374
RGS12	0.8706875
EIF1AY	-4.386
LRRIQ1	-1.72866666666667
GPR150	1.75425
CCDC21	-1.34383333333333
PRRG3	0.515
SAA4	-1.1405
RAPGEF5	1.9215
ZCCHC2	-0.02075
MGC39372	0.7815
PPP4R2	0.0865
CDCA2	-1.9565
OR4D5	0.338
PTGFRN	1.144
SIGLEC5	2.462
C19orf61	-0.003
NMUR2	-0.261
KIAA1586	-1.68483333333333
DAGLA	0.163333333333333
CHCHD6	-0.60775
GPR32	0.5885
NEUROD6	0.3268
SLC2A4RG	0.16325
CA5B	-0.22225
FBXL3	1.2335
MPHOSPH9	-1.56
HMG2L1	0.34425
HCN4	0.7075
CEACAM19	-0.5205
SH2D4B	-0.662833333333333
HFE2	-0.393
TGM4	1.216
LYPD2	-0.5745
TBC1D15	0.0205
MRPS21	-0.2078
NONO	-1.05
CLEC5A	2.27975
ITCH	-0.0195
MGAT3	-0.5265
MBP	-0.195
RPP25	-0.24425
SOSTDC1	0.9765
HRC	-0.86975
TRIM48	0.3995
TMEM133	1.853
ECEL1P2	-1.949
HOXC11	-1.583
DOK5	-0.74475
HELZ	0.555333333333333
LOC348180	-1.01575
MGC33894	0.1825
ADRB3	0.3775
DMD	0.04975
PTRH2	-0.523
MPEG1	3.90916666666667
NDUFA12	-0.0238333333333333
KRTAP2-4	-0.00491666666666664
STAMBPL1	-0.510333333333333
ADCY2	1.636
UNQ6125	-1.5625
KLHL20	0.021
SRM	-1.31725
OTC	-0.312
TMIE	0.0768333333333333
SNX8	0.4645
LIPK	-0.6215
CHURC1	-0.372833333333333
KLC2	0.473833333333333
HDAC1	-0.136166666666667
FAM128A	0.694166666666667
FNDC3B	-0.1461
MTCP1	-0.3775
WFDC10B	-0.0585
PCDHGB3	0.298
ATRNL1	0.5068
CAV2	0.2505
MED26	0.0546666666666667
DUS1L	0.3475
CHRM3	-1.616875
NEK9	0.68
WARS2	0.91975
TBX22	0.5935
TOMM40	-1.10575
RP6-213H19.1	-1.0555
TUBGCP5	-0.715
IGSF6	5.32875
TPPP	0.277
UNQ6190	-0.3125
GSTM5	1.31175
BTD	1.11416666666667
PDCD1LG2	1.08066666666667
SNRPB2	-0.556
ERICH1	-0.540875
APOA4	-1.4095
HOXA11	-2.78225
NARG1	-0.535875
MKX	-0.83475
RAB28	-0.144571428571429
PKP3	0.7125
SH3GL2	-2.8165
CTSO	3.69325
RPN2	0.36725
IL28RA	0.192833333333333
SFMBT1	0.75475
WDR57	0.160125
FER1L3	0.897333333333333
HSF5	-0.7775
TTC9B	0.40125
C4BPA	-2.3325
ALB	-4.15164285714286
SORBS3	0.535625
UPF2	0.223
JPH1	-0.1805
AGBL2	0.17625
DOPEY1	0.7835
TERF1	-0.28975
KIF22	-0.8435
NINJ1	1.184
SEC61A2	-0.442833333333333
HIST1H1D	-1.05816666666667
SFXN4	0.261875
UCP3	0.1506
ZNF703	1.18416666666667
MYL6B	-0.3085
TREM1	1.0775
OR52E6	0.3495
CKMT2	2.429
HLA-C	2.3085
SLC13A3	-1.3795
TIMP4	2.37125
SLIT2	3.38875
RSF1	-0.0122222222222222
LONRF1	-0.877142857142857
MON1A	-0.228166666666667
CACNG6	-1.67166666666667
DPPA4	-4.79566666666667
ZSWIM3	-0.186
ZNF804A	0.755333333333333
CCIN	1.3455
SLC25A31	-0.01725
KCNMB4	-0.3565
RABL5	0.331625
GALNS	-0.4288
STX6	0.25425
HIST1H1C	-0.443166666666667
CIDEB	0.217625
CASP4	0.597333333333333
PDK3	0.386
KCNJ11	1.97
TPR	-0.4735
ZSCAN20	-0.608
MTX2	-0.3455
HIST1H2BH	0.0315
LOC283767	1.62975
LYRM7	-1.17427777777778
BRD3	0.192333333333333
HIST1H2BO	-0.28075
MAGEB10	0.1185
SLC45A1	1.95975
SERPINA3	1.81865
KIAA0143	1.17375
KCNJ16	1.56283333333333
KRT79	-0.3065
FABP2	-1.13066666666667
NUT	-1.279
ZNF57	-0.3805
FBXL4	-0.07025
CLEC9A	3.5075
UGT8	-0.260666666666667
BMP2K	0.31325
MAPK4	-3.2235
SLC25A23	-0.4799
HINT1	0.0444
KRTAP13-1	0.5835
SFXN5	0.208
CHCHD2	-0.193916666666667
FAM3D	3.4685
NDP	-3.03175
RHOBTB1	0.8375
SLC4A4	-0.7475
RPL38	0.2925
HTF9C	0.0235
AP2A2	0.815875
ZBTB46	-0.8005
MAP7D1	0.462125
AOX1	-1.114
CYR61	2.16475
DTNA	-0.821071428571429
JRKL	-0.1035
TMOD3	-0.534
EEA1	-0.2385
ADCK5	-0.485
IL1R1	2.15433333333333
KLK3	1.1085
HRSP12	-0.4655
KTN1	-0.13775
LOH11CR2A	1.0201
RELL2	-1.192
MAB21L1	3.067
C20orf59	-1.11383333333333
PHKB	-0.5745
ADAM2	-3.32666666666667
TBC1D8B	1.693
FAM13A1	-0.502875
LAPTM4B	-1.87975
LCN8	-0.129
TMEM147	0.703
SYT4	0.613166666666667
XPO7	-0.8895
C9orf62	1.926
GPR75	-0.939
TRIM5	0.175
APOC1	-0.191333333333333
RNASE4	2.0855
PARD6B	-0.787125
ARID1A	0.44825
TPD52L3	0.2052
RRAGB	0.860833333333333
RCN2	-0.977666666666667
HIST2H2BE	0.8875
STARD7	0.055
SHMT2	-1.24975
KIAA1751	-0.1608
MLYCD	0.343375
LOC162632	-0.5226
UQCRH	-1.32625
RP11-217H1.1	-0.1259375
SDHA	-1.16433333333333
NCLN	-0.1769
ZNF17	0.572
RCBTB2	-0.90475
VEGFB	0.2894
RP4-747L4.3	0.56225
COLQ	-0.2255
MPN2	-0.6266
DRG2	-0.01625
KLRB1	6.5665
ALPK2	-3.0295
DNASE2B	0.6365
FLJ23834	-0.0148333333333333
AXUD1	1.47666666666667
SAFB	-0.1903
NSUN4	0
RFX2	0.304
MAPK8IP1	-0.802333333333333
FANCD2	-1.31221428571429
ANKZF1	-1.31433333333333
C19orf50	-0.28425
DUSP8	0.1605
SENP5	-0.81725
NFKBIL2	-0.218
LBR	-0.761625
IGFL1	0.656
LZTS2	0.164
IL2RG	0.597375
CCDC51	-0.12575
KLF3	0.84475
ANKRD37	-1.72875
KCTD14	0.309166666666667
FZR1	0.536083333333333
SLC44A4	3.8362
ESPL1	-1.193875
GMPR2	-0.1516
TBC1D19	-0.487833333333333
ERGIC1	0.564222222222222
ERBB4	0.0111
TSPAN32	1.15375
MAP4	0.144
GPHN	-1.10025
SLC6A2	-0.293625
HIVEP1	-0.10625
DFFB	-0.6761
EIF4EBP2	0.70925
DMRT1	-1.05425
HSPB6	0.71725
IER2	0.904666666666667
AIFM1	-0.6055
WWC2	-0.662
MRPL4	-0.61275
FLJ21062	1.195
EPB41L4A	1.57225
SH2D6	0.31675
TAF4B	-1.04075
GAL3ST3	-1.205
MALT1	-0.909
RTDR1	0.17575
ARVCF	-0.11525
MEX3B	-1.14466666666667
FBXO16	0.1265
KIF7	-0.6415
C1QC	4.19633333333333
ZNF783	-1.16666666666667
ZNF85	-0.22575
MMP13	2.122
KIAA0329	0.3305
RTP3	-0.588
ZBED3	-0.413
CLGN	0.39325
SLC25A37	-1.39770833333333
hCG_18290	0.08425
OR5AS1	0.0655
SMARCC2	0.970333333333333
FAM109A	-0.532166666666667
CCDC12	-0.048
USF2	0.7048
DEPDC7	-2.122
C20orf24	-0.9395
JMJD3	0.358
DSP	0.777142857142857
SLIC1	1.040125
FAM20A	1.625875
IRF2BP2	0.895125
ZNF230	0.194
MSN	-0.0322857142857143
SLC9A5	-2.0255
EPDR1	-1.4719
MUSK	0.202
ZNF434	0.208666666666667
SMARCD1	-0.292
ZFP106	-0.2915
ZNF347	-0.0651
GTF2E1	0.197
RY1	-0.325333333333333
ATAD2B	0.319375
ARHGAP17	-0.4746
