Hybridization REF	TCGA-BH-A0GZ-01A-11R-A056-07
OR9G1	0.356
FOXE1	-1.005
CNGA3	0.1845
GML	0.5045
CD38	-2.88075
ZDHHC6	-0.698333333333333
NEFH	-1.33025
CTDSP2	0.079
PGBD5	-0.6505
CCNY	0.212142857142857
RMND5B	0.275083333333333
ZNF257	-0.75675
FLJ22167	-0.00650000000000005
EXOSC7	-0.1255
ROR2	0.971625
MAOA	-0.1035
TNNT3	-0.181333333333333
GYPC	-1.5105
C7orf33	0.505
PLIN	2.97866666666667
LOC90826	-0.84025
RNF4	0.1849
F8A1	0.606
PLEKHG4	-2.47825
GRB2	0.15795
HIST1H2AD	0.02775
DUS3L	-1.08466666666667
EIF1	-0.698833333333333
RP5-1077B9.4	-1.4125
FPGT	1.10125
GDF10	-0.917333333333333
COQ9	0.1555
GCC2	0.713142857142857
RARRES3	2.3325
PLXNA1	-0.5809
KIAA0100	-0.4735
PMF1	-0.017
FNDC1	5.34225
HS2ST1	-0.666833333333334
CRELD2	-0.35
C8G	-1.1985
CD82	0.51125
LIM2	-0.9845
UNQ6490	0.6305
MMP16	-0.055
DRD3	-0.03075
C5orf26	-1.2145
C11orf73	-0.88675
PTP4A2	0.396375
OR4M2	0.2755
HPCA	-0.975833333333333
SEC14L1	-0.00899999999999995
CHFR	-0.065875
EMILIN1	0.76775
NDUFS4	-0.0325
COL18A1	0.524875
PDZD3	0.1076
C9orf16	0.135166666666667
ERBB2IP	1.03816666666667
EMX2	4.079
FUS	-0.8745
TF	-3.4408
CLCN4	-1.0866
CXorf56	-0.26775
C11orf72	0.4545
ELAC2	0.297666666666667
NPR1	-1.131
ASS1	-2.25266666666667
USP42	0.206625
POLR2J	-0.029
SEC23IP	0.555166666666667
UQCRC1	0.30625
LOC729603	-0.729
C1orf71	0.058125
POLG	-2.067
ADAM23	-3.4025
TFR2	-1.65825
RICTOR	-0.769333333333333
MGC39606	0.63225
C19orf55	-0.549875
SNAPC1	-0.456833333333333
GNA11	1.104125
CCDC52	1.03283333333333
FSIP1	3.808
UPF3A	-1.20925
IGSF11	-2.43033333333333
LAGE3	-0.05325
CHST6	-1.052
UNC13B	0.717875
TTLL4	-1.648
ZNF687	0.5735
SDC2	-0.1957
COX7A2	0.97075
LAMB4	0.343
FAM24A	-0.0925
LRRTM3	-0.7414
GPHB5	-0.179
OR4C13	0.433
EIF3EIP	-0.620642857142857
HABP4	-0.8385
TMEM125	2.7435
CNTN2	0.67775
ASNSD1	-0.16875
FUT4	-0.735125
ACF	-4.09675
LOC158381	-0.233
CDH8	-0.1905
AGPS	-1.453
C4orf18	4.125125
PECI	0.260916666666667
UNG	-0.359375
GSTP1	-2.186625
DCUN1D5	-1.82
DKFZP564J0863	-1.07475
SLC9A3R1	1.17
BCDO2	-1.2905
CHMP7	-0.279375
REM2	0.906
DNHD1	-0.581428571428572
FKBP4	0.301875
ZNF350	1.8245
MGC11102	0.2775
BST1	1.3315
KISS1R	1.501
NCR2	0.234
DEFB125	1.338
UBE2W	1.23825
KRT15	1.084
C10orf99	-0.1045
SCN11A	0.242625
GFI1	-3.049
RDHE2	2.48016666666667
FHL1	-1.297
OSGEP	0.205666666666667
GATA1	-3.68966666666667
SMC6	-0.903
TTTY14	-1.46025
LPIN3	-0.428
RPL4	-1.3422
RBPMS	1.1422
PRPF3	0.104833333333333
EMR1	-2.7845
SPATA19	0.3865
XCR1	0.715
IRX3	2.2369
RBM6	-0.9985
KLF4	-1.3927
UNC5CL	0.3945
SEBOX	-0.436
BTK	-1.693
KRCC1	1.39225
C6orf27	0.6835
SYTL5	-0.993
PRND	3.98875
LOC653319	-1.4785
PIGL	-0.0915
HUS1	-0.219666666666667
SFRS6	-0.717166666666667
C17orf77	0.1275
UIMC1	-0.491666666666667
FXYD2	-2.2651
LOC283152	1.23225
ZNF667	-1.49975
ZCCHC12	-1.4685
TFEC	1.7978
ATP7B	-0.894166666666667
POLD2	-1.41366666666667
RG9MTD1	0.407
ACOT2	1.43883333333333
HIST1H4I	-0.38425
PPARGC1A	-2.4214
ETFA	-1.764
POLRMT	-0.1285
ZNF146	-0.274125
MIA2	-0.8065
KLHL6	-1.5575
HOXB5	-0.123375
NENF	1.53033333333333
CUGBP1	1.0525
PRSS22	1.02
CASC4	3.238
CUL4B	0.4282
CENPJ	-1.4508
PITX1	0.105166666666667
FLJ31033	-0.598
CELSR3	-1.58016666666667
ZNF568	0.17075
ITSN1	-0.551
EHBP1L1	-1.282
C19orf2	-0.5185
DCTN1	-0.171
LIN28B	-3.32616666666667
TNKS2	-0.79975
C1QBP	-0.468
CADPS2	0.788
SRMS	0.48025
GJA9	-0.2536
MGC24975	-0.67
TRIM45	-0.739
TSP50	3.21525
TCP1	-0.8755
TMED7	0.2244
CMA1	-0.0455
CENPL	-1.14866666666667
PTCRA	-0.1115
FST	-3.25525
VWCE	-4.0795
PAWR	0.89425
ABCC12	1.83783333333333
LDLR	-1.7795
ASTN2	0.8486
LOC441212	-0.644375
GPATCH8	0.24275
TANC2	-0.2515
KIF4A	-2.60675
C18orf18	-1.521
PGM1	-2.017
KIAA0258	-0.08425
CPD	-0.03025
SNCAIP	-1.44025
DCT	-4.75316666666667
HLA-DOA	2.28104545454545
OR11L1	0.611
UPK1B	-0.9836
DNAJB4	-1.3155
UGT1A8	-0.19175
HIST1H4L	-0.215
PECR	-0.487666666666667
HSPA2	2.0455
WFIKKN1	-3.6675
SERP1	-0.278
SYDE2	1.5405
TACR2	0.4795
NUP85	-0.8285
CD177	3.16133333333333
LGR5	-2.68466666666667
PIGG	-0.628333333333333
PTHR1	-1.5995
RAB5A	-0.1566
FLJ13224	-0.8905
USP9Y	-2.116
C7orf53	0.0735
LRP1B	-0.7185
XAF1	1.3321
ABCG8	-0.68
ANKDD1A	-0.545333333333333
DAND5	0.0845
SPAG6	4.50733333333333
LINCR	-0.16125
ZDHHC22	-1.665
CCDC60	1.088
THOC7	-0.572333333333333
TCTA	1.0665
OR8K3	0.21075
NY-REN-7	-0.20625
B2M	1.08166666666667
C6orf141	-1.711625
LPPR4	2.354
SQLE	-0.026875
SEPHS1	-0.24275
BTBD14B	1.14928571428571
PLRG1	-1.07125
SPG7	-0.792875
ZNF614	-0.500333333333333
PARD6G	1.6485
INPP5B	-1.0011
GRPEL2	-0.65275
PPID	-1.1158
TRIM56	-0.14625
UBE2J1	-0.407375
IL20RA	2.9765
LOC387856	-0.2275
C1orf107	0.35675
UTS2R	1.529
C19orf22	0.26575
SAFB2	0.17175
KIAA0652	-0.461125
KLRG1	-0.793
MS4A8B	4.10333333333333
FRAG1	1.0055
KIAA1546	0.445
E2F4	-1.1608
CLEC4M	1.01333333333333
BTBD14A	-0.90175
KIAA0999	-0.4062
GYPA	-3.36916666666667
TAC1	0.4623
TRAIP	-0.982333333333333
KIAA0232	1.7722
ERCC8	-1.2515
GPX4	0.791125
KIAA0368	-0.768875
GPR157	-1.53866666666667
CTAGE4	1.038
C9orf30	-1.49866666666667
OR52A1	0.0595
HSP90B3P	-0.9265
ALG9	-1.245
BTBD10	0.57675
SDK2	-0.398
BAIAP3	0.32625
RABGGTB	-1.579625
ANKRD40	-1.065
KRT74	0.324
CALCOCO2	0.417785714285714
SNCA	-4.02625
TMSL8	-2.436875
C2orf53	0.18
ESRRB	-0.86675
ARHGAP26	-1.13775
TDRD9	-2.4125
HRAS	-0.199666666666667
KLRC4	-3.6135
JAGN1	-0.807
BSDC1	0.076
RNF43	-0.0903
NDUFAF1	0.707
PHF12	-0.0855
OR1L3	0.26325
FOLR2	1.35308333333333
LYZL6	-0.412666666666667
tcag7.1260	-2.34
WSB1	-1
PROS1	-0.8697
OSTN	0.8235
PSMB8	-0.80875
SOCS4	-0.319375
DDIT4L	2.5105
MAS1	0.0185
MGC34796	1.60525
CSHL1	-0.00733333333333332
TBCCD1	0.215166666666667
ZBTB7C	0.115
AP2S1	-0.1535
P15RS	0.3581
VAT1	-0.6493
SHANK3	1.33833333333333
TUFM	-0.571333333333333
THEG	-0.8445
KRT34	-1.34625
SGSM3	-0.85225
TOMM22	-0.98375
SOCS3	0.575166666666667
CPO	1.1725
POP4	0.2135
BHLHB3	0.833
MALL	1.1435
OR1B1	-0.4075
PARK2	1.47616666666667
GPR124	1.031875
LCE1E	0.178
RUVBL2	-0.196
CGRRF1	0.1948
ACPL2	0.44075
WNT10B	-3.013625
BAIAP2L2	-2.43975
ISCA1	0.225
C1orf125	-0.097
RPAP1	-0.6185
RAI16	0.6245
RPL27	-0.600875
NLRP9	-0.1725
EPN1	0.161
LOC388610	-0.032875
SLC35A1	0.7494
GAL	-4.34275
SLC14A2	0.10325
RDH11	-0.605333333333333
FAM138F	-1.5505
AUH	-0.1605
FLJ40243	0.26825
C14orf129	-0.14
MBD2	0.234166666666667
ABHD14B	-0.0215
PIGT	0.986
ALS2CR4	0.098
ALAS1	-0.2526
FOXO1	1.021
CRLF3	-0.58875
C20orf107	-0.2895
FARS2	0.395
CCDC28A	1.07925
NPHP3	-0.624
OR13F1	-0.1345
TSEN54	-0.443
DEFB106B	0.187222222222222
OR8B4	1.069
STH	1.7925
ZC3H14	-0.4965
CBX2	-0.171
TMEM49	-1.662
C6orf21	0.995
FLJ20920	0.859125
CRTAP	-0.311928571428571
DDX50	-0.15675
STYXL1	-0.992
BLVRB	-0.123
LOC147650	0.0801666666666667
MMP24	0.18825
GRID1	2.617
BANF1	-0.0721666666666667
CTAGEP	0.757
HMBS	-2.798
SLC25A24	-0.770333333333333
C14orf50	3.03325
MRO	-0.599666666666667
SLC25A15	-1.02775
FAM84B	0.8189
TDP1	-0.6715
C16orf78	-0.182833333333333
C11orf57	0.367375
RFK	-1.12025
ZFYVE9	0.303125
STCH	-1.1424
WIBG	1.06775
LOC283871	-0.953833333333333
GBA2	-1.2863
NDUFB3	0.44025
HSD17B13	-0.192
GRIN3A	0.406
FMNL1	-0.918666666666667
SEPT7	0.0188
GNLY	2.209
GRAMD1C	0.1145
ZNF165	-0.4985
USP38	0.61425
FAM83A	-3.58366666666667
C14orf24	0.90825
ARMCX3	1.477375
ARHGDIB	0.243333333333333
AK1	-0.32575
KIAA1045	-0.451
DNAJB13	-0.3945
NEU2	0.58
HIST1H4B	-0.8485
FAM20B	-1.0523
HES2	-0.8745
FAM73B	-0.9595
LOC388381	0.86275
INTS7	-0.306272727272727
AMPH	0.927
ZNF775	-0.123875
UCKL1	-1.5755
C10orf97	-0.4365
C1orf161	0.22875
ALDH1L1	-2.34875
FLJ39378	0.331125
SLC23A1	0.059
RBM4B	-0.06025
THAP4	0.197
OGFRL1	0.9215
KIAA0831	0.639625
PPP1R15A	-0.590166666666667
C1orf96	1.02057142857143
C12orf11	-2.4505
BMF	1.1285
MAN1A1	-0.848
KIAA1600	1.27366666666667
NLGN4X	1.55225
ALOX12	-2.03833333333333
RB1CC1	0.6073
NEIL2	0.8206
EIF4E	-1.10331818181818
ABHD5	0.11125
EXOC4	-0.0731666666666667
CIP29	-0.270666666666667
BATF2	-0.038
SLC29A4	-0.853
HTR4	0.50775
EMB	1.05025
TRAF6	0.71675
LMNB1	-0.689
FAM19A5	0.456625
SHE	2.3345
PIK3C2B	0.858
C15orf15	-0.7406
USP15	-0.0666000000000001
TCEAL2	1.21825
C5orf39	-1.0215
PTGER2	-1.67675
SLC31A1	-1.5289375
IFT172	0.00950000000000001
ADAM29	0.32025
GFOD1	-0.2355
ST7L	-0.119666666666667
C15orf26	-2.27875
PKN3	-1.79125
CNTD1	2.2665
COMMD1	0.77575
NTRK2	2.07433333333333
FOXN3	0.36425
MFGE8	-0.7266
PFKFB2	1.34583333333333
TAS2R4	-0.59325
ENTHD1	0.207
PRMT5	-1.8555
MGC16384	-1.27325
LOC442229	-1.33775
TSKU	-0.705875
KRTCAP3	2.823
PDLIM1	0.9211
KCNS2	0.4775
RNF126	-0.477833333333333
CEP63	1.221375
CLIC4	0.231875
hCG_1990170	-0.81575
ACR	1.6901
KLK7	0.39025
ALOX5AP	1.666
RIPK3	4.2575
TAS2R9	-0.0505
C19orf18	1.676
BIRC6	0.0372142857142857
ZNF16	0.594
RFT1	-0.45775
SLC8A2	-0.65125
TACC1	0.247
ITGAD	1.34175
SAMHD1	0.519
SH3PXD2B	1.5365
EPC2	1.454
C20orf85	3.5515
ATP13A2	0.0325
KRT4	0.142875
CAPNS1	0.13425
MDM2	0.7015
PCDH20	1.00775
KCNK9	0.7705
OR2C1	-0.2055
KLHDC3	-0.653666666666667
IPPK	-0.835
EFHD2	-0.219625
GALR3	1.57925
NBEA	2.85233333333333
ABCA6	2.9625
CLDN3	2.17983333333333
AKT2	-0.298857142857143
EGFR	-2.2896
RBM16	1.175125
ZDHHC3	0.2389
SLC25A4	-0.621666666666667
CYB5B	-1.44216666666667
CPXM1	0.57
NDRG1	-1.72207692307692
FLJ43826	0.45925
OR5L2	-0.0468
FARP2	-0.3167
MRPL46	-0.821833333333334
LDHAL6B	0.114666666666667
MAPKAPK3	-0.264833333333333
NCAM2	-1.5725
PRKD2	-0.216
ZFP36L1	1.2776
CYSLTR1	1.723
OR4C3	0.033
HIST1H2AJ	2.286
CCNB2	-2.46833333333333
ZNF10	-0.298375
TMEM175	0.848
FAM134A	0.510166666666667
TIGD4	-0.0605
PCNP	-0.54225
MGC39715	0.623
LQK1	-0.04725
CREB1	0.6998
TMPRSS3	0.44775
C4orf32	1.031
LAT	-2.1985
KCNA3	0.6655
SKIV2L2	-0.9925
ROPN1B	-1.56475
tcag7.23	-0.8515
CDT1	-2.721125
ZHX2	1.019375
CD28	-4.0585
ZNF624	2.21775
SEPT2	0.415583333333333
SOHLH2	-0.576125
MCOLN3	-1.563125
UNQ1945	-0.0015
MASP2	-1.383
ZNRF3	1.3282
GPATCH3	-1.315
AGL	0.949125
QRICH2	-0.184
PSD4	0.572166666666667
CCNB1IP1	-2.04425
ENPP7	-0.13125
OBFC1	-0.44525
KCNG3	-2.205
C14orf79	0.641583333333333
ENPEP	2.417
SCT	2.489
SKI	1.00675
SEC61G	-0.03425
CAPN11	0.3185
ATXN7L3	-0.30325
DBNDD1	0.294666666666667
FAIM	0.6585
ANKRD36	-0.5325
GABRP	0.968833333333333
TACSTD2	1.1925
EIF3J	-0.34925
PPP2R2A	-0.90375
TEKT4	-0.567
PVALB	-1.0285
F10	-2.7315
FAM134C	0.5353
COMP	4.36625
EFCBP1	-2.79586666666667
SCLT1	1.244
TAL1	-0.9923
ACSL1	-0.155
ABCC5	0.61175
ABL1	0.00833333333333335
RBBP7	1.55491666666667
PTPRG	-0.024
NCOR1	0.0859
SPINK4	0.567166666666667
TXNRD1	-2.3953
TNRC15	1.64925
C9orf138	1.358125
UBE2H	1.65116666666667
BRDT	2.56333333333333
C8orf31	-0.24825
CCNE2	-1.65790909090909
SLC6A8	-1.56175
CALCR	-4.239
PPP1CB	0.38825
ABHD8	0.749
ARF5	0.6142
SLC24A4	0.016
CCT3	0.45825
ZNF121	0.304125
SLC3A2	-1.6269
OR13A1	0.569
SLC5A10	0.3725
RAD50	0.0325
IER5	0.901
MTHFD1L	-2.37
MBTPS2	-0.3755
MVK	-0.636
NCL	-0.0498
PSMD10	-0.881
MOBP	0.560571428571429
FLJ32894	0.218
HRH1	0.677
C5orf30	0.84975
NUDT16L1	0.6827
RASGRP3	4.03866666666667
PRKRIP1	-0.2445
CCDC75	2.0165
LOC253970	0.35275
KIAA1239	0.52575
MED21	-0.279
SYT11	0.19475
NTSR2	-1.1455
EGFL11	0.497
CXorf59	1.379
OR2A25	0.13825
SPTBN2	-1.02975
LRMP	-1.612
RNF111	-0.096
PTH	0.9285
LOC619208	0.996833333333333
KIAA0895	0.27175
RANBP5	-1.616875
P2RY10	-0.281333333333333
NME5	5.01383333333333
DDX21	-0.97075
LRSAM1	-0.707
HDAC11	1.11333333333333
VMO1	1.25625
NOLA2	0.141166666666667
ADAR	0.467916666666667
MTO1	-0.9095
SF4	-0.353833333333333
P2RX1	-0.1965
HBM	0.496
EN2	1.847
C14orf172	0.04225
TM9SF2	-1.1608
INHBE	-1.57633333333333
TCTE3	0.137666666666667
TOX2	-3.396
CTAGE3	1.658375
HBB	3.6368
MED15	-1.68933333333333
CASR	-0.428
C6orf66	-0.903333333333333
MTPN	0.862875
UNC50	-0.9265
C21orf33	0.034375
IRF2	0.425
PGR	3.25716666666667
GPR84	1.5945
CROCCL1	-3.771
SRPX	-1.64475
BRE	-0.119666666666667
FGF10	1.056
SDC3	-1.36883333333333
ZRSR1	-0.0278333333333333
DKFZP434P211	-0.634875
SOX6	1.0795
RPUSD2	0.19925
C14orf173	-0.02825
MAPK11	0.109666666666667
TBC1D22A	-0.1925
FAM123A	-0.4005
COL4A6	0.229833333333333
TOMM70A	-0.79925
NAB1	0.178625
MGC16385	0.306
TSPAN18	0.8835
MED31	0.41625
PLG	-0.6875
CAPSL	5.2245
ZNF532	1.6953
ASB14	0.360666666666667
CA8	1.4295
NUDT16P	2.7135
SLFN11	-1.0525
LRRIQ2	0.981875
NOL7	0.221
BRMS1L	-1.017
JARID1A	0.893
PANK2	-0.38075
ICAM3	-0.83625
MDS1	-0.60275
TAF8	-0.66975
RNF139	1.6275
ZNF594	0.192
ADAM8	-0.55725
SFTPC	-0.548875
MAN2B2	1.322125
RGS12	0.666625
EIF1AY	-4.21918181818182
LRRIQ1	0.291166666666667
GPR150	1.7925
CCDC21	-2.89733333333333
PRRG3	0.392
SAA4	-2.62675
RAPGEF5	2.532375
ZCCHC2	0.46175
MGC39372	0.413
PPP4R2	0.201
CDCA2	-1.79916666666667
OR4D5	-0.362333333333333
PTGFRN	0.9646
SIGLEC5	-0.315
C19orf61	-0.504666666666667
NMUR2	0.231
KIAA1586	-0.579666666666667
DAGLA	-0.142166666666667
CHCHD6	-0.2295
GPR32	-0.1325
NEUROD6	0.3055
SLC2A4RG	0.5456875
CA5B	-0.13725
FBXL3	0.53275
MPHOSPH9	-1.41
HMG2L1	1.203
HCN4	0.987833333333333
CEACAM19	0.50725
SH2D4B	0.7005
HFE2	-1.148
TGM4	0.7635
LYPD2	0.43175
TBC1D15	-0.447
MRPS21	0.336
NONO	-1.1766
CLEC5A	1.0455
ITCH	-0.0815
MGAT3	-0.6895
MBP	-1.616625
RPP25	-1.097
SOSTDC1	-2.418
HRC	-1.463
TRIM48	0.2395
TMEM133	0.442
ECEL1P2	-0.7945
HOXC11	0.749
DOK5	-0.196
HELZ	0.2265
LOC348180	-0.136
MGC33894	-0.03675
ADRB3	0.4705
DMD	-0.273818181818182
PTRH2	-0.376
MPEG1	2.60216666666667
NDUFA12	0.389166666666667
KRTAP2-4	0.0653333333333333
STAMBPL1	-2.162
ADCY2	-0.532833333333333
UNQ6125	0.0145
KLHL20	0.689166666666667
SRM	-1.7495
OTC	-0.22975
TMIE	1.22533333333333
SNX8	0.21075
LIPK	0.5765
CHURC1	1.64158333333333
KLC2	0.213
HDAC1	-1.12016666666667
FAM128A	0.752833333333333
FNDC3B	-0.6173
MTCP1	-1.22816666666667
WFDC10B	0.411111111111111
PCDHGB3	0.236
ATRNL1	-0.940555555555556
CAV2	-0.75475
MED26	0.105166666666667
DUS1L	0.16075
CHRM3	-1.48825
NEK9	-0.585
WARS2	0.01525
TBX22	2.029
TOMM40	-0.495
RP6-213H19.1	-0.283833333333333
TUBGCP5	-0.1785
IGSF6	5.3545
TPPP	-0.252333333333333
UNQ6190	0.1565
GSTM5	0.099125
BTD	0.346833333333333
PDCD1LG2	-0.323666666666667
SNRPB2	0.0933333333333333
ERICH1	0.29775
APOA4	-1.5185
HOXA11	-2.60575
NARG1	-0.86175
MKX	3.424
RAB28	-1.0575
PKP3	0.8585
SH3GL2	-2.399
CTSO	2.592
RPN2	0.609125
IL28RA	-0.1455
SFMBT1	0.71075
WDR57	-2.203125
FER1L3	1.25408333333333
HSF5	0.36625
TTC9B	0.45925
C4BPA	-3.97783333333333
ALB	-4.93457142857143
SORBS3	0.650625
UPF2	-1.068
JPH1	2.394
AGBL2	0.5955
DOPEY1	2.1485
TERF1	0.70925
KIF22	-0.498166666666667
NINJ1	1.20025
SEC61A2	-1.18541666666667
HIST1H1D	0.486333333333333
SFXN4	-1.206375
UCP3	-0.1376
ZNF703	1.70683333333333
MYL6B	-0.4755
TREM1	-0.1015
OR52E6	0.545
CKMT2	1.56475
HLA-C	1.361125
SLC13A3	-0.489333333333333
TIMP4	-1.837
SLIT2	2.9245
RSF1	1.41527777777778
LONRF1	-0.455571428571429
MON1A	-0.574666666666667
CACNG6	-1.71616666666667
DPPA4	-5.29566666666667
ZSWIM3	0.624
ZNF804A	0.431166666666667
CCIN	1.41925
SLC25A31	0.926
KCNMB4	-0.0545
RABL5	0.514875
GALNS	-0.4573
STX6	1.38625
HIST1H1C	-0.227333333333333
CIDEB	0.649875
CASP4	-1.01516666666667
PDK3	0.5312
KCNJ11	1.3215
TPR	0.6675
ZSCAN20	-1.123
MTX2	0.2445
HIST1H2BH	0.697
LOC283767	1.08175
LYRM7	-1.31966666666667
BRD3	0.535833333333333
HIST1H2BO	-0.8085
MAGEB10	0.79
SLC45A1	0.7365
SERPINA3	1.8385
KIAA0143	1.394
KCNJ16	0.187333333333333
KRT79	-0.15325
FABP2	-0.833
NUT	0.603333333333333
ZNF57	-0.4495
FBXL4	-0.249125
CLEC9A	-0.2
UGT8	-1.611
BMP2K	-0.20925
MAPK4	-3.99125
SLC25A23	0.00950000000000001
HINT1	-0.7935
KRTAP13-1	-0.108
SFXN5	-0.5413
CHCHD2	0.3935
FAM3D	1.168
NDP	-2.121625
RHOBTB1	0.555166666666667
SLC4A4	-1.675
RPL38	-0.2455
HTF9C	-1.45616666666667
AP2A2	0.201625
ZBTB46	-1.1385
MAP7D1	-0.5265
AOX1	-0.312166666666667
CYR61	0.835083333333333
DTNA	-0.546285714285714
JRKL	-0.077
TMOD3	0.784
EEA1	0.4327
ADCK5	-0.1995
IL1R1	2.63533333333333
KLK3	0.531307692307692
HRSP12	0.45725
KTN1	1.13625
LOH11CR2A	1.2153
RELL2	-1.04325
MAB21L1	0.77225
C20orf59	-1.54966666666667
PHKB	-0.23175
ADAM2	-2.301
TBC1D8B	1.904
FAM13A1	-0.65625
LAPTM4B	-2.04408333333333
LCN8	-0.753
TMEM147	0.3475
SYT4	0.1905
XPO7	-0.301
C9orf62	1.78275
GPR75	-0.546
TRIM5	-0.0385
APOC1	-0.632833333333333
RNASE4	1.12116666666667
PARD6B	-0.195125
ARID1A	0.17875
TPD52L3	0.9156
RRAGB	1.678
RCN2	-0.376166666666667
HIST2H2BE	0.0305625
STARD7	-0.1925
SHMT2	-1.6985
KIAA1751	-0.624
MLYCD	0.43975
LOC162632	-0.369
UQCRH	-2.1285
RP11-217H1.1	0.58375
SDHA	-1.89716666666667
NCLN	-0.4527
ZNF17	0.856
RCBTB2	-1.81575
VEGFB	-1.2807
RP4-747L4.3	0.22325
COLQ	0.9663
MPN2	-1.28833333333333
DRG2	-0.02025
KLRB1	5.059
ALPK2	-0.756
DNASE2B	1.7905
FLJ23834	-0.705
AXUD1	0.833166666666667
SAFB	0.1842
NSUN4	-0.725
RFX2	-0.4365
MAPK8IP1	-0.476833333333333
FANCD2	-0.521857142857143
ANKZF1	-2.5195
C19orf50	-0.657375
DUSP8	1.319
SENP5	0.34325
NFKBIL2	-0.52775
LBR	-2.681
IGFL1	0.00949999999999999
LZTS2	0.43925
IL2RG	-1.30975
CCDC51	-0.1865
KLF3	0.46025
ANKRD37	-1.2145
KCTD14	-2.17716666666667
FZR1	1.08633333333333
SLC44A4	3.6572
ESPL1	-1.01775
GMPR2	-0.7577
TBC1D19	-0.0501666666666667
ERGIC1	0.935481481481481
ERBB4	4.3402
TSPAN32	-0.404166666666667
MAP4	0.13925
GPHN	-0.50225
SLC6A2	-0.427375
HIVEP1	0.769
DFFB	-0.9222
EIF4EBP2	0.432375
DMRT1	-1.10925
HSPB6	-0.25575
IER2	0.341333333333333
AIFM1	0.301
WWC2	-0.419583333333333
MRPL4	-0.61225
FLJ21062	1.68516666666667
EPB41L4A	1.45241666666667
SH2D6	0.36725
TAF4B	-1.698
GAL3ST3	-0.909
MALT1	-1.31633333333333
RTDR1	0.79325
ARVCF	-0.746625
MEX3B	-0.555166666666667
FBXO16	1.68875
KIF7	-0.92775
C1QC	3.7965
ZNF783	-1.29783333333333
ZNF85	0.92625
MMP13	5.0055
KIAA0329	1.084
RTP3	-0.27
ZBED3	0.378
CLGN	-1.187
SLC25A37	-1.5475
hCG_18290	-0.756
OR5AS1	0.1375
SMARCC2	1.06733333333333
FAM109A	-0.271333333333333
CCDC12	0.2065
USF2	0.4288
DEPDC7	-1.32975
C20orf24	-0.983833333333333
JMJD3	0.9025
DSP	-2.5345
SLIC1	0.083
FAM20A	0.776125
IRF2BP2	1.318375
ZNF230	-0.69
MSN	-0.676214285714286
SLC9A5	-2.1905
EPDR1	-0.198
MUSK	0.230333333333333
ZNF434	0.237
