Hybridization REF	TCGA-AO-A0JM-01A-21R-A056-07
HS2ST1	-0.119666666666667
CRELD2	1.1625
C8G	-1.437
CD82	1.17
LIM2	-1.881
UNQ6490	0.0495
MMP16	0.6315
DRD3	0.15525
C5orf26	-1.5645
C11orf73	-0.42625
PTP4A2	1.24225
OR4M2	0.92
HPCA	-0.941333333333333
SEC14L1	-0.896166666666667
CHFR	0.515875
EMILIN1	1.499625
NDUFS4	-0.13
COL18A1	1.015375
PDZD3	-0.0681
C9orf16	0.215333333333333
ERBB2IP	0.0638333333333333
EMX2	5.11575
FUS	-0.8575
TF	-4.66455555555556
CLCN4	-0.571666666666667
CXorf56	-0.472
C11orf72	0.4895
ELAC2	-0.2885
NPR1	-1.258
ASS1	-2.76983333333333
USP42	0.12775
POLR2J	-1.2625
SEC23IP	0.754333333333333
UQCRC1	-0.32925
LOC729603	-0.39
C1orf71	0.430625
POLG	-0.8935
ADAM23	-3.0515
TFR2	-1.81825
RICTOR	-1.0974
MGC39606	-0.55875
C19orf55	-0.2325
SNAPC1	-0.776166666666667
GNA11	0.339375
CCDC52	-0.226166666666667
FSIP1	5.538
UPF3A	-0.8765
IGSF11	-2.184
LAGE3	-1.037
CHST6	0.2045
UNC13B	0.2165
TTLL4	-0.9
ZNF687	0.095625
SDC2	0.5439
COX7A2	0.0495
LAMB4	0.238
FAM24A	0.7585
LRRTM3	-1.52633333333333
GPHB5	0.16475
OR4C13	-0.051
EIF3EIP	-0.0771428571428572
HABP4	0.119
TMEM125	3.6235
CNTN2	-0.063375
ASNSD1	-0.22725
FUT4	0.37675
ACF	-3.8085
LOC158381	0.5335
CDH8	-0.96175
AGPS	0.575166666666667
C4orf18	2.993875
PECI	0.496166666666667
UNG	-0.845
GSTP1	-2.168125
DCUN1D5	-0.667833333333333
DKFZP564J0863	0.54675
SLC9A3R1	2.907875
BCDO2	-0.885875
CHMP7	0.7125
REM2	0.7005
DNHD1	-0.0155714285714286
FKBP4	0.045
ZNF350	2.0335
MGC11102	0.662625
BST1	1.987
KISS1R	1.396
NCR2	-0.098
DEFB125	-1.698
UBE2W	1.46975
KRT15	-2.8935
C10orf99	0.4045
SCN11A	-0.153
GFI1	-2.81575
RDHE2	4.90733333333333
FHL1	0.176
OSGEP	0.4495
GATA1	-3.55516666666667
SMC6	0.24625
TTTY14	-1.625
LPIN3	-0.07825
RPL4	-0.2304
RBPMS	-0.6488
PRPF3	-0.5935
EMR1	-0.6085
SPATA19	-0.34925
XCR1	0.5945
IRX3	1.5468
RBM6	-1.6215
KLF4	0.3941
UNC5CL	-1.33575
SEBOX	0.1215
BTK	-0.58
KRCC1	0.25925
C6orf27	-0.046
SYTL5	-0.4925
PRND	2.08475
LOC653319	-1.212
PIGL	-2.30075
HUS1	-0.176166666666667
SFRS6	0.1375
C17orf77	2.2515
UIMC1	-0.428166666666667
FXYD2	-1.6986
LOC283152	0.9595
ZNF667	-0.918
ZCCHC12	-2.0845
TFEC	3.4421
ATP7B	2.16383333333333
POLD2	-0.692
RG9MTD1	0.75525
ACOT2	0.987
HIST1H4I	0.834375
PPARGC1A	-3.1992
ETFA	-0.4642
POLRMT	-0.4665
ZNF146	-0.257125
MIA2	-2.05
KLHL6	-1.17033333333333
HOXB5	-1.099
NENF	0.44
CUGBP1	0.77975
PRSS22	1.84066666666667
CASC4	1.6763
CUL4B	-0.6991
CENPJ	-1.498
PITX1	0.83
FLJ31033	1.24266666666667
CELSR3	-1.3745
ZNF568	0.40275
ITSN1	0.598833333333333
EHBP1L1	-0.659
C19orf2	-0.4255
DCTN1	-0.14075
LIN28B	-3.583
TNKS2	-0.0955
C1QBP	-0.813125
CADPS2	2.38825
SRMS	0.654
GJA9	0.1775
MGC24975	-1.56733333333333
TRIM45	-0.395
TSP50	-0.46725
TCP1	-1.256
TMED7	0.5153
CMA1	-0.662
CENPL	0.121
PTCRA	-0.21
FST	-3.224
VWCE	-4.1125
PAWR	2.2685
ABCC12	4.31483333333333
LDLR	-0.0737
ASTN2	0.4817
LOC441212	-1.338375
GPATCH8	-0.1035
TANC2	1.18166666666667
KIF4A	-0.0445
C18orf18	0.02525
PGM1	-1.24475
KIAA0258	1.0625
CPD	0.7025
SNCAIP	-1.5525
DCT	-4.33466666666667
HLA-DOA	2.47759090909091
OR11L1	0.838
UPK1B	-0.441
DNAJB4	-0.022375
UGT1A8	-0.61925
HIST1H4L	0.4145
PECR	-0.713166666666667
HSPA2	2.8145
WFIKKN1	-1.532
SERP1	-0.31475
SYDE2	1.50875
TACR2	0.896
NUP85	1.2385
CD177	0.0288333333333333
LGR5	-2.19633333333333
PIGG	-0.342
PTHR1	-1.8805
RAB5A	0.3393
FLJ13224	0.5565
USP9Y	-1.48516666666667
C7orf53	-1.4155
LRP1B	-1.233
XAF1	2.9287
ABCG8	0.429
ANKDD1A	-0.2985
DAND5	-2.975
SPAG6	0.34325
LINCR	0.9165
ZDHHC22	-1.42275
CCDC60	0.384
THOC7	-1.80966666666667
TCTA	1.0777
OR8K3	0.18875
NY-REN-7	0.1205
B2M	1.63583333333333
C6orf141	-3.141625
LPPR4	2.6615
SQLE	0.665
SEPHS1	-0.187
BTBD14B	0.513
PLRG1	-0.5475
SPG7	-0.4365
ZNF614	0.575833333333333
PARD6G	1.52783333333333
INPP5B	-0.2288
GRPEL2	0.695125
PPID	-0.5663
TRIM56	-0.5765
UBE2J1	-0.09025
IL20RA	0.6905
LOC387856	0.466
C1orf107	0.225833333333333
UTS2R	1.17375
C19orf22	-0.46
SAFB2	0.264875
KIAA0652	-0.0255
KLRG1	-1.309
MS4A8B	1.20666666666667
FRAG1	0.05875
KIAA1546	0.3565
E2F4	-1.0187
CLEC4M	0.560833333333333
BTBD14A	0.73925
KIAA0999	0.2403
GYPA	-4.6385
TAC1	0.0227
TRAIP	-1.28683333333333
KIAA0232	0.7342
ERCC8	-1.31575
GPX4	-0.102125
KIAA0368	-0.728875
GPR157	-1.15433333333333
CTAGE4	0.4865
C9orf30	-0.759666666666667
OR52A1	0.31
HSP90B3P	0.079
ALG9	-0.2516
BTBD10	0.55625
SDK2	-0.443
BAIAP3	-0.03275
RABGGTB	-1.26575
ANKRD40	2.38066666666667
KRT74	0.4445
CALCOCO2	-0.530928571428571
SNCA	-4.02975
TMSL8	-4.18975
C2orf53	-0.274
ESRRB	-0.2315
ARHGAP26	-0.642875
TDRD9	-2.42725
HRAS	0.9135
KLRC4	-2.7675
JAGN1	0.473166666666667
BSDC1	0.3955
RNF43	0.7898
NDUFAF1	0.95075
PHF12	0.46175
OR1L3	0.12625
FOLR2	1.17091666666667
LYZL6	0.258
tcag7.1260	-1.527
WSB1	-2.62083333333333
PROS1	-1.0004
OSTN	0.6845
PSMB8	1.3925
SOCS4	-0.723
DDIT4L	3.4095
MAS1	0.4115
MGC34796	0.67325
CSHL1	0.417833333333333
TBCCD1	0.9185
ZBTB7C	0.594
AP2S1	0.111375
P15RS	0.191
VAT1	-0.6061
SHANK3	1.075
TUFM	-0.206666666666667
THEG	-0.5805
KRT34	-1.58875
SGSM3	0.844
TOMM22	-0.768875
SOCS3	0.903
CPO	0.05
POP4	0.04575
BHLHB3	2.40725
MALL	0.96125
OR1B1	0.2615
PARK2	-0.08
GPR124	1.031125
LCE1E	0.359
RUVBL2	-0.3545
CGRRF1	0.6914
ACPL2	0.33075
WNT10B	-1.738625
BAIAP2L2	-2.379875
ISCA1	-0.1215
C1orf125	0.1055
RPAP1	-0.44675
RAI16	-0.480166666666667
RPL27	-0.932625
NLRP9	-0.1725
EPN1	0.303
LOC388610	-2.88925
SLC35A1	1.0074
GAL	-4.66075
SLC14A2	0.49
RDH11	0.0963333333333333
FAM138F	-0.52
AUH	-1.2995
FLJ40243	0.486
C14orf129	0.977833333333333
MBD2	-0.667833333333333
ABHD14B	-0.479375
PIGT	1.124
ALS2CR4	-0.4735
ALAS1	-0.5578
FOXO1	1.62983333333333
CRLF3	-1.388
C20orf107	0.0745
FARS2	1.1505
CCDC28A	-0.86725
NPHP3	-1.29625
OR13F1	0.4375
TSEN54	1.32975
DEFB106B	0.218375
OR8B4	1.37
STH	-1.99275
ZC3H14	0.045375
CBX2	-0.254
TMEM49	0.4395
C6orf21	0.829
FLJ20920	2.38775
CRTAP	-0.0842142857142857
DDX50	-0.6855
STYXL1	0.0665
BLVRB	-0.136666666666667
LOC147650	-0.729833333333333
MMP24	0.06575
GRID1	1.69433333333333
BANF1	0.228166666666667
CTAGEP	0.605
HMBS	-1.604
SLC25A24	-0.0965
C14orf50	2.43525
MRO	1.79083333333333
SLC25A15	-0.588
FAM84B	1.2225
TDP1	0.306
C16orf78	0.343
C11orf57	0.55675
RFK	-0.359875
ZFYVE9	0.781
STCH	0.354
WIBG	0.282
LOC283871	0.044
GBA2	-1.1461
NDUFB3	-0.40725
HSD17B13	-0.72325
GRIN3A	0.9096
FMNL1	-0.7365
SEPT7	-0.186
GNLY	3.342
GRAMD1C	0.489666666666667
ZNF165	0.31125
USP38	1.9265
FAM83A	-3.48633333333333
C14orf24	1.03725
ARMCX3	0.33325
ARHGDIB	0.116333333333333
AK1	0.8445
KIAA1045	0.14125
DNAJB13	-0.3305
NEU2	0.1605
HIST1H4B	0.377166666666667
FAM20B	0.2897
HES2	0.773
FAM73B	-0.6824
LOC388381	-0.08825
INTS7	0.194272727272727
AMPH	2.90625
ZNF775	0.356375
UCKL1	-0.239666666666667
C10orf97	0.25725
C1orf161	0.18625
ALDH1L1	-1.4935
FLJ39378	-0.0855
SLC23A1	-2.6245
RBM4B	0.09575
THAP4	0.429
OGFRL1	0.742
KIAA0831	0.002
PPP1R15A	0.306666666666667
C1orf96	0.387285714285714
C12orf11	-2.71675
BMF	0.316375
MAN1A1	0.111625
KIAA1600	0.461333333333333
NLGN4X	-1.86925
ALOX12	-1.24866666666667
RB1CC1	-0.312444444444444
NEIL2	-0.1775
EIF4E	-0.168863636363636
ABHD5	-0.30125
EXOC4	-0.527333333333333
CIP29	-0.428666666666667
BATF2	1.84325
SLC29A4	-0.1625
HTR4	-0.14525
EMB	-2.229
TRAF6	0.499
LMNB1	0.047
FAM19A5	-1.13025
SHE	1.5715
PIK3C2B	0.224
C15orf15	0.2915
USP15	-0.4393
TCEAL2	-0.472
C5orf39	0.152833333333333
PTGER2	-0.6245
SLC31A1	0.049875
IFT172	-0.59125
ADAM29	0.76875
GFOD1	0.52825
ST7L	0.77
C15orf26	-3.55
PKN3	-0.48375
CNTD1	3.374
COMMD1	0.159875
NTRK2	2.08158333333333
FOXN3	0.313875
MFGE8	1.0903
PFKFB2	0.9975
TAS2R4	-0.6455
ENTHD1	1.62083333333333
PRMT5	-0.7325
MGC16384	-1.600875
LOC442229	0.56075
TSKU	0.634875
KRTCAP3	2.5315
PDLIM1	0.3304
KCNS2	-0.8455
RNF126	-0.97
CEP63	-0.389875
CLIC4	-0.26825
hCG_1990170	-0.85375
ACR	1.2119
KLK7	0.54725
ALOX5AP	2.546625
RIPK3	4.05025
TAS2R9	0.666
C19orf18	2.8555
BIRC6	-0.348214285714286
ZNF16	1.5985
RFT1	-0.541
SLC8A2	-0.94625
TACC1	0.941625
ITGAD	0.074
SAMHD1	1.58175
SH3PXD2B	1.3414
EPC2	0.096
C20orf85	0.56325
ATP13A2	1.10383333333333
KRT4	0.707
CAPNS1	0.14725
MDM2	-0.0113333333333334
PCDH20	1.73
KCNK9	0.1215
OR2C1	-0.2655
KLHDC3	-0.6175
IPPK	0.1125
EFHD2	-0.458
GALR3	1.21675
NBEA	-0.9125
ABCA6	2.6578
CLDN3	1.79333333333333
AKT2	-1.00564285714286
EGFR	-2.4919
RBM16	0.44525
ZDHHC3	0.3741
SLC25A4	0.6175
CYB5B	-1.4265
CPXM1	0.595
NDRG1	-2.143
FLJ43826	1.88875
OR5L2	0.4014
FARP2	0.3741
MRPL46	-0.186416666666667
LDHAL6B	0.185333333333333
MAPKAPK3	-0.6375
NCAM2	-1.3435
PRKD2	0.0733333333333333
ZFP36L1	1.3836
CYSLTR1	-0.6545
OR4C3	0.2535
HIST1H2AJ	3.3775
CCNB2	-1.13477777777778
ZNF10	-0.185375
TMEM175	0.654
FAM134A	0.837833333333333
TIGD4	1.0435
PCNP	-0.7255
MGC39715	-0.0845
LQK1	-2.147
CREB1	0.6251
TMPRSS3	2.13375
C4orf32	2.586375
LAT	-1.79666666666667
KCNA3	0.972
SKIV2L2	-0.41525
ROPN1B	-5.201
tcag7.23	-1.167
CDT1	-1.674375
ZHX2	1.047375
CD28	-3.493
ZNF624	0.5185
SEPT2	0.661833333333333
SOHLH2	-2.26028571428571
MCOLN3	-0.913
UNQ1945	0.573
MASP2	-0.952
ZNRF3	-0.5487
GPATCH3	-0.43575
AGL	3.496875
QRICH2	0.3455
PSD4	0.559666666666667
CCNB1IP1	-1.40725
ENPP7	-0.1035
OBFC1	0.2715
KCNG3	-2.8945
C14orf79	0.76775
ENPEP	1.29166666666667
SCT	1.753
SKI	1.23375
SEC61G	-0.93225
CAPN11	-0.66425
ATXN7L3	-0.2275
DBNDD1	-0.199
FAIM	-0.18525
ANKRD36	-0.9875
GABRP	-1.5712
TACSTD2	2.133
EIF3J	-0.5675
PPP2R2A	-0.804
TEKT4	-1.07683333333333
PVALB	-4.10066666666667
F10	-3.2765
FAM134C	0.63
COMP	4.5005
EFCBP1	-3.69073333333333
SCLT1	1.041125
TAL1	-1.2152
ACSL1	1.626
ABCC5	2.51858333333333
ABL1	0.0555555555555555
RBBP7	0.525833333333333
PTPRG	0.71775
NCOR1	-0.8506
SPINK4	1.7775
TXNRD1	-0.9625
TNRC15	1.22575
C9orf138	1.302375
UBE2H	0.3995
BRDT	-0.726333333333333
C8orf31	0.05225
CCNE2	-0.210545454545455
SLC6A8	-2.322625
CALCR	-4.2495
PPP1CB	-0.577
ABHD8	-0.747
ARF5	-0.0103
SLC24A4	0.83375
CCT3	0.25725
ZNF121	0.368625
SLC3A2	-0.8864
OR13A1	0.3965
SLC5A10	-0.18175
RAD50	-0.073
IER5	0.10475
MTHFD1L	-2.40125
MBTPS2	1.67
MVK	-0.3345
NCL	-0.1371
PSMD10	-1.135
MOBP	0.4535
FLJ32894	0.6325
HRH1	-0.0175
C5orf30	0.35725
NUDT16L1	0.5722
RASGRP3	3.80233333333333
PRKRIP1	-0.6401
CCDC75	0.53975
LOC253970	0.36775
KIAA1239	-0.827
MED21	-0.34825
SYT11	0.755
NTSR2	-0.062
EGFL11	0.17
CXorf59	-0.642
OR2A25	0.387333333333333
SPTBN2	0.963
LRMP	-1.6595
RNF111	0.06925
PTH	-0.734
LOC619208	0.230166666666667
KIAA0895	1.194
RANBP5	-1.66525
P2RY10	0.662333333333333
NME5	-0.29
DDX21	-1.05825
LRSAM1	0.379
HDAC11	1.2195
VMO1	1.62725
NOLA2	-0.5025
ADAR	1.56391666666667
MTO1	-0.933833333333333
SF4	0.299666666666667
P2RX1	-0.186833333333333
HBM	0.47825
EN2	1.613
C14orf172	0.4655
TM9SF2	0.6167
INHBE	-2.39833333333333
TCTE3	-0.409666666666667
TOX2	-3.41875
CTAGE3	1.033875
HBB	4.3349
MED15	-0.195666666666667
CASR	0.438
C6orf66	-1.2465
MTPN	0.13825
UNC50	-0.53125
C21orf33	0.030875
IRF2	0.4465
PGR	-0.484666666666667
GPR84	2.83525
CROCCL1	-2.84575
SRPX	-0.48325
BRE	-0.349
FGF10	1.17825
SDC3	-0.396
ZRSR1	0.991333333333333
DKFZP434P211	-0.8165
SOX6	-0.3005
RPUSD2	0.06125
C14orf173	0.200166666666667
MAPK11	0.128166666666667
TBC1D22A	0.646
FAM123A	-1.341
COL4A6	-2.04816666666667
TOMM70A	0.36325
NAB1	-0.7245
MGC16385	0.54575
TSPAN18	0.994
MED31	-0.68125
PLG	-1.64225
CAPSL	1.8165
ZNF532	0.8074
ASB14	0.242
CA8	0.1455
NUDT16P	-1.1995
SLFN11	-1.0105
LRRIQ2	1.40025
NOL7	-0.190333333333333
BRMS1L	-0.236875
JARID1A	0.180833333333333
PANK2	0.18975
ICAM3	-0.38175
MDS1	-0.8065
TAF8	-0.5625
RNF139	1.50525
ZNF594	0.231666666666667
ADAM8	2.070375
SFTPC	-0.06025
MAN2B2	0.8815
RGS12	0.607625
EIF1AY	-4.38427272727273
LRRIQ1	-2.03333333333333
GPR150	1.42225
CCDC21	-1.34233333333333
PRRG3	0.61
SAA4	-4.4345
RAPGEF5	1.349125
ZCCHC2	0.65475
MGC39372	-0.0205
PPP4R2	0.435166666666667
CDCA2	-0.989333333333333
OR4D5	0.179166666666667
PTGFRN	1.3966
SIGLEC5	-0.1055
C19orf61	-1.14333333333333
NMUR2	0.561
KIAA1586	-1.47533333333333
DAGLA	-1.07316666666667
CHCHD6	-0.95925
GPR32	1.203
NEUROD6	0.4445
SLC2A4RG	0.4331875
CA5B	0.68275
FBXL3	0.6825
MPHOSPH9	-1.18575
HMG2L1	0.4265
HCN4	0.870333333333333
CEACAM19	0.28125
SH2D4B	-0.249833333333333
HFE2	1.7025
TGM4	1.17333333333333
LYPD2	-0.045
TBC1D15	0.3155
MRPS21	0.0426
NONO	-0.4132
CLEC5A	1.604625
ITCH	0.214
MGAT3	-2.1035
MBP	-0.857125
RPP25	-1.52825
SOSTDC1	-4.2585
HRC	-0.5975
TRIM48	-0.4105
TMEM133	0.097
ECEL1P2	-1.75975
HOXC11	2.2285
DOK5	-0.15575
HELZ	1.01383333333333
LOC348180	-0.40225
MGC33894	0.3435
ADRB3	0.3845
DMD	-0.00458333333333331
PTRH2	1.2205
MPEG1	3.09716666666667
NDUFA12	-0.0211666666666667
KRTAP2-4	0.212166666666667
STAMBPL1	-1.3545
ADCY2	-0.0652000000000001
UNQ6125	-0.3505
KLHL20	0.909833333333333
SRM	-1.49525
OTC	-0.45725
TMIE	-0.532
SNX8	0.42775
LIPK	-0.3075
CHURC1	1.24366666666667
KLC2	0.514666666666667
HDAC1	-0.667666666666667
FAM128A	0.365666666666667
FNDC3B	0.0113
MTCP1	-1.223
WFDC10B	-0.3981
PCDHGB3	0.28
ATRNL1	-1.8565
CAV2	-0.84175
MED26	-0.692333333333333
DUS1L	0.07475
CHRM3	-2.337125
NEK9	0.85725
WARS2	-0.33725
TBX22	-0.83
TOMM40	-1.14575
RP6-213H19.1	-2.85816666666667
TUBGCP5	0.42525
IGSF6	5.00675
TPPP	0.821
UNQ6190	-0.5185
GSTM5	2.491625
BTD	1.1635
PDCD1LG2	0.631
SNRPB2	-0.175333333333333
ERICH1	-0.923875
APOA4	-1.557
HOXA11	-0.741
NARG1	-0.3055
MKX	-0.87625
RAB28	-1.17585714285714
PKP3	0.724
SH3GL2	-1.75025
CTSO	3.68325
RPN2	1.1029375
IL28RA	-0.437
SFMBT1	0.47225
WDR57	-1.024125
FER1L3	0.71475
HSF5	-0.338166666666667
TTC9B	0.54275
C4BPA	-3.98916666666667
ALB	-4.65646153846154
SORBS3	-0.338
UPF2	-0.246
JPH1	0.5005
AGBL2	-1.5575
DOPEY1	1.3895
TERF1	-0.326583333333333
KIF22	-0.176
NINJ1	1.613
SEC61A2	0.883083333333333
HIST1H1D	1.414
SFXN4	-0.525125
UCP3	0.8065
ZNF703	0.888833333333333
MYL6B	-0.883
TREM1	2.85475
OR52E6	-0.0135
CKMT2	2.21025
HLA-C	2.574625
SLC13A3	0.175666666666667
TIMP4	-2.37325
SLIT2	2.34625
RSF1	-0.150277777777778
LONRF1	-1.73792857142857
MON1A	-0.208666666666667
CACNG6	1.13366666666667
DPPA4	-5.2685
ZSWIM3	0.34075
ZNF804A	-0.0113333333333333
CCIN	1.77725
SLC25A31	0.5235
KCNMB4	-0.66
RABL5	0.38975
GALNS	-0.0952
STX6	1.07875
HIST1H1C	0.0141666666666667
CIDEB	0.333125
CASP4	-0.618833333333333
PDK3	0.7455
KCNJ11	1.3665
TPR	-0.390375
ZSCAN20	-0.3
MTX2	-0.174
HIST1H2BH	0.72875
LOC283767	1.36725
LYRM7	-1.265
BRD3	1.3195
HIST1H2BO	0.3565
MAGEB10	0.8445
SLC45A1	0.24975
SERPINA3	-0.9293
KIAA0143	1.32925
KCNJ16	-0.0851666666666667
KRT79	0.72
FABP2	-1.39075
NUT	-0.3515
ZNF57	-0.5585
FBXL4	-0.204875
CLEC9A	0.7465
UGT8	-1.15316666666667
BMP2K	-0.04675
MAPK4	-4.2155
SLC25A23	-0.7363
HINT1	-0.0264
KRTAP13-1	-0.435
SFXN5	-0.5362
CHCHD2	0.03
FAM3D	-0.25
NDP	-3.751125
RHOBTB1	0.289833333333333
SLC4A4	-1.872125
RPL38	1.4455
HTF9C	-0.390666666666667
AP2A2	0.010625
ZBTB46	-0.4725
MAP7D1	0.784125
AOX1	-2.15533333333333
CYR61	2.08725
DTNA	1.02642857142857
JRKL	0.32275
TMOD3	0.4395
EEA1	0.6103
ADCK5	-0.40475
IL1R1	2.87266666666667
KLK3	0.569923076923077
HRSP12	-1.3395
KTN1	0.24
LOH11CR2A	1.007
RELL2	-2.1475
MAB21L1	0.312
C20orf59	-0.8295
PHKB	-0.18325
ADAM2	-2.49116666666667
TBC1D8B	1.52733333333333
FAM13A1	-1.7946875
LAPTM4B	-0.53425
LCN8	0.1325
TMEM147	0.1775
SYT4	-0.6795
XPO7	-1.0465
C9orf62	1.4735
GPR75	-0.464
TRIM5	1.09425
APOC1	0.497
RNASE4	-0.4645
PARD6B	-2.544375
ARID1A	0.1085
TPD52L3	0.2889
RRAGB	0.379166666666667
RCN2	-0.575166666666667
HIST2H2BE	0.8994375
STARD7	-0.659
SHMT2	-1.10375
KIAA1751	0.1276
MLYCD	0.240125
LOC162632	0.7696
UQCRH	-1.227
RP11-217H1.1	1.120375
SDHA	-0.803166666666667
NCLN	-0.1637
ZNF17	0.359666666666667
RCBTB2	-1.6915
VEGFB	0.089
RP4-747L4.3	-0.34975
COLQ	0.8011
MPN2	-1.1555
DRG2	-1.03425
KLRB1	5.46875
ALPK2	-1.6405
DNASE2B	4.51825
FLJ23834	-1.10633333333333
AXUD1	1.0195
SAFB	-0.2133
NSUN4	0.86575
RFX2	0.807
MAPK8IP1	-0.622833333333333
FANCD2	-0.773642857142857
ANKZF1	-1.7375
C19orf50	-0.1695
DUSP8	1.811
SENP5	1.160375
NFKBIL2	-0.36225
LBR	-1.27825
IGFL1	-1.7485
LZTS2	0.1475
IL2RG	-0.55775
CCDC51	-0.37925
KLF3	0.36575
ANKRD37	-0.8465
KCTD14	-2.35383333333333
FZR1	-0.0716666666666667
SLC44A4	4.1746
ESPL1	-0.485375
GMPR2	-0.3334
TBC1D19	-0.5225
ERGIC1	1.29703703703704
ERBB4	3.4302
TSPAN32	-0.321416666666667
MAP4	0.03225
GPHN	-0.6245
SLC6A2	-0.312
HIVEP1	0.9725
DFFB	-0.8543
EIF4EBP2	0.452375
DMRT1	-1.0575
HSPB6	-0.02775
IER2	0.393
AIFM1	-0.96475
WWC2	1.981
MRPL4	-0.97375
FLJ21062	-1.59916666666667
EPB41L4A	1.28583333333333
SH2D6	0.331
TAF4B	-1.51375
GAL3ST3	-0.623
MALT1	-0.6815
RTDR1	-0.513
ARVCF	0.764875
MEX3B	0.0745
FBXO16	0.608
KIF7	-0.676
C1QC	3.7535
ZNF783	-1.78483333333333
ZNF85	0.66925
MMP13	6.4765
KIAA0329	0.457125
RTP3	-0.3485
ZBED3	-0.252
CLGN	1.7545
SLC25A37	-2.35541666666667
hCG_18290	-0.50025
OR5AS1	0.4925
SMARCC2	0.344166666666667
FAM109A	0.619666666666667
CCDC12	-0.51825
USF2	0.00020000000000001
DEPDC7	-1.77725
C20orf24	-0.420833333333333
JMJD3	0.868
DSP	1.32442857142857
SLIC1	0.303875
FAM20A	0.250875
IRF2BP2	1.290125
ZNF230	-0.116
MSN	-0.347428571428571
SLC9A5	-1.343
EPDR1	-0.4285
MUSK	0.668
ZNF434	-0.726833333333333
SMARCD1	-0.406833333333333
ZFP106	-0.504
ZNF347	0.3147
GTF2E1	-0.419
RY1	-0.1065
