Hybridization REF	TCGA-BH-A0C0-01A-21R-A056-07
C20orf32	-0.959
CCDC95	-0.1395
HIGD1B	3.06975
USP6NL	-0.257375
ABCD4	-0.1665
DIMT1L	-1.37325
TEK	0.758375
SLC25A46	-2.1595
LARP7	-1.0924
CD160	1.25783333333333
MT1JP	-1.47733333333333
PHF20	0.097875
CPNE4	-2.386
GTPBP1	-0.2625
RAB33B	0.664833333333333
ALDOC	-1.251625
ZNF212	-0.459
NUDT1	-0.5535
RFPL2	-0.11425
ZNF83	-0.417833333333333
GDPD5	-0.24875
PDCD4	0.84045
CEP350	0.47325
OR10A2	0.2555
CST7	2.7455
CIAO1	-0.37275
SELL	2.759625
OR8J3	0.099
LTBP4	-0.439666666666667
SIRT6	0.4105
CCL19	4.67825
PPIL1	-0.8285
GBP7	1.69933333333333
STK17A	-0.555
ABR	0.2885
OR9G1	0.7535
FOXE1	-0.88175
CNGA3	0.822
GML	0.599
CD38	1.764
ZDHHC6	0.530166666666667
NEFH	-2.89625
CTDSP2	0.503
PGBD5	-1.31716666666667
CCNY	0.576
RMND5B	0.406
ZNF257	-1.22125
FLJ22167	-0.74975
EXOSC7	-0.916
ROR2	0.158875
MAOA	1.0395
TNNT3	0.0725
GYPC	-1.11675
C7orf33	2.5135
PLIN	2.62966666666667
LOC90826	-0.766
RNF4	-0.8072
F8A1	0.00816666666666667
PLEKHG4	-3.4895
GRB2	2.2474
HIST1H2AD	-0.2845
DUS3L	-0.184333333333333
EIF1	0.181666666666667
RP5-1077B9.4	-0.746
FPGT	0.538
GDF10	-1.005
COQ9	-0.8585
GCC2	-0.141857142857143
RARRES3	3.406625
PLXNA1	-0.7938
KIAA0100	0.7837
PMF1	-0.27025
FNDC1	4.9385
HS2ST1	-0.0786666666666666
CRELD2	0.514
C8G	-1.7305
CD82	1.69875
LIM2	-1.309
UNQ6490	0.421
MMP16	-0.62975
DRD3	0.22225
C5orf26	-2.17025
C11orf73	-0.30725
PTP4A2	0.36375
OR4M2	-0.3665
HPCA	-0.0543333333333333
SEC14L1	0.1085
CHFR	0.084625
EMILIN1	0.468375
NDUFS4	-1.1115
COL18A1	-0.747
PDZD3	-0.0988
C9orf16	0.742833333333333
ERBB2IP	-0.21
EMX2	2.15775
FUS	-0.97
TF	-0.8056
CLCN4	-0.651666666666667
CXorf56	0.38075
C11orf72	0.447
ELAC2	-0.633166666666667
NPR1	-1.38975
ASS1	-0.0686666666666667
USP42	0.274875
POLR2J	-0.4195
SEC23IP	1.0195
UQCRC1	-0.23725
LOC729603	-0.01975
C1orf71	-0.17
POLG	-1.072
ADAM23	-4.029
TFR2	-1.56625
RICTOR	-0.6308
MGC39606	-0.516
C19orf55	-0.215875
SNAPC1	-0.705833333333333
GNA11	1.5745
CCDC52	-0.737
FSIP1	2.346
UPF3A	-1.237375
IGSF11	-2.81
LAGE3	2.24
CHST6	-3.8735
UNC13B	-0.056625
TTLL4	-0.037375
ZNF687	-0.2705
SDC2	-2.199
COX7A2	0.232
LAMB4	-0.8115
FAM24A	-0.162
LRRTM3	-1.2055
GPHB5	0.05825
OR4C13	-0.328
EIF3EIP	-0.046
HABP4	-1.0635
TMEM125	2.89325
CNTN2	-0.151
ASNSD1	-0.1485
FUT4	0.72225
ACF	-3.85875
LOC158381	0.1525
CDH8	-1.2485
AGPS	-1.18466666666667
C4orf18	1.475875
PECI	0.13925
UNG	0.185125
GSTP1	0.9505
DCUN1D5	-0.331833333333333
DKFZP564J0863	-0.2665
SLC9A3R1	2.708375
BCDO2	-0.191
CHMP7	0.390375
REM2	1.4355
DNHD1	-0.51325
FKBP4	0.17875
ZNF350	-0.093
MGC11102	0.194125
BST1	1.53125
KISS1R	1.0255
NCR2	0.0685
DEFB125	-0.0205
UBE2W	2.371625
KRT15	-1.397
C10orf99	0.381
SCN11A	0.232
GFI1	-0.3595
RDHE2	0.713833333333333
FHL1	-1.89283333333333
OSGEP	-0.2525
GATA1	-3.68183333333333
SMC6	-0.41825
TTTY14	-1.2525
LPIN3	-0.362
RPL4	-0.5834
RBPMS	-0.1471
PRPF3	0.288
EMR1	-1.9805
SPATA19	0.498666666666667
XCR1	0.2255
IRX3	0.6348
RBM6	-0.7465
KLF4	-0.5876
UNC5CL	-0.82575
SEBOX	0.2465
BTK	1.056
KRCC1	0.60225
C6orf27	0.524
SYTL5	-0.8455
PRND	0.796
LOC653319	-1.3095
PIGL	-0.84275
HUS1	-0.5755
SFRS6	0.0230833333333333
C17orf77	0.776
UIMC1	-1.02166666666667
FXYD2	-1.7284
LOC283152	1.678
ZNF667	-1.70475
ZCCHC12	-1.6405
TFEC	5.5136
ATP7B	0.129833333333333
POLD2	-0.846
RG9MTD1	-0.2875
ACOT2	0.185833333333333
HIST1H4I	-0.5755
PPARGC1A	-3.1783
ETFA	-1.3236
POLRMT	0.4585
ZNF146	-0.218375
MIA2	-0.789
KLHL6	1.067
HOXB5	-1.85675
NENF	0.490166666666667
CUGBP1	-0.07425
PRSS22	1.07183333333333
CASC4	0.6179
CUL4B	0.1359
CENPJ	-1.2069
PITX1	2.52133333333333
FLJ31033	1.10733333333333
CELSR3	-0.975833333333333
ZNF568	-0.87275
ITSN1	-0.697916666666667
EHBP1L1	-0.0483333333333333
C19orf2	0.268
DCTN1	0.6755
LIN28B	-3.5162
TNKS2	-0.26825
C1QBP	-1.102875
CADPS2	1.7325
SRMS	-0.04325
GJA9	0.3025
MGC24975	-0.260166666666667
TRIM45	-1.53466666666667
TSP50	-1.306
TCP1	-1.34275
TMED7	-0.5663
CMA1	1.1855
CENPL	-0.113666666666667
PTCRA	2.219
FST	-4.94875
VWCE	-4.0905
PAWR	-1.1575
ABCC12	2.25416666666667
LDLR	-0.1328
ASTN2	0.5338
LOC441212	-1.574875
GPATCH8	-0.10775
TANC2	-1.42058333333333
KIF4A	-0.932
C18orf18	-1.37625
PGM1	-2.211
KIAA0258	0.26725
CPD	1.080375
SNCAIP	-0.734
DCT	-4.718
HLA-DOA	3.80668181818182
OR11L1	0.629
UPK1B	-0.984333333333333
DNAJB4	-1.16725
UGT1A8	-0.34475
HIST1H4L	-0.3995
PECR	-0.92
HSPA2	2.243
WFIKKN1	-3.072
SERP1	1.269875
SYDE2	1.00275
TACR2	0.163
NUP85	0.702
CD177	-0.364666666666667
LGR5	-2.22133333333333
PIGG	-0.902666666666667
PTHR1	-2.99166666666667
RAB5A	0.2086
FLJ13224	0.244
USP9Y	-2.2746
C7orf53	-1.267
LRP1B	-0.70175
XAF1	3.104
ABCG8	-0.064
ANKDD1A	0.0395
DAND5	-0.787
SPAG6	0.4565
LINCR	1.4205
ZDHHC22	-1.908875
CCDC60	1.192
THOC7	-1.78966666666667
TCTA	1.0898
OR8K3	0.311
NY-REN-7	-0.376333333333333
B2M	2.11683333333333
C6orf141	0.9205
LPPR4	1.8295
SQLE	0.138875
SEPHS1	0.228
BTBD14B	0.746857142857143
PLRG1	-0.63125
SPG7	-0.589375
ZNF614	-1.86066666666667
PARD6G	-0.0968333333333334
INPP5B	-0.1511
GRPEL2	-0.614125
PPID	-0.7081
TRIM56	-0.008
UBE2J1	-0.172625
IL20RA	4.1675
LOC387856	0.2545
C1orf107	0.3515
UTS2R	0.63375
C19orf22	0.891
SAFB2	0.431
KIAA0652	0.601
KLRG1	0.317166666666667
MS4A8B	1.5665
FRAG1	0.40175
KIAA1546	-0.032
E2F4	-0.5548
CLEC4M	0.299166666666667
BTBD14A	-0.2555
KIAA0999	0.1132
GYPA	-4.11116666666667
TAC1	-0.446333333333333
TRAIP	-1.1255
KIAA0232	-0.3046
ERCC8	-1.293125
GPX4	1.0475
KIAA0368	0.01025
GPR157	-0.271166666666667
CTAGE4	0.522
C9orf30	-1.29883333333333
OR52A1	-0.1715
HSP90B3P	-0.74
ALG9	-0.5829
BTBD10	0.25375
SDK2	0.275
BAIAP3	1.53375
RABGGTB	-0.574
ANKRD40	0.319166666666667
KRT74	-0.3585
CALCOCO2	0.728642857142857
SNCA	-3.9155
TMSL8	-4.300125
C2orf53	-0.303
ESRRB	-0.33075
ARHGAP26	-0.6275
TDRD9	-2.3495
HRAS	-0.458833333333333
KLRC4	-1.6405
JAGN1	0.362833333333333
BSDC1	-0.185
RNF43	0.3772
NDUFAF1	-0.607
PHF12	0.26975
OR1L3	0.171
FOLR2	2.07983333333333
LYZL6	0.479666666666667
tcag7.1260	-1.936
WSB1	-0.9675
PROS1	-1.7335
OSTN	0.1525
PSMB8	0.7885
SOCS4	-0.056625
DDIT4L	2.2835
MAS1	0.7045
MGC34796	0.8645
CSHL1	0.2515
TBCCD1	1.003
ZBTB7C	0.294
AP2S1	-0.040875
P15RS	0.3895
VAT1	-0.4819
SHANK3	0.548666666666667
TUFM	-0.0388333333333333
THEG	0.6295
KRT34	-1.906
SGSM3	0.592875
TOMM22	-0.109625
SOCS3	1.27433333333333
CPO	-0.6545
POP4	1.02725
BHLHB3	0.4355
MALL	0.415
OR1B1	-0.224
PARK2	0.279666666666667
GPR124	-0.21475
LCE1E	-0.223
RUVBL2	-0.53575
CGRRF1	0.5472
ACPL2	0.6685
WNT10B	-1.76975
BAIAP2L2	-2.528375
ISCA1	-0.0195
C1orf125	1.295375
RPAP1	-1.0525
RAI16	0.0548333333333333
RPL27	-0.261375
NLRP9	-0.452
EPN1	0.2605
LOC388610	-1.042
SLC35A1	1.5855
GAL	-4.62275
SLC14A2	0.25225
RDH11	-0.412333333333333
FAM138F	-0.2545
AUH	-1.07225
FLJ40243	0.567666666666667
C14orf129	0.0401666666666667
MBD2	0.1215
ABHD14B	0.526625
PIGT	0.0815
ALS2CR4	-0.87525
ALAS1	0.9849
FOXO1	0.7745
CRLF3	0.40525
C20orf107	0.532
FARS2	0.53325
CCDC28A	0.817
NPHP3	-0.641
OR13F1	0.4285
TSEN54	0.60425
DEFB106B	-0.0156
OR8B4	0.9235
STH	1.57675
ZC3H14	-0.399125
CBX2	-0.278
TMEM49	-0.34925
C6orf21	0.5125
FLJ20920	1.729875
CRTAP	-0.779642857142857
DDX50	-0.27325
STYXL1	0.8425
BLVRB	-0.146833333333333
LOC147650	0.454833333333333
MMP24	0.4735
GRID1	0.730333333333333
BANF1	-0.1475
CTAGEP	0.042
HMBS	-1.81875
SLC25A24	0.138333333333333
C14orf50	-0.14825
MRO	-0.268833333333333
SLC25A15	-0.8645
FAM84B	2.7219
TDP1	-0.128
C16orf78	0.00216666666666667
C11orf57	0.071625
RFK	-0.75075
ZFYVE9	-0.926875
STCH	-0.6469
WIBG	0.40675
LOC283871	0.0108333333333333
GBA2	-0.7218
NDUFB3	-0.45025
HSD17B13	-1.66575
GRIN3A	3.02683333333333
FMNL1	0.995
SEPT7	-0.9924
GNLY	5.207
GRAMD1C	-0.8065
ZNF165	-0.087
USP38	0.761
FAM83A	-1.25166666666667
C14orf24	0.04075
ARMCX3	1.15225
ARHGDIB	1.08433333333333
AK1	0.347375
KIAA1045	-0.59
DNAJB13	0.0358333333333333
NEU2	-0.2295
HIST1H4B	-0.877333333333333
FAM20B	0.4972
HES2	0.0160714285714286
FAM73B	0.1069
LOC388381	0.35825
INTS7	0.0182727272727273
AMPH	0.6905
ZNF775	-0.2315
UCKL1	-0.789333333333333
C10orf97	-0.0375
C1orf161	-0.16725
ALDH1L1	-1.871
FLJ39378	-0.762375
SLC23A1	-1.111
RBM4B	0.3245
THAP4	0.0323333333333333
OGFRL1	1.73125
KIAA0831	0.009625
PPP1R15A	-0.395833333333333
C1orf96	0.348428571428571
C12orf11	-2.393
BMF	0.73275
MAN1A1	0.264125
KIAA1600	0.745333333333333
NLGN4X	-1.99425
ALOX12	-1.03516666666667
RB1CC1	0.2805
NEIL2	0.5681
EIF4E	0.0527272727272727
ABHD5	-0.5415
EXOC4	-0.2345
CIP29	-0.437
BATF2	2.997
SLC29A4	-0.589125
HTR4	1.00575
EMB	-0.0915
TRAF6	0.7215
LMNB1	-1.1435
FAM19A5	-1.98775
SHE	1.31025
PIK3C2B	0.74
C15orf15	-0.8769
USP15	-0.015
TCEAL2	-0.83575
C5orf39	-0.246166666666667
PTGER2	-0.4595
SLC31A1	1.674875
IFT172	0.38675
ADAM29	0.03775
GFOD1	-1.19225
ST7L	-0.58
C15orf26	-1.93225
PKN3	-1.01125
CNTD1	3.62883333333333
COMMD1	0.536125
NTRK2	1.66625
FOXN3	0.321625
MFGE8	-0.6636
PFKFB2	1.0055
TAS2R4	-0.1995
ENTHD1	1.55766666666667
PRMT5	-0.432625
MGC16384	-0.819875
LOC442229	-0.122
TSKU	1.450375
KRTCAP3	3.381125
PDLIM1	1.317
KCNS2	0.41375
RNF126	-0.196166666666667
CEP63	0.258875
CLIC4	-0.3395
hCG_1990170	-1.4405
ACR	0.4626
KLK7	-0.24475
ALOX5AP	3.458375
RIPK3	3.44775
TAS2R9	-0.3685
C19orf18	2.79
BIRC6	-0.00371428571428569
ZNF16	1.314
RFT1	-0.21525
SLC8A2	-0.79825
TACC1	0.202875
ITGAD	1.99575
SAMHD1	2.40375
SH3PXD2B	0.375
EPC2	0.075
C20orf85	2.1505
ATP13A2	0.344833333333333
KRT4	1.06525
CAPNS1	0.2455
MDM2	-0.240333333333333
PCDH20	6.0045
KCNK9	0.7365
OR2C1	0.065
KLHDC3	-0.1075
IPPK	0.249
EFHD2	0.367125
GALR3	0.6045
NBEA	-1.222
ABCA6	2.9888
CLDN3	1.72433333333333
AKT2	-0.832928571428571
EGFR	-3.7622
RBM16	-0.021625
ZDHHC3	-0.1149
SLC25A4	-1.599
CYB5B	-1.36716666666667
CPXM1	-0.8425
NDRG1	-0.487846153846154
FLJ43826	0.2605
OR5L2	0.147
FARP2	0.3456
MRPL46	-0.16025
LDHAL6B	0.268166666666667
MAPKAPK3	0.2585
NCAM2	-1.69725
PRKD2	0.660166666666667
ZFP36L1	0.6132
CYSLTR1	0.498
OR4C3	0.54525
HIST1H2AJ	1.887
CCNB2	-1.98022222222222
ZNF10	-2.038375
TMEM175	0.5435
FAM134A	0.874666666666667
TIGD4	-1.353
PCNP	-1.04425
MGC39715	0.13925
LQK1	-0.1855
CREB1	0.6606
TMPRSS3	-2.5875
C4orf32	1.749375
LAT	0.056
KCNA3	0.766
SKIV2L2	-1.1665
ROPN1B	-4.462
tcag7.23	-1.1425
CDT1	-1.460125
ZHX2	1.23
CD28	-1.63225
ZNF624	0.5115
SEPT2	-0.1085
SOHLH2	-2.48433333333333
MCOLN3	-0.76675
UNQ1945	0.7075
MASP2	-1.5185
ZNRF3	-0.1871
GPATCH3	-0.08775
AGL	0.6105
QRICH2	-0.062
PSD4	0.989166666666667
CCNB1IP1	-1.47075
ENPP7	0.1045
OBFC1	0.465
KCNG3	-2.20825
C14orf79	1.1295
ENPEP	0.794333333333333
SCT	0.8585
SKI	1.03025
SEC61G	-1.546
CAPN11	-0.69825
ATXN7L3	0.60175
DBNDD1	0.224833333333333
FAIM	0.9455
ANKRD36	-0.5655
GABRP	-0.749666666666667
TACSTD2	1.3284
EIF3J	-1.06475
PPP2R2A	-1.2635
TEKT4	-0.49
PVALB	-4.51633333333333
F10	-3.6905
FAM134C	1.0464
COMP	4.33825
EFCBP1	-3.85692857142857
SCLT1	0.43425
TAL1	-1.4452
ACSL1	1.3545
ABCC5	1.59875
ABL1	0.181388888888889
RBBP7	0.3635
PTPRG	-2.128125
NCOR1	-0.1606
SPINK4	2.4905
TXNRD1	-0.6521
TNRC15	0.771875
C9orf138	1.68225
UBE2H	0.968666666666667
BRDT	0.278333333333333
C8orf31	0.11625
CCNE2	-0.158545454545455
SLC6A8	-0.723375
CALCR	-3.9195
PPP1CB	-0.241666666666667
ABHD8	1.247
ARF5	0.3275
SLC24A4	1.16075
CCT3	-0.05625
ZNF121	0.742625
SLC3A2	0.0264
OR13A1	0.085
SLC5A10	0.72725
RAD50	-0.446375
IER5	-0.011125
MTHFD1L	-2.0865
MBTPS2	0.386
MVK	0.133
NCL	-0.3574
PSMD10	-0.41075
MOBP	0.593125
FLJ32894	-0.3355
HRH1	-1.27183333333333
C5orf30	-0.66625
NUDT16L1	1.0023
RASGRP3	3.9845
PRKRIP1	-0.3809
CCDC75	0.71125
LOC253970	0.44625
KIAA1239	0.5325
MED21	-0.7985
SYT11	1.00458333333333
NTSR2	-0.242
EGFL11	-0.452
CXorf59	0.4435
OR2A25	0.33825
SPTBN2	-0.862
LRMP	0.0493333333333333
RNF111	-0.05375
PTH	-1.049
LOC619208	-0.928166666666667
KIAA0895	0.38675
RANBP5	-1.240375
P2RY10	3.05916666666667
NME5	3.58066666666667
DDX21	-0.447
LRSAM1	1.291
HDAC11	1.9795
VMO1	1.712
NOLA2	-0.619166666666667
ADAR	1.17508333333333
MTO1	0.0928333333333333
SF4	0.3675
P2RX1	0.502333333333333
HBM	0.3165
EN2	1.0775
C14orf172	0.7635
TM9SF2	0.1552
INHBE	-1.59433333333333
TCTE3	-0.117583333333333
TOX2	-1.8225
CTAGE3	0.137
HBB	2.9304
MED15	-0.321833333333333
CASR	0.31075
C6orf66	-1.58416666666667
MTPN	-0.028625
UNC50	-0.47525
C21orf33	0.114625
IRF2	0.754625
PGR	1.114
GPR84	3.89825
CROCCL1	-2.392
SRPX	-3.031
BRE	0.339833333333333
FGF10	-0.07625
SDC3	-0.000666666666666658
ZRSR1	0.389333333333333
DKFZP434P211	0.200625
SOX6	1.174
RPUSD2	-0.20575
C14orf173	-0.06825
MAPK11	-0.424
TBC1D22A	1.0565
FAM123A	-0.2085
COL4A6	-3.34483333333333
TOMM70A	-0.57725
NAB1	-0.305
MGC16385	-0.127625
TSPAN18	-0.476666666666667
MED31	0.12325
PLG	-0.5525
CAPSL	2.731
ZNF532	0.5487
ASB14	0.01475
CA8	1.24875
NUDT16P	1.992
SLFN11	-0.632
LRRIQ2	0.252875
NOL7	-0.955166666666667
BRMS1L	-0.982875
JARID1A	0.0188333333333333
PANK2	-0.407
ICAM3	0.48325
MDS1	-0.42275
TAF8	-0.10925
RNF139	1.3945
ZNF594	-0.787
ADAM8	2.502
SFTPC	-0.014
MAN2B2	0.443875
RGS12	0.0341875
EIF1AY	-5.41158333333333
LRRIQ1	-2.2688
GPR150	0.9045
CCDC21	-0.773
PRRG3	0.23925
SAA4	-4.47025
RAPGEF5	1.315125
ZCCHC2	1.02516666666667
MGC39372	1.5385
PPP4R2	0.115666666666667
CDCA2	-1.72183333333333
OR4D5	0.894333333333333
PTGFRN	-0.1561
SIGLEC5	1.66266666666667
C19orf61	-0.515833333333333
NMUR2	0.1525
KIAA1586	-1.723
DAGLA	-0.042
CHCHD6	-1.32525
GPR32	0.489
NEUROD6	-0.00940000000000001
SLC2A4RG	0.199125
CA5B	-0.109
FBXL3	1.2785
MPHOSPH9	-0.8875
HMG2L1	0.473
HCN4	0.650833333333333
CEACAM19	1.25475
SH2D4B	0.482666666666667
HFE2	-1.338
TGM4	0.88225
LYPD2	-0.3005
TBC1D15	-0.45375
MRPS21	0.5333
NONO	-0.2914
CLEC5A	2.15775
ITCH	-0.0164
MGAT3	-0.804666666666667
MBP	-0.43625
RPP25	0.00874999999999999
SOSTDC1	-2.8665
HRC	-2.14075
TRIM48	0.3105
TMEM133	-1.381
ECEL1P2	-1.8285
HOXC11	-0.5505
DOK5	-1.29525
HELZ	0.3775
LOC348180	0.4485
MGC33894	0.44625
ADRB3	0.153
DMD	-0.533333333333333
PTRH2	0.606
MPEG1	4.1385
NDUFA12	-0.466
KRTAP2-4	0.00566666666666667
STAMBPL1	-0.884
ADCY2	0.544833333333333
UNQ6125	-0.108
KLHL20	0.476166666666667
SRM	-1.07775
OTC	-0.3535
TMIE	0.5905
SNX8	-0.0225
LIPK	0.25
CHURC1	0.580833333333333
KLC2	0.0863333333333333
HDAC1	-0.453666666666667
FAM128A	0.138333333333333
FNDC3B	0.1013
MTCP1	0.058
WFDC10B	-0.1639
PCDHGB3	0.3285
ATRNL1	-2.313
CAV2	-1.822375
MED26	0.5745
DUS1L	1.97125
CHRM3	-1.88775
NEK9	0.6085
WARS2	-0.1575
TBX22	0.3035
TOMM40	-0.79775
RP6-213H19.1	-3.2015
TUBGCP5	-0.66625
IGSF6	6.16625
TPPP	0.345166666666667
UNQ6190	-0.21
GSTM5	-0.60425
BTD	1.18216666666667
PDCD1LG2	2.41983333333333
SNRPB2	-0.9455
ERICH1	-0.3705
APOA4	-1.858
HOXA11	-2.22466666666667
NARG1	-0.65575
MKX	3.8085
RAB28	-1.19414285714286
PKP3	-0.47975
SH3GL2	-4.014
CTSO	2.88725
RPN2	0.2885625
IL28RA	0.408
SFMBT1	-0.19775
WDR57	-1.17875
FER1L3	0.68125
HSF5	0.671666666666667
TTC9B	0.319
C4BPA	-4.74716666666667
ALB	-4.369
SORBS3	-0.617375
UPF2	0.212
JPH1	-0.9425
AGBL2	0.60675
DOPEY1	1.254
TERF1	0.7645
KIF22	-0.280666666666667
NINJ1	1.23125
SEC61A2	-0.775333333333333
HIST1H1D	0.497333333333333
SFXN4	-0.402125
UCP3	0.6788
ZNF703	1.51016666666667
MYL6B	-1.07
TREM1	1.73175
OR52E6	0.4955
CKMT2	0.0755
HLA-C	2.443625
SLC13A3	-1.86783333333333
TIMP4	-2.6535
SLIT2	1.10675
RSF1	-0.0525555555555556
LONRF1	-1.74971428571429
MON1A	-0.342833333333333
CACNG6	-1.285
DPPA4	-5.5535
ZSWIM3	0.693
ZNF804A	1.44483333333333
CCIN	0.82475
SLC25A31	0.48575
KCNMB4	-2.44925
RABL5	0.375625
GALNS	0.9595
STX6	0.723375
HIST1H1C	-1.286
CIDEB	-0.150625
CASP4	0.489333333333333
PDK3	1.1996
KCNJ11	1.3345
TPR	-0.08275
ZSCAN20	-1.334
MTX2	-0.5605
HIST1H2BH	0.54825
LOC283767	-0.27175
LYRM7	-1.48838888888889
BRD3	1.31616666666667
HIST1H2BO	-0.3795
MAGEB10	0.2775
SLC45A1	0.74675
SERPINA3	1.49275
KIAA0143	1.616
KCNJ16	-0.446666666666667
KRT79	0.19375
FABP2	-1.53
NUT	-0.89525
ZNF57	0.38475
FBXL4	0.303125
CLEC9A	1.608
UGT8	-1.591
BMP2K	0.8795
MAPK4	-4.16175
SLC25A23	0.9463
HINT1	-0.8275
KRTAP13-1	0.2205
SFXN5	0.1898
CHCHD2	-0.379583333333333
FAM3D	0.5095
NDP	-4.0255
RHOBTB1	0.559666666666667
SLC4A4	-1.32025
RPL38	0.79
HTF9C	0.0363333333333333
AP2A2	-0.395125
ZBTB46	0.4565
MAP7D1	0.611125
AOX1	-2.0275
CYR61	-0.19775
DTNA	-1.5035
JRKL	-0.482
TMOD3	-0.143
EEA1	-0.2866
ADCK5	1.5415
IL1R1	1.71133333333333
KLK3	0.379928571428572
HRSP12	1.21175
KTN1	0.35525
LOH11CR2A	0.5856
RELL2	-1.5435
MAB21L1	0.60675
C20orf59	-0.423833333333333
PHKB	-0.98375
ADAM2	-2.2875
TBC1D8B	1.2745
FAM13A1	-1.1835625
LAPTM4B	1.39333333333333
LCN8	0.2465
TMEM147	-0.1105
SYT4	-0.0543333333333333
XPO7	0.3325
C9orf62	0.9715
GPR75	0.451
TRIM5	-0.391625
APOC1	1.41433333333333
RNASE4	-0.652166666666667
PARD6B	0.03275
ARID1A	-0.0481666666666667
TPD52L3	0.208
RRAGB	0.619333333333333
RCN2	-0.820166666666667
HIST2H2BE	-0.116625
STARD7	0.17175
SHMT2	-1.00425
KIAA1751	0.299833333333333
MLYCD	0.251
LOC162632	0.2987
UQCRH	-1.32375
RP11-217H1.1	0.678625
SDHA	-0.545166666666667
NCLN	0.9559
ZNF17	0.571833333333333
RCBTB2	-2.32925
VEGFB	-0.2416
RP4-747L4.3	0.401
COLQ	0.2592
MPN2	-0.240333333333333
DRG2	0.04775
KLRB1	6.81225
ALPK2	-3.46875
DNASE2B	2.70275
FLJ23834	-0.165333333333333
AXUD1	0.0928333333333333
SAFB	0.1544
NSUN4	-0.548
RFX2	1.17116666666667
MAPK8IP1	-0.1105
FANCD2	-0.659428571428571
ANKZF1	-1.64916666666667
C19orf50	0.544875
DUSP8	-0.354
SENP5	0.326375
NFKBIL2	-0.093
LBR	-0.3805
IGFL1	0.349
LZTS2	0.445
IL2RG	1.775
CCDC51	-0.20625
KLF3	0.18075
ANKRD37	-1.99025
KCTD14	1.14
FZR1	0.766916666666667
SLC44A4	2.4511
ESPL1	-0.313125
GMPR2	-0.1176
TBC1D19	-2.15866666666667
ERGIC1	-0.0297777777777778
ERBB4	1.9219
TSPAN32	1.49816666666667
MAP4	-0.028625
GPHN	-0.2425
SLC6A2	-0.580375
HIVEP1	0.6515
DFFB	0.3796
EIF4EBP2	0.8245
DMRT1	-0.80225
HSPB6	-0.27625
IER2	0.1755
AIFM1	-0.17675
WWC2	-0.894916666666667
MRPL4	0.4375
FLJ21062	0.324833333333333
EPB41L4A	0.269583333333333
SH2D6	0.68075
TAF4B	-0.19825
GAL3ST3	0.001
MALT1	-0.3715
RTDR1	1.464
ARVCF	0.540375
MEX3B	-1.7935
FBXO16	-0.21175
KIF7	-0.31775
C1QC	3.78483333333333
ZNF783	-0.492833333333333
ZNF85	-0.20325
MMP13	3.146
KIAA0329	-0.16025
RTP3	-0.549
ZBED3	-0.35875
CLGN	-0.785
SLC25A37	-2.27970833333333
hCG_18290	-0.33025
OR5AS1	0.3955
SMARCC2	0.206583333333333
FAM109A	0.175333333333333
CCDC12	-0.411
USF2	0.5209
DEPDC7	-3.11975
C20orf24	0.2575
JMJD3	0.8075
DSP	1.2685
SLIC1	1.357625
FAM20A	1.676
IRF2BP2	0.6845
ZNF230	-0.6145
MSN	-0.209928571428571
SLC9A5	-0.971
EPDR1	-2.1674
MUSK	0.415666666666667
ZNF434	-0.7185
SMARCD1	-0.615
