Hybridization REF	TCGA-BH-A0GY-01A-11R-A056-07
CTAGE4	-0.5245
C9orf30	-1.315
OR52A1	0.1495
HSP90B3P	0.1685
ALG9	-0.1252
BTBD10	1.0805
SDK2	0.26725
BAIAP3	2.30225
RABGGTB	0.276375
ANKRD40	-0.551833333333333
KRT74	0.359
CALCOCO2	-0.0993571428571429
SNCA	-3.38725
TMSL8	-5.395
C2orf53	-0.4635
ESRRB	-0.643
ARHGAP26	-1.713125
TDRD9	-2.59525
HRAS	0.743666666666667
KLRC4	-2.6055
JAGN1	-0.429166666666667
BSDC1	0.06125
RNF43	-1.145
NDUFAF1	0.03025
PHF12	0.32
OR1L3	-0.250666666666667
FOLR2	2.29741666666667
LYZL6	-0.035
tcag7.1260	-1.508
WSB1	-1.42966666666667
PROS1	-1.1326
OSTN	0.566
PSMB8	0.5985
SOCS4	-0.460125
DDIT4L	1.0315
MAS1	0.2675
MGC34796	1.27225
CSHL1	0.146333333333333
TBCCD1	0.427
ZBTB7C	0.234
AP2S1	0.3745
P15RS	-0.5556
VAT1	-0.5577
SHANK3	0.767333333333333
TUFM	0.306333333333333
THEG	2.648
KRT34	-1.68875
SGSM3	0.191375
TOMM22	-0.13475
SOCS3	1.48966666666667
CPO	-0.7705
POP4	0.9715
BHLHB3	0.94275
MALL	2.00825
OR1B1	-0.2375
PARK2	-0.370833333333333
GPR124	0.446375
LCE1E	0.587
RUVBL2	0.361
CGRRF1	-0.092
ACPL2	0.0435
WNT10B	-1.268875
BAIAP2L2	-0.43125
ISCA1	-0.2805
C1orf125	4.46075
RPAP1	-0.5055
RAI16	-0.0451666666666667
RPL27	-0.890125
NLRP9	0.2605
EPN1	1.6025
LOC388610	-0.664625
SLC35A1	0.8047
GAL	-2.826
SLC14A2	0.264
RDH11	-0.220333333333333
FAM138F	-0.2035
AUH	-0.83675
FLJ40243	0.22375
C14orf129	0.512833333333333
MBD2	-0.509
ABHD14B	-0.02825
PIGT	0.286875
ALS2CR4	-0.56925
ALAS1	0.3884
FOXO1	1.1145
CRLF3	-0.645625
C20orf107	-0.3815
FARS2	0.459
CCDC28A	0.158
NPHP3	-1.50625
OR13F1	0.3365
TSEN54	-0.21375
DEFB106B	0.341777777777778
OR8B4	0.2475
STH	1.45475
ZC3H14	-0.6505
CBX2	-0.063
TMEM49	-1.6325
C6orf21	0.7665
FLJ20920	-0.564125
CRTAP	-0.336071428571429
DDX50	-0.48925
STYXL1	0.41575
BLVRB	-0.433333333333333
LOC147650	-0.036
MMP24	0.3885
GRID1	0.987166666666667
BANF1	0.376166666666667
CTAGEP	-0.15725
HMBS	-1.92375
SLC25A24	0.302333333333333
C14orf50	-0.4715
MRO	1.48883333333333
SLC25A15	-0.84625
FAM84B	2.6717
TDP1	-0.2995
C16orf78	-0.0955
C11orf57	0.836375
RFK	-1.078375
ZFYVE9	0.39225
STCH	-0.5138
WIBG	0.60675
LOC283871	0.425333333333333
GBA2	-1.3732
NDUFB3	-0.466
HSD17B13	-0.921
GRIN3A	1.727
FMNL1	-0.290166666666667
SEPT7	-0.2206
GNLY	3.4195
GRAMD1C	0.399166666666667
ZNF165	-0.67775
USP38	0.46975
FAM83A	-0.237166666666667
C14orf24	0.381666666666667
ARMCX3	0.97
ARHGDIB	0.311333333333333
AK1	-0.302125
KIAA1045	0.28025
DNAJB13	0.161
NEU2	0.8395
HIST1H4B	-1.42783333333333
FAM20B	-0.3735
HES2	1.76635714285714
FAM73B	-0.4157
LOC388381	-0.75025
INTS7	-0.567454545454545
AMPH	2.57075
ZNF775	0.098
UCKL1	1.11516666666667
C10orf97	-0.49475
C1orf161	-0.59775
ALDH1L1	-1.21275
FLJ39378	-0.09275
SLC23A1	-1.327
RBM4B	-0.0845
THAP4	0.0781666666666667
OGFRL1	-0.30225
KIAA0831	0.116375
PPP1R15A	0.238333333333333
C1orf96	-0.736928571428571
C12orf11	-1.211
BMF	0.80775
MAN1A1	-0.139125
KIAA1600	0.666
NLGN4X	-1.268
ALOX12	-1.73716666666667
RB1CC1	0.4936
NEIL2	0.6153
EIF4E	0.503818181818182
ABHD5	-0.53875
EXOC4	-0.187166666666667
CIP29	0.179333333333333
BATF2	1.78625
SLC29A4	-0.28525
HTR4	-0.222
EMB	-1.33725
TRAF6	0.82025
LMNB1	-2.17125
FAM19A5	-1.09125
SHE	1.1295
PIK3C2B	1.15325
C15orf15	-1.1186
USP15	0.3416
TCEAL2	0.90975
C5orf39	-1.13
PTGER2	-0.64025
SLC31A1	-0.8126875
IFT172	-0.03425
ADAM29	0.52525
GFOD1	0.10675
ST7L	-0.386666666666667
C15orf26	-0.087
PKN3	-1.841
CNTD1	1.41566666666667
COMMD1	-0.14275
NTRK2	2.70325
FOXN3	-0.334
MFGE8	-0.137
PFKFB2	0.657166666666667
TAS2R4	-0.4465
ENTHD1	3.01683333333333
PRMT5	-0.818625
MGC16384	-1.363125
LOC442229	-0.419
TSKU	-0.02225
KRTCAP3	0.467
PDLIM1	0.9486
KCNS2	0.40825
RNF126	0.279166666666667
CEP63	-0.422875
CLIC4	-0.74025
hCG_1990170	-0.385
ACR	0.0874
KLK7	3.8175
ALOX5AP	3.095125
RIPK3	2.5765
TAS2R9	0.3615
C19orf18	4.39
BIRC6	-0.127642857142857
ZNF16	2.4935
RFT1	-0.60975
SLC8A2	-0.8705
TACC1	2.75875
ITGAD	1.178
SAMHD1	1.9105
SH3PXD2B	1.1738
EPC2	0.26875
C20orf85	6.105375
ATP13A2	0.911
KRT4	2.993
CAPNS1	0.199
MDM2	-0.380416666666667
PCDH20	-0.17775
KCNK9	1.1355
OR2C1	-0.821
KLHDC3	-0.591666666666667
IPPK	1.011
EFHD2	0.072625
GALR3	1.23
NBEA	1.12716666666667
ABCA6	2.6768
CLDN3	2.95516666666667
AKT2	-0.180785714285714
EGFR	-1.8556
RBM16	0.385125
ZDHHC3	0.2704
SLC25A4	-0.524333333333333
CYB5B	-1.286
CPXM1	1.061
NDRG1	0.292307692307692
FLJ43826	0.3465
OR5L2	0.122
FARP2	0.4914
MRPL46	0.215166666666667
LDHAL6B	0.237166666666667
MAPKAPK3	-0.626333333333333
NCAM2	-0.785
PRKD2	1.22483333333333
ZFP36L1	1.1872
CYSLTR1	-1.0705
OR4C3	0.29975
HIST1H2AJ	1.894
CCNB2	-2.08822222222222
ZNF10	-0.918875
TMEM175	0.6315
FAM134A	0.552166666666667
TIGD4	-0.4905
PCNP	-0.759
MGC39715	1.84275
LQK1	-1.12825
CREB1	0.4499
TMPRSS3	0.30525
C4orf32	0.805125
LAT	-1.5715
KCNA3	-2.755
SKIV2L2	-0.5855
ROPN1B	-1.36425
tcag7.23	-0.2305
CDT1	-2.822375
ZHX2	1.805625
CD28	-2.10425
ZNF624	0.8295
SEPT2	0.119583333333333
SOHLH2	-2.50275
MCOLN3	1.33275
UNQ1945	0.587
MASP2	-1.038
ZNRF3	-0.0528
GPATCH3	-0.126
AGL	2.738375
QRICH2	-0.574
PSD4	0.683333333333333
CCNB1IP1	-1.93125
ENPP7	0.0755
OBFC1	-0.01375
KCNG3	-2.37275
C14orf79	0.76125
ENPEP	0.893833333333333
SCT	2.059
SKI	0.7665
SEC61G	-0.00375000000000001
CAPN11	-0.016
ATXN7L3	0.45475
DBNDD1	1.05733333333333
FAIM	0.3225
ANKRD36	-1.1175
GABRP	5.19483333333333
TACSTD2	3.31766666666667
EIF3J	-0.24725
PPP2R2A	-0.40575
TEKT4	0.487166666666667
PVALB	-3.53866666666667
F10	-2.47216666666667
FAM134C	1.0009
COMP	4.281625
EFCBP1	-2.9701875
SCLT1	-0.7205
TAL1	-0.9897
ACSL1	1.97725
ABCC5	0.71125
ABL1	-0.662555555555556
RBBP7	1.6015
PTPRG	-0.07525
NCOR1	-0.2084
SPINK4	0.0175
TXNRD1	-0.8407
TNRC15	0.19825
C9orf138	0.30875
UBE2H	0.5535
BRDT	2.915
C8orf31	0.067
CCNE2	-0.307545454545455
SLC6A8	-0.87125
CALCR	-3.24725
PPP1CB	0.8885
ABHD8	0.03125
ARF5	0.4604
SLC24A4	0.63825
CCT3	0.3725
ZNF121	0.696375
SLC3A2	-0.7997
OR13A1	0.6875
SLC5A10	0.055
RAD50	-0.2515
IER5	0.397
MTHFD1L	-2.387625
MBTPS2	0.827
MVK	-0.49075
NCL	-0.0732
PSMD10	-0.0265
MOBP	0.35775
FLJ32894	-0.1865
HRH1	0.4165
C5orf30	1.568
NUDT16L1	1.393
RASGRP3	3.35383333333333
PRKRIP1	-0.4927
CCDC75	-0.44725
LOC253970	-0.15125
KIAA1239	0.1125
MED21	-0.64775
SYT11	0.0811666666666667
NTSR2	-0.614
EGFL11	-0.0735
CXorf59	1.389
OR2A25	0.233
SPTBN2	0.5245
LRMP	-1.55233333333333
RNF111	0.01725
PTH	-0.4845
LOC619208	0.993333333333333
KIAA0895	1.26775
RANBP5	-0.87725
P2RY10	3.004
NME5	-0.3875
DDX21	-0.293
LRSAM1	-0.282
HDAC11	2.1225
VMO1	2.197
NOLA2	0.0535
ADAR	0.573833333333333
MTO1	-1.04483333333333
SF4	0.0703333333333333
P2RX1	0.0761666666666667
HBM	0.193
EN2	1.544
C14orf172	0.98025
TM9SF2	0.5055
INHBE	-1.73183333333333
TCTE3	-0.6495
TOX2	-3.0295
CTAGE3	0.17825
HBB	3.8647
MED15	-0.792333333333333
CASR	-0.12075
C6orf66	-0.864833333333333
MTPN	-0.33025
UNC50	-0.85975
C21orf33	0.000875000000000011
IRF2	0.754625
PGR	3.8745
GPR84	3.186
CROCCL1	-3.35075
SRPX	-1.30875
BRE	0.269833333333333
FGF10	0.63575
SDC3	-0.393
ZRSR1	0.968333333333333
DKFZP434P211	-0.47275
SOX6	0.2245
RPUSD2	0.09125
C14orf173	-0.01675
MAPK11	0.3705
TBC1D22A	0.4045
FAM123A	-1.109
COL4A6	-2.664
TOMM70A	-0.1105
NAB1	-0.069375
MGC16385	-0.4505
TSPAN18	-0.952
MED31	0.00575000000000001
PLG	-0.762
CAPSL	5.49
ZNF532	0.5191
ASB14	-0.0985
CA8	-3.00225
NUDT16P	-0.2865
SLFN11	-0.007
LRRIQ2	-0.246375
NOL7	-0.303166666666667
BRMS1L	-0.3585
JARID1A	0.302166666666667
PANK2	0.4735
ICAM3	-0.779
MDS1	-0.25975
TAF8	-0.9435
RNF139	2.49925
ZNF594	-0.683833333333333
ADAM8	3.103375
SFTPC	-0.526375
MAN2B2	0.882375
RGS12	0.0975625
EIF1AY	-4.64263636363636
LRRIQ1	-0.123833333333333
GPR150	1.3015
CCDC21	-1.44216666666667
PRRG3	0.075
SAA4	-2.8245
RAPGEF5	0.612625
ZCCHC2	0.318083333333333
MGC39372	1.8415
PPP4R2	0.721833333333333
CDCA2	-1.679
OR4D5	0.752833333333333
PTGFRN	0.8712
SIGLEC5	1.63
C19orf61	0.099
NMUR2	0.2355
KIAA1586	-0.808333333333333
DAGLA	1.22533333333333
CHCHD6	-0.51475
GPR32	0.615
NEUROD6	0.3165
SLC2A4RG	1.9110625
CA5B	0.58375
FBXL3	1.0095
MPHOSPH9	-1.5975
HMG2L1	-0.2825
HCN4	0.825
CEACAM19	1.32375
SH2D4B	0.675666666666667
HFE2	-1.6285
TGM4	0.08775
LYPD2	0.11725
TBC1D15	-0.05725
MRPS21	-0.16
NONO	-0.3387
CLEC5A	1.913875
ITCH	0.7519
MGAT3	-0.842
MBP	-1.021375
RPP25	-0.98825
SOSTDC1	-1.0375
HRC	-1.50475
TRIM48	0.105
TMEM133	-1.255
ECEL1P2	-1.079
HOXC11	1.5995
DOK5	-0.51625
HELZ	0.135166666666667
LOC348180	-1.15875
MGC33894	0.2985
ADRB3	0.224
DMD	-0.534083333333333
PTRH2	-0.5255
MPEG1	3.91816666666667
NDUFA12	-0.0665
KRTAP2-4	0.0975833333333334
STAMBPL1	-1.56266666666667
ADCY2	-0.2085
UNQ6125	0.61
KLHL20	-0.3065
SRM	-0.971
OTC	-0.31275
TMIE	0.331166666666667
SNX8	0.6
LIPK	0.493
CHURC1	-0.5965
KLC2	0.420166666666667
HDAC1	-0.349
FAM128A	0.104333333333333
FNDC3B	-0.0595
MTCP1	-0.701
WFDC10B	0.1076
PCDHGB3	0.3695
ATRNL1	0.3102
CAV2	-0.145
MED26	-0.0413333333333333
DUS1L	0.13425
CHRM3	-1.692
NEK9	0.22575
WARS2	0.6975
TBX22	0.3975
TOMM40	0.00850000000000001
RP6-213H19.1	0.357666666666667
TUBGCP5	-0.70725
IGSF6	5.336
TPPP	0.421166666666667
UNQ6190	-1.0255
GSTM5	0.072375
BTD	0.293833333333333
PDCD1LG2	0.940166666666667
SNRPB2	1.17966666666667
ERICH1	-0.573375
APOA4	-1.5835
HOXA11	-2.8
NARG1	0.027
MKX	3.06125
RAB28	-0.711785714285714
PKP3	2.038
SH3GL2	-2.70825
CTSO	2.6155
RPN2	1.265875
IL28RA	-0.0613333333333333
SFMBT1	0.53425
WDR57	-0.92475
FER1L3	1.23091666666667
HSF5	0.0696666666666667
TTC9B	-0.26425
C4BPA	-3.21366666666667
ALB	-3.99342857142857
SORBS3	0.064375
UPF2	0.8945
JPH1	-0.169
AGBL2	1.055
DOPEY1	0.6625
TERF1	-0.582666666666667
KIF22	-0.344
NINJ1	1.05175
SEC61A2	0.369166666666667
HIST1H1D	-0.729166666666667
SFXN4	-0.081125
UCP3	0.3663
ZNF703	2.45083333333333
MYL6B	-0.77175
TREM1	3.344
OR52E6	0.554
CKMT2	1.8705
HLA-C	1.839
SLC13A3	-1.47216666666667
TIMP4	-2.13225
SLIT2	1.7125
RSF1	0.0638333333333334
LONRF1	-0.425214285714286
MON1A	-0.266666666666667
CACNG6	-0.103333333333333
DPPA4	-4.933
ZSWIM3	-0.0865
ZNF804A	0.420166666666667
CCIN	1.64275
SLC25A31	0.094
KCNMB4	-1.5085
RABL5	0.505375
GALNS	-0.4476
STX6	1.001625
HIST1H1C	-2.19983333333333
CIDEB	-1.228375
CASP4	-0.160833333333333
PDK3	-0.2673
KCNJ11	0.7065
TPR	-0.418875
ZSCAN20	-1.022
MTX2	-0.439
HIST1H2BH	-1.18975
LOC283767	-0.21175
LYRM7	-1.42511111111111
BRD3	0.282666666666667
HIST1H2BO	-1.368
MAGEB10	-0.181
SLC45A1	0.22275
SERPINA3	1.42165
KIAA0143	2.94375
KCNJ16	0.651666666666667
KRT79	1.54425
FABP2	-0.89775
NUT	-0.4405
ZNF57	0.03375
FBXL4	0.09675
CLEC9A	1.2365
UGT8	-1.36616666666667
BMP2K	0.11725
MAPK4	-3.47325
SLC25A23	-0.9527
HINT1	-1.0118
KRTAP13-1	0.314
SFXN5	1.5119
CHCHD2	0.856
FAM3D	1.994
NDP	1.03525
RHOBTB1	0.174333333333333
SLC4A4	-1.690375
RPL38	-0.771
HTF9C	-0.451333333333333
AP2A2	0.902
ZBTB46	0.9365
MAP7D1	1.221875
AOX1	-0.1035
CYR61	1.10808333333333
DTNA	-1.14314285714286
JRKL	0.234
TMOD3	0.45925
EEA1	1.1065
ADCK5	1.59875
IL1R1	1.91916666666667
KLK3	0.741142857142857
HRSP12	1.0005
KTN1	0.15675
LOH11CR2A	0.0451999999999999
RELL2	-0.228
MAB21L1	1.01675
C20orf59	-0.128666666666667
PHKB	0.063
ADAM2	-1.95066666666667
TBC1D8B	0.544
FAM13A1	-1.585625
LAPTM4B	2.41725
LCN8	-0.1865
TMEM147	0.824
SYT4	0.3995
XPO7	-0.5685
C9orf62	1.6005
GPR75	-0.141
TRIM5	0.142375
APOC1	-0.208666666666667
RNASE4	-1.34416666666667
PARD6B	0.779125
ARID1A	0.0888333333333333
TPD52L3	0.6628
RRAGB	0.655833333333333
RCN2	-0.495666666666667
HIST2H2BE	-0.9203125
STARD7	-0.06175
SHMT2	-0.36875
KIAA1751	0.530166666666667
MLYCD	-0.12175
LOC162632	-1.5745
UQCRH	-0.79075
RP11-217H1.1	0.728
SDHA	-1.16883333333333
NCLN	0.405
ZNF17	1.86616666666667
RCBTB2	-2.2265
VEGFB	0.000700000000000003
RP4-747L4.3	0.41425
COLQ	0.3535
MPN2	-0.722333333333333
DRG2	0.3045
KLRB1	5.349
ALPK2	-2.90225
DNASE2B	0.34875
FLJ23834	0.7855
AXUD1	1.0685
SAFB	0.1126
NSUN4	-0.0055
RFX2	2.0255
MAPK8IP1	-0.641333333333333
FANCD2	-0.287428571428571
ANKZF1	-1.422
C19orf50	-1.102875
DUSP8	0.7465
SENP5	-0.180375
NFKBIL2	-0.164
LBR	-0.958625
IGFL1	3.6835
LZTS2	0.225
IL2RG	-0.242375
CCDC51	0.4235
KLF3	-0.168625
ANKRD37	-1.3045
KCTD14	2.52083333333333
FZR1	0.677666666666667
SLC44A4	-0.0972
ESPL1	-0.71925
GMPR2	-1.0356
TBC1D19	-0.955666666666667
ERGIC1	0.00355555555555556
ERBB4	2.1124
TSPAN32	0.13725
MAP4	0.216875
GPHN	0.4095
SLC6A2	-0.247875
HIVEP1	0.34675
DFFB	-0.5152
EIF4EBP2	0.588375
DMRT1	-0.18
HSPB6	-0.10125
IER2	-0.0426666666666667
AIFM1	0.1385
WWC2	0.809454545454545
MRPL4	-0.17875
FLJ21062	0.706666666666667
EPB41L4A	1.04991666666667
SH2D6	-0.00400000000000006
TAF4B	-0.94075
GAL3ST3	-0.397
MALT1	-0.669833333333333
RTDR1	0.9145
ARVCF	0.00675
MEX3B	-1.0865
FBXO16	1.20225
KIF7	-0.09725
C1QC	4.29516666666667
ZNF783	-0.713333333333333
ZNF85	-0.62975
MMP13	6.2025
KIAA0329	0.293285714285714
RTP3	-1.308
ZBED3	-0.499
CLGN	-1.5945
SLC25A37	-0.8035
hCG_18290	-0.65975
OR5AS1	0.2705
SMARCC2	0.486166666666667
FAM109A	0.499166666666667
CCDC12	-0.13225
USF2	0.5266
DEPDC7	-2.293
C20orf24	0.860166666666667
JMJD3	1.1925
DSP	1.34678571428571
SLIC1	0.70025
FAM20A	1.986375
IRF2BP2	0.256875
ZNF230	-1.53
MSN	-0.749928571428571
SLC9A5	-1.3825
EPDR1	1.0865
