Hybridization REF	TCGA-B6-A0RE-01A-11R-A056-07
CEP350	0.85975
OR10A2	0.46775
CST7	-0.19475
CIAO1	-0.15475
SELL	-0.1585
OR8J3	-0.1255
LTBP4	-0.487666666666667
SIRT6	0.5295
CCL19	1.85725
PPIL1	-0.53
GBP7	-0.1612
STK17A	-0.7703
ABR	1.00525
OR9G1	-0.028
FOXE1	-0.777
CNGA3	-0.92
GML	0.2835
CD38	-1.6625
ZDHHC6	0.203166666666667
NEFH	0.96525
CTDSP2	-0.12475
PGBD5	3.59216666666667
CCNY	0.103
RMND5B	-0.39425
ZNF257	-1.07475
FLJ22167	0.414125
EXOSC7	0.169833333333333
ROR2	1.661125
MAOA	-1.419125
TNNT3	0.226666666666667
GYPC	-0.414
C7orf33	0.718
PLIN	0.208
LOC90826	-0.77675
RNF4	-0.1605
F8A1	1.28466666666667
PLEKHG4	-2.46025
GRB2	0.3395
HIST1H2AD	-0.28775
DUS3L	-0.292666666666667
EIF1	-0.4185
RP5-1077B9.4	-0.363333333333333
FPGT	1.05625
GDF10	-1.34983333333333
COQ9	-0.5605
GCC2	-0.160928571428571
RARRES3	1.612625
PLXNA1	0.5269
KIAA0100	0.2376
PMF1	0.30975
FNDC1	5.22125
HS2ST1	0.0161666666666667
CRELD2	0.79375
C8G	1.703
CD82	1.5585
LIM2	-2.1395
UNQ6490	0.571
MMP16	-0.11175
DRD3	0.0095
C5orf26	-1.9105
C11orf73	-0.30225
PTP4A2	-0.07425
OR4M2	0.286
HPCA	0.257833333333333
SEC14L1	-0.138166666666667
CHFR	0.777625
EMILIN1	0.6965
NDUFS4	-0.5145
COL18A1	0.4085
PDZD3	-0.1146
C9orf16	0.726
ERBB2IP	0.113166666666667
EMX2	3.36725
FUS	-0.61125
TF	-4.328
CLCN4	1.41366666666667
CXorf56	0.4595
C11orf72	0.2315
ELAC2	-0.38025
NPR1	-0.51975
ASS1	-2.33983333333333
USP42	1.463625
POLR2J	-0.5345
SEC23IP	0.625
UQCRC1	0.47575
LOC729603	-0.207
C1orf71	-0.0685
POLG	-1.811
ADAM23	-3.2805
TFR2	-1.41175
RICTOR	-0.5885
MGC39606	1.82225
C19orf55	-0.411
SNAPC1	-1.27533333333333
GNA11	1.210125
CCDC52	-0.306333333333333
FSIP1	-1.688
UPF3A	-0.64625
IGSF11	-2.57
LAGE3	-0.0135
CHST6	0.5015
UNC13B	0.782
TTLL4	1.53575
ZNF687	0.797875
SDC2	0.2521
COX7A2	-0.07075
LAMB4	0.78575
FAM24A	0.853
LRRTM3	-0.706166666666666
GPHB5	0.108
OR4C13	0.143
EIF3EIP	-0.0805714285714286
HABP4	0.39
TMEM125	2.9565
CNTN2	0.1035
ASNSD1	0.0815
FUT4	1.613875
ACF	-4.24575
LOC158381	-0.406
CDH8	0.56375
AGPS	-0.521666666666667
C4orf18	1.005625
PECI	-1.41291666666667
UNG	-0.814125
GSTP1	-0.46175
DCUN1D5	-0.245833333333333
DKFZP564J0863	-0.3815
SLC9A3R1	1.010875
BCDO2	-0.83825
CHMP7	0.174
REM2	0.2195
DNHD1	-0.90675
FKBP4	0.321125
ZNF350	0.67475
MGC11102	0.3055
BST1	2.41575
KISS1R	0.3145
NCR2	0.689
DEFB125	0.4445
UBE2W	0.997
KRT15	2.6175
C10orf99	0.142
SCN11A	0.1885
GFI1	0.86225
RDHE2	-1.06183333333333
FHL1	-2.41316666666667
OSGEP	-0.4565
GATA1	-4.1475
SMC6	0.3555
TTTY14	-1.65225
LPIN3	0.128
RPL4	-0.5184
RBPMS	-0.251
PRPF3	0.878333333333333
EMR1	-2.538
SPATA19	0.58775
XCR1	0.413
IRX3	1.2273
RBM6	-0.41725
KLF4	-0.4933
UNC5CL	-2.881
SEBOX	-0.55
BTK	-1.4595
KRCC1	0.94675
C6orf27	0.1625
SYTL5	-1.1305
PRND	0.87675
LOC653319	-1.4215
PIGL	-0.97475
HUS1	1.03183333333333
SFRS6	-1.07216666666667
C17orf77	0.516
UIMC1	-0.7595
FXYD2	-2.0311
LOC283152	-1.558
ZNF667	0.81675
ZCCHC12	-0.611
TFEC	2.0506
ATP7B	-0.363166666666667
POLD2	0.437166666666667
RG9MTD1	-0.13075
ACOT2	-1.75683333333333
HIST1H4I	-0.88075
PPARGC1A	-1.1737
ETFA	-1.9925
POLRMT	0.30375
ZNF146	0.453375
MIA2	-1.5375
KLHL6	-1.22133333333333
HOXB5	-1.488125
NENF	0.4715
CUGBP1	-0.0675
PRSS22	1.6645
CASC4	0.5491
CUL4B	0.9013
CENPJ	-0.892
PITX1	-0.178833333333333
FLJ31033	0.371333333333333
CELSR3	-1.298
ZNF568	-0.13775
ITSN1	-0.266083333333333
EHBP1L1	0.0415
C19orf2	0.28075
DCTN1	0.58875
LIN28B	-4.4348
TNKS2	-0.2445
C1QBP	-0.506625
CADPS2	0.45725
SRMS	-0.229
GJA9	0.332833333333333
MGC24975	-0.7125
TRIM45	-1.27716666666667
TSP50	0.51325
TCP1	-1.045
TMED7	-0.4135
CMA1	0.12
CENPL	0.353333333333333
PTCRA	-0.0925
FST	-4.24325
VWCE	-4.73725
PAWR	-0.3675
ABCC12	0.3894
LDLR	-0.3988
ASTN2	-0.6359
LOC441212	-0.051125
GPATCH8	-0.1465
TANC2	-0.8365
KIF4A	-0.314
C18orf18	-0.28375
PGM1	-0.725
KIAA0258	0.47725
CPD	0.750125
SNCAIP	-0.73125
DCT	-4.56733333333333
HLA-DOA	2.24695454545455
OR11L1	0.492
UPK1B	-0.3212
DNAJB4	-1.11675
UGT1A8	-0.2125
HIST1H4L	0.1715
PECR	-1.01133333333333
HSPA2	0.0975
WFIKKN1	-1.718
SERP1	0.30575
SYDE2	0.60625
TACR2	-0.0085
NUP85	0.246
CD177	-0.304
LGR5	-1.39616666666667
PIGG	-0.1925
PTHR1	-2.128
RAB5A	0.0648
FLJ13224	0.212
USP9Y	-1.92633333333333
C7orf53	-0.851
LRP1B	-0.8415
XAF1	1.4394
ABCG8	0.1925
ANKDD1A	-0.881166666666667
DAND5	-0.931
SPAG6	-0.415
LINCR	1.072
ZDHHC22	-1.798125
CCDC60	-0.1395
THOC7	-0.9235
TCTA	1.2392
OR8K3	-0.0585
NY-REN-7	-0.66325
B2M	0.914833333333333
C6orf141	-1.6585
LPPR4	0.7905
SQLE	-0.375375
SEPHS1	1.19325
BTBD14B	0.533
PLRG1	-0.375
SPG7	-0.88325
ZNF614	-0.294833333333333
PARD6G	1.05583333333333
INPP5B	0.049
GRPEL2	-0.50925
PPID	-0.8088
TRIM56	-1.21075
UBE2J1	0.116875
IL20RA	1.308
LOC387856	0.1205
C1orf107	0.793
UTS2R	0.63025
C19orf22	0.869
SAFB2	0.2615
KIAA0652	0.639375
KLRG1	-1.14066666666667
MS4A8B	0.166
FRAG1	0.52125
KIAA1546	0.3775
E2F4	-0.7293
CLEC4M	-0.481
BTBD14A	-1.10925
KIAA0999	0.4811
GYPA	-3.5816
TAC1	-1.1501
TRAIP	-0.0593333333333333
KIAA0232	-0.4312
ERCC8	-0.00475
GPX4	0.37825
KIAA0368	-0.58975
GPR157	-0.27
CTAGE4	0.909
C9orf30	0.0253333333333333
OR52A1	0.7205
HSP90B3P	0.118
ALG9	-0.3799
BTBD10	0.969
SDK2	0.44875
BAIAP3	-0.74225
RABGGTB	-0.2035
ANKRD40	-0.662333333333333
KRT74	-0.476
CALCOCO2	-0.530214285714286
SNCA	-4.32075
TMSL8	-0.691125
C2orf53	0.0535
ESRRB	-0.28775
ARHGAP26	-0.883
TDRD9	-3.398
HRAS	1.137
KLRC4	-2.524
JAGN1	0.0965
BSDC1	0.09
RNF43	-1.8292
NDUFAF1	-1.04275
PHF12	-0.06575
OR1L3	0.37425
FOLR2	0.847583333333333
LYZL6	0.0764
tcag7.1260	-0.0735
WSB1	-1.38716666666667
PROS1	0.6732
OSTN	0.596
PSMB8	0.124
SOCS4	-0.17425
DDIT4L	2.523
MAS1	0.79
MGC34796	0.66825
CSHL1	0.1185
TBCCD1	0.3325
ZBTB7C	0.2445
AP2S1	-0.376375
P15RS	-0.1667
VAT1	0.1013
SHANK3	1.431
TUFM	-0.7225
THEG	1.6215
KRT34	-0.7265
SGSM3	0.305875
TOMM22	-0.449125
SOCS3	1.82766666666667
CPO	-0.2955
POP4	0.11875
BHLHB3	2.62275
MALL	2.7045
OR1B1	0.156
PARK2	0.3085
GPR124	0.138625
LCE1E	0.1965
RUVBL2	-0.35225
CGRRF1	-0.3966
ACPL2	-0.117
WNT10B	-1.6115
BAIAP2L2	-0.35075
ISCA1	0.0875
C1orf125	1.051375
RPAP1	-1.2105
RAI16	0.3145
RPL27	-0.743875
NLRP9	-0.343
EPN1	0.4765
LOC388610	-0.31825
SLC35A1	0.393
GAL	-0.436
SLC14A2	0.03975
RDH11	-0.921833333333333
FAM138F	-0.5625
AUH	-0.87525
FLJ40243	0.54275
C14orf129	-0.285333333333333
MBD2	-0.583666666666667
ABHD14B	0.43225
PIGT	-0.08225
ALS2CR4	-0.095
ALAS1	0.6426
FOXO1	0.716833333333333
CRLF3	-0.27375
C20orf107	-0.2765
FARS2	0.3405
CCDC28A	-0.9455
NPHP3	-1.3775
OR13F1	0.4405
TSEN54	0.642
DEFB106B	0.3966
OR8B4	0.52
STH	-1.01975
ZC3H14	-0.4195
CBX2	-0.344
TMEM49	-0.87575
C6orf21	0.8405
FLJ20920	-0.813875
CRTAP	-0.396142857142857
DDX50	-0.16825
STYXL1	-0.59225
BLVRB	-1.5
LOC147650	-0.265333333333333
MMP24	-0.02525
GRID1	1.70933333333333
BANF1	0.0835
CTAGEP	0.104
HMBS	-1.5135
SLC25A24	-0.308
C14orf50	0.2555
MRO	1.34783333333333
SLC25A15	-0.30675
FAM84B	0.5766
TDP1	-0.496
C16orf78	-0.0683333333333333
C11orf57	0.350125
RFK	-0.483625
ZFYVE9	0.28275
STCH	-0.5806
WIBG	-0.3125
LOC283871	-0.589833333333333
GBA2	-0.9355
NDUFB3	-0.48725
HSD17B13	-0.835
GRIN3A	0.873
FMNL1	-0.748333333333333
SEPT7	-0.0397
GNLY	2.517
GRAMD1C	-1.60383333333333
ZNF165	0.813
USP38	0.36775
FAM83A	-1.50266666666667
C14orf24	0.4895
ARMCX3	0.930625
ARHGDIB	0.7785
AK1	0.011125
KIAA1045	1.28275
DNAJB13	-0.197833333333333
NEU2	0.114
HIST1H4B	-0.433166666666667
FAM20B	0.6072
HES2	1.40471428571429
FAM73B	-0.876
LOC388381	-0.39775
INTS7	-0.000272727272727268
AMPH	0.5135
ZNF775	-0.47325
UCKL1	-0.1585
C10orf97	0.4875
C1orf161	0.04675
ALDH1L1	0.305
FLJ39378	-0.545875
SLC23A1	-2.9795
RBM4B	0.172
THAP4	0.2985
OGFRL1	2.742
KIAA0831	-0.4575
PPP1R15A	0.786833333333333
C1orf96	0.827428571428572
C12orf11	-1.85625
BMF	0.91925
MAN1A1	-0.29375
KIAA1600	-0.223166666666667
NLGN4X	-0.38825
ALOX12	2.13283333333333
RB1CC1	0.6846
NEIL2	0.644
EIF4E	-0.555590909090909
ABHD5	0.46825
EXOC4	0.0821666666666667
CIP29	-0.134333333333333
BATF2	1.0735
SLC29A4	1.0155
HTR4	0.30875
EMB	0.0075
TRAF6	1.24425
LMNB1	-0.78275
FAM19A5	-0.855625
SHE	0.86875
PIK3C2B	1.308
C15orf15	-0.7341
USP15	-0.3665
TCEAL2	-0.12875
C5orf39	-0.93
PTGER2	-1.791
SLC31A1	-0.326
IFT172	0.66625
ADAM29	0.4205
GFOD1	1.96325
ST7L	-0.0996666666666667
C15orf26	-3.363
PKN3	-1.47975
CNTD1	-0.5075
COMMD1	0.428875
NTRK2	3.93741666666667
FOXN3	-0.663125
MFGE8	1.1268
PFKFB2	1.58533333333333
TAS2R4	0.21475
ENTHD1	0.596166666666667
PRMT5	-0.88125
MGC16384	-1.158125
LOC442229	-0.50375
TSKU	0.545
KRTCAP3	3.442
PDLIM1	-0.00609999999999999
KCNS2	0.19725
RNF126	0.477166666666667
CEP63	-0.555
CLIC4	0.2585
hCG_1990170	-0.123
ACR	0.8811
KLK7	5.27
ALOX5AP	2.0285
RIPK3	1.30975
TAS2R9	0.673
C19orf18	1.762
BIRC6	-0.104785714285714
ZNF16	1.6045
RFT1	0.2745
SLC8A2	-0.61125
TACC1	0.168125
ITGAD	0.627
SAMHD1	0.9615
SH3PXD2B	1.8287
EPC2	0.8365
C20orf85	0.285375
ATP13A2	0.678833333333333
KRT4	0.384
CAPNS1	0.38525
MDM2	-0.551583333333333
PCDH20	2.3725
KCNK9	0.4095
OR2C1	-0.235
KLHDC3	0.2775
IPPK	0.5755
EFHD2	-0.559375
GALR3	0.56425
NBEA	-1.44016666666667
ABCA6	1.1802
CLDN3	1.8695
AKT2	-0.558642857142857
EGFR	0.7903
RBM16	0.2445
ZDHHC3	0.688
SLC25A4	-2.05583333333333
CYB5B	-1.65333333333333
CPXM1	-0.1935
NDRG1	-0.0426923076923077
FLJ43826	-0.471
OR5L2	0.079
FARP2	0.0686
MRPL46	-1.0885
LDHAL6B	-0.123333333333333
MAPKAPK3	0.878
NCAM2	-2.6195
PRKD2	0.459333333333333
ZFP36L1	0.1328
CYSLTR1	-1.86275
OR4C3	0.43425
HIST1H2AJ	1.9275
CCNB2	-1.339
ZNF10	-0.384375
TMEM175	0.527
FAM134A	0.762333333333333
TIGD4	-1.2635
PCNP	-0.936
MGC39715	-0.5415
LQK1	-1.37775
CREB1	0.4844
TMPRSS3	1.30025
C4orf32	0.37575
LAT	-2.57658333333333
KCNA3	0.3365
SKIV2L2	-0.468
ROPN1B	4.43375
tcag7.23	-0.754
CDT1	-2.266375
ZHX2	0.96175
CD28	-4.368
ZNF624	0.07575
SEPT2	-0.11675
SOHLH2	-1.70671428571429
MCOLN3	1.810875
UNQ1945	0.345
MASP2	-1.141
ZNRF3	0.2387
GPATCH3	-0.366
AGL	-0.4545
QRICH2	-0.3725
PSD4	0.354166666666667
CCNB1IP1	-0.63375
ENPP7	0.309
OBFC1	0.06975
KCNG3	-2.061
C14orf79	0.452083333333333
ENPEP	1.4125
SCT	1.1045
SKI	0.933125
SEC61G	0.28725
CAPN11	-0.54425
ATXN7L3	0.52975
DBNDD1	0.377
FAIM	0.74625
ANKRD36	-0.772
GABRP	5.1585
TACSTD2	2.33616666666667
EIF3J	0.05025
PPP2R2A	-0.5005
TEKT4	-1.4815
PVALB	-4.44516666666667
F10	-3.37566666666667
FAM134C	0.4327
COMP	3.78225
EFCBP1	-2.917875
SCLT1	0.717125
TAL1	-1.7516
ACSL1	0.248
ABCC5	0.444833333333333
ABL1	0.124
RBBP7	-0.28
PTPRG	-0.866
NCOR1	-0.1364
SPINK4	-2.7895
TXNRD1	-0.8044
TNRC15	1.060375
C9orf138	0.562875
UBE2H	0.4825
BRDT	-0.148833333333333
C8orf31	0.8875
CCNE2	-1.643
SLC6A8	-0.3465
CALCR	-4.5605
PPP1CB	1.222
ABHD8	-0.09975
ARF5	0.761
SLC24A4	0.36375
CCT3	0.8335
ZNF121	0.988125
SLC3A2	-0.1399
OR13A1	0.0085
SLC5A10	0.0305
RAD50	-0.387
IER5	0.913625
MTHFD1L	-0.6115
MBTPS2	-0.0956666666666667
MVK	-0.4735
NCL	0.7549
PSMD10	-0.381
MOBP	0.17
FLJ32894	0.0255
HRH1	-0.0218333333333333
C5orf30	-0.07775
NUDT16L1	-0.202
RASGRP3	3.34933333333333
PRKRIP1	-0.5599
CCDC75	0.17
LOC253970	-0.02875
KIAA1239	-0.016
MED21	-0.494
SYT11	-0.0599166666666667
NTSR2	-0.0025
EGFL11	0.1425
CXorf59	1.0595
OR2A25	-0.21175
SPTBN2	0.889
LRMP	-2.2035
RNF111	-0.4425
PTH	0.15
LOC619208	-0.136333333333333
KIAA0895	1.61125
RANBP5	0.34275
P2RY10	0.117333333333333
NME5	1.35183333333333
DDX21	0.326
LRSAM1	0.592
HDAC11	1.07283333333333
VMO1	2.5675
NOLA2	-0.11
ADAR	1.2035
MTO1	-0.947166666666667
SF4	0.326333333333333
P2RX1	0.00416666666666666
HBM	0.19325
EN2	0.8005
C14orf172	0.4725
TM9SF2	0.2335
INHBE	-1.121
TCTE3	0.706083333333333
TOX2	-3.9275
CTAGE3	0.085625
HBB	2.379
MED15	-0.201166666666667
CASR	0.1845
C6orf66	0.179166666666667
MTPN	0.28625
UNC50	-0.91525
C21orf33	0.05875
IRF2	0.5505
PGR	-3.12716666666667
GPR84	2.04
CROCCL1	-1.819
SRPX	-2.0145
BRE	-0.0518333333333333
FGF10	0.726
SDC3	0.188833333333333
ZRSR1	0.238333333333333
DKFZP434P211	-0.63625
SOX6	1.2785
RPUSD2	-0.0525
C14orf173	0.321083333333333
MAPK11	-0.1085
TBC1D22A	0.805
FAM123A	-0.9095
COL4A6	-3.83283333333333
TOMM70A	0.10025
NAB1	0.288625
MGC16385	-0.465625
TSPAN18	-0.417333333333333
MED31	-1.07875
PLG	-0.855
CAPSL	0.019
ZNF532	1.1067
ASB14	0.872
CA8	-2.8605
NUDT16P	-0.831166666666667
SLFN11	-2.023
LRRIQ2	-0.33975
NOL7	-0.3075
BRMS1L	-0.781125
JARID1A	0.636166666666667
PANK2	-0.28675
ICAM3	-1.19975
MDS1	-0.72275
TAF8	-1.11175
RNF139	0.43575
ZNF594	-0.829333333333333
ADAM8	1.802625
SFTPC	-0.323
MAN2B2	-0.01775
RGS12	0.1548125
EIF1AY	-5.14725
LRRIQ1	0.283333333333333
GPR150	0.73525
CCDC21	-1.04166666666667
PRRG3	0.242
SAA4	-2.663
RAPGEF5	2.44475
ZCCHC2	0.2035
MGC39372	0.555
PPP4R2	0.464
CDCA2	1.42033333333333
OR4D5	1.13616666666667
PTGFRN	1.1868
SIGLEC5	1.32166666666667
C19orf61	-0.614
NMUR2	-0.054
KIAA1586	-1.044
DAGLA	0.463833333333333
CHCHD6	0.02325
GPR32	0.61
NEUROD6	0.41275
SLC2A4RG	0.1804375
CA5B	-0.02225
FBXL3	0.66525
MPHOSPH9	-2.11625
HMG2L1	0.26175
HCN4	0.267166666666667
CEACAM19	1.758
SH2D4B	0.512833333333333
HFE2	-0.581
TGM4	-0.459333333333333
LYPD2	0.04325
TBC1D15	-0.52275
MRPS21	0.9278
NONO	-0.1541
CLEC5A	1.568625
ITCH	0.3023
MGAT3	-0.6615
MBP	-0.35375
RPP25	0.29825
SOSTDC1	2.4245
HRC	-2.1785
TRIM48	0.605
TMEM133	0.886
ECEL1P2	-1.51325
HOXC11	-0.584
DOK5	0.2605
HELZ	-0.101166666666667
LOC348180	0.14875
MGC33894	0.17575
ADRB3	0.3305
DMD	-0.173666666666667
PTRH2	0.84875
MPEG1	2.212
NDUFA12	-0.771833333333333
KRTAP2-4	0.67375
STAMBPL1	-1.45883333333333
ADCY2	1.74883333333333
UNQ6125	0.5105
KLHL20	0.165
SRM	-0.558
OTC	-0.19425
TMIE	0.899333333333333
SNX8	1.3955
LIPK	0.707
CHURC1	-1.23916666666667
KLC2	0.4815
HDAC1	-0.5405
FAM128A	-0.372833333333333
FNDC3B	0.1361
MTCP1	-0.0501666666666667
WFDC10B	0.2203
PCDHGB3	0.753
ATRNL1	-2.80328571428571
CAV2	0.293375
MED26	0.415333333333333
DUS1L	1.40025
CHRM3	-0.796
NEK9	-0.82975
WARS2	-0.72875
TBX22	-1.506
TOMM40	-0.057
RP6-213H19.1	0.2395
TUBGCP5	-0.451
IGSF6	3.40825
TPPP	0.357
UNQ6190	-0.2355
GSTM5	-0.43
BTD	-0.0695
PDCD1LG2	0.0388333333333333
SNRPB2	0.225
ERICH1	0.12625
APOA4	-1.79775
HOXA11	-1.104
NARG1	-0.412875
MKX	-0.78375
RAB28	-0.654357142857143
PKP3	1.829
SH3GL2	-4.1925
CTSO	2.0725
RPN2	0.6550625
IL28RA	-0.5876
SFMBT1	-0.119
WDR57	-1.63425
FER1L3	0.996083333333333
HSF5	-0.027
TTC9B	0.0835
C4BPA	-4.1385
ALB	-4.961
SORBS3	0.0185
UPF2	1.213
JPH1	0.776
AGBL2	-2.4745
DOPEY1	0.867
TERF1	-0.158916666666667
KIF22	-0.998
NINJ1	-0.5425
SEC61A2	0.798916666666667
HIST1H1D	-0.533333333333333
SFXN4	-0.407
UCP3	-0.2246
ZNF703	0.496333333333333
MYL6B	-1.29975
TREM1	2.5315
OR52E6	-0.0745
CKMT2	1.66375
HLA-C	1.763375
SLC13A3	-2.13983333333333
TIMP4	-3.4815
SLIT2	0.82825
RSF1	-0.063
LONRF1	0.0450714285714286
MON1A	0.382166666666667
CACNG6	-2.0585
DPPA4	-5.76516666666667
ZSWIM3	0.3715
ZNF804A	-0.4055
CCIN	1.46
SLC25A31	0.656333333333333
KCNMB4	1.2345
RABL5	-0.148625
GALNS	-0.228
STX6	1.951875
HIST1H1C	-1.53766666666667
CIDEB	-0.777875
CASP4	-0.185166666666667
PDK3	0.3894
KCNJ11	-0.102
TPR	0.4445
ZSCAN20	-0.9615
MTX2	-0.4735
HIST1H2BH	-0.79375
LOC283767	0.3675
LYRM7	-2.25344444444444
BRD3	-0.14
HIST1H2BO	-0.73975
MAGEB10	0.8875
SLC45A1	0.5515
SERPINA3	2.1293
KIAA0143	0.994
KCNJ16	1.35333333333333
KRT79	1.087
FABP2	-0.46575
NUT	1.08975
ZNF57	0.35325
FBXL4	-0.402875
CLEC9A	-0.2405
UGT8	2.47333333333333
BMP2K	-0.12
MAPK4	-1.9295
SLC25A23	-0.1766
HINT1	-0.5711
KRTAP13-1	0.1465
SFXN5	0.0049
CHCHD2	0.70225
FAM3D	2.615
NDP	-0.2525
RHOBTB1	0.383333333333333
SLC4A4	-1.77925
RPL38	0.457
HTF9C	0.210666666666667
AP2A2	0.636375
ZBTB46	0.9975
MAP7D1	0.582875
AOX1	-2.89833333333333
CYR61	1.20841666666667
DTNA	0.880285714285714
JRKL	1.1855
TMOD3	-0.83425
EEA1	-0.3859
ADCK5	0.113
IL1R1	1.9275
KLK3	0.188857142857143
HRSP12	-0.88625
KTN1	0.159
LOH11CR2A	0.6315
RELL2	0.2345
MAB21L1	0.4245
C20orf59	-0.785833333333333
PHKB	-0.851
ADAM2	-1.57833333333333
TBC1D8B	1.21183333333333
FAM13A1	-1.01775
LAPTM4B	-0.255333333333333
LCN8	-0.0815
TMEM147	0.5975
SYT4	0.542666666666667
XPO7	-0.0625
C9orf62	0.94675
GPR75	0.215
TRIM5	0.323875
APOC1	-0.651666666666667
RNASE4	-1.72183333333333
PARD6B	-2.678625
ARID1A	-0.142166666666667
TPD52L3	-0.0117
RRAGB	1.5465
RCN2	-1.04366666666667
HIST2H2BE	-0.0463125
STARD7	0.18625
SHMT2	-0.81725
KIAA1751	0.028
MLYCD	-0.324625
LOC162632	-0.0699
UQCRH	-0.46375
RP11-217H1.1	1.1368125
SDHA	-0.345
NCLN	0.6262
ZNF17	0.4155
RCBTB2	-2.07025
VEGFB	-0.0521
RP4-747L4.3	2.07175
COLQ	-0.1452
MPN2	-1.2035
DRG2	-0.17275
KLRB1	2.14225
ALPK2	-1.92275
DNASE2B	0.32875
FLJ23834	0.108666666666667
AXUD1	1.09966666666667
SAFB	0.1925
NSUN4	0.70025
RFX2	-0.4415
MAPK8IP1	0.250333333333333
FANCD2	0.180285714285714
ANKZF1	-1.1025
C19orf50	-0.000500000000000006
DUSP8	2.05525
SENP5	0.37225
NFKBIL2	0.0185
LBR	-0.252125
IGFL1	2.554
LZTS2	1.010375
IL2RG	-0.528375
CCDC51	0.233
KLF3	-0.066125
ANKRD37	-1.736
KCTD14	-1.4415
FZR1	0.4795
SLC44A4	-2.4815
ESPL1	-0.390625
GMPR2	-1.4673
TBC1D19	-1.05583333333333
ERGIC1	-0.451259259259259
ERBB4	-1.5524
TSPAN32	-0.00883333333333334
MAP4	0.81825
GPHN	-0.5635
SLC6A2	3.990625
HIVEP1	0.9815
DFFB	0.2193
EIF4EBP2	0.143375
DMRT1	2.07525
HSPB6	-0.5725
IER2	0.714333333333333
AIFM1	0.25475
WWC2	0.238666666666667
MRPL4	0.56275
FLJ21062	-1.0945
EPB41L4A	-0.314083333333333
SH2D6	0.39575
TAF4B	-0.0375
GAL3ST3	-0.158
MALT1	-0.1075
RTDR1	-0.81625
ARVCF	0.008875
MEX3B	-0.884833333333333
FBXO16	-0.11425
KIF7	-0.696
C1QC	3.455
ZNF783	0.170666666666667
ZNF85	-0.83275
MMP13	3.062
KIAA0329	-0.238375
RTP3	-0.475
ZBED3	0.8825
CLGN	-5.215
SLC25A37	-0.030625
hCG_18290	-0.21625
OR5AS1	0.2565
SMARCC2	0.430333333333333
FAM109A	0.397
CCDC12	-0.22775
USF2	0.8154
DEPDC7	-1.6005
C20orf24	0.576
JMJD3	1.2165
DSP	3.01078571428571
SLIC1	0.223714285714286
FAM20A	1.634875
IRF2BP2	1.593125
ZNF230	-0.6195
MSN	0.610285714285714
SLC9A5	-2.444
EPDR1	-2.0293
MUSK	0.0911666666666667
ZNF434	-1.30583333333333
SMARCD1	-0.9395
ZFP106	-0.76425
ZNF347	-0.2836
GTF2E1	-0.20175
RY1	-0.419666666666667
ATAD2B	0.68425
