Hybridization REF	TCGA-AO-A0JB-01A-11R-A056-07
HPCA	-1.0065
SEC14L1	-0.367
CHFR	-0.474
EMILIN1	1.48225
NDUFS4	-1.59225
COL18A1	0.645
PDZD3	-0.0294
C9orf16	1.67166666666667
ERBB2IP	0.723166666666667
EMX2	2.395
FUS	-1.338
TF	-2.459
CLCN4	-0.991166666666667
CXorf56	-1.61075
C11orf72	1.0555
ELAC2	-0.39475
NPR1	-0.704
ASS1	-1.04283333333333
USP42	0.481
POLR2J	0.1655
SEC23IP	-0.727166666666667
UQCRC1	-0.353
LOC729603	-2.315
C1orf71	-1.178125
POLG	-1.0485
ADAM23	-2.32425
TFR2	-1.358
RICTOR	-1.3476
MGC39606	1.299
C19orf55	0.352
SNAPC1	-0.632333333333333
GNA11	0.953125
CCDC52	-1.14716666666667
FSIP1	2.4145
UPF3A	0.362125
IGSF11	-1.8196
LAGE3	-0.05625
CHST6	-2.003
UNC13B	-0.8075
TTLL4	-0.5125
ZNF687	0.687375
SDC2	-1.6138
COX7A2	-0.21325
LAMB4	-0.51625
FAM24A	0.2675
LRRTM3	-0.845833333333333
GPHB5	1.3485
OR4C13	0.559
EIF3EIP	-0.161571428571429
HABP4	-1.251
TMEM125	4.39825
CNTN2	0.246
ASNSD1	-0.223
FUT4	-1.458375
ACF	-2.018
LOC158381	-0.579
CDH8	0.038
AGPS	-0.898333333333333
C4orf18	1.664375
PECI	0.487083333333333
UNG	-1.1065
GSTP1	-1.47225
DCUN1D5	-1.78166666666667
DKFZP564J0863	-0.48325
SLC9A3R1	0.910875
BCDO2	1.512375
CHMP7	-1.307125
REM2	-1.716
DNHD1	0.481125
FKBP4	0.390875
ZNF350	1.25275
MGC11102	1.54175
BST1	-1.03475
KISS1R	4.011
NCR2	-0.547
DEFB125	0.414
UBE2W	-0.69925
KRT15	3.28625
C10orf99	0.348
SCN11A	0.350625
GFI1	-3.139
RDHE2	1.95683333333333
FHL1	-0.921333333333333
OSGEP	0.2355
GATA1	-1.94
SMC6	-2.08275
TTTY14	-0.623
LPIN3	-0.6835
RPL4	0.1635
RBPMS	-0.0599
PRPF3	-0.0383333333333333
EMR1	-1.8215
SPATA19	-0.0329999999999999
XCR1	1.068
IRX3	3.092
RBM6	-0.27475
KLF4	-1.04644444444444
UNC5CL	-1.729
SEBOX	-1.7645
BTK	-0.8975
KRCC1	0.79125
C6orf27	1.0315
SYTL5	-0.25
PRND	0.924
LOC653319	-0.816
PIGL	-0.592375
HUS1	-0.929333333333333
SFRS6	0.85425
C17orf77	-0.322
UIMC1	-0.740666666666667
FXYD2	-1.1208
LOC283152	1.7895
ZNF667	-0.6545
ZCCHC12	-0.750666666666667
TFEC	1.1153
ATP7B	-2.302
POLD2	-0.846833333333333
RG9MTD1	-0.156
ACOT2	-1.19383333333333
HIST1H4I	0.447142857142857
PPARGC1A	-1.5391
ETFA	-1.193
POLRMT	0.74325
ZNF146	-0.016875
MIA2	-3.266
KLHL6	-1.59483333333333
HOXB5	-0.18025
NENF	1.35483333333333
CUGBP1	0.571
PRSS22	2.104
CASC4	0.7847
CUL4B	-0.2492
CENPJ	-0.9114
PITX1	1.00283333333333
FLJ31033	-0.604333333333334
CELSR3	-1.06933333333333
ZNF568	-0.1345
ITSN1	-1.1583
EHBP1L1	-1.27966666666667
C19orf2	-0.154
DCTN1	-0.0975
LIN28B	-4.683
TNKS2	-1.0715
C1QBP	-0.932625
CADPS2	0.463
SRMS	0.58975
GJA9	-0.127666666666667
MGC24975	0.879666666666667
TRIM45	-0.544833333333333
TSP50	-0.3225
TCP1	-2.457
TMED7	-0.8861
CMA1	0.045
CENPL	-1.28283333333333
PTCRA	0.9045
FST	-2.8935
VWCE	-2.3395
PAWR	-0.14725
ABCC12	4.57816666666667
LDLR	-1.1218
ASTN2	0.9916
LOC441212	-0.5355
GPATCH8	0.175
TANC2	-1.12045454545455
KIF4A	-1.641
C18orf18	-1.5845
PGM1	-2.3105
KIAA0258	-0.45575
CPD	-0.9245
SNCAIP	-0.63
DCT	-3.3495
HLA-DOA	2.84645454545455
OR11L1	1.916
UPK1B	-0.582833333333333
DNAJB4	-1.33125
UGT1A8	-0.308
HIST1H4L	0.6605
PECR	-1.27483333333333
HSPA2	1.886
WFIKKN1	-1.0975
SERP1	-0.296
SYDE2	1.14525
TACR2	1.2935
NUP85	-0.744
CD177	-2.4688
LGR5	-1.633
PIGG	-1.12891666666667
PTHR1	-1.856
RAB5A	0.0104000000000001
FLJ13224	-1.6585
USP9Y	-2.2662
C7orf53	1.1245
LRP1B	-0.968
XAF1	1.9843
ABCG8	-1.095
ANKDD1A	0.5425
DAND5	-1.064
SPAG6	-0.313
LINCR	1.378
ZDHHC22	-0.895875
CCDC60	0.484
THOC7	-1.47316666666667
TCTA	0.2757
OR8K3	0.6565
NY-REN-7	0.200666666666667
B2M	-0.132833333333333
C6orf141	-0.975125
LPPR4	0.38825
SQLE	-0.67175
SEPHS1	-0.29575
BTBD14B	1.77407142857143
PLRG1	-0.40075
SPG7	-0.150375
ZNF614	-0.811
PARD6G	2.214
INPP5B	-1.1364
GRPEL2	-0.991125
PPID	0.0712
TRIM56	0.6515
UBE2J1	-1.227875
IL20RA	4.657
LOC387856	-0.66125
C1orf107	-0.262181818181818
UTS2R	3.75625
C19orf22	1.3485
SAFB2	1.23525
KIAA0652	-1.1805
KLRG1	-1.19766666666667
MS4A8B	0.756833333333333
FRAG1	-0.36525
KIAA1546	-0.9515
E2F4	-0.9204
CLEC4M	1.5928
BTBD14A	0.104
KIAA0999	0.2833
GYPA	-3.71916666666667
TAC1	0.244333333333333
TRAIP	-1.36166666666667
KIAA0232	-0.3804
ERCC8	-2.029
GPX4	1.198625
KIAA0368	-0.03575
GPR157	0.942333333333333
CTAGE4	-0.5565
C9orf30	-1.765
OR52A1	0.579
HSP90B3P	-1.356
ALG9	-0.5508
BTBD10	-0.91925
SDK2	0.479
BAIAP3	0.5655
RABGGTB	-1.03825
ANKRD40	-1.3155
KRT74	-0.215
CALCOCO2	-0.692571428571429
SNCA	-2.80925
TMSL8	-4.09525
C2orf53	0.887
ESRRB	-0.77075
ARHGAP26	2.176625
TDRD9	-1.47175
HRAS	1.19583333333333
KLRC4	-1.9905
JAGN1	0.532
BSDC1	1.46075
RNF43	-0.1377
NDUFAF1	-1.089
PHF12	0.94975
OR1L3	-0.422666666666667
FOLR2	2.0045
LYZL6	0.2102
tcag7.1260	-1.6255
WSB1	-1.77333333333333
PROS1	-0.6369
OSTN	0.347
PSMB8	-0.5525
SOCS4	-2.3055
DDIT4L	1.168
MAS1	0.04
MGC34796	1.2265
CSHL1	-0.763333333333334
TBCCD1	-0.1315
ZBTB7C	1.164
AP2S1	0.005375
P15RS	-1.34133333333333
VAT1	-0.7723
SHANK3	2.02033333333333
TUFM	-0.347166666666667
THEG	0.6095
KRT34	-1.191
SGSM3	0.03025
TOMM22	-1.130125
SOCS3	1.179
CPO	1.1425
POP4	-0.614
BHLHB3	2.00925
MALL	1.42425
OR1B1	0.332
PARK2	0.4475
GPR124	0.823125
LCE1E	0.7915
RUVBL2	0.08375
CGRRF1	-1.4596
ACPL2	-0.19025
WNT10B	-0.893625
BAIAP2L2	-0.55325
ISCA1	-0.568
C1orf125	1.287
RPAP1	-0.65625
RAI16	0.692333333333333
RPL27	-0.725625
NLRP9	0.6555
EPN1	-0.067
LOC388610	0.127875
SLC35A1	0.0717
GAL	-0.054
SLC14A2	0.854
RDH11	0.684833333333333
FAM138F	0.839
AUH	-0.1135
FLJ40243	0.471
C14orf129	-2.47816666666667
MBD2	-0.736833333333333
ABHD14B	-0.430625
PIGT	-1.27825
ALS2CR4	0.32525
ALAS1	-1.3623
FOXO1	0.756
CRLF3	-0.724
C20orf107	-0.0255
FARS2	-0.431
CCDC28A	0.071
NPHP3	-0.5245
OR13F1	0.3455
TSEN54	0.4535
DEFB106B	-0.02625
OR8B4	-0.219
STH	0.366
ZC3H14	-0.6355
CBX2	0.983
TMEM49	-2.45775
C6orf21	0.321
FLJ20920	0.74775
CRTAP	-0.576642857142857
DDX50	-0.1615
STYXL1	-0.0277500000000001
BLVRB	-0.677
LOC147650	0.190333333333333
MMP24	-0.28125
GRID1	1.8786
BANF1	0.593
CTAGEP	-1.01325
HMBS	-1.4905
SLC25A24	-1.4535
C14orf50	0.0515
MRO	-0.832
SLC25A15	-1.0505
FAM84B	0.9695
TDP1	-1.265
C16orf78	0.783333333333333
C11orf57	2.091125
RFK	-1.83675
ZFYVE9	-0.882
STCH	-2.5368
WIBG	1.401
LOC283871	-1.63816666666667
GBA2	-0.964
NDUFB3	-0.33075
HSD17B13	-1.44066666666667
GRIN3A	0.137333333333333
FMNL1	-1.10683333333333
SEPT7	-0.7949
GNLY	1.1195
GRAMD1C	2.7215
ZNF165	0.84375
USP38	1.05525
FAM83A	-2.37066666666667
C14orf24	0.508333333333333
ARMCX3	-1.2205
ARHGDIB	0.0313333333333334
AK1	0.398625
KIAA1045	0.447
DNAJB13	-0.819833333333333
NEU2	0.442
HIST1H4B	0.525333333333333
FAM20B	-0.511
HES2	0.895230769230769
FAM73B	-0.1972
LOC388381	-0.747
INTS7	-0.367
AMPH	-0.94775
ZNF775	1.58075
UCKL1	-1.16233333333333
C10orf97	-1.353
C1orf161	-0.163333333333333
ALDH1L1	-0.34075
FLJ39378	-0.0665
SLC23A1	-0.6825
RBM4B	-0.72725
THAP4	0.165166666666667
OGFRL1	1.46775
KIAA0831	-0.127125
PPP1R15A	0.521333333333333
C1orf96	0.411142857142857
C12orf11	-2.0245
BMF	0.865571428571429
MAN1A1	-1.806625
KIAA1600	-0.535333333333333
NLGN4X	-0.421
ALOX12	-1.663
RB1CC1	-0.7404
NEIL2	0.0621
EIF4E	-0.696666666666667
ABHD5	-1.27475
EXOC4	-0.4835
CIP29	0.283666666666667
BATF2	1.27225
SLC29A4	0.515375
HTR4	-0.14
EMB	-1.70075
TRAF6	-0.969
LMNB1	-1.21575
FAM19A5	-0.14575
SHE	0.6265
PIK3C2B	1.11825
C15orf15	-1.3882
USP15	0.2345
TCEAL2	3.3745
C5orf39	0.571166666666667
PTGER2	-2.27425
SLC31A1	-1.4365625
IFT172	1.24225
ADAM29	0.817666666666667
GFOD1	1.074
ST7L	0.141833333333333
C15orf26	-1.916
PKN3	-1.03075
CNTD1	0.495333333333333
COMMD1	0.063
NTRK2	3.73391666666667
FOXN3	0.12675
MFGE8	0.3238
PFKFB2	0.7945
TAS2R4	0.01075
ENTHD1	0.353
PRMT5	-1.738125
MGC16384	-1.076
LOC442229	-1.45225
TSKU	1.310375
KRTCAP3	3.631
PDLIM1	0.6193
KCNS2	0.96625
RNF126	0.9035
CEP63	0.07175
CLIC4	-1.34075
hCG_1990170	-0.708
ACR	1.275
KLK7	1.81675
ALOX5AP	0.656125
RIPK3	2.60675
TAS2R9	1.107
C19orf18	2.0895
BIRC6	-0.478642857142857
ZNF16	0.9835
RFT1	-0.69225
SLC8A2	-2.17125
TACC1	0.82025
ITGAD	1.131
SAMHD1	-0.31925
SH3PXD2B	0.4674
EPC2	1.0725
C20orf85	0.88
ATP13A2	0.3065
KRT4	0.568625
CAPNS1	-0.21675
MDM2	0.559333333333333
PCDH20	0.97725
KCNK9	0.369
OR2C1	-0.285
KLHDC3	-0.596333333333333
IPPK	-1.248
EFHD2	0.3365
GALR3	3.9175
NBEA	0.0533333333333334
ABCA6	2.3203
CLDN3	1.36066666666667
AKT2	-0.108142857142857
EGFR	-0.7766
RBM16	0.658
ZDHHC3	0.1346
SLC25A4	-2.05883333333333
CYB5B	-2.7955
CPXM1	-0.37175
NDRG1	-1.18907692307692
FLJ43826	-0.4135
OR5L2	1.718
FARP2	0.225
MRPL46	-0.0300833333333333
LDHAL6B	0.2072
MAPKAPK3	-1.05266666666667
NCAM2	-2.207
PRKD2	0.0806666666666667
ZFP36L1	1.3851
CYSLTR1	-0.89675
OR4C3	-0.01325
HIST1H2AJ	1.6715
CCNB2	-1.96211111111111
ZNF10	-0.133125
TMEM175	2.3185
FAM134A	0.431833333333333
TIGD4	-2.782
PCNP	-1.64625
MGC39715	0.872
LQK1	-1.122
CREB1	-0.5224
TMPRSS3	0.2555
C4orf32	0.242125
LAT	-1.36158333333333
KCNA3	-0.5435
SKIV2L2	-0.608
ROPN1B	0.2425
tcag7.23	0.3705
CDT1	-1.94675
ZHX2	0.84325
CD28	-4.545
ZNF624	0.495
SEPT2	-1.01425
SOHLH2	-2.28325
MCOLN3	-0.912666666666667
UNQ1945	1.7785
MASP2	0.2355
ZNRF3	-0.1702
GPATCH3	-0.15975
AGL	-0.55675
QRICH2	-1.8895
PSD4	-0.2925
CCNB1IP1	-0.80175
ENPP7	-0.308
OBFC1	-0.56025
KCNG3	-2.71225
C14orf79	0.242166666666667
ENPEP	-0.672833333333333
SCT	1.592
SKI	1.886625
SEC61G	-0.884
CAPN11	0.20625
ATXN7L3	-0.11625
DBNDD1	0.851166666666667
FAIM	-0.702
ANKRD36	1.604
GABRP	4.41366666666667
TACSTD2	2.05883333333333
EIF3J	-0.5095
PPP2R2A	-2.148
TEKT4	0.721833333333333
PVALB	-2.106
F10	-0.802
FAM134C	0.0857
COMP	5.516375
EFCBP1	-2.11475
SCLT1	1.7825
TAL1	0.1092
ACSL1	-0.00600000000000001
ABCC5	0.0658333333333333
ABL1	-0.137882352941176
RBBP7	-1.04983333333333
PTPRG	-0.795
NCOR1	-0.5897
SPINK4	4.66316666666667
TXNRD1	-2.6656
TNRC15	2.084875
C9orf138	0.222428571428571
UBE2H	0.667166666666667
BRDT	-0.412333333333333
C8orf31	0.0165
CCNE2	-2.0993
SLC6A8	-0.80275
CALCR	-3.098
PPP1CB	0.00550000000000003
ABHD8	0.65325
ARF5	1.2734
SLC24A4	-0.853333333333333
CCT3	-0.5825
ZNF121	-0.37475
SLC3A2	-0.7962
OR13A1	1.536
SLC5A10	-0.39825
RAD50	-1.90425
IER5	1.90525
MTHFD1L	-1.7555
MBTPS2	-1.93025
MVK	-0.753625
NCL	0.0947
PSMD10	-2.2455
MOBP	1.5315
FLJ32894	0.47
HRH1	0.350666666666667
C5orf30	-0.82025
NUDT16L1	0.5906
RASGRP3	2.376
PRKRIP1	0.0562
CCDC75	1.9755
LOC253970	0.724333333333333
KIAA1239	0.15875
MED21	-1.4075
SYT11	-0.0888
NTSR2	-0.0355
EGFL11	0.4665
CXorf59	0.43
OR2A25	0.0675
SPTBN2	-0.14
LRMP	-0.762333333333333
RNF111	-1.46
PTH	-0.3555
LOC619208	0.3224
KIAA0895	-0.440333333333333
RANBP5	-0.55575
P2RY10	-0.572
NME5	1.857
DDX21	-0.82975
LRSAM1	0.315
HDAC11	0.272
VMO1	1.7215
NOLA2	-0.849166666666667
ADAR	-0.4645
MTO1	-1.60116666666667
SF4	1.00416666666667
P2RX1	-2.02683333333333
HBM	1.19225
EN2	3.916
C14orf172	1.458
TM9SF2	-0.6032
INHBE	-1.60716666666667
TCTE3	0.27475
TOX2	-2.16575
CTAGE3	-0.806428571428571
HBB	5.679
MED15	-0.781166666666667
CASR	0.0043333333333333
C6orf66	-1.51566666666667
MTPN	-0.1415
UNC50	-2.08975
C21orf33	1.1145
IRF2	0.51775
PGR	0.29
GPR84	0.566
CROCCL1	-2.3315
SRPX	-1.46175
BRE	-0.588
FGF10	1.44866666666667
SDC3	1.00216666666667
ZRSR1	0.576666666666667
DKFZP434P211	-0.658142857142857
SOX6	-0.048
RPUSD2	0.018
C14orf173	0.103583333333333
MAPK11	0.869666666666667
TBC1D22A	-0.0845
FAM123A	-1.084
COL4A6	-0.891
TOMM70A	-1.60075
NAB1	0.309875
MGC16385	0.058125
TSPAN18	0.2615
MED31	-0.65375
PLG	0.13425
CAPSL	0.502
ZNF532	0.2093
ASB14	-1.2265
CA8	0.98025
NUDT16P	-1.33025
SLFN11	-1.987
LRRIQ2	-0.098
NOL7	0.098
BRMS1L	-1.441625
JARID1A	0.415166666666667
PANK2	-0.667
ICAM3	0.084
MDS1	-1.79225
TAF8	-0.37025
RNF139	0.49325
ZNF594	-0.618
ADAM8	0.563125
SFTPC	0.18375
MAN2B2	-0.0715
RGS12	0.7655
EIF1AY	-2.69888888888889
LRRIQ1	-1.42116666666667
GPR150	3.88725
CCDC21	-1.55466666666667
PRRG3	0.3995
SAA4	-1.055
RAPGEF5	1.1095
ZCCHC2	-0.447333333333333
MGC39372	-0.2005
PPP4R2	-0.652333333333333
CDCA2	-1.6324
OR4D5	0.634333333333333
PTGFRN	-0.2222
SIGLEC5	0.013
C19orf61	0.0946666666666667
NMUR2	-0.7785
KIAA1586	-0.793
DAGLA	-0.172666666666667
CHCHD6	-0.38925
GPR32	0.757
NEUROD6	0.0961666666666667
SLC2A4RG	-0.1608125
CA5B	0.32775
FBXL3	-0.027
MPHOSPH9	-3.7245
HMG2L1	-0.712
HCN4	2.24883333333333
CEACAM19	2.25725
SH2D4B	-1.03525
HFE2	-0.5435
TGM4	0.584666666666667
LYPD2	-0.76175
TBC1D15	-0.70025
MRPS21	1.064
NONO	-1.1288
CLEC5A	0.0721249999999999
ITCH	-0.1082
MGAT3	-0.612333333333333
MBP	-1.420125
RPP25	1.02925
SOSTDC1	0.673666666666667
HRC	-0.04925
TRIM48	-0.7215
TMEM133	-1.34825
ECEL1P2	-0.985
HOXC11	0.166
DOK5	-1.73175
HELZ	0.710666666666667
LOC348180	-0.22075
MGC33894	0.65525
ADRB3	0.506
DMD	0.623916666666667
PTRH2	0.0225
MPEG1	2.389
NDUFA12	-0.9005
KRTAP2-4	0.630083333333333
STAMBPL1	-2.64
ADCY2	0.306166666666667
UNQ6125	-0.736
KLHL20	0.387
SRM	-0.53175
OTC	-0.590333333333333
TMIE	0.887333333333333
SNX8	0.645
LIPK	0.2945
CHURC1	-0.06575
KLC2	1.35166666666667
HDAC1	-0.461666666666667
FAM128A	-0.175666666666667
FNDC3B	-1.8615
MTCP1	-1.2214
WFDC10B	0.0978
PCDHGB3	-0.004
ATRNL1	-3.3245
CAV2	-1.939625
MED26	0.527
DUS1L	1.999
CHRM3	-1.389875
NEK9	-0.6375
WARS2	0.2095
TBX22	null
TOMM40	0.349
RP6-213H19.1	-2.67533333333333
TUBGCP5	-2.01475
IGSF6	5.3995
TPPP	-0.028
UNQ6190	-1.232
GSTM5	0.0165000000000001
BTD	-0.548166666666667
PDCD1LG2	-0.4275
SNRPB2	-0.27
ERICH1	-0.3645
APOA4	-0.95925
HOXA11	-1.918
NARG1	0.232375
MKX	-0.770666666666667
RAB28	-1.89546153846154
PKP3	1.20825
SH3GL2	-3.216
CTSO	0.6355
RPN2	0.7845
IL28RA	0.194
SFMBT1	0.2475
WDR57	-1.138375
FER1L3	0.394
HSF5	1.0648
TTC9B	1.21475
C4BPA	-1.41333333333333
ALB	-3.51591666666667
SORBS3	0.823375
UPF2	-0.502
JPH1	0.1225
AGBL2	-3.19766666666667
DOPEY1	1.4115
TERF1	-1.0005
KIF22	0.0325
NINJ1	1.76775
SEC61A2	-0.07175
HIST1H1D	2.57266666666667
SFXN4	-0.225375
UCP3	2.013
ZNF703	2.991
MYL6B	0.76975
TREM1	0.922
OR52E6	-0.482
CKMT2	1.46275
HLA-C	1.318875
SLC13A3	-1.09866666666667
TIMP4	-0.6795
SLIT2	3.26375
RSF1	-0.0236111111111111
LONRF1	-2.14171428571429
MON1A	0.204666666666667
CACNG6	-0.349
DPPA4	-2.99016666666667
ZSWIM3	0.24725
ZNF804A	-0.302833333333333
CCIN	1.55925
SLC25A31	1.3365
KCNMB4	-0.66075
RABL5	0.334125
GALNS	-0.4261
STX6	1.25375
HIST1H1C	-0.101166666666667
CIDEB	0.41575
CASP4	0.229333333333333
PDK3	-1.3443
KCNJ11	-1.1395
TPR	0.203625
ZSCAN20	-0.632
MTX2	-0.458
HIST1H2BH	1.2035
LOC283767	-2.12875
LYRM7	-2.29511764705882
BRD3	1.06583333333333
HIST1H2BO	0.49625
MAGEB10	0.77
SLC45A1	0.09775
SERPINA3	1.1371
KIAA0143	-0.16175
KCNJ16	2.21116666666667
KRT79	-1.08725
FABP2	-0.33025
NUT	1.533
ZNF57	-0.47525
FBXL4	-1.36016666666667
CLEC9A	-0.204
UGT8	-0.572
BMP2K	-1.2
MAPK4	-3.02375
SLC25A23	0.7372
HINT1	-2.232
KRTAP13-1	1.099
SFXN5	-0.6652
CHCHD2	-0.759833333333333
FAM3D	4.5105
NDP	-1.69925
RHOBTB1	-0.255833333333333
SLC4A4	-1.64342857142857
RPL38	1.315
HTF9C	0.646
AP2A2	-0.107625
ZBTB46	-0.2235
MAP7D1	-0.2835
AOX1	-1.18833333333333
CYR61	0.190166666666667
DTNA	-1.27833333333333
JRKL	-0.17625
TMOD3	-0.98425
EEA1	-1.5828
ADCK5	1.197
IL1R1	0.207833333333333
KLK3	1.20285714285714
HRSP12	-0.2905
KTN1	-0.21775
LOH11CR2A	0.391
RELL2	-1.82125
MAB21L1	0.316
C20orf59	-0.1435
PHKB	-1.21075
ADAM2	-2.699
TBC1D8B	-0.262833333333333
FAM13A1	-1.21573333333333
LAPTM4B	-2.07841666666667
LCN8	0.8905
TMEM147	0.674
SYT4	0.713
XPO7	-1.419
C9orf62	4.18625
GPR75	0.864
TRIM5	-0.52425
APOC1	1.46516666666667
RNASE4	-1.21033333333333
PARD6B	-1.76275
ARID1A	0.208416666666667
TPD52L3	0.4875
RRAGB	-1.615
RCN2	-1.01416666666667
HIST2H2BE	0.336875
STARD7	-0.4255
SHMT2	-1.21725
KIAA1751	0.1065
MLYCD	-1.263
LOC162632	-1.3277
UQCRH	-1.17225
RP11-217H1.1	-0.0678124999999999
SDHA	-1.82533333333333
NCLN	0.7473
ZNF17	0.224666666666667
RCBTB2	-1.21025
VEGFB	-0.1662
RP4-747L4.3	-1.00675
COLQ	0.6271
MPN2	-1.321
DRG2	-0.298
KLRB1	4.80725
ALPK2	-2.04975
DNASE2B	0.28825
FLJ23834	0.0406
AXUD1	0.394666666666667
SAFB	1.2365
NSUN4	-0.106
RFX2	0.386
MAPK8IP1	-0.177166666666667
FANCD2	-0.735571428571429
ANKZF1	-0.658833333333333
C19orf50	-0.461125
DUSP8	0.6025
SENP5	0.75075
NFKBIL2	0.37775
LBR	-1.858
IGFL1	0.2575
LZTS2	0.93575
IL2RG	-0.275875
CCDC51	-1.481
KLF3	-0.1295
ANKRD37	-1.6485
KCTD14	-0.043
FZR1	0.3245
SLC44A4	2.5202
ESPL1	-0.685
GMPR2	-1.5698
TBC1D19	-1.5705
ERGIC1	0.19662962962963
ERBB4	3.088
TSPAN32	0.133545454545455
MAP4	-0.520875
GPHN	-1.281
SLC6A2	0.469375
HIVEP1	-0.48425
DFFB	0.1245
EIF4EBP2	0.71975
DMRT1	0.431
HSPB6	0.407
IER2	0.157
AIFM1	-0.0165
WWC2	-0.766166666666667
MRPL4	-0.0815
FLJ21062	1.47233333333333
EPB41L4A	1.44291666666667
SH2D6	0.49775
TAF4B	-1.104
GAL3ST3	1.1315
MALT1	-2.53266666666667
RTDR1	0.4465
ARVCF	0.350125
MEX3B	-1.9145
FBXO16	0.56225
KIF7	-1.00425
C1QC	5.506
ZNF783	0.865166666666667
ZNF85	-0.19225
MMP13	-3.803
KIAA0329	0.781
RTP3	0.793
ZBED3	0.4955
CLGN	-3.1395
SLC25A37	-0.469173913043478
hCG_18290	1.566
OR5AS1	-0.33
SMARCC2	1.40525
FAM109A	0.645833333333333
CCDC12	0.37825
USF2	0.7353
DEPDC7	-2.79575
C20orf24	-1.87066666666667
JMJD3	0.5315
DSP	0.9315
SLIC1	0.425375
FAM20A	0.802125
IRF2BP2	1.061625
ZNF230	-1.032
MSN	-0.343571428571428
SLC9A5	0.0905
EPDR1	-2.5301
