Hybridization REF	TCGA-BH-A0DP-01A-21R-A056-07
RG9MTD1	-0.2955
ACOT2	-0.657666666666667
HIST1H4I	-1.5735
PPARGC1A	-1.5893
ETFA	-1.8557
POLRMT	-0.28225
ZNF146	-0.25825
MIA2	-1.991
KLHL6	-0.615833333333333
HOXB5	-0.956125
NENF	1.06916666666667
CUGBP1	0.88875
PRSS22	1.91683333333333
CASC4	1.195
CUL4B	0.2646
CENPJ	-1.8635
PITX1	0.3045
FLJ31033	0.535
CELSR3	-1.5745
ZNF568	0.8145
ITSN1	-0.28875
EHBP1L1	-0.501666666666667
C19orf2	-0.5865
DCTN1	0.33525
LIN28B	-3.84766666666667
TNKS2	-0.993
C1QBP	-1.081625
CADPS2	3.19725
SRMS	0.4295
GJA9	0.289166666666667
MGC24975	-0.972
TRIM45	0.122
TSP50	2.06475
TCP1	-1.94025
TMED7	0.5254
CMA1	0.546
CENPL	-1.20716666666667
PTCRA	0.1915
FST	-1.7605
VWCE	-3.77475
PAWR	0.40125
ABCC12	2.3325
LDLR	-1.1982
ASTN2	1.0305
LOC441212	-0.91375
GPATCH8	-0.354
TANC2	-0.08075
KIF4A	-2.0765
C18orf18	-1.51925
PGM1	-0.48175
KIAA0258	0.41025
CPD	0.543125
SNCAIP	-0.213
DCT	-4.22266666666667
HLA-DOA	3.41209090909091
OR11L1	0.296
UPK1B	-1.33233333333333
DNAJB4	-0.260375
UGT1A8	-0.81725
HIST1H4L	-1.356
PECR	-0.568666666666667
HSPA2	2.48225
WFIKKN1	-2.102
SERP1	0.187125
SYDE2	2.2535
TACR2	0.823
NUP85	-1.13425
CD177	0.9315
LGR5	-1.641
PIGG	-0.2345
PTHR1	-1.44183333333333
RAB5A	-0.0285
FLJ13224	-0.302
USP9Y	-1.66183333333333
C7orf53	-1.4595
LRP1B	3.64025
XAF1	1.7407
ABCG8	-1.133
ANKDD1A	-0.178
DAND5	-1.872
SPAG6	6.08816666666667
LINCR	2.086
ZDHHC22	-1.74575
CCDC60	0.651
THOC7	-1.493
TCTA	0.9419
OR8K3	0.4865
NY-REN-7	-1.16475
B2M	1.39966666666667
C6orf141	-3.204375
LPPR4	2.29
SQLE	-1.549375
SEPHS1	-0.8195
BTBD14B	0.351214285714286
PLRG1	-0.565
SPG7	-0.371375
ZNF614	-0.624666666666667
PARD6G	1.23766666666667
INPP5B	-0.5847
GRPEL2	-0.14225
PPID	-0.9283
TRIM56	0.6465
UBE2J1	-0.683125
IL20RA	4.52925
LOC387856	0.46075
C1orf107	1.07241666666667
UTS2R	1.3105
C19orf22	-0.211
SAFB2	0.03775
KIAA0652	0.224125
KLRG1	-0.424833333333333
MS4A8B	2.48816666666667
FRAG1	0.59025
KIAA1546	0.23625
E2F4	-1.1493
CLEC4M	0.364
BTBD14A	-0.838
KIAA0999	-0.06
GYPA	-3.36066666666667
TAC1	0.8653
TRAIP	-1.47333333333333
KIAA0232	0.1485
ERCC8	-1.531625
GPX4	0.2015
KIAA0368	-0.400375
GPR157	-0.704833333333334
CTAGE4	1.25
C9orf30	-1.448
OR52A1	-0.0195
HSP90B3P	-0.616
ALG9	-0.2855
BTBD10	0.793
SDK2	-0.3445
BAIAP3	0.2505
RABGGTB	-0.657
ANKRD40	-0.276166666666667
KRT74	0.214
CALCOCO2	0.736
SNCA	-2.484
TMSL8	-3.232125
C2orf53	-0.376
ESRRB	-0.23925
ARHGAP26	0.617875
TDRD9	-2.04625
HRAS	-0.488833333333333
KLRC4	-2.5475
JAGN1	-0.101
BSDC1	0.40825
RNF43	0.2959
NDUFAF1	-0.28775
PHF12	0.16275
OR1L3	0.36475
FOLR2	1.83975
LYZL6	0.064
tcag7.1260	-1.3775
WSB1	-1.72533333333333
PROS1	-0.6431
OSTN	0.538
PSMB8	0.86425
SOCS4	-0.5025
DDIT4L	1.24925
MAS1	1.1205
MGC34796	1.1755
CSHL1	0.0605
TBCCD1	0.0395
ZBTB7C	0.37
AP2S1	-0.836
P15RS	-0.2619
VAT1	-0.3754
SHANK3	1.1705
TUFM	0.31
THEG	-0.4965
KRT34	-2.4615
SGSM3	0.426875
TOMM22	0.069375
SOCS3	1.767
CPO	1.9595
POP4	0.04875
BHLHB3	2.50825
MALL	1.61175
OR1B1	0.0425
PARK2	0.370333333333333
GPR124	0.65725
LCE1E	-0.324
RUVBL2	-0.522
CGRRF1	0.5039
ACPL2	-0.10675
WNT10B	-1.950125
BAIAP2L2	-1.808125
ISCA1	0.2285
C1orf125	0.945875
RPAP1	-0.87525
RAI16	0.473166666666667
RPL27	0.080125
NLRP9	-0.2295
EPN1	0.186
LOC388610	-0.69675
SLC35A1	0.3878
GAL	-3.94125
SLC14A2	0.07
RDH11	-0.862166666666667
FAM138F	-0.076
AUH	0.18025
FLJ40243	-0.3865
C14orf129	0.107666666666667
MBD2	-0.574
ABHD14B	0.18575
PIGT	-0.270625
ALS2CR4	-0.483375
ALAS1	-0.0434
FOXO1	1.42433333333333
CRLF3	-0.402375
C20orf107	-0.8025
FARS2	0.90675
CCDC28A	1.112
NPHP3	-0.8185
OR13F1	-0.187
TSEN54	-1.013
DEFB106B	0.0436
OR8B4	0.0625
STH	2.1815
ZC3H14	-0.145375
CBX2	-0.991
TMEM49	-0.4465
C6orf21	0.377
FLJ20920	1.107625
CRTAP	0.151214285714286
DDX50	-0.022
STYXL1	0.9375
BLVRB	-0.3105
LOC147650	0.654666666666667
MMP24	0.04475
GRID1	1.31916666666667
BANF1	-0.660333333333333
CTAGEP	0.4725
HMBS	-1.80275
SLC25A24	0.110666666666667
C14orf50	-0.03275
MRO	0.66
SLC25A15	-2.00475
FAM84B	0.9389
TDP1	-0.975
C16orf78	0.286666666666667
C11orf57	0.395625
RFK	-1.132
ZFYVE9	-1.4145
STCH	-1.541
WIBG	0.39475
LOC283871	-0.479333333333333
GBA2	-0.8475
NDUFB3	-0.6995
HSD17B13	-0.106333333333333
GRIN3A	0.533833333333333
FMNL1	-0.560833333333333
SEPT7	-0.1476
GNLY	2.0655
GRAMD1C	1.0265
ZNF165	-0.641
USP38	0.16725
FAM83A	-3.722
C14orf24	0.282916666666667
ARMCX3	0.896375
ARHGDIB	0.990666666666667
AK1	-0.081125
KIAA1045	-0.539
DNAJB13	-0.292166666666667
NEU2	-0.016
HIST1H4B	-1.43233333333333
FAM20B	0.2553
HES2	0.476714285714286
FAM73B	-0.34
LOC388381	-0.19425
INTS7	-0.513818181818182
AMPH	4.20625
ZNF775	0.137
UCKL1	-0.983666666666667
C10orf97	-0.47375
C1orf161	-0.01725
ALDH1L1	-0.4355
FLJ39378	-0.224625
SLC23A1	-0.725
RBM4B	0.27125
THAP4	0.315166666666667
OGFRL1	0.68075
KIAA0831	0.3085
PPP1R15A	0.474166666666667
C1orf96	-0.405928571428571
C12orf11	-2.342
BMF	0.427625
MAN1A1	-0.501375
KIAA1600	0.866
NLGN4X	1.846
ALOX12	-1.495
RB1CC1	0.1935
NEIL2	1.4141
EIF4E	-0.360727272727273
ABHD5	-0.185
EXOC4	0.495166666666667
CIP29	-0.449666666666667
BATF2	0.29875
SLC29A4	-0.636375
HTR4	-0.05925
EMB	-0.68625
TRAF6	0.5575
LMNB1	-2.91925
FAM19A5	-0.637625
SHE	2.36175
PIK3C2B	1.46775
C15orf15	-0.64
USP15	-0.0863
TCEAL2	2.63475
C5orf39	-0.775
PTGER2	0.314
SLC31A1	-0.5441875
IFT172	0.84725
ADAM29	0.4335
GFOD1	-0.05275
ST7L	0.340333333333333
C15orf26	-2.813
PKN3	-1.39725
CNTD1	2.7795
COMMD1	0.15125
NTRK2	3.9
FOXN3	0.349625
MFGE8	-0.4235
PFKFB2	0.651666666666667
TAS2R4	0.04425
ENTHD1	0.239666666666667
PRMT5	-0.814375
MGC16384	-1.308
LOC442229	-0.799
TSKU	-0.18575
KRTCAP3	1.791875
PDLIM1	1.2726
KCNS2	0.27325
RNF126	-0.696333333333333
CEP63	-0.12975
CLIC4	-0.37175
hCG_1990170	0.58525
ACR	0.3544
KLK7	3.61325
ALOX5AP	4.101625
RIPK3	2.664
TAS2R9	0.0885
C19orf18	0.591
BIRC6	-0.111
ZNF16	1.5335
RFT1	-0.649
SLC8A2	-1.0805
TACC1	1.04625
ITGAD	0.217
SAMHD1	1.08375
SH3PXD2B	1.4439
EPC2	0.97175
C20orf85	0.229625
ATP13A2	0.00899999999999999
KRT4	0.325
CAPNS1	-0.33775
MDM2	-0.56025
PCDH20	0.98425
KCNK9	-0.0275
OR2C1	0.0955
KLHDC3	-0.778666666666667
IPPK	0.3655
EFHD2	0.237375
GALR3	1.199
NBEA	1.85333333333333
ABCA6	3.1683
CLDN3	1.21433333333333
AKT2	-0.810357142857143
EGFR	-1.5057
RBM16	0.00925
ZDHHC3	0.4495
SLC25A4	-1.6425
CYB5B	-0.981666666666667
CPXM1	0.1435
NDRG1	-1.02030769230769
FLJ43826	0.19875
OR5L2	0.018
FARP2	0.5333
MRPL46	-0.848333333333333
LDHAL6B	0.233833333333333
MAPKAPK3	-0.2275
NCAM2	1.16325
PRKD2	0.570166666666667
ZFP36L1	1.6649
CYSLTR1	0.625
OR4C3	0.14925
HIST1H2AJ	0.787
CCNB2	-3.40166666666667
ZNF10	-0.409875
TMEM175	0.6425
FAM134A	1.21866666666667
TIGD4	-0.1165
PCNP	-0.4165
MGC39715	-0.18125
LQK1	-0.34325
CREB1	0.6321
TMPRSS3	1.792
C4orf32	2.291
LAT	-1.2015
KCNA3	-0.1315
SKIV2L2	-0.69325
ROPN1B	0.927
tcag7.23	-0.2385
CDT1	-2.365625
ZHX2	1.606625
CD28	-3.13325
ZNF624	0.48275
SEPT2	0.187
SOHLH2	-1.919125
MCOLN3	0.00775
UNQ1945	0.5015
MASP2	-1.443
ZNRF3	-0.0997
GPATCH3	-0.0865
AGL	-0.50775
QRICH2	-0.5095
PSD4	1.31616666666667
CCNB1IP1	-1.55975
ENPP7	-0.09725
OBFC1	-0.12325
KCNG3	-1.82425
C14orf79	1.35541666666667
ENPEP	0.978833333333333
SCT	1.602
SKI	1.096875
SEC61G	-1.75075
CAPN11	1.15225
ATXN7L3	-0.1175
DBNDD1	-1.102
FAIM	-0.36525
ANKRD36	-0.904
GABRP	3.94016666666667
TACSTD2	2.24483333333333
EIF3J	-1.25875
PPP2R2A	0.07025
TEKT4	0.567
PVALB	-2.88816666666667
F10	-2.65483333333333
FAM134C	1.0422
COMP	4.961125
EFCBP1	-2.2259375
SCLT1	0.516875
TAL1	-1.0982
ACSL1	0.7915
ABCC5	0.61425
ABL1	-0.489666666666667
RBBP7	-0.114833333333333
PTPRG	-0.525875
NCOR1	-0.2251
SPINK4	-2.44616666666667
TXNRD1	-1.7979
TNRC15	0.568
C9orf138	1.928125
UBE2H	1.14633333333333
BRDT	0.983833333333333
C8orf31	0.35125
CCNE2	-2.12145454545455
SLC6A8	-1.650625
CALCR	-3.14925
PPP1CB	0.622416666666667
ABHD8	0.055
ARF5	0.5209
SLC24A4	0.27575
CCT3	-0.2135
ZNF121	-0.435125
SLC3A2	-0.8451
OR13A1	0.3495
SLC5A10	-0.028
RAD50	0.46275
IER5	0.571125
MTHFD1L	-2.09225
MBTPS2	0.363
MVK	-0.68475
NCL	-0.2957
PSMD10	-0.688
MOBP	0.154
FLJ32894	0.1115
HRH1	-0.979833333333333
C5orf30	0.84275
NUDT16L1	0.9729
RASGRP3	3.20816666666667
PRKRIP1	-0.2719
CCDC75	-0.139
LOC253970	-0.1855
KIAA1239	0.76775
MED21	-0.45975
SYT11	0.73425
NTSR2	-0.771
EGFL11	0.1785
CXorf59	-0.2945
OR2A25	-0.252
SPTBN2	-0.40575
LRMP	-1.18466666666667
RNF111	-0.26575
PTH	0.454
LOC619208	1.04966666666667
KIAA0895	1.2085
RANBP5	-1.198875
P2RY10	0.913833333333333
NME5	4.92566666666667
DDX21	-1.466
LRSAM1	0.419
HDAC11	1.2275
VMO1	1.7
NOLA2	-0.478
ADAR	1.15066666666667
MTO1	-1.58083333333333
SF4	0.3105
P2RX1	0.00566666666666666
HBM	0.16125
EN2	1.453
C14orf172	-0.063
TM9SF2	0.0671
INHBE	-2.08316666666667
TCTE3	-0.598916666666667
TOX2	-2.86675
CTAGE3	0.122375
HBB	4.5015
MED15	-0.666333333333333
CASR	-0.155
C6orf66	-2.13683333333333
MTPN	-0.184875
UNC50	0.06575
C21orf33	-0.094625
IRF2	1.0195
PGR	3.70333333333333
GPR84	2.53825
CROCCL1	-2.40625
SRPX	-1.135
BRE	0.394
FGF10	1.54275
SDC3	0.430333333333333
ZRSR1	0.709
DKFZP434P211	0.508
SOX6	0.004
RPUSD2	-0.35225
C14orf173	-0.496333333333333
MAPK11	-0.0398333333333334
TBC1D22A	0.8745
FAM123A	-1.04
COL4A6	-0.0966666666666667
TOMM70A	0.00575
NAB1	-0.256375
MGC16385	-0.3355
TSPAN18	-0.00366666666666666
MED31	-0.8725
PLG	-0.501
CAPSL	5.3455
ZNF532	1.1607
ASB14	0.20075
CA8	-0.734
NUDT16P	0.431333333333333
SLFN11	-1.069
LRRIQ2	-0.16075
NOL7	-0.794666666666667
BRMS1L	-0.931875
JARID1A	0.376
PANK2	-0.5735
ICAM3	-0.3555
MDS1	-0.0915
TAF8	-1.08
RNF139	0.66375
ZNF594	-0.327333333333333
ADAM8	0.783625
SFTPC	-0.058875
MAN2B2	1.2345
RGS12	0.62125
EIF1AY	-5.16833333333333
LRRIQ1	0.3665
GPR150	1.4915
CCDC21	-1.52733333333333
PRRG3	0.396
SAA4	-1.797
RAPGEF5	1.66175
ZCCHC2	0.338416666666667
MGC39372	0.862
PPP4R2	0.0418333333333333
CDCA2	-2.37883333333333
OR4D5	1.01766666666667
PTGFRN	1.2434
SIGLEC5	2.48583333333333
C19orf61	-0.163666666666667
NMUR2	0.27
KIAA1586	-1.4895
DAGLA	0.8845
CHCHD6	-0.492
GPR32	0.6785
NEUROD6	0.405166666666667
SLC2A4RG	0.04075
CA5B	0.072
FBXL3	1.6425
MPHOSPH9	-1.861
HMG2L1	0.1955
HCN4	0.548666666666667
CEACAM19	-0.04675
SH2D4B	-0.2296
HFE2	-1.7455
TGM4	0.477166666666667
LYPD2	0.0235
TBC1D15	0.356
MRPS21	0.3081
NONO	-0.2291
CLEC5A	2.8565
ITCH	-0.00869999999999998
MGAT3	-0.809333333333333
MBP	0.115375
RPP25	-0.70575
SOSTDC1	0.4585
HRC	-1.8445
TRIM48	-0.0345
TMEM133	0.601
ECEL1P2	-1.55175
HOXC11	1.545
DOK5	0.2705
HELZ	0.385
LOC348180	-1.00425
MGC33894	0.216
ADRB3	0.179
DMD	0.260916666666667
PTRH2	-0.785
MPEG1	3.16783333333333
NDUFA12	-0.619833333333333
KRTAP2-4	-0.04075
STAMBPL1	-1.23133333333333
ADCY2	1.752
UNQ6125	0.315
KLHL20	0.6005
SRM	-1.35275
OTC	0.5035
TMIE	0.131833333333333
SNX8	0.3025
LIPK	0.476
CHURC1	-0.295666666666667
KLC2	0.152166666666667
HDAC1	-0.430666666666667
FAM128A	0.203666666666667
FNDC3B	-0.3726
MTCP1	-0.4545
WFDC10B	-0.029
PCDHGB3	-0.062
ATRNL1	0.1055
CAV2	-0.080375
MED26	-0.128333333333333
DUS1L	-0.49575
CHRM3	-1.6445
NEK9	0.581
WARS2	0.444
TBX22	0.358
TOMM40	-1.262
RP6-213H19.1	-1.9475
TUBGCP5	-1.02525
IGSF6	5.857
TPPP	0.684
UNQ6190	-0.321
GSTM5	1.989125
BTD	1.19466666666667
PDCD1LG2	0.128333333333333
SNRPB2	-0.664333333333333
ERICH1	0.10925
APOA4	-1.697125
HOXA11	-1.56325
NARG1	-0.66775
MKX	-0.12325
RAB28	-0.228571428571429
PKP3	0.79775
SH3GL2	-0.9365
CTSO	3.646
RPN2	-0.349625
IL28RA	0.234
SFMBT1	0.33625
WDR57	-0.534375
FER1L3	1.29908333333333
HSF5	-0.0642
TTC9B	0.04475
C4BPA	-0.588166666666667
ALB	-3.8
SORBS3	0.413625
UPF2	-0.1925
JPH1	-1.123
AGBL2	1.1055
DOPEY1	1.2035
TERF1	-0.160333333333333
KIF22	-0.388666666666667
NINJ1	1.38525
SEC61A2	-1.18641666666667
HIST1H1D	0.0954999999999999
SFXN4	-0.09775
UCP3	0.3176
ZNF703	1.29383333333333
MYL6B	-0.763
TREM1	2.1685
OR52E6	-0.0645
CKMT2	2.97425
HLA-C	2.3665
SLC13A3	-2.19566666666667
TIMP4	0.2175
SLIT2	3.22775
RSF1	0.0195555555555556
LONRF1	-0.6145
MON1A	-0.6625
CACNG6	-1.367
DPPA4	-5.134
ZSWIM3	-0.35725
ZNF804A	0.658333333333333
CCIN	1.26
SLC25A31	-0.043
KCNMB4	0.03
RABL5	1.2445
GALNS	-0.3799
STX6	0.924125
HIST1H1C	-1.10216666666667
CIDEB	-0.5995
CASP4	0.7745
PDK3	0.0975
KCNJ11	2.4565
TPR	0.284875
ZSCAN20	-0.259
MTX2	-0.37375
HIST1H2BH	-0.89625
LOC283767	2.4335
LYRM7	-1.05844444444444
BRD3	0.334666666666667
HIST1H2BO	-0.933
MAGEB10	0.1625
SLC45A1	1.80025
SERPINA3	2.81555
KIAA0143	1.152
KCNJ16	4.1135
KRT79	-0.10275
FABP2	-0.826
NUT	-0.85675
ZNF57	-0.3025
FBXL4	0.031625
CLEC9A	2.406
UGT8	-0.954333333333333
BMP2K	-0.44775
MAPK4	-2.6185
SLC25A23	-0.5332
HINT1	0.0246
KRTAP13-1	0.255
SFXN5	0.0021
CHCHD2	-0.0466666666666667
FAM3D	1.808
NDP	0.531625
RHOBTB1	0.163666666666667
SLC4A4	-1.617625
RPL38	-0.42125
HTF9C	-0.7155
AP2A2	0.6525
ZBTB46	-1.296
MAP7D1	0.237125
AOX1	-1.363
CYR61	2.54675
DTNA	-1.39214285714286
JRKL	0.35875
TMOD3	-0.719
EEA1	-0.0901
ADCK5	-0.87175
IL1R1	1.43583333333333
KLK3	0.570642857142857
HRSP12	-0.52525
KTN1	1.03775
LOH11CR2A	1.1314
RELL2	-0.389
MAB21L1	1.92525
C20orf59	-1.62466666666667
PHKB	-0.3615
ADAM2	-2.40516666666667
TBC1D8B	1.88283333333333
FAM13A1	-0.8300625
LAPTM4B	-1.98666666666667
LCN8	0.2895
TMEM147	0.215
SYT4	0.312
XPO7	-0.5645
C9orf62	1.54925
GPR75	-0.3475
TRIM5	0.926875
APOC1	1.0185
RNASE4	1.04983333333333
PARD6B	-1.16575
ARID1A	0.468416666666667
TPD52L3	0.0413333333333333
RRAGB	1.1035
RCN2	-1.57766666666667
HIST2H2BE	-0.2080625
STARD7	0.051
SHMT2	-1.0865
KIAA1751	-0.372
MLYCD	0.123375
LOC162632	-0.2161
UQCRH	-1.5405
RP11-217H1.1	0.3528125
SDHA	-0.9645
NCLN	-0.6261
ZNF17	0.555833333333333
RCBTB2	-1.2575
VEGFB	0.117
RP4-747L4.3	1.17525
COLQ	0.4514
MPN2	-0.664166666666667
DRG2	0.01675
KLRB1	5.565
ALPK2	-2.6435
DNASE2B	1.1465
FLJ23834	1.258
AXUD1	1.65983333333333
SAFB	-0.3001
NSUN4	-0.29175
RFX2	0.612666666666667
MAPK8IP1	-0.01
FANCD2	-0.877785714285714
ANKZF1	-1.3765
C19orf50	-0.495125
DUSP8	0.539
SENP5	-0.62275
NFKBIL2	-0.93675
LBR	-1.35675
IGFL1	1.2825
LZTS2	0.35775
IL2RG	-0.579375
CCDC51	0.0105
KLF3	0.2765
ANKRD37	-1.52475
KCTD14	-0.0131666666666667
FZR1	0.0841666666666667
SLC44A4	3.857
ESPL1	-1.56375
GMPR2	-0.051
TBC1D19	-0.364333333333333
ERGIC1	0.136518518518519
ERBB4	4.7756
TSPAN32	0.34925
MAP4	0.323125
GPHN	-1.11025
SLC6A2	-0.283625
HIVEP1	0.56875
DFFB	-0.2034
EIF4EBP2	0.466
DMRT1	-0.41075
HSPB6	-0.0615
IER2	1.0985
AIFM1	-0.46
WWC2	-0.0238333333333334
MRPL4	-0.64725
FLJ21062	2.324
EPB41L4A	1.55716666666667
SH2D6	-0.1175
TAF4B	-1.49975
GAL3ST3	-0.603
MALT1	-0.6615
RTDR1	0.8595
ARVCF	-0.03125
MEX3B	-1.9325
FBXO16	1.63625
KIF7	-0.542
C1QC	4.08483333333333
ZNF783	-0.275333333333333
ZNF85	-0.58625
MMP13	3.625
KIAA0329	0.4015
RTP3	-0.661
ZBED3	0.04125
CLGN	0.918
SLC25A37	-0.584958333333333
hCG_18290	0.2145
OR5AS1	-0.209
SMARCC2	0.643833333333333
FAM109A	-0.086
CCDC12	-0.284
USF2	0.5125
DEPDC7	-2.1145
C20orf24	-1.282
JMJD3	0.308
DSP	1.12707142857143
SLIC1	0.614625
FAM20A	1.06925
IRF2BP2	1.412375
ZNF230	-0.117
MSN	-0.0465
SLC9A5	-1.886
EPDR1	-2.0848
MUSK	0.0401666666666667
ZNF434	0.797
SMARCD1	-0.7405
ZFP106	-0.75975
ZNF347	0.3283
GTF2E1	-0.14825
