Hybridization REF	TCGA-BH-A0DK-01A-21R-A056-07
TEK	1.963
SLC25A46	-0.57975
LARP7	-1.4238
CD160	0.576666666666667
MT1JP	0.0978333333333333
PHF20	-0.3815
CPNE4	2.41075
GTPBP1	-0.0491428571428571
RAB33B	1.57333333333333
ALDOC	-2.598375
ZNF212	-0.35725
NUDT1	-0.859333333333333
RFPL2	-0.7935
ZNF83	-0.3305
GDPD5	-0.921125
PDCD4	2.4295
CEP350	0.60225
OR10A2	0.18875
CST7	2.51875
CIAO1	-0.8575
SELL	2.78575
OR8J3	1.008
LTBP4	0.175666666666667
SIRT6	0.34675
CCL19	4.97
PPIL1	-0.810333333333333
GBP7	0.513666666666667
STK17A	0.0319
ABR	-0.02
OR9G1	-0.021
FOXE1	-0.564625
CNGA3	-0.506
GML	0.149
CD38	0.5375
ZDHHC6	0.031
NEFH	-2.49975
CTDSP2	0.283416666666667
PGBD5	-1.75033333333333
CCNY	0.390071428571429
RMND5B	0.623166666666667
ZNF257	-2.137
FLJ22167	-0.364
EXOSC7	-1.32166666666667
ROR2	1.328125
MAOA	0.458
TNNT3	1.3985
GYPC	-0.554
C7orf33	1.0645
PLIN	4.299
LOC90826	-0.1785
RNF4	0.2621
F8A1	0.393
PLEKHG4	-2.23875
GRB2	0.15795
HIST1H2AD	0.5025
DUS3L	-0.690166666666667
EIF1	-0.7195
RP5-1077B9.4	-1.57133333333333
FPGT	1.5135
GDF10	1.2875
COQ9	-0.797
GCC2	0.3175
RARRES3	2.57375
PLXNA1	-0.7409
KIAA0100	-1.275
PMF1	0.25425
FNDC1	5.2785
HS2ST1	-0.0666666666666667
CRELD2	0.96475
C8G	-2.0845
CD82	0.5185
LIM2	-2.0345
UNQ6490	-0.542
MMP16	0.26
DRD3	-0.71625
C5orf26	-0.89075
C11orf73	-0.61975
PTP4A2	1.485875
OR4M2	0.8005
HPCA	-0.804166666666667
SEC14L1	-0.5285
CHFR	0.2145
EMILIN1	0.860625
NDUFS4	-0.12575
COL18A1	0.382375
PDZD3	-0.5564
C9orf16	0.253333333333333
ERBB2IP	0.688333333333333
EMX2	4.33575
FUS	-0.8575
TF	-3.6172
CLCN4	-0.275333333333333
CXorf56	0.02575
C11orf72	0.477
ELAC2	-0.78025
NPR1	0.14875
ASS1	-2.02733333333333
USP42	0.109625
POLR2J	-0.4275
SEC23IP	1.30333333333333
UQCRC1	-0.67125
LOC729603	-1.02475
C1orf71	-0.276375
POLG	-1.633
ADAM23	-3.28825
TFR2	-2.004
RICTOR	-0.9098
MGC39606	0.56675
C19orf55	-0.368
SNAPC1	-1.48466666666667
GNA11	0.932625
CCDC52	-0.271833333333333
FSIP1	5.414
UPF3A	-1.006625
IGSF11	-3.32716666666667
LAGE3	0.11775
CHST6	-3.187
UNC13B	0.385
TTLL4	-1.412625
ZNF687	0.145375
SDC2	-0.3603
COX7A2	0.30825
LAMB4	-0.1765
FAM24A	-0.462
LRRTM3	-0.689833333333333
GPHB5	0.0455
OR4C13	0.382
EIF3EIP	-0.031
HABP4	-0.3065
TMEM125	3.1315
CNTN2	1.046
ASNSD1	-0.042
FUT4	0.3295
ACF	-4.01275
LOC158381	-0.2485
CDH8	0.2935
AGPS	-1.10966666666667
C4orf18	3.326125
PECI	-0.2385
UNG	-0.00962499999999997
GSTP1	-2.043
DCUN1D5	-1.66283333333333
DKFZP564J0863	-1.54575
SLC9A3R1	1.22575
BCDO2	-1.196375
CHMP7	0.53575
REM2	-0.1015
DNHD1	-0.92125
FKBP4	-0.735375
ZNF350	0.1455
MGC11102	0.616375
BST1	1.4125
KISS1R	1.541
NCR2	0.035
DEFB125	0.0435
UBE2W	1.028125
KRT15	1.452875
C10orf99	0.2695
SCN11A	0.00987499999999998
GFI1	-0.9225
RDHE2	3.90766666666667
FHL1	0.625166666666667
OSGEP	-0.254666666666667
GATA1	-3.73333333333333
SMC6	-1.3165
TTTY14	-1.52175
LPIN3	-0.725
RPL4	-0.6211
RBPMS	-0.0948
PRPF3	-0.727
EMR1	-1.887
SPATA19	0.175
XCR1	0.4105
IRX3	1.9521
RBM6	-1.213
KLF4	0.782
UNC5CL	-1.4935
SEBOX	0.36
BTK	0.186
KRCC1	1.11475
C6orf27	0.411
SYTL5	-0.3785
PRND	2.219875
LOC653319	-2.149
PIGL	-1.456625
HUS1	-0.219166666666667
SFRS6	0.2155
C17orf77	0.1145
UIMC1	-0.873333333333333
FXYD2	-1.9462
LOC283152	0.3295
ZNF667	-1.00225
ZCCHC12	0.01325
TFEC	4.3108
ATP7B	1.195
POLD2	-0.744166666666667
RG9MTD1	0.26825
ACOT2	0.00333333333333332
HIST1H4I	-0.809375
PPARGC1A	-2.3405
ETFA	-1.6231
POLRMT	-0.5785
ZNF146	0.01725
MIA2	-2.542
KLHL6	-0.0388333333333333
HOXB5	-0.367
NENF	0.532666666666667
CUGBP1	-0.16625
PRSS22	1.25483333333333
CASC4	2.3893
CUL4B	0.1189
CENPJ	-1.6354
PITX1	0.4555
FLJ31033	1.21816666666667
CELSR3	-2.13066666666667
ZNF568	-0.19275
ITSN1	-0.22725
EHBP1L1	-0.749333333333333
C19orf2	-0.43125
DCTN1	0.0655
LIN28B	-3.96466666666667
TNKS2	-0.35725
C1QBP	-0.549875
CADPS2	2.162
SRMS	0.07175
GJA9	0.235
MGC24975	-0.6775
TRIM45	-0.87
TSP50	-0.2545
TCP1	-1.2155
TMED7	0.5047
CMA1	2.966
CENPL	-0.518333333333333
PTCRA	0.7395
FST	-2.758
VWCE	-4.38925
PAWR	0.74575
ABCC12	0.771
LDLR	-0.2155
ASTN2	2.7263
LOC441212	-1.473
GPATCH8	-0.1115
TANC2	0.740333333333333
KIF4A	-0.8365
C18orf18	-0.65675
PGM1	-1.12275
KIAA0258	0.659
CPD	0.7215
SNCAIP	-0.58825
DCT	-4.50133333333333
HLA-DOA	3.11681818181818
OR11L1	0.6155
UPK1B	-0.334833333333333
DNAJB4	0.262125
UGT1A8	-0.4155
HIST1H4L	-0.879
PECR	-1.61233333333333
HSPA2	2.10575
WFIKKN1	-0.9455
SERP1	0.519375
SYDE2	1.5245
TACR2	0.5935
NUP85	-0.86025
CD177	-0.1915
LGR5	-2.42
PIGG	-0.04175
PTHR1	-1.772
RAB5A	0.3225
FLJ13224	-0.2285
USP9Y	-2.23316666666667
C7orf53	-1.0565
LRP1B	3.852
XAF1	3.5499
ABCG8	-1.1615
ANKDD1A	-0.262833333333333
DAND5	-2.3675
SPAG6	0.513666666666667
LINCR	1.43625
ZDHHC22	-1.3705
CCDC60	0.268
THOC7	-1.68266666666667
TCTA	0.4604
OR8K3	0.1265
NY-REN-7	-0.63575
B2M	2.0645
C6orf141	-1.14575
LPPR4	3.11725
SQLE	-0.681875
SEPHS1	-0.45725
BTBD14B	0.737928571428571
PLRG1	-0.31975
SPG7	-0.782875
ZNF614	-0.903833333333333
PARD6G	1.43533333333333
INPP5B	-0.1902
GRPEL2	-0.283875
PPID	-0.9177
TRIM56	-0.5955
UBE2J1	-0.12
IL20RA	2.623
LOC387856	0.201
C1orf107	0.151916666666667
UTS2R	1.30025
C19orf22	0.205
SAFB2	-0.26475
KIAA0652	0.092625
KLRG1	0.4265
MS4A8B	0.4305
FRAG1	-0.608
KIAA1546	1.01175
E2F4	-1.0277
CLEC4M	0.1745
BTBD14A	-0.98775
KIAA0999	0.5101
GYPA	-3.3535
TAC1	2.6478
TRAIP	-1.59483333333333
KIAA0232	0.9716
ERCC8	-1.226
GPX4	0.721625
KIAA0368	-0.00900000000000002
GPR157	-1.49716666666667
CTAGE4	0.645
C9orf30	-1.07366666666667
OR52A1	-0.1865
HSP90B3P	0.36
ALG9	-1.1158
BTBD10	0.43725
SDK2	0.27825
BAIAP3	-0.2595
RABGGTB	-0.881625
ANKRD40	0.637833333333333
KRT74	0.989
CALCOCO2	0.604214285714286
SNCA	-3.74525
TMSL8	-3.858375
C2orf53	-0.619
ESRRB	-0.65475
ARHGAP26	0.778875
TDRD9	-3.44075
HRAS	-0.3655
KLRC4	-2.056
JAGN1	-0.046
BSDC1	1.38025
RNF43	0.6793
NDUFAF1	0.3715
PHF12	0.351
OR1L3	0.36975
FOLR2	3.07775
LYZL6	-0.156666666666667
tcag7.1260	-1.7145
WSB1	-2.172
PROS1	-0.3099
OSTN	0.4515
PSMB8	1.1055
SOCS4	-0.106125
DDIT4L	1.27025
MAS1	0.5555
MGC34796	0.91675
CSHL1	0.2785
TBCCD1	0.239666666666667
ZBTB7C	0.345
AP2S1	-0.441125
P15RS	0.5513
VAT1	-0.837
SHANK3	1.44216666666667
TUFM	-0.508166666666667
THEG	-0.62325
KRT34	-1.95466666666667
SGSM3	-0.317875
TOMM22	-0.121
SOCS3	1.85683333333333
CPO	0.654
POP4	0.232
BHLHB3	1.70025
MALL	1.64
OR1B1	0.6025
PARK2	0.611666666666667
GPR124	1.44325
LCE1E	-0.0865
RUVBL2	-0.41975
CGRRF1	0.6932
ACPL2	-0.1395
WNT10B	-1.3445
BAIAP2L2	-2.37375
ISCA1	0.349
C1orf125	-0.22275
RPAP1	-1.374
RAI16	0.0783333333333333
RPL27	-0.91425
NLRP9	0.2375
EPN1	0.463
LOC388610	-2.374875
SLC35A1	0.5953
GAL	-4.6895
SLC14A2	0.21125
RDH11	-0.4295
FAM138F	-0.6395
AUH	0.016
FLJ40243	-0.0585
C14orf129	0.498833333333333
MBD2	0.149333333333333
ABHD14B	-0.404375
PIGT	0.803375
ALS2CR4	-0.0365
ALAS1	-0.4656
FOXO1	1.72733333333333
CRLF3	-0.41775
C20orf107	0.267
FARS2	0.502
CCDC28A	0.69875
NPHP3	-0.8465
OR13F1	0.411
TSEN54	-0.809
DEFB106B	0.0877
OR8B4	0.762
STH	-1.5785
ZC3H14	-0.327875
CBX2	-1.0655
TMEM49	-0.687
C6orf21	0.3035
FLJ20920	1.542125
CRTAP	-0.229785714285714
DDX50	-0.3825
STYXL1	0.163
BLVRB	0.8265
LOC147650	-1.25283333333333
MMP24	0.03675
GRID1	2.08183333333333
BANF1	0.178333333333333
CTAGEP	0.20525
HMBS	-3.12125
SLC25A24	0.245666666666667
C14orf50	0.42775
MRO	2.11183333333333
SLC25A15	-1.371
FAM84B	0.7479
TDP1	-0.697
C16orf78	-0.0673333333333334
C11orf57	0.16775
RFK	-0.22475
ZFYVE9	0.038
STCH	0.3175
WIBG	0.791
LOC283871	-0.662333333333333
GBA2	-0.9718
NDUFB3	-0.0565
HSD17B13	-0.226
GRIN3A	1.77316666666667
FMNL1	0.154333333333333
SEPT7	-0.2964
GNLY	4.343
GRAMD1C	1.08766666666667
ZNF165	1.54025
USP38	1.53375
FAM83A	-3.7025
C14orf24	1.21808333333333
ARMCX3	1.46075
ARHGDIB	0.48
AK1	-0.204125
KIAA1045	0.50775
DNAJB13	-0.7875
NEU2	0.8385
HIST1H4B	-0.966833333333333
FAM20B	-0.2879
HES2	1.09785714285714
FAM73B	-0.7459
LOC388381	-0.08125
INTS7	-0.0464545454545455
AMPH	1.23825
ZNF775	0.0913749999999999
UCKL1	-0.728
C10orf97	0.29025
C1orf161	-0.37325
ALDH1L1	-0.02975
FLJ39378	0.104875
SLC23A1	-2.4395
RBM4B	-0.36725
THAP4	0.383833333333333
OGFRL1	1.0045
KIAA0831	0.354125
PPP1R15A	0.120166666666667
C1orf96	0.483428571428571
C12orf11	-2.30025
BMF	0.38425
MAN1A1	-0.083625
KIAA1600	1.13966666666667
NLGN4X	-0.79175
ALOX12	-1.74266666666667
RB1CC1	0.3867
NEIL2	0.6298
EIF4E	0.158681818181818
ABHD5	-0.7395
EXOC4	0.017
CIP29	-0.689
BATF2	1.76425
SLC29A4	-0.327875
HTR4	0.67225
EMB	0.08675
TRAF6	0.3585
LMNB1	-1.8955
FAM19A5	0.019625
SHE	2.3585
PIK3C2B	0.8105
C15orf15	-0.352
USP15	0.0039
TCEAL2	0.67525
C5orf39	-0.155166666666667
PTGER2	0.40925
SLC31A1	-0.707875
IFT172	-0.2195
ADAM29	1.778
GFOD1	0.13275
ST7L	0.578666666666667
C15orf26	-2.67975
PKN3	-1.55375
CNTD1	0.6025
COMMD1	0.314875
NTRK2	3.44958333333333
FOXN3	0.87125
MFGE8	0.2527
PFKFB2	0.0893333333333333
TAS2R4	-0.769
ENTHD1	2.13733333333333
PRMT5	-1.148625
MGC16384	-1.563125
LOC442229	-0.9675
TSKU	-0.420375
KRTCAP3	2.67975
PDLIM1	0.7316
KCNS2	0.14325
RNF126	-0.170666666666667
CEP63	0.282625
CLIC4	-0.048875
hCG_1990170	1.8625
ACR	0.7246
KLK7	1.95575
ALOX5AP	2.9135
RIPK3	4.23575
TAS2R9	0.212
C19orf18	1.422
BIRC6	0.156
ZNF16	1.0875
RFT1	-0.96575
SLC8A2	-0.953
TACC1	0.49625
ITGAD	2.72625
SAMHD1	2.31475
SH3PXD2B	0.8323
EPC2	1.05225
C20orf85	-0.10475
ATP13A2	0.616166666666667
KRT4	0.513
CAPNS1	0.26675
MDM2	0.642583333333333
PCDH20	0.4795
KCNK9	0.1835
OR2C1	0.143
KLHDC3	-0.492333333333333
IPPK	0.6425
EFHD2	-0.19
GALR3	1.35275
NBEA	-0.0371666666666667
ABCA6	3.803
CLDN3	2.19866666666667
AKT2	0.0494285714285714
EGFR	-0.8751
RBM16	0.65225
ZDHHC3	-0.1045
SLC25A4	-0.0375
CYB5B	-1.6115
CPXM1	0.6575
NDRG1	-0.986769230769231
FLJ43826	0.2625
OR5L2	-0.0801666666666666
FARP2	0.1941
MRPL46	-0.54275
LDHAL6B	-0.339833333333333
MAPKAPK3	-0.852833333333333
NCAM2	-0.08675
PRKD2	0.561
ZFP36L1	1.2192
CYSLTR1	0.7115
OR4C3	0.274666666666667
HIST1H2AJ	0.533
CCNB2	-1.66177777777778
ZNF10	-0.507
TMEM175	0.863
FAM134A	1.0195
TIGD4	-0.428
PCNP	-0.36725
MGC39715	1.5385
LQK1	-1.0075
CREB1	0.9034
TMPRSS3	-1.052
C4orf32	1.503375
LAT	-0.303666666666667
KCNA3	0.6225
SKIV2L2	-0.469
ROPN1B	-1.44975
tcag7.23	-0.4715
CDT1	-2.7665
ZHX2	1.113625
CD28	-1.27275
ZNF624	0.8655
SEPT2	0.0725833333333333
SOHLH2	-0.98875
MCOLN3	-0.986571428571429
UNQ1945	0.7475
MASP2	-0.923
ZNRF3	0.1848
GPATCH3	-0.721
AGL	0.36325
QRICH2	-0.964
PSD4	0.959333333333333
CCNB1IP1	-1.8425
ENPP7	0.188
OBFC1	0.0585
KCNG3	-2.14475
C14orf79	0.203833333333333
ENPEP	3.2945
SCT	1.422
SKI	0.754
SEC61G	-0.25525
CAPN11	1.2035
ATXN7L3	-0.33875
DBNDD1	-0.288
FAIM	0.37025
ANKRD36	-0.761
GABRP	3.42016666666667
TACSTD2	1.90133333333333
EIF3J	-0.643
PPP2R2A	-0.0785
TEKT4	-1.33016666666667
PVALB	-3.906
F10	-1.94583333333333
FAM134C	0.6736
COMP	4.4845
EFCBP1	-1.9133125
SCLT1	1.311625
TAL1	-0.8948
ACSL1	1.05875
ABCC5	0.369333333333333
ABL1	-0.126
RBBP7	-0.0725833333333333
PTPRG	-0.6145
NCOR1	-0.5225
SPINK4	-1.24483333333333
TXNRD1	-0.3775
TNRC15	0.9115
C9orf138	0.376
UBE2H	1.35916666666667
BRDT	1.19483333333333
C8orf31	-0.3515
CCNE2	-1.78590909090909
SLC6A8	-1.60475
CALCR	-3.36025
PPP1CB	0.40175
ABHD8	0.27025
ARF5	0.5056
SLC24A4	0.94925
CCT3	-0.3215
ZNF121	0.81225
SLC3A2	-0.9053
OR13A1	0.5425
SLC5A10	0.1635
RAD50	-0.526
IER5	1.03225
MTHFD1L	-2.126125
MBTPS2	-0.2695
MVK	-0.233375
NCL	-0.1293
PSMD10	-0.67
MOBP	0.2415
FLJ32894	-0.264
HRH1	-0.160666666666667
C5orf30	0.926
NUDT16L1	0.4701
RASGRP3	4.75066666666667
PRKRIP1	-0.3937
CCDC75	0.3975
LOC253970	0.54775
KIAA1239	0.89425
MED21	-0.2175
SYT11	1.30816666666667
NTSR2	-0.3815
EGFL11	0.856
CXorf59	0.847
OR2A25	0.51675
SPTBN2	-1.6355
LRMP	-0.341333333333333
RNF111	0.328
PTH	-1.2275
LOC619208	0.319333333333333
KIAA0895	0.0955
RANBP5	-1.28425
P2RY10	3.04466666666667
NME5	0.829166666666667
DDX21	-1.144
LRSAM1	0.309
HDAC11	1.13283333333333
VMO1	1.995
NOLA2	0.0511666666666667
ADAR	1.28583333333333
MTO1	-0.802166666666667
SF4	0.0573333333333333
P2RX1	0.0663333333333333
HBM	-0.0145
EN2	1.5455
C14orf172	-0.13375
TM9SF2	0.3099
INHBE	-1.37633333333333
TCTE3	-0.12775
TOX2	-1.291
CTAGE3	0.41725
HBB	4.0883
MED15	-0.754
CASR	0.72725
C6orf66	-1.26716666666667
MTPN	-0.009125
UNC50	-0.5975
C21orf33	0.0905
IRF2	1.40475
PGR	2.38516666666667
GPR84	2.513
CROCCL1	-3.2225
SRPX	-0.68175
BRE	-0.108333333333333
FGF10	1.154
SDC3	0.671833333333333
ZRSR1	0.187333333333333
DKFZP434P211	-0.112375
SOX6	0.5685
RPUSD2	-0.3575
C14orf173	-0.0990833333333333
MAPK11	-0.2825
TBC1D22A	0.7585
FAM123A	-1.079
COL4A6	-2.1515
TOMM70A	0.02
NAB1	-0.33125
MGC16385	-1.0285
TSPAN18	0.0363333333333333
MED31	-0.19675
PLG	-0.389
CAPSL	3.285
ZNF532	0.9353
ASB14	-0.20425
CA8	-2.53
NUDT16P	1.76183333333333
SLFN11	-0.095
LRRIQ2	0.76525
NOL7	-0.349
BRMS1L	-0.81225
JARID1A	0.0581666666666667
PANK2	-0.03675
ICAM3	0.48
MDS1	-0.71625
TAF8	-0.37675
RNF139	1.064
ZNF594	0.871166666666666
ADAM8	2.45725
SFTPC	-0.39175
MAN2B2	1.603
RGS12	1.0398125
EIF1AY	-4.87108333333333
LRRIQ1	-1.538
GPR150	1.6255
CCDC21	-1.76516666666667
PRRG3	0.16575
SAA4	-2.97925
RAPGEF5	1.781875
ZCCHC2	0.823
MGC39372	1.105
PPP4R2	-0.2645
CDCA2	-1.27866666666667
OR4D5	0.138833333333333
PTGFRN	0.8421
SIGLEC5	2.23216666666667
C19orf61	-0.517666666666667
NMUR2	-0.2705
KIAA1586	-1.76616666666667
DAGLA	-0.1585
CHCHD6	-0.21175
GPR32	0.5025
NEUROD6	-0.199
SLC2A4RG	0.5115
CA5B	0.13275
FBXL3	1.19475
MPHOSPH9	-1.07025
HMG2L1	0.708
HCN4	0.766166666666667
CEACAM19	-0.2695
SH2D4B	0.868166666666667
HFE2	-1.135
TGM4	0.26825
LYPD2	-0.31525
TBC1D15	0.18075
MRPS21	-0.8685
NONO	-0.7001
CLEC5A	0.916375
ITCH	-0.0771
MGAT3	-0.7765
MBP	0.0125000000000001
RPP25	-1.0185
SOSTDC1	-0.39125
HRC	-0.75825
TRIM48	-0.0195
TMEM133	0.78525
ECEL1P2	-1.3695
HOXC11	1.0985
DOK5	0.10475
HELZ	1.12483333333333
LOC348180	-1.141
MGC33894	0.37775
ADRB3	-0.0275
DMD	0.22925
PTRH2	0.29625
MPEG1	3.98916666666667
NDUFA12	0.0575
KRTAP2-4	-0.0178333333333333
STAMBPL1	-0.8655
ADCY2	0.356
UNQ6125	0.353
KLHL20	0.235333333333333
SRM	-1.27025
OTC	-0.06025
TMIE	0.4745
SNX8	0.50775
LIPK	0.752
CHURC1	-0.00749999999999996
KLC2	0.377666666666667
HDAC1	-0.667166666666667
FAM128A	1.109
FNDC3B	0.073
MTCP1	-0.3605
WFDC10B	1.0207
PCDHGB3	0.4095
ATRNL1	-1.7229
CAV2	0.1555
MED26	0.553
DUS1L	0.31125
CHRM3	-1.795375
NEK9	0.5375
WARS2	0.07825
TBX22	-1.0765
TOMM40	-0.97825
RP6-213H19.1	-0.357333333333333
TUBGCP5	-0.3275
IGSF6	5.7105
TPPP	0.249166666666667
UNQ6190	-0.381
GSTM5	2.140125
BTD	0.958166666666667
PDCD1LG2	1.10733333333333
SNRPB2	-0.124
ERICH1	-0.1465
APOA4	-1.792
HOXA11	-2.333
NARG1	-0.106625
MKX	-1.4955
RAB28	-0.632714285714285
PKP3	-0.23275
SH3GL2	-3.199
CTSO	4.495
RPN2	0.6026875
IL28RA	-0.0160000000000001
SFMBT1	-0.37075
WDR57	-1.337
FER1L3	1.09166666666667
HSF5	0.762666666666667
TTC9B	0.7935
C4BPA	-3.93216666666667
ALB	-4.51192857142857
SORBS3	0.6445
UPF2	0.231
JPH1	-1.0465
AGBL2	-0.3885
DOPEY1	1.4935
TERF1	0.224666666666667
KIF22	0.0508333333333333
NINJ1	1.18775
SEC61A2	-0.37275
HIST1H1D	-0.0243333333333333
SFXN4	-0.721625
UCP3	0.2386
ZNF703	1.431
MYL6B	-1.32025
TREM1	0.91575
OR52E6	0.234
CKMT2	2.6905
HLA-C	2.68675
SLC13A3	-2.1825
TIMP4	0.44575
SLIT2	3.18875
RSF1	-0.115722222222222
LONRF1	-0.624857142857143
MON1A	-1.31183333333333
CACNG6	-1.67483333333333
DPPA4	-5.32716666666667
ZSWIM3	-0.17525
ZNF804A	0.604666666666667
CCIN	1.55925
SLC25A31	-0.3385
KCNMB4	-0.527
RABL5	0.043125
GALNS	-0.4836
STX6	0.98575
HIST1H1C	-0.591666666666667
CIDEB	-0.578125
CASP4	0.24
PDK3	-0.6002
KCNJ11	1.004
TPR	0.04425
ZSCAN20	-0.6075
MTX2	-0.13975
HIST1H2BH	0.27575
LOC283767	0.34575
LYRM7	-1.43458823529412
BRD3	0.732333333333333
HIST1H2BO	-0.38625
MAGEB10	0.2
SLC45A1	1.63975
SERPINA3	1.57025
KIAA0143	0.82475
KCNJ16	1.2925
KRT79	-0.05675
FABP2	-1.674
NUT	-0.482
ZNF57	0.06025
FBXL4	0.62675
CLEC9A	2.858
UGT8	-0.904166666666667
BMP2K	0.69775
MAPK4	-3.6075
SLC25A23	-0.7159
HINT1	0.1369
KRTAP13-1	0.452
SFXN5	-0.271
CHCHD2	0.425666666666667
FAM3D	2.1635
NDP	-3.261625
RHOBTB1	-0.133333333333333
SLC4A4	-0.72525
RPL38	0.24
HTF9C	-1.27533333333333
AP2A2	0.0445
ZBTB46	-0.712
MAP7D1	0.25725
AOX1	0.139833333333333
CYR61	1.79491666666667
DTNA	-0.676214285714286
JRKL	-0.16825
TMOD3	0.08675
EEA1	-0.1854
ADCK5	-0.73925
IL1R1	1.35766666666667
KLK3	0.871785714285714
HRSP12	-0.69325
KTN1	0.3595
LOH11CR2A	0.1509
RELL2	-1.87225
MAB21L1	2.316
C20orf59	-0.486
PHKB	-0.5675
ADAM2	-0.682333333333333
TBC1D8B	1.30866666666667
FAM13A1	-0.8305625
LAPTM4B	-1.24075
LCN8	-0.2005
TMEM147	0.326
SYT4	0.7465
XPO7	-0.5785
C9orf62	1.8985
GPR75	-0.382
TRIM5	0.525
APOC1	0.252666666666667
RNASE4	0.879166666666667
PARD6B	-0.747125
ARID1A	0.248916666666667
TPD52L3	-0.202111111111111
RRAGB	1.04233333333333
RCN2	-0.0995
HIST2H2BE	0.9995625
STARD7	0.02375
SHMT2	-1.48775
KIAA1751	-0.07525
MLYCD	-0.08675
LOC162632	0.1003
UQCRH	-1.23475
RP11-217H1.1	0.5228125
SDHA	-1.082
NCLN	-0.2488
ZNF17	0.622833333333333
RCBTB2	-1.25225
VEGFB	-0.5572
RP4-747L4.3	0.1855
COLQ	0.4312
MPN2	-1.30733333333333
DRG2	-0.671
KLRB1	7.041
ALPK2	-2.48675
DNASE2B	2.04775
FLJ23834	-0.553166666666667
AXUD1	1.59166666666667
SAFB	0.0381
NSUN4	-0.626
RFX2	0.286
MAPK8IP1	-0.917166666666667
FANCD2	-1.09164285714286
ANKZF1	-1.57083333333333
C19orf50	-0.496375
DUSP8	0.937375
SENP5	-0.0605
NFKBIL2	0.2475
LBR	-0.88725
IGFL1	1.7765
LZTS2	0.727125
IL2RG	1.109625
CCDC51	-0.96275
KLF3	0.417
ANKRD37	-1.42275
KCTD14	-0.689
FZR1	0.455833333333333
SLC44A4	4.0934
ESPL1	-0.9275
GMPR2	-0.74
TBC1D19	-0.6265
ERGIC1	1.16688888888889
ERBB4	1.2375
TSPAN32	0.844916666666667
MAP4	-0.127375
GPHN	-0.6475
SLC6A2	-0.195375
HIVEP1	0.70125
DFFB	-0.8166
EIF4EBP2	0.64475
DMRT1	-0.6965
HSPB6	0.5595
IER2	0.717
AIFM1	-0.498
WWC2	0.301909090909091
MRPL4	-0.601
FLJ21062	0.2475
EPB41L4A	0.598416666666666
SH2D6	0.0055
TAF4B	-0.747
GAL3ST3	-0.2835
MALT1	-0.876666666666667
RTDR1	0.67925
ARVCF	-0.683
MEX3B	-0.0488333333333333
FBXO16	0.88225
KIF7	-0.68675
C1QC	3.80533333333333
ZNF783	-1.24
ZNF85	0.104
MMP13	4.1225
KIAA0329	0.5625
RTP3	-1.1915
ZBED3	0.02025
CLGN	-0.85825
SLC25A37	-1.60254166666667
hCG_18290	-0.1505
OR5AS1	-0.084
SMARCC2	0.519083333333333
FAM109A	0.391166666666667
CCDC12	-0.509
USF2	0.695
DEPDC7	-2.166
C20orf24	-0.450833333333333
JMJD3	0.708
DSP	1.165
SLIC1	1.3895
FAM20A	1.67075
IRF2BP2	1.296125
ZNF230	-0.182
MSN	-0.022
SLC9A5	-2.37
EPDR1	-1.1088
