Hybridization REF	TCGA-AN-A041-01A-11R-A034-07
ACOT2	0.325166666666667
HIST1H4I	-0.53625
PPARGC1A	-3.117
ETFA	-0.9775
POLRMT	-1.23675
ZNF146	-0.07825
MIA2	-1.4705
KLHL6	-0.944833333333333
HOXB5	0.173375
NENF	0.092
CUGBP1	-0.60825
PRSS22	1.00283333333333
CASC4	0.959
CUL4B	-0.4307
CENPJ	-0.3721
PITX1	-0.195333333333333
FLJ31033	1.2465
CELSR3	0.626666666666667
ZNF568	0.342
ITSN1	0.1065
EHBP1L1	-0.374833333333333
C19orf2	-0.60025
DCTN1	0.987
LIN28B	-3.607
TNKS2	0.82325
C1QBP	-1.59875
CADPS2	1.11525
SRMS	0.569
GJA9	0.337833333333333
MGC24975	-1.71483333333333
TRIM45	-1.35783333333333
TSP50	0.121
TCP1	-1.6785
TMED7	0.2244
CMA1	-0.144
CENPL	-0.767666666666667
PTCRA	-0.3035
FST	-1.26825
VWCE	-4.355
PAWR	0.587
ABCC12	0.31
LDLR	-1.3527
ASTN2	1.692
LOC441212	-1.148375
GPATCH8	0.42725
TANC2	0.411333333333333
KIF4A	-1.8295
C18orf18	-1.69125
PGM1	-0.99325
KIAA0258	-0.38
CPD	0.60625
SNCAIP	-1.20175
DCT	-4.39733333333333
HLA-DOA	2.57790909090909
OR11L1	0.3295
UPK1B	-0.285333333333333
DNAJB4	-0.663875
UGT1A8	-0.602
HIST1H4L	-1.3805
PECR	-1.48
HSPA2	1.029
WFIKKN1	-2.482
SERP1	0.83075
SYDE2	3.6395
TACR2	0.5805
NUP85	0.51
CD177	-0.442
LGR5	-2.28266666666667
PIGG	0.550333333333333
PTHR1	-1.762
RAB5A	0.1729
FLJ13224	-0.1785
USP9Y	-2.3505
C7orf53	-1.319
LRP1B	-1.255
XAF1	1.6047
ABCG8	-0.3755
ANKDD1A	-0.548666666666667
DAND5	-2.2015
SPAG6	0.136
LINCR	0.99875
ZDHHC22	-1.331875
CCDC60	-0.443
THOC7	-1.4805
TCTA	1.009
OR8K3	0.115
NY-REN-7	-0.65325
B2M	1.24566666666667
C6orf141	1.78975
LPPR4	3.17025
SQLE	-0.727625
SEPHS1	-0.736
BTBD14B	0.231928571428571
PLRG1	-0.80675
SPG7	-0.21525
ZNF614	-0.417833333333333
PARD6G	1.157
INPP5B	-0.2211
GRPEL2	-0.719
PPID	-0.6793
TRIM56	-0.0565
UBE2J1	-0.362375
IL20RA	4.8155
LOC387856	0.9485
C1orf107	0.917833333333333
UTS2R	0.893
C19orf22	-0.81525
SAFB2	-0.18225
KIAA0652	0.5525
KLRG1	-0.931333333333333
MS4A8B	2.2485
FRAG1	-0.16475
KIAA1546	0.32825
E2F4	-0.6066
CLEC4M	0.211
BTBD14A	-1.6665
KIAA0999	0.5676
GYPA	-3.75333333333333
TAC1	1.9515
TRAIP	-1.43083333333333
KIAA0232	0.6214
ERCC8	-1.173625
GPX4	-0.79675
KIAA0368	-0.221
GPR157	-0.619333333333334
CTAGE4	2.319
C9orf30	-1.34183333333333
OR52A1	-0.266
HSP90B3P	-0.2765
ALG9	-1.1639
BTBD10	0.798
SDK2	0.28975
BAIAP3	0.33675
RABGGTB	-1.475125
ANKRD40	0.779333333333333
KRT74	0.455
CALCOCO2	0.743357142857143
SNCA	-3.16175
TMSL8	-5.121
C2orf53	0.1695
ESRRB	-0.44
ARHGAP26	-1.428375
TDRD9	-2.511
HRAS	0.442666666666667
KLRC4	-2.1285
JAGN1	-0.0591666666666667
BSDC1	-0.1205
RNF43	0.2843
NDUFAF1	-0.4
PHF12	0.513
OR1L3	-0.03325
FOLR2	0.94725
LYZL6	0.5455
tcag7.1260	-2.0315
WSB1	-0.533
PROS1	-0.6122
OSTN	0.5185
PSMB8	0.6885
SOCS4	0.177
DDIT4L	0.2415
MAS1	-0.6045
MGC34796	2.241
CSHL1	0.195833333333333
TBCCD1	0.435833333333333
ZBTB7C	0.2465
AP2S1	-0.50425
P15RS	-0.0591
VAT1	0.2593
SHANK3	1.33616666666667
TUFM	-0.234666666666667
THEG	-0.642
KRT34	-1.8345
SGSM3	-0.0235
TOMM22	-0.01225
SOCS3	1.397
CPO	0.098
POP4	0.27725
BHLHB3	1.4515
MALL	0.976
OR1B1	0.6515
PARK2	0.414166666666667
GPR124	1.743375
LCE1E	0.228
RUVBL2	-0.814
CGRRF1	0.5486
ACPL2	1.81625
WNT10B	-2.7175
BAIAP2L2	-2.376
ISCA1	0.0365
C1orf125	-0.445875
RPAP1	-1.0195
RAI16	0.0506666666666667
RPL27	-0.201
NLRP9	0.1795
EPN1	0.491
LOC388610	-2.03925
SLC35A1	-0.1468
GAL	-4.9575
SLC14A2	0.04275
RDH11	-0.867
FAM138F	-0.985
AUH	-1.53575
FLJ40243	-0.07425
C14orf129	0.939833333333333
MBD2	-0.3375
ABHD14B	0.493125
PIGT	1.360125
ALS2CR4	-1.275875
ALAS1	-0.3816
FOXO1	1.709
CRLF3	-0.794
C20orf107	-0.0075
FARS2	0.7075
CCDC28A	-0.5595
NPHP3	-0.20525
OR13F1	0.325
TSEN54	0.476
DEFB106B	0.0821
OR8B4	1.129
STH	1.5015
ZC3H14	-0.10475
CBX2	-0.466
TMEM49	-0.89325
C6orf21	0.4085
FLJ20920	1.682375
CRTAP	0.0912857142857143
DDX50	-0.24575
STYXL1	0.01875
BLVRB	0.418666666666667
LOC147650	-1.24116666666667
MMP24	-0.3555
GRID1	2.24783333333333
BANF1	0.140166666666667
CTAGEP	0.952
HMBS	-2.1465
SLC25A24	0.631333333333333
C14orf50	1.5305
MRO	0.919
SLC25A15	0.13675
FAM84B	1.7647
TDP1	-0.3665
C16orf78	0.0535
C11orf57	-0.659125
RFK	-0.282
ZFYVE9	-0.09025
STCH	-0.3872
WIBG	0.0085
LOC283871	-0.201333333333333
GBA2	-0.2317
NDUFB3	-0.5825
HSD17B13	-0.77475
GRIN3A	0.798
FMNL1	-0.259333333333333
SEPT7	-0.2597
GNLY	2.474
GRAMD1C	1.49183333333333
ZNF165	-0.55075
USP38	1.07025
FAM83A	-2.00883333333333
C14orf24	0.608833333333333
ARMCX3	0.858375
ARHGDIB	0.413833333333333
AK1	-0.2125
KIAA1045	-0.3215
DNAJB13	-0.255166666666667
NEU2	0.2455
HIST1H4B	-0.158666666666667
FAM20B	0.1053
HES2	1.31435714285714
FAM73B	-0.3008
LOC388381	0.000750000000000015
INTS7	-0.641
AMPH	1.6635
ZNF775	0.086375
UCKL1	0.387166666666667
C10orf97	-0.123
C1orf161	-0.139
ALDH1L1	-1.777
FLJ39378	-0.1395
SLC23A1	-2.2425
RBM4B	0.65475
THAP4	0.427666666666667
OGFRL1	-0.80375
KIAA0831	0.1965
PPP1R15A	-0.4865
C1orf96	-0.398214285714286
C12orf11	-2.57
BMF	1.110875
MAN1A1	-0.60875
KIAA1600	1.2705
NLGN4X	-0.73475
ALOX12	-1.38733333333333
RB1CC1	0.3774
NEIL2	-0.1022
EIF4E	-0.387363636363636
ABHD5	-0.463
EXOC4	0.511333333333333
CIP29	-0.3375
BATF2	0.24575
SLC29A4	-1.06575
HTR4	0.1885
EMB	0.22725
TRAF6	0.644
LMNB1	-1.712
FAM19A5	0.472625
SHE	2.16575
PIK3C2B	0.73425
C15orf15	-0.516
USP15	-0.5449
TCEAL2	-0.098
C5orf39	-1.18033333333333
PTGER2	-0.31325
SLC31A1	-0.745375
IFT172	0.2465
ADAM29	0.4215
GFOD1	0.03025
ST7L	0.639166666666667
C15orf26	-2.463
PKN3	-0.7985
CNTD1	3.50466666666667
COMMD1	-0.153875
NTRK2	2.28091666666667
FOXN3	0.312375
MFGE8	1.2767
PFKFB2	0.970166666666667
TAS2R4	-0.3305
ENTHD1	0.687
PRMT5	-0.4245
MGC16384	-0.33225
LOC442229	-1.2645
TSKU	1.33875
KRTCAP3	3.3695
PDLIM1	0.2021
KCNS2	0.206
RNF126	-1.546
CEP63	0.65725
CLIC4	0.542375
hCG_1990170	-0.424
ACR	0.1324
KLK7	0.5335
ALOX5AP	3.038625
RIPK3	4.19975
TAS2R9	-0.00799999999999999
C19orf18	-0.435
BIRC6	-0.191714285714286
ZNF16	0.5025
RFT1	-0.56925
SLC8A2	-0.6425
TACC1	1.39325
ITGAD	2.1095
SAMHD1	0.40975
SH3PXD2B	1.5688
EPC2	1.042
C20orf85	0.989375
ATP13A2	0.7085
KRT4	0.261
CAPNS1	1.03525
MDM2	-0.576583333333333
PCDH20	4.858
KCNK9	0.364
OR2C1	-0.287
KLHDC3	-0.312666666666667
IPPK	0.8165
EFHD2	0.85375
GALR3	0.7565
NBEA	1.12133333333333
ABCA6	2.4819
CLDN3	2.34416666666667
AKT2	-0.0699285714285714
EGFR	-1.2952
RBM16	-0.140625
ZDHHC3	0.2266
SLC25A4	0.156
CYB5B	-1.18566666666667
CPXM1	0.56525
NDRG1	-0.481923076923077
FLJ43826	1.07625
OR5L2	-0.0608333333333334
FARP2	0.4151
MRPL46	-0.55525
LDHAL6B	0.201333333333333
MAPKAPK3	-0.918666666666667
NCAM2	-2.49475
PRKD2	0.3165
ZFP36L1	0.4938
CYSLTR1	-1.03075
OR4C3	0.12175
HIST1H2AJ	1.6535
CCNB2	-2.32722222222222
ZNF10	-1.826625
TMEM175	0.7955
FAM134A	0.969833333333333
TIGD4	0.0315
PCNP	-0.331
MGC39715	-0.071
LQK1	-2.677
CREB1	0.5872
TMPRSS3	-2.8415
C4orf32	0.078125
LAT	-2.26058333333333
KCNA3	-0.2755
SKIV2L2	-1.187
ROPN1B	-4.11575
tcag7.23	-1.064
CDT1	-2.526625
ZHX2	0.484375
CD28	-4.64025
ZNF624	0.937
SEPT2	0.191916666666667
SOHLH2	-1.889
MCOLN3	-1.206875
UNQ1945	0.2535
MASP2	-1.0515
ZNRF3	0.823
GPATCH3	-0.30325
AGL	1.92425
QRICH2	-0.192
PSD4	1.189
CCNB1IP1	-1.58525
ENPP7	-0.03675
OBFC1	0.094
KCNG3	-2.49325
C14orf79	0.447083333333333
ENPEP	2.709
SCT	1.9695
SKI	0.904625
SEC61G	-0.8865
CAPN11	0.477
ATXN7L3	1.12
DBNDD1	0.636833333333333
FAIM	0.212
ANKRD36	-1.4465
GABRP	1.43483333333333
TACSTD2	1.82983333333333
EIF3J	-0.69425
PPP2R2A	-0.5085
TEKT4	0.3235
PVALB	-2.23683333333333
F10	-2.66933333333333
FAM134C	0.9032
COMP	4.744
EFCBP1	-0.3444375
SCLT1	-0.20275
TAL1	-0.6191
ACSL1	-1.11675
ABCC5	0.707416666666667
ABL1	-0.314888888888889
RBBP7	0.129083333333333
PTPRG	-0.22575
NCOR1	-0.2176
SPINK4	1.53783333333333
TXNRD1	-1.0581
TNRC15	1.106125
C9orf138	0.240875
UBE2H	0.4615
BRDT	-0.236
C8orf31	-0.361
CCNE2	-1.45809090909091
SLC6A8	-2.13975
CALCR	-4.047
PPP1CB	0.208
ABHD8	0.14575
ARF5	0.1056
SLC24A4	0.32525
CCT3	-0.113
ZNF121	0.1825
SLC3A2	-1.0823
OR13A1	0.0135
SLC5A10	0.345
RAD50	0.146125
IER5	1.038625
MTHFD1L	-2.243625
MBTPS2	-0.0605
MVK	-0.418625
NCL	-0.3431
PSMD10	-0.58225
MOBP	0.186875
FLJ32894	-1.0535
HRH1	-0.110833333333333
C5orf30	1.09425
NUDT16L1	0.349
RASGRP3	3.95466666666667
PRKRIP1	-0.5524
CCDC75	-0.08275
LOC253970	0.45375
KIAA1239	-0.148
MED21	-0.42025
SYT11	0.879
NTSR2	0.048
EGFL11	-0.3225
CXorf59	0.316
OR2A25	-0.15775
SPTBN2	0.47775
LRMP	-2.10666666666667
RNF111	1.0135
PTH	-0.3925
LOC619208	0.0475
KIAA0895	-0.6685
RANBP5	-0.49175
P2RY10	-0.076
NME5	2.3555
DDX21	-0.686
LRSAM1	0.336
HDAC11	1.1265
VMO1	-0.0815
NOLA2	-0.414166666666667
ADAR	1.19816666666667
MTO1	-1.40066666666667
SF4	0.0568333333333333
P2RX1	-0.073
HBM	0.05975
EN2	0.949
C14orf172	0.1455
TM9SF2	1.5768
INHBE	-0.951166666666667
TCTE3	-0.59125
TOX2	-2.5625
CTAGE3	0.871875
HBB	2.8549
MED15	-0.162666666666667
CASR	-0.05125
C6orf66	-1.56566666666667
MTPN	0.261625
UNC50	0.01775
C21orf33	-0.51525
IRF2	0.9465
PGR	-2.0915
GPR84	2.85425
CROCCL1	-2.14025
SRPX	-1.30925
BRE	0.382666666666667
FGF10	0.422
SDC3	-0.999666666666667
ZRSR1	0.451666666666667
DKFZP434P211	-0.119
SOX6	-0.8865
RPUSD2	-0.32425
C14orf173	0.0205
MAPK11	-0.4405
TBC1D22A	0.36
FAM123A	5.3095
COL4A6	-1.4
TOMM70A	-0.0195
NAB1	-1.00575
MGC16385	-0.173375
TSPAN18	0.4975
MED31	-0.5035
PLG	-0.4745
CAPSL	0.6235
ZNF532	1.2177
ASB14	-0.06925
CA8	-4.06425
NUDT16P	2.50583333333333
SLFN11	-1.0475
LRRIQ2	0.199625
NOL7	-0.431333333333333
BRMS1L	-0.812875
JARID1A	0.460833333333333
PANK2	-0.5685
ICAM3	-0.9695
MDS1	-0.40025
TAF8	-0.31325
RNF139	2.1765
ZNF594	-0.951833333333333
ADAM8	2.629625
SFTPC	-0.392875
MAN2B2	1.80825
RGS12	0.6583125
EIF1AY	-5.09041666666667
LRRIQ1	-1.14016666666667
GPR150	1.14575
CCDC21	-1.15966666666667
PRRG3	0.2995
SAA4	-4.906
RAPGEF5	1.765625
ZCCHC2	0.0219166666666667
MGC39372	1.466
PPP4R2	0.214333333333333
CDCA2	-2.30166666666667
OR4D5	0.259166666666667
PTGFRN	1.0601
SIGLEC5	1.07533333333333
C19orf61	0.181166666666667
NMUR2	0.147
KIAA1586	-0.912166666666667
DAGLA	-1.5215
CHCHD6	-0.22975
GPR32	0.9995
NEUROD6	0.2585
SLC2A4RG	0.4495625
CA5B	0.2115
FBXL3	1.85775
MPHOSPH9	-1.3105
HMG2L1	0.6865
HCN4	0.709666666666667
CEACAM19	-0.1275
SH2D4B	0.2575
HFE2	-0.9515
TGM4	0.297166666666667
LYPD2	-0.03425
TBC1D15	0.456
MRPS21	-0.3949
NONO	-0.9063
CLEC5A	1.687375
ITCH	-0.3292
MGAT3	-0.948
MBP	0.0150000000000001
RPP25	0.3445
SOSTDC1	-2.2735
HRC	-0.623
TRIM48	-0.243
TMEM133	0.252
ECEL1P2	-1.265
HOXC11	-0.47
DOK5	-0.888
HELZ	0.369166666666667
LOC348180	-0.68375
MGC33894	-0.15875
ADRB3	0.1565
DMD	-0.177583333333333
PTRH2	-0.05075
MPEG1	2.34366666666667
NDUFA12	-0.235
KRTAP2-4	-0.0763333333333333
STAMBPL1	-1.64766666666667
ADCY2	-0.550166666666667
UNQ6125	0.2075
KLHL20	0.5725
SRM	-1.18
OTC	-0.167
TMIE	0.681833333333333
SNX8	0.314
LIPK	-0.42
CHURC1	1.312
KLC2	0.157833333333333
HDAC1	-0.2555
FAM128A	0.68
FNDC3B	0.1216
MTCP1	-0.846
WFDC10B	2.6809
PCDHGB3	0.0585
ATRNL1	-1.7559
CAV2	-0.18525
MED26	0.5095
DUS1L	0.71325
CHRM3	-0.8045
NEK9	0.921
WARS2	-0.4365
TBX22	-1.11
TOMM40	-0.78875
RP6-213H19.1	-1.025
TUBGCP5	-0.1615
IGSF6	4.61825
TPPP	0.83
UNQ6190	-0.3165
GSTM5	0.892875
BTD	0.276833333333333
PDCD1LG2	0.396166666666667
SNRPB2	0.0678333333333333
ERICH1	-0.012625
APOA4	-1.8755
HOXA11	-1.09025
NARG1	-0.928375
MKX	-1.08325
RAB28	-0.211357142857143
PKP3	0.833
SH3GL2	-3.78875
CTSO	3.6835
RPN2	0.412875
IL28RA	-0.429666666666667
SFMBT1	0.27475
WDR57	-1.22725
FER1L3	0.514
HSF5	0.151666666666667
TTC9B	0.541
C4BPA	-3.871
ALB	-4.78257142857143
SORBS3	0.74
UPF2	-0.268
JPH1	0.3695
AGBL2	-0.41075
DOPEY1	0.5495
TERF1	-0.587
KIF22	-0.3495
NINJ1	0.542
SEC61A2	-0.13625
HIST1H1D	0.234666666666667
SFXN4	-0.166375
UCP3	-0.0695
ZNF703	1.1935
MYL6B	-1.63025
TREM1	1.45475
OR52E6	0.593
CKMT2	1.157
HLA-C	1.656
SLC13A3	-0.726666666666667
TIMP4	-3.1715
SLIT2	2.23475
RSF1	-0.333666666666667
LONRF1	-0.682928571428572
MON1A	-0.749833333333333
CACNG6	3.50933333333333
DPPA4	-5.36416666666667
ZSWIM3	0.544
ZNF804A	0.536333333333333
CCIN	1.93225
SLC25A31	0.66025
KCNMB4	-0.1825
RABL5	-0.3315
GALNS	0.1751
STX6	0.953625
HIST1H1C	0.873
CIDEB	0.726875
CASP4	-0.0213333333333333
PDK3	-0.7005
KCNJ11	1.965
TPR	-0.00375
ZSCAN20	-0.965
MTX2	-0.31175
HIST1H2BH	1.2945
LOC283767	1.04975
LYRM7	-1.70777777777778
BRD3	0.805166666666667
HIST1H2BO	1.126
MAGEB10	-0.1385
SLC45A1	0.955
SERPINA3	2.1905
KIAA0143	1.97625
KCNJ16	-0.0585
KRT79	0.8585
FABP2	-0.6965
NUT	-0.2815
ZNF57	-0.237
FBXL4	-1.134625
CLEC9A	0.6045
UGT8	-1.59933333333333
BMP2K	0.2
MAPK4	-3.7025
SLC25A23	-0.7037
HINT1	-1.3367
KRTAP13-1	0.1385
SFXN5	0.8149
CHCHD2	0.00333333333333335
FAM3D	0.082
NDP	-3.5205
RHOBTB1	0.938833333333333
SLC4A4	-1.278625
RPL38	0.497
HTF9C	-0.285
AP2A2	0.769125
ZBTB46	0.601
MAP7D1	0.203375
AOX1	-2.56833333333333
CYR61	-0.164
DTNA	0.4295
JRKL	-0.9795
TMOD3	-0.53075
EEA1	-0.2487
ADCK5	-0.852
IL1R1	0.0846666666666667
KLK3	0.266285714285714
HRSP12	-1.28375
KTN1	0.04025
LOH11CR2A	-0.1662
RELL2	-0.614
MAB21L1	2.03525
C20orf59	-0.05
PHKB	0.0035
ADAM2	-0.768833333333333
TBC1D8B	1.4255
FAM13A1	-1.349
LAPTM4B	-0.6625
LCN8	0.4515
TMEM147	-0.038
SYT4	-0.12
XPO7	-0.594
C9orf62	1.182
GPR75	0.383
TRIM5	0.72225
APOC1	-0.764666666666667
RNASE4	-1.6645
PARD6B	-2.193
ARID1A	0.641416666666667
TPD52L3	-0.2712
RRAGB	0.4855
RCN2	-0.421833333333333
HIST2H2BE	1.5774375
STARD7	-0.0165
SHMT2	-1.0825
KIAA1751	0.375666666666667
MLYCD	0.866375
LOC162632	0.1829
UQCRH	-1.876
RP11-217H1.1	0.5735
SDHA	-0.840166666666667
NCLN	-0.4439
ZNF17	0.967833333333333
RCBTB2	-1.18625
VEGFB	0.1337
RP4-747L4.3	0.70975
COLQ	0.8126
MPN2	-1.02083333333333
DRG2	-0.24475
KLRB1	4.7255
ALPK2	-1.15925
DNASE2B	1.1875
FLJ23834	2.42483333333333
AXUD1	0.649666666666667
SAFB	-0.2699
NSUN4	0.17325
RFX2	0.3415
MAPK8IP1	-0.1475
FANCD2	-1.74657142857143
ANKZF1	-1.37
C19orf50	-0.044375
DUSP8	1.345125
SENP5	-0.203875
NFKBIL2	-0.57875
LBR	-1.611
IGFL1	0.447
LZTS2	0.410875
IL2RG	-0.7075
CCDC51	-0.01425
KLF3	0.668125
ANKRD37	-1.1335
KCTD14	-1.28966666666667
FZR1	0.181833333333333
SLC44A4	4.0558
ESPL1	-0.834875
GMPR2	-0.283
TBC1D19	-0.206166666666667
ERGIC1	0.789148148148148
ERBB4	4.5806
TSPAN32	2.49525
MAP4	0.276125
GPHN	-0.85975
SLC6A2	-0.208625
HIVEP1	0.764
DFFB	-0.7814
EIF4EBP2	0.436
DMRT1	-0.57425
HSPB6	-0.26175
IER2	-0.398
AIFM1	-0.46625
WWC2	1.23708333333333
MRPL4	-1.0925
FLJ21062	0.0685
EPB41L4A	0.525
SH2D6	0.152
TAF4B	-0.61875
GAL3ST3	-0.2655
MALT1	-1.37466666666667
RTDR1	-0.37275
ARVCF	0.392
MEX3B	1.28483333333333
FBXO16	0.11
KIF7	-1.13575
C1QC	3.62566666666667
ZNF783	-0.523
ZNF85	1.21
MMP13	3.933
KIAA0329	0.528375
RTP3	-1.2905
ZBED3	-1.86125
CLGN	0.277
SLC25A37	-1.90929166666667
hCG_18290	-0.78175
OR5AS1	-0.012
SMARCC2	0.94075
FAM109A	0.3405
CCDC12	-0.6125
USF2	0.6993
DEPDC7	-1.83
C20orf24	-0.423
JMJD3	0.8235
DSP	-1.5585
SLIC1	0.41375
FAM20A	-0.388375
IRF2BP2	1.22225
ZNF230	0.312
MSN	-0.238071428571429
SLC9A5	-2.393
EPDR1	-0.5057
MUSK	0.253666666666667
ZNF434	0.137333333333333
SMARCD1	-0.390666666666667
ZFP106	-0.4935
ZNF347	0.1084
GTF2E1	0.63075
RY1	-0.33
ATAD2B	0.09125
