Hybridization REF	TCGA-BH-A0H7-01A-13R-A056-07
ERCC8	-0.624
GPX4	0.70675
KIAA0368	-0.3855
GPR157	-0.580833333333333
CTAGE4	0.406
C9orf30	-1.43083333333333
OR52A1	0.1005
HSP90B3P	-0.704
ALG9	-0.6982
BTBD10	1.20725
SDK2	0.3025
BAIAP3	1.768
RABGGTB	-1.366125
ANKRD40	-0.056
KRT74	0.337
CALCOCO2	0.851714285714286
SNCA	-3.02925
TMSL8	-4.816125
C2orf53	0.8165
ESRRB	-0.4715
ARHGAP26	-1.48825
TDRD9	2.5315
HRAS	1.4155
KLRC4	-2.9555
JAGN1	-0.525666666666667
BSDC1	0.2745
RNF43	0.1044
NDUFAF1	0.3125
PHF12	0.049
OR1L3	-0.598
FOLR2	1.94891666666667
LYZL6	0.2316
tcag7.1260	-1.466
WSB1	-1.58783333333333
PROS1	-0.7716
OSTN	0.634
PSMB8	1.27375
SOCS4	-0.43875
DDIT4L	1.21525
MAS1	0.5825
MGC34796	2.27925
CSHL1	-0.0183333333333333
TBCCD1	0.415333333333333
ZBTB7C	0.3515
AP2S1	-0.132625
P15RS	-0.5916
VAT1	0.4614
SHANK3	1.29316666666667
TUFM	-0.0485
THEG	-0.22
KRT34	-1.97275
SGSM3	0.672
TOMM22	0.2095
SOCS3	0.963833333333333
CPO	-0.194
POP4	0.861
BHLHB3	1.30975
MALL	0.903
OR1B1	0.054
PARK2	0.639166666666667
GPR124	0.65725
LCE1E	0.3145
RUVBL2	-0.1025
CGRRF1	0.5981
ACPL2	0.34
WNT10B	-1.124375
BAIAP2L2	-1.794875
ISCA1	0.2455
C1orf125	-1.039125
RPAP1	-1.14025
RAI16	-0.0881666666666667
RPL27	-0.33375
NLRP9	-1.4695
EPN1	0.871
LOC388610	-0.682
SLC35A1	0.2676
GAL	-4.22275
SLC14A2	0.36875
RDH11	-1.0575
FAM138F	-0.6635
AUH	-0.526
FLJ40243	-0.3645
C14orf129	0.533833333333333
MBD2	-0.721333333333333
ABHD14B	0.116
PIGT	0.645625
ALS2CR4	0.17925
ALAS1	-0.1327
FOXO1	1.375
CRLF3	-0.824
C20orf107	-0.008
FARS2	1.20875
CCDC28A	-0.47975
NPHP3	-0.93125
OR13F1	0.6885
TSEN54	-0.487
DEFB106B	0.1049
OR8B4	-0.43
STH	1.01925
ZC3H14	-0.43525
CBX2	0.589
TMEM49	-1.016
C6orf21	0.1885
FLJ20920	-0.91375
CRTAP	0.110142857142857
DDX50	-0.75075
STYXL1	0.6555
BLVRB	0.983666666666667
LOC147650	0.856666666666667
MMP24	0.271
GRID1	2.0065
BANF1	-0.131666666666667
CTAGEP	-0.02175
HMBS	-2.1905
SLC25A24	0.130666666666667
C14orf50	-0.07025
MRO	1.011
SLC25A15	-0.97575
FAM84B	2.0935
TDP1	-1.44
C16orf78	0.498166666666667
C11orf57	-0.145875
RFK	-0.1665
ZFYVE9	0.070125
STCH	0.121
WIBG	0.9455
LOC283871	-0.222833333333333
GBA2	-1.2687
NDUFB3	-0.00875
HSD17B13	-0.63
GRIN3A	0.668166666666667
FMNL1	-1.22
SEPT7	-0.7024
GNLY	3.387
GRAMD1C	0.969
ZNF165	0.23875
USP38	0.73875
FAM83A	-1.895
C14orf24	0.78975
ARMCX3	1.114375
ARHGDIB	0.3135
AK1	0.42325
KIAA1045	0.068
DNAJB13	-0.977833333333333
NEU2	0.5105
HIST1H4B	-0.00416666666666665
FAM20B	-0.6614
HES2	1.2485
FAM73B	-0.2129
LOC388381	-0.351
INTS7	-0.521363636363636
AMPH	3.225
ZNF775	0.311875
UCKL1	-0.0113333333333333
C10orf97	-1.058
C1orf161	-0.071
ALDH1L1	-1.7495
FLJ39378	0.314125
SLC23A1	-1.654
RBM4B	0.03825
THAP4	0.4655
OGFRL1	-0.59025
KIAA0831	-0.194875
PPP1R15A	-0.166833333333333
C1orf96	-0.821285714285714
C12orf11	-2.548
BMF	0.62675
MAN1A1	-0.123
KIAA1600	0.799
NLGN4X	1.3045
ALOX12	-1.304
RB1CC1	0.8069
NEIL2	-0.4454
EIF4E	0.484136363636364
ABHD5	-0.63775
EXOC4	-0.278333333333333
CIP29	0.0766666666666667
BATF2	1.89325
SLC29A4	-0.21875
HTR4	0.06475
EMB	-0.8635
TRAF6	0.92325
LMNB1	-0.93175
FAM19A5	0.201
SHE	1.22825
PIK3C2B	0.85925
C15orf15	-0.7242
USP15	0.0681
TCEAL2	0.99575
C5orf39	-0.983333333333333
PTGER2	-1.82325
SLC31A1	-0.8211875
IFT172	0.16975
ADAM29	2.647
GFOD1	1.2005
ST7L	0.354666666666667
C15orf26	-2.837
PKN3	-2.0465
CNTD1	3.10733333333333
COMMD1	0.506875
NTRK2	2.2065
FOXN3	0.03775
MFGE8	0.0375
PFKFB2	1.09216666666667
TAS2R4	-0.345
ENTHD1	2.10966666666667
PRMT5	-0.4565
MGC16384	-1.5515
LOC442229	-1.0035
TSKU	1.18525
KRTCAP3	2.132625
PDLIM1	0.0205
KCNS2	0.55275
RNF126	-0.560833333333333
CEP63	-0.562625
CLIC4	0.061125
hCG_1990170	-0.41875
ACR	1.5066
KLK7	1.90125
ALOX5AP	2.78425
RIPK3	4.0895
TAS2R9	0.309
C19orf18	0.048
BIRC6	-0.169857142857143
ZNF16	2.486
RFT1	-0.7015
SLC8A2	-0.86475
TACC1	2.440375
ITGAD	1.80425
SAMHD1	0.457
SH3PXD2B	2.0823
EPC2	0.57975
C20orf85	0.408125
ATP13A2	0.3145
KRT4	1.165875
CAPNS1	0.35575
MDM2	-0.412166666666667
PCDH20	0.9695
KCNK9	1.3125
OR2C1	-0.686
KLHDC3	-0.178833333333333
IPPK	0.7425
EFHD2	-0.080625
GALR3	1.4645
NBEA	1.558
ABCA6	2.642
CLDN3	3.46716666666667
AKT2	-0.399571428571429
EGFR	-1.6635
RBM16	-0.000750000000000008
ZDHHC3	-0.0077
SLC25A4	0.365833333333333
CYB5B	-0.2155
CPXM1	2.077
NDRG1	-0.487230769230769
FLJ43826	0.829
OR5L2	0.0595
FARP2	0.7963
MRPL46	-0.546166666666667
LDHAL6B	0.0418333333333334
MAPKAPK3	-0.797333333333333
NCAM2	0.419
PRKD2	-0.0793333333333333
ZFP36L1	1.0222
CYSLTR1	-1.73325
OR4C3	0.554
HIST1H2AJ	3.41
CCNB2	-2.45011111111111
ZNF10	-0.1515
TMEM175	0.849
FAM134A	1.70133333333333
TIGD4	-0.3885
PCNP	-0.31925
MGC39715	-0.029
LQK1	-1.07025
CREB1	0.2728
TMPRSS3	1.10775
C4orf32	0.77925
LAT	-1.925
KCNA3	0.4505
SKIV2L2	-0.78225
ROPN1B	-1.15475
tcag7.23	-1.323
CDT1	-2.439875
ZHX2	1.916625
CD28	-2.67875
ZNF624	1.66925
SEPT2	0.415833333333333
SOHLH2	-1.1205
MCOLN3	0.952142857142857
UNQ1945	1
MASP2	-0.691
ZNRF3	-0.1192
GPATCH3	0.097
AGL	0.566625
QRICH2	-0.249
PSD4	1.49316666666667
CCNB1IP1	-1.58
ENPP7	0.18175
OBFC1	0.26475
KCNG3	-1.28725
C14orf79	0.540583333333333
ENPEP	1.77983333333333
SCT	3.1015
SKI	0.618125
SEC61G	-0.73725
CAPN11	-0.07425
ATXN7L3	0.04025
DBNDD1	0.906666666666667
FAIM	0.3335
ANKRD36	-1.4185
GABRP	2.97966666666667
TACSTD2	2.23116666666667
EIF3J	-1.117
PPP2R2A	-0.78775
TEKT4	-0.1175
PVALB	-2.1545
F10	-1.70916666666667
FAM134C	1.6062
COMP	4.675875
EFCBP1	-2.310875
SCLT1	-1.127125
TAL1	-1.2709
ACSL1	1.24825
ABCC5	1.82983333333333
ABL1	-0.442166666666667
RBBP7	0.33925
PTPRG	-0.0245
NCOR1	-0.2062
SPINK4	-1.8
TXNRD1	-0.1882
TNRC15	0.04875
C9orf138	0.408375
UBE2H	0.465
BRDT	2.40216666666667
C8orf31	-0.00275
CCNE2	0.231181818181818
SLC6A8	-2.074375
CALCR	-3.71975
PPP1CB	1.39325
ABHD8	-0.11225
ARF5	0.2739
SLC24A4	0.34825
CCT3	-0.3135
ZNF121	-0.06225
SLC3A2	-0.7149
OR13A1	0.7525
SLC5A10	-0.43925
RAD50	-0.052375
IER5	0.79375
MTHFD1L	-1.749125
MBTPS2	0.74125
MVK	1.12275
NCL	-0.7673
PSMD10	-0.05025
MOBP	0.540125
FLJ32894	-0.6795
HRH1	-0.700333333333333
C5orf30	2.33275
NUDT16L1	1.1621
RASGRP3	2.785
PRKRIP1	-0.6567
CCDC75	-0.13625
LOC253970	0.051
KIAA1239	0.24475
MED21	-1.076
SYT11	0.355166666666667
NTSR2	-0.798
EGFL11	0.4325
CXorf59	1.2665
OR2A25	0.5535
SPTBN2	0.8975
LRMP	-1.6045
RNF111	-0.27325
PTH	-0.00949999999999999
LOC619208	1.007
KIAA0895	-0.26425
RANBP5	-1.154125
P2RY10	0.240333333333333
NME5	0.732
DDX21	-0.97425
LRSAM1	0.5855
HDAC11	2.0595
VMO1	2.11575
NOLA2	-0.0821666666666666
ADAR	0.921166666666667
MTO1	-1.74216666666667
SF4	0.00483333333333333
P2RX1	-0.3795
HBM	0.60575
EN2	1.765
C14orf172	0.2875
TM9SF2	0.6261
INHBE	-1.2295
TCTE3	-0.356583333333333
TOX2	-3.18375
CTAGE3	-0.151875
HBB	4.059
MED15	-0.64
CASR	0.029
C6orf66	-1.7795
MTPN	-0.50375
UNC50	0.1235
C21orf33	-0.17575
IRF2	0.8175
PGR	1.90083333333333
GPR84	1.8505
CROCCL1	-3.222
SRPX	-0.774
BRE	0.957
FGF10	0.57075
SDC3	1.31783333333333
ZRSR1	0.0826666666666667
DKFZP434P211	-0.34725
SOX6	-0.677
RPUSD2	-0.116
C14orf173	-0.2985
MAPK11	0.777166666666667
TBC1D22A	0.172
FAM123A	-1.3785
COL4A6	-3.02583333333333
TOMM70A	0.436
NAB1	-0.359125
MGC16385	1.159875
TSPAN18	-0.3515
MED31	-0.667
PLG	-0.19675
CAPSL	2.658
ZNF532	0.481
ASB14	0.50225
CA8	1.50825
NUDT16P	-0.459
SLFN11	-0.759
LRRIQ2	-0.55675
NOL7	-0.275166666666667
BRMS1L	-1.0955
JARID1A	-0.203
PANK2	0.758
ICAM3	-0.4065
MDS1	1.0855
TAF8	-0.918
RNF139	2.105
ZNF594	-0.6325
ADAM8	1.546
SFTPC	-0.177375
MAN2B2	1.25525
RGS12	0.1064375
EIF1AY	-4.63675
LRRIQ1	-1.6825
GPR150	1.62425
CCDC21	-1.18416666666667
PRRG3	0.9435
SAA4	-3.79425
RAPGEF5	1.208125
ZCCHC2	-0.707833333333333
MGC39372	0.3605
PPP4R2	0.3145
CDCA2	-1.87983333333333
OR4D5	0.312333333333333
PTGFRN	1.4086
SIGLEC5	1.28966666666667
C19orf61	-0.493833333333333
NMUR2	0.9405
KIAA1586	-1.0425
DAGLA	0.499166666666667
CHCHD6	0.7705
GPR32	1.9825
NEUROD6	-0.0361666666666667
SLC2A4RG	0.9519375
CA5B	-0.2705
FBXL3	1.5065
MPHOSPH9	-1.2585
HMG2L1	-0.0435
HCN4	1.047
CEACAM19	-0.3695
SH2D4B	0.044
HFE2	-1.865
TGM4	-0.706666666666667
LYPD2	0.03325
TBC1D15	0.56275
MRPS21	-1.0832
NONO	-0.6851
CLEC5A	1.7085
ITCH	0.2074
MGAT3	-1.26983333333333
MBP	-1.026625
RPP25	0.60625
SOSTDC1	-0.51675
HRC	-0.31
TRIM48	-0.2415
TMEM133	-0.467
ECEL1P2	-1.78175
HOXC11	1.23
DOK5	0.7785
HELZ	0.0705
LOC348180	-0.35675
MGC33894	0.33525
ADRB3	0.146
DMD	-0.154166666666667
PTRH2	-0.861
MPEG1	3.37883333333333
NDUFA12	0.2385
KRTAP2-4	0.372333333333333
STAMBPL1	-1.30133333333333
ADCY2	0.0711666666666667
UNQ6125	0.9825
KLHL20	-0.238666666666667
SRM	-0.866
OTC	-1.33675
TMIE	-0.486666666666667
SNX8	1.63225
LIPK	0.369
CHURC1	-0.498583333333333
KLC2	0.267833333333333
HDAC1	-0.0568333333333333
FAM128A	0.0931666666666667
FNDC3B	0.2883
MTCP1	-0.105
WFDC10B	-0.2748
PCDHGB3	0.7605
ATRNL1	2.5312
CAV2	-0.413125
MED26	-0.188
DUS1L	-0.347
CHRM3	-1.074875
NEK9	0.85725
WARS2	-0.9545
TBX22	-1.638
TOMM40	-1.21575
RP6-213H19.1	-0.402166666666667
TUBGCP5	-0.475
IGSF6	4.9585
TPPP	1.07083333333333
UNQ6190	0.003
GSTM5	0.711375
BTD	0.316666666666667
PDCD1LG2	0.550166666666667
SNRPB2	0.6965
ERICH1	-2.184125
APOA4	-1.55525
HOXA11	-1.36575
NARG1	-0.225
MKX	0.57025
RAB28	-0.193714285714286
PKP3	2.04125
SH3GL2	-2.855
CTSO	3.54375
RPN2	0.4600625
IL28RA	-0.124
SFMBT1	0.0245
WDR57	0.079125
FER1L3	0.98775
HSF5	0.0331666666666666
TTC9B	0.53175
C4BPA	-3.49666666666667
ALB	-3.608
SORBS3	0.129875
UPF2	0.291
JPH1	0.729
AGBL2	0.4845
DOPEY1	0.859
TERF1	1.15583333333333
KIF22	-0.6815
NINJ1	1.44075
SEC61A2	-0.0870833333333333
HIST1H1D	-0.472833333333333
SFXN4	0.427625
UCP3	0.1155
ZNF703	1.88833333333333
MYL6B	-0.5625
TREM1	3.0645
OR52E6	0.3875
CKMT2	-0.06875
HLA-C	2.569375
SLC13A3	-1.7695
TIMP4	-2.587
SLIT2	1.76625
RSF1	-0.886055555555556
LONRF1	-2.13835714285714
MON1A	-0.697333333333333
CACNG6	3.67766666666667
DPPA4	-4.74433333333333
ZSWIM3	0.341
ZNF804A	0.599166666666667
CCIN	2.482
SLC25A31	1.26075
KCNMB4	0.80075
RABL5	0.14075
GALNS	0.0286
STX6	0.5435
HIST1H1C	-1.36833333333333
CIDEB	-1.1915
CASP4	-0.173
PDK3	-0.0976
KCNJ11	2.418
TPR	-0.894875
ZSCAN20	-0.3425
MTX2	0.189
HIST1H2BH	-0.08575
LOC283767	0.5245
LYRM7	-1.18522222222222
BRD3	0.13
HIST1H2BO	-0.393
MAGEB10	0.208
SLC45A1	0.6315
SERPINA3	1.5387
KIAA0143	2.56525
KCNJ16	0.0338333333333334
KRT79	1.47025
FABP2	-0.8305
NUT	-1.2345
ZNF57	-0.151
FBXL4	-0.606
CLEC9A	0.674
UGT8	-1.1125
BMP2K	-0.159
MAPK4	-3.20275
SLC25A23	-0.9198
HINT1	-0.176
KRTAP13-1	0.3495
SFXN5	0.9876
CHCHD2	0.31025
FAM3D	2.349
NDP	-3.038375
RHOBTB1	0.315333333333333
SLC4A4	-1.807375
RPL38	-0.32375
HTF9C	-0.808666666666667
AP2A2	0.79125
ZBTB46	0.089
MAP7D1	0.219625
AOX1	-1.4515
CYR61	0.884083333333333
DTNA	-1.31421428571429
JRKL	-0.00325
TMOD3	-0.64525
EEA1	-0.4964
ADCK5	1.39725
IL1R1	2.213
KLK3	0.8865
HRSP12	0.604
KTN1	-0.655
LOH11CR2A	0.7729
RELL2	-0.44825
MAB21L1	2.179
C20orf59	-0.966
PHKB	-0.32625
ADAM2	-0.714
TBC1D8B	1.061
FAM13A1	-1.325875
LAPTM4B	0.771666666666667
LCN8	0.1635
TMEM147	0.7565
SYT4	-0.460666666666667
XPO7	-1.747
C9orf62	1.627
GPR75	0.148
TRIM5	0.091875
APOC1	-0.8745
RNASE4	-1.20616666666667
PARD6B	-1.440125
ARID1A	0.373833333333333
TPD52L3	-0.2782
RRAGB	1.07066666666667
RCN2	-1.12816666666667
HIST2H2BE	-0.093625
STARD7	0.394
SHMT2	-0.26925
KIAA1751	-0.2526
MLYCD	0.527875
LOC162632	-0.9454
UQCRH	-1.43325
RP11-217H1.1	0.3199375
SDHA	-0.691833333333333
NCLN	-0.1365
ZNF17	0.747166666666667
RCBTB2	-1.70675
VEGFB	0.4931
RP4-747L4.3	0.054
COLQ	-0.4833
MPN2	-0.607833333333333
DRG2	0.312
KLRB1	4.892
ALPK2	-0.2505
DNASE2B	1.50225
FLJ23834	0.0381666666666667
AXUD1	0.736666666666667
SAFB	-0.548
NSUN4	-0.6105
RFX2	0.794166666666667
MAPK8IP1	-0.626166666666667
FANCD2	-1.5475
ANKZF1	-1.63666666666667
C19orf50	-0.750875
DUSP8	-0.173625
SENP5	0.27075
NFKBIL2	0.0455
LBR	-1.083
IGFL1	1.2775
LZTS2	0.27275
IL2RG	-0.96675
CCDC51	1.109
KLF3	0.187375
ANKRD37	-1.22825
KCTD14	-1.57166666666667
FZR1	0.16675
SLC44A4	3.6723
ESPL1	-0.88075
GMPR2	-0.6001
TBC1D19	-0.799666666666667
ERGIC1	1.04366666666667
ERBB4	4.0789
TSPAN32	0.483
MAP4	-0.139
GPHN	-0.56325
SLC6A2	0.06175
HIVEP1	-0.16325
DFFB	-0.7581
EIF4EBP2	0.245625
DMRT1	-0.378
HSPB6	-0.215
IER2	-0.307833333333333
AIFM1	0.05325
WWC2	0.659333333333333
MRPL4	-0.6865
FLJ21062	0.0328333333333333
EPB41L4A	0.8015
SH2D6	0.24925
TAF4B	-1.56525
GAL3ST3	-0.49
MALT1	-1.03333333333333
RTDR1	1.02775
ARVCF	-0.161625
MEX3B	-1.20333333333333
FBXO16	0.87675
KIF7	-1.1175
C1QC	4.17916666666667
ZNF783	-0.285
ZNF85	-0.72075
MMP13	5.192
KIAA0329	0.236
RTP3	-0.2265
ZBED3	-0.244
CLGN	0.075
SLC25A37	-1.98866666666667
hCG_18290	-1.16175
OR5AS1	0.106
SMARCC2	0.6925
FAM109A	0.854833333333333
CCDC12	-0.9495
USF2	0.7126
DEPDC7	-1.3205
C20orf24	-0.296
JMJD3	0.2115
DSP	1.30292857142857
SLIC1	0.391125
FAM20A	1.658375
IRF2BP2	0.5405
ZNF230	-0.093
MSN	-0.518071428571429
SLC9A5	-1.706
EPDR1	-1.3044
MUSK	0.268166666666667
ZNF434	-0.354166666666667
SMARCD1	-0.1915
ZFP106	-1.1915
ZNF347	0.6293
