Hybridization REF	TCGA-A2-A0CT-01A-31R-A056-07
PLEKHG4	-0.67325
GRB2	1.56975
HIST1H2AD	2.1435
DUS3L	-0.9305
EIF1	0.405166666666667
RP5-1077B9.4	-1.57983333333333
FPGT	1.7355
GDF10	-0.6395
COQ9	-0.80625
GCC2	0.411428571428571
RARRES3	2.275625
PLXNA1	-1.0848
KIAA0100	0.3594
PMF1	0.24875
FNDC1	4.992
HS2ST1	-0.1225
CRELD2	0.38775
C8G	-2.021
CD82	-0.792
LIM2	-1.2985
UNQ6490	-0.66
MMP16	0.72575
DRD3	-0.2695
C5orf26	-0.026
C11orf73	-0.652125
PTP4A2	0.64175
OR4M2	-0.0985
HPCA	-1.80216666666667
SEC14L1	-0.834666666666667
CHFR	-0.574875
EMILIN1	0.593
NDUFS4	-0.3395
COL18A1	-0.785125
PDZD3	-0.0623
C9orf16	-0.880666666666667
ERBB2IP	0.337333333333333
EMX2	3.5195
FUS	-0.68475
TF	-4.2604
CLCN4	-0.100333333333333
CXorf56	0.70775
C11orf72	0.47575
ELAC2	-1.34058333333333
NPR1	-1.498
ASS1	-3.48583333333333
USP42	0.40425
POLR2J	-2.161
SEC23IP	0.389333333333333
UQCRC1	-0.6415
LOC729603	-1.2325
C1orf71	0.592625
POLG	-2.371
ADAM23	-3.55875
TFR2	-0.88175
RICTOR	-0.6125
MGC39606	0.3975
C19orf55	-0.407
SNAPC1	-0.751833333333333
GNA11	1.039
CCDC52	0.8785
FSIP1	4.0685
UPF3A	-0.796625
IGSF11	-2.34166666666667
LAGE3	0.415
CHST6	-2.743
UNC13B	-1.191
TTLL4	-1.475125
ZNF687	1.10225
SDC2	-1.7911
COX7A2	0.94025
LAMB4	-0.67825
FAM24A	0.637
LRRTM3	-1.04433333333333
GPHB5	-0.019
OR4C13	0.446
EIF3EIP	-0.148
HABP4	-1.313
TMEM125	2.152
CNTN2	0.005125
ASNSD1	0.003
FUT4	-0.779125
ACF	-3.837
LOC158381	0.688
CDH8	0.19975
AGPS	-0.142666666666667
C4orf18	2.792625
PECI	-0.229833333333333
UNG	0.454625
GSTP1	-2.86675
DCUN1D5	-1.6895
DKFZP564J0863	-0.705
SLC9A3R1	1.598875
BCDO2	-1.862875
CHMP7	1.518625
REM2	0.548
DNHD1	-0.3185
FKBP4	0.479375
ZNF350	2.8315
MGC11102	0.30725
BST1	0.29925
KISS1R	-0.3435
NCR2	-0.1235
DEFB125	-1.2005
UBE2W	2.333875
KRT15	-0.9535
C10orf99	0.306
SCN11A	0.00637500000000001
GFI1	-3.068
RDHE2	-1.218
FHL1	-2.10616666666667
OSGEP	-0.496333333333333
GATA1	-3.30433333333333
SMC6	-1.69
TTTY14	-1.77875
LPIN3	-0.1875
RPL4	-1.4414
RBPMS	-0.2639
PRPF3	-0.667666666666667
EMR1	-2.288
SPATA19	-0.233
XCR1	0.312
IRX3	0.9591
RBM6	-1.6875
KLF4	-0.8252
UNC5CL	-0.67425
SEBOX	-0.5895
BTK	-0.60525
KRCC1	1.691
C6orf27	0.571
SYTL5	-0.667
PRND	0.809
LOC653319	-2.3905
PIGL	-0.79975
HUS1	-0.069
SFRS6	-0.448666666666667
C17orf77	0.729
UIMC1	-0.757666666666667
FXYD2	-1.9877
LOC283152	-0.59075
ZNF667	1.9625
ZCCHC12	-0.481
TFEC	2.5107
ATP7B	1.6695
POLD2	-0.512
RG9MTD1	-0.2495
ACOT2	1.36166666666667
HIST1H4I	-0.674625
PPARGC1A	-2.5808
ETFA	-1.9367
POLRMT	-0.19475
ZNF146	0.450375
MIA2	-0.7285
KLHL6	-1.7475
HOXB5	-0.304
NENF	0.475333333333333
CUGBP1	0.6645
PRSS22	1.412
CASC4	1.3354
CUL4B	0.0278
CENPJ	-1.9334
PITX1	-1.22216666666667
FLJ31033	2.74233333333333
CELSR3	-0.967333333333333
ZNF568	1.895
ITSN1	0.192833333333333
EHBP1L1	-0.7625
C19orf2	0.871
DCTN1	-0.19525
LIN28B	-3.41483333333333
TNKS2	-0.59475
C1QBP	0.8955
CADPS2	-0.543
SRMS	0.21775
GJA9	0.102166666666667
MGC24975	-1.22116666666667
TRIM45	-0.120833333333333
TSP50	-0.07975
TCP1	-1.60625
TMED7	0.7434
CMA1	1.0975
CENPL	0.207333333333333
PTCRA	-0.382
FST	-4.23425
VWCE	-3.96025
PAWR	0.2825
ABCC12	1.05016666666667
LDLR	-0.6343
ASTN2	1.3948
LOC441212	-0.64175
GPATCH8	-0.00575000000000001
TANC2	0.6735
KIF4A	-1.77075
C18orf18	0.49075
PGM1	-2.89525
KIAA0258	0.9815
CPD	2.46325
SNCAIP	0.04825
DCT	-4.4785
HLA-DOA	2.66586363636364
OR11L1	0.5875
UPK1B	-0.433333333333333
DNAJB4	-0.352375
UGT1A8	-0.46675
HIST1H4L	0.37
PECR	-0.662333333333333
HSPA2	1.89075
WFIKKN1	-3.249
SERP1	1.002625
SYDE2	3.03125
TACR2	0.34
NUP85	-0.36225
CD177	-0.459666666666667
LGR5	-1.7044
PIGG	0.741916666666667
PTHR1	-2.32183333333333
RAB5A	0.7665
FLJ13224	-0.076
USP9Y	-1.73266666666667
C7orf53	-3.6665
LRP1B	-1.10925
XAF1	0.9533
ABCG8	-0.7265
ANKDD1A	-1.024
DAND5	-2.183
SPAG6	-0.268
LINCR	-0.75725
ZDHHC22	0.63825
CCDC60	0.6095
THOC7	-1.6005
TCTA	0.7602
OR8K3	0.17825
NY-REN-7	-0.646
B2M	0.506833333333333
C6orf141	-3.30975
LPPR4	2.0025
SQLE	1.553
SEPHS1	-0.2515
BTBD14B	0.378
PLRG1	0.116
SPG7	-1.29625
ZNF614	1.43233333333333
PARD6G	0.434833333333333
INPP5B	-1.2479
GRPEL2	0.00224999999999999
PPID	-0.4685
TRIM56	-1.685
UBE2J1	-0.90425
IL20RA	1.1955
LOC387856	1.81625
C1orf107	0.98975
UTS2R	-0.303
C19orf22	0.019
SAFB2	0.262375
KIAA0652	0.866375
KLRG1	-0.6995
MS4A8B	3.91083333333333
FRAG1	1.233
KIAA1546	0.36125
E2F4	-1.5332
CLEC4M	0.113666666666667
BTBD14A	-1.53075
KIAA0999	0.4827
GYPA	-3.78583333333333
TAC1	2.9574
TRAIP	-1.7775
KIAA0232	1.6855
ERCC8	-0.429375
GPX4	0.566125
KIAA0368	-0.123375
GPR157	-1.6875
CTAGE4	-0.0145
C9orf30	-2.4225
OR52A1	0.2295
HSP90B3P	0.347
ALG9	-0.7888
BTBD10	1.47925
SDK2	-0.26
BAIAP3	2.09975
RABGGTB	-0.250375
ANKRD40	0.666
KRT74	0.4235
CALCOCO2	0.863214285714286
SNCA	-2.9325
TMSL8	-2.53575
C2orf53	-0.2075
ESRRB	-0.455
ARHGAP26	-2.10775
TDRD9	-3.2615
HRAS	1.08133333333333
KLRC4	1.8625
JAGN1	1.16033333333333
BSDC1	0.4515
RNF43	1.8588
NDUFAF1	-0.13075
PHF12	0.432
OR1L3	0.0255
FOLR2	1.50341666666667
LYZL6	0.411
tcag7.1260	-2.179
WSB1	-1.08833333333333
PROS1	-1.0371
OSTN	0.643
PSMB8	-0.108
SOCS4	0.00775000000000001
DDIT4L	0.93225
MAS1	0.2005
MGC34796	1.3305
CSHL1	0.1055
TBCCD1	0.133333333333333
ZBTB7C	-0.1305
AP2S1	-0.308875
P15RS	1.4422
VAT1	0.1513
SHANK3	0.235833333333333
TUFM	0.233833333333333
THEG	-1.06925
KRT34	-1.50925
SGSM3	0.183375
TOMM22	0.466125
SOCS3	1.55466666666667
CPO	-0.2545
POP4	1.073
BHLHB3	-0.0395
MALL	0.87775
OR1B1	0.424
PARK2	0.720833333333333
GPR124	0.157
LCE1E	-0.1485
RUVBL2	-0.16425
CGRRF1	1.4774
ACPL2	0.38325
WNT10B	-1.870125
BAIAP2L2	-2.525375
ISCA1	0.8935
C1orf125	0.116875
RPAP1	-1.29225
RAI16	0.341666666666667
RPL27	0.026375
NLRP9	0.2595
EPN1	0.1875
LOC388610	-0.6785
SLC35A1	2.038
GAL	-4.448
SLC14A2	0.0335
RDH11	-0.0868333333333333
FAM138F	-0.8055
AUH	0.15325
FLJ40243	0.11575
C14orf129	0.624333333333333
MBD2	0.261
ABHD14B	-0.80825
PIGT	1.28725
ALS2CR4	-0.435875
ALAS1	-0.0375
FOXO1	0.849
CRLF3	0.33725
C20orf107	1.2325
FARS2	0.3045
CCDC28A	0.15425
NPHP3	-1.6085
OR13F1	0.509
TSEN54	0.27025
DEFB106B	0.1499
OR8B4	0.474
STH	-1.33
ZC3H14	-0.514125
CBX2	-0.3245
TMEM49	0.026
C6orf21	0.1365
FLJ20920	0.359625
CRTAP	0.213285714285714
DDX50	-0.25975
STYXL1	1.96575
BLVRB	1.01416666666667
LOC147650	1.184
MMP24	0.1035
GRID1	1.77333333333333
BANF1	0.287
CTAGEP	0.0725
HMBS	-2.17325
SLC25A24	0.907
C14orf50	1.90525
MRO	1.45866666666667
SLC25A15	-1.49275
FAM84B	2.1133
TDP1	-1.099
C16orf78	0.0875
C11orf57	-0.00325
RFK	0.901875
ZFYVE9	0.77875
STCH	0.045
WIBG	0.1645
LOC283871	-0.167833333333333
GBA2	-0.7909
NDUFB3	-0.2405
HSD17B13	-0.55775
GRIN3A	0.503166666666667
FMNL1	-1.36083333333333
SEPT7	0.6716
GNLY	2.453
GRAMD1C	0.623333333333333
ZNF165	1.365
USP38	2.24475
FAM83A	-3.562
C14orf24	1.3585
ARMCX3	0.668625
ARHGDIB	-0.331166666666667
AK1	-0.46925
KIAA1045	-0.251
DNAJB13	-0.415833333333333
NEU2	0.315
HIST1H4B	0.377
FAM20B	0.1004
HES2	-0.367
FAM73B	-0.9266
LOC388381	0.29125
INTS7	-0.540090909090909
AMPH	0.9165
ZNF775	-1.075375
UCKL1	-0.0873333333333333
C10orf97	0.24975
C1orf161	-0.22175
ALDH1L1	-1.792
FLJ39378	0.106875
SLC23A1	-0.1655
RBM4B	0.0155
THAP4	0.115333333333333
OGFRL1	0.58825
KIAA0831	0.469875
PPP1R15A	-0.299833333333333
C1orf96	-0.672785714285714
C12orf11	-1.61425
BMF	0.74725
MAN1A1	0.596125
KIAA1600	0.258166666666667
NLGN4X	-1.743
ALOX12	-1.08883333333333
RB1CC1	1.2946
NEIL2	1.8668
EIF4E	0.864318181818182
ABHD5	0.20925
EXOC4	-0.749833333333333
CIP29	-0.394666666666667
BATF2	0.734
SLC29A4	-0.931875
HTR4	-0.1495
EMB	0.026
TRAF6	1.25275
LMNB1	-0.816
FAM19A5	2.297625
SHE	1.97825
PIK3C2B	0.07925
C15orf15	-0.7145
USP15	0.0815
TCEAL2	2.51175
C5orf39	-1.82083333333333
PTGER2	3.22025
SLC31A1	-0.2421875
IFT172	-0.83325
ADAM29	0.524
GFOD1	0.91475
ST7L	0.605833333333333
C15orf26	-3.13875
PKN3	-1.49425
CNTD1	3.86966666666667
COMMD1	0.329625
NTRK2	2.06066666666667
FOXN3	0.44
MFGE8	-1.2927
PFKFB2	-0.313833333333333
TAS2R4	-0.574
ENTHD1	0.471333333333333
PRMT5	-0.415375
MGC16384	-1.597125
LOC442229	0.43
TSKU	0.28475
KRTCAP3	2.610875
PDLIM1	0.3616
KCNS2	-0.0765
RNF126	-0.481166666666667
CEP63	0.54625
CLIC4	-1.614
hCG_1990170	-1.087
ACR	0.5673
KLK7	0.79325
ALOX5AP	2.892375
RIPK3	3.69275
TAS2R9	0.3175
C19orf18	2.634
BIRC6	-0.00921428571428572
ZNF16	1.9955
RFT1	-0.4015
SLC8A2	2.0295
TACC1	0.4005
ITGAD	1.12775
SAMHD1	0.67025
SH3PXD2B	0.5131
EPC2	0.579
C20orf85	0.17425
ATP13A2	-0.1905
KRT4	0.281875
CAPNS1	-0.29475
MDM2	0.0116666666666666
PCDH20	1.78625
KCNK9	1.198
OR2C1	1.172
KLHDC3	-0.101333333333333
IPPK	0.692
EFHD2	-1.18775
GALR3	-0.31025
NBEA	1.11133333333333
ABCA6	2.2085
CLDN3	2.254
AKT2	-0.161357142857143
EGFR	-2.436
RBM16	0.23275
ZDHHC3	-0.0784
SLC25A4	1.32716666666667
CYB5B	-0.8235
CPXM1	-0.473
NDRG1	-0.425769230769231
FLJ43826	0.47925
OR5L2	-0.0855
FARP2	0.6217
MRPL46	-0.586166666666667
LDHAL6B	0.163166666666667
MAPKAPK3	-1.34
NCAM2	4.75825
PRKD2	0.0675
ZFP36L1	0.1415
CYSLTR1	-0.575
OR4C3	0.52725
HIST1H2AJ	2.117
CCNB2	-3.27411111111111
ZNF10	-0.128875
TMEM175	-0.0855
FAM134A	1.20883333333333
TIGD4	0.4415
PCNP	-0.64425
MGC39715	0.5695
LQK1	-0.7125
CREB1	1.1217
TMPRSS3	-3.3115
C4orf32	1.368625
LAT	-2.184
KCNA3	0.0195
SKIV2L2	-0.6605
ROPN1B	-3.3935
tcag7.23	-0.536
CDT1	-2.9085
ZHX2	1.82125
CD28	-3.97225
ZNF624	1.0645
SEPT2	0.154916666666667
SOHLH2	-2.61625
MCOLN3	2.219375
UNQ1945	0.057
MASP2	-1.2825
ZNRF3	1.2134
GPATCH3	-0.39675
AGL	0.49
QRICH2	-0.33
PSD4	1.5585
CCNB1IP1	-2.19575
ENPP7	0.4415
OBFC1	-0.38
KCNG3	-1.62025
C14orf79	1.02008333333333
ENPEP	2.127
SCT	1.236
SKI	0.32625
SEC61G	-0.89625
CAPN11	0.02675
ATXN7L3	0.052
DBNDD1	-0.327833333333333
FAIM	0.117
ANKRD36	-0.671
GABRP	1.2145
TACSTD2	2.22233333333333
EIF3J	-1.1365
PPP2R2A	0.40975
TEKT4	-1.3995
PVALB	4.09533333333333
F10	-2.879
FAM134C	1.7328
COMP	3.052125
EFCBP1	-2.8009375
SCLT1	0.944
TAL1	-0.8078
ACSL1	0.33075
ABCC5	1.45716666666667
ABL1	-0.570277777777778
RBBP7	0.1355
PTPRG	-1.223125
NCOR1	-0.3129
SPINK4	-2.2095
TXNRD1	-1.2481
TNRC15	1.543125
C9orf138	1.153875
UBE2H	0.423
BRDT	4.53783333333333
C8orf31	-0.16625
CCNE2	-0.0918181818181818
SLC6A8	-1.28225
CALCR	-3.67525
PPP1CB	0.113583333333333
ABHD8	0.1795
ARF5	-0.6039
SLC24A4	-0.01425
CCT3	0.06975
ZNF121	1.40975
SLC3A2	0.1532
OR13A1	0.355
SLC5A10	1.77125
RAD50	0.949125
IER5	-0.318
MTHFD1L	-2.96375
MBTPS2	0.3105
MVK	0.292875
NCL	-0.4236
PSMD10	0.06525
MOBP	-0.05475
FLJ32894	0.406
HRH1	-0.476166666666667
C5orf30	2.331
NUDT16L1	1.0496
RASGRP3	3.2505
PRKRIP1	-1.075
CCDC75	1.06425
LOC253970	0.2745
KIAA1239	0.08725
MED21	-0.33225
SYT11	0.225416666666667
NTSR2	-0.619
EGFL11	0.235
CXorf59	0.412
OR2A25	0.4445
SPTBN2	-1.5085
LRMP	-1.693
RNF111	-0.29225
PTH	-0.119
LOC619208	0.648166666666667
KIAA0895	1.98
RANBP5	-1.370125
P2RY10	0.179666666666667
NME5	3.7455
DDX21	-1.019
LRSAM1	0.1605
HDAC11	2.3955
VMO1	2.34075
NOLA2	0.1685
ADAR	0.404833333333333
MTO1	-0.182
SF4	0.143
P2RX1	0.348166666666667
HBM	0.028
EN2	-0.5735
C14orf172	0.4035
TM9SF2	0.6824
INHBE	-1.19466666666667
TCTE3	-0.4295
TOX2	-3.69975
CTAGE3	0.975875
HBB	3.1391
MED15	-0.93
CASR	0.01125
C6orf66	-1.65383333333333
MTPN	-0.2075
UNC50	0.26225
C21orf33	0.580375
IRF2	1.283125
PGR	-2.25583333333333
GPR84	1.95325
CROCCL1	-3.42675
SRPX	-2.66875
BRE	-0.0635
FGF10	0.6445
SDC3	-1.84383333333333
ZRSR1	0.415666666666667
DKFZP434P211	-0.526375
SOX6	0.3065
RPUSD2	-0.8635
C14orf173	-0.704666666666667
MAPK11	-0.729
TBC1D22A	0.7785
FAM123A	-1.1415
COL4A6	-3.34083333333333
TOMM70A	0.6655
NAB1	-1.106
MGC16385	0.022375
TSPAN18	-0.0481666666666667
MED31	0.954
PLG	-0.72725
CAPSL	1.2925
ZNF532	0.6165
ASB14	-0.31225
CA8	0.856
NUDT16P	2.367
SLFN11	-1.6595
LRRIQ2	0.78025
NOL7	0.152333333333333
BRMS1L	-0.309375
JARID1A	0.242333333333333
PANK2	0.077
ICAM3	-0.2785
MDS1	-0.7325
TAF8	-0.01225
RNF139	1.866
ZNF594	1.386
ADAM8	0.5975
SFTPC	-0.266125
MAN2B2	1.71875
RGS12	0.81
EIF1AY	-4.83133333333333
LRRIQ1	-1.29466666666667
GPR150	-0.3595
CCDC21	-1.57616666666667
PRRG3	0.48575
SAA4	-4.5625
RAPGEF5	1.194
ZCCHC2	0.348833333333333
MGC39372	0.3945
PPP4R2	0.281333333333333
CDCA2	-0.451166666666667
OR4D5	0.703333333333333
PTGFRN	0.4628
SIGLEC5	1.787
C19orf61	-0.723166666666667
NMUR2	0.519
KIAA1586	-0.310333333333333
DAGLA	-0.100833333333333
CHCHD6	0.1485
GPR32	0.631
NEUROD6	0.1755
SLC2A4RG	0.29425
CA5B	1.6385
FBXL3	1.04025
MPHOSPH9	-1.56725
HMG2L1	1.1905
HCN4	-0.546
CEACAM19	-0.055
SH2D4B	0.380166666666667
HFE2	-0.876
TGM4	0.4048
LYPD2	0.1905
TBC1D15	0.31975
MRPS21	-0.9754
NONO	-0.5595
CLEC5A	0.96725
ITCH	0.7831
MGAT3	-1.3025
MBP	-0.227625
RPP25	-1.056
SOSTDC1	-1.38975
HRC	-0.39775
TRIM48	0.112
TMEM133	-0.61275
ECEL1P2	-2.02375
HOXC11	2.163
DOK5	-0.69325
HELZ	0.819833333333333
LOC348180	-1.22825
MGC33894	0.09025
ADRB3	0.2055
DMD	-0.648916666666667
PTRH2	0.48725
MPEG1	2.89233333333333
NDUFA12	0.4055
KRTAP2-4	-0.138166666666667
STAMBPL1	-2.1095
ADCY2	-0.6365
UNQ6125	-0.0985
KLHL20	1.20983333333333
SRM	-1.585
OTC	-0.21825
TMIE	0.117166666666667
SNX8	0.545
LIPK	-0.2235
CHURC1	1.1
KLC2	0.301166666666667
HDAC1	-0.254
FAM128A	-0.139333333333333
FNDC3B	-1.1714
MTCP1	-0.418166666666667
WFDC10B	0.4144
PCDHGB3	-0.0445
ATRNL1	-0.3481
CAV2	-1.034875
MED26	0.172
DUS1L	-0.211
CHRM3	-1.669875
NEK9	0.838
WARS2	0.429
TBX22	-0.279
TOMM40	-0.3805
RP6-213H19.1	-1.711
TUBGCP5	-1.41475
IGSF6	4.939
TPPP	1.24433333333333
UNQ6190	0.1645
GSTM5	2.137625
BTD	1.42733333333333
PDCD1LG2	0.0365
SNRPB2	0.708
ERICH1	1.118625
APOA4	-1.499
HOXA11	-2.72175
NARG1	0.205875
MKX	-0.8
RAB28	0.526571428571429
PKP3	1.1975
SH3GL2	-2.73725
CTSO	4.62875
RPN2	0.7405625
IL28RA	0.483166666666667
SFMBT1	-0.6675
WDR57	-0.122875
FER1L3	1.50316666666667
HSF5	0.3765
TTC9B	0.9575
C4BPA	-4.20383333333333
ALB	-3.78171428571429
SORBS3	0.485625
UPF2	0.039
JPH1	-0.037
AGBL2	1.37975
DOPEY1	1.255
TERF1	0.886416666666667
KIF22	-0.565833333333333
NINJ1	1.41
SEC61A2	-0.429083333333333
HIST1H1D	0.151666666666666
SFXN4	0.12725
UCP3	-0.5579
ZNF703	2.013
MYL6B	-0.3985
TREM1	1.12
OR52E6	0.472
CKMT2	0.823
HLA-C	1.3915
SLC13A3	-2.44066666666667
TIMP4	-2.47575
SLIT2	1.9305
RSF1	0.1225
LONRF1	0.210928571428571
MON1A	-1.2085
CACNG6	2.722
DPPA4	-5.46883333333333
ZSWIM3	1.49875
ZNF804A	0.356166666666667
CCIN	1.33
SLC25A31	0.441
KCNMB4	-1.114
RABL5	-0.168875
GALNS	-0.3372
STX6	1.196125
HIST1H1C	2.72416666666667
CIDEB	-1.349375
CASP4	-1.57366666666667
PDK3	0.309
KCNJ11	1.978
TPR	0.328375
ZSCAN20	-0.137
MTX2	0.24975
HIST1H2BH	1.2655
LOC283767	-0.42325
LYRM7	-1.12472222222222
BRD3	-0.2365
HIST1H2BO	0.62825
MAGEB10	0.836
SLC45A1	1.71625
SERPINA3	0.8269
KIAA0143	0.7315
KCNJ16	1.13933333333333
KRT79	0.196
FABP2	-0.58425
NUT	-0.075
ZNF57	0.3935
FBXL4	1.17
CLEC9A	1.5885
UGT8	-1.74533333333333
BMP2K	0.579
MAPK4	-3.72825
SLC25A23	0.3316
HINT1	-0.1826
KRTAP13-1	0.317
SFXN5	0.0391
CHCHD2	1.32941666666667
FAM3D	0.9055
NDP	0.897625
RHOBTB1	-0.4405
SLC4A4	0.424875
RPL38	0.0995
HTF9C	0.059
AP2A2	0.610125
ZBTB46	-0.0295
MAP7D1	-0.7795
AOX1	-0.973833333333333
CYR61	0.844583333333333
DTNA	0.534428571428571
JRKL	-1.03975
TMOD3	-0.5785
EEA1	0.4076
ADCK5	-0.1795
IL1R1	3.71633333333333
KLK3	0.099
HRSP12	1.61925
KTN1	0.6755
LOH11CR2A	-0.0545999999999999
RELL2	-1.37275
MAB21L1	0.63275
C20orf59	-1.13433333333333
PHKB	0.82475
ADAM2	-1.91816666666667
TBC1D8B	1.5215
FAM13A1	-1.342875
LAPTM4B	0.104583333333333
LCN8	-0.1395
TMEM147	1.2125
SYT4	0.675333333333333
XPO7	0.384
C9orf62	-0.78125
GPR75	0.372
TRIM5	-0.39725
APOC1	-0.248833333333333
RNASE4	1.32933333333333
PARD6B	-1.376625
ARID1A	-0.123333333333333
TPD52L3	-0.0235
RRAGB	1.9015
RCN2	-0.612
HIST2H2BE	1.2910625
STARD7	-0.193
SHMT2	-1.46175
KIAA1751	0.0116666666666666
MLYCD	0.095375
LOC162632	0.3943
UQCRH	-1.5095
RP11-217H1.1	0.6883125
SDHA	-1.18816666666667
NCLN	-0.1362
ZNF17	0.932833333333333
RCBTB2	-2.121
VEGFB	-0.00569999999999999
RP4-747L4.3	-0.0215
COLQ	-0.059
MPN2	-1.014
DRG2	-0.4835
KLRB1	4.13275
ALPK2	-4.18975
DNASE2B	0.76775
FLJ23834	-0.842
AXUD1	2.2375
SAFB	0.1958
NSUN4	-0.52425
RFX2	1.10716666666667
MAPK8IP1	0.635666666666667
FANCD2	-1.16914285714286
ANKZF1	-1.96633333333333
C19orf50	-0.94975
DUSP8	1.541875
SENP5	-0.1725
NFKBIL2	-0.39525
LBR	-1.75475
IGFL1	0.3805
LZTS2	-0.2845
IL2RG	-1.348625
CCDC51	-0.52725
KLF3	0.052
ANKRD37	-0.9135
KCTD14	-0.585
FZR1	0.139166666666667
SLC44A4	4.0959
ESPL1	-1.036125
GMPR2	0.1541
TBC1D19	-0.16
ERGIC1	0.426444444444444
ERBB4	4.6326
TSPAN32	0.0149166666666667
MAP4	-1.225625
GPHN	0.15175
SLC6A2	-0.1675
HIVEP1	1.2845
DFFB	-0.526
EIF4EBP2	-0.04575
DMRT1	-1.03075
HSPB6	-0.36375
IER2	0.974
AIFM1	-0.497
WWC2	-0.737833333333333
MRPL4	-0.41425
FLJ21062	0.566666666666667
EPB41L4A	0.9965
SH2D6	0.439
TAF4B	-0.91575
GAL3ST3	0.239
MALT1	-1.1905
RTDR1	1.96125
ARVCF	-0.196375
MEX3B	-2.00266666666667
FBXO16	2.18775
KIF7	-1.755
C1QC	3.69666666666667
ZNF783	-1.48783333333333
ZNF85	0.83125
MMP13	2.5465
KIAA0329	0.52
RTP3	-0.692
ZBED3	-1.76525
CLGN	3.52125
SLC25A37	-1.67779166666667
hCG_18290	-0.4165
OR5AS1	0.4225
SMARCC2	0.0456666666666667
FAM109A	-0.163
CCDC12	-0.7335
USF2	0.6358
DEPDC7	-2.98
C20orf24	0.257333333333333
JMJD3	1.3965
DSP	1.85764285714286
SLIC1	0.10225
FAM20A	0.356375
IRF2BP2	0.909375
ZNF230	0.611
MSN	-1.50414285714286
SLC9A5	-2.5245
EPDR1	-3.2905
MUSK	-0.401833333333333
ZNF434	0.219333333333333
SMARCD1	-0.954666666666667
ZFP106	-1.02925
ZNF347	0.6361
GTF2E1	1.11225
RY1	0.286666666666667
ATAD2B	-0.45275
