Hybridization REF	TCGA-BH-A0E0-01A-11R-A056-07
ARHGAP26	-1.319375
TDRD9	-2.21075
HRAS	1.03416666666667
KLRC4	-2.669
JAGN1	-0.343166666666667
BSDC1	0.91675
RNF43	-1.3257
NDUFAF1	-0.15975
PHF12	0.48725
OR1L3	0.23125
FOLR2	1.83683333333333
LYZL6	0.154333333333333
tcag7.1260	-0.3335
WSB1	-2.03083333333333
PROS1	-1.068
OSTN	1.133
PSMB8	-2.0335
SOCS4	-1.352625
DDIT4L	5.0265
MAS1	-1.004
MGC34796	1.89175
CSHL1	0.413
TBCCD1	0.739
ZBTB7C	0.265
AP2S1	0.293625
P15RS	0.2273
VAT1	0.4907
SHANK3	0.980666666666667
TUFM	-0.2285
THEG	1.419
KRT34	0.6935
SGSM3	0.10675
TOMM22	0.033375
SOCS3	0.323
CPO	-0.1135
POP4	0.378
BHLHB3	-0.49025
MALL	0.458
OR1B1	-0.7475
PARK2	0.574166666666667
GPR124	-0.273875
LCE1E	0.302
RUVBL2	0.08225
CGRRF1	-1.206
ACPL2	0.3595
WNT10B	-2.1345
BAIAP2L2	0.6125
ISCA1	-0.4475
C1orf125	4.096625
RPAP1	-0.94825
RAI16	0.445333333333333
RPL27	-0.074125
NLRP9	-2.373
EPN1	0.9365
LOC388610	-1.542875
SLC35A1	-0.0926
GAL	0.89025
SLC14A2	0.42075
RDH11	0.029
FAM138F	0.0975
AUH	-0.5915
FLJ40243	0.04
C14orf129	-0.762833333333333
MBD2	0.044
ABHD14B	-0.427375
PIGT	-1.099875
ALS2CR4	-0.500875
ALAS1	1.5989
FOXO1	1.20033333333333
CRLF3	-0.088125
C20orf107	-0.519
FARS2	0.578
CCDC28A	0.462
NPHP3	-1.60575
OR13F1	-0.0195
TSEN54	-0.1175
DEFB106B	-0.4993
OR8B4	-0.2605
STH	-0.74
ZC3H14	-0.332375
CBX2	-0.593
TMEM49	-2.3315
C6orf21	0.922
FLJ20920	0.65675
CRTAP	-1.93521428571429
DDX50	0.15625
STYXL1	0.906
BLVRB	0.435666666666667
LOC147650	0.807333333333333
MMP24	0.17625
GRID1	1.57783333333333
BANF1	-0.251666666666667
CTAGEP	0.01425
HMBS	-2.11775
SLC25A24	0.35
C14orf50	1.42225
MRO	0.1485
SLC25A15	-0.1265
FAM84B	-0.104
TDP1	0.07
C16orf78	-0.36375
C11orf57	1.93125
RFK	-0.317
ZFYVE9	0.7685
STCH	-1.3313
WIBG	0.594
LOC283871	-0.729333333333333
GBA2	-0.2884
NDUFB3	-0.47775
HSD17B13	-1.268
GRIN3A	-0.313666666666667
FMNL1	-1.147
SEPT7	-0.0769
GNLY	1.5835
GRAMD1C	1.11283333333333
ZNF165	2.02875
USP38	0.2795
FAM83A	-2.01633333333333
C14orf24	-0.235916666666667
ARMCX3	0.098125
ARHGDIB	-1.19166666666667
AK1	-0.00100000000000001
KIAA1045	-0.08775
DNAJB13	0.536
NEU2	-0.259
HIST1H4B	-0.692333333333333
FAM20B	0.8843
HES2	1.99907142857143
FAM73B	1.1225
LOC388381	0.28875
INTS7	-0.680454545454545
AMPH	-1.2585
ZNF775	0.352875
UCKL1	-0.430166666666667
C10orf97	-3.5625
C1orf161	1.5015
ALDH1L1	-1.92125
FLJ39378	-0.22975
SLC23A1	-0.6335
RBM4B	0.11575
THAP4	0.00516666666666666
OGFRL1	0.819
KIAA0831	-0.5695
PPP1R15A	0.503833333333333
C1orf96	1.82
C12orf11	-0.7545
BMF	3.618875
MAN1A1	-2.66016666666667
KIAA1600	1.43366666666667
NLGN4X	-2.0385
ALOX12	-0.496
RB1CC1	0.2675
NEIL2	0.8602
EIF4E	-0.400681818181818
ABHD5	1.41075
EXOC4	0.4795
CIP29	-0.895833333333333
BATF2	-1.513
SLC29A4	2.627
HTR4	0.28225
EMB	-2.58675
TRAF6	0.78775
LMNB1	-1.27775
FAM19A5	-1.71875
SHE	1.1395
PIK3C2B	2.744
C15orf15	-0.8412
USP15	-0.2458
TCEAL2	-0.278
C5orf39	-1.1455
PTGER2	-2.66025
SLC31A1	-0.0530625
IFT172	0.5045
ADAM29	0.412
GFOD1	2.9135
ST7L	0.342166666666667
C15orf26	-2.80775
PKN3	-0.915
CNTD1	-1.42766666666667
COMMD1	0.711
NTRK2	1.25608333333333
FOXN3	-0.035875
MFGE8	-1.045
PFKFB2	0.234166666666667
TAS2R4	-0.0416666666666667
ENTHD1	0.005
PRMT5	-1.231875
MGC16384	-1.627
LOC442229	0.20025
TSKU	2.61675
KRTCAP3	3.14025
PDLIM1	-0.9232
KCNS2	0.382
RNF126	-0.487833333333333
CEP63	-0.39525
CLIC4	-0.95325
hCG_1990170	1.85775
ACR	-0.0639
KLK7	4.97675
ALOX5AP	1.667875
RIPK3	1.69125
TAS2R9	0.675
C19orf18	1.229
BIRC6	0.326714285714286
ZNF16	1.958
RFT1	-1.40725
SLC8A2	-0.7725
TACC1	-0.89375
ITGAD	1.666
SAMHD1	0.2495
SH3PXD2B	0.792
EPC2	0.30425
C20orf85	0.0437142857142857
ATP13A2	0.2605
KRT4	4.729375
CAPNS1	-0.46175
MDM2	-0.3095
PCDH20	1.47875
KCNK9	0.565
OR2C1	0.121
KLHDC3	0.310333333333333
IPPK	1.385
EFHD2	0.6465
GALR3	2.19675
NBEA	-2.79883333333333
ABCA6	2.5583
CLDN3	-0.363333333333333
AKT2	0.683714285714286
EGFR	2.2532
RBM16	-0.113875
ZDHHC3	0.3655
SLC25A4	-1.16966666666667
CYB5B	-1.86266666666667
CPXM1	-1.2495
NDRG1	0.756846153846154
FLJ43826	0.71325
OR5L2	-0.2274
FARP2	0.0732000000000001
MRPL46	-0.526416666666667
LDHAL6B	0.1765
MAPKAPK3	-0.5455
NCAM2	-3.08225
PRKD2	0.7885
ZFP36L1	0.3361
CYSLTR1	-1.68125
OR4C3	0.0745
HIST1H2AJ	2.0225
CCNB2	-1.23988888888889
ZNF10	0.75075
TMEM175	0.9965
FAM134A	0.732166666666667
TIGD4	-1.375
PCNP	-0.76625
MGC39715	-0.3625
LQK1	-2.51325
CREB1	-0.1917
TMPRSS3	-2.27625
C4orf32	-0.1025
LAT	-1.3595
KCNA3	0.183
SKIV2L2	-1.0105
ROPN1B	0.19775
tcag7.23	0.8605
CDT1	-2.12125
ZHX2	-0.330125
CD28	-2.521
ZNF624	0.63175
SEPT2	-0.498666666666667
SOHLH2	-1.545875
MCOLN3	-0.130857142857143
UNQ1945	1.208
MASP2	-0.3185
ZNRF3	-0.8707
GPATCH3	-0.1945
AGL	-0.44375
QRICH2	-0.799
PSD4	0.293166666666667
CCNB1IP1	-1.51425
ENPP7	-0.083
OBFC1	0.07725
KCNG3	-2.92525
C14orf79	-0.0310833333333333
ENPEP	1.39566666666667
SCT	1.6605
SKI	2.19025
SEC61G	0.0375
CAPN11	0.224333333333333
ATXN7L3	0.47025
DBNDD1	0.456333333333333
FAIM	-0.363
ANKRD36	-1.2805
GABRP	4.5085
TACSTD2	1.26516666666667
EIF3J	-0.43875
PPP2R2A	-0.36075
TEKT4	-0.262333333333333
PVALB	-3.55216666666667
F10	-2.60133333333333
FAM134C	0.6003
COMP	4.02475
EFCBP1	-3.5765
SCLT1	0.321875
TAL1	-1.0208
ACSL1	2.2395
ABCC5	-1.29166666666667
ABL1	-1.02455555555556
RBBP7	0.058
PTPRG	-1.64375
NCOR1	-0.1741
SPINK4	-2.7035
TXNRD1	-1.6102
TNRC15	0.246125
C9orf138	2.42325
UBE2H	0.531666666666667
BRDT	-1.0245
C8orf31	-0.853
CCNE2	-0.468090909090909
SLC6A8	-1.0605
CALCR	-3.8655
PPP1CB	1.52041666666667
ABHD8	-0.16525
ARF5	0.8985
SLC24A4	0.77
CCT3	1.14
ZNF121	-1.136375
SLC3A2	-0.3611
OR13A1	0.6985
SLC5A10	0.522
RAD50	-0.4075
IER5	1.577375
MTHFD1L	-1.318
MBTPS2	0.111
MVK	-0.321375
NCL	-0.2173
PSMD10	-0.6185
MOBP	0.723285714285714
FLJ32894	0.703
HRH1	-1.61
C5orf30	-1.41825
NUDT16L1	0.2394
RASGRP3	3.39833333333333
PRKRIP1	0.0271
CCDC75	0.838
LOC253970	-0.840666666666667
KIAA1239	-0.185
MED21	0.04275
SYT11	-0.714833333333333
NTSR2	0.721
EGFL11	0.0735
CXorf59	1.607
OR2A25	0.39175
SPTBN2	1.81175
LRMP	-1.9642
RNF111	-0.59125
PTH	0.994
LOC619208	0.236666666666667
KIAA0895	1.117
RANBP5	0.038625
P2RY10	0.576
NME5	0.735166666666667
DDX21	-0.98125
LRSAM1	-0.295
HDAC11	1.22316666666667
VMO1	0.06375
NOLA2	-0.286333333333333
ADAR	0.970166666666667
MTO1	-1.07066666666667
SF4	0.172666666666667
P2RX1	0.259833333333333
HBM	0.08525
EN2	2.515
C14orf172	0.54125
TM9SF2	0.741
INHBE	-1.109
TCTE3	0.282
TOX2	-2.68625
CTAGE3	-0.85775
HBB	2.7936
MED15	-0.8315
CASR	0.306333333333333
C6orf66	-0.151666666666667
MTPN	0.297875
UNC50	-1.71
C21orf33	0.545625
IRF2	0.286375
PGR	-2.764
GPR84	-0.586
CROCCL1	-2.9575
SRPX	-3.32575
BRE	0.613666666666667
FGF10	1.35033333333333
SDC3	-1.37616666666667
ZRSR1	0.620833333333333
DKFZP434P211	-0.245125
SOX6	-0.1905
RPUSD2	0.04925
C14orf173	-0.0203333333333333
MAPK11	-0.0301666666666667
TBC1D22A	0.7795
FAM123A	-0.648
COL4A6	-3.92066666666667
TOMM70A	0.48425
NAB1	-0.27325
MGC16385	-0.000250000000000002
TSPAN18	-0.183666666666667
MED31	-0.587
PLG	-0.182
CAPSL	-1.318
ZNF532	1.436
ASB14	-0.41525
CA8	-4.23425
NUDT16P	-1.3352
SLFN11	-1.0795
LRRIQ2	0.209375
NOL7	0.0411666666666667
BRMS1L	-1.079
JARID1A	0.762333333333333
PANK2	-0.25625
ICAM3	-1.35025
MDS1	-0.567
TAF8	-0.77075
RNF139	0.4125
ZNF594	-0.990166666666667
ADAM8	0.675
SFTPC	1.114625
MAN2B2	0.57375
RGS12	-0.101875
EIF1AY	-3.92290909090909
LRRIQ1	-0.903
GPR150	2.29325
CCDC21	-0.7355
PRRG3	2.17075
SAA4	-3.81725
RAPGEF5	0.86175
ZCCHC2	1.19841666666667
MGC39372	0.342
PPP4R2	-0.279166666666667
CDCA2	-0.481833333333333
OR4D5	2.29283333333333
PTGFRN	1.7932
SIGLEC5	0.833666666666667
C19orf61	0.252
NMUR2	-0.6165
KIAA1586	-1.01516666666667
DAGLA	-0.686666666666667
CHCHD6	0.3215
GPR32	0.1615
NEUROD6	0.8004
SLC2A4RG	1.079125
CA5B	1.06975
FBXL3	-0.794
MPHOSPH9	-1.85425
HMG2L1	-0.2205
HCN4	1.9495
CEACAM19	2.68725
SH2D4B	0.4228
HFE2	-1.1425
TGM4	-0.618
LYPD2	1.10725
TBC1D15	0.1615
MRPS21	0.5949
NONO	-0.0411
CLEC5A	0.91
ITCH	0.3463
MGAT3	-0.0905
MBP	-1.19225
RPP25	-1.42125
SOSTDC1	-0.467
HRC	-1.4825
TRIM48	1.3675
TMEM133	0.0565
ECEL1P2	-1.301
HOXC11	-1.122
DOK5	-3.08975
HELZ	0.0115
LOC348180	-0.58375
MGC33894	0.3945
ADRB3	0.988
DMD	-0.792416666666667
PTRH2	-0.65725
MPEG1	2.5725
NDUFA12	-0.634333333333333
KRTAP2-4	0.266
STAMBPL1	-0.8795
ADCY2	0.613166666666667
UNQ6125	1.056
KLHL20	0.514166666666667
SRM	-0.222
OTC	-1.34266666666667
TMIE	1.735
SNX8	1.447
LIPK	0.9045
CHURC1	-0.890916666666667
KLC2	0.564
HDAC1	0.0546666666666667
FAM128A	-0.525166666666667
FNDC3B	-1.1892
MTCP1	-0.267
WFDC10B	0.182666666666667
PCDHGB3	0.69
ATRNL1	-3.4787
CAV2	-1.614
MED26	0.1415
DUS1L	0.39875
CHRM3	-2.1805
NEK9	-0.494
WARS2	0.78175
TBX22	-2.6225
TOMM40	0.05925
RP6-213H19.1	0.419666666666667
TUBGCP5	-1.0025
IGSF6	5.752
TPPP	0.121
UNQ6190	0.933
GSTM5	-1.048625
BTD	-0.118166666666667
PDCD1LG2	-0.844
SNRPB2	0.7785
ERICH1	0.624875
APOA4	-2.102625
HOXA11	-2.09575
NARG1	-0.42325
MKX	-1.39175
RAB28	-0.960142857142857
PKP3	1.70125
SH3GL2	0.24675
CTSO	0.59875
RPN2	0.886625
IL28RA	0.143333333333333
SFMBT1	0.72475
WDR57	-0.102375
FER1L3	0.12025
HSF5	0.308166666666667
TTC9B	0.28275
C4BPA	-5.07916666666667
ALB	-3.77007142857143
SORBS3	-0.679
UPF2	0.523
JPH1	0.8785
AGBL2	-2.53525
DOPEY1	1.784
TERF1	-0.628166666666667
KIF22	-0.5965
NINJ1	0.65675
SEC61A2	-0.24375
HIST1H1D	-1.29016666666667
SFXN4	1.076375
UCP3	1.3354
ZNF703	0.730666666666667
MYL6B	-0.53975
TREM1	3.51125
OR52E6	-0.2415
CKMT2	1.9855
HLA-C	0.648625
SLC13A3	-1.815
TIMP4	2.11425
SLIT2	0.5295
RSF1	1.03577777777778
LONRF1	0.459142857142857
MON1A	0.143166666666667
CACNG6	-1.1415
DPPA4	-4.618
ZSWIM3	0.6955
ZNF804A	0.143666666666667
CCIN	0.5815
SLC25A31	-0.632
KCNMB4	-2.66375
RABL5	0.34625
GALNS	-1.1335
STX6	2.602625
HIST1H1C	-0.6875
CIDEB	-0.229875
CASP4	-0.7985
PDK3	1.7745
KCNJ11	0.298
TPR	0.973
ZSCAN20	-0.939
MTX2	-0.56225
HIST1H2BH	0.463
LOC283767	2.55575
LYRM7	-1.37161111111111
BRD3	-0.083
HIST1H2BO	-0.0035
MAGEB10	2.4995
SLC45A1	-0.23625
SERPINA3	-2.6688
KIAA0143	0.568
KCNJ16	-0.00799999999999998
KRT79	5.59075
FABP2	-0.61775
NUT	0.0415
ZNF57	-0.36275
FBXL4	-0.131375
CLEC9A	0.9915
UGT8	-0.428333333333333
BMP2K	-0.77775
MAPK4	-1.62775
SLC25A23	-0.9874
HINT1	-0.8166
KRTAP13-1	0.173
SFXN5	0.0345
CHCHD2	0.778833333333333
FAM3D	1.123
NDP	-1.506125
RHOBTB1	0.0463333333333333
SLC4A4	-1.732875
RPL38	-0.03575
HTF9C	-0.662
AP2A2	0.476875
ZBTB46	0.7555
MAP7D1	0.56475
AOX1	-2.81866666666667
CYR61	-1.74525
DTNA	-1.92871428571429
JRKL	0.9655
TMOD3	-1.27125
EEA1	0.2643
ADCK5	0.97425
IL1R1	0.919166666666666
KLK3	0.515
HRSP12	-0.36475
KTN1	0.1515
LOH11CR2A	-1.6585
RELL2	0.0845
MAB21L1	-0.99075
C20orf59	-1.1125
PHKB	-0.60825
ADAM2	-1.5385
TBC1D8B	0.444666666666667
FAM13A1	-1.1590625
LAPTM4B	-0.595833333333333
LCN8	-0.559
TMEM147	1.467
SYT4	-0.187333333333333
XPO7	0.3825
C9orf62	2.688
GPR75	1.6385
TRIM5	-1.738875
APOC1	1.11766666666667
RNASE4	-0.891333333333333
PARD6B	-2.49675
ARID1A	0.5005
TPD52L3	0.3422
RRAGB	0.227166666666667
RCN2	-1.05083333333333
HIST2H2BE	0.5739375
STARD7	-0.82425
SHMT2	-0.688
KIAA1751	0.9095
MLYCD	-0.090625
LOC162632	-1.1812
UQCRH	-0.263
RP11-217H1.1	0.5650625
SDHA	-1.40066666666667
NCLN	0.1096
ZNF17	0.261166666666667
RCBTB2	-2.971
VEGFB	-0.3787
RP4-747L4.3	0.58575
COLQ	0.4599
MPN2	-0.485333333333333
DRG2	-0.21075
KLRB1	5.7155
ALPK2	-2.25275
DNASE2B	1.36525
FLJ23834	-0.00480000000000001
AXUD1	0.00183333333333334
SAFB	0.0856
NSUN4	0.4905
RFX2	0.680833333333333
MAPK8IP1	0.798833333333333
FANCD2	-0.818928571428571
ANKZF1	-1.0935
C19orf50	-0.969
DUSP8	0.389625
SENP5	0.783625
NFKBIL2	0.40475
LBR	-0.532125
IGFL1	-0.078
LZTS2	1.103375
IL2RG	-0.31675
CCDC51	-0.81925
KLF3	0.2125
ANKRD37	-2.0895
KCTD14	-2.4645
FZR1	0.354083333333333
SLC44A4	-1.9015
ESPL1	-0.393375
GMPR2	-1.2634
TBC1D19	-0.299166666666667
ERGIC1	-1.05059259259259
ERBB4	-1.6318
TSPAN32	0.0804166666666667
MAP4	0.08225
GPHN	-0.19025
SLC6A2	5.257125
HIVEP1	0.787
DFFB	-0.0166
EIF4EBP2	2.084625
DMRT1	-0.542
HSPB6	0.137
IER2	0.529833333333333
AIFM1	0.276
WWC2	-0.790454545454546
MRPL4	0.185
FLJ21062	0.239833333333333
EPB41L4A	0.4135
SH2D6	0.65125
TAF4B	-0.02975
GAL3ST3	-0.0005
MALT1	0.187833333333333
RTDR1	2.9425
ARVCF	-0.315875
MEX3B	-1.36483333333333
FBXO16	1.02825
KIF7	-1.26775
C1QC	4.23116666666667
ZNF783	0.248333333333333
ZNF85	-0.824
MMP13	-0.9065
KIAA0329	-0.16925
RTP3	1.15
ZBED3	0.09975
CLGN	-1.4065
SLC25A37	-0.355625
hCG_18290	-0.06275
OR5AS1	0.4585
SMARCC2	0.783
FAM109A	0.521
CCDC12	-0.5655
USF2	1.5388
DEPDC7	-3.45875
C20orf24	0.0573333333333333
JMJD3	1.0045
DSP	1.31164285714286
SLIC1	0.820625
FAM20A	0.038625
IRF2BP2	0.32725
ZNF230	-0.01
MSN	-1.156
SLC9A5	-1.667
EPDR1	-3.0698
MUSK	-0.0803333333333334
ZNF434	-1.65233333333333
