Hybridization REF	TCGA-BH-A0AW-01A-11R-A056-07
NUDT1	0.280833333333333
RFPL2	-0.99
ZNF83	-0.606
GDPD5	-0.445125
PDCD4	1.5373
CEP350	0.12075
OR10A2	0.43125
CST7	2.7245
CIAO1	0.4435
SELL	2.85125
OR8J3	0.736
LTBP4	0.117166666666667
SIRT6	0.18
CCL19	5.9255
PPIL1	-0.672833333333333
GBP7	1.2165
STK17A	-0.0125999999999999
ABR	0.246
OR9G1	0.075
FOXE1	-0.64225
CNGA3	-0.7225
GML	0.129
CD38	-0.10225
ZDHHC6	0.107333333333333
NEFH	-2.412
CTDSP2	-0.139666666666667
PGBD5	-1.83566666666667
CCNY	1.1525
RMND5B	0.126916666666667
ZNF257	-1.76175
FLJ22167	-1.472875
EXOSC7	-0.632333333333333
ROR2	0.5605
MAOA	0.382375
TNNT3	0.00833333333333333
GYPC	-0.596
C7orf33	0.734
PLIN	2.80633333333333
LOC90826	-0.22125
RNF4	-0.9541
F8A1	0.786333333333333
PLEKHG4	-1.825
GRB2	1.1877
HIST1H2AD	0.821
DUS3L	-0.909666666666667
EIF1	-1.31316666666667
RP5-1077B9.4	-0.650666666666667
FPGT	0.95175
GDF10	-0.455
COQ9	-0.3785
GCC2	-0.448785714285714
RARRES3	2.382625
PLXNA1	-0.5492
KIAA0100	0.7459
PMF1	0.6055
FNDC1	6.07525
HS2ST1	0.526916666666667
CRELD2	0.78125
C8G	-1.1895
CD82	0.7725
LIM2	-0.3325
UNQ6490	-0.361
MMP16	-1.004
DRD3	0.15175
C5orf26	-1.38025
C11orf73	-0.544375
PTP4A2	0.543125
OR4M2	1.3225
HPCA	-0.6845
SEC14L1	0.194166666666667
CHFR	0.2185
EMILIN1	1.313875
NDUFS4	-0.75675
COL18A1	-0.34575
PDZD3	-0.0874
C9orf16	0.695666666666667
ERBB2IP	0.154
EMX2	0.81225
FUS	-1.098
TF	-3.3524
CLCN4	-0.479666666666667
CXorf56	-0.44425
C11orf72	0.7915
ELAC2	-0.71225
NPR1	-0.138
ASS1	-1.24333333333333
USP42	0.126625
POLR2J	-0.2015
SEC23IP	0.577666666666667
UQCRC1	0.319
LOC729603	-0.2815
C1orf71	-0.380125
POLG	-1.813
ADAM23	-2.936
TFR2	-1.24675
RICTOR	-1.5482
MGC39606	1.42475
C19orf55	-0.309875
SNAPC1	-1.67983333333333
GNA11	0.8845
CCDC52	-1.08816666666667
FSIP1	2.29
UPF3A	-0.81975
IGSF11	-2.24733333333333
LAGE3	1.164
CHST6	-2.642
UNC13B	0.515625
TTLL4	-0.64525
ZNF687	0.908125
SDC2	-1.525
COX7A2	0.574
LAMB4	-1.11675
FAM24A	0.338
LRRTM3	-0.9155
GPHB5	0.78
OR4C13	0.58
EIF3EIP	-0.143928571428571
HABP4	-1.0225
TMEM125	1.4515
CNTN2	-0.187125
ASNSD1	-0.2585
FUT4	0.090625
ACF	-3.5155
LOC158381	-0.65
CDH8	0.012
AGPS	-0.8305
C4orf18	1.999
PECI	0.872
UNG	-0.789125
GSTP1	1.802875
DCUN1D5	-0.997333333333333
DKFZP564J0863	-0.0525
SLC9A3R1	1.91275
BCDO2	-0.9525
CHMP7	0.427625
REM2	0.799
DNHD1	-0.07375
FKBP4	-0.552625
ZNF350	2.063
MGC11102	0.6135
BST1	1.40875
KISS1R	2.4575
NCR2	0.103
DEFB125	0.4635
UBE2W	1.093375
KRT15	-0.9725
C10orf99	0.7415
SCN11A	0.371
GFI1	-1.136
RDHE2	4.69833333333333
FHL1	-1.52583333333333
OSGEP	-0.142166666666667
GATA1	-2.71233333333333
SMC6	-1.189
TTTY14	-1.028
LPIN3	-0.30875
RPL4	-0.8959
RBPMS	-0.2721
PRPF3	0.304
EMR1	-0.756
SPATA19	0.254
XCR1	0.9015
IRX3	2.2617
RBM6	-1.054
KLF4	-1.5838
UNC5CL	-0.59875
SEBOX	-0.514
BTK	0.23575
KRCC1	0.01225
C6orf27	0.685
SYTL5	-1.205
PRND	1.167125
LOC653319	-0.83
PIGL	-1.071625
HUS1	-0.143333333333333
SFRS6	0.69225
C17orf77	0.057
UIMC1	-1.22816666666667
FXYD2	-1.0937
LOC283152	-0.40725
ZNF667	-0.01075
ZCCHC12	-0.564
TFEC	4.1831
ATP7B	0.236166666666667
POLD2	-0.542166666666667
RG9MTD1	-0.1945
ACOT2	0.661166666666667
HIST1H4I	-0.072375
PPARGC1A	-2.7012
ETFA	-0.8072
POLRMT	-0.518
ZNF146	-0.1125
MIA2	-3.1935
KLHL6	0.515166666666667
HOXB5	-0.535875
NENF	1.35233333333333
CUGBP1	0.50575
PRSS22	1.85833333333333
CASC4	0.8676
CUL4B	0.6243
CENPJ	-1.8689
PITX1	-0.558833333333333
FLJ31033	0.276833333333333
CELSR3	0.0878333333333333
ZNF568	1.005
ITSN1	-0.59575
EHBP1L1	-0.496
C19orf2	-0.2955
DCTN1	0.06525
LIN28B	-3.35033333333333
TNKS2	-1.2595
C1QBP	-0.84
CADPS2	2.5835
SRMS	0.5345
GJA9	0.355666666666667
MGC24975	-0.1735
TRIM45	-1.00283333333333
TSP50	-0.879
TCP1	-0.1315
TMED7	-0.0922
CMA1	0.1265
CENPL	-0.2685
PTCRA	1.1535
FST	-3.94175
VWCE	-3.621
PAWR	-0.10375
ABCC12	4.72516666666667
LDLR	-1.5283
ASTN2	2.0516
LOC441212	-1.55275
GPATCH8	-0.509
TANC2	-0.244083333333333
KIF4A	-0.996
C18orf18	-1.49575
PGM1	-0.769
KIAA0258	0.0865
CPD	2.3485
SNCAIP	-1.0815
DCT	-3.74966666666667
HLA-DOA	3.65618181818182
OR11L1	0.723
UPK1B	-0.410166666666667
DNAJB4	-0.911875
UGT1A8	-0.15725
HIST1H4L	0.165
PECR	-1.89933333333333
HSPA2	0.945
WFIKKN1	-2.1165
SERP1	0.4795
SYDE2	-2.12275
TACR2	0.7385
NUP85	-0.3065
CD177	-0.406333333333333
LGR5	-1.52616666666667
PIGG	-0.22375
PTHR1	-1.2925
RAB5A	-0.079
FLJ13224	-0.0285
USP9Y	-1.27683333333333
C7orf53	-0.572
LRP1B	2.04825
XAF1	1.0309
ABCG8	-1.1615
ANKDD1A	-0.707333333333333
DAND5	-2.353
SPAG6	-0.6324
LINCR	0.81175
ZDHHC22	-1.580125
CCDC60	0.5725
THOC7	-1.07533333333333
TCTA	1.2156
OR8K3	0.434
NY-REN-7	-0.294
B2M	1.92733333333333
C6orf141	-2.405875
LPPR4	1.7525
SQLE	-0.515
SEPHS1	0.52625
BTBD14B	0.919785714285714
PLRG1	-0.46375
SPG7	-1.0034375
ZNF614	-0.1875
PARD6G	2.20466666666667
INPP5B	-0.6509
GRPEL2	-0.149
PPID	-0.6047
TRIM56	-0.82475
UBE2J1	-0.224125
IL20RA	1.6035
LOC387856	0.0625
C1orf107	0.0889999999999999
UTS2R	2.206
C19orf22	-0.1295
SAFB2	0.303125
KIAA0652	-0.289375
KLRG1	0.320166666666667
MS4A8B	0.4162
FRAG1	0.53675
KIAA1546	-0.56975
E2F4	-1.2628
CLEC4M	0.236833333333333
BTBD14A	-1.385
KIAA0999	0.4618
GYPA	-3.4666
TAC1	-1.0374
TRAIP	-1.24016666666667
KIAA0232	-0.1199
ERCC8	-1.113375
GPX4	1.412375
KIAA0368	-0.668375
GPR157	-0.326833333333333
CTAGE4	-0.128
C9orf30	-1.197
OR52A1	0.247
HSP90B3P	-0.824
ALG9	-0.042
BTBD10	0.123
SDK2	-0.1065
BAIAP3	-1.66525
RABGGTB	-1.36475
ANKRD40	2.74233333333333
KRT74	0.4035
CALCOCO2	1.88292857142857
SNCA	-3.23525
TMSL8	1.011875
C2orf53	-0.535
ESRRB	-0.60075
ARHGAP26	-0.515
TDRD9	-2.1625
HRAS	1.07083333333333
KLRC4	-1.4715
JAGN1	-0.192166666666667
BSDC1	0.32375
RNF43	0.7943
NDUFAF1	0.32825
PHF12	0.39925
OR1L3	-0.055
FOLR2	2.74575
LYZL6	0.221833333333333
tcag7.1260	0.082
WSB1	-1.51716666666667
PROS1	-0.9274
OSTN	0.8095
PSMB8	0.61975
SOCS4	-0.798
DDIT4L	1.4895
MAS1	-2.085
MGC34796	0.298
CSHL1	0.331333333333333
TBCCD1	0.441
ZBTB7C	0.097
AP2S1	0.37575
P15RS	-0.8077
VAT1	-0.9728
SHANK3	1.38183333333333
TUFM	0.375666666666667
THEG	-0.368
KRT34	-1.59125
SGSM3	0.357375
TOMM22	-0.903
SOCS3	0.8605
CPO	0.467
POP4	0.245
BHLHB3	0.62825
MALL	1.3575
OR1B1	-0.167
PARK2	0.171333333333333
GPR124	-0.1075
LCE1E	0.6745
RUVBL2	-0.32825
CGRRF1	-0.6398
ACPL2	0.14925
WNT10B	-1.977625
BAIAP2L2	-1.702
ISCA1	-0.0905
C1orf125	-0.336
RPAP1	-1.022
RAI16	0.0336666666666667
RPL27	-1.0125
NLRP9	-0.3285
EPN1	0.5135
LOC388610	-1.621
SLC35A1	0.6972
GAL	-3.62925
SLC14A2	0.6665
RDH11	-0.160666666666667
FAM138F	0.4405
AUH	-0.60825
FLJ40243	0.56075
C14orf129	0.314833333333333
MBD2	-0.156666666666667
ABHD14B	0.263125
PIGT	-0.016
ALS2CR4	0.02975
ALAS1	0.39
FOXO1	1.2
CRLF3	-0.577375
C20orf107	-0.6865
FARS2	0.104
CCDC28A	-0.179
NPHP3	-1.17
OR13F1	0.6865
TSEN54	0.5905
DEFB106B	0.1765
OR8B4	0.995
STH	-1.32775
ZC3H14	-0.617875
CBX2	-1.053
TMEM49	-1.027
C6orf21	0.846
FLJ20920	2.60375
CRTAP	-0.159428571428571
DDX50	-0.8715
STYXL1	-0.22975
BLVRB	0.973666666666667
LOC147650	0.405333333333333
MMP24	0.29175
GRID1	1.06266666666667
BANF1	0.0355
CTAGEP	-0.525
HMBS	-1.8005
SLC25A24	-0.441
C14orf50	0.489
MRO	1.342
SLC25A15	-0.92675
FAM84B	1.4504
TDP1	-0.672
C16orf78	0.4135
C11orf57	0.472
RFK	-0.0145
ZFYVE9	-0.715875
STCH	-1.4092
WIBG	0.71375
LOC283871	-0.375166666666667
GBA2	-1.058
NDUFB3	0.159
HSD17B13	-0.80525
GRIN3A	1.893
FMNL1	0.07
SEPT7	-0.692
GNLY	5.7705
GRAMD1C	0.290833333333333
ZNF165	0.67525
USP38	0.604
FAM83A	-2.706
C14orf24	0.30725
ARMCX3	0.562
ARHGDIB	0.936666666666667
AK1	0.90725
KIAA1045	-0.09825
DNAJB13	-0.665833333333333
NEU2	0.3465
HIST1H4B	0.0551666666666667
FAM20B	0.1565
HES2	1.66
FAM73B	-0.5998
LOC388381	-0.00149999999999997
INTS7	0.0963636363636364
AMPH	-0.162
ZNF775	0.486
UCKL1	-0.744
C10orf97	-0.5595
C1orf161	-0.218
ALDH1L1	-1.018
FLJ39378	-0.142875
SLC23A1	1.125
RBM4B	-0.34675
THAP4	-0.222166666666667
OGFRL1	0.51
KIAA0831	-0.90075
PPP1R15A	-0.649166666666667
C1orf96	1.049
C12orf11	-2.356
BMF	1.419125
MAN1A1	0.4395
KIAA1600	0.4395
NLGN4X	-0.598
ALOX12	-1.85583333333333
RB1CC1	0.3102
NEIL2	0.2443
EIF4E	-0.227136363636364
ABHD5	0.21625
EXOC4	-0.554333333333333
CIP29	-0.0515
BATF2	1.61275
SLC29A4	0.9045
HTR4	0.833
EMB	-0.191
TRAF6	0.39975
LMNB1	-1.00425
FAM19A5	-0.8895
SHE	0.99925
PIK3C2B	2.0005
C15orf15	-0.7444
USP15	-0.0925
TCEAL2	0.344
C5orf39	0.605333333333333
PTGER2	-0.42325
SLC31A1	-0.2620625
IFT172	-0.2255
ADAM29	0.3895
GFOD1	0.20625
ST7L	0.974
C15orf26	-2.69725
PKN3	-1.57525
CNTD1	1.94033333333333
COMMD1	0.75475
NTRK2	1.30991666666667
FOXN3	0.3195
MFGE8	-0.3847
PFKFB2	0.548333333333333
TAS2R4	-0.53575
ENTHD1	2.33933333333333
PRMT5	-1.605875
MGC16384	-1.96925
LOC442229	-0.5975
TSKU	-0.25475
KRTCAP3	3.92025
PDLIM1	0.9235
KCNS2	0.0395
RNF126	-0.074
CEP63	-0.352375
CLIC4	-0.334375
hCG_1990170	-0.54175
ACR	0.7119
KLK7	-0.2725
ALOX5AP	3.530125
RIPK3	3.59075
TAS2R9	0.417
C19orf18	1.3645
BIRC6	-0.0497142857142857
ZNF16	1.516
RFT1	-0.10175
SLC8A2	-0.933
TACC1	0.231625
ITGAD	0.74475
SAMHD1	1.421
SH3PXD2B	0.5892
EPC2	0.49025
C20orf85	0.420375
ATP13A2	0.656666666666667
KRT4	0.725625
CAPNS1	0.7125
MDM2	-0.206083333333333
PCDH20	2.089
KCNK9	0.798
OR2C1	-0.5835
KLHDC3	-0.358833333333333
IPPK	0.0005
EFHD2	0.26625
GALR3	2.10625
NBEA	1.53483333333333
ABCA6	2.7041
CLDN3	2.958
AKT2	-0.462928571428571
EGFR	-0.779
RBM16	0.85625
ZDHHC3	1.0214
SLC25A4	0.227166666666667
CYB5B	-1.2665
CPXM1	0.4405
NDRG1	-1.228
FLJ43826	1.723
OR5L2	0.360166666666667
FARP2	0.6909
MRPL46	-1.132
LDHAL6B	-0.408666666666667
MAPKAPK3	-0.225833333333333
NCAM2	1.66225
PRKD2	0.818833333333333
ZFP36L1	1.05
CYSLTR1	0.2345
OR4C3	-0.00125
HIST1H2AJ	2.4425
CCNB2	-2.19566666666667
ZNF10	0.1575
TMEM175	1.099
FAM134A	0.367166666666667
TIGD4	-0.436
PCNP	-0.7985
MGC39715	2.37375
LQK1	-2.5855
CREB1	0.4424
TMPRSS3	-1.7085
C4orf32	1.107375
LAT	-0.0648333333333333
KCNA3	-0.8955
SKIV2L2	-0.911
ROPN1B	-2.2725
tcag7.23	-0.4495
CDT1	-2.355875
ZHX2	1.298
CD28	-0.9915
ZNF624	0.7615
SEPT2	-0.376
SOHLH2	-2.67175
MCOLN3	-0.6065
UNQ1945	1.0625
MASP2	-0.4275
ZNRF3	-0.113
GPATCH3	-0.23175
AGL	-0.205625
QRICH2	0.036
PSD4	0.6055
CCNB1IP1	-2.64725
ENPP7	0.38
OBFC1	0.48
KCNG3	-0.9405
C14orf79	0.238
ENPEP	0.898166666666667
SCT	1.945
SKI	1.306375
SEC61G	-0.61525
CAPN11	0.08225
ATXN7L3	-0.765
DBNDD1	0.588
FAIM	0.1955
ANKRD36	-0.89
GABRP	0.964
TACSTD2	1.3745
EIF3J	-0.99625
PPP2R2A	-0.80825
TEKT4	-0.240166666666667
PVALB	1.92666666666667
F10	-1.798
FAM134C	0.3342
COMP	5.2805
EFCBP1	-3.25975
SCLT1	0.994875
TAL1	-0.8545
ACSL1	1.42575
ABCC5	0.187833333333333
ABL1	-0.306388888888889
RBBP7	-0.55125
PTPRG	-1.9535
NCOR1	-0.6945
SPINK4	-1.90216666666667
TXNRD1	-1.2582
TNRC15	0.696875
C9orf138	1.134375
UBE2H	0.850166666666667
BRDT	5.2155
C8orf31	0.04025
CCNE2	-0.539636363636364
SLC6A8	-1.3995
CALCR	-3.68775
PPP1CB	0.9275
ABHD8	0.691
ARF5	1.2683
SLC24A4	0.6435
CCT3	0.148
ZNF121	-0.027125
SLC3A2	-0.9003
OR13A1	0.6435
SLC5A10	0.32125
RAD50	-0.81875
IER5	0.827125
MTHFD1L	-1.61475
MBTPS2	0.58825
MVK	-0.000374999999999986
NCL	-0.631
PSMD10	-0.43675
MOBP	-0.037875
FLJ32894	-0.4395
HRH1	-0.370333333333333
C5orf30	0.0805
NUDT16L1	1.5228
RASGRP3	3.81383333333333
PRKRIP1	-0.3434
CCDC75	0.87225
LOC253970	0.1485
KIAA1239	0.69125
MED21	-1.321
SYT11	0.749333333333333
NTSR2	-0.7835
EGFL11	0.359
CXorf59	0.9375
OR2A25	0.6115
SPTBN2	0.348
LRMP	-1.15283333333333
RNF111	-0.77075
PTH	-0.1395
LOC619208	0.0683333333333333
KIAA0895	-0.025
RANBP5	-0.82575
P2RY10	2.29283333333333
NME5	-0.793
DDX21	-1.18875
LRSAM1	0.0745
HDAC11	1.17183333333333
VMO1	2.405
NOLA2	-0.3725
ADAR	0.425833333333333
MTO1	-1.03916666666667
SF4	0.318333333333333
P2RX1	-0.233
HBM	0.1815
EN2	2.116
C14orf172	-0.00400000000000001
TM9SF2	0.4764
INHBE	-1.421
TCTE3	0.518166666666667
TOX2	-1.828
CTAGE3	-0.12675
HBB	4.3569
MED15	-0.849333333333333
CASR	0.02325
C6orf66	-0.354666666666667
MTPN	0.05875
UNC50	-1.01225
C21orf33	0.757625
IRF2	0.8705
PGR	-2.319
GPR84	2.75925
CROCCL1	-3.14
SRPX	-1.93925
BRE	-0.00866666666666667
FGF10	0.62425
SDC3	0.625666666666667
ZRSR1	0.357333333333333
DKFZP434P211	-0.641
SOX6	0.0435
RPUSD2	-0.2905
C14orf173	-0.07375
MAPK11	0.828166666666667
TBC1D22A	-0.181
FAM123A	-0.607
COL4A6	-3.24016666666667
TOMM70A	-0.29575
NAB1	-0.399125
MGC16385	-0.21975
TSPAN18	0.114166666666667
MED31	-0.763
PLG	-0.23725
CAPSL	0.939
ZNF532	-0.0608
ASB14	0.312
CA8	0.8825
NUDT16P	-0.0608333333333333
SLFN11	-0.3645
LRRIQ2	-0.38525
NOL7	-0.2025
BRMS1L	-1.4
JARID1A	0.00416666666666667
PANK2	-0.064
ICAM3	1.116
MDS1	-0.9955
TAF8	-0.482
RNF139	1.01225
ZNF594	-0.834
ADAM8	2.363375
SFTPC	0.219
MAN2B2	0.50125
RGS12	0.5995
EIF1AY	-4.16966666666667
LRRIQ1	-2.52233333333333
GPR150	2.385
CCDC21	-1.64483333333333
PRRG3	-0.17075
SAA4	-3.341
RAPGEF5	2.288625
ZCCHC2	0.0834166666666667
MGC39372	-0.033
PPP4R2	-0.150333333333333
CDCA2	-1.11133333333333
OR4D5	0.6035
PTGFRN	0.6523
SIGLEC5	2.21716666666667
C19orf61	0.123166666666667
NMUR2	-0.6365
KIAA1586	-1.0555
DAGLA	-1.24916666666667
CHCHD6	0.0665
GPR32	0.4795
NEUROD6	0.121166666666667
SLC2A4RG	1.8540625
CA5B	0.815
FBXL3	0.72375
MPHOSPH9	-1.663
HMG2L1	-0.182
HCN4	1.5005
CEACAM19	-0.78425
SH2D4B	0.346833333333333
HFE2	-0.509
TGM4	0.799333333333333
LYPD2	-0.27525
TBC1D15	-0.4565
MRPS21	-0.195
NONO	-0.7686
CLEC5A	1.060125
ITCH	0.1309
MGAT3	-0.944
MBP	-0.666625
RPP25	-0.23225
SOSTDC1	-3.43675
HRC	-1.114
TRIM48	-0.14
TMEM133	0.3305
ECEL1P2	-0.8875
HOXC11	0.62
DOK5	-0.277
HELZ	0.435166666666667
LOC348180	-0.84575
MGC33894	0.4705
ADRB3	0.0495
DMD	-0.317166666666667
PTRH2	0.32425
MPEG1	4.20816666666667
NDUFA12	0.0423333333333333
KRTAP2-4	0.618
STAMBPL1	-1.43316666666667
ADCY2	0.802166666666667
UNQ6125	0.4195
KLHL20	0.399333333333333
SRM	-0.683
OTC	0.07875
TMIE	-0.1125
SNX8	1.2515
LIPK	0.1795
CHURC1	-0.748833333333333
KLC2	0.478
HDAC1	-0.455333333333333
FAM128A	0.403166666666667
FNDC3B	-0.9299
MTCP1	0.375166666666667
WFDC10B	-0.1382
PCDHGB3	0.931
ATRNL1	-2.45444444444444
CAV2	-0.528125
MED26	0.240333333333333
DUS1L	1.87675
CHRM3	-1.5655
NEK9	-0.09975
WARS2	0.33875
TBX22	-0.0365
TOMM40	-0.29275
RP6-213H19.1	-1.16133333333333
TUBGCP5	-1.0425
IGSF6	6.6385
TPPP	-0.328
UNQ6190	0.725
GSTM5	0.33225
BTD	0.235833333333333
PDCD1LG2	1.29
SNRPB2	0.0526666666666667
ERICH1	-0.754125
APOA4	-1.69075
HOXA11	-2.8845
NARG1	-0.172875
MKX	-1.11075
RAB28	-1.24035714285714
PKP3	0.4015
SH3GL2	-3.148
CTSO	3.87025
RPN2	1.263125
IL28RA	-0.780333333333333
SFMBT1	0.76075
WDR57	-0.465875
FER1L3	-0.497083333333333
HSF5	0.681666666666667
TTC9B	0.4655
C4BPA	-3.4375
ALB	-3.44828571428571
SORBS3	-0.21175
UPF2	-0.798
JPH1	-0.7435
AGBL2	-3.28225
DOPEY1	1.6205
TERF1	-0.336
KIF22	-0.137833333333333
NINJ1	0.65025
SEC61A2	0.841166666666667
HIST1H1D	1.05516666666667
SFXN4	0.5785
UCP3	0.9817
ZNF703	1.54633333333333
MYL6B	-0.10775
TREM1	1.561
OR52E6	-0.5225
CKMT2	0.4455
HLA-C	2.471625
SLC13A3	-1.84533333333333
TIMP4	-1.9535
SLIT2	2.669
RSF1	-0.00716666666666668
LONRF1	-1.036
MON1A	0.324833333333333
CACNG6	1.19
DPPA4	-3.334
ZSWIM3	1.17525
ZNF804A	0.852833333333333
CCIN	1.4495
SLC25A31	1.16025
KCNMB4	1.63125
RABL5	0.42225
GALNS	-0.5901
STX6	1.7595
HIST1H1C	-0.0653333333333333
CIDEB	-0.845625
CASP4	0.335666666666667
PDK3	0.3842
KCNJ11	1.6215
TPR	-0.668375
ZSCAN20	-1.4965
MTX2	-0.63925
HIST1H2BH	0.5725
LOC283767	-0.072
LYRM7	-1.06694444444444
BRD3	0.2495
HIST1H2BO	0.342
MAGEB10	-0.312
SLC45A1	0.3425
SERPINA3	-2.11565
KIAA0143	0.87475
KCNJ16	-0.0286
KRT79	0.41575
FABP2	-1.76566666666667
NUT	-0.3375
ZNF57	0.1505
FBXL4	-0.54875
CLEC9A	1.5135
UGT8	-1.55783333333333
BMP2K	0.00825
MAPK4	-1.67675
SLC25A23	-0.2738
HINT1	0.3501
KRTAP13-1	-0.2505
SFXN5	0.1774
CHCHD2	0.0865833333333333
FAM3D	4.3025
NDP	-2.948
RHOBTB1	0.545166666666667
SLC4A4	-1.37325
RPL38	1.331
HTF9C	-0.2165
AP2A2	0.419875
ZBTB46	0.649
MAP7D1	0.010875
AOX1	-0.859
CYR61	-0.628666666666667
DTNA	-0.172857142857143
JRKL	-0.577
TMOD3	-0.613
EEA1	-0.3018
ADCK5	-0.25775
IL1R1	2.1965
KLK3	0.720785714285714
HRSP12	-1.28625
KTN1	-0.27325
LOH11CR2A	0.4004
RELL2	-1.271
MAB21L1	0.774
C20orf59	-0.849
PHKB	-0.62275
ADAM2	-2.0095
TBC1D8B	0.447666666666667
FAM13A1	-1.8155
LAPTM4B	0.10375
LCN8	0.5945
TMEM147	0.704
SYT4	-0.245333333333333
XPO7	-0.521
C9orf62	2.59025
GPR75	0.027
TRIM5	0.458875
APOC1	2.1855
RNASE4	-2.12083333333333
PARD6B	-2.72425
ARID1A	0.384416666666667
TPD52L3	0.493888888888889
RRAGB	0.277666666666667
RCN2	-1.49833333333333
HIST2H2BE	0.8209375
STARD7	0.41125
SHMT2	-1.4485
KIAA1751	0.0415
MLYCD	-0.37075
LOC162632	-0.5754
UQCRH	-0.375
RP11-217H1.1	0.630875
SDHA	-0.9635
NCLN	-0.0322
ZNF17	0.7415
RCBTB2	-1.34225
VEGFB	-0.0814
RP4-747L4.3	0.103
COLQ	-0.1767
MPN2	-1.0475
DRG2	-0.6545
KLRB1	7.339
ALPK2	-2.0565
DNASE2B	2.818
FLJ23834	-0.448
AXUD1	0.2905
SAFB	0.1687
NSUN4	-0.1835
RFX2	0.2195
MAPK8IP1	-0.280666666666667
FANCD2	-0.587357142857143
ANKZF1	-1.99716666666667
C19orf50	-0.483625
DUSP8	1.5515
SENP5	0.086625
NFKBIL2	-0.12875
LBR	-0.369875
IGFL1	0.4615
LZTS2	0.967625
IL2RG	1.108
CCDC51	-0.4805
KLF3	-0.35425
ANKRD37	-0.835
KCTD14	-1.75766666666667
FZR1	0.587833333333333
SLC44A4	4.0608
ESPL1	-0.6835
GMPR2	-1.2728
TBC1D19	-1.69
ERGIC1	1.3542962962963
ERBB4	0.9566
TSPAN32	1.33275
MAP4	-0.39875
GPHN	-1.6645
SLC6A2	-0.058875
HIVEP1	0.5135
DFFB	-0.5837
EIF4EBP2	0.742
DMRT1	-0.26775
HSPB6	0.0095
IER2	0.204333333333333
AIFM1	0.2475
WWC2	0.353583333333333
MRPL4	-0.88325
FLJ21062	-0.608166666666667
EPB41L4A	1.61958333333333
SH2D6	-0.24625
TAF4B	-1.34125
GAL3ST3	-0.62
MALT1	-0.875
RTDR1	0.91075
ARVCF	0.283
MEX3B	-0.669666666666667
FBXO16	1.0845
KIF7	-1.74275
C1QC	4.725
ZNF783	-0.883
ZNF85	0.29925
MMP13	3.4075
KIAA0329	-0.51925
RTP3	-0.7945
ZBED3	0.0565
CLGN	0.18975
SLC25A37	-1.819375
hCG_18290	-0.21425
OR5AS1	-0.0475
SMARCC2	0.646916666666667
FAM109A	0.455833333333333
CCDC12	-0.3225
USF2	0.6994
DEPDC7	-2.3335
C20orf24	-0.353166666666667
JMJD3	0.9625
DSP	0.797214285714286
SLIC1	1.259125
FAM20A	1.91975
IRF2BP2	0.820875
ZNF230	-0.064
MSN	-0.381714285714286
SLC9A5	-1.338
EPDR1	-1.8939
MUSK	0.232333333333333
ZNF434	-0.79
SMARCD1	-0.480333333333333
