Hybridization REF	TCGA-B6-A0IK-01A-12R-A056-07
ZNF257	-2.73125
FLJ22167	-1.228
EXOSC7	-0.191166666666667
ROR2	0.417875
MAOA	-1.865875
TNNT3	0.258333333333333
GYPC	-1.477
C7orf33	0.8135
PLIN	2.8045
LOC90826	-0.841
RNF4	0.3947
F8A1	0.719666666666667
PLEKHG4	-2.4615
GRB2	0.4951
HIST1H2AD	1.35175
DUS3L	-0.0841666666666667
EIF1	-1.02766666666667
RP5-1077B9.4	-1.21416666666667
FPGT	1.74525
GDF10	-0.156666666666667
COQ9	0.4035
GCC2	0.0561428571428572
RARRES3	1.086125
PLXNA1	0.3167
KIAA0100	-0.4977
PMF1	0.32775
FNDC1	5.7605
HS2ST1	0.14725
CRELD2	1.703
C8G	-1.2635
CD82	1.6535
LIM2	-1.346
UNQ6490	-0.2795
MMP16	0.5355
DRD3	0.0855
C5orf26	-1.51525
C11orf73	-1.004875
PTP4A2	0.9765
OR4M2	-0.077
HPCA	0.797666666666667
SEC14L1	-1.30216666666667
CHFR	0.500875
EMILIN1	0.880625
NDUFS4	-0.97525
COL18A1	0.27025
PDZD3	-0.1793
C9orf16	0.697333333333333
ERBB2IP	0.6975
EMX2	1.03175
FUS	-0.62675
TF	-3.9611
CLCN4	-1.1842
CXorf56	0.8145
C11orf72	0.4295
ELAC2	-0.254
NPR1	-0.65375
ASS1	1.26933333333333
USP42	-0.163875
POLR2J	-0.5375
SEC23IP	0.653833333333333
UQCRC1	0.857
LOC729603	-0.07075
C1orf71	-1.377625
POLG	-1.7895
ADAM23	-3.52525
TFR2	-1.51225
RICTOR	-1.1017
MGC39606	2.46925
C19orf55	-0.295125
SNAPC1	-1.56633333333333
GNA11	1.70575
CCDC52	0.892166666666667
FSIP1	-0.6575
UPF3A	-0.220625
IGSF11	-2.273
LAGE3	1.8705
CHST6	-2.4865
UNC13B	-0.28175
TTLL4	-0.767125
ZNF687	0.330125
SDC2	-1.4974
COX7A2	0.48325
LAMB4	-0.371
FAM24A	-0.4245
LRRTM3	-1.04633333333333
GPHB5	0.23375
OR4C13	0.8885
EIF3EIP	0.250642857142857
HABP4	-0.008
TMEM125	3.88375
CNTN2	-0.18125
ASNSD1	-0.12375
FUT4	-0.140625
ACF	-3.859
LOC158381	1.2505
CDH8	0.273
AGPS	-1.516
C4orf18	0.941125
PECI	-2.45658333333333
UNG	0.121125
GSTP1	-0.04425
DCUN1D5	-1.3395
DKFZP564J0863	-1.144
SLC9A3R1	1.0075
BCDO2	-1.05275
CHMP7	0.045125
REM2	0.217
DNHD1	-0.66975
FKBP4	-0.092375
ZNF350	2.18025
MGC11102	0.32225
BST1	-0.28225
KISS1R	1.32
NCR2	0.4335
DEFB125	1.8155
UBE2W	0.48825
KRT15	1.226125
C10orf99	0.2615
SCN11A	0.1365
GFI1	-2.01625
RDHE2	5.27966666666667
FHL1	-1.6265
OSGEP	0.3715
GATA1	-3.37983333333333
SMC6	-1.1915
TTTY14	-1.36225
LPIN3	0.5435
RPL4	-0.4305
RBPMS	0.025
PRPF3	0.302
EMR1	-2.594
SPATA19	-0.132
XCR1	0.731
IRX3	1.6133
RBM6	-1.08975
KLF4	-0.0293
UNC5CL	-0.893
SEBOX	0.5765
BTK	-1.1065
KRCC1	0.6245
C6orf27	0.702
SYTL5	0.5985
PRND	1.847125
LOC653319	-1.2015
PIGL	-1.055375
HUS1	-0.160833333333333
SFRS6	-0.956333333333333
C17orf77	0.5
UIMC1	-0.501666666666667
FXYD2	-1.7617
LOC283152	0.1115
ZNF667	-1.577
ZCCHC12	-0.80325
TFEC	2.0981
ATP7B	2.89683333333333
POLD2	-0.6055
RG9MTD1	0.4975
ACOT2	0.594
HIST1H4I	0.092625
PPARGC1A	-2.1364
ETFA	1.3619
POLRMT	-0.1095
ZNF146	0.2565
MIA2	-1.1755
KLHL6	-1.47566666666667
HOXB5	1.708375
NENF	-0.0131666666666667
CUGBP1	0.59025
PRSS22	2.63233333333333
CASC4	0.8634
CUL4B	1.2667
CENPJ	-1.2275
PITX1	1.04733333333333
FLJ31033	-0.557166666666667
CELSR3	-1.42
ZNF568	0.156
ITSN1	-0.523166666666667
EHBP1L1	-0.793166666666667
C19orf2	-0.345
DCTN1	0.35
LIN28B	-3.2315
TNKS2	-1.20125
C1QBP	-0.451625
CADPS2	1.63975
SRMS	1.19375
GJA9	0.373833333333333
MGC24975	-0.65
TRIM45	-0.976666666666667
TSP50	-0.09675
TCP1	-0.456
TMED7	0.4486
CMA1	0.6305
CENPL	-0.5225
PTCRA	0.014
FST	-4.00025
VWCE	-3.841
PAWR	1.17975
ABCC12	2.1185
LDLR	0.7564
ASTN2	3.1265
LOC441212	-1.72425
GPATCH8	-0.3075
TANC2	0.0658333333333334
KIF4A	-0.70925
C18orf18	-1.72675
PGM1	-2.05625
KIAA0258	-0.29425
CPD	-0.611375
SNCAIP	-0.564
DCT	-4.55816666666667
HLA-DOA	2.94440909090909
OR11L1	0.811
UPK1B	0.363833333333333
DNAJB4	0.0155
UGT1A8	0.11175
HIST1H4L	-0.6785
PECR	-2.8055
HSPA2	0.6715
WFIKKN1	-1.128
SERP1	1.560625
SYDE2	0.18175
TACR2	0.543
NUP85	-0.36975
CD177	-0.475166666666667
LGR5	-1.79183333333333
PIGG	1.10441666666667
PTHR1	-1.55166666666667
RAB5A	0.3786
FLJ13224	0.3465
USP9Y	-1.6015
C7orf53	-0.3975
LRP1B	-1.07225
XAF1	0.5892
ABCG8	0.0055
ANKDD1A	-0.508666666666667
DAND5	-2.21
SPAG6	0.333833333333333
LINCR	0.24725
ZDHHC22	-1.655375
CCDC60	1.151
THOC7	-2.20483333333333
TCTA	1.0944
OR8K3	0.56675
NY-REN-7	-0.2835
B2M	1.08666666666667
C6orf141	-3.398375
LPPR4	2.61225
SQLE	0.864125
SEPHS1	-0.7705
BTBD14B	1.32435714285714
PLRG1	-1.06525
SPG7	0.1741875
ZNF614	-0.478
PARD6G	0.453333333333333
INPP5B	-0.8168
GRPEL2	-0.346375
PPID	-0.8992
TRIM56	-0.12625
UBE2J1	0.010125
IL20RA	1.7315
LOC387856	-0.1275
C1orf107	0.095
UTS2R	1.51675
C19orf22	0.69475
SAFB2	0.38525
KIAA0652	0.34675
KLRG1	-0.362833333333333
MS4A8B	0.342333333333333
FRAG1	-0.4045
KIAA1546	-0.17975
E2F4	-0.4351
CLEC4M	0.3715
BTBD14A	0.2875
KIAA0999	0.0481
GYPA	-4.09066666666667
TAC1	-0.1314
TRAIP	-1.7925
KIAA0232	0.1894
ERCC8	-1.21825
GPX4	0.958375
KIAA0368	0.177625
GPR157	0.196166666666667
CTAGE4	1.4295
C9orf30	-0.734166666666667
OR52A1	-0.2175
HSP90B3P	0.3425
ALG9	-1.2391
BTBD10	0.04425
SDK2	0.38375
BAIAP3	0.1515
RABGGTB	-0.96975
ANKRD40	0.3045
KRT74	0.6565
CALCOCO2	-0.145142857142857
SNCA	-3.7815
TMSL8	-1.780625
C2orf53	0.974
ESRRB	-0.6015
ARHGAP26	-0.770625
TDRD9	-2.039
HRAS	0.992333333333333
KLRC4	-3.181
JAGN1	-0.206333333333333
BSDC1	1.1785
RNF43	-0.1405
NDUFAF1	0.38725
PHF12	-0.0585
OR1L3	-0.097
FOLR2	1.7375
LYZL6	-0.478166666666667
tcag7.1260	0.046
WSB1	-2.61883333333333
PROS1	-1.2218
OSTN	0.557
PSMB8	0.138
SOCS4	-0.0845
DDIT4L	0.556
MAS1	-0.3705
MGC34796	1.677
CSHL1	0.492333333333333
TBCCD1	0.747666666666667
ZBTB7C	0.282
AP2S1	-0.011375
P15RS	-0.8281
VAT1	-0.4314
SHANK3	1.3645
TUFM	0.340666666666667
THEG	0.6845
KRT34	-1.46875
SGSM3	0.87325
TOMM22	0.502625
SOCS3	0.822333333333333
CPO	0.161
POP4	0.3795
BHLHB3	1.243
MALL	3.00875
OR1B1	0.572
PARK2	1.62816666666667
GPR124	-0.000375000000000006
LCE1E	-0.871
RUVBL2	-0.154
CGRRF1	-0.7624
ACPL2	-0.406
WNT10B	-2.088375
BAIAP2L2	-1.003625
ISCA1	1.053
C1orf125	-0.033
RPAP1	-1.2965
RAI16	-0.6725
RPL27	-0.257625
NLRP9	-0.468
EPN1	0.4815
LOC388610	-1.230125
SLC35A1	0.7708
GAL	-3.068
SLC14A2	0.52125
RDH11	0.0156666666666667
FAM138F	-0.256
AUH	-0.92775
FLJ40243	1.5805
C14orf129	0.430166666666667
MBD2	-0.8135
ABHD14B	-0.800625
PIGT	0.351
ALS2CR4	0.679625
ALAS1	0.1088
FOXO1	0.6705
CRLF3	-1.169375
C20orf107	-0.0505
FARS2	0.49725
CCDC28A	0.26175
NPHP3	-1.36025
OR13F1	0.037
TSEN54	-0.0285
DEFB106B	0.984
OR8B4	0.6645
STH	-1.21775
ZC3H14	-0.488
CBX2	0.242
TMEM49	1.90675
C6orf21	0.5775
FLJ20920	-1.04825
CRTAP	-0.395071428571429
DDX50	-1.18725
STYXL1	0.4595
BLVRB	0.602166666666667
LOC147650	-1.988
MMP24	0.377
GRID1	1.1585
BANF1	-0.737166666666667
CTAGEP	0.40175
HMBS	-2.6975
SLC25A24	-0.6005
C14orf50	-0.43525
MRO	0.6095
SLC25A15	-1.1995
FAM84B	3.9568
TDP1	-1.0885
C16orf78	0.0414
C11orf57	-0.31375
RFK	0.36075
ZFYVE9	-0.836125
STCH	-1.0876
WIBG	0.88825
LOC283871	-0.491333333333333
GBA2	-0.236
NDUFB3	0.009
HSD17B13	-0.192
GRIN3A	1.84433333333333
FMNL1	-1.3165
SEPT7	-0.6952
GNLY	3.5975
GRAMD1C	1.64066666666667
ZNF165	0.55175
USP38	0.162
FAM83A	-1.82833333333333
C14orf24	1.19966666666667
ARMCX3	1.294
ARHGDIB	0.466833333333333
AK1	0.4015
KIAA1045	0.000750000000000015
DNAJB13	-0.411666666666667
NEU2	0.589
HIST1H4B	-0.8435
FAM20B	-0.8616
HES2	1.86769230769231
FAM73B	0.228
LOC388381	0.166
INTS7	-0.232181818181818
AMPH	0.539
ZNF775	-0.17075
UCKL1	0.473333333333333
C10orf97	-0.2925
C1orf161	0.38475
ALDH1L1	-1.58
FLJ39378	-0.289625
SLC23A1	-2.191
RBM4B	-0.2105
THAP4	0.386666666666667
OGFRL1	0.5005
KIAA0831	-0.40925
PPP1R15A	-0.389333333333333
C1orf96	-0.675642857142857
C12orf11	-1.8645
BMF	0.486375
MAN1A1	-0.27625
KIAA1600	0.0588333333333333
NLGN4X	-0.957
ALOX12	-1.452
RB1CC1	-0.7626
NEIL2	0.5513
EIF4E	0.179545454545455
ABHD5	0.4145
EXOC4	0
CIP29	0.0903333333333333
BATF2	0.36725
SLC29A4	0.248
HTR4	0.58725
EMB	-1.537
TRAF6	-0.10225
LMNB1	-0.5645
FAM19A5	0.64225
SHE	2.38925
PIK3C2B	1.1175
C15orf15	-0.0289
USP15	0.7838
TCEAL2	0.2055
C5orf39	-1.00216666666667
PTGER2	-2.0945
SLC31A1	-0.292375
IFT172	0.53325
ADAM29	0.75875
GFOD1	0.49125
ST7L	-0.2965
C15orf26	-2.87825
PKN3	0.53075
CNTD1	2.1925
COMMD1	0.045375
NTRK2	2.43566666666667
FOXN3	-0.70525
MFGE8	0.1354
PFKFB2	0.0025
TAS2R4	0.018
ENTHD1	2.3195
PRMT5	-0.382125
MGC16384	-1.015625
LOC442229	-1.37675
TSKU	-0.70275
KRTCAP3	0.887
PDLIM1	1.4316
KCNS2	0.139333333333333
RNF126	0.0523333333333333
CEP63	0.140125
CLIC4	-1.206875
hCG_1990170	-0.31325
ACR	0.5825
KLK7	2.85275
ALOX5AP	2.545625
RIPK3	2.1635
TAS2R9	0.375
C19orf18	2.1155
BIRC6	0.436928571428571
ZNF16	0.3065
RFT1	-0.46225
SLC8A2	-0.778
TACC1	-0.48375
ITGAD	1.149
SAMHD1	0.08925
SH3PXD2B	0.9844
EPC2	0.9345
C20orf85	1.2135
ATP13A2	0.754166666666667
KRT4	3.876875
CAPNS1	0.4725
MDM2	-0.589333333333333
PCDH20	1.889
KCNK9	0.814
OR2C1	-0.0865
KLHDC3	-0.209166666666667
IPPK	1.6305
EFHD2	0.1545
GALR3	1.42075
NBEA	-0.4885
ABCA6	1.6645
CLDN3	2.30116666666667
AKT2	-0.6745
EGFR	-0.5027
RBM16	0.205125
ZDHHC3	1.2797
SLC25A4	0.933833333333333
CYB5B	-0.2015
CPXM1	-0.6955
NDRG1	-1.05338461538462
FLJ43826	-0.19425
OR5L2	0.611666666666667
FARP2	0.9925
MRPL46	-0.465833333333333
LDHAL6B	0.4534
MAPKAPK3	-0.440333333333333
NCAM2	-0.2075
PRKD2	0.6185
ZFP36L1	0.5586
CYSLTR1	-1.421
OR4C3	-0.3885
HIST1H2AJ	1.1265
CCNB2	-0.954222222222222
ZNF10	0.186
TMEM175	0.7045
FAM134A	1.012
TIGD4	-1.1835
PCNP	0.04925
MGC39715	-0.296
LQK1	-0.6565
CREB1	0.3288
TMPRSS3	-1.1375
C4orf32	-1.2465
LAT	-1.74175
KCNA3	-1.1365
SKIV2L2	-0.384
ROPN1B	-1.6755
tcag7.23	-0.476
CDT1	-2.090125
ZHX2	0.35275
CD28	-2.6755
ZNF624	-0.5835
SEPT2	0.559916666666667
SOHLH2	-2.18757142857143
MCOLN3	-1.39
UNQ1945	0.8765
MASP2	-0.962
ZNRF3	-0.9472
GPATCH3	-0.36275
AGL	0.145125
QRICH2	-1.566
PSD4	0.537666666666667
CCNB1IP1	-1.934
ENPP7	0.23825
OBFC1	-0.2755
KCNG3	-1.95525
C14orf79	0.926166666666666
ENPEP	0.692333333333333
SCT	1.9805
SKI	0.77175
SEC61G	0.3225
CAPN11	0.401
ATXN7L3	-0.15475
DBNDD1	1.15783333333333
FAIM	0.701
ANKRD36	-0.007
GABRP	3.13266666666667
TACSTD2	1.67616666666667
EIF3J	0.1115
PPP2R2A	-0.58675
TEKT4	-0.139666666666667
PVALB	-4.1255
F10	-2.574
FAM134C	0.6912
COMP	4.528875
EFCBP1	-2.8365
SCLT1	-0.537
TAL1	-1.297
ACSL1	2.09525
ABCC5	1.4405
ABL1	-0.102333333333333
RBBP7	0.105666666666667
PTPRG	-0.840375
NCOR1	-0.7176
SPINK4	-2.75133333333333
TXNRD1	0.0392
TNRC15	0.7665
C9orf138	0.322142857142857
UBE2H	0.740166666666667
BRDT	-0.021
C8orf31	-0.4585
CCNE2	-1.47563636363636
SLC6A8	0.540125
CALCR	-4.1095
PPP1CB	1.30316666666667
ABHD8	0.2445
ARF5	0.5754
SLC24A4	0.25925
CCT3	0.2405
ZNF121	0.244
SLC3A2	-1.3461
OR13A1	0.925
SLC5A10	-0.08925
RAD50	0.060875
IER5	0.79975
MTHFD1L	-1.77825
MBTPS2	-0.01075
MVK	-0.120375
NCL	0.4292
PSMD10	0.639
MOBP	-0.255875
FLJ32894	-0.3045
HRH1	0.0536666666666667
C5orf30	0.33875
NUDT16L1	1.1593
RASGRP3	3.157
PRKRIP1	-0.1358
CCDC75	0.0275
LOC253970	0.17925
KIAA1239	-0.404
MED21	-1.14825
SYT11	0.20775
NTSR2	-0.2885
EGFL11	0.155
CXorf59	0.777
OR2A25	-0.00699999999999998
SPTBN2	0.16075
LRMP	-1.30316666666667
RNF111	-0.0395
PTH	1.4965
LOC619208	0.484166666666667
KIAA0895	-0.19575
RANBP5	-0.68475
P2RY10	0.9355
NME5	-0.338666666666667
DDX21	-1.651
LRSAM1	0.953
HDAC11	0.473333333333333
VMO1	0.96625
NOLA2	-0.474333333333333
ADAR	0.222
MTO1	-1.7175
SF4	0.465833333333333
P2RX1	-0.2785
HBM	-0.163
EN2	1.627
C14orf172	0.33875
TM9SF2	1.5531
INHBE	-1.09766666666667
TCTE3	0.470666666666667
TOX2	-1.8555
CTAGE3	0.0705
HBB	3.3323
MED15	-0.204666666666667
CASR	0.011
C6orf66	-1.25566666666667
MTPN	-0.71175
UNC50	-0.4135
C21orf33	0.9055
IRF2	0.633
PGR	-2.051
GPR84	1.85475
CROCCL1	-2.56075
SRPX	-1.726
BRE	-0.046
FGF10	1.07075
SDC3	1.22433333333333
ZRSR1	0.573333333333333
DKFZP434P211	-0.2075
SOX6	0.203
RPUSD2	-0.2165
C14orf173	1.00283333333333
MAPK11	1.1915
TBC1D22A	0.9485
FAM123A	-0.4265
COL4A6	-2.82883333333333
TOMM70A	0.64925
NAB1	-0.53625
MGC16385	0.165375
TSPAN18	-0.550166666666667
MED31	-0.7605
PLG	-0.045
CAPSL	2.3965
ZNF532	0.7383
ASB14	-0.3555
CA8	-2.03475
NUDT16P	-1.252
SLFN11	-1.691
LRRIQ2	-0.251625
NOL7	-0.414833333333333
BRMS1L	-0.370875
JARID1A	-0.00333333333333333
PANK2	-0.367
ICAM3	0.053
MDS1	0.726
TAF8	-0.76075
RNF139	2.284
ZNF594	0.00983333333333333
ADAM8	0.921
SFTPC	0.38875
MAN2B2	0.958125
RGS12	0.4268125
EIF1AY	-4.59766666666667
LRRIQ1	-1.96333333333333
GPR150	1.648
CCDC21	-0.569166666666667
PRRG3	0.6775
SAA4	-2.9215
RAPGEF5	1.681
ZCCHC2	-0.669833333333333
MGC39372	-0.894
PPP4R2	-0.3745
CDCA2	-1.64816666666667
OR4D5	0.454166666666667
PTGFRN	-0.212
SIGLEC5	1.383
C19orf61	0.141833333333333
NMUR2	0.5005
KIAA1586	-1.72633333333333
DAGLA	-0.470833333333333
CHCHD6	0.446
GPR32	0.489
NEUROD6	0.05
SLC2A4RG	0.375
CA5B	0.428
FBXL3	1.09425
MPHOSPH9	-1.0965
HMG2L1	0.32675
HCN4	1.007
CEACAM19	0.401
SH2D4B	0.249666666666667
HFE2	-0.5905
TGM4	0.1208
LYPD2	0.0935
TBC1D15	0.04925
MRPS21	-0.2535
NONO	-0.5398
CLEC5A	1.111875
ITCH	-0.0726
MGAT3	-0.525166666666667
MBP	-0.619125
RPP25	0.98925
SOSTDC1	-1.8355
HRC	-1.554
TRIM48	0.08
TMEM133	-1.2895
ECEL1P2	-1.2635
HOXC11	0.62
DOK5	-1.601
HELZ	0.740833333333333
LOC348180	-0.30825
MGC33894	0.388
ADRB3	0.461
DMD	-0.0826666666666667
PTRH2	-0.361
MPEG1	2.9705
NDUFA12	0.111666666666667
KRTAP2-4	0.440916666666667
STAMBPL1	-2.00033333333333
ADCY2	-0.9245
UNQ6125	0.324
KLHL20	0.114166666666667
SRM	-0.18725
OTC	-0.1715
TMIE	-0.347666666666667
SNX8	0.10375
LIPK	-0.3185
CHURC1	-0.394666666666667
KLC2	0.4
HDAC1	-0.621666666666667
FAM128A	0.0956666666666667
FNDC3B	-0.4407
MTCP1	0.3365
WFDC10B	0.9914
PCDHGB3	0.5595
ATRNL1	-2.6965
CAV2	-0.80125
MED26	0.370333333333333
DUS1L	0.10125
CHRM3	-0.414125
NEK9	0.98275
WARS2	-0.683
TBX22	-1.045
TOMM40	0.16975
RP6-213H19.1	-0.0648333333333333
TUBGCP5	0.103
IGSF6	4.783
TPPP	2.67566666666667
UNQ6190	0.659
GSTM5	0.03875
BTD	0.89
PDCD1LG2	0.177333333333333
SNRPB2	-1.081
ERICH1	-0.83525
APOA4	-1.69625
HOXA11	-1.80325
NARG1	-0.87925
MKX	-0.675
RAB28	-0.837357142857143
PKP3	1.0965
SH3GL2	-3.36575
CTSO	2.01175
RPN2	1.43475
IL28RA	-0.889
SFMBT1	-0.5025
WDR57	0.21775
FER1L3	-0.0371666666666667
HSF5	0.535166666666667
TTC9B	0.66025
C4BPA	-3.99983333333333
ALB	-4.17657142857143
SORBS3	-0.37
UPF2	-0.501
JPH1	-1.298
AGBL2	-0.9845
DOPEY1	1.13
TERF1	-1.05833333333333
KIF22	-0.340166666666667
NINJ1	1.2855
SEC61A2	-1.58525
HIST1H1D	-1.9815
SFXN4	-0.42575
UCP3	0.2929
ZNF703	1.1005
MYL6B	-1.0555
TREM1	2.2005
OR52E6	1.478
CKMT2	0.2715
HLA-C	1.991125
SLC13A3	-1.49533333333333
TIMP4	-1.35375
SLIT2	1.75925
RSF1	-0.933277777777778
LONRF1	-1.5845
MON1A	-0.739833333333333
CACNG6	-1.379
DPPA4	-4.91283333333333
ZSWIM3	0.76225
ZNF804A	0.7925
CCIN	0.9965
SLC25A31	0.63375
KCNMB4	0.27075
RABL5	0.27025
GALNS	0.3121
STX6	0.8325
HIST1H1C	-1.31833333333333
CIDEB	-0.63575
CASP4	0.2465
PDK3	-1.1731
KCNJ11	0.2605
TPR	-0.489125
ZSCAN20	-1.2075
MTX2	-0.20525
HIST1H2BH	1.193
LOC283767	1.58325
LYRM7	-1.5775
BRD3	1.25133333333333
HIST1H2BO	0.51075
MAGEB10	0.406
SLC45A1	0.3435
SERPINA3	-0.35325
KIAA0143	-0.196
KCNJ16	0.289166666666667
KRT79	1.94575
FABP2	-0.256333333333333
NUT	-0.424
ZNF57	-0.3165
FBXL4	-0.352875
CLEC9A	1.3245
UGT8	-0.8725
BMP2K	-0.89375
MAPK4	-2.8275
SLC25A23	-0.5606
HINT1	0.407
KRTAP13-1	-0.07
SFXN5	1.7519
CHCHD2	1.12241666666667
FAM3D	3.66
NDP	-3.0035
RHOBTB1	-1.13466666666667
SLC4A4	-0.897125
RPL38	-0.08975
HTF9C	-0.00400000000000001
AP2A2	0.3845
ZBTB46	-0.336
MAP7D1	0.571875
AOX1	-2.36466666666667
CYR61	-0.718833333333333
DTNA	0.354571428571429
JRKL	-0.7535
TMOD3	0.734
EEA1	-0.7938
ADCK5	-1.3015
IL1R1	0.909166666666667
KLK3	0.700857142857143
HRSP12	-1.3435
KTN1	0.22125
LOH11CR2A	-0.087
RELL2	-1.5065
MAB21L1	0.64025
C20orf59	-0.636833333333333
PHKB	0.024
ADAM2	-1.9006
TBC1D8B	1.939
FAM13A1	-1.259375
LAPTM4B	-1.51
LCN8	-0.1765
TMEM147	0.521
SYT4	-0.0314
XPO7	-0.877
C9orf62	1.748
GPR75	0.1005
TRIM5	0.39425
APOC1	-0.770833333333333
RNASE4	-0.619166666666667
PARD6B	-2.80975
ARID1A	0.443916666666667
TPD52L3	-0.379111111111111
RRAGB	0.372666666666667
RCN2	-0.1385
HIST2H2BE	1.5040625
STARD7	0.47475
SHMT2	0.471
KIAA1751	-0.1944
MLYCD	0.529625
LOC162632	0.3727
UQCRH	-0.57625
RP11-217H1.1	0.9233125
SDHA	-0.581166666666667
NCLN	0.3405
ZNF17	0.578
RCBTB2	-1.48
VEGFB	-1.2491
RP4-747L4.3	0.21675
COLQ	-0.1238
MPN2	-1.19733333333333
DRG2	-0.618
KLRB1	5.14825
ALPK2	-3.962
DNASE2B	1.8825
FLJ23834	0.183
AXUD1	0.814666666666667
SAFB	0.0659
NSUN4	0.12325
RFX2	0.5775
MAPK8IP1	-0.190166666666667
FANCD2	-0.882785714285714
ANKZF1	-0.963666666666667
C19orf50	0.020375
DUSP8	2.1955
SENP5	0.409625
NFKBIL2	-0.30925
LBR	-1.11575
IGFL1	2.8015
LZTS2	0.01475
IL2RG	-0.505625
CCDC51	-0.012
KLF3	-0.21775
ANKRD37	-0.18975
KCTD14	-1.49883333333333
FZR1	1.35833333333333
SLC44A4	4.3864
ESPL1	-1.030125
GMPR2	-0.6334
TBC1D19	-1.624
ERGIC1	0.783296296296296
ERBB4	4.5673
TSPAN32	-0.00258333333333335
MAP4	0.611875
GPHN	-0.9845
SLC6A2	0.649625
HIVEP1	0.39675
DFFB	-0.1157
EIF4EBP2	-0.01525
DMRT1	0.01925
HSPB6	-0.32125
IER2	0.949166666666667
AIFM1	1.23075
WWC2	0.0205
MRPL4	0.142
FLJ21062	0.0696666666666667
EPB41L4A	0.819333333333333
SH2D6	0.3115
TAF4B	-1.15075
GAL3ST3	0.0005
MALT1	-2.12116666666667
RTDR1	0.81
ARVCF	0.9045
MEX3B	-0.173
FBXO16	0.40825
KIF7	-1.951
C1QC	4.2765
ZNF783	-0.453333333333333
ZNF85	-0.46775
MMP13	3.785
KIAA0329	0.405857142857143
RTP3	-0.248
ZBED3	-1.34375
CLGN	-3.187
SLC25A37	-1.13141666666667
hCG_18290	-0.287
OR5AS1	0.217
SMARCC2	0.68975
FAM109A	0.473666666666667
CCDC12	-0.0195
USF2	0.7412
DEPDC7	-3.376
C20orf24	0.370333333333333
JMJD3	0.6455
DSP	1.02692857142857
SLIC1	0.453625
FAM20A	0.933875
IRF2BP2	0.301125
ZNF230	-0.532
MSN	-1.01578571428571
SLC9A5	-0.4225
EPDR1	-1.1316
MUSK	0.642
ZNF434	-0.144833333333333
SMARCD1	-0.390666666666667
ZFP106	-0.283
