Hybridization REF	TCGA-BH-A0B8-01A-21R-A056-07
ABCC12	0.03
LDLR	-1.4456
ASTN2	2.103
LOC441212	-0.806875
GPATCH8	-0.45575
TANC2	0.34275
KIF4A	-1.9255
C18orf18	-0.09
PGM1	-1.346
KIAA0258	0.084
CPD	1.057375
SNCAIP	-1.23225
DCT	-5.01983333333333
HLA-DOA	2.35740909090909
OR11L1	0.6005
UPK1B	-1.07266666666667
DNAJB4	-0.482125
UGT1A8	-0.708
HIST1H4L	0.0185
PECR	-0.9265
HSPA2	1.5425
WFIKKN1	-2.1055
SERP1	1.996375
SYDE2	1.53775
TACR2	0.0545
NUP85	-0.91125
CD177	-0.920166666666667
LGR5	-2.7394
PIGG	-1.20391666666667
PTHR1	-2.10516666666667
RAB5A	-0.4679
FLJ13224	-0.5565
USP9Y	-2.74116666666667
C7orf53	-2.717
LRP1B	-1.4675
XAF1	2.2689
ABCG8	-1.178
ANKDD1A	-1.09516666666667
DAND5	0.4495
SPAG6	-0.00149999999999998
LINCR	-0.66775
ZDHHC22	2.103875
CCDC60	0.4145
THOC7	-1.713
TCTA	1.3837
OR8K3	0.30975
NY-REN-7	-0.384
B2M	0.793333333333333
C6orf141	0.548875
LPPR4	2.09525
SQLE	-0.966375
SEPHS1	-0.204
BTBD14B	0.4465
PLRG1	-1.096
SPG7	-0.70025
ZNF614	-0.1995
PARD6G	0.165333333333333
INPP5B	-1.4157
GRPEL2	0.06325
PPID	-0.8567
TRIM56	-0.979
UBE2J1	-0.76625
IL20RA	5.875
LOC387856	0.4065
C1orf107	0.604416666666667
UTS2R	0.47775
C19orf22	0.3
SAFB2	0.003875
KIAA0652	0.885
KLRG1	-0.977666666666667
MS4A8B	3.71
FRAG1	-0.314
KIAA1546	0.45225
E2F4	-1.264
CLEC4M	0.353833333333333
BTBD14A	-1.896
KIAA0999	0.6432
GYPA	-4.1518
TAC1	1.2899
TRAIP	-1.66583333333333
KIAA0232	0.4042
ERCC8	-0.839625
GPX4	0.375625
KIAA0368	-0.45
GPR157	-1.52516666666667
CTAGE4	0.4325
C9orf30	-1.6445
OR52A1	-0.414
HSP90B3P	0.038
ALG9	-0.3969
BTBD10	1.72725
SDK2	-0.851
BAIAP3	-2.12
RABGGTB	-0.6665
ANKRD40	0.229833333333333
KRT74	0.4545
CALCOCO2	0.681857142857143
SNCA	-3.6895
TMSL8	-6.486375
C2orf53	0.5665
ESRRB	-0.67175
ARHGAP26	-2.48075
TDRD9	1.51425
HRAS	-0.6815
KLRC4	-2.7795
JAGN1	-0.4765
BSDC1	-0.50025
RNF43	0.876
NDUFAF1	0.16125
PHF12	0.11875
OR1L3	0.4595
FOLR2	1.80991666666667
LYZL6	0.367166666666667
tcag7.1260	-2.535
WSB1	-1.35266666666667
PROS1	-1.1759
OSTN	0.314
PSMB8	-0.94025
SOCS4	0.7315
DDIT4L	1.451
MAS1	0.6975
MGC34796	2.476
CSHL1	-0.207833333333333
TBCCD1	0.555666666666667
ZBTB7C	0.228
AP2S1	-0.8415
P15RS	1.0989
VAT1	-0.4387
SHANK3	1.03633333333333
TUFM	-0.433
THEG	-1.1515
KRT34	-2.828
SGSM3	0.056875
TOMM22	0.06925
SOCS3	1.11533333333333
CPO	-0.4955
POP4	0.59525
BHLHB3	0.115
MALL	1.40775
OR1B1	-0.283
PARK2	0.48
GPR124	-0.285375
LCE1E	1.384
RUVBL2	0.19075
CGRRF1	1.3432
ACPL2	1.15325
WNT10B	-0.93975
BAIAP2L2	-2.6775
ISCA1	0.1045
C1orf125	-0.193857142857143
RPAP1	-1.23675
RAI16	-0.204166666666667
RPL27	0.11275
NLRP9	0.337
EPN1	0.119
LOC388610	-0.277875
SLC35A1	0.7974
GAL	-3.48275
SLC14A2	0.0155
RDH11	-1.36766666666667
FAM138F	-0.032
AUH	-0.90025
FLJ40243	0.683
C14orf129	0.604166666666667
MBD2	-0.0706666666666667
ABHD14B	0.3215
PIGT	1.49475
ALS2CR4	-0.749625
ALAS1	-0.2149
FOXO1	0.7225
CRLF3	-0.63725
C20orf107	-0.7555
FARS2	0.95275
CCDC28A	0.87225
NPHP3	-1.5075
OR13F1	0.2745
TSEN54	0.048
DEFB106B	0.0964
OR8B4	0.808
STH	2.121
ZC3H14	-0.43825
CBX2	0.753
TMEM49	-1.1055
C6orf21	0.343
FLJ20920	1.505875
CRTAP	-0.209714285714286
DDX50	0.119
STYXL1	0.113
BLVRB	0.508
LOC147650	-0.0906666666666667
MMP24	0.564
GRID1	1.685
BANF1	0.085
CTAGEP	0.3945
HMBS	-2.604
SLC25A24	-0.0123333333333333
C14orf50	1.97925
MRO	0.8005
SLC25A15	-0.153
FAM84B	1.5329
TDP1	-0.615
C16orf78	0.543833333333333
C11orf57	-0.448625
RFK	0.409625
ZFYVE9	0.977625
STCH	-0.2949
WIBG	0.311
LOC283871	-0.265833333333333
GBA2	-0.8621
NDUFB3	-0.519
HSD17B13	-0.689333333333333
GRIN3A	1.0565
FMNL1	-0.8705
SEPT7	-0.2201
GNLY	1.7205
GRAMD1C	-1.14883333333333
ZNF165	0.548
USP38	0.56225
FAM83A	-3.9045
C14orf24	1.24125
ARMCX3	1.4625
ARHGDIB	0.557166666666667
AK1	-0.348
KIAA1045	0.295666666666667
DNAJB13	-0.693166666666667
NEU2	-0.364
HIST1H4B	-1.1485
FAM20B	-0.2146
HES2	-0.461642857142857
FAM73B	-1.0238
LOC388381	-0.22675
INTS7	-0.320636363636364
AMPH	0.6355
ZNF775	-0.449125
UCKL1	-0.246333333333333
C10orf97	0.446
C1orf161	0.46175
ALDH1L1	-0.38425
FLJ39378	0.56375
SLC23A1	-1.271
RBM4B	0.8785
THAP4	0.403666666666667
OGFRL1	-0.42025
KIAA0831	0.3315
PPP1R15A	-1.21516666666667
C1orf96	0.687428571428571
C12orf11	-1.848
BMF	0.75275
MAN1A1	-1.701125
KIAA1600	1.017
NLGN4X	0.06125
ALOX12	-1.46516666666667
RB1CC1	0.4417
NEIL2	0.4432
EIF4E	-0.419136363636364
ABHD5	-0.64375
EXOC4	-0.483166666666667
CIP29	-0.978833333333333
BATF2	2.4365
SLC29A4	-0.85675
HTR4	0.3515
EMB	-2.21175
TRAF6	1.3155
LMNB1	-1.25525
FAM19A5	1.766625
SHE	1.682
PIK3C2B	0.0215
C15orf15	-0.4119
USP15	0.3184
TCEAL2	0.53825
C5orf39	-2.28966666666667
PTGER2	1.0795
SLC31A1	-1.103125
IFT172	-0.63675
ADAM29	0.5385
GFOD1	1.02125
ST7L	0.165833333333333
C15orf26	-3.14
PKN3	-1.8615
CNTD1	3.317
COMMD1	0.648125
NTRK2	3.55358333333333
FOXN3	0.8975
MFGE8	-0.8347
PFKFB2	-0.604666666666667
TAS2R4	-0.483333333333333
ENTHD1	0.180166666666667
PRMT5	-0.31375
MGC16384	-1.251375
LOC442229	-1.16675
TSKU	-0.726125
KRTCAP3	3.452375
PDLIM1	0.9584
KCNS2	0.269
RNF126	-0.721166666666667
CEP63	0.525125
CLIC4	-0.62525
hCG_1990170	0.0395
ACR	0.7865
KLK7	-0.62425
ALOX5AP	2.7325
RIPK3	4.19925
TAS2R9	1.0595
C19orf18	1.163
BIRC6	-0.0515714285714286
ZNF16	1.808
RFT1	-0.46975
SLC8A2	2.61775
TACC1	-0.446
ITGAD	0.439
SAMHD1	0.836
SH3PXD2B	0.6771
EPC2	1.4555
C20orf85	0.11475
ATP13A2	0.447
KRT4	0.222125
CAPNS1	0.4215
MDM2	0.373416666666667
PCDH20	3.83825
KCNK9	0.3315
OR2C1	0.2715
KLHDC3	-0.193333333333333
IPPK	-0.443
EFHD2	-0.711875
GALR3	0.64
NBEA	-0.242166666666667
ABCA6	2.8069
CLDN3	0.778833333333333
AKT2	0.158357142857143
EGFR	-2.8724
RBM16	0.13925
ZDHHC3	-0.4287
SLC25A4	0.3875
CYB5B	-1.10483333333333
CPXM1	-0.506
NDRG1	-1.74738461538462
FLJ43826	-0.4215
OR5L2	-0.0853333333333333
FARP2	0.7169
MRPL46	-0.846666666666667
LDHAL6B	0.0968
MAPKAPK3	-0.331
NCAM2	-1.7565
PRKD2	0.482666666666667
ZFP36L1	0.2639
CYSLTR1	-0.7005
OR4C3	0.202
HIST1H2AJ	3.3135
CCNB2	-3.19044444444444
ZNF10	-0.207125
TMEM175	0.3055
FAM134A	1.2795
TIGD4	-0.3695
PCNP	-0.7145
MGC39715	-0.56275
LQK1	-1.2855
CREB1	1.0078
TMPRSS3	-2.10125
C4orf32	1.481625
LAT	-2.41258333333333
KCNA3	0.042
SKIV2L2	-0.699
ROPN1B	-0.25625
tcag7.23	0.625
CDT1	-2.416125
ZHX2	0.804625
CD28	-3.45575
ZNF624	1.915
SEPT2	-0.230583333333333
SOHLH2	-2.86171428571429
MCOLN3	-0.399125
UNQ1945	0.2405
MASP2	-1.928
ZNRF3	1.7237
GPATCH3	-0.693
AGL	1.807125
QRICH2	-0.327
PSD4	1.33716666666667
CCNB1IP1	-1.36075
ENPP7	-0.11125
OBFC1	0.841
KCNG3	0.0125
C14orf79	0.760166666666667
ENPEP	1.53483333333333
SCT	1.7295
SKI	0.49925
SEC61G	-0.70425
CAPN11	-0.31125
ATXN7L3	-0.16425
DBNDD1	-0.9955
FAIM	0.558
ANKRD36	-0.447
GABRP	0.1555
TACSTD2	2.084
EIF3J	-0.55925
PPP2R2A	-1.21125
TEKT4	-1.144
PVALB	1.85966666666667
F10	-3.33316666666667
FAM134C	1.1533
COMP	4.103625
EFCBP1	-3.2860625
SCLT1	0.192375
TAL1	-1.3169
ACSL1	0.6225
ABCC5	1.749
ABL1	-0.545333333333333
RBBP7	1.02375
PTPRG	-0.97075
NCOR1	0.704
SPINK4	-1.5385
TXNRD1	-1.0353
TNRC15	1.396625
C9orf138	0.1395
UBE2H	0.925666666666667
BRDT	1.0395
C8orf31	0.19625
CCNE2	-1.06263636363636
SLC6A8	-1.568125
CALCR	-4.18575
PPP1CB	0.0526666666666667
ABHD8	0.08775
ARF5	0.1756
SLC24A4	0.51275
CCT3	-0.23425
ZNF121	0.815875
SLC3A2	-0.7504
OR13A1	0.185
SLC5A10	1.85625
RAD50	1.195625
IER5	0.0015
MTHFD1L	-2.1105
MBTPS2	0.35375
MVK	-0.36225
NCL	0.0101
PSMD10	0.04475
MOBP	0.648375
FLJ32894	-0.3195
HRH1	-1.23433333333333
C5orf30	1.78975
NUDT16L1	0.2615
RASGRP3	3.40166666666667
PRKRIP1	-1.3585
CCDC75	0.67975
LOC253970	0.326333333333333
KIAA1239	0.28975
MED21	-0.2155
SYT11	-0.100166666666667
NTSR2	-1.1455
EGFL11	-0.142
CXorf59	0.5335
OR2A25	0.135
SPTBN2	-0.3825
LRMP	-2.0955
RNF111	0.1035
PTH	-1.1015
LOC619208	0.336833333333333
KIAA0895	1.11225
RANBP5	-0.487125
P2RY10	0.0481666666666667
NME5	4.18566666666667
DDX21	-0.7815
LRSAM1	0.159
HDAC11	1.75833333333333
VMO1	1.391
NOLA2	0.3665
ADAR	1.30158333333333
MTO1	-1.4535
SF4	0.028
P2RX1	0.440666666666667
HBM	0.974
EN2	0.511
C14orf172	0.55075
TM9SF2	0.2177
INHBE	1.4355
TCTE3	-0.331
TOX2	-4.32275
CTAGE3	1.144375
HBB	3.6132
MED15	-0.706
CASR	0.7985
C6orf66	-1.17933333333333
MTPN	-0.366125
UNC50	0.00800000000000001
C21orf33	0.619875
IRF2	-0.015
PGR	-0.0708333333333333
GPR84	1.6205
CROCCL1	-3.3955
SRPX	-2.2405
BRE	0.229
FGF10	0.91375
SDC3	-0.604166666666667
ZRSR1	0.6275
DKFZP434P211	-0.113
SOX6	0.366
RPUSD2	-0.629
C14orf173	-0.398416666666667
MAPK11	1.23883333333333
TBC1D22A	0.7855
FAM123A	-0.706
COL4A6	-2.84566666666667
TOMM70A	-0.0165
NAB1	-1.741875
MGC16385	-0.815875
TSPAN18	-0.0901666666666667
MED31	0.05875
PLG	-0.52925
CAPSL	-1.074
ZNF532	-0.0261
ASB14	0.092
CA8	-2.28075
NUDT16P	2.30966666666667
SLFN11	-1.415
LRRIQ2	0.1075
NOL7	-0.0968333333333333
BRMS1L	-0.396875
JARID1A	0.566166666666667
PANK2	-0.52125
ICAM3	-0.299
MDS1	-0.92525
TAF8	-0.34275
RNF139	1.124
ZNF594	1.17166666666667
ADAM8	0.868125
SFTPC	-0.287875
MAN2B2	0.924125
RGS12	0.4460625
EIF1AY	-5.37725
LRRIQ1	-2.5475
GPR150	0.55575
CCDC21	-1.17316666666667
PRRG3	0.62925
SAA4	-3.7635
RAPGEF5	2.58075
ZCCHC2	0.72725
MGC39372	-0.6825
PPP4R2	-0.359833333333333
CDCA2	-2.44133333333333
OR4D5	0.6952
PTGFRN	1.7853
SIGLEC5	1.59216666666667
C19orf61	-0.656166666666667
NMUR2	0.7775
KIAA1586	-0.324833333333333
DAGLA	0.844666666666667
CHCHD6	0.75975
GPR32	0.3805
NEUROD6	0.3776
SLC2A4RG	0.03875
CA5B	-0.48925
FBXL3	1.162
MPHOSPH9	-0.40625
HMG2L1	0.8995
HCN4	0.0576666666666667
CEACAM19	0.1455
SH2D4B	0.2525
HFE2	-3.082
TGM4	0.4868
LYPD2	0.4225
TBC1D15	0.30875
MRPS21	-0.0334
NONO	-0.0367
CLEC5A	1.159375
ITCH	0.1281
MGAT3	-1.17083333333333
MBP	0.0922499999999999
RPP25	0.26625
SOSTDC1	-3.47825
HRC	-1.8875
TRIM48	0.1235
TMEM133	-0.85675
ECEL1P2	-2.17833333333333
HOXC11	-0.7455
DOK5	-0.9345
HELZ	0.551333333333333
LOC348180	-0.97075
MGC33894	0.4395
ADRB3	0.4315
DMD	-0.2495
PTRH2	-0.304
MPEG1	2.936
NDUFA12	0.350833333333333
KRTAP2-4	-0.162416666666667
STAMBPL1	-1.51583333333333
ADCY2	-0.423333333333333
UNQ6125	0.3735
KLHL20	0.205333333333333
SRM	-1.252
OTC	-0.45
TMIE	-0.307166666666667
SNX8	-0.25625
LIPK	0.4415
CHURC1	0.63625
KLC2	0.5745
HDAC1	-0.9585
FAM128A	0.762
FNDC3B	-0.882
MTCP1	-0.362833333333333
WFDC10B	0.2575
PCDHGB3	0.1255
ATRNL1	-0.6807
CAV2	-0.56625
MED26	0.175666666666667
DUS1L	0.04175
CHRM3	-1.85675
NEK9	1.15675
WARS2	0.659
TBX22	0.1265
TOMM40	-0.74975
RP6-213H19.1	-0.491333333333333
TUBGCP5	-0.5055
IGSF6	5.26275
TPPP	2.348
UNQ6190	0.5475
GSTM5	0.0706250000000001
BTD	0.021
PDCD1LG2	-0.3805
SNRPB2	-0.568833333333333
ERICH1	-0.551125
APOA4	-2.010375
HOXA11	-2.046
NARG1	-0.702
MKX	-0.269
RAB28	-0.658428571428571
PKP3	0.44625
SH3GL2	-3.834
CTSO	2.5645
RPN2	-0.156875
IL28RA	1.029
SFMBT1	-0.244
WDR57	-1.0275
FER1L3	1.70125
HSF5	0.744
TTC9B	1.2425
C4BPA	-4.87983333333333
ALB	-4.43492307692308
SORBS3	-0.18
UPF2	-0.403
JPH1	1.9255
AGBL2	1.39825
DOPEY1	1.585
TERF1	0.24625
KIF22	-0.413166666666667
NINJ1	-0.48225
SEC61A2	-0.412583333333333
HIST1H1D	-1.26116666666667
SFXN4	0.745
UCP3	0.2318
ZNF703	1.54683333333333
MYL6B	-0.53975
TREM1	0.81175
OR52E6	0.8835
CKMT2	1.7015
HLA-C	0.937625
SLC13A3	-3.051
TIMP4	-0.36225
SLIT2	1.552
RSF1	0.523888888888889
LONRF1	-0.626571428571429
MON1A	0.0388333333333333
CACNG6	1.62783333333333
DPPA4	-5.69483333333333
ZSWIM3	0.8895
ZNF804A	0.3212
CCIN	1.196
SLC25A31	0.47625
KCNMB4	-1.71075
RABL5	0.043125
GALNS	-1.0348
STX6	0.61675
HIST1H1C	-1.08516666666667
CIDEB	1.3155
CASP4	-1.63066666666667
PDK3	0.5109
KCNJ11	2.8135
TPR	-0.38975
ZSCAN20	-1.5655
MTX2	0.038
HIST1H2BH	-0.123
LOC283767	0.113
LYRM7	-0.807888888888889
BRD3	-0.402333333333333
HIST1H2BO	0.04025
MAGEB10	-1.3615
SLC45A1	2.41625
SERPINA3	2.917
KIAA0143	1.38475
KCNJ16	-0.115833333333333
KRT79	-0.69475
FABP2	-0.86425
NUT	-1.42675
ZNF57	0.157
FBXL4	0.488875
CLEC9A	1.0175
UGT8	-2.0185
BMP2K	0.0885
MAPK4	-3.52875
SLC25A23	0.0228
HINT1	0.1042
KRTAP13-1	0.2135
SFXN5	0.8846
CHCHD2	-0.0595833333333334
FAM3D	0.988
NDP	1.199
RHOBTB1	0.95
SLC4A4	-1.45625
RPL38	0.39
HTF9C	-0.1365
AP2A2	-0.36475
ZBTB46	-1.0725
MAP7D1	-0.618375
AOX1	-0.755666666666667
CYR61	0.318583333333333
DTNA	-1.50671428571429
JRKL	-1.252
TMOD3	-0.7085
EEA1	0.6778
ADCK5	-0.55525
IL1R1	1.49466666666667
KLK3	0.175428571428571
HRSP12	-0.74525
KTN1	0.80975
LOH11CR2A	-0.5367
RELL2	0.03425
MAB21L1	0.82
C20orf59	-1.43183333333333
PHKB	0.57225
ADAM2	-2.3352
TBC1D8B	-0.3605
FAM13A1	-0.8711875
LAPTM4B	-1.72058333333333
LCN8	-0.1425
TMEM147	0.62
SYT4	3.71833333333333
XPO7	-1.3015
C9orf62	0.32325
GPR75	1.871
TRIM5	-1.573
APOC1	-0.557666666666667
RNASE4	1.90433333333333
PARD6B	1.004375
ARID1A	0.18675
TPD52L3	0.305333333333333
RRAGB	2.468
RCN2	-1.14716666666667
HIST2H2BE	0.196625
STARD7	-0.7535
SHMT2	-0.96525
KIAA1751	0.4072
MLYCD	0.6785
LOC162632	0.4666
UQCRH	-2.1405
RP11-217H1.1	0.24725
SDHA	-0.919833333333333
NCLN	-0.00949999999999998
ZNF17	0.851833333333333
RCBTB2	-1.9865
VEGFB	-0.6941
RP4-747L4.3	0.16425
COLQ	-0.3822
MPN2	-1.3652
DRG2	0.11375
KLRB1	3.56075
ALPK2	-2.2975
DNASE2B	0.97775
FLJ23834	1.66483333333333
AXUD1	1.273
SAFB	0.0414
NSUN4	-0.70375
RFX2	-0.513
MAPK8IP1	1.69
FANCD2	-2.00928571428571
ANKZF1	-1.56016666666667
C19orf50	-0.404
DUSP8	1.301875
SENP5	0.012
NFKBIL2	-0.2205
LBR	-2.584875
IGFL1	2.4375
LZTS2	0.531
IL2RG	-1.4195
CCDC51	-0.40975
KLF3	0.144375
ANKRD37	-2.1485
KCTD14	1.52783333333333
FZR1	0.384666666666667
SLC44A4	3.8414
ESPL1	-1.094
GMPR2	0.1803
TBC1D19	-0.966666666666666
ERGIC1	0.328518518518518
ERBB4	2.0974
TSPAN32	-0.1165
MAP4	-0.29125
GPHN	-1.5145
SLC6A2	-0.4975
HIVEP1	-1.04
DFFB	-1.0243
EIF4EBP2	0.54875
DMRT1	-0.57775
HSPB6	0.01125
IER2	0.777333333333333
AIFM1	-0.305
WWC2	-0.525833333333333
MRPL4	0.00275
FLJ21062	-0.772666666666667
EPB41L4A	-0.0985454545454545
SH2D6	-0.19925
TAF4B	-1.265
GAL3ST3	-0.1015
MALT1	-0.371333333333333
RTDR1	0.0305
ARVCF	-0.503
MEX3B	-0.707333333333333
FBXO16	0.3675
KIF7	-0.961
C1QC	3.49066666666667
ZNF783	-0.754333333333333
ZNF85	0.5955
MMP13	2.434
KIAA0329	0.259125
RTP3	-1.234
ZBED3	0.2065
CLGN	-5.755
SLC25A37	-2.63169565217391
hCG_18290	-0.2935
OR5AS1	0.49
SMARCC2	0.771166666666667
FAM109A	-0.0266666666666667
CCDC12	-0.953
USF2	0.6989
DEPDC7	-2.79425
C20orf24	-0.5835
JMJD3	0.989
DSP	1.39121428571429
SLIC1	0.0465
FAM20A	0.023875
IRF2BP2	0.805625
ZNF230	0.44
MSN	-1.36978571428571
SLC9A5	-2.7275
EPDR1	-0.3603
MUSK	0.2668
ZNF434	0.331333333333333
SMARCD1	-0.5105
