Hybridization REF	TCGA-AO-A0JL-01A-11R-A056-07
DKFZP564J0863	-0.45175
SLC9A3R1	-0.741875
BCDO2	-0.98175
CHMP7	-0.952625
REM2	1.314
DNHD1	-0.668625
FKBP4	-0.62925
ZNF350	0.40525
MGC11102	-0.252375
BST1	-0.12025
KISS1R	2.7755
NCR2	-0.69
DEFB125	1.9865
UBE2W	0.826
KRT15	5.437
C10orf99	0.5775
SCN11A	0.228375
GFI1	-3.04325
RDHE2	-0.518833333333333
FHL1	-1.26466666666667
OSGEP	2.2725
GATA1	-2.82383333333333
SMC6	-1.07825
TTTY14	-0.61725
LPIN3	0.3015
RPL4	-1.0466
RBPMS	0.4946
PRPF3	-0.2925
EMR1	-2.859
SPATA19	-1.39166666666667
XCR1	0.365
IRX3	3.6079
RBM6	-0.0565
KLF4	-2.09733333333333
UNC5CL	1.661
SEBOX	-0.334
BTK	-2.4245
KRCC1	0.69075
C6orf27	1.9575
SYTL5	-0.661
PRND	3.722625
LOC653319	0.1905
PIGL	0.3145
HUS1	-0.561
SFRS6	0.971833333333333
C17orf77	0.7105
UIMC1	-0.438833333333333
FXYD2	-1.2851
LOC283152	-0.46275
ZNF667	-0.9245
ZCCHC12	-0.664333333333333
TFEC	-0.126
ATP7B	-0.4715
POLD2	-1.52583333333333
RG9MTD1	-0.85025
ACOT2	-0.318666666666667
HIST1H4I	-0.433714285714286
PPARGC1A	-3.0509
ETFA	-2.909
POLRMT	0.562
ZNF146	-0.3565
MIA2	-1.005
KLHL6	-1.6865
HOXB5	0.34075
NENF	1.638
CUGBP1	0.36925
PRSS22	3.36683333333333
CASC4	0.5526
CUL4B	-0.3536
CENPJ	-1.0028
PITX1	0.559166666666667
FLJ31033	-0.5975
CELSR3	-1.36133333333333
ZNF568	0.022
ITSN1	-0.8995
EHBP1L1	-0.955166666666667
C19orf2	1.578
DCTN1	-0.56875
LIN28B	-3.6766
TNKS2	-0.97025
C1QBP	-0.62175
CADPS2	-0.46925
SRMS	0.198666666666667
GJA9	-0.09
MGC24975	2.166
TRIM45	0.375333333333333
TSP50	3.51375
TCP1	-2.215
TMED7	-0.9485
CMA1	-1.8635
CENPL	-0.808333333333333
PTCRA	0.1885
FST	-3.77725
VWCE	-3.3165
PAWR	-0.41425
ABCC12	0.61375
LDLR	-2.2173
ASTN2	0.4614
LOC441212	0.359875
GPATCH8	-0.19925
TANC2	-1.54291666666667
KIF4A	-1.039
C18orf18	-1.22375
PGM1	-1.83575
KIAA0258	0.983
CPD	0.396375
SNCAIP	-1.662
DCT	-2.82333333333333
HLA-DOA	1.74290476190476
OR11L1	1.1375
UPK1B	-1.0586
DNAJB4	-0.97425
UGT1A8	0.232
HIST1H4L	-1.1505
PECR	-0.851166666666667
HSPA2	3.252
WFIKKN1	-1.544
SERP1	-1.749875
SYDE2	-0.455333333333333
TACR2	1.038
NUP85	-1.2215
CD177	-1.6005
LGR5	-2.2435
PIGG	-0.4205
PTHR1	-1.54233333333333
RAB5A	-0.0268999999999999
FLJ13224	-1.1325
USP9Y	-1.144
C7orf53	2.3385
LRP1B	-2.5715
XAF1	0.0322
ABCG8	-1.1225
ANKDD1A	0.264666666666667
DAND5	-0.1375
SPAG6	0.1596
LINCR	2.7645
ZDHHC22	-1.22975
CCDC60	-0.201
THOC7	-1.1065
TCTA	0.5187
OR8K3	0.69025
NY-REN-7	-1.32725
B2M	0.2745
C6orf141	0.341875
LPPR4	2.64075
SQLE	-0.4925
SEPHS1	0.95175
BTBD14B	1.41028571428571
PLRG1	-0.39575
SPG7	-0.07025
ZNF614	-0.741333333333333
PARD6G	2.72166666666667
INPP5B	-1.2763
GRPEL2	-0.21875
PPID	-0.7645
TRIM56	-0.26675
UBE2J1	-0.6375
IL20RA	0.1645
LOC387856	0.323333333333333
C1orf107	0.708583333333333
UTS2R	2.79675
C19orf22	1.3175
SAFB2	0.239
KIAA0652	-0.918
KLRG1	-1.7378
MS4A8B	-0.0473333333333333
FRAG1	0.5525
KIAA1546	-0.809
E2F4	-0.6437
CLEC4M	0.7485
BTBD14A	0.95825
KIAA0999	0.0945
GYPA	-4.02833333333333
TAC1	-0.542875
TRAIP	-1.13766666666667
KIAA0232	-0.5539
ERCC8	-1.92475
GPX4	1.20775
KIAA0368	-0.23525
GPR157	0.896333333333333
CTAGE4	0.5005
C9orf30	-0.976
OR52A1	0.6935
HSP90B3P	-0.599
ALG9	-0.4673
BTBD10	-0.00724999999999999
SDK2	0.3705
BAIAP3	0.552
RABGGTB	-0.305125
ANKRD40	-1.24783333333333
KRT74	-0.03
CALCOCO2	-0.721428571428571
SNCA	-3.5925
TMSL8	0.3625
C2orf53	-0.235
ESRRB	-0.18425
ARHGAP26	1.5015
TDRD9	-2.17525
HRAS	0.110833333333333
KLRC4	-2.5085
JAGN1	-0.355666666666667
BSDC1	1.69325
RNF43	-1.3007
NDUFAF1	-0.3355
PHF12	0.061
OR1L3	0.039
FOLR2	1.46533333333333
LYZL6	0.0673333333333334
tcag7.1260	-2.107
WSB1	-0.807333333333333
PROS1	-0.672
OSTN	0.54
PSMB8	-0.3325
SOCS4	-1.61328571428571
DDIT4L	4.0705
MAS1	-1.986
MGC34796	-0.128
CSHL1	0.417166666666667
TBCCD1	0.369
ZBTB7C	0.5955
AP2S1	-1.038625
P15RS	-0.3457
VAT1	-0.8057
SHANK3	2.19633333333333
TUFM	-0.0778333333333333
THEG	0.92125
KRT34	-3.16975
SGSM3	-0.318125
TOMM22	-0.72125
SOCS3	0.4755
CPO	2.9865
POP4	1.352
BHLHB3	-1.3415
MALL	1.731
OR1B1	0.6245
PARK2	-0.024
GPR124	1.733375
LCE1E	0.1875
RUVBL2	-0.89175
CGRRF1	-1.0871
ACPL2	0.4455
WNT10B	-0.04125
BAIAP2L2	-1.14975
ISCA1	-0.275
C1orf125	0.446428571428571
RPAP1	0.4685
RAI16	1.04116666666667
RPL27	-1.872875
NLRP9	0.045
EPN1	0.015
LOC388610	-0.0666250000000001
SLC35A1	0.0287
GAL	-1.38525
SLC14A2	0.724
RDH11	-0.446333333333333
FAM138F	0.349
AUH	-0.82675
FLJ40243	-0.780333333333333
C14orf129	-1.72983333333333
MBD2	0.00483333333333337
ABHD14B	-0.07125
PIGT	-0.474125
ALS2CR4	-0.23725
ALAS1	-0.6992
FOXO1	0.387333333333333
CRLF3	0.45675
C20orf107	-0.4175
FARS2	-0.42325
CCDC28A	-0.33425
NPHP3	-0.45675
OR13F1	-0.5765
TSEN54	-0.74
DEFB106B	-0.328285714285714
OR8B4	-2.2455
STH	1.16225
ZC3H14	-0.990125
CBX2	-0.1785
TMEM49	-2.13575
C6orf21	0.508
FLJ20920	-1.289875
CRTAP	-0.546642857142857
DDX50	-0.03475
STYXL1	-0.767
BLVRB	-0.943666666666667
LOC147650	1.353
MMP24	0.1645
GRID1	2.33316666666667
BANF1	0.227666666666667
CTAGEP	-0.3635
HMBS	-1.68975
SLC25A24	-1.556
C14orf50	-0.748
MRO	-0.611333333333333
SLC25A15	-0.659
FAM84B	0.4395
TDP1	-0.571
C16orf78	0.508333333333333
C11orf57	1.08475
RFK	-0.969
ZFYVE9	0.377
STCH	-1.833
WIBG	0.52025
LOC283871	-0.9192
GBA2	-0.6306
NDUFB3	-0.7065
HSD17B13	-0.36725
GRIN3A	-0.31675
FMNL1	-1.058
SEPT7	-1.0821
GNLY	2.7845
GRAMD1C	-0.363
ZNF165	1.89575
USP38	-0.5885
FAM83A	-2.90533333333333
C14orf24	-1.05825
ARMCX3	0.20275
ARHGDIB	-0.636333333333333
AK1	0.55475
KIAA1045	-0.2145
DNAJB13	-2.805
NEU2	1.485
HIST1H4B	-0.820833333333333
FAM20B	-0.2696
HES2	-0.182923076923077
FAM73B	-0.6102
LOC388381	0.5235
INTS7	-0.182818181818182
AMPH	-0.8255
ZNF775	1.1315
UCKL1	-0.3425
C10orf97	-1.3045
C1orf161	-0.895
ALDH1L1	-0.76425
FLJ39378	0.072625
SLC23A1	-0.069
RBM4B	0.16725
THAP4	-0.274833333333333
OGFRL1	4.12425
KIAA0831	-0.56775
PPP1R15A	0.249
C1orf96	1.22871428571429
C12orf11	-0.29625
BMF	1.952625
MAN1A1	-1.24625
KIAA1600	0.237333333333333
NLGN4X	-1.062
ALOX12	-1.361
RB1CC1	1.1293
NEIL2	0.5291
EIF4E	-0.254772727272727
ABHD5	-0.1055
EXOC4	-0.799
CIP29	-0.597666666666667
BATF2	0.621
SLC29A4	0.801625
HTR4	0.161333333333333
EMB	-3.43625
TRAF6	0.14575
LMNB1	-0.15225
FAM19A5	2.234125
SHE	1.368
PIK3C2B	3.08775
C15orf15	-1.9287
USP15	-0.4563
TCEAL2	3.17525
C5orf39	1.451
PTGER2	-2.1005
SLC31A1	-2.0181875
IFT172	1.208
ADAM29	0.696
GFOD1	1.12375
ST7L	-0.0163333333333333
C15orf26	-3.04475
PKN3	-1.38875
CNTD1	-0.9708
COMMD1	0.4545
NTRK2	1.79275
FOXN3	-0.10175
MFGE8	1.1889
PFKFB2	2.22366666666667
TAS2R4	-1.0915
ENTHD1	-0.810666666666667
PRMT5	-2.405375
MGC16384	-0.568375
LOC442229	-1.31125
TSKU	-0.647375
KRTCAP3	3.9345
PDLIM1	-0.0637
KCNS2	-0.428
RNF126	0.112833333333333
CEP63	-1.2145
CLIC4	-0.667125
hCG_1990170	-1.358
ACR	1.5221
KLK7	6.4985
ALOX5AP	0.811125
RIPK3	1.61775
TAS2R9	0.1135
C19orf18	3.6165
BIRC6	-0.0548571428571429
ZNF16	1.5695
RFT1	-0.721
SLC8A2	-1.65425
TACC1	-0.2215
ITGAD	0.928
SAMHD1	-2.15775
SH3PXD2B	2.66
EPC2	1.264
C20orf85	0.469875
ATP13A2	0.173166666666667
KRT4	0.71975
CAPNS1	-0.72325
MDM2	-0.528833333333333
PCDH20	-2.22733333333333
KCNK9	0.922
OR2C1	-0.354
KLHDC3	-0.2675
IPPK	-1.0355
EFHD2	-0.451875
GALR3	2.74775
NBEA	-2.03683333333333
ABCA6	0.7486
CLDN3	3.89116666666667
AKT2	-0.309076923076923
EGFR	1.1217
RBM16	-0.26725
ZDHHC3	-0.0922
SLC25A4	-0.756333333333333
CYB5B	-2.06266666666667
CPXM1	-0.343
NDRG1	0.712461538461538
FLJ43826	-0.43825
OR5L2	0.2548
FARP2	-0.4701
MRPL46	-1.43208333333333
LDHAL6B	0.106166666666667
MAPKAPK3	-0.434
NCAM2	-4.265
PRKD2	-0.350333333333333
ZFP36L1	1.374
CYSLTR1	-1.65525
OR4C3	0.3875
HIST1H2AJ	1.1985
CCNB2	-1.43811111111111
ZNF10	1.502125
TMEM175	1.456
FAM134A	0.1975
TIGD4	-1.4985
PCNP	-1.534
MGC39715	0.3645
LQK1	-0.82675
CREB1	-0.8962
TMPRSS3	0.16375
C4orf32	-0.722125
LAT	-0.868583333333333
KCNA3	-1.8045
SKIV2L2	-1.50825
ROPN1B	4.20975
tcag7.23	-0.64
CDT1	-1.894625
ZHX2	1.50825
CD28	-3.38225
ZNF624	1.36275
SEPT2	-0.53
SOHLH2	-0.700714285714286
MCOLN3	-0.186142857142857
UNQ1945	1.519
MASP2	-0.398
ZNRF3	-0.4982
GPATCH3	-0.84875
AGL	-0.330625
QRICH2	0.266
PSD4	0.653833333333333
CCNB1IP1	0.3485
ENPP7	-0.37325
OBFC1	-1.93025
KCNG3	-1.82633333333333
C14orf79	-0.224333333333333
ENPEP	2.96166666666667
SCT	1.276
SKI	1.421125
SEC61G	-0.99575
CAPN11	-1.8265
ATXN7L3	-0.3905
DBNDD1	2.2075
FAIM	0.7445
ANKRD36	0.2595
GABRP	5.39816666666667
TACSTD2	1.76766666666667
EIF3J	-1.43775
PPP2R2A	-2.50325
TEKT4	0.658
PVALB	-2.70316666666667
F10	-2.14016666666667
FAM134C	-0.2699
COMP	4.154625
EFCBP1	-2.485
SCLT1	0.18475
TAL1	-0.0483999999999999
ACSL1	0.83225
ABCC5	0.0828333333333334
ABL1	-0.612888888888889
RBBP7	-1.28383333333333
PTPRG	-0.00774999999999999
NCOR1	-0.461
SPINK4	-1.82266666666667
TXNRD1	-3.4019
TNRC15	0.557375
C9orf138	0.51825
UBE2H	0.771333333333333
BRDT	0.0576
C8orf31	-0.783
CCNE2	-0.742727272727273
SLC6A8	-0.8645
CALCR	-3.5795
PPP1CB	0.488166666666667
ABHD8	0.32825
ARF5	0.937
SLC24A4	0.174
CCT3	0.1675
ZNF121	-0.33125
SLC3A2	-1.8425
OR13A1	0.338
SLC5A10	1.243
RAD50	-1.66275
IER5	1.051125
MTHFD1L	-1.6735
MBTPS2	-0.987
MVK	-0.846
NCL	-0.0117
PSMD10	-1.9415
MOBP	1.218
FLJ32894	-0.801
HRH1	-0.657833333333333
C5orf30	-0.561
NUDT16L1	0.3782
RASGRP3	6.09466666666667
PRKRIP1	0.1763
CCDC75	-0.1695
LOC253970	0.52225
KIAA1239	0.1035
MED21	-0.4885
SYT11	-0.0395833333333333
NTSR2	-0.8115
EGFL11	0.251
CXorf59	2.34
OR2A25	-0.16325
SPTBN2	-0.527
LRMP	-1.93166666666667
RNF111	-1.4375
PTH	-1.6275
LOC619208	0.287666666666667
KIAA0895	-0.07275
RANBP5	-1.8675
P2RY10	-0.1928
NME5	2.92616666666667
DDX21	-0.5385
LRSAM1	0.0335
HDAC11	0.605666666666667
VMO1	2.31
NOLA2	-1.0905
ADAR	-0.286333333333333
MTO1	-1.75033333333333
SF4	0.730666666666667
P2RX1	-0.606666666666667
HBM	0.821
EN2	2.9895
C14orf172	0.52675
TM9SF2	-1.6551
INHBE	-0.8045
TCTE3	-0.373916666666667
TOX2	-1.83475
CTAGE3	-0.143
HBB	5.8608
MED15	-0.861833333333333
CASR	0.73075
C6orf66	-0.764833333333333
MTPN	-0.41025
UNC50	-1.55075
C21orf33	-0.337375
IRF2	1.2975
PGR	-2.48933333333333
GPR84	1.189
CROCCL1	-1.293
SRPX	-1.72525
BRE	-0.671
FGF10	-0.1185
SDC3	2.03866666666667
ZRSR1	0.543833333333333
DKFZP434P211	-0.7045
SOX6	1.09
RPUSD2	0.44575
C14orf173	-0.0240833333333334
MAPK11	1.03483333333333
TBC1D22A	-0.2625
FAM123A	-0.299
COL4A6	-3.62116666666667
TOMM70A	-0.99
NAB1	0.655125
MGC16385	0.3695
TSPAN18	0.0356666666666667
MED31	-0.586
PLG	-0.393333333333333
CAPSL	-0.5185
ZNF532	3.0004
ASB14	0.31
CA8	-3.63375
NUDT16P	-1.8196
SLFN11	-1.7315
LRRIQ2	-0.464
NOL7	-0.0513333333333334
BRMS1L	-1.777375
JARID1A	0.528333333333333
PANK2	-0.9525
ICAM3	-0.92875
MDS1	-1.3365
TAF8	-0.81475
RNF139	0.53825
ZNF594	0.1515
ADAM8	0.65
SFTPC	0.3115
MAN2B2	-0.341875
RGS12	0.674875
EIF1AY	-4.42481818181818
LRRIQ1	-1.72216666666667
GPR150	2.8135
CCDC21	-1.0615
PRRG3	-0.166333333333333
SAA4	-3.09475
RAPGEF5	2.21075
ZCCHC2	1.09283333333333
MGC39372	-2.141
PPP4R2	-0.571
CDCA2	-1.64933333333333
OR4D5	1.083
PTGFRN	0.1733
SIGLEC5	-0.5212
C19orf61	-0.599333333333333
NMUR2	-0.1515
KIAA1586	-1.38816666666667
DAGLA	0.469166666666667
CHCHD6	-0.468
GPR32	-0.85
NEUROD6	-1.05066666666667
SLC2A4RG	1.8659375
CA5B	-0.147
FBXL3	-1.392
MPHOSPH9	-2.06675
HMG2L1	0.40025
HCN4	2.0574
CEACAM19	2.15225
SH2D4B	0.9588
HFE2	-1.2515
TGM4	0.202333333333333
LYPD2	-0.309333333333333
TBC1D15	-0.6835
MRPS21	1.7752
NONO	-0.8956
CLEC5A	1.437625
ITCH	0.5234
MGAT3	-0.0223333333333333
MBP	-1.027625
RPP25	0.6175
SOSTDC1	1.48475
HRC	-0.885
TRIM48	0.8785
TMEM133	1.197
ECEL1P2	-2.413
HOXC11	-0.00299999999999999
DOK5	1.2005
HELZ	0.391666666666667
LOC348180	-0.5365
MGC33894	0.31
ADRB3	0.429
DMD	0.791
PTRH2	-0.51175
MPEG1	2.02433333333333
NDUFA12	-0.6915
KRTAP2-4	-0.0731666666666666
STAMBPL1	-2.0685
ADCY2	1.78
UNQ6125	0.374
KLHL20	0.335166666666667
SRM	-1.06775
OTC	-1.04375
TMIE	0.45
SNX8	0.8155
LIPK	0.4555
CHURC1	-1.91983333333333
KLC2	0.757666666666667
HDAC1	-0.688
FAM128A	0.581833333333333
FNDC3B	-1.0944
MTCP1	0.1314
WFDC10B	0.174
PCDHGB3	0.112
ATRNL1	-2.59157142857143
CAV2	-0.23625
MED26	-0.0106666666666666
DUS1L	0.952
CHRM3	-0.929875
NEK9	-0.781
WARS2	0.97625
TBX22	1.3845
TOMM40	-0.51125
RP6-213H19.1	0.1145
TUBGCP5	-1.42825
IGSF6	2.69925
TPPP	1.12316666666667
UNQ6190	0.4855
GSTM5	0.126875
BTD	-1.45516666666667
PDCD1LG2	-1.13633333333333
SNRPB2	0.171
ERICH1	0.5325
APOA4	-1.210875
HOXA11	-0.88875
NARG1	-0.52675
MKX	-1.64975
RAB28	-1.46114285714286
PKP3	1.43275
SH3GL2	4.2985
CTSO	0.44175
RPN2	0.231375
IL28RA	0.822166666666667
SFMBT1	1.38825
WDR57	-1.010375
FER1L3	-0.26075
HSF5	0.06425
TTC9B	-0.0372500000000001
C4BPA	-2.2165
ALB	-3.83730769230769
SORBS3	0.793375
UPF2	0.0405
JPH1	0.9165
AGBL2	-1.73525
DOPEY1	1.6615
TERF1	0.310416666666667
KIF22	0.646333333333333
NINJ1	0.7805
SEC61A2	0.394083333333333
HIST1H1D	0.7935
SFXN4	-0.359375
UCP3	1.1758
ZNF703	0.759833333333333
MYL6B	0.70725
TREM1	2.17475
OR52E6	0.952
CKMT2	2.73275
HLA-C	2.087875
SLC13A3	0.8695
TIMP4	-2.679
SLIT2	2.6945
RSF1	-0.674444444444445
LONRF1	-0.841692307692308
MON1A	0.500833333333333
CACNG6	-0.806666666666667
DPPA4	-3.4335
ZSWIM3	0.54925
ZNF804A	-0.7815
CCIN	2.08275
SLC25A31	0.517
KCNMB4	-0.796
RABL5	0.10875
GALNS	0.4093
STX6	1.690625
HIST1H1C	-1.13866666666667
CIDEB	1.0435
CASP4	0.278
PDK3	3.701
KCNJ11	-1.08
TPR	0.628875
ZSCAN20	-0.3605
MTX2	-0.3245
HIST1H2BH	0.424
LOC283767	3.03775
LYRM7	-1.74229411764706
BRD3	0.364833333333333
HIST1H2BO	-0.10475
MAGEB10	0.5715
SLC45A1	-0.17175
SERPINA3	-0.56385
KIAA0143	0.356
KCNJ16	4.70766666666667
KRT79	-0.773
FABP2	0.415
NUT	-0.138666666666667
ZNF57	-0.41775
FBXL4	-1.61025
CLEC9A	-0.955
UGT8	2.5805
BMP2K	-0.414
MAPK4	0.1415
SLC25A23	1.1789
HINT1	-2.4419
KRTAP13-1	0.3505
SFXN5	-0.7892
CHCHD2	-0.0555833333333334
FAM3D	5.1085
NDP	-2.722125
RHOBTB1	-0.128166666666667
SLC4A4	-1.232875
RPL38	0.048
HTF9C	0.763333333333334
AP2A2	0.0575
ZBTB46	-0.646
MAP7D1	-0.402875
AOX1	-2.87816666666667
CYR61	0.854166666666667
DTNA	1.22815384615385
JRKL	1.14325
TMOD3	-1.9425
EEA1	-0.3151
ADCK5	1.9025
IL1R1	0.997833333333333
KLK3	0.914769230769231
HRSP12	0.4675
KTN1	-0.69
LOH11CR2A	-0.4475
RELL2	-0.46775
MAB21L1	0.4015
C20orf59	-1.10066666666667
PHKB	-0.615
ADAM2	-1.7645
TBC1D8B	1.06716666666667
FAM13A1	0.71275
LAPTM4B	-0.49
LCN8	-0.0625
TMEM147	0.3235
SYT4	-0.769166666666667
XPO7	-0.6915
C9orf62	3.5845
GPR75	0.3845
TRIM5	-0.9695
APOC1	-1.3815
RNASE4	-0.263666666666667
PARD6B	-2.017375
ARID1A	0.215083333333333
TPD52L3	1.3923
RRAGB	0.193666666666667
RCN2	-1.24116666666667
HIST2H2BE	-0.369125
STARD7	-0.62675
SHMT2	-1.315
KIAA1751	-0.2815
MLYCD	-1.254
LOC162632	-0.4392
UQCRH	-1.56275
RP11-217H1.1	-0.1763125
SDHA	-2.06266666666667
NCLN	0.242
ZNF17	-0.227
RCBTB2	-1.30775
VEGFB	-0.217
RP4-747L4.3	0.55525
COLQ	0.00611111111111106
MPN2	-0.813
DRG2	0.12925
KLRB1	3.29575
ALPK2	-2.0565
DNASE2B	-0.3795
FLJ23834	0.115
AXUD1	0.048
SAFB	0.4451
NSUN4	-0.2965
RFX2	-0.484333333333333
MAPK8IP1	-1.51033333333333
FANCD2	-0.118571428571429
ANKZF1	-0.764
C19orf50	-0.43775
DUSP8	2.18175
SENP5	-0.165
NFKBIL2	0.452
LBR	-0.3165
IGFL1	-0.2485
LZTS2	1.102
IL2RG	-1.1165
CCDC51	-0.92425
KLF3	0.186
ANKRD37	-1.1895
KCTD14	-3.65333333333333
FZR1	0.192916666666667
SLC44A4	-2.0536
ESPL1	-0.6815
GMPR2	-1.9611
TBC1D19	-1.6675
ERGIC1	0.902259259259259
ERBB4	-0.1018
TSPAN32	-0.27925
MAP4	0.1515
GPHN	-1.52325
SLC6A2	2.853125
HIVEP1	0.47675
DFFB	-0.3697
EIF4EBP2	0.975375
DMRT1	-0.9925
HSPB6	-0.313
IER2	0.588833333333333
AIFM1	0.0515
WWC2	-1.265
MRPL4	-0.228
FLJ21062	-0.150833333333333
EPB41L4A	0.869727272727273
SH2D6	-1.05725
TAF4B	-0.276
GAL3ST3	-2.6785
MALT1	-1.2535
RTDR1	0.50225
ARVCF	0.796875
MEX3B	-0.0445
FBXO16	1.6375
KIF7	-0.1785
C1QC	5.06633333333333
ZNF783	-0.200666666666667
ZNF85	-0.72525
MMP13	-2.1835
KIAA0329	0.848875
RTP3	-1.684
ZBED3	1.13625
CLGN	-4.54325
SLC25A37	-0.296791666666667
hCG_18290	-0.30575
OR5AS1	-0.4525
SMARCC2	1.16016666666667
FAM109A	0.41
CCDC12	0.2975
USF2	0.6486
DEPDC7	-0.839
C20orf24	-1.4945
JMJD3	1.284
DSP	1.21307142857143
SLIC1	0.217714285714286
