Hybridization REF	TCGA-A8-A0AB-01A-11R-A034-07
TNNT3	0.359333333333333
GYPC	-1.6215
C7orf33	0.386
PLIN	3.15516666666667
LOC90826	0.0815
RNF4	0.3004
F8A1	-0.347833333333333
PLEKHG4	-0.97875
GRB2	0.5796
HIST1H2AD	-1.29925
DUS3L	-0.517833333333333
EIF1	-0.0625
RP5-1077B9.4	-1.33083333333333
FPGT	1.54025
GDF10	-0.8585
COQ9	-0.6005
GCC2	-0.0435
RARRES3	1.686625
PLXNA1	-0.6048
KIAA0100	0.145
PMF1	0.876
FNDC1	4.38625
HS2ST1	0.11775
CRELD2	-0.00525
C8G	-1.9065
CD82	-0.3945
LIM2	-0.89
UNQ6490	0.3275
MMP16	-0.3435
DRD3	-0.1345
C5orf26	-0.39625
C11orf73	-0.563
PTP4A2	0.591875
OR4M2	0.3105
HPCA	-1.57133333333333
SEC14L1	-0.844166666666667
CHFR	-0.53225
EMILIN1	0.274375
NDUFS4	0.0465
COL18A1	-0.559375
PDZD3	-0.0289
C9orf16	-0.4915
ERBB2IP	0.601333333333333
EMX2	3.06725
FUS	-0.4685
TF	-4.0325
CLCN4	-0.839333333333333
CXorf56	0.939
C11orf72	0.33175
ELAC2	-0.368916666666667
NPR1	-1.4965
ASS1	-2.091
USP42	0.164125
POLR2J	-0.615
SEC23IP	1.02716666666667
UQCRC1	-0.56025
LOC729603	-0.29875
C1orf71	0.684625
POLG	-1.9855
ADAM23	-3.545
TFR2	-1.56175
RICTOR	-0.5583
MGC39606	-0.24725
C19orf55	-0.1635
SNAPC1	-1.78466666666667
GNA11	0.450375
CCDC52	0.336666666666667
FSIP1	4.034
UPF3A	-0.1665
IGSF11	-2.30216666666667
LAGE3	0.676
CHST6	-2.885
UNC13B	0.4525
TTLL4	-0.770375
ZNF687	0.568125
SDC2	-1.2783
COX7A2	-0.80875
LAMB4	-0.232
FAM24A	0.282
LRRTM3	-0.790333333333333
GPHB5	0.303
OR4C13	0.4385
EIF3EIP	0.176285714285714
HABP4	-1.3645
TMEM125	3.775
CNTN2	-0.069375
ASNSD1	-0.1645
FUT4	-0.675125
ACF	-3.302
LOC158381	1.2505
CDH8	-0.0845
AGPS	-2.9665
C4orf18	4.4685
PECI	0.151333333333333
UNG	0.282875
GSTP1	-2.527875
DCUN1D5	-1.32083333333333
DKFZP564J0863	-1.06575
SLC9A3R1	0.755125
BCDO2	-1.109125
CHMP7	0.1015
REM2	0.361
DNHD1	-0.97675
FKBP4	-0.108125
ZNF350	1.462
MGC11102	-0.00875
BST1	0.68675
KISS1R	0.491
NCR2	0.0655
DEFB125	0.114
UBE2W	0.837875
KRT15	1.381375
C10orf99	0.114
SCN11A	-0.0125
GFI1	-3.09675
RDHE2	2.3955
FHL1	-1.45816666666667
OSGEP	-0.648333333333333
GATA1	-3.44816666666667
SMC6	-1.3765
TTTY14	-1.111
LPIN3	-0.26975
RPL4	-0.1481
RBPMS	0.881
PRPF3	-0.432333333333333
EMR1	-2.553
SPATA19	0.097
XCR1	0.226
IRX3	2.4365
RBM6	-0.41725
KLF4	-1.0501
UNC5CL	2.82125
SEBOX	0.037
BTK	-2.04575
KRCC1	1.3055
C6orf27	0.2335
SYTL5	-0.4375
PRND	2.027875
LOC653319	-1.3705
PIGL	0.6735
HUS1	0.0741666666666667
SFRS6	0.0563333333333333
C17orf77	0.132
UIMC1	-0.384333333333333
FXYD2	-1.9165
LOC283152	1.2905
ZNF667	0.3365
ZCCHC12	-0.38475
TFEC	1.0071
ATP7B	0.3645
POLD2	-1.08133333333333
RG9MTD1	0.85925
ACOT2	-1.1105
HIST1H4I	-0.93125
PPARGC1A	-2.2574
ETFA	-0.6485
POLRMT	-0.02925
ZNF146	0.702
MIA2	-1.4465
KLHL6	-2.1575
HOXB5	-1.12525
NENF	1.30366666666667
CUGBP1	-0.172
PRSS22	1.2435
CASC4	1.215
CUL4B	0.0552
CENPJ	-1.18
PITX1	1.32516666666667
FLJ31033	-0.883333333333333
CELSR3	-0.595666666666667
ZNF568	1.1255
ITSN1	-0.0126666666666666
EHBP1L1	-1.70133333333333
C19orf2	-0.04825
DCTN1	-0.0995
LIN28B	-2.79916666666667
TNKS2	-0.7165
C1QBP	-0.412125
CADPS2	2.11025
SRMS	0.476
GJA9	0.409166666666667
MGC24975	-0.255
TRIM45	1.15266666666667
TSP50	-0.129
TCP1	-0.5885
TMED7	0.4929
CMA1	1.1705
CENPL	-0.146333333333333
PTCRA	-0.241
FST	-4.29425
VWCE	-4.161
PAWR	-0.2685
ABCC12	0.159666666666667
LDLR	-0.9384
ASTN2	-0.0612
LOC441212	-0.887875
GPATCH8	0.1525
TANC2	-0.2295
KIF4A	-1.69275
C18orf18	-1.96525
PGM1	-0.933
KIAA0258	-0.0645
CPD	1.467
SNCAIP	-0.90025
DCT	-4.00133333333333
HLA-DOA	1.62440909090909
OR11L1	0.2615
UPK1B	-0.414166666666667
DNAJB4	-0.373375
UGT1A8	0.04825
HIST1H4L	0.0665
PECR	-1.32266666666667
HSPA2	0.81025
WFIKKN1	-1.8345
SERP1	0.83125
SYDE2	1.7975
TACR2	0.6815
NUP85	-0.2675
CD177	-0.858166666666667
LGR5	-1.96983333333333
PIGG	0.373833333333333
PTHR1	-1.55083333333333
RAB5A	0.577
FLJ13224	-0.0825
USP9Y	-1.707
C7orf53	-0.1445
LRP1B	-0.68225
XAF1	-0.4874
ABCG8	-1.2495
ANKDD1A	-0.662
DAND5	-0.099
SPAG6	-0.0235
LINCR	-0.179
ZDHHC22	-1.77775
CCDC60	-0.0305
THOC7	-0.624333333333333
TCTA	1.465
OR8K3	0.473
NY-REN-7	-0.67725
B2M	-0.313
C6orf141	-0.126125
LPPR4	0.537
SQLE	-1.767
SEPHS1	-0.60825
BTBD14B	0.570214285714286
PLRG1	0.16575
SPG7	-0.7993125
ZNF614	-0.3515
PARD6G	1.5705
INPP5B	-0.8309
GRPEL2	0.00262500000000003
PPID	-0.383
TRIM56	-1.02475
UBE2J1	-0.44175
IL20RA	5.2165
LOC387856	-0.22575
C1orf107	1.82441666666667
UTS2R	0.198
C19orf22	-0.443
SAFB2	-0.086125
KIAA0652	-0.844125
KLRG1	-1.54633333333333
MS4A8B	0.0193333333333333
FRAG1	-0.125
KIAA1546	0.75075
E2F4	-1.7336
CLEC4M	0.0831666666666667
BTBD14A	-1.34725
KIAA0999	0.0432
GYPA	-3.43733333333333
TAC1	1.9297
TRAIP	-0.519833333333333
KIAA0232	1.3565
ERCC8	-0.952625
GPX4	0.731875
KIAA0368	-0.08125
GPR157	-0.7445
CTAGE4	1.989
C9orf30	-1.18866666666667
OR52A1	0.616
HSP90B3P	-0.645
ALG9	-0.5579
BTBD10	0.21825
SDK2	-0.22625
BAIAP3	2.22325
RABGGTB	-0.94125
ANKRD40	0.180166666666667
KRT74	0.281
CALCOCO2	0.182928571428571
SNCA	-3.022
TMSL8	-0.75725
C2orf53	-0.0265
ESRRB	-0.47575
ARHGAP26	-0.67375
TDRD9	-2
HRAS	-1.33433333333333
KLRC4	-2.6945
JAGN1	-0.1815
BSDC1	0.3685
RNF43	-0.0871
NDUFAF1	0.4465
PHF12	0.5845
OR1L3	0.257
FOLR2	1.3085
LYZL6	0.2455
tcag7.1260	-0.5985
WSB1	-1.5425
PROS1	-1.2313
OSTN	0.4455
PSMB8	-1.8625
SOCS4	-0.431375
DDIT4L	0.27825
MAS1	0.1215
MGC34796	0.308
CSHL1	0.276333333333333
TBCCD1	0.033
ZBTB7C	0.369
AP2S1	0.095375
P15RS	0.3584
VAT1	-0.4502
SHANK3	0.108666666666667
TUFM	0.225666666666667
THEG	1.54775
KRT34	-1.91825
SGSM3	-0.343125
TOMM22	-0.26775
SOCS3	-0.443166666666667
CPO	0.2725
POP4	0.8635
BHLHB3	3.2675
MALL	0.472
OR1B1	0.2305
PARK2	1.047
GPR124	-0.103625
LCE1E	-0.074
RUVBL2	-0.69725
CGRRF1	-0.0268
ACPL2	1.3805
WNT10B	-2.997625
BAIAP2L2	-2.173125
ISCA1	0.48
C1orf125	0.498125
RPAP1	-0.2515
RAI16	0.160333333333333
RPL27	0.09425
NLRP9	0.0485
EPN1	-0.1645
LOC388610	-0.656125
SLC35A1	2.1344
GAL	-4.3265
SLC14A2	0.116
RDH11	-1.13133333333333
FAM138F	-0.177
AUH	0.54475
FLJ40243	0.324
C14orf129	1.09716666666667
MBD2	-0.0953333333333334
ABHD14B	-0.017
PIGT	0.134
ALS2CR4	0.216625
ALAS1	-0.0732
FOXO1	0.532666666666667
CRLF3	-0.23975
C20orf107	-0.2385
FARS2	1.1055
CCDC28A	2.09725
NPHP3	-0.7515
OR13F1	0.481
TSEN54	-0.4575
DEFB106B	0.1302
OR8B4	0.474
STH	3.15225
ZC3H14	-0.454125
CBX2	-0.321
TMEM49	-0.581
C6orf21	0.421
FLJ20920	0.912625
CRTAP	-0.323142857142857
DDX50	-0.1065
STYXL1	0.254
BLVRB	0.280833333333333
LOC147650	0.988333333333333
MMP24	0.058
GRID1	1.0485
BANF1	-0.294
CTAGEP	0.2595
HMBS	-2.26325
SLC25A24	1.0575
C14orf50	-0.466
MRO	1.03266666666667
SLC25A15	-1.0675
FAM84B	2.0067
TDP1	-0.394
C16orf78	-0.209333333333333
C11orf57	-0.508375
RFK	-0.751625
ZFYVE9	0.125125
STCH	-0.5995
WIBG	0.76175
LOC283871	-0.169666666666667
GBA2	-0.6402
NDUFB3	-0.0335
HSD17B13	-0.37575
GRIN3A	0.376833333333333
FMNL1	-1.69516666666667
SEPT7	-0.1604
GNLY	0.413
GRAMD1C	1.30783333333333
ZNF165	0.5365
USP38	0.78875
FAM83A	-3.19033333333333
C14orf24	-0.187916666666667
ARMCX3	1.113125
ARHGDIB	0.993666666666667
AK1	-0.65875
KIAA1045	-0.03175
DNAJB13	-0.328666666666667
NEU2	-0.005
HIST1H4B	-0.6755
FAM20B	0.7339
HES2	0.192
FAM73B	-0.7545
LOC388381	0.0955
INTS7	0.657909090909091
AMPH	0.5245
ZNF775	-0.0255
UCKL1	-1.36133333333333
C10orf97	0.161
C1orf161	-0.165
ALDH1L1	-1.709
FLJ39378	-0.10775
SLC23A1	-0.5515
RBM4B	0.409
THAP4	-0.0543333333333333
OGFRL1	-0.28325
KIAA0831	0.095
PPP1R15A	-1.0235
C1orf96	0.0100714285714286
C12orf11	-1.30525
BMF	0.371625
MAN1A1	0.128375
KIAA1600	0.704166666666667
NLGN4X	1.31125
ALOX12	-1.243
RB1CC1	0.2574
NEIL2	1.0956
EIF4E	0.585409090909091
ABHD5	0.41225
EXOC4	-0.382833333333333
CIP29	0.262333333333333
BATF2	-2.5185
SLC29A4	-1.01325
HTR4	0.266
EMB	-0.0695
TRAF6	-0.162
LMNB1	-1.53875
FAM19A5	-1.812375
SHE	1.0415
PIK3C2B	1.67325
C15orf15	-0.5772
USP15	0.0204
TCEAL2	1.591
C5orf39	-1.54466666666667
PTGER2	-2.31075
SLC31A1	-0.3969375
IFT172	0.57325
ADAM29	0.28275
GFOD1	-0.7355
ST7L	0.4785
C15orf26	-2.51275
PKN3	-1.91625
CNTD1	2.35466666666667
COMMD1	0.039125
NTRK2	1.69025
FOXN3	0.443125
MFGE8	-1.0563
PFKFB2	1.11316666666667
TAS2R4	0.28175
ENTHD1	0.84
PRMT5	-1.28325
MGC16384	-0.518625
LOC442229	-0.76125
TSKU	-0.76975
KRTCAP3	1.518625
PDLIM1	0.5447
KCNS2	0.073
RNF126	-0.437666666666667
CEP63	-0.0665
CLIC4	-0.707375
hCG_1990170	-0.4715
ACR	0.0716
KLK7	0.7495
ALOX5AP	2.65425
RIPK3	2.69975
TAS2R9	0.358
C19orf18	1.1735
BIRC6	0.0733571428571429
ZNF16	0.923
RFT1	-0.0765
SLC8A2	-0.7115
TACC1	-1.596875
ITGAD	0.3045
SAMHD1	-0.4715
SH3PXD2B	1.0053
EPC2	0.63825
C20orf85	0.271125
ATP13A2	0.2385
KRT4	0.268875
CAPNS1	-0.22975
MDM2	-0.816333333333333
PCDH20	2.41525
KCNK9	0.7105
OR2C1	-0.408
KLHDC3	-0.808333333333333
IPPK	0.247
EFHD2	-0.806
GALR3	0.21675
NBEA	-0.037
ABCA6	2.101
CLDN3	0.889666666666667
AKT2	-0.1665
EGFR	-2.2922
RBM16	0.955125
ZDHHC3	0.2619
SLC25A4	-0.0476666666666667
CYB5B	-0.999333333333333
CPXM1	-0.25525
NDRG1	-2.49984615384615
FLJ43826	0.301
OR5L2	0.0365
FARP2	-0.4089
MRPL46	-0.260333333333333
LDHAL6B	0.272666666666667
MAPKAPK3	-0.281333333333333
NCAM2	2.7865
PRKD2	-0.0608333333333333
ZFP36L1	1.3919
CYSLTR1	-1.7085
OR4C3	0.096
HIST1H2AJ	1.3145
CCNB2	-2.35077777777778
ZNF10	0.14125
TMEM175	0.0345
FAM134A	0.851166666666667
TIGD4	0.224
PCNP	-0.07
MGC39715	-0.1625
LQK1	-1.0345
CREB1	0.97
TMPRSS3	3.24025
C4orf32	2.000375
LAT	-2.3535
KCNA3	0.111
SKIV2L2	-0.5625
ROPN1B	-1.94875
tcag7.23	-0.3915
CDT1	-2.93375
ZHX2	1.343125
CD28	-3.1605
ZNF624	1.6265
SEPT2	0.13775
SOHLH2	-1.064875
MCOLN3	0.696875
UNQ1945	0.1635
MASP2	-0.893
ZNRF3	-0.0119
GPATCH3	-0.4595
AGL	2.0335
QRICH2	-0.7145
PSD4	0.6555
CCNB1IP1	-1.7905
ENPP7	0.054
OBFC1	0.17175
KCNG3	-1.899
C14orf79	0.90775
ENPEP	0.480166666666667
SCT	0.895
SKI	0.162125
SEC61G	-1.49875
CAPN11	-0.14475
ATXN7L3	-0.39775
DBNDD1	-0.2715
FAIM	-0.23625
ANKRD36	0.02
GABRP	2.38116666666667
TACSTD2	1.82766666666667
EIF3J	-0.8005
PPP2R2A	0.372
TEKT4	-0.410166666666667
PVALB	-3.57483333333333
F10	-2.89566666666667
FAM134C	0.6271
COMP	4.150125
EFCBP1	-2.7255
SCLT1	0.522375
TAL1	-1.385
ACSL1	-0.853
ABCC5	-1.01558333333333
ABL1	-0.478
RBBP7	0.538333333333333
PTPRG	0.77825
NCOR1	-0.0209
SPINK4	0.690166666666667
TXNRD1	-1.9294
TNRC15	0.800625
C9orf138	0.19575
UBE2H	0.866
BRDT	0.255333333333333
C8orf31	-0.43025
CCNE2	-0.868636363636364
SLC6A8	-1.439125
CALCR	-4.50675
PPP1CB	1.092
ABHD8	0.22975
ARF5	0.4274
SLC24A4	0.2265
CCT3	0.335
ZNF121	0.55575
SLC3A2	-1.406
OR13A1	0.3005
SLC5A10	0.42475
RAD50	0.260375
IER5	-0.504125
MTHFD1L	-2.52025
MBTPS2	0.29025
MVK	-0.42225
NCL	-0.1946
PSMD10	0.24425
MOBP	0.08075
FLJ32894	0.0375
HRH1	-0.736
C5orf30	0.59175
NUDT16L1	1.3376
RASGRP3	2.433
PRKRIP1	-0.1049
CCDC75	-0.69025
LOC253970	0.24625
KIAA1239	0.02425
MED21	0.132
SYT11	-0.555583333333333
NTSR2	-0.4985
EGFL11	0.1225
CXorf59	-0.022
OR2A25	0.048
SPTBN2	-0.31975
LRMP	-2.00783333333333
RNF111	0.01875
PTH	-0.392
LOC619208	1.2645
KIAA0895	1.5825
RANBP5	-0.598875
P2RY10	-0.638833333333333
NME5	4.74533333333333
DDX21	-1.30575
LRSAM1	-0.3825
HDAC11	0.7395
VMO1	0.718
NOLA2	0.3275
ADAR	0.841833333333333
MTO1	-1.2705
SF4	0.212333333333333
P2RX1	-0.293833333333333
HBM	-0.12525
EN2	0.448
C14orf172	-0.06275
TM9SF2	1.1923
INHBE	-1.33616666666667
TCTE3	0.218166666666667
TOX2	-4.036
CTAGE3	-0.054
HBB	3.6362
MED15	-1.13466666666667
CASR	-0.15875
C6orf66	-0.4995
MTPN	-0.3755
UNC50	0.32125
C21orf33	0.58675
IRF2	0.53125
PGR	1.87766666666667
GPR84	0.678
CROCCL1	-1.53675
SRPX	-1.53625
BRE	-0.0781666666666667
FGF10	0.307
SDC3	1.17516666666667
ZRSR1	-0.0441666666666667
DKFZP434P211	0.192375
SOX6	-0.364
RPUSD2	0.1765
C14orf173	0.0281666666666667
MAPK11	-0.811666666666667
TBC1D22A	0.133
FAM123A	-1.0155
COL4A6	-1.86616666666667
TOMM70A	0.4
NAB1	-0.172
MGC16385	-1.218875
TSPAN18	-0.5005
MED31	0.11875
PLG	-0.342
CAPSL	2.329
ZNF532	1.399
ASB14	-0.16975
CA8	1.87275
NUDT16P	0.531333333333333
SLFN11	-1.9585
LRRIQ2	0.11875
NOL7	-0.478
BRMS1L	-0.834375
JARID1A	0.526666666666667
PANK2	-1.28525
ICAM3	0.123
MDS1	-0.6015
TAF8	-0.764
RNF139	0.77175
ZNF594	-0.032
ADAM8	0.111625
SFTPC	-0.354125
MAN2B2	1.818875
RGS12	0.8810625
EIF1AY	-4.53308333333333
LRRIQ1	1.91416666666667
GPR150	0.33425
CCDC21	-1.578
PRRG3	0.13125
SAA4	-3.809
RAPGEF5	1.5895
ZCCHC2	0.517583333333333
MGC39372	1.183
PPP4R2	0.434333333333333
CDCA2	-1.78983333333333
OR4D5	0.314666666666667
PTGFRN	0.7841
SIGLEC5	1.05016666666667
C19orf61	-0.377
NMUR2	0.256
KIAA1586	0.148833333333333
DAGLA	0.619833333333333
CHCHD6	0.203
GPR32	0.5435
NEUROD6	0.165666666666667
SLC2A4RG	-0.126875
CA5B	0.073
FBXL3	1.662
MPHOSPH9	-1.415
HMG2L1	0.25425
HCN4	0.143
CEACAM19	0.4655
SH2D4B	0.1965
HFE2	-0.783
TGM4	0.278666666666667
LYPD2	0.0185
TBC1D15	-0.09075
MRPS21	0.5617
NONO	-0.5484
CLEC5A	1.287625
ITCH	-0.6596
MGAT3	-1.16466666666667
MBP	-1.162
RPP25	-2.21175
SOSTDC1	0.74175
HRC	-2.197
TRIM48	0.345
TMEM133	-1.04775
ECEL1P2	-1.41575
HOXC11	-0.49
DOK5	-1.58575
HELZ	0.888333333333333
LOC348180	-1.07625
MGC33894	0.33675
ADRB3	-0.06
DMD	-0.440833333333333
PTRH2	-0.32275
MPEG1	2.03383333333333
NDUFA12	-0.114
KRTAP2-4	-0.152
STAMBPL1	-1.45266666666667
ADCY2	0.966833333333333
UNQ6125	0.3545
KLHL20	0.624
SRM	-1.52025
OTC	0.1935
TMIE	-0.234166666666667
SNX8	-0.45175
LIPK	0.0285
CHURC1	0.105
KLC2	0.0545
HDAC1	-0.962833333333333
FAM128A	0.3935
FNDC3B	-0.5088
MTCP1	-0.2425
WFDC10B	-0.1849
PCDHGB3	-0.112
ATRNL1	-2.148
CAV2	-1.370875
MED26	0.288
DUS1L	0.03625
CHRM3	-1.806875
NEK9	-0.1875
WARS2	-0.21925
TBX22	0.581
TOMM40	-1.1455
RP6-213H19.1	-0.159833333333333
TUBGCP5	-0.59025
IGSF6	4.1265
TPPP	-0.0111666666666667
UNQ6190	0.1355
GSTM5	2.079
BTD	1.114
PDCD1LG2	-0.200166666666667
SNRPB2	-0.580166666666667
ERICH1	0.258125
APOA4	-1.810125
HOXA11	-2.3215
NARG1	-0.35525
MKX	-0.8325
RAB28	0.276214285714286
PKP3	0.27475
SH3GL2	-0.62
CTSO	3.29025
RPN2	-0.0374375
IL28RA	-0.273
SFMBT1	0.48125
WDR57	-0.005375
FER1L3	0.270833333333333
HSF5	0.216833333333333
TTC9B	-0.07425
C4BPA	-3.71533333333333
ALB	-3.9075
SORBS3	0.204125
UPF2	-0.184
JPH1	-0.399
AGBL2	-0.8935
DOPEY1	2.058
TERF1	0.18025
KIF22	-0.17
NINJ1	0.6785
SEC61A2	-0.692666666666667
HIST1H1D	-1.15366666666667
SFXN4	-0.21125
UCP3	0.3253
ZNF703	0.858166666666667
MYL6B	0.0285
TREM1	2.16825
OR52E6	0.539
CKMT2	0.6435
HLA-C	-0.444125
SLC13A3	-2.55266666666667
TIMP4	-1.10625
SLIT2	1.20775
RSF1	0.411777777777778
LONRF1	-0.0353571428571429
MON1A	-0.1115
CACNG6	-1.97766666666667
DPPA4	-5.31283333333333
ZSWIM3	0.17025
ZNF804A	0.1685
CCIN	0.663
SLC25A31	0.2945
KCNMB4	-0.79425
RABL5	0.903875
GALNS	-0.7826
STX6	1.32175
HIST1H1C	-2.893
CIDEB	-0.10175
CASP4	-1.52533333333333
PDK3	0.3292
KCNJ11	1.5715
TPR	0.489875
ZSCAN20	-0.2185
MTX2	0.0155
HIST1H2BH	-1.80525
LOC283767	0.302
LYRM7	-0.719277777777778
BRD3	0.111
HIST1H2BO	-1.99075
MAGEB10	0.519
SLC45A1	0.58875
SERPINA3	0.91675
KIAA0143	0.869
KCNJ16	0.128833333333333
KRT79	0.3965
FABP2	-0.35225
NUT	-0.208
ZNF57	0.31925
FBXL4	0.76275
CLEC9A	0.165
UGT8	-0.839333333333333
BMP2K	0.028
MAPK4	-3.77225
SLC25A23	0.0711
HINT1	0.453
KRTAP13-1	0.295
SFXN5	-0.8403
CHCHD2	0.145333333333333
FAM3D	1.3365
NDP	1.46125
RHOBTB1	0.126333333333333
SLC4A4	-1.419125
RPL38	0.191
HTF9C	-0.338666666666667
AP2A2	-0.1545
ZBTB46	-0.719
MAP7D1	-0.25875
AOX1	-1.84833333333333
CYR61	-0.334833333333333
DTNA	-0.578857142857143
JRKL	-0.14625
TMOD3	-0.38325
EEA1	0.2341
ADCK5	-0.39275
IL1R1	-0.0401666666666667
KLK3	0.377857142857143
HRSP12	0.4585
KTN1	-0.3585
LOH11CR2A	0.6516
RELL2	-1.1755
MAB21L1	0.814
C20orf59	-1.59183333333333
PHKB	-0.61625
ADAM2	-1.83566666666667
TBC1D8B	1.6215
FAM13A1	-1.395
LAPTM4B	-0.05575
LCN8	0.0975
TMEM147	0.852
SYT4	0.292833333333333
XPO7	-0.34
C9orf62	0.847
GPR75	0.6775
TRIM5	-1.225375
APOC1	-1.08166666666667
RNASE4	0.9605
PARD6B	-0.907375
ARID1A	0.466833333333333
TPD52L3	0.1612
RRAGB	1.17283333333333
RCN2	-0.116666666666667
HIST2H2BE	-1.4555
STARD7	-0.51675
SHMT2	-1.0565
KIAA1751	-0.186833333333333
MLYCD	0.509875
LOC162632	-0.6519
UQCRH	-1.13625
RP11-217H1.1	0.3935625
SDHA	-1.14416666666667
NCLN	-0.4768
ZNF17	0.262166666666667
RCBTB2	-2.149
VEGFB	-0.5153
RP4-747L4.3	1.56475
COLQ	0.2561
MPN2	-0.579666666666667
DRG2	0.013
KLRB1	2.6395
ALPK2	-3.68475
DNASE2B	1.36375
FLJ23834	-0.870166666666667
AXUD1	-0.358333333333333
SAFB	-0.3374
NSUN4	-0.4135
RFX2	0.108
MAPK8IP1	-0.866666666666667
FANCD2	-0.160928571428571
ANKZF1	-1.61583333333333
C19orf50	-0.778
DUSP8	0.07475
SENP5	-0.174
NFKBIL2	-0.58775
LBR	-1.841625
IGFL1	-0.136
LZTS2	0.038625
IL2RG	-1.9025
CCDC51	0.4525
KLF3	0.716375
ANKRD37	-1.994
KCTD14	-1.71866666666667
FZR1	0.283833333333333
SLC44A4	2.8443
ESPL1	-1.0285
GMPR2	-0.7335
TBC1D19	-0.0136666666666667
ERGIC1	0.942555555555555
ERBB4	2.9422
TSPAN32	-0.490666666666667
MAP4	-0.12175
GPHN	-0.71325
SLC6A2	0.115875
HIVEP1	1.0685
DFFB	-0.3318
EIF4EBP2	0.145875
DMRT1	-0.35725
HSPB6	-0.35275
IER2	0.181
AIFM1	-0.08075
WWC2	-0.232416666666667
MRPL4	-0.56175
FLJ21062	1.326
EPB41L4A	0.628083333333333
SH2D6	0.2555
TAF4B	-0.501
GAL3ST3	-0.441
MALT1	-0.535833333333333
RTDR1	0.083
ARVCF	0.1635
MEX3B	-1.50283333333333
FBXO16	1.76825
KIF7	-1.68275
C1QC	3.61733333333333
ZNF783	-0.360666666666667
ZNF85	0.27825
MMP13	3.5695
KIAA0329	0.201
RTP3	-0.72
ZBED3	0.7
CLGN	-2.47775
SLC25A37	-1.19529166666667
hCG_18290	0.1885
OR5AS1	-0.017
SMARCC2	0.271166666666667
FAM109A	-0.0781666666666667
CCDC12	-0.06125
USF2	0.1717
DEPDC7	-2.37325
C20orf24	-0.683
JMJD3	0.6735
DSP	2.25657142857143
SLIC1	-0.0745
FAM20A	0.99275
IRF2BP2	0.9615
ZNF230	-0.127
MSN	-1.37635714285714
SLC9A5	-1.8195
EPDR1	-2.0668
MUSK	0.0296666666666667
