Hybridization REF	TCGA-BH-A0E2-01A-11R-A056-07
NDUFB3	-0.99225
HSD17B13	-0.6495
GRIN3A	1.06466666666667
FMNL1	-0.937833333333333
SEPT7	-0.5706
GNLY	3.715
GRAMD1C	2.10683333333333
ZNF165	0.88025
USP38	1.0255
FAM83A	-2.96966666666667
C14orf24	1.16616666666667
ARMCX3	1.163875
ARHGDIB	-0.845166666666667
AK1	0.371
KIAA1045	0.46425
DNAJB13	-0.0723333333333333
NEU2	-0.278
HIST1H4B	-0.6305
FAM20B	-0.3884
HES2	0.552357142857143
FAM73B	-0.6637
LOC388381	-0.28875
INTS7	-0.674818181818182
AMPH	0.75575
ZNF775	0.461
UCKL1	-0.384166666666667
C10orf97	0.276
C1orf161	-0.000749999999999987
ALDH1L1	-1.302
FLJ39378	-0.35975
SLC23A1	1.083
RBM4B	0.0305
THAP4	0.0446666666666667
OGFRL1	-0.54675
KIAA0831	0.651
PPP1R15A	0.126166666666667
C1orf96	-0.197214285714286
C12orf11	-2.097
BMF	0.9815
MAN1A1	-0.237875
KIAA1600	0.770166666666667
NLGN4X	-1.19525
ALOX12	-1.33433333333333
RB1CC1	0.1148
NEIL2	0.4221
EIF4E	0.266727272727273
ABHD5	-0.57525
EXOC4	-0.174166666666667
CIP29	-0.252
BATF2	0.5775
SLC29A4	-0.377375
HTR4	0.6495
EMB	0.04125
TRAF6	0.24675
LMNB1	-1.0385
FAM19A5	0.120875
SHE	1.0285
PIK3C2B	0.528
C15orf15	-0.5229
USP15	-0.3098
TCEAL2	0.70975
C5orf39	-1.03783333333333
PTGER2	-1.1575
SLC31A1	-0.9016875
IFT172	-0.8545
ADAM29	0.4685
GFOD1	-1.29225
ST7L	-0.5205
C15orf26	-2.1195
PKN3	-0.43275
CNTD1	0.687666666666667
COMMD1	0.049625
NTRK2	2.25091666666667
FOXN3	-0.4635
MFGE8	0.103
PFKFB2	0.547666666666667
TAS2R4	-0.21475
ENTHD1	0.128166666666667
PRMT5	-1.010375
MGC16384	-1.988375
LOC442229	-0.44375
TSKU	-0.122625
KRTCAP3	1.123375
PDLIM1	-0.1214
KCNS2	-0.62275
RNF126	-0.209333333333333
CEP63	0.653625
CLIC4	-0.297125
hCG_1990170	-0.88025
ACR	0.3968
KLK7	2.05175
ALOX5AP	2.642125
RIPK3	2.88225
TAS2R9	0.553
C19orf18	2.6635
BIRC6	-0.289357142857143
ZNF16	2.333
RFT1	-0.526
SLC8A2	-0.6705
TACC1	0.079875
ITGAD	0.66075
SAMHD1	0.5695
SH3PXD2B	0.6868
EPC2	0.495
C20orf85	4.778125
ATP13A2	0.0861666666666667
KRT4	0.52375
CAPNS1	0.265
MDM2	2.89966666666667
PCDH20	2.884
KCNK9	0.316
OR2C1	-0.9205
KLHDC3	-0.659833333333333
IPPK	0.814
EFHD2	-0.08625
GALR3	1.6185
NBEA	1.6435
ABCA6	1.7675
CLDN3	2.052
AKT2	-0.708357142857143
EGFR	-1.9568
RBM16	0.671
ZDHHC3	-0.0661
SLC25A4	-0.057
CYB5B	-1.52766666666667
CPXM1	-0.52125
NDRG1	-0.410153846153846
FLJ43826	0.36625
OR5L2	-0.357166666666667
FARP2	-0.2249
MRPL46	-0.644
LDHAL6B	-0.0475
MAPKAPK3	-0.167166666666667
NCAM2	-1.19025
PRKD2	0.230166666666667
ZFP36L1	0.9177
CYSLTR1	-0.47825
OR4C3	0.4325
HIST1H2AJ	1.4515
CCNB2	-0.950333333333333
ZNF10	-0.388625
TMEM175	0.612
FAM134A	0.4065
TIGD4	-0.517
PCNP	-0.5635
MGC39715	-0.2715
LQK1	-2.9935
CREB1	-0.00130000000000006
TMPRSS3	-2.372
C4orf32	0.46275
LAT	-1.55275
KCNA3	-0.185
SKIV2L2	-0.68375
ROPN1B	-2.43025
tcag7.23	-0.1225
CDT1	-2.063375
ZHX2	1.1115
CD28	-3.278
ZNF624	1.42375
SEPT2	-0.42225
SOHLH2	-1.819375
MCOLN3	-0.931
UNQ1945	0.7765
MASP2	-0.7065
ZNRF3	0.3795
GPATCH3	-0.54475
AGL	1.51925
QRICH2	-0.211
PSD4	0.483333333333333
CCNB1IP1	-1.06625
ENPP7	-0.1975
OBFC1	-0.62525
KCNG3	-0.818333333333333
C14orf79	1.40233333333333
ENPEP	2.2815
SCT	1.1355
SKI	0.72175
SEC61G	-0.40275
CAPN11	-0.726
ATXN7L3	-0.129
DBNDD1	0.3815
FAIM	0.16025
ANKRD36	-0.186
GABRP	1.361
TACSTD2	1.49116666666667
EIF3J	-0.19325
PPP2R2A	-1.3
TEKT4	-0.1135
PVALB	0.829166666666667
F10	-2.582
FAM134C	0.6038
COMP	4.851125
EFCBP1	-2.4114
SCLT1	1.146375
TAL1	-1.2364
ACSL1	0.35375
ABCC5	0.357833333333333
ABL1	-0.457333333333333
RBBP7	0.731666666666667
PTPRG	-0.370875
NCOR1	-0.208
SPINK4	-0.336
TXNRD1	-1.4057
TNRC15	0.376625
C9orf138	0.8115
UBE2H	1.46083333333333
BRDT	-0.223
C8orf31	-0.02325
CCNE2	-1.895
SLC6A8	-1.118
CALCR	-3.10325
PPP1CB	0.331
ABHD8	0.533
ARF5	0.536
SLC24A4	0.0915
CCT3	0.127
ZNF121	0.71725
SLC3A2	-1.492
OR13A1	0.219
SLC5A10	-0.37025
RAD50	0.274625
IER5	0.924875
MTHFD1L	-1.90325
MBTPS2	0.127
MVK	-1.0245
NCL	-0.3882
PSMD10	-0.39075
MOBP	0.04625
FLJ32894	0.3445
HRH1	-0.617
C5orf30	1.06975
NUDT16L1	0.7898
RASGRP3	2.6885
PRKRIP1	-0.5846
CCDC75	-0.25075
LOC253970	0.378333333333333
KIAA1239	0.04175
MED21	-0.775
SYT11	0.740333333333333
NTSR2	-0.4525
EGFL11	-0.628
CXorf59	3.397
OR2A25	0.30125
SPTBN2	-1.3915
LRMP	-1.92883333333333
RNF111	0.17125
PTH	-1.497
LOC619208	0.385333333333333
KIAA0895	0.65075
RANBP5	0.037
P2RY10	0.804
NME5	3.27816666666667
DDX21	0.01925
LRSAM1	0.583
HDAC11	2.54683333333333
VMO1	1.978
NOLA2	-0.237333333333333
ADAR	0.374583333333333
MTO1	-1.628
SF4	0.521
P2RX1	0.120166666666667
HBM	0.6355
EN2	1.9235
C14orf172	0.20525
TM9SF2	1.4108
INHBE	-1.00116666666667
TCTE3	0.503416666666667
TOX2	-2.89775
CTAGE3	0.70075
HBB	4.7704
MED15	-0.4855
CASR	0.447
C6orf66	-1.4735
MTPN	-0.329125
UNC50	-0.5135
C21orf33	0.490875
IRF2	1.203375
PGR	1.06666666666667
GPR84	2.33525
CROCCL1	-1.47025
SRPX	-1.09
BRE	-0.6175
FGF10	0.237666666666667
SDC3	-0.305666666666667
ZRSR1	0.338833333333333
DKFZP434P211	-0.65975
SOX6	0.604
RPUSD2	-0.30525
C14orf173	-0.091
MAPK11	0.468166666666667
TBC1D22A	0.494
FAM123A	-1.708
COL4A6	-2.1155
TOMM70A	0.30825
NAB1	-0.872875
MGC16385	-0.9615
TSPAN18	-0.407666666666667
MED31	-0.9515
PLG	-0.02875
CAPSL	2.5445
ZNF532	1.058
ASB14	0.2655
CA8	-0.733
NUDT16P	0.900666666666667
SLFN11	-0.081
LRRIQ2	0.064
NOL7	-0.282666666666667
BRMS1L	-0.837625
JARID1A	0.592666666666667
PANK2	-0.53525
ICAM3	0.036
MDS1	-0.46425
TAF8	-0.79325
RNF139	2.09725
ZNF594	-0.692333333333333
ADAM8	0.964375
SFTPC	-0.256
MAN2B2	0.9785
RGS12	0.82075
EIF1AY	-4.46558333333333
LRRIQ1	-0.336166666666667
GPR150	1.7655
CCDC21	-1.6125
PRRG3	-0.04425
SAA4	-3.392
RAPGEF5	2.677875
ZCCHC2	0.348416666666667
MGC39372	-0.0235
PPP4R2	0.541333333333333
CDCA2	-2.06833333333333
OR4D5	0.318
PTGFRN	0.9718
SIGLEC5	0.657166666666667
C19orf61	-0.7075
NMUR2	0.5655
KIAA1586	-1.6395
DAGLA	0.354166666666667
CHCHD6	-0.28425
GPR32	0.733
NEUROD6	0.545666666666667
SLC2A4RG	0.440625
CA5B	-0.46575
FBXL3	1.33175
MPHOSPH9	-1.85125
HMG2L1	1.1335
HCN4	1.20083333333333
CEACAM19	0.33925
SH2D4B	-0.303666666666667
HFE2	-0.2275
TGM4	-0.190666666666667
LYPD2	0.15375
TBC1D15	1.858
MRPS21	-0.2929
NONO	-0.7502
CLEC5A	1.9405
ITCH	0.3733
MGAT3	-0.714833333333333
MBP	0.3075
RPP25	-0.9315
SOSTDC1	-0.043
HRC	-1.193
TRIM48	-0.671
TMEM133	-0.31075
ECEL1P2	-1.6865
HOXC11	0.06
DOK5	-0.80825
HELZ	0.652666666666667
LOC348180	-0.9005
MGC33894	0.2305
ADRB3	0.604
DMD	-0.3315
PTRH2	-0.55625
MPEG1	2.4215
NDUFA12	-0.414833333333333
KRTAP2-4	0.394
STAMBPL1	-1.784
ADCY2	-0.574333333333333
UNQ6125	-0.927
KLHL20	0.331833333333333
SRM	-1.2815
OTC	-0.0535
TMIE	-0.134
SNX8	0.30675
LIPK	0.401
CHURC1	0.533333333333333
KLC2	0.522833333333333
HDAC1	-1.4035
FAM128A	0.093
FNDC3B	-0.5756
MTCP1	-0.311
WFDC10B	2.8762
PCDHGB3	0.617
ATRNL1	0.9737
CAV2	-0.351875
MED26	0.380666666666667
DUS1L	0.5565
CHRM3	-1.87425
NEK9	-0.1605
WARS2	-0.4495
TBX22	0.097
TOMM40	-0.872
RP6-213H19.1	-1.74216666666667
TUBGCP5	-1.41825
IGSF6	4.593
TPPP	0.867166666666667
UNQ6190	0.2375
GSTM5	0.123125
BTD	0.7675
PDCD1LG2	-0.389333333333333
SNRPB2	-0.00416666666666666
ERICH1	-0.6665
APOA4	-1.32225
HOXA11	-1.79025
NARG1	-0.017125
MKX	-0.88075
RAB28	-0.661214285714286
PKP3	1.335
SH3GL2	1.226
CTSO	3.5525
RPN2	0.5078125
IL28RA	-0.807333333333334
SFMBT1	0.35625
WDR57	-0.935375
FER1L3	1.145
HSF5	0.480166666666667
TTC9B	0.45575
C4BPA	-3.8195
ALB	-3.7325
SORBS3	-0.267375
UPF2	0.2095
JPH1	-0.4415
AGBL2	-1.3385
DOPEY1	0.612
TERF1	-0.264583333333333
KIF22	-0.444333333333333
NINJ1	0.50325
SEC61A2	-0.615
HIST1H1D	0.647
SFXN4	-0.089125
UCP3	0.382333333333333
ZNF703	2.32766666666667
MYL6B	-0.498
TREM1	2.1845
OR52E6	0.313
CKMT2	1.47625
HLA-C	1.78775
SLC13A3	-1.90633333333333
TIMP4	-1.35625
SLIT2	2.63725
RSF1	-0.273888888888889
LONRF1	-0.973285714285714
MON1A	0.1365
CACNG6	0.8805
DPPA4	-4.81216666666667
ZSWIM3	0.462
ZNF804A	-0.376333333333333
CCIN	1.5245
SLC25A31	0.386
KCNMB4	-0.4335
RABL5	0.221125
GALNS	-0.4852
STX6	0.505375
HIST1H1C	0.9925
CIDEB	-0.982
CASP4	-0.152
PDK3	-0.1145
KCNJ11	0.6755
TPR	-0.296125
ZSCAN20	-1.2955
MTX2	-0.6955
HIST1H2BH	1.04625
LOC283767	-0.45675
LYRM7	-1.82966666666667
BRD3	0.553
HIST1H2BO	0.94825
MAGEB10	0.468
SLC45A1	0.94325
SERPINA3	2.55135
KIAA0143	1.40025
KCNJ16	-0.0802
KRT79	-0.47275
FABP2	-0.2945
NUT	0.05375
ZNF57	0.175
FBXL4	0.501
CLEC9A	-0.003
UGT8	-1.323
BMP2K	-0.0485
MAPK4	-3.0105
SLC25A23	-0.00210000000000001
HINT1	-1.0811
KRTAP13-1	-0.227
SFXN5	-0.0383
CHCHD2	0.342
FAM3D	0.258
NDP	-2.56325
RHOBTB1	0.845833333333333
SLC4A4	-0.94675
RPL38	0.4425
HTF9C	-0.3775
AP2A2	0.60625
ZBTB46	-1.2675
MAP7D1	-0.019625
AOX1	-1.3575
CYR61	0.927833333333333
DTNA	1.98128571428571
JRKL	-0.09375
TMOD3	0.587
EEA1	-0.374
ADCK5	-0.0655
IL1R1	0.61
KLK3	0.553785714285714
HRSP12	-0.965
KTN1	0.79725
LOH11CR2A	0.6102
RELL2	-0.77225
MAB21L1	1.026
C20orf59	-0.539
PHKB	-0.6195
ADAM2	-0.681666666666667
TBC1D8B	1.23766666666667
FAM13A1	-1.5813125
LAPTM4B	-1.371
LCN8	-0.051
TMEM147	0.4515
SYT4	0.474166666666667
XPO7	-1.235
C9orf62	2.00225
GPR75	0.0225
TRIM5	-0.09325
APOC1	-0.550166666666667
RNASE4	-0.2995
PARD6B	-0.456625
ARID1A	-0.848333333333333
TPD52L3	0.3412
RRAGB	1.215
RCN2	-0.497333333333333
HIST2H2BE	0.494625
STARD7	0.0735
SHMT2	0.144
KIAA1751	0.0113333333333333
MLYCD	-0.00575
LOC162632	-0.9729
UQCRH	-1.9935
RP11-217H1.1	0.432125
SDHA	-1.54466666666667
NCLN	-0.3241
ZNF17	0.5935
RCBTB2	-1.6085
VEGFB	-0.6653
RP4-747L4.3	0.3415
COLQ	0.2356
MPN2	-0.920166666666667
DRG2	-0.18225
KLRB1	4.07725
ALPK2	-1.84675
DNASE2B	2.454
FLJ23834	1.1305
AXUD1	1.29383333333333
SAFB	0.1541
NSUN4	-0.53375
RFX2	0.736166666666667
MAPK8IP1	-0.938666666666667
FANCD2	-0.559357142857143
ANKZF1	-1.89266666666667
C19orf50	-0.454625
DUSP8	2.3435
SENP5	-0.3655
NFKBIL2	0.117
LBR	-1.232125
IGFL1	1.013
LZTS2	0.523375
IL2RG	-0.550625
CCDC51	0.15975
KLF3	-0.01425
ANKRD37	-0.169
KCTD14	-1.33816666666667
FZR1	0.952333333333333
SLC44A4	3.552
ESPL1	-0.677125
GMPR2	-0.2054
TBC1D19	-0.915833333333333
ERGIC1	1.0117037037037
ERBB4	4.0311
TSPAN32	-0.1205
MAP4	0.320125
GPHN	-0.984
SLC6A2	-0.041
HIVEP1	0.725
DFFB	-0.775
EIF4EBP2	0.16875
DMRT1	0.28075
HSPB6	0.03275
IER2	0.827666666666667
AIFM1	-0.166
WWC2	0.884272727272727
MRPL4	-0.4895
FLJ21062	0.231
EPB41L4A	1.07433333333333
SH2D6	0.20875
TAF4B	-0.696
GAL3ST3	-0.219
MALT1	-1.89333333333333
RTDR1	0.55675
ARVCF	0.1845
MEX3B	-1.4725
FBXO16	-0.06325
KIF7	-1.44975
C1QC	3.83816666666667
ZNF783	-0.401833333333333
ZNF85	0.43225
MMP13	6.101
KIAA0329	0.581125
RTP3	-0.2505
ZBED3	0.084
CLGN	-2.7385
SLC25A37	-2.194375
hCG_18290	0.438
OR5AS1	0.2125
SMARCC2	0.78675
FAM109A	-0.00883333333333334
CCDC12	-0.23075
USF2	0.4518
DEPDC7	-1.983
C20orf24	-0.898833333333333
JMJD3	0.7115
DSP	1.79478571428571
SLIC1	0.13175
FAM20A	0.93525
IRF2BP2	0.532125
ZNF230	0.1115
MSN	-0.489285714285714
SLC9A5	-1.1165
EPDR1	-0.7166
MUSK	0.251
ZNF434	0.486166666666667
SMARCD1	-0.939
ZFP106	-0.33125
ZNF347	0.0785
