Hybridization REF	TCGA-BH-A0DS-01A-11R-A056-07
PGBD5	-1.81916666666667
CCNY	-0.143785714285714
RMND5B	1.06183333333333
ZNF257	0.71
FLJ22167	-0.646875
EXOSC7	-0.311166666666667
ROR2	1.098125
MAOA	1.785375
TNNT3	2.496
GYPC	-0.675
C7orf33	0.844
PLIN	4.70666666666667
LOC90826	-0.20075
RNF4	-0.3192
F8A1	0.1625
PLEKHG4	-0.91525
GRB2	-0.27955
HIST1H2AD	0.352
DUS3L	-0.466333333333333
EIF1	-0.142666666666667
RP5-1077B9.4	-1.47333333333333
FPGT	0.96875
GDF10	2.30516666666667
COQ9	-0.17925
GCC2	0.271142857142857
RARRES3	2.76825
PLXNA1	-0.7712
KIAA0100	-0.3481
PMF1	0.61125
FNDC1	5.41175
HS2ST1	-0.370166666666667
CRELD2	0.3925
C8G	-1.531
CD82	1.25125
LIM2	-1.816
UNQ6490	-1.3895
MMP16	-0.1165
DRD3	-0.592
C5orf26	-0.39325
C11orf73	-0.569375
PTP4A2	0.124375
OR4M2	-0.6175
HPCA	-1.1165
SEC14L1	-0.705166666666667
CHFR	0.094
EMILIN1	0.53
NDUFS4	-0.333
COL18A1	0.2715
PDZD3	-0.0527
C9orf16	-0.369333333333333
ERBB2IP	0.755
EMX2	2.94375
FUS	0.068
TF	-3.2703
CLCN4	0.0153333333333333
CXorf56	0.82825
C11orf72	0.365
ELAC2	-0.55525
NPR1	0.873
ASS1	-1.66633333333333
USP42	0.2545
POLR2J	-0.5125
SEC23IP	0.541166666666667
UQCRC1	0.35875
LOC729603	-0.5345
C1orf71	0.25625
POLG	-1.7665
ADAM23	-3.42475
TFR2	-2.11875
RICTOR	-0.6191
MGC39606	1.41325
C19orf55	-0.07325
SNAPC1	-1.409
GNA11	1.577375
CCDC52	0.891666666666667
FSIP1	3.599
UPF3A	-0.237875
IGSF11	-3.65633333333333
LAGE3	0.94225
CHST6	-2.813
UNC13B	0.40675
TTLL4	-0.87825
ZNF687	0.69925
SDC2	-1.1784
COX7A2	-0.3315
LAMB4	-1.13425
FAM24A	-0.0175
LRRTM3	-1.43066666666667
GPHB5	-0.04925
OR4C13	-0.7155
EIF3EIP	-0.248928571428571
HABP4	-0.6295
TMEM125	2.9805
CNTN2	0.29675
ASNSD1	-0.82225
FUT4	-0.591
ACF	-4.42875
LOC158381	0.846
CDH8	0.177666666666667
AGPS	-0.638833333333333
C4orf18	3.42725
PECI	1.2615
UNG	0.359875
GSTP1	-1.321875
DCUN1D5	-1.43916666666667
DKFZP564J0863	-0.79675
SLC9A3R1	0.561875
BCDO2	-0.95575
CHMP7	0.438875
REM2	0.276
DNHD1	-0.952625
FKBP4	0.432875
ZNF350	2.899
MGC11102	0.137125
BST1	1.27525
KISS1R	0.359
NCR2	0.153
DEFB125	0.589
UBE2W	0.9995
KRT15	4.260375
C10orf99	0.1355
SCN11A	0.234375
GFI1	-1.4215
RDHE2	6.1125
FHL1	0.266666666666667
OSGEP	-0.121833333333333
GATA1	-3.8275
SMC6	-1.3375
TTTY14	-1.4425
LPIN3	0.269
RPL4	-0.7269
RBPMS	1.0006
PRPF3	-0.286333333333333
EMR1	-2.792
SPATA19	-0.276
XCR1	0.174
IRX3	2.6974
RBM6	-0.201
KLF4	2.0156
UNC5CL	-1.38225
SEBOX	-0.563
BTK	-0.17575
KRCC1	1.134
C6orf27	0.5895
SYTL5	0.5385
PRND	2.750375
LOC653319	-1.508
PIGL	-0.466
HUS1	-0.232
SFRS6	0.551083333333333
C17orf77	2.137
UIMC1	-0.0353333333333333
FXYD2	-2.0357
LOC283152	0.197
ZNF667	0.401
ZCCHC12	-1.5355
TFEC	2.463
ATP7B	2.0705
POLD2	-1.26533333333333
RG9MTD1	0.0605
ACOT2	0.727666666666667
HIST1H4I	-0.88625
PPARGC1A	-1.5797
ETFA	-0.2953
POLRMT	-0.18125
ZNF146	0.513125
MIA2	-1.4385
KLHL6	-0.247833333333333
HOXB5	0.1385
NENF	-0.588
CUGBP1	-0.2225
PRSS22	1.89383333333333
CASC4	0.5047
CUL4B	0.2472
CENPJ	-1.7547
PITX1	0.442166666666667
FLJ31033	1.55666666666667
CELSR3	-2.63366666666667
ZNF568	0.92575
ITSN1	0.119416666666667
EHBP1L1	-1.072
C19orf2	-0.517
DCTN1	-0.10675
LIN28B	-5.27933333333333
TNKS2	-1.0115
C1QBP	-0.8215
CADPS2	1.65125
SRMS	1.28
GJA9	0.352666666666667
MGC24975	-0.431166666666667
TRIM45	-0.883333333333333
TSP50	0.55375
TCP1	-1.344
TMED7	0.6802
CMA1	3.666
CENPL	0.147333333333333
PTCRA	-0.6635
FST	-3.6525
VWCE	-3.98875
PAWR	0.49975
ABCC12	4.101
LDLR	-1.0951
ASTN2	1.737
LOC441212	-1.159375
GPATCH8	-0.12125
TANC2	-0.634166666666667
KIF4A	-1.40375
C18orf18	-1.97225
PGM1	-0.942
KIAA0258	0.5235
CPD	0.976875
SNCAIP	-0.56675
DCT	-4.733
HLA-DOA	3.36231818181818
OR11L1	0.434
UPK1B	-1.9245
DNAJB4	-0.0505
UGT1A8	-0.40325
HIST1H4L	-1.4765
PECR	-0.582166666666667
HSPA2	1.8235
WFIKKN1	-0.5885
SERP1	1.342625
SYDE2	1.19975
TACR2	0.442
NUP85	-0.7525
CD177	-0.604
LGR5	-1.86183333333333
PIGG	0.392583333333333
PTHR1	-1.24966666666667
RAB5A	0.6491
FLJ13224	-0.545
USP9Y	-1.9505
C7orf53	-0.635
LRP1B	-0.431
XAF1	0.7921
ABCG8	-1.054
ANKDD1A	-0.587166666666667
DAND5	-1.381
SPAG6	6.381
LINCR	0.786
ZDHHC22	-2.04125
CCDC60	1.338
THOC7	-1.384
TCTA	1.0226
OR8K3	0.569333333333333
NY-REN-7	-0.371
B2M	1.2255
C6orf141	-0.26825
LPPR4	2.0935
SQLE	-1.378
SEPHS1	-0.79825
BTBD14B	0.600214285714286
PLRG1	-0.76025
SPG7	-0.09675
ZNF614	0.368833333333333
PARD6G	0.774666666666667
INPP5B	-0.3179
GRPEL2	-0.00450000000000001
PPID	-0.7308
TRIM56	0.4255
UBE2J1	-0.290875
IL20RA	4.1945
LOC387856	1.64075
C1orf107	0.866416666666667
UTS2R	0.612
C19orf22	0.0645
SAFB2	0.038125
KIAA0652	-0.227125
KLRG1	0.208833333333333
MS4A8B	0.3876
FRAG1	0.121
KIAA1546	-0.015
E2F4	-1.016
CLEC4M	-0.593
BTBD14A	-1.63975
KIAA0999	0.8627
GYPA	-4.218
TAC1	3.4775
TRAIP	-0.803
KIAA0232	0.831
ERCC8	-0.929375
GPX4	0.53575
KIAA0368	0.12075
GPR157	-0.556333333333333
CTAGE4	1.452
C9orf30	-1.688
OR52A1	0.3995
HSP90B3P	0.1195
ALG9	-0.3924
BTBD10	0.442
SDK2	0.123
BAIAP3	1.216
RABGGTB	-1.351625
ANKRD40	-0.233666666666667
KRT74	1.0655
CALCOCO2	0.250571428571429
SNCA	-2.799
TMSL8	-3.63825
C2orf53	-0.394
ESRRB	-0.7165
ARHGAP26	0.0263749999999999
TDRD9	-1.30375
HRAS	-0.327
KLRC4	-3.172
JAGN1	-0.053
BSDC1	0.61775
RNF43	-0.0891
NDUFAF1	0.5415
PHF12	0.1395
OR1L3	0.6555
FOLR2	2.92258333333333
LYZL6	-0.0856666666666667
tcag7.1260	4.1025
WSB1	-1.72416666666667
PROS1	-0.0559
OSTN	0.2665
PSMB8	-0.06375
SOCS4	0.213125
DDIT4L	1.226
MAS1	-0.2625
MGC34796	1.149
CSHL1	0.265666666666667
TBCCD1	0.143833333333333
ZBTB7C	0.627
AP2S1	-0.3325
P15RS	-0.6908
VAT1	-1.2132
SHANK3	1.44183333333333
TUFM	0.818333333333333
THEG	-0.77975
KRT34	-2.79925
SGSM3	0.9
TOMM22	-0.33225
SOCS3	1.00033333333333
CPO	1.576
POP4	0.77425
BHLHB3	1.24375
MALL	1.72475
OR1B1	0.145
PARK2	0.8885
GPR124	1.310375
LCE1E	-1.362
RUVBL2	-0.57425
CGRRF1	0.2956
ACPL2	0.30525
WNT10B	-2.439125
BAIAP2L2	-2.372875
ISCA1	0.5345
C1orf125	-1.496625
RPAP1	-0.731
RAI16	0.786166666666667
RPL27	-0.885875
NLRP9	-0.468
EPN1	0.483
LOC388610	-1.215
SLC35A1	1.0708
GAL	-4.56475
SLC14A2	0.43175
RDH11	-0.952833333333333
FAM138F	-0.3765
AUH	0.53425
FLJ40243	0.25
C14orf129	0.274
MBD2	0.197
ABHD14B	0.52975
PIGT	1.3275
ALS2CR4	-0.19625
ALAS1	0.3995
FOXO1	1.1595
CRLF3	-0.489375
C20orf107	-0.538
FARS2	1.33075
CCDC28A	0.7965
NPHP3	-0.8735
OR13F1	0.4005
TSEN54	-0.6265
DEFB106B	-0.4793
OR8B4	0.16
STH	1.058
ZC3H14	-0.37275
CBX2	-0.3965
TMEM49	-0.9725
C6orf21	0.5945
FLJ20920	1.431125
CRTAP	-0.1765
DDX50	-0.711
STYXL1	0.45425
BLVRB	1.07466666666667
LOC147650	-0.258
MMP24	0.64625
GRID1	1.87
BANF1	-0.450166666666667
CTAGEP	0.937
HMBS	-2.55875
SLC25A24	0.207166666666667
C14orf50	0.8085
MRO	0.8925
SLC25A15	-1.887
FAM84B	1.6436
TDP1	-0.073
C16orf78	-0.2835
C11orf57	0.275625
RFK	-0.1865
ZFYVE9	-1.09175
STCH	-0.8739
WIBG	0.7885
LOC283871	-0.464833333333333
GBA2	0.0612
NDUFB3	-0.6825
HSD17B13	0.1945
GRIN3A	0.55
FMNL1	-0.677166666666667
SEPT7	-0.5069
GNLY	3.269
GRAMD1C	1.5545
ZNF165	0.8305
USP38	0.412
FAM83A	-4.32716666666667
C14orf24	0.663833333333333
ARMCX3	1.356875
ARHGDIB	1.69
AK1	0.40175
KIAA1045	0.7575
DNAJB13	-0.643333333333333
NEU2	1.3715
HIST1H4B	-1.25016666666667
FAM20B	0.2196
HES2	-0.139357142857143
FAM73B	0.228
LOC388381	-0.13275
INTS7	-0.019
AMPH	1.25675
ZNF775	-0.324
UCKL1	-0.641166666666667
C10orf97	0.406
C1orf161	-0.07675
ALDH1L1	0.863
FLJ39378	-0.447375
SLC23A1	-3.253
RBM4B	-0.1535
THAP4	-0.105833333333333
OGFRL1	0.28
KIAA0831	0.986875
PPP1R15A	0.213
C1orf96	0.0860714285714286
C12orf11	-2.105
BMF	1.326
MAN1A1	0.367375
KIAA1600	0.747333333333333
NLGN4X	-0.871
ALOX12	-1.96516666666667
RB1CC1	0.3841
NEIL2	0.4609
EIF4E	-0.220727272727273
ABHD5	0.173
EXOC4	-0.022
CIP29	-0.092
BATF2	-0.219
SLC29A4	-0.71275
HTR4	0.4615
EMB	-1.13575
TRAF6	0.76575
LMNB1	-1.6025
FAM19A5	-1.938
SHE	3.26825
PIK3C2B	1.48
C15orf15	-0.5174
USP15	0.6739
TCEAL2	2.176
C5orf39	-0.349666666666667
PTGER2	-0.685
SLC31A1	0.068875
IFT172	0.01075
ADAM29	0.11775
GFOD1	0.93825
ST7L	-0.272333333333333
C15orf26	-2.7045
PKN3	-0.4865
CNTD1	3.64983333333333
COMMD1	0.26175
NTRK2	3.59541666666667
FOXN3	0.7735
MFGE8	-0.3066
PFKFB2	0.960166666666667
TAS2R4	-0.3265
ENTHD1	-0.043
PRMT5	-0.7705
MGC16384	-1.148625
LOC442229	0.361
TSKU	2.0695
KRTCAP3	-0.5295
PDLIM1	0.5933
KCNS2	0.31425
RNF126	-0.135666666666667
CEP63	-0.308375
CLIC4	-0.706125
hCG_1990170	1.70475
ACR	0.3867
KLK7	2.72825
ALOX5AP	2.96375
RIPK3	3.077
TAS2R9	0.7275
C19orf18	2.612
BIRC6	-0.214071428571429
ZNF16	1.7115
RFT1	-0.44425
SLC8A2	-1.509
TACC1	1.149875
ITGAD	-0.0547499999999999
SAMHD1	1.22925
SH3PXD2B	1.1464
EPC2	0.72075
C20orf85	0.24175
ATP13A2	-0.0188333333333333
KRT4	0.741125
CAPNS1	0.43875
MDM2	-0.806
PCDH20	5.855
KCNK9	-0.2365
OR2C1	0.7325
KLHDC3	-0.430166666666667
IPPK	1.16
EFHD2	-0.040625
GALR3	0.628
NBEA	0.544833333333333
ABCA6	4.2045
CLDN3	1.55633333333333
AKT2	-0.241571428571429
EGFR	-0.4799
RBM16	0.298
ZDHHC3	1.0904
SLC25A4	-0.124166666666667
CYB5B	-0.670333333333333
CPXM1	-0.1155
NDRG1	-0.927923076923077
FLJ43826	0.509
OR5L2	0.166166666666667
FARP2	0.017
MRPL46	-0.17525
LDHAL6B	-0.338333333333333
MAPKAPK3	-0.707666666666667
NCAM2	-0.7105
PRKD2	0.611833333333333
ZFP36L1	1.2765
CYSLTR1	0.87975
OR4C3	-0.914
HIST1H2AJ	1.5505
CCNB2	-2.659
ZNF10	0.465
TMEM175	0.3355
FAM134A	0.665
TIGD4	-0.722
PCNP	-0.14625
MGC39715	1.53975
LQK1	-0.97525
CREB1	0.3989
TMPRSS3	1.2515
C4orf32	1.38575
LAT	-0.597583333333333
KCNA3	0.2015
SKIV2L2	-0.25825
ROPN1B	-0.31
tcag7.23	-0.108
CDT1	-2.812
ZHX2	1.80075
CD28	-2.68
ZNF624	0.483
SEPT2	-0.123916666666667
SOHLH2	-3.581625
MCOLN3	-0.707714285714286
UNQ1945	-0.032
MASP2	-1.5955
ZNRF3	-0.2069
GPATCH3	-0.106
AGL	0.046
QRICH2	-0.9935
PSD4	1.10383333333333
CCNB1IP1	-1.93075
ENPP7	-0.093
OBFC1	-0.303
KCNG3	-2.336
C14orf79	0.86825
ENPEP	3.0865
SCT	0.921
SKI	0.41925
SEC61G	-1.07925
CAPN11	1.69825
ATXN7L3	-0.39225
DBNDD1	-0.606833333333333
FAIM	-0.2715
ANKRD36	-0.922
GABRP	3.9735
TACSTD2	2.3175
EIF3J	-1.00325
PPP2R2A	-0.3075
TEKT4	-0.410333333333333
PVALB	0.438
F10	-1.58483333333333
FAM134C	0.9888
COMP	4.519875
EFCBP1	-1.537625
SCLT1	-0.003875
TAL1	-0.8833
ACSL1	3.4675
ABCC5	0.534416666666667
ABL1	-0.545
RBBP7	0.476583333333333
PTPRG	-0.902625
NCOR1	-0.1149
SPINK4	-1.9675
TXNRD1	0.1333
TNRC15	0.143625
C9orf138	0.70075
UBE2H	1.06766666666667
BRDT	1.50683333333333
C8orf31	-0.42975
CCNE2	-0.860545454545455
SLC6A8	-1.916375
CALCR	-4.27775
PPP1CB	0.642166666666667
ABHD8	-0.535
ARF5	0.4942
SLC24A4	1.57625
CCT3	0.1315
ZNF121	0.1795
SLC3A2	-0.773
OR13A1	0.1255
SLC5A10	-0.375
RAD50	0.33175
IER5	0.017875
MTHFD1L	-2.926625
MBTPS2	0.4035
MVK	1.621875
NCL	-0.8937
PSMD10	0.15375
MOBP	-0.0484285714285714
FLJ32894	0.0625
HRH1	-1.05933333333333
C5orf30	1.145
NUDT16L1	0.9329
RASGRP3	4.19083333333333
PRKRIP1	0.0812
CCDC75	-0.34575
LOC253970	0.3475
KIAA1239	0.654
MED21	0.1905
SYT11	0.48625
NTSR2	-0.782
EGFL11	-0.238
CXorf59	-1.465
OR2A25	0.58825
SPTBN2	-0.0455
LRMP	-0.903
RNF111	0.0485
PTH	0.4405
LOC619208	0.319166666666667
KIAA0895	0.1215
RANBP5	-1.688375
P2RY10	1.6145
NME5	3.5905
DDX21	-1.31
LRSAM1	0.3805
HDAC11	0.944333333333333
VMO1	1.47675
NOLA2	0.0288333333333333
ADAR	0.934833333333333
MTO1	-0.6155
SF4	0.443333333333333
P2RX1	0.290166666666667
HBM	0.16075
EN2	0.784
C14orf172	0.0425
TM9SF2	0.8286
INHBE	-1.96133333333333
TCTE3	-0.187666666666667
TOX2	-2.4535
CTAGE3	0.603
HBB	4.3923
MED15	-1.04316666666667
CASR	-0.331
C6orf66	-1.72333333333333
MTPN	-0.612625
UNC50	-0.02375
C21orf33	0.206875
IRF2	1.066375
PGR	-0.431166666666667
GPR84	1.66275
CROCCL1	-1.357
SRPX	-0.4815
BRE	-0.097
FGF10	2.12525
SDC3	-0.360333333333333
ZRSR1	0.635166666666667
DKFZP434P211	0.310125
SOX6	0.64
RPUSD2	0.243
C14orf173	-0.613
MAPK11	-0.348
TBC1D22A	0.5665
FAM123A	-1.543
COL4A6	-1.92133333333333
TOMM70A	0.0705
NAB1	-0.71975
MGC16385	-0.427875
TSPAN18	-0.2845
MED31	-0.55175
PLG	-1.14625
CAPSL	-0.88
ZNF532	0.3696
ASB14	0.58825
CA8	-0.67175
NUDT16P	-0.3245
SLFN11	-1.0725
LRRIQ2	-0.158625
NOL7	-0.287666666666667
BRMS1L	-0.313125
JARID1A	0.584833333333333
PANK2	-0.3765
ICAM3	0.172
MDS1	-0.14275
TAF8	-0.6455
RNF139	0.888
ZNF594	0.104166666666667
ADAM8	1.061625
SFTPC	-0.168375
MAN2B2	1.185125
RGS12	0.025125
EIF1AY	-5.07125
LRRIQ1	-1.74566666666667
GPR150	0.7065
CCDC21	-1.394
PRRG3	0.611
SAA4	-2.66025
RAPGEF5	2.192625
ZCCHC2	0.347833333333333
MGC39372	-0.029
PPP4R2	0.275
CDCA2	-1.4045
OR4D5	0.750333333333333
PTGFRN	0.4696
SIGLEC5	1.5495
C19orf61	-0.0548333333333333
NMUR2	-0.113
KIAA1586	-2.10366666666667
DAGLA	-0.820166666666667
CHCHD6	-0.61575
GPR32	0.7495
NEUROD6	0.7465
SLC2A4RG	0.4448125
CA5B	1.36225
FBXL3	1.01075
MPHOSPH9	-1.28125
HMG2L1	0.76125
HCN4	0.345666666666667
CEACAM19	-0.243
SH2D4B	0.0715
HFE2	-1.248
TGM4	0.327
LYPD2	0.099
TBC1D15	0.41575
MRPS21	0.2691
NONO	-0.7
CLEC5A	0.88425
ITCH	0.1524
MGAT3	-0.307833333333333
MBP	-0.7045
RPP25	-0.6065
SOSTDC1	0.44275
HRC	-0.861
TRIM48	0.217
TMEM133	-0.3805
ECEL1P2	-2.981
HOXC11	2.2755
DOK5	-1.1855
HELZ	0.325833333333333
LOC348180	-0.84675
MGC33894	0.24775
ADRB3	0.3805
DMD	0.435833333333333
PTRH2	-1.14575
MPEG1	3.88483333333333
NDUFA12	0.445833333333333
KRTAP2-4	-0.0424166666666666
STAMBPL1	-1.21016666666667
ADCY2	2.56333333333333
UNQ6125	0.4105
KLHL20	1.11583333333333
SRM	-1.26675
OTC	1.92575
TMIE	0.604833333333333
SNX8	0.13825
LIPK	0.444
CHURC1	0.766666666666667
KLC2	0.0631666666666667
HDAC1	-0.0491666666666667
FAM128A	0.00316666666666666
FNDC3B	0.0634
MTCP1	-0.438333333333333
WFDC10B	0.1216
PCDHGB3	-0.566
ATRNL1	-3.17333333333333
CAV2	0.274375
MED26	0.731666666666667
DUS1L	0.63375
CHRM3	-1.195875
NEK9	1.0665
WARS2	-0.764
TBX22	-0.956
TOMM40	-1.00525
RP6-213H19.1	-0.231666666666667
TUBGCP5	-0.7315
IGSF6	5.50375
TPPP	1.623
UNQ6190	-0.1885
GSTM5	3.44225
BTD	0.8
PDCD1LG2	0.765833333333333
SNRPB2	0.0983333333333333
ERICH1	-0.086625
APOA4	-1.759
HOXA11	-2.321
NARG1	-0.839125
MKX	-1.41725
RAB28	-0.193285714285714
PKP3	-0.0795
SH3GL2	-3.8195
CTSO	3.62625
RPN2	0.3748125
IL28RA	0.591333333333333
SFMBT1	0.184
WDR57	-0.956625
FER1L3	-0.986166666666667
HSF5	1.35216666666667
TTC9B	0.218
C4BPA	-4.00966666666667
ALB	-4.9315
SORBS3	0.46975
UPF2	-0.1505
JPH1	0.554
AGBL2	-1.451
DOPEY1	1.298
TERF1	-0.127833333333333
KIF22	0.413166666666667
NINJ1	1.20325
SEC61A2	-1.01225
HIST1H1D	-0.1005
SFXN4	-0.722875
UCP3	-0.1402
ZNF703	1.049
MYL6B	-1.29125
TREM1	0.7295
OR52E6	1.3415
CKMT2	3.03825
HLA-C	2.354875
SLC13A3	-1.05916666666667
TIMP4	0.7575
SLIT2	3.15275
RSF1	-0.101777777777778
LONRF1	-0.592
MON1A	-0.291333333333333
CACNG6	-1.48016666666667
DPPA4	-5.39166666666667
ZSWIM3	0.28275
ZNF804A	0.173166666666667
CCIN	0.9755
SLC25A31	-0.0155
KCNMB4	-0.922
RABL5	-0.066
GALNS	-0.9946
STX6	0.864875
HIST1H1C	0.530166666666667
CIDEB	-0.59525
CASP4	0.3925
PDK3	0.4062
KCNJ11	2.2505
TPR	0.149875
ZSCAN20	0.4325
MTX2	-0.391
HIST1H2BH	0.31625
LOC283767	1.58875
LYRM7	-1.24677777777778
BRD3	1.5685
HIST1H2BO	0.16825
MAGEB10	0.267
SLC45A1	0.84075
SERPINA3	0.90385
KIAA0143	1.15825
KCNJ16	1.99933333333333
KRT79	0.7195
FABP2	-1.12775
NUT	-0.38125
ZNF57	0.61175
FBXL4	-0.233125
CLEC9A	1.982
UGT8	-0.476666666666667
BMP2K	-0.08975
MAPK4	-3.193
SLC25A23	0.1519
HINT1	-0.5052
KRTAP13-1	0.3645
SFXN5	0.18
CHCHD2	0.60625
FAM3D	4.019
NDP	-3.2
RHOBTB1	-0.285833333333333
SLC4A4	-0.45725
RPL38	-0.65125
HTF9C	-0.462333333333333
AP2A2	0.20225
ZBTB46	0.008
MAP7D1	0.25375
AOX1	-0.689833333333333
CYR61	1.99075
DTNA	-0.0176428571428571
JRKL	-0.271
TMOD3	-0.33725
EEA1	0.3025
ADCK5	-0.3015
IL1R1	1.891
KLK3	2.41164285714286
HRSP12	-0.60175
KTN1	0.4795
LOH11CR2A	0.4312
RELL2	-1.66
MAB21L1	3.8465
C20orf59	-1.9065
PHKB	0.13075
ADAM2	-0.0566666666666667
TBC1D8B	2.17666666666667
FAM13A1	-0.801625
LAPTM4B	-1.39291666666667
LCN8	0.483
TMEM147	0.846
SYT4	-0.606833333333333
XPO7	-0.588
C9orf62	0.4935
GPR75	0.0095
TRIM5	0.412875
APOC1	-1.524
RNASE4	2.21666666666667
PARD6B	-2.349
ARID1A	0.272666666666667
TPD52L3	0.143666666666667
RRAGB	1.3365
RCN2	-1.2555
HIST2H2BE	0.1365
STARD7	-0.45425
SHMT2	-1.07075
KIAA1751	-0.131833333333333
MLYCD	0.90875
LOC162632	-0.2781
UQCRH	-1.881
RP11-217H1.1	0.925125
SDHA	-0.422833333333333
NCLN	-0.3971
ZNF17	1.3455
RCBTB2	-1.31175
VEGFB	-0.4112
RP4-747L4.3	1.013
COLQ	-0.1133
MPN2	-1.40783333333333
DRG2	-0.25175
KLRB1	7.2595
ALPK2	-4.33125
DNASE2B	4.79625
FLJ23834	-0.895833333333333
AXUD1	2.071
SAFB	-0.0949
NSUN4	-0.38325
RFX2	0.995166666666667
MAPK8IP1	-1.42166666666667
FANCD2	-0.602785714285714
ANKZF1	-0.647666666666667
C19orf50	-0.55775
DUSP8	1.059125
SENP5	0.588125
NFKBIL2	-0.338
LBR	-0.8945
IGFL1	0.479
LZTS2	0.08675
IL2RG	-0.1555
CCDC51	-0.2775
KLF3	0.526625
ANKRD37	-0.86725
KCTD14	-0.680166666666667
FZR1	0.24675
SLC44A4	4.3523
ESPL1	-0.973125
GMPR2	-0.2697
TBC1D19	-0.889833333333333
ERGIC1	0.865481481481481
ERBB4	2.9236
TSPAN32	0.7305
MAP4	-0.185875
GPHN	-0.8685
SLC6A2	-0.249
HIVEP1	0.86925
DFFB	-0.4755
EIF4EBP2	0.243125
DMRT1	-0.72875
HSPB6	0.47375
IER2	0.87
AIFM1	0.66725
WWC2	0.25425
MRPL4	-0.41975
FLJ21062	1.281
EPB41L4A	1.92141666666667
SH2D6	-0.174
TAF4B	-1.12625
GAL3ST3	-1.1395
MALT1	-0.889166666666667
RTDR1	-0.67575
ARVCF	0.0407142857142857
MEX3B	-0.8795
FBXO16	1.7275
KIF7	-1.2625
C1QC	3.88766666666667
ZNF783	-0.5395
ZNF85	0.57075
MMP13	-0.033
KIAA0329	0.990125
RTP3	-2.514
ZBED3	0.0775
CLGN	0.95075
SLC25A37	-0.939
hCG_18290	-0.44725
OR5AS1	0.472
SMARCC2	0.646833333333333
FAM109A	0.368
CCDC12	-0.112
USF2	0.8287
DEPDC7	-3.17975
C20orf24	0.0863333333333333
JMJD3	0.989
DSP	1.87285714285714
SLIC1	0.5885
FAM20A	1.0105
IRF2BP2	1.294375
ZNF230	1.105
MSN	-0.623214285714286
SLC9A5	-2.163
EPDR1	-1.782
MUSK	-0.320833333333333
ZNF434	0.873333333333333
SMARCD1	-0.764666666666667
ZFP106	-0.38325
ZNF347	0.9852
GTF2E1	0.41925
RY1	-0.409
ATAD2B	0.348125
