Hybridization REF	TCGA-AO-A0JA-01A-11R-A056-07
CD177	2.56566666666667
LGR5	-1.828
PIGG	0.54275
PTHR1	-1.00983333333333
RAB5A	0.3062
FLJ13224	0.25
USP9Y	-1.84733333333333
C7orf53	-0.8255
LRP1B	7.072
XAF1	2.0349
ABCG8	-0.537
ANKDD1A	-0.72
DAND5	-1.5215
SPAG6	6.80933333333333
LINCR	0.8725
ZDHHC22	-1.808375
CCDC60	0.852
THOC7	-1.64966666666667
TCTA	0.9614
OR8K3	0.449
NY-REN-7	-0.33
B2M	1.68766666666667
C6orf141	-0.25875
LPPR4	1.40025
SQLE	-1.210625
SEPHS1	0.2815
BTBD14B	0.961928571428572
PLRG1	0.03425
SPG7	-0.1994375
ZNF614	-0.277
PARD6G	0.952166666666666
INPP5B	-0.434
GRPEL2	-0.044375
PPID	-0.6551
TRIM56	-0.12975
UBE2J1	0.215625
IL20RA	3.015
LOC387856	0.59875
C1orf107	0.1655
UTS2R	1.176
C19orf22	0.30375
SAFB2	-0.160875
KIAA0652	0.027625
KLRG1	-0.936
MS4A8B	1.35766666666667
FRAG1	0.2025
KIAA1546	0.58725
E2F4	-0.9907
CLEC4M	0.496
BTBD14A	0.73175
KIAA0999	0.9504
GYPA	-4.35583333333333
TAC1	3.2326
TRAIP	-1.69533333333333
KIAA0232	1.3081
ERCC8	-1.02325
GPX4	1.21
KIAA0368	-0.463625
GPR157	-0.774666666666667
CTAGE4	1.1735
C9orf30	-0.915833333333333
OR52A1	0.2395
HSP90B3P	-0.687
ALG9	-0.6221
BTBD10	0.29075
SDK2	0.16125
BAIAP3	0.1935
RABGGTB	-1.963875
ANKRD40	0.648333333333333
KRT74	0.461
CALCOCO2	1.10842857142857
SNCA	-3.0885
TMSL8	-4.64525
C2orf53	-0.078
ESRRB	-0.38375
ARHGAP26	-0.147875
TDRD9	-2.45975
HRAS	0.910833333333333
KLRC4	-2.4975
JAGN1	-0.0321666666666667
BSDC1	0.18175
RNF43	0.256
NDUFAF1	0.489
PHF12	0.04625
OR1L3	-0.443
FOLR2	1.94991666666667
LYZL6	0.163166666666667
tcag7.1260	-0.7055
WSB1	-3.0255
PROS1	-0.7993
OSTN	0.9115
PSMB8	0.46325
SOCS4	-0.40825
DDIT4L	0.2125
MAS1	0.0905
MGC34796	1.8015
CSHL1	0.673666666666667
TBCCD1	0.1205
ZBTB7C	0.767
AP2S1	0.336125
P15RS	-0.3304
VAT1	-0.2824
SHANK3	1.04383333333333
TUFM	0.0883333333333333
THEG	1.1575
KRT34	-2.2015
SGSM3	0.14825
TOMM22	-0.395625
SOCS3	-0.2045
CPO	-0.269
POP4	0.53275
BHLHB3	1.555
MALL	1.41025
OR1B1	0.4025
PARK2	1.47916666666667
GPR124	1.523125
LCE1E	0.4405
RUVBL2	-0.36075
CGRRF1	0.1585
ACPL2	0.2415
WNT10B	-1.442375
BAIAP2L2	-1.813375
ISCA1	0.1175
C1orf125	-0.383285714285714
RPAP1	-0.35575
RAI16	-0.129666666666667
RPL27	-1.320875
NLRP9	0.488
EPN1	0.797
LOC388610	-2.614125
SLC35A1	0.8771
GAL	-3.50475
SLC14A2	0.27925
RDH11	-0.199
FAM138F	-0.713
AUH	-0.40525
FLJ40243	-0.14
C14orf129	0.633
MBD2	-0.518666666666667
ABHD14B	-0.173125
PIGT	1.04825
ALS2CR4	0.107875
ALAS1	0.0386
FOXO1	1.12816666666667
CRLF3	-0.854375
C20orf107	-0.7135
FARS2	0.807
CCDC28A	0.5935
NPHP3	-1.9685
OR13F1	0.5065
TSEN54	-0.41125
DEFB106B	-0.237
OR8B4	0.596
STH	0.20175
ZC3H14	-0.34
CBX2	0.224
TMEM49	-0.68475
C6orf21	0.251
FLJ20920	-0.516625
CRTAP	0.383928571428571
DDX50	-0.852
STYXL1	0.4255
BLVRB	0.3325
LOC147650	-0.909166666666667
MMP24	-0.254
GRID1	2.261
BANF1	0.126833333333333
CTAGEP	0.8395
HMBS	-2.2305
SLC25A24	-0.107833333333333
C14orf50	-0.3825
MRO	2.05016666666667
SLC25A15	-1.244
FAM84B	0.8408
TDP1	-0.8915
C16orf78	-0.488166666666667
C11orf57	-0.873375
RFK	-0.813
ZFYVE9	-0.616375
STCH	-0.4596
WIBG	0.7405
LOC283871	-0.0646666666666667
GBA2	-0.2936
NDUFB3	-0.29975
HSD17B13	-0.59625
GRIN3A	1.37166666666667
FMNL1	-0.308666666666667
SEPT7	-0.5274
GNLY	2.544
GRAMD1C	0.162666666666667
ZNF165	-0.28925
USP38	0.92425
FAM83A	-3.27966666666667
C14orf24	0.75025
ARMCX3	1.214875
ARHGDIB	1.15633333333333
AK1	0.661375
KIAA1045	-0.015
DNAJB13	-0.260666666666667
NEU2	0.9325
HIST1H4B	-1.544
FAM20B	0.4753
HES2	1.472
FAM73B	-0.2915
LOC388381	0.226
INTS7	0.334727272727273
AMPH	1.45525
ZNF775	0.366875
UCKL1	-0.133333333333333
C10orf97	0.68625
C1orf161	-0.198
ALDH1L1	-1.16225
FLJ39378	0.159
SLC23A1	0.7565
RBM4B	0.01975
THAP4	0.3445
OGFRL1	0.745
KIAA0831	-0.0715
PPP1R15A	-0.462
C1orf96	-0.323285714285714
C12orf11	-1.8125
BMF	1.734375
MAN1A1	-0.048
KIAA1600	0.382666666666667
NLGN4X	-0.5785
ALOX12	-1.26866666666667
RB1CC1	-0.8968
NEIL2	1.3632
EIF4E	0.854909090909091
ABHD5	0.0095
EXOC4	-0.3415
CIP29	0.771166666666667
BATF2	1.38075
SLC29A4	-0.286625
HTR4	0.16
EMB	-0.055
TRAF6	-0.14675
LMNB1	-2.052
FAM19A5	0.95775
SHE	1.29625
PIK3C2B	1.181
C15orf15	-0.8354
USP15	0.0294
TCEAL2	1.87475
C5orf39	-0.818833333333333
PTGER2	0.51625
SLC31A1	0.110625
IFT172	0.3735
ADAM29	0.5195
GFOD1	0.5865
ST7L	0.5105
C15orf26	-2.41125
PKN3	-0.79675
CNTD1	1.25933333333333
COMMD1	0.50375
NTRK2	1.92025
FOXN3	0.36
MFGE8	0.0657
PFKFB2	0.353
TAS2R4	-0.0885
ENTHD1	0.947
PRMT5	-0.561
MGC16384	-1.669375
LOC442229	-0.52925
TSKU	-0.491375
KRTCAP3	2.606375
PDLIM1	-0.0539
KCNS2	0.0765
RNF126	0.155
CEP63	-1.085375
CLIC4	-0.589875
hCG_1990170	0.565
ACR	0.3479
KLK7	1.23825
ALOX5AP	3.268375
RIPK3	4.0645
TAS2R9	-0.353
C19orf18	0.312
BIRC6	0.559071428571429
ZNF16	1.3105
RFT1	-0.79675
SLC8A2	-0.818
TACC1	0.095375
ITGAD	2.59075
SAMHD1	1.3425
SH3PXD2B	1.6051
EPC2	0.51875
C20orf85	1.693125
ATP13A2	-0.0448333333333333
KRT4	0.8505
CAPNS1	0.528
MDM2	-0.0250833333333333
PCDH20	2.31
KCNK9	0.591
OR2C1	0.0125
KLHDC3	-0.295
IPPK	0.2355
EFHD2	-0.117875
GALR3	1.06
NBEA	1.20616666666667
ABCA6	3.4066
CLDN3	1.76233333333333
AKT2	-0.492571428571429
EGFR	-1.197
RBM16	0.640625
ZDHHC3	0.5279
SLC25A4	0.0671666666666667
CYB5B	-0.599833333333333
CPXM1	0.78025
NDRG1	-1.61869230769231
FLJ43826	0.56575
OR5L2	0.0375
FARP2	1.3888
MRPL46	-0.00541666666666666
LDHAL6B	-0.031
MAPKAPK3	-0.342
NCAM2	0.607
PRKD2	0.522
ZFP36L1	1.8869
CYSLTR1	-0.5245
OR4C3	0.274
HIST1H2AJ	2.1925
CCNB2	-1.63122222222222
ZNF10	-0.454
TMEM175	0.611
FAM134A	1.33183333333333
TIGD4	0.1795
PCNP	0.12225
MGC39715	0.45075
LQK1	-1.715
CREB1	0.8574
TMPRSS3	2.03825
C4orf32	1.39725
LAT	-1.81733333333333
KCNA3	-0.8395
SKIV2L2	-0.56075
ROPN1B	-1.09675
tcag7.23	-0.5385
CDT1	-2.956625
ZHX2	1.271125
CD28	-2.2635
ZNF624	0.3805
SEPT2	0.94725
SOHLH2	0.62575
MCOLN3	-0.562125
UNQ1945	0.8865
MASP2	-0.6305
ZNRF3	-0.7016
GPATCH3	-0.54175
AGL	1.124125
QRICH2	-0.1425
PSD4	1.44866666666667
CCNB1IP1	-2.289
ENPP7	-0.08075
OBFC1	-0.42075
KCNG3	-2.53925
C14orf79	1.11975
ENPEP	1.659
SCT	2.3365
SKI	0.659875
SEC61G	-0.905
CAPN11	0.24825
ATXN7L3	-0.14925
DBNDD1	0.259166666666667
FAIM	-0.5905
ANKRD36	-1.3545
GABRP	2.8305
TACSTD2	1.77666666666667
EIF3J	-0.2585
PPP2R2A	0.218
TEKT4	-0.6005
PVALB	-3.568
F10	-1.791
FAM134C	0.9789
COMP	4.71525
EFCBP1	-2.01933333333333
SCLT1	-0.308
TAL1	-1.0682
ACSL1	0.89775
ABCC5	0.55975
ABL1	-0.142277777777778
RBBP7	0.725636363636364
PTPRG	-1.305875
NCOR1	-0.2398
SPINK4	-1.197
TXNRD1	-1.6706
TNRC15	0.258125
C9orf138	-0.621625
UBE2H	1.34333333333333
BRDT	0.595833333333333
C8orf31	-0.548
CCNE2	-1.40181818181818
SLC6A8	-1.397125
CALCR	-3.338
PPP1CB	1.42225
ABHD8	0.46475
ARF5	0.5377
SLC24A4	0.271
CCT3	0.371
ZNF121	-0.286875
SLC3A2	-0.0767
OR13A1	0.326
SLC5A10	-0.33075
RAD50	-0.399375
IER5	0.5035
MTHFD1L	-2.0065
MBTPS2	0.4025
MVK	0.011125
NCL	0.00540000000000002
PSMD10	-0.1625
MOBP	0.619125
FLJ32894	-0.0315
HRH1	-0.294
C5orf30	0.035
NUDT16L1	1.8888
RASGRP3	3.64683333333333
PRKRIP1	-0.1066
CCDC75	-1.35325
LOC253970	0.59675
KIAA1239	0.23075
MED21	-0.17775
SYT11	0.933
NTSR2	-1.0835
EGFL11	-0.387
CXorf59	0.35
OR2A25	0.10925
SPTBN2	0.9265
LRMP	-1.26116666666667
RNF111	-0.02625
PTH	-0.111
LOC619208	0.678
KIAA0895	-0.6795
RANBP5	-1.2355
P2RY10	0.339666666666667
NME5	0.508166666666667
DDX21	-1.9335
LRSAM1	0.814
HDAC11	1.7515
VMO1	2.4925
NOLA2	-0.138166666666667
ADAR	1.4585
MTO1	-1.48016666666667
SF4	0.649666666666667
P2RX1	-0.248666666666667
HBM	0.32125
EN2	1.571
C14orf172	-0.04425
TM9SF2	1.0016
INHBE	-1.49616666666667
TCTE3	0.117666666666667
TOX2	-2.545
CTAGE3	0.481
HBB	4.1901
MED15	-0.721666666666667
CASR	0.0115
C6orf66	-1.67416666666667
MTPN	-1.2885
UNC50	0.29775
C21orf33	0.498625
IRF2	1.4785
PGR	-0.0315
GPR84	1.33525
CROCCL1	-2.0685
SRPX	-0.967
BRE	0.1695
FGF10	1.99075
SDC3	0.927166666666667
ZRSR1	0.616666666666667
DKFZP434P211	-0.1105
SOX6	-0.2025
RPUSD2	-0.505
C14orf173	-0.1775
MAPK11	-0.146
TBC1D22A	0.4235
FAM123A	0.0525
COL4A6	0.718
TOMM70A	0.27475
NAB1	-0.140125
MGC16385	-0.348875
TSPAN18	-0.692833333333333
MED31	-1.35475
PLG	-0.5165
CAPSL	3.2655
ZNF532	0.668
ASB14	-0.222666666666667
CA8	0.42325
NUDT16P	0.00183333333333334
SLFN11	0.1545
LRRIQ2	-0.08025
NOL7	-0.269833333333333
BRMS1L	-0.557875
JARID1A	-0.155333333333333
PANK2	-0.2705
ICAM3	0.29075
MDS1	-0.64575
TAF8	-0.90075
RNF139	0.683
ZNF594	-0.270166666666667
ADAM8	2.6515
SFTPC	-0.48375
MAN2B2	2.0615
RGS12	0.7135625
EIF1AY	-4.79333333333333
LRRIQ1	-2.088
GPR150	1.24275
CCDC21	-1.37733333333333
PRRG3	0.3735
SAA4	-2.9205
RAPGEF5	1.91775
ZCCHC2	-0.305583333333333
MGC39372	0.9825
PPP4R2	0.236833333333333
CDCA2	-1.0975
OR4D5	0.434
PTGFRN	0.9429
SIGLEC5	2.06083333333333
C19orf61	0.0455
NMUR2	0.12
KIAA1586	-1.5845
DAGLA	0.916333333333334
CHCHD6	-0.727
GPR32	1.59
NEUROD6	-1.28683333333333
SLC2A4RG	1.07875
CA5B	0.366
FBXL3	0.7545
MPHOSPH9	-0.7745
HMG2L1	-0.17075
HCN4	1.05633333333333
CEACAM19	0.56875
SH2D4B	-0.213333333333333
HFE2	-1.0625
TGM4	0.1505
LYPD2	-0.223
TBC1D15	-0.1475
MRPS21	0.1424
NONO	-0.372
CLEC5A	1.059125
ITCH	0.2648
MGAT3	-1.05533333333333
MBP	-0.3985
RPP25	-0.43825
SOSTDC1	0.57075
HRC	-0.84025
TRIM48	0.886
TMEM133	0.235
ECEL1P2	-1.6995
HOXC11	3.1145
DOK5	-1.31425
HELZ	0.112333333333333
LOC348180	-1.18
MGC33894	0.1805
ADRB3	0.005
DMD	-0.17025
PTRH2	-0.5595
MPEG1	3.137
NDUFA12	-0.111166666666667
KRTAP2-4	0.47075
STAMBPL1	-0.994333333333333
ADCY2	0.521333333333333
UNQ6125	0.586
KLHL20	0.0788333333333334
SRM	-1.38675
OTC	-0.3705
TMIE	-0.1825
SNX8	0.29
LIPK	-0.411
CHURC1	-0.976833333333333
KLC2	0.4195
HDAC1	-1.355
FAM128A	0.382166666666667
FNDC3B	-0.0147
MTCP1	-0.5635
WFDC10B	0.3173
PCDHGB3	1.2365
ATRNL1	0.2074
CAV2	-0.04825
MED26	0.397
DUS1L	0.82
CHRM3	-1.457
NEK9	1.17625
WARS2	-0.5935
TBX22	1.068
TOMM40	-0.66475
RP6-213H19.1	0.138166666666667
TUBGCP5	-0.55825
IGSF6	5.417
TPPP	0.461833333333333
UNQ6190	0.014
GSTM5	1.6155
BTD	0.3595
PDCD1LG2	0.973666666666667
SNRPB2	-0.341666666666667
ERICH1	-0.162
APOA4	-2.1315
HOXA11	-1.6535
NARG1	0.127875
MKX	-1.68725
RAB28	0.3155
PKP3	1.194
SH3GL2	-2.77625
CTSO	3.68975
RPN2	0.2871875
IL28RA	-0.047
SFMBT1	-0.025
WDR57	-0.01575
FER1L3	0.2185
HSF5	-0.0871666666666667
TTC9B	0.507
C4BPA	-3.16466666666667
ALB	-3.53453846153846
SORBS3	0.32625
UPF2	-0.219
JPH1	-0.8475
AGBL2	-1.37875
DOPEY1	1.542
TERF1	-1.0565
KIF22	-0.239
NINJ1	1.64425
SEC61A2	0.317083333333333
HIST1H1D	-0.871833333333333
SFXN4	-0.63425
UCP3	-0.1403
ZNF703	2.06716666666667
MYL6B	-0.44525
TREM1	2.64875
OR52E6	0.567
CKMT2	1.6915
HLA-C	2.355
SLC13A3	-0.701
TIMP4	-0.49125
SLIT2	2.64525
RSF1	-0.602722222222222
LONRF1	0.0935714285714286
MON1A	-0.581166666666667
CACNG6	-1.344
DPPA4	-5.11116666666667
ZSWIM3	-0.36875
ZNF804A	0.5915
CCIN	1.902
SLC25A31	0.26825
KCNMB4	0.13325
RABL5	0.518125
GALNS	0.0441
STX6	0.8315
HIST1H1C	-1.74833333333333
CIDEB	-0.69775
CASP4	0.104166666666667
PDK3	0.9438
KCNJ11	2.136
TPR	-0.482125
ZSCAN20	-0.4635
MTX2	-0.1735
HIST1H2BH	0.30525
LOC283767	0.621
LYRM7	-1.94394444444444
BRD3	0.543333333333333
HIST1H2BO	-0.53825
MAGEB10	0.188
SLC45A1	0.877
SERPINA3	1.71305
KIAA0143	1.295
KCNJ16	0.659833333333333
KRT79	0.91225
FABP2	-0.7745
NUT	-0.179
ZNF57	0.04375
FBXL4	-0.02775
CLEC9A	1.2505
UGT8	-0.914666666666667
BMP2K	-0.09375
MAPK4	-3.42725
SLC25A23	-0.2827
HINT1	-0.8271
KRTAP13-1	0.567
SFXN5	-0.109
CHCHD2	0.290083333333333
FAM3D	2.337
NDP	-2.855875
RHOBTB1	-1.00366666666667
SLC4A4	-1.42
RPL38	-0.34325
HTF9C	-0.718166666666667
AP2A2	1.158625
ZBTB46	-0.6675
MAP7D1	0.26525
AOX1	-1.238
CYR61	1.15541666666667
DTNA	-0.791071428571428
JRKL	0.06675
TMOD3	0.25575
EEA1	0.2524
ADCK5	0.0665
IL1R1	1.19183333333333
KLK3	0.801285714285714
HRSP12	-0.81075
KTN1	-0.266
LOH11CR2A	0.8734
RELL2	-1.77175
MAB21L1	3.0075
C20orf59	-0.900833333333333
PHKB	0.1305
ADAM2	-0.1235
TBC1D8B	0.798166666666667
FAM13A1	-0.870375
LAPTM4B	-0.520833333333333
LCN8	0.224
TMEM147	0.8425
SYT4	0.0821666666666667
XPO7	0.0195
C9orf62	1.62225
GPR75	-0.537
TRIM5	0.17025
APOC1	1.68283333333333
RNASE4	0.406833333333333
PARD6B	-2.10475
ARID1A	0.273
TPD52L3	-0.058
RRAGB	0.435166666666667
RCN2	-0.795333333333333
HIST2H2BE	0.8134375
STARD7	-0.1255
SHMT2	-1.01375
KIAA1751	-0.407333333333333
MLYCD	0.22625
LOC162632	-1.2806
UQCRH	-1.742
RP11-217H1.1	0.366375
SDHA	-0.766666666666667
NCLN	-0.0289
ZNF17	0.4055
RCBTB2	-0.86975
VEGFB	0.6014
RP4-747L4.3	1.042
COLQ	-0.2412
MPN2	-0.941666666666667
DRG2	-0.10325
KLRB1	5.45175
ALPK2	-2.536
DNASE2B	1.91425
FLJ23834	-0.190166666666667
AXUD1	0.504
SAFB	-0.2305
NSUN4	-0.2385
RFX2	0.830166666666667
MAPK8IP1	-0.909333333333333
FANCD2	-0.722928571428571
ANKZF1	-1
C19orf50	-0.433
DUSP8	1.683
SENP5	0.409875
NFKBIL2	0.68
LBR	-1.04575
IGFL1	0.2265
LZTS2	-0.20475
IL2RG	-0.2905
CCDC51	-0.85
KLF3	0.96975
ANKRD37	-1.549
KCTD14	-1.16816666666667
FZR1	0.536583333333333
SLC44A4	4.0398
ESPL1	-0.705875
GMPR2	-0.0056
TBC1D19	0.364333333333333
ERGIC1	1.24407407407407
ERBB4	1.5268
TSPAN32	-0.187833333333333
MAP4	0.32075
GPHN	0.08625
SLC6A2	-0.21075
HIVEP1	0.65475
DFFB	-1.173
EIF4EBP2	0.41475
DMRT1	-0.50425
HSPB6	0.219
IER2	0.053
AIFM1	0.293
WWC2	-0.473
MRPL4	-0.48125
FLJ21062	-0.464833333333333
EPB41L4A	1.43475
SH2D6	0.45725
TAF4B	-1.689
GAL3ST3	-0.0325
MALT1	-1.39583333333333
RTDR1	-0.26
ARVCF	-0.3345
MEX3B	-0.884
FBXO16	1.87175
KIF7	-0.86575
C1QC	4.17633333333333
ZNF783	-1.5215
ZNF85	-0.387
MMP13	3.2835
KIAA0329	0.466625
RTP3	-1.162
ZBED3	0.33825
CLGN	1.4385
SLC25A37	-0.961041666666667
hCG_18290	-0.511
OR5AS1	-0.4815
SMARCC2	0.68525
FAM109A	0.290833333333333
CCDC12	-0.50425
USF2	0.7502
DEPDC7	-1.92925
C20orf24	-0.390166666666667
JMJD3	0.501
DSP	1.79078571428571
SLIC1	0.8445
FAM20A	1.797875
IRF2BP2	0.877125
ZNF230	-0.171
MSN	-0.364214285714286
SLC9A5	-1.932
EPDR1	-1.4697
MUSK	0.4135
ZNF434	0.123666666666667
SMARCD1	-0.338333333333333
ZFP106	-0.46425
ZNF347	0.1257
GTF2E1	-0.525
RY1	0.322833333333333
ATAD2B	0.89325
ARHGAP17	-0.4293
KCNIP3	-0.551
SFPQ	0.2315
