Hybridization REF	TCGA-BH-A0B3-01A-11R-A056-07
FKBP4	-0.72825
ZNF350	1.267
MGC11102	0.429875
BST1	2.52125
KISS1R	1.5385
NCR2	0.0465
DEFB125	0.267
UBE2W	0.864625
KRT15	4.2305
C10orf99	0.269
SCN11A	-0.200625
GFI1	-1.27225
RDHE2	-0.0885
FHL1	-2.13916666666667
OSGEP	-0.504333333333333
GATA1	-3.4095
SMC6	0.45525
TTTY14	-0.8185
LPIN3	-0.16175
RPL4	-0.8874
RBPMS	0.1179
PRPF3	1.14966666666667
EMR1	-1.755
SPATA19	0.37725
XCR1	0.836
IRX3	1.6019
RBM6	-0.6005
KLF4	-0.901
UNC5CL	1.06325
SEBOX	0.0265
BTK	0.05675
KRCC1	1.28375
C6orf27	0.589
SYTL5	-2.0505
PRND	0.312428571428571
LOC653319	-1.302
PIGL	-0.911125
HUS1	0.281166666666667
SFRS6	0.667583333333333
C17orf77	0.2265
UIMC1	-0.565166666666667
FXYD2	-1.5807
LOC283152	0.46025
ZNF667	0.872
ZCCHC12	-1.06975
TFEC	3.2703
ATP7B	-1.5505
POLD2	-0.614166666666667
RG9MTD1	-0.55425
ACOT2	-1.90083333333333
HIST1H4I	-0.0785
PPARGC1A	-1.9442
ETFA	-1.6809
POLRMT	-0.44575
ZNF146	0.141125
MIA2	-1.5635
KLHL6	0.3175
HOXB5	-0.80125
NENF	1.00116666666667
CUGBP1	0.2085
PRSS22	2.675
CASC4	0.9309
CUL4B	-0.0185
CENPJ	-1.2944
PITX1	1.33583333333333
FLJ31033	1.2165
CELSR3	-2.14733333333333
ZNF568	0.4785
ITSN1	-0.922333333333333
EHBP1L1	0.268166666666667
C19orf2	0.38675
DCTN1	0.50775
LIN28B	-3.2565
TNKS2	-0.957
C1QBP	-0.7995
CADPS2	1.07325
SRMS	0.0665
GJA9	0.0771666666666667
MGC24975	-1.2595
TRIM45	-0.7205
TSP50	1.13375
TCP1	-0.91925
TMED7	0.1951
CMA1	0.9965
CENPL	0.186666666666667
PTCRA	0.013
FST	-3.6415
VWCE	-3.83625
PAWR	0.694
ABCC12	-0.120833333333333
LDLR	0.3081
ASTN2	-0.4714
LOC441212	-0.288125
GPATCH8	-0.0485
TANC2	-0.15625
KIF4A	-0.0365
C18orf18	-1.56975
PGM1	0.75675
KIAA0258	0.99725
CPD	-0.025375
SNCAIP	-0.008
DCT	-4.16666666666667
HLA-DOA	2.91131818181818
OR11L1	1.029
UPK1B	-1.1628
DNAJB4	-0.132375
UGT1A8	-0.368
HIST1H4L	-0.8865
PECR	-1.1895
HSPA2	1.609
WFIKKN1	-2.7385
SERP1	1.163375
SYDE2	1.216
TACR2	0.6215
NUP85	-0.19825
CD177	0.158166666666667
LGR5	-2.32333333333333
PIGG	-0.44025
PTHR1	-1.9025
RAB5A	-0.0983
FLJ13224	-0.385
USP9Y	-1.4875
C7orf53	-0.994
LRP1B	-0.8455
XAF1	3.1691
ABCG8	-1.2405
ANKDD1A	-0.132833333333333
DAND5	-0.162
SPAG6	0.855166666666667
LINCR	1.7155
ZDHHC22	-1.896375
CCDC60	0.446
THOC7	-0.936
TCTA	0.582
OR8K3	0.00950000000000001
NY-REN-7	-0.52525
B2M	2.294
C6orf141	-0.3165
LPPR4	1.72825
SQLE	-0.629125
SEPHS1	0.876
BTBD14B	0.619428571428572
PLRG1	-0.2205
SPG7	-0.648
ZNF614	-0.214333333333333
PARD6G	0.689166666666667
INPP5B	-0.3408
GRPEL2	-0.4245
PPID	-0.7517
TRIM56	-0.2695
UBE2J1	0.82025
IL20RA	2.21775
LOC387856	-0.08
C1orf107	-0.11625
UTS2R	1.35375
C19orf22	0.0635
SAFB2	-0.188375
KIAA0652	0.38075
KLRG1	-1.22033333333333
MS4A8B	-0.0953333333333333
FRAG1	0.292
KIAA1546	-0.1505
E2F4	-0.8017
CLEC4M	0.485
BTBD14A	-0.523
KIAA0999	0.6881
GYPA	-4.14616666666667
TAC1	-0.5359
TRAIP	-0.683333333333333
KIAA0232	-0.6189
ERCC8	-1.960875
GPX4	-0.020875
KIAA0368	-0.621
GPR157	-0.051
CTAGE4	1.3095
C9orf30	0.0826666666666667
OR52A1	-0.203
HSP90B3P	0.0435
ALG9	-0.3814
BTBD10	0.78475
SDK2	0.27225
BAIAP3	-0.79325
RABGGTB	-1.184
ANKRD40	-0.00383333333333335
KRT74	0.6315
CALCOCO2	0.257785714285714
SNCA	-3.9805
TMSL8	-1.031125
C2orf53	-0.5195
ESRRB	-0.53775
ARHGAP26	-0.63025
TDRD9	-2.09825
HRAS	0.676833333333333
KLRC4	-2.407
JAGN1	-0.278333333333333
BSDC1	-0.09875
RNF43	-0.9115
NDUFAF1	-0.63
PHF12	0.12275
OR1L3	0.261
FOLR2	1.70658333333333
LYZL6	0.3182
tcag7.1260	-0.1575
WSB1	-1.37
PROS1	-1.205
OSTN	0.5975
PSMB8	1.77975
SOCS4	-0.74675
DDIT4L	1.986
MAS1	0.2965
MGC34796	0.74775
CSHL1	0.463833333333333
TBCCD1	0.584333333333333
ZBTB7C	-0.045
AP2S1	0.4975
P15RS	-0.2872
VAT1	-0.5145
SHANK3	1.19316666666667
TUFM	-0.103
THEG	-0.491
KRT34	1.7165
SGSM3	0.058625
TOMM22	-0.290625
SOCS3	1.872
CPO	-0.044
POP4	0.68475
BHLHB3	0.709
MALL	3.4575
OR1B1	0.242
PARK2	0.8115
GPR124	0.8915
LCE1E	0.184
RUVBL2	-0.08575
CGRRF1	-0.3013
ACPL2	1.14
WNT10B	-1.9205
BAIAP2L2	-0.270625
ISCA1	-0.4635
C1orf125	0.34775
RPAP1	-1.285
RAI16	-0.498333333333333
RPL27	-1.0015
NLRP9	-0.4615
EPN1	0.9885
LOC388610	-0.26675
SLC35A1	0.1676
GAL	-2.95925
SLC14A2	0.6575
RDH11	-0.975666666666667
FAM138F	-0.2255
AUH	-1.26625
FLJ40243	-0.243
C14orf129	-0.00666666666666666
MBD2	-0.125166666666667
ABHD14B	-0.352375
PIGT	-0.540375
ALS2CR4	-0.11
ALAS1	0.3433
FOXO1	0.802833333333333
CRLF3	-0.044125
C20orf107	-0.092
FARS2	0.60425
CCDC28A	0.27375
NPHP3	-1.27275
OR13F1	0.2915
TSEN54	-0.1595
DEFB106B	0.1774
OR8B4	0.3495
STH	-1.71525
ZC3H14	-0.156625
CBX2	-0.1965
TMEM49	-1.503
C6orf21	0.8005
FLJ20920	0.258875
CRTAP	-0.417428571428571
DDX50	-0.322
STYXL1	-0.1085
BLVRB	-0.311
LOC147650	-0.402333333333333
MMP24	0.18725
GRID1	1.286
BANF1	-0.134166666666667
CTAGEP	0.36275
HMBS	-1.198
SLC25A24	0.328666666666667
C14orf50	-0.6215
MRO	1.71533333333333
SLC25A15	-0.95375
FAM84B	0.9167
TDP1	-0.505
C16orf78	0.307333333333333
C11orf57	0.15625
RFK	-0.617625
ZFYVE9	0.092875
STCH	-0.359
WIBG	-0.1545
LOC283871	-0.205833333333333
GBA2	-1.0739
NDUFB3	0.11875
HSD17B13	-1.03475
GRIN3A	1.77
FMNL1	0.1865
SEPT7	-0.2917
GNLY	5.01
GRAMD1C	-0.281
ZNF165	1.998
USP38	0.464
FAM83A	-3.07833333333333
C14orf24	0.25475
ARMCX3	0.031125
ARHGDIB	0.166166666666667
AK1	0.5935
KIAA1045	0.2845
DNAJB13	-0.135833333333333
NEU2	0.573
HIST1H4B	-0.3865
FAM20B	-0.3803
HES2	-0.2735
FAM73B	-0.6208
LOC388381	-0.58075
INTS7	0.139545454545455
AMPH	0.512
ZNF775	-0.000875000000000015
UCKL1	0.245
C10orf97	-0.77625
C1orf161	-0.07475
ALDH1L1	-1.25625
FLJ39378	-0.166375
SLC23A1	-1.711
RBM4B	0.0845
THAP4	-0.247
OGFRL1	1.9005
KIAA0831	-0.48175
PPP1R15A	0.437833333333333
C1orf96	0.819857142857143
C12orf11	-2.1055
BMF	1.231125
MAN1A1	-0.590125
KIAA1600	0.6065
NLGN4X	-1.2745
ALOX12	-1.62483333333333
RB1CC1	0.4175
NEIL2	0.5553
EIF4E	-0.367363636363636
ABHD5	0.224
EXOC4	-0.549333333333333
CIP29	-0.411333333333333
BATF2	3.592
SLC29A4	-0.564125
HTR4	0.5405
EMB	-1.0325
TRAF6	0.94125
LMNB1	-1.257
FAM19A5	-0.72225
SHE	0.6605
PIK3C2B	0.08325
C15orf15	-0.7711
USP15	0.3524
TCEAL2	0.26975
C5orf39	-0.320333333333333
PTGER2	-0.91625
SLC31A1	-0.345625
IFT172	0.829
ADAM29	0.2475
GFOD1	2.534
ST7L	0.234666666666667
C15orf26	-3.135
PKN3	-0.49875
CNTD1	-0.474333333333333
COMMD1	0.29625
NTRK2	1.3275
FOXN3	0.166875
MFGE8	1.0442
PFKFB2	-0.189166666666667
TAS2R4	-0.705
ENTHD1	2.57116666666667
PRMT5	-1.1265
MGC16384	-0.94225
LOC442229	0.095
TSKU	0.4285
KRTCAP3	4.172875
PDLIM1	0.5739
KCNS2	0.2125
RNF126	-0.304666666666667
CEP63	-0.528625
CLIC4	0.1635
hCG_1990170	3.2205
ACR	1.5377
KLK7	3.388
ALOX5AP	3.743125
RIPK3	3.603
TAS2R9	0.1235
C19orf18	1.3035
BIRC6	-0.331142857142857
ZNF16	0.0725
RFT1	-0.51275
SLC8A2	-0.7625
TACC1	0.12225
ITGAD	0.7845
SAMHD1	1.5565
SH3PXD2B	1.3586
EPC2	0.4675
C20orf85	0.20975
ATP13A2	0.774
KRT4	1.3795
CAPNS1	0.303
MDM2	-0.0372499999999999
PCDH20	2.1315
KCNK9	0.7495
OR2C1	-0.0255
KLHDC3	0.156666666666667
IPPK	0.0685
EFHD2	0.043
GALR3	1.2745
NBEA	-0.678
ABCA6	1.9161
CLDN3	0.975166666666667
AKT2	-0.182357142857143
EGFR	0.4394
RBM16	-0.203875
ZDHHC3	-0.1651
SLC25A4	-0.595333333333333
CYB5B	-1.09066666666667
CPXM1	0.29425
NDRG1	2.33723076923077
FLJ43826	0.32275
OR5L2	0.0005
FARP2	-0.8481
MRPL46	-0.581416666666667
LDHAL6B	-0.072
MAPKAPK3	0.1375
NCAM2	-2.026
PRKD2	0.887666666666667
ZFP36L1	1.5871
CYSLTR1	-0.50375
OR4C3	0.04175
HIST1H2AJ	0.909
CCNB2	-0.272
ZNF10	0.093625
TMEM175	1.023
FAM134A	0.3005
TIGD4	0.076
PCNP	-0.59575
MGC39715	-0.56375
LQK1	-0.35575
CREB1	-0.243
TMPRSS3	0.38175
C4orf32	0.60025
LAT	-1.32175
KCNA3	0.2845
SKIV2L2	-1.6985
ROPN1B	0.57225
tcag7.23	-0.83
CDT1	-1.116875
ZHX2	0.502875
CD28	-2.80325
ZNF624	0.955
SEPT2	-0.0555
SOHLH2	-2.23325
MCOLN3	0.80625
UNQ1945	0.943
MASP2	-1.1735
ZNRF3	-0.5636
GPATCH3	-0.18275
AGL	0.12
QRICH2	-0.4725
PSD4	0.849666666666667
CCNB1IP1	-1.948
ENPP7	-0.00775000000000001
OBFC1	-0.678
KCNG3	-2.70675
C14orf79	-0.347083333333333
ENPEP	1.24816666666667
SCT	1.342
SKI	1.199125
SEC61G	-0.32825
CAPN11	-1.087
ATXN7L3	0.26325
DBNDD1	-0.00333333333333334
FAIM	1.43675
ANKRD36	-0.231
GABRP	5.66333333333333
TACSTD2	2.031
EIF3J	-0.406
PPP2R2A	-0.275
TEKT4	-0.387666666666667
PVALB	-3.77133333333333
F10	-2.952
FAM134C	0.5879
COMP	4.474375
EFCBP1	-2.3459375
SCLT1	0.637875
TAL1	-1.3931
ACSL1	0.9735
ABCC5	0.0576666666666667
ABL1	-0.438833333333333
RBBP7	0.51725
PTPRG	-0.271
NCOR1	0.438
SPINK4	-2.15383333333333
TXNRD1	-0.8879
TNRC15	-0.449
C9orf138	0.29525
UBE2H	0.573666666666667
BRDT	0.128833333333333
C8orf31	-0.09175
CCNE2	0.199363636363636
SLC6A8	-1.040375
CALCR	-3.9115
PPP1CB	1.5985
ABHD8	0.483
ARF5	0.5695
SLC24A4	0.64125
CCT3	0.95075
ZNF121	-0.08275
SLC3A2	-0.24
OR13A1	0.5125
SLC5A10	0.223
RAD50	-1.431625
IER5	0.781125
MTHFD1L	-0.90925
MBTPS2	0.72
MVK	-0.217375
NCL	-0.2643
PSMD10	-0.43675
MOBP	0.37375
FLJ32894	-0.00700000000000001
HRH1	0.158333333333333
C5orf30	-0.062
NUDT16L1	0.6451
RASGRP3	4.272
PRKRIP1	-0.6585
CCDC75	0.751
LOC253970	0.172
KIAA1239	-0.11775
MED21	-0.78825
SYT11	0.478833333333333
NTSR2	-0.3545
EGFL11	0.6005
CXorf59	0.671
OR2A25	0.26125
SPTBN2	0.33925
LRMP	-0.986166666666667
RNF111	-0.11825
PTH	0.0835
LOC619208	0.493
KIAA0895	0.296
RANBP5	-0.8325
P2RY10	1.21166666666667
NME5	-1.09116666666667
DDX21	-0.41075
LRSAM1	-0.148
HDAC11	0.297666666666667
VMO1	3.10575
NOLA2	-0.241833333333333
ADAR	2.21825
MTO1	-0.981666666666666
SF4	0.268166666666667
P2RX1	0.813333333333333
HBM	0.169
EN2	1.707
C14orf172	0.779
TM9SF2	0.0993
INHBE	-1.437
TCTE3	-0.176833333333333
TOX2	-1.98925
CTAGE3	-0.012125
HBB	3.2527
MED15	-0.429833333333333
CASR	0.17525
C6orf66	-0.602
MTPN	-0.37125
UNC50	-0.586
C21orf33	-0.491625
IRF2	0.67025
PGR	-0.272
GPR84	4.11375
CROCCL1	-2.5905
SRPX	-1.27025
BRE	0.7465
FGF10	1.05975
SDC3	-0.0278333333333333
ZRSR1	0.255333333333333
DKFZP434P211	-0.00887499999999997
SOX6	0.4315
RPUSD2	-0.318
C14orf173	-0.08875
MAPK11	0.0793333333333333
TBC1D22A	0.0425
FAM123A	-0.8875
COL4A6	-3.20233333333333
TOMM70A	-0.36525
NAB1	0.6675
MGC16385	0.155625
TSPAN18	-0.243166666666667
MED31	-0.95725
PLG	-0.52875
CAPSL	0.0355
ZNF532	2.1952
ASB14	-0.10575
CA8	-3.212
NUDT16P	-0.3135
SLFN11	0.542
LRRIQ2	-0.46525
NOL7	0.156333333333333
BRMS1L	-0.07775
JARID1A	0.375166666666667
PANK2	-0.936
ICAM3	0.03775
MDS1	-0.11325
TAF8	-0.66525
RNF139	0.70175
ZNF594	-0.417333333333333
ADAM8	3.313125
SFTPC	-0.201125
MAN2B2	0.752625
RGS12	0.017125
EIF1AY	-4.53666666666667
LRRIQ1	-0.614
GPR150	1.64025
CCDC21	-1.00266666666667
PRRG3	0.18975
SAA4	-3.618
RAPGEF5	1.1235
ZCCHC2	0.898083333333333
MGC39372	0.5365
PPP4R2	0.244
CDCA2	0.424333333333333
OR4D5	0.778166666666667
PTGFRN	2.0887
SIGLEC5	1.83116666666667
C19orf61	0.200166666666667
NMUR2	0.156
KIAA1586	-0.488
DAGLA	-1.38633333333333
CHCHD6	-0.7125
GPR32	0.2485
NEUROD6	0.0945
SLC2A4RG	1.1525
CA5B	-0.11675
FBXL3	0.417
MPHOSPH9	-1.559
HMG2L1	-0.24075
HCN4	1.083
CEACAM19	2.852
SH2D4B	0.289333333333333
HFE2	-1.408
TGM4	0.317833333333333
LYPD2	0.1325
TBC1D15	0.091
MRPS21	0.43
NONO	-0.3954
CLEC5A	2.937125
ITCH	-0.0135
MGAT3	-0.132
MBP	-0.374
RPP25	0.59825
SOSTDC1	2.08975
HRC	-1.998
TRIM48	0.677
TMEM133	0.62625
ECEL1P2	-0.9435
HOXC11	0.6335
DOK5	-0.56775
HELZ	0.0481666666666667
LOC348180	-0.52475
MGC33894	0.34525
ADRB3	0.3835
DMD	-0.286083333333333
PTRH2	-0.54675
MPEG1	3.89833333333333
NDUFA12	-0.152166666666667
KRTAP2-4	0.424
STAMBPL1	-1.36433333333333
ADCY2	2.15683333333333
UNQ6125	0.1015
KLHL20	0.101
SRM	-0.72125
OTC	-0.4645
TMIE	0.918666666666667
SNX8	1.004
LIPK	0.3945
CHURC1	-0.989583333333333
KLC2	0.537333333333333
HDAC1	-0.435833333333333
FAM128A	-0.0606666666666667
FNDC3B	1.1439
MTCP1	0.259
WFDC10B	1.1886
PCDHGB3	0.086
ATRNL1	-1.2638
CAV2	0.73
MED26	-0.153333333333333
DUS1L	1.07525
CHRM3	-0.930125
NEK9	-0.439
WARS2	-0.0225
TBX22	0.227
TOMM40	0.097
RP6-213H19.1	-0.253166666666667
TUBGCP5	-0.61125
IGSF6	5.70325
TPPP	0.3
UNQ6190	0.238
GSTM5	1.28675
BTD	-0.223333333333333
PDCD1LG2	1.618
SNRPB2	-0.298833333333333
ERICH1	-0.389
APOA4	-1.71825
HOXA11	0.38175
NARG1	-0.4685
MKX	0.32
RAB28	-0.288857142857143
PKP3	1.867
SH3GL2	-1.65825
CTSO	2.4795
RPN2	0.5989375
IL28RA	0.576
SFMBT1	0.797
WDR57	-0.518625
FER1L3	0.653916666666667
HSF5	0.453666666666667
TTC9B	-0.19425
C4BPA	-4.26566666666667
ALB	-4.29042857142857
SORBS3	1.0835
UPF2	0.748
JPH1	-0.261
AGBL2	-1.4055
DOPEY1	1.294
TERF1	-0.296583333333333
KIF22	-0.368666666666667
NINJ1	-0.255
SEC61A2	0.163666666666667
HIST1H1D	0.370166666666667
SFXN4	-0.331
UCP3	0.6072
ZNF703	0.85
MYL6B	-0.46675
TREM1	3.48675
OR52E6	0.2205
CKMT2	-0.10975
HLA-C	3.627125
SLC13A3	-2.174
TIMP4	-1.88075
SLIT2	1.08225
RSF1	-0.264944444444444
LONRF1	-0.6545
MON1A	0.1155
CACNG6	-1.4535
DPPA4	-5.05183333333333
ZSWIM3	0.2775
ZNF804A	0.283333333333333
CCIN	1.56275
SLC25A31	0.04075
KCNMB4	-1.2195
RABL5	-0.304
GALNS	-0.2828
STX6	0.93475
HIST1H1C	0.6335
CIDEB	0.35825
CASP4	0.558666666666667
PDK3	1.8144
KCNJ11	0.0955
TPR	-0.348125
ZSCAN20	-0.0525
MTX2	-1.04225
HIST1H2BH	0.85
LOC283767	0.204
LYRM7	-2.1355
BRD3	-0.0363333333333333
HIST1H2BO	0.7505
MAGEB10	0.326
SLC45A1	0.1
SERPINA3	1.2108
KIAA0143	1.77025
KCNJ16	0.2534
KRT79	0.38875
FABP2	-1.08275
NUT	1.4645
ZNF57	-0.6715
FBXL4	-0.1355
CLEC9A	0.345
UGT8	1.87166666666667
BMP2K	0.03325
MAPK4	-0.67775
SLC25A23	-0.7979
HINT1	-0.5208
KRTAP13-1	0.176
SFXN5	-0.3836
CHCHD2	0.0364166666666666
FAM3D	3.182
NDP	-2.06325
RHOBTB1	0.341833333333333
SLC4A4	-1.57725
RPL38	-0.627
HTF9C	-0.522333333333333
AP2A2	0.7115
ZBTB46	-0.129
MAP7D1	0.567125
AOX1	-2.051
CYR61	1.66241666666667
DTNA	0.149142857142857
JRKL	0.865
TMOD3	0.2465
EEA1	0.4252
ADCK5	0.27325
IL1R1	1.66066666666667
KLK3	0.417428571428572
HRSP12	-0.36725
KTN1	0.19525
LOH11CR2A	0.4275
RELL2	-0.079
MAB21L1	0.652
C20orf59	-1.232
PHKB	-0.47625
ADAM2	-2.75533333333333
TBC1D8B	1.35166666666667
FAM13A1	-0.562
LAPTM4B	0.1405
LCN8	0.292
TMEM147	0.6745
SYT4	0.4845
XPO7	0.376
C9orf62	1.975
GPR75	-0.451
TRIM5	0.490125
APOC1	0.463166666666667
RNASE4	-0.630166666666667
PARD6B	-2.928
ARID1A	0.0146666666666667
TPD52L3	0.3146
RRAGB	0.569166666666667
RCN2	-0.743666666666667
HIST2H2BE	1.1168125
STARD7	0.696
SHMT2	-0.67075
KIAA1751	0.0838333333333333
MLYCD	-0.02625
LOC162632	0.4507
UQCRH	-0.79925
RP11-217H1.1	0.8235
SDHA	-0.217333333333333
NCLN	-0.0719
ZNF17	0.391333333333333
RCBTB2	-1.4365
VEGFB	0.2797
RP4-747L4.3	2.13575
COLQ	-0.2654
MPN2	-0.625
DRG2	0.35925
KLRB1	4.59225
ALPK2	-1.712
DNASE2B	0.31275
FLJ23834	-0.466333333333333
AXUD1	1.06183333333333
SAFB	-0.1911
NSUN4	0.06
RFX2	0.107166666666667
MAPK8IP1	-0.00150000000000001
FANCD2	-0.568214285714286
ANKZF1	-1.35433333333333
C19orf50	-0.340375
DUSP8	1.644
SENP5	0.3625
NFKBIL2	-0.04575
LBR	0.277625
IGFL1	0.804
LZTS2	0.43075
IL2RG	0.4695
CCDC51	-0.3755
KLF3	0.596
ANKRD37	-0.84275
KCTD14	2.16183333333333
FZR1	0.649833333333333
SLC44A4	-2.2241
ESPL1	-0.812375
GMPR2	-1.2649
TBC1D19	-0.823
ERGIC1	-0.352592592592593
ERBB4	-0.3966
TSPAN32	0.655416666666667
MAP4	0.3935
GPHN	-1.0665
SLC6A2	3.783375
HIVEP1	0.78375
DFFB	-0.4748
EIF4EBP2	0.5215
DMRT1	-0.04925
HSPB6	-0.13075
IER2	0.314
AIFM1	-0.29775
WWC2	0.150583333333333
MRPL4	-0.303
FLJ21062	-0.913
EPB41L4A	0.803666666666667
SH2D6	0.01875
TAF4B	-0.26125
GAL3ST3	-0.8615
MALT1	0.145
RTDR1	0.000250000000000002
ARVCF	-0.07975
MEX3B	-0.795666666666667
FBXO16	0.49175
KIF7	-1.14225
C1QC	4.22616666666667
ZNF783	-0.338333333333333
ZNF85	-1.17375
MMP13	3.5735
KIAA0329	0.01975
RTP3	-0.1685
ZBED3	-1.40725
CLGN	-2.62525
SLC25A37	-0.398375
hCG_18290	-0.6775
OR5AS1	0.2515
SMARCC2	0.3785
FAM109A	0.1945
CCDC12	-0.37275
USF2	0.8376
DEPDC7	0.40075
C20orf24	-0.381
JMJD3	0.3605
DSP	2.26821428571429
SLIC1	0.972625
FAM20A	2.812375
IRF2BP2	1.119125
ZNF230	-0.01
MSN	0.944642857142857
SLC9A5	-2.0605
EPDR1	-1.1773
MUSK	0.165666666666667
ZNF434	-0.651166666666667
SMARCD1	-0.2445
ZFP106	-0.64225
ZNF347	0.806
